Type,Number,Period,Task Name,Template URL,Instructions URL
RRA,295,YE,RRA 295 - ULAE,https://www.lloyds.com/conducting-business/core-market-returns,https://assets.lloyds.com/media/a6aad893-5cbd-4b4c-9d41-a3f0f7580626/RRA-Return-Instructions-June-2024.pdf
RRA,391,YE,RRA 391 - IELR,https://www.lloyds.com/conducting-business/core-market-returns,https://assets.lloyds.com/media/a6aad893-5cbd-4b4c-9d41-a3f0f7580626/RRA-Return-Instructions-June-2024.pdf
RRA,591,YE,RRA 591 - Syndicate Reinsurance Structure,https://www.lloyds.com/conducting-business/core-market-returns,https://assets.lloyds.com/media/a6aad893-5cbd-4b4c-9d41-a3f0f7580626/RRA-Return-Instructions-June-2024.pdf
RRA,910,YE,RRA 910 - Additional Information,https://www.lloyds.com/conducting-business/core-market-returns,https://assets.lloyds.com/media/a6aad893-5cbd-4b4c-9d41-a3f0f7580626/RRA-Return-Instructions-June-2024.pdf
RRA,990,YE,RRA 990 - Sign-off Declaration,https://www.lloyds.com/conducting-business/core-market-returns,https://assets.lloyds.com/media/a6aad893-5cbd-4b4c-9d41-a3f0f7580626/RRA-Return-Instructions-June-2024.pdf
RRQ,010,Q1,RRQ 010 - Q1 Syndicate Details,https://www.lloyds.com/conducting-business/core-market-returns,https://assets.lloyds.com/media/1d9ce84f-4e74-4df8-bdf5-e54df33aee7e/RRQ-Return-Instructions-June-2024.pdf
RRQ,010,Q2,RRQ 010 - Q2 Syndicate Details,https://www.lloyds.com/conducting-business/core-market-returns,https://assets.lloyds.com/media/1d9ce84f-4e74-4df8-bdf5-e54df33aee7e/RRQ-Return-Instructions-June-2024.pdf
RRQ,010,Q3,RRQ 010 - Q3 Syndicate Details,https://www.lloyds.com/conducting-business/core-market-returns,https://assets.lloyds.com/media/1d9ce84f-4e74-4df8-bdf5-e54df33aee7e/RRQ-Return-Instructions-June-2024.pdf
RRQ,010,Q4,RRQ 010 - Q4 Syndicate Details,https://www.lloyds.com/conducting-business/core-market-returns,https://assets.lloyds.com/media/1d9ce84f-4e74-4df8-bdf5-e54df33aee7e/RRQ-Return-Instructions-June-2024.pdf
RRQ,020,Q1,RRQ 020 - Q1 Exchange Rates,https://www.lloyds.com/conducting-business/core-market-returns,https://assets.lloyds.com/media/1d9ce84f-4e74-4df8-bdf5-e54df33aee7e/RRQ-Return-Instructions-June-2024.pdf
RRQ,020,Q2,RRQ 020 - Q2 Exchange Rates,https://www.lloyds.com/conducting-business/core-market-returns,https://assets.lloyds.com/media/1d9ce84f-4e74-4df8-bdf5-e54df33aee7e/RRQ-Return-Instructions-June-2024.pdf
RRQ,020,Q3,RRQ 020 - Q3 Exchange Rates,https://www.lloyds.com/conducting-business/core-market-returns,https://assets.lloyds.com/media/1d9ce84f-4e74-4df8-bdf5-e54df33aee7e/RRQ-Return-Instructions-June-2024.pdf
RRQ,020,Q4,RRQ 020 - Q4 Exchange Rates,https://www.lloyds.com/conducting-business/core-market-returns,https://assets.lloyds.com/media/1d9ce84f-4e74-4df8-bdf5-e54df33aee7e/RRQ-Return-Instructions-June-2024.pdf
RRQ,191,Q1,RRQ 191 - Q1 Gross Claims Development,https://www.lloyds.com/conducting-business/core-market-returns,https://assets.lloyds.com/media/1d9ce84f-4e74-4df8-bdf5-e54df33aee7e/RRQ-Return-Instructions-June-2024.pdf
RRQ,191,Q2,RRQ 191 - Q2 Gross Claims Development,https://www.lloyds.com/conducting-business/core-market-returns,https://assets.lloyds.com/media/1d9ce84f-4e74-4df8-bdf5-e54df33aee7e/RRQ-Return-Instructions-June-2024.pdf
RRQ,191,Q3,RRQ 191 - Q3 Gross Claims Development,https://www.lloyds.com/conducting-business/core-market-returns,https://assets.lloyds.com/media/1d9ce84f-4e74-4df8-bdf5-e54df33aee7e/RRQ-Return-Instructions-June-2024.pdf
RRQ,191,Q4,RRQ 191 - Q4 Gross Claims Development,https://www.lloyds.com/conducting-business/core-market-returns,https://assets.lloyds.com/media/1d9ce84f-4e74-4df8-bdf5-e54df33aee7e/RRQ-Return-Instructions-June-2024.pdf
RRQ,192,Q1,RRQ 192 - Q1 Claims Triangles Summary (NEW),https://www.lloyds.com/conducting-business/core-market-returns,https://assets.lloyds.com/media/1d9ce84f-4e74-4df8-bdf5-e54df33aee7e/RRQ-Return-Instructions-June-2024.pdf
RRQ,192,Q2,RRQ 192 - Q2 Claims Triangles Summary (NEW),https://www.lloyds.com/conducting-business/core-market-returns,https://assets.lloyds.com/media/1d9ce84f-4e74-4df8-bdf5-e54df33aee7e/RRQ-Return-Instructions-June-2024.pdf
RRQ,192,Q3,RRQ 192 - Q3 Claims Triangles Summary (NEW),https://www.lloyds.com/conducting-business/core-market-returns,https://assets.lloyds.com/media/1d9ce84f-4e74-4df8-bdf5-e54df33aee7e/RRQ-Return-Instructions-June-2024.pdf
RRQ,192,Q4,RRQ 192 - Q4 Claims Triangles Summary,https://www.lloyds.com/conducting-business/core-market-returns,https://assets.lloyds.com/media/1d9ce84f-4e74-4df8-bdf5-e54df33aee7e/RRQ-Return-Instructions-June-2024.pdf
RRQ,291,Q1,RRQ 291 - Q1 Claims Development Gross (NEW),https://www.lloyds.com/conducting-business/core-market-returns,https://assets.lloyds.com/media/1d9ce84f-4e74-4df8-bdf5-e54df33aee7e/RRQ-Return-Instructions-June-2024.pdf
RRQ,291,Q4,RRQ 291 - Q4 Claims Development Gross,https://www.lloyds.com/conducting-business/core-market-returns,https://assets.lloyds.com/media/1d9ce84f-4e74-4df8-bdf5-e54df33aee7e/RRQ-Return-Instructions-June-2024.pdf
RRQ,292,Q1,RRQ 292 - Q1 Claims Development Net (NEW),https://www.lloyds.com/conducting-business/core-market-returns,https://assets.lloyds.com/media/1d9ce84f-4e74-4df8-bdf5-e54df33aee7e/RRQ-Return-Instructions-June-2024.pdf
RRQ,292,Q4,RRQ 292 - Q4 Claims Development Net,https://www.lloyds.com/conducting-business/core-market-returns,https://assets.lloyds.com/media/1d9ce84f-4e74-4df8-bdf5-e54df33aee7e/RRQ-Return-Instructions-June-2024.pdf
QRT,NAN,Q1,QRT Solo - Q1 Submissions,https://www.lloyds.com/conducting-business/core-market-returns,https://assets.lloyds.com/assets/pdf-valuation-and-balance-sheet-pillar-3-instructions/1/pdf-valuation-and-balance-sheet-Pillar-3-Instructions.pdf
QRT,NAN,Q2,QRT Solo - Q2 Submissions,https://www.lloyds.com/conducting-business/core-market-returns,https://assets.lloyds.com/assets/pdf-valuation-and-balance-sheet-pillar-3-instructions/1/pdf-valuation-and-balance-sheet-Pillar-3-Instructions.pdf
QRT,NAN,Q3,QRT Solo - Q3 Submissions,https://www.lloyds.com/conducting-business/core-market-returns,https://assets.lloyds.com/assets/pdf-valuation-and-balance-sheet-pillar-3-instructions/1/pdf-valuation-and-balance-sheet-Pillar-3-Instructions.pdf
QRT,NAN,Q4,QRT Solo - Q4 Submissions,https://www.lloyds.com/conducting-business/core-market-returns,https://assets.lloyds.com/assets/pdf-valuation-and-balance-sheet-pillar-3-instructions/1/pdf-valuation-and-balance-sheet-Pillar-3-Instructions.pdf
QRT,NAN,YE,QRT Annual - S.05.02/S.06.03/S.19.01,https://www.lloyds.com/conducting-business/core-market-returns,https://assets.lloyds.com/assets/pdf-valuation-and-balance-sheet-pillar-3-instructions/1/pdf-valuation-and-balance-sheet-Pillar-3-Instructions.pdf
QRT,NAN,Q1,IR Quarterly - Q1 (IR0101-IR2801),https://www.lloyds.com/conducting-business/core-market-returns,https://assets.lloyds.com/assets/pdf-valuation-and-balance-sheet-pillar-3-instructions/1/pdf-valuation-and-balance-sheet-Pillar-3-Instructions.pdf
QRT,NAN,Q2,IR Quarterly - Q2 (IR0101-IR2801),https://www.lloyds.com/conducting-business/core-market-returns,https://assets.lloyds.com/assets/pdf-valuation-and-balance-sheet-pillar-3-instructions/1/pdf-valuation-and-balance-sheet-Pillar-3-Instructions.pdf
QRT,NAN,Q3,IR Quarterly - Q3 (IR0101-IR2801),https://www.lloyds.com/conducting-business/core-market-returns,https://assets.lloyds.com/assets/pdf-valuation-and-balance-sheet-pillar-3-instructions/1/pdf-valuation-and-balance-sheet-Pillar-3-Instructions.pdf
QRT,NAN,Q4,IR Quarterly - Q4 (IR0101-IR2801),https://www.lloyds.com/conducting-business/core-market-returns,https://assets.lloyds.com/assets/pdf-valuation-and-balance-sheet-pillar-3-instructions/1/pdf-valuation-and-balance-sheet-Pillar-3-Instructions.pdf
QRT,1901,YE,IR1901 - Annual Non-Life Claims Information,https://www.lloyds.com/conducting-business/core-market-returns,https://assets.lloyds.com/assets/pdf-valuation-and-balance-sheet-pillar-3-instructions/1/pdf-valuation-and-balance-sheet-Pillar-3-Instructions.pdf
LCR,NAN,YE,LCR - Lloyd's Capital Return,https://www.lloyds.com/mdc,https://assets.lloyds.com/media/d859a371-d8f9-4498-a0f0-1b681e7714d4/LCR%202025%20YOA%20Instructions.pdf
LCR,NAN,YE,LCR 2026 - Lloyd's Capital Return,https://www.lloyds.com/mdc,https://assets.lloyds.com/media-651c0e64-c1d0-4f97-90f7-883c69fe2ef2/d04237b0-2b4e-43dd-818a-50d5b10488ff/LCR%202026%20YOA%20Instructions.pdf
QMA,NAN,Q4,QMA - Q4 Monitoring A,https://www.lloyds.com/mdc,https://www.lloyds.com/market-resources/reporting-rationalisation/qma
QMB,NAN,Q4,QMB - Q4 Monitoring B,https://www.lloyds.com/mdc,https://www.lloyds.com/market-resources/reporting-rationalisation/qma
ASB,NAN,YE,ASB - Annual Solvency Balance,https://www.lloyds.com/conducting-business/core-market-returns,https://assets.lloyds.com/assets/pdf-valuation-and-balance-sheet-pillar-3-instructions/1/pdf-valuation-and-balance-sheet-Pillar-3-Instructions.pdf
AAD,NAN,YE,AAD - Annual Actuarial Data,https://www.lloyds.com/conducting-business/core-market-returns,https://assets.lloyds.com/assets/pdf-valuation-and-balance-sheet-pillar-3-instructions/1/pdf-valuation-and-balance-sheet-Pillar-3-Instructions.pdf
RDS,NAN,YE,RDS - Realistic Disaster Scenarios (NEW),https://www.lloyds.com/conducting-business/underwriting/realistic-disaster-scenarios,https://assets.lloyds.com/media/e0c22427-dc75-419d-b9c1-5feb0823bc80/2.%20RDS%20Scenario%20Specification%20-%20January%202025.pdf
ASR,251,YE,ASR 251 - Top 20 Underwriting Risks (NEW),https://www.lloyds.com/conducting-business/core-market-returns,https://assets.lloyds.com/media/7cdec3eb-41af-4c12-bdc1-3c466c5abacf/Solvency%20II%20Pillar%203%20-%20ASR%20Return%20Specifications%20Annual%202024.xlsx
LCM,NAN,Q4,LCM - Catastrophe Model Q4 2025 (NEW),https://www.lloyds.com/resources-and-services/capital-planning-group/exposure-management,https://assets.lloyds.com/media/d76e06ad-f2ef-4cb6-a1d4-342c6ab8dd52/2.%20LCM%20Forecast%20Returns%202025%20-%20Guidance%20and%20Instructions_EM500.pdf
LCM,NAN,Q1,LCM - Catastrophe Model Q1 2026 (NEW),https://www.lloyds.com/resources-and-services/capital-planning-group/exposure-management,https://assets.lloyds.com/media/330f6d7e-aff7-4b9e-a791-a7339393cbc6/2.%20LCM%20Forecast%20Returns%202026%20-%20Guidance%20and%20Instructions_EM540_v1.pdf
SRS,NAN,Q1,SRS - Syndicate Reinsurance Structure Q1 (NEW),https://www.lloyds.com/tools-and-systems/business-timetable,Contact Managing Agent Support
QAD,NAN,Q1,QAD - Quarterly Actuarial Data Q4 2025 (NEW),https://www.lloyds.com/conducting-business/core-market-returns,https://assets.lloyds.com/assets/pdf-valuation-and-balance-sheet-pillar-3-instructions/1/pdf-valuation-and-balance-sheet-Pillar-3-Instructions.pdf
QAD,NAN,Q1,QAD - Quarterly Actuarial Data Q1 2026 (NEW),https://www.lloyds.com/conducting-business/core-market-returns,https://assets.lloyds.com/assets/pdf-valuation-and-balance-sheet-pillar-3-instructions/1/pdf-valuation-and-balance-sheet-Pillar-3-Instructions.pdf
RPT,NAN,YE,Related Party Return (NEW),https://www.lloyds.com/conducting-business/regulatory-information,Contact Lloyds-SolvencyReturns@lloyds.com
UNK,NAN,YE,Annual Attestation 2026 (NEW),https://www.lloyds.com/conducting-business/delegated-authorities/compliance-and-operations/annual-compliance,https://www.lloyds.com/tools-and-systems/business-timetable
LCR,NAN,YE,LCR - Legacy RI Transactions (NEW),https://www.lloyds.com/mdc,Contact Lloyds-SolvencyReturns@lloyds.com
QMA,NAN,Q1,QMA - Q1 Delta (NEW),https://www.lloyds.com/mdc,https://www.lloyds.com/market-resources/reporting-rationalisation/qma
QMB,NAN,Q1,QMB - Q1 Return (NEW),https://www.lloyds.com/mdc,https://www.lloyds.com/market-resources/reporting-rationalisation/qma
SBF,NAN,YE,SBF - Syndicate Business Forecast,https://www.lloyds.com/mdc,https://assets.lloyds.com/assets/docx-market-data-collections-2020-sbf-return-instructions/1/docx-market-data-collections-2020-SBF-Return-Instructions.docx
SAO,NAN,YE,SAO - Statement of Actuarial Opinion,https://www.lloyds.com/mdc,https://www.lloyds.com/resources-and-services/capital-and-reserving/lloyds-reserving-guidance-and-support-materials
LSM,NAN,YE,LSM - Lloyd's Standard Model,https://www.lloyds.com/mdc,https://assets.lloyds.com/media/53e1f74e-c873-4af8-ae57-7dc2df1c695d/Lloyd's%20Standard%20Model%20Instructions.pdf
CAT,NAN,YE,Cat Risk 2026 Reporting,https://www.lloyds.com/resources-and-services/capital-planning-group/exposure-management,https://assets.lloyds.com/media/959d74af-f4ad-478c-aabb-d0d52c479c78/1.%20CPG%202026%20-%20cat%20risk%20reporting_EM_546_v1.pdf
HKR,NAN,Monthly,Hong Kong Risk Return,https://www.lloyds.com/conducting-business/core-market-returns,Contact ITMDC@lloyds.com
