Syndicate_Number,Year_of_Account,Development_Year,LOB_Code,Currency,Earned_Premium,Incurred_Loss,Incurred_Loss_Ratio,Paid_Loss,Outstanding_Reserve,Calendar_Year,As_At_Date
2987,2019,3,D1,GBP,31544085,16050009,0.5088,11213670,7556015,2022,2022-12-31
2987,2019,4,D1,GBP,31544085,15187848,0.4815,8215126,2511351,2023,2023-12-31
2987,2019,5,D1,GBP,31544085,21401508,0.6785,11487125,5224681,2024,2024-12-31
2987,2019,0,D2,GBP,28963302,5079058,0.1754,3377861,2033351,2019,2019-12-31
2987,2019,1,D2,GBP,28963302,8121346,0.2804,5831488,2516575,2020,2020-12-31
2987,2019,2,D2,GBP,28963302,11477368,0.3963,7556653,1859260,2021,2021-12-31
2987,2019,3,D2,GBP,28963302,15329801,0.5293,12658516,4283135,2022,2022-12-31
2987,2019,4,D2,GBP,28963302,13784534,0.4759,11917691,2816206,2023,2023-12-31
2987,2019,5,D2,GBP,28963302,16214129,0.5598,12288744,5238360,2024,2024-12-31
2987,2019,0,E1,GBP,8522081,1689227,0.1982,1315764,492371,2019,2019-12-31
2987,2019,1,E1,GBP,8522081,1957903,0.2297,1573000,939766,2020,2020-12-31
2987,2019,2,E1,GBP,8522081,3776672,0.4432,2096314,860263,2021,2021-12-31
2987,2019,3,E1,GBP,8522081,3815003,0.4477,2875490,985504,2022,2022-12-31
2987,2019,4,E1,GBP,8522081,4813318,0.5648,2964309,526602,2023,2023-12-31
2987,2019,5,E1,GBP,8522081,5783813,0.6787,3851877,735612,2024,2024-12-31
2987,2020,0,A1,GBP,18430121,3579593,0.1942,2088816,1192346,2020,2020-12-31
2987,2020,1,A1,GBP,18430121,4161606,0.2258,3249089,1384288,2021,2021-12-31
2987,2020,2,A1,GBP,18430121,6546705,0.3552,5626445,1084603,2022,2022-12-31
2987,2020,3,A1,GBP,18430121,7646582,0.4149,5463421,3563920,2023,2023-12-31
2987,2020,4,A1,GBP,18430121,11379809,0.6175,6970893,3670046,2024,2024-12-31
2987,2020,0,A2,GBP,39284551,7037099,0.1791,5868440,2826581,2020,2020-12-31
2987,2020,1,A2,GBP,39284551,9971648,0.2538,5766693,4578694,2021,2021-12-31
2987,2020,2,A2,GBP,39284551,14099023,0.3589,10717866,3957030,2022,2022-12-31
2987,2020,3,A2,GBP,39284551,18013514,0.4585,15979678,6642277,2023,2023-12-31
2987,2020,4,A2,GBP,39284551,24484243,0.6233,14245814,3552110,2024,2024-12-31
2987,2020,0,D1,GBP,31001467,6521086,0.2103,5198123,2932491,2020,2020-12-31
2987,2020,1,D1,GBP,31001467,7673360,0.2475,5586841,3060974,2021,2021-12-31
2987,2020,2,D1,GBP,31001467,13173746,0.4249,10139602,5989586,2022,2022-12-31
2987,2020,3,D1,GBP,31001467,16379588,0.5283,10554602,1994166,2023,2023-12-31
2987,2020,4,D1,GBP,31001467,18318037,0.5909,13312425,8311849,2024,2024-12-31
2987,2020,0,D2,GBP,21933752,3646715,0.1663,1858092,382701,2020,2020-12-31
2987,2020,1,D2,GBP,21933752,6982139,0.3183,5893925,1274527,2021,2021-12-31
2987,2020,2,D2,GBP,21933752,9695140,0.442,6354472,2239029,2022,2022-12-31
2987,2020,3,D2,GBP,21933752,12272878,0.5595,9090829,2038560,2023,2023-12-31
2987,2020,4,D2,GBP,21933752,12296686,0.5606,8906882,2633175,2024,2024-12-31
2987,2020,0,E1,GBP,49763243,10664358,0.2143,6392294,3695713,2020,2020-12-31
2987,2020,1,E1,GBP,49763243,16147992,0.3245,13581632,5614829,2021,2021-12-31
2987,2020,2,E1,GBP,49763243,21327276,0.4286,18740594,10067834,2022,2022-12-31
2987,2020,3,E1,GBP,49763243,21492556,0.4319,14025362,7033317,2023,2023-12-31
2987,2020,4,E1,GBP,49763243,24179194,0.4859,12607397,4500315,2024,2024-12-31
2987,2021,0,A1,GBP,17803394,3966961,0.2228,3160630,988282,2021,2021-12-31
2987,2021,1,A1,GBP,17803394,4566527,0.2565,3477183,1000014,2022,2022-12-31
2987,2021,2,A1,GBP,17803394,5434466,0.3052,2978253,851772,2023,2023-12-31
2987,2021,3,A1,GBP,17803394,8201559,0.4607,7159126,4045937,2024,2024-12-31
2987,2021,0,A2,GBP,18734900,2979305,0.159,2248433,1432956,2021,2021-12-31
2987,2021,1,A2,GBP,18734900,5886239,0.3142,5015759,2783115,2022,2022-12-31
2987,2021,2,A2,GBP,18734900,6111084,0.3262,3330752,2382855,2023,2023-12-31
2987,2021,3,A2,GBP,18734900,8624767,0.4604,7370518,3259881,2024,2024-12-31
2987,2021,0,D1,GBP,23329749,3972006,0.1703,3102735,1159388,2021,2021-12-31
2987,2021,1,D1,GBP,23329749,7168912,0.3073,4024038,903735,2022,2022-12-31
2987,2021,2,D1,GBP,23329749,9371627,0.4017,4797891,2801829,2023,2023-12-31
2987,2021,3,D1,GBP,23329749,12381321,0.5307,8233203,6056482,2024,2024-12-31
2987,2021,0,D2,GBP,43705754,9497505,0.2173,7243215,4594622,2021,2021-12-31
2987,2021,1,D2,GBP,43705754,14142844,0.3236,11087433,5481035,2022,2022-12-31
2987,2021,2,D2,GBP,43705754,14440590,0.3304,8764192,5321314,2023,2023-12-31
2987,2021,3,D2,GBP,43705754,24282831,0.5556,13968162,9127189,2024,2024-12-31
2987,2021,0,E1,GBP,5130767,1152820,0.2247,596756,374994,2021,2021-12-31
2987,2021,1,E1,GBP,5130767,1649091,0.3214,1193245,628598,2022,2022-12-31
2987,2021,2,E1,GBP,5130767,2148737,0.4188,1689396,853070,2023,2023-12-31
2987,2021,3,E1,GBP,5130767,2199672,0.4287,1177630,543140,2024,2024-12-31
2987,2022,0,A1,GBP,36707272,7005373,0.1908,4548637,3227573,2022,2022-12-31
2987,2022,1,A1,GBP,36707272,11258022,0.3067,8064197,2570031,2023,2023-12-31
2987,2022,2,A1,GBP,36707272,14532303,0.3959,9632019,4825955,2024,2024-12-31
2987,2022,0,A2,GBP,29971873,5546634,0.1851,3544159,1203507,2022,2022-12-31
2987,2022,1,A2,GBP,29971873,9489112,0.3166,7597587,2825898,2023,2023-12-31
2987,2022,2,A2,GBP,29971873,11429482,0.3813,7362089,3116642,2024,2024-12-31
2987,2022,0,D1,GBP,45409729,7673791,0.169,4259388,3605819,2022,2022-12-31
2987,2022,1,D1,GBP,45409729,13514603,0.2976,9194085,4266353,2023,2023-12-31
2987,2022,2,D1,GBP,45409729,18257011,0.4021,15626109,4333876,2024,2024-12-31
2987,2022,0,D2,GBP,46947255,7552817,0.1609,4808576,2666740,2022,2022-12-31
2987,2022,1,D2,GBP,46947255,14496810,0.3088,12183686,4776365,2023,2023-12-31
2987,2022,2,D2,GBP,46947255,20965930,0.4466,17127301,9012712,2024,2024-12-31
2987,2022,0,E1,GBP,31598610,4933514,0.1561,3293566,714135,2022,2022-12-31
2987,2022,1,E1,GBP,31598610,8892027,0.2814,4595322,1258454,2023,2023-12-31
2987,2022,2,E1,GBP,31598610,9498734,0.3006,8300013,3475157,2024,2024-12-31
2987,2023,0,A1,GBP,16052957,3298535,0.2055,2551760,1369187,2023,2023-12-31
2987,2023,1,A1,GBP,16052957,4495353,0.28,2832948,1953624,2024,2024-12-31
2987,2023,0,A2,GBP,30053223,5744186,0.1911,3779583,2083742,2023,2023-12-31
2987,2023,1,A2,GBP,30053223,8090026,0.2692,5912253,3235448,2024,2024-12-31
2987,2023,0,D1,GBP,12142170,2026966,0.1669,1535550,328937,2023,2023-12-31
2987,2023,1,D1,GBP,12142170,3679910,0.3031,2948813,1422214,2024,2024-12-31
2987,2023,0,D2,GBP,38857165,8159815,0.21,5696213,3805227,2023,2023-12-31
2987,2023,1,D2,GBP,38857165,11780733,0.3032,7334947,4739627,2024,2024-12-31
2987,2023,0,E1,GBP,25324429,5366053,0.2119,3846315,743922,2023,2023-12-31
2987,2023,1,E1,GBP,25324429,8018489,0.3166,4084636,901590,2024,2024-12-31
2987,2024,0,A1,GBP,13125241,2172641,0.1655,1805600,808640,2024,2024-12-31
2987,2024,0,A2,GBP,9497760,1605193,0.169,1413220,431422,2024,2024-12-31
2987,2024,0,D1,GBP,28992377,5787425,0.1996,2918178,1962077,2024,2024-12-31
2987,2024,0,D2,GBP,28029721,5019591,0.1791,2928325,1362364,2024,2024-12-31
2987,2024,0,E1,GBP,44573479,9760106,0.219,7359977,3292420,2024,2024-12-31
33,2018,0,A1,GBP,37972830,8478421,0.2233,5934877,2039897,2018,2018-12-31
33,2018,1,A1,GBP,37972830,9636573,0.2538,6643829,4039002,2019,2019-12-31
33,2018,2,A1,GBP,37972830,15680412,0.4129,12668439,4219295,2020,2020-12-31
33,2018,3,A1,GBP,37972830,18420083,0.4851,15698594,8835172,2021,2021-12-31
33,2018,4,A1,GBP,37972830,22939038,0.6041,20595937,5780337,2022,2022-12-31
33,2018,5,A1,GBP,37972830,28126173,0.7407,22602749,3789480,2023,2023-12-31
33,2018,0,A2,GBP,21921928,4182268,0.1908,2229926,1629877,2018,2018-12-31
33,2018,1,A2,GBP,21921928,6697279,0.3055,5819428,1887792,2019,2019-12-31
33,2018,2,A2,GBP,21921928,9039678,0.4124,5392633,4461985,2020,2020-12-31
33,2018,3,A2,GBP,21921928,8361881,0.3814,5217190,3435608,2021,2021-12-31
33,2018,4,A2,GBP,21921928,14080333,0.6423,8259835,3720627,2022,2022-12-31
33,2018,5,A2,GBP,21921928,11017379,0.5026,6074472,4903688,2023,2023-12-31
33,2018,0,D1,GBP,6894868,1518011,0.2202,1028865,456661,2018,2018-12-31
33,2018,1,D1,GBP,6894868,1910621,0.2771,1488091,487726,2019,2019-12-31
33,2018,2,D1,GBP,6894868,3025103,0.4387,2303558,361457,2020,2020-12-31
33,2018,3,D1,GBP,6894868,3342710,0.4848,2604929,990911,2021,2021-12-31
33,2018,4,D1,GBP,6894868,4502410,0.653,2779588,743341,2022,2022-12-31
33,2018,5,D1,GBP,6894868,3947806,0.5726,2497248,567970,2023,2023-12-31
33,2018,0,D2,GBP,15388196,3426064,0.2226,1818308,1003351,2018,2018-12-31
33,2018,1,D2,GBP,15388196,3893479,0.253,2549922,1548873,2019,2019-12-31
33,2018,2,D2,GBP,15388196,6125744,0.3981,3495671,1535649,2020,2020-12-31
33,2018,3,D2,GBP,15388196,6642728,0.4317,3915018,2964159,2021,2021-12-31
33,2018,4,D2,GBP,15388196,8945207,0.5813,6237854,3448656,2022,2022-12-31
33,2018,5,D2,GBP,15388196,10804123,0.7021,9499162,1582110,2023,2023-12-31
33,2018,0,E1,GBP,16034930,2572650,0.1604,2048196,1231447,2018,2018-12-31
33,2018,1,E1,GBP,16034930,4623058,0.2883,3121668,1140370,2019,2019-12-31
33,2018,2,E1,GBP,16034930,6491551,0.4048,3299103,2012835,2020,2020-12-31
33,2018,3,E1,GBP,16034930,8099079,0.5051,6106161,1154371,2021,2021-12-31
33,2018,4,E1,GBP,16034930,8924609,0.5566,5457941,2881868,2022,2022-12-31
33,2018,5,E1,GBP,16034930,9710173,0.6056,5108232,1991655,2023,2023-12-31
33,2019,0,A1,GBP,49607417,8771741,0.1768,5794005,4102629,2019,2019-12-31
33,2019,1,A1,GBP,49607417,16221343,0.327,13791599,2407317,2020,2020-12-31
33,2019,2,A1,GBP,49607417,16087650,0.3243,11714515,5885769,2021,2021-12-31
33,2019,3,A1,GBP,49607417,22752151,0.4586,20445268,5672719,2022,2022-12-31
33,2019,4,A1,GBP,49607417,25258931,0.5092,13304574,10507696,2023,2023-12-31
33,2019,5,A1,GBP,49607417,27104378,0.5464,18032605,8778203,2024,2024-12-31
33,2019,0,A2,GBP,20585919,3400455,0.1652,2108748,1355614,2019,2019-12-31
33,2019,1,A2,GBP,20585919,5536682,0.269,3591886,1683585,2020,2020-12-31
33,2019,2,A2,GBP,20585919,6213341,0.3018,4410386,1282154,2021,2021-12-31
33,2019,3,A2,GBP,20585919,9767449,0.4745,6068883,4147109,2022,2022-12-31
33,2019,4,A2,GBP,20585919,10743669,0.5219,6419024,3138823,2023,2023-12-31
33,2019,5,A2,GBP,20585919,11392047,0.5534,8721916,3318619,2024,2024-12-31
33,2019,0,D1,GBP,19369517,3049314,0.1574,1997736,1077501,2019,2019-12-31
33,2019,1,D1,GBP,19369517,5537896,0.2859,4549647,877451,2020,2020-12-31
33,2019,2,D1,GBP,19369517,6179715,0.319,4350192,2746723,2021,2021-12-31
33,2019,3,D1,GBP,19369517,7510508,0.3877,5297565,3717286,2022,2022-12-31
33,2019,4,D1,GBP,19369517,11183676,0.5774,6697088,4488741,2023,2023-12-31
33,2019,5,D1,GBP,19369517,13751247,0.7099,8865277,2614618,2024,2024-12-31
33,2019,0,D2,GBP,22613959,4081352,0.1805,3268952,478185,2019,2019-12-31
33,2019,1,D2,GBP,22613959,5903483,0.2611,3883615,1045166,2020,2020-12-31
33,2019,2,D2,GBP,22613959,9248527,0.409,6006667,2588952,2021,2021-12-31
33,2019,3,D2,GBP,22613959,12026551,0.5318,7094323,5568331,2022,2022-12-31
33,2019,4,D2,GBP,22613959,12615362,0.5579,11098429,3832785,2023,2023-12-31
33,2019,5,D2,GBP,22613959,13605303,0.6016,11547480,4818151,2024,2024-12-31
33,2019,0,E1,GBP,21196093,4131614,0.1949,2541153,1690820,2019,2019-12-31
33,2019,1,E1,GBP,21196093,5801019,0.2737,2972242,734023,2020,2020-12-31
33,2019,2,E1,GBP,21196093,6628577,0.3127,5678438,1048810,2021,2021-12-31
33,2019,3,E1,GBP,21196093,10497630,0.4953,6800453,2701113,2022,2022-12-31
33,2019,4,E1,GBP,21196093,11753532,0.5545,9669919,5487069,2023,2023-12-31
33,2019,5,E1,GBP,21196093,12206283,0.5759,8716706,2817638,2024,2024-12-31
33,2020,0,A1,GBP,25679050,5499256,0.2142,3783294,1622912,2020,2020-12-31
33,2020,1,A1,GBP,25679050,7965885,0.3102,6657911,2675138,2021,2021-12-31
33,2020,2,A1,GBP,25679050,9861478,0.384,7621675,3350306,2022,2022-12-31
33,2020,3,A1,GBP,25679050,13413208,0.5223,7443082,3149825,2023,2023-12-31
33,2020,4,A1,GBP,25679050,15550473,0.6056,13841330,4868785,2024,2024-12-31
33,2020,0,A2,GBP,46363666,9149982,0.1974,5495819,1896650,2020,2020-12-31
33,2020,1,A2,GBP,46363666,11846647,0.2555,7292544,3618050,2021,2021-12-31
33,2020,2,A2,GBP,46363666,16086233,0.347,13871550,7446108,2022,2022-12-31
33,2020,3,A2,GBP,46363666,22306848,0.4811,14263116,4964144,2023,2023-12-31
33,2020,4,A2,GBP,46363666,29477574,0.6358,20842670,7800228,2024,2024-12-31
33,2020,0,D1,GBP,22710710,4424773,0.1948,3397667,775844,2020,2020-12-31
33,2020,1,D1,GBP,22710710,6676234,0.294,5439510,2810011,2021,2021-12-31
33,2020,2,D1,GBP,22710710,9158089,0.4032,5274934,3428714,2022,2022-12-31
33,2020,3,D1,GBP,22710710,11551040,0.5086,8330162,2099814,2023,2023-12-31
33,2020,4,D1,GBP,22710710,12584125,0.5541,8910127,1848410,2024,2024-12-31
33,2020,0,D2,GBP,24559624,4860218,0.1979,2830073,2021743,2020,2020-12-31
33,2020,1,D2,GBP,24559624,7820245,0.3184,4482807,2807397,2021,2021-12-31
33,2020,2,D2,GBP,24559624,9198643,0.3745,5503120,2701984,2022,2022-12-31
33,2020,3,D2,GBP,24559624,10456599,0.4258,7604830,3293446,2023,2023-12-31
33,2020,4,D2,GBP,24559624,11860492,0.4829,8805152,2384128,2024,2024-12-31
33,2020,0,E1,GBP,30270649,6386610,0.211,5706736,647007,2020,2020-12-31
33,2020,1,E1,GBP,30270649,7454280,0.2463,6512422,3511877,2021,2021-12-31
33,2020,2,E1,GBP,30270649,11146079,0.3682,9990693,3716475,2022,2022-12-31
33,2020,3,E1,GBP,30270649,12924195,0.427,9395650,2322167,2023,2023-12-31
33,2020,4,E1,GBP,30270649,13969100,0.4615,9374424,6882277,2024,2024-12-31
33,2021,0,A1,GBP,44948012,7106547,0.1581,4795987,1600797,2021,2021-12-31
33,2021,1,A1,GBP,44948012,10819855,0.2407,5941903,4371759,2022,2022-12-31
33,2021,2,A1,GBP,44948012,20187433,0.4491,10425069,2586252,2023,2023-12-31
33,2021,3,A1,GBP,44948012,17761164,0.3951,12683052,2681382,2024,2024-12-31
33,2021,0,A2,GBP,11435110,2509218,0.2194,1943865,456570,2021,2021-12-31
33,2021,1,A2,GBP,11435110,3719527,0.3253,2702708,386616,2022,2022-12-31
33,2021,2,A2,GBP,11435110,4009617,0.3506,3006186,845506,2023,2023-12-31
33,2021,3,A2,GBP,11435110,5209698,0.4556,3085158,1809457,2024,2024-12-31
33,2021,0,D1,GBP,43293465,8934883,0.2064,7783539,2157064,2021,2021-12-31
33,2021,1,D1,GBP,43293465,10892235,0.2516,5546125,3634172,2022,2022-12-31
33,2021,2,D1,GBP,43293465,17938763,0.4144,10202437,8728282,2023,2023-12-31
33,2021,3,D1,GBP,43293465,19346269,0.4469,13865171,2069590,2024,2024-12-31
33,2021,0,D2,GBP,15763978,2472396,0.1568,1968478,1215105,2021,2021-12-31
33,2021,1,D2,GBP,15763978,4025245,0.2553,2795544,556584,2022,2022-12-31
33,2021,2,D2,GBP,15763978,6728181,0.4268,3958790,1909475,2023,2023-12-31
33,2021,3,D2,GBP,15763978,6401089,0.4061,3644890,1204279,2024,2024-12-31
33,2021,0,E1,GBP,12206613,1833892,0.1502,1409281,502628,2021,2021-12-31
33,2021,1,E1,GBP,12206613,3928707,0.3219,3299468,1094011,2022,2022-12-31
33,2021,2,E1,GBP,12206613,4087104,0.3348,3428724,1076599,2023,2023-12-31
33,2021,3,E1,GBP,12206613,5593984,0.4583,3133493,2546646,2024,2024-12-31
33,2022,0,A1,GBP,46275502,9546731,0.2063,4861296,3876186,2022,2022-12-31
33,2022,1,A1,GBP,46275502,11479887,0.2481,8831757,3153067,2023,2023-12-31
33,2022,2,A1,GBP,46275502,19957328,0.4313,12711131,2161105,2024,2024-12-31
33,2022,0,A2,GBP,39061730,7662850,0.1962,6400683,2625457,2022,2022-12-31
33,2022,1,A2,GBP,39061730,10427845,0.267,8148136,3549444,2023,2023-12-31
33,2022,2,A2,GBP,39061730,15813724,0.4048,10295773,6566300,2024,2024-12-31
33,2022,0,D1,GBP,18900320,3143966,0.1663,2016244,659153,2022,2022-12-31
33,2022,1,D1,GBP,18900320,5772725,0.3054,4960970,1453442,2023,2023-12-31
33,2022,2,D1,GBP,18900320,8158504,0.4317,7214255,3056150,2024,2024-12-31
33,2022,0,D2,GBP,42803034,7203984,0.1683,5612136,2023587,2022,2022-12-31
33,2022,1,D2,GBP,42803034,13483440,0.315,8839041,3210051,2023,2023-12-31
33,2022,2,D2,GBP,42803034,15286916,0.3571,10645548,5956873,2024,2024-12-31
33,2022,0,E1,GBP,33463407,5244036,0.1567,3156753,1003827,2022,2022-12-31
33,2022,1,E1,GBP,33463407,8909361,0.2662,8008086,2596297,2023,2023-12-31
33,2022,2,E1,GBP,33463407,10885018,0.3253,9159293,3896875,2024,2024-12-31
33,2023,0,A1,GBP,45205270,8580875,0.1898,4962190,982658,2023,2023-12-31
33,2023,1,A1,GBP,45205270,12111055,0.2679,6287955,2318444,2024,2024-12-31
33,2023,0,A2,GBP,15653778,2456520,0.1569,1911479,294846,2023,2023-12-31
33,2023,1,A2,GBP,15653778,3661672,0.2339,3195922,1029809,2024,2024-12-31
33,2023,0,D1,GBP,24673152,3963064,0.1606,2672521,1777051,2023,2023-12-31
33,2023,1,D1,GBP,24673152,6067800,0.2459,4027719,1011208,2024,2024-12-31
33,2023,0,D2,GBP,9481456,1587064,0.1674,852107,191810,2023,2023-12-31
33,2023,1,D2,GBP,9481456,2831589,0.2986,2304078,1363510,2024,2024-12-31
33,2023,0,E1,GBP,16807397,2884455,0.1716,1984791,776799,2023,2023-12-31
33,2023,1,E1,GBP,16807397,4099184,0.2439,2077764,1986205,2024,2024-12-31
33,2024,0,A1,GBP,45442105,9244727,0.2034,4871535,1299846,2024,2024-12-31
33,2024,0,A2,GBP,16994407,3229727,0.19,2621323,1037955,2024,2024-12-31
33,2024,0,D1,GBP,29758512,6077897,0.2042,3410231,2873994,2024,2024-12-31
33,2024,0,D2,GBP,21485060,4490766,0.209,2830040,757672,2024,2024-12-31
33,2024,0,E1,GBP,23276256,4387421,0.1885,2230069,1324140,2024,2024-12-31
1183,2018,0,A1,GBP,8815143,1582630,0.1795,897035,455206,2018,2018-12-31
1183,2018,1,A1,GBP,8815143,2822921,0.3202,1684635,969920,2019,2019-12-31
1183,2018,2,A1,GBP,8815143,3130068,0.3551,2545568,891950,2020,2020-12-31
1183,2018,3,A1,GBP,8815143,4057628,0.4603,3181519,1563695,2021,2021-12-31
1183,2018,4,A1,GBP,8815143,4288298,0.4865,3183650,501342,2022,2022-12-31
1183,2018,5,A1,GBP,8815143,6573576,0.7457,3644138,1412536,2023,2023-12-31
1183,2018,0,A2,GBP,40493411,8500087,0.2099,6553653,2193079,2018,2018-12-31
1183,2018,1,A2,GBP,40493411,11577684,0.2859,7659325,3589317,2019,2019-12-31
1183,2018,2,A2,GBP,40493411,17991859,0.4443,15784512,4346368,2020,2020-12-31
1183,2018,3,A2,GBP,40493411,19782426,0.4885,15575541,7907773,2021,2021-12-31
1183,2018,4,A2,GBP,40493411,25070160,0.6191,17784474,6595240,2022,2022-12-31
1183,2018,5,A2,GBP,40493411,25340296,0.6258,17735436,10691970,2023,2023-12-31
1183,2018,0,D1,GBP,18884355,2936635,0.1555,2636762,1282658,2018,2018-12-31
1183,2018,1,D1,GBP,18884355,4494435,0.238,3872702,1137222,2019,2019-12-31
1183,2018,2,D1,GBP,18884355,6513737,0.3449,3319076,1920827,2020,2020-12-31
1183,2018,3,D1,GBP,18884355,9738348,0.5157,5708893,3993003,2021,2021-12-31
1183,2018,4,D1,GBP,18884355,11686171,0.6188,7946317,3928563,2022,2022-12-31
1183,2018,5,D1,GBP,18884355,13024332,0.6897,7240721,5437713,2023,2023-12-31
1183,2018,0,D2,GBP,31599321,5319331,0.1683,2694513,1015080,2018,2018-12-31
1183,2018,1,D2,GBP,31599321,8670551,0.2744,6023521,2484456,2019,2019-12-31
1183,2018,2,D2,GBP,31599321,11684819,0.3698,9966605,3333909,2020,2020-12-31
1183,2018,3,D2,GBP,31599321,14313307,0.453,7450627,6857364,2021,2021-12-31
1183,2018,4,D2,GBP,31599321,20597503,0.6518,17901262,4493700,2022,2022-12-31
1183,2018,5,D2,GBP,31599321,16219294,0.5133,11127015,4129801,2023,2023-12-31
1183,2018,0,E1,GBP,48851080,10522936,0.2154,5590303,2289584,2018,2018-12-31
1183,2018,1,E1,GBP,48851080,15504018,0.3174,11172857,1801718,2019,2019-12-31
1183,2018,2,E1,GBP,48851080,21846379,0.4472,18326268,2776724,2020,2020-12-31
1183,2018,3,E1,GBP,48851080,21355118,0.4371,13328513,6463917,2021,2021-12-31
1183,2018,4,E1,GBP,48851080,22104509,0.4525,11947953,8791738,2022,2022-12-31
1183,2018,5,E1,GBP,48851080,31284110,0.6404,16391459,9504196,2023,2023-12-31
1183,2019,0,A1,GBP,47323849,8948079,0.1891,4560441,2338713,2019,2019-12-31
1183,2019,1,A1,GBP,47323849,14899086,0.3148,10192708,5195446,2020,2020-12-31
1183,2019,2,A1,GBP,47323849,16219732,0.3427,8440205,4976197,2021,2021-12-31
1183,2019,3,A1,GBP,47323849,18840492,0.3981,12724098,5558071,2022,2022-12-31
