Syndicate Number,UMR,Insured Country,Risk Location,Insured Name,Insured - Policyholder Type,Risk Code,Risk / Certificate Reference,Original Currency,Sum Insured,Gross Annual Premium in Period,YOA,Part VII Indicator,Original Signing Number,Original Signing Date
6789,U67895291FPZ,BELGIUM,BELGIUM,United Manufacturing Corp,BUSINESS,1E,1E1158,GBP,1220438.13,65474.83,2023,Y,21/29536,07/10/2023
623,E6231685L62,SPAIN,SPAIN,ABC Commercial Ltd,COMMERCIAL,7,76862,CHF,4972834.6,332901.98,2023,Y,22/97416,22/02/2023
5678,H56783662935,HONG KONG,HONG KONG,Global Industries Inc,BUSINESS,em,em3938,CAD,2435649.88,190269.98,2025,,23/63964,09/12/2025
3456,B34568711I3Q,FRANCE,FRANCE,Metro Business Group,COMMERCIAL,2E,2E4728,CAD,4601812.65,592039.25,2023,Y,21/96511,09/04/2023
6789,L67899346O9T,GERMANY,GERMANY,Mega Corporation plc,CORPORATE,3E,3E2889,CAD,80859238.94,4863130.82,2023,N,22/86099,16/05/2023
623,N6239379E6G,SWITZERLAND,SWITZERLAND,Mega Corporation plc,CORPORATE,7,78144,JPY,87096462.4,4727745.24,2021,Y,22/57739,09/08/2021
1234,Q12346067YLZ,FRANCE,FRANCE,Prime Industries Corp,CORPORATE,7,73085,EUR,60072035.73,3190549.9,2023,Y,24/97153,14/07/2023
2791,J27915700H2V,SINGAPORE,SINGAPORE,Williams Group,RETAIL,7,78618,EUR,106446.47,13406.79,2025,N,24/98555,20/04/2025
8901,J89019445XWD,ITALY,ITALY,Jones & Co,RETAIL,eh,eh6085,CAD,91849.89,9296.59,2024,Y,22/29313,13/01/2024
623,N6234185ZNO,GERMANY,GERMANY,XYZ Trading Co,COMMERCIAL,5,51090,CHF,4079878.63,449809.56,2022,Y,24/38683,01/04/2022
8901,O890131842Y9,AUSTRALIA,AUSTRALIA,Davis LLC,RETAIL,1E,1E6198,CHF,866714.96,83730.06,2024,N,24/81810,16/08/2024
2791,Y27919540RIP,AUSTRALIA,AUSTRALIA,Premier Group International,CORPORATE,5,54841,EUR,23182435.96,1764205.29,2024,N,23/51904,03/10/2024
1234,W12344505COT,SINGAPORE,SINGAPORE,Continental Services plc,BUSINESS,2E,2E2020,USD,1931807.89,113415.9,2022,Y,24/61049,27/10/2022
623,J623738948P,UNITED KINGDOM,UNITED KINGDOM,Prime Industries Corp,CORPORATE,4,44613,JPY,16545222.88,835477.9,2025,N,22/45774,12/08/2025
7890,O789030919T6,SINGAPORE,SINGAPORE,United Manufacturing Corp,BUSINESS,4,41444,EUR,3172423.26,397510.15,2021,Y,24/27786,25/08/2021
2791,O27916355M5K,BELGIUM,BELGIUM,Continental Services plc,BUSINESS,3E,3E5133,JPY,904416.53,52484.95,2021,Y,24/12540,04/10/2021
623,Y62315088HA,GERMANY,GERMANY,Jones & Co,RETAIL,2T,2T4908,AUD,1149741.11,72151.45,2023,Y,24/97747,28/02/2023
9012,F901228762FL,CANADA,CANADA,Prime Industries Corp,CORPORATE,5,51420,AUD,24263737.67,3970716.56,2022,N,24/61990,12/04/2022
1234,W123459414VE,AUSTRALIA,AUSTRALIA,Davis LLC,RETAIL,9,91672,CAD,263148.87,39054.24,2025,N,24/96706,09/07/2025
1234,P12342729PN6,UNITED KINGDOM,UNITED KINGDOM,City Enterprises plc,COMMERCIAL,8,83506,EUR,12581517.67,876793.08,2025,N,22/78386,30/11/2025
4567,N45675397LI7,MEXICO,MEXICO,Metro Business Group,COMMERCIAL,eh,eh8385,CHF,2368301.61,397808.22,2025,Y,24/84691,09/11/2025
6789,P67894475MJK,BELGIUM,BELGIUM,United Manufacturing Corp,BUSINESS,1E,1E5526,JPY,1876199.95,189942.04,2023,,21/77715,08/04/2023
1234,W12348800XR2,MEXICO,MEXICO,Global Industries Inc,BUSINESS,9,95820,JPY,5509651.62,378322.78,2022,Y,24/41890,06/06/2022
9012,N90126419MQL,INDIA,INDIA,Supreme Holdings Ltd,CORPORATE,5,52976,CHF,54283367.8,4492457.34,2023,,22/51359,03/03/2023
8901,X89019595V93,MEXICO,MEXICO,Premier Group International,CORPORATE,2T,2T4727,USD,16297954.63,1038174.11,2022,N,22/49618,08/01/2022
8901,W89013068W1D,UNITED STATES,UNITED STATES,Mega Corporation plc,CORPORATE,3E,3E5658,GBP,52650505.34,3923532.72,2022,N,24/67733,24/06/2022
2791,C27917565RUY,MEXICO,MEXICO,Jones & Co,RETAIL,3E,3E3444,CAD,970741.84,78241.88,2021,,23/21164,08/05/2021
1234,O12348253KVP,AUSTRALIA,AUSTRALIA,Urban Services Ltd,COMMERCIAL,eh,eh1986,JPY,6510720.6,570459.55,2025,,21/37235,17/11/2025
3456,F34562229FOY,ITALY,ITALY,Continental Services plc,BUSINESS,8,85771,GBP,406623.54,61438.61,2023,Y,22/47762,28/12/2023
4567,Z45674241PTX,AUSTRALIA,AUSTRALIA,Premier Group International,CORPORATE,1T,1T3330,AUD,9330360.44,641431.34,2024,Y,21/31747,06/06/2024
9012,O90125982Z7S,BRAZIL,BRAZIL,Brown Enterprises,RETAIL,em,em8172,EUR,440279.86,34863.82,2025,Y,21/66626,15/06/2025
9012,Y90125415U1G,AUSTRALIA,AUSTRALIA,Davis LLC,RETAIL,1E,1E8245,GBP,797196.24,91218.82,2023,N,22/86720,12/08/2023
7890,K789027134LY,HONG KONG,HONG KONG,Premier Group International,CORPORATE,5,57561,EUR,38329655.97,2346723.15,2021,,21/69614,15/02/2021
5678,V56789889QBS,SINGAPORE,SINGAPORE,Davis LLC,RETAIL,3T,3T9167,GBP,164550.98,26735.83,2023,,24/16764,15/04/2023
4567,D456714729VI,BRAZIL,BRAZIL,XYZ Trading Co,COMMERCIAL,2E,2E6091,EUR,2676353.87,360776.31,2025,,21/82384,28/07/2025
1234,U12343522RZS,BRAZIL,BRAZIL,Williams Group,RETAIL,el,el7807,GBP,1597828.82,93321.28,2022,N,24/41946,22/08/2022
8901,C8901552614M,INDIA,INDIA,United Manufacturing Corp,BUSINESS,4,45377,USD,6054662.16,335031.69,2022,Y,23/49132,28/10/2022
9012,L90126446TTQ,BRAZIL,BRAZIL,Metro Business Group,COMMERCIAL,el,el4090,USD,6420584.92,823304.87,2024,,22/84946,15/07/2024
3456,M34563492RBS,MEXICO,MEXICO,Urban Services Ltd,COMMERCIAL,1E,1E6439,EUR,11824358.29,903303.1,2024,Y,24/23069,26/09/2024
7890,C789086922JW,HONG KONG,HONG KONG,Continental Services plc,BUSINESS,9,92315,USD,7622704.49,413348.07,2021,N,24/51505,17/11/2021
7890,U7890570890P,GERMANY,GERMANY,Global Industries Inc,BUSINESS,1E,1E2646,CHF,1284275.77,193101.56,2025,N,22/49251,15/01/2025
623,L6238056FTU,NETHERLANDS,NETHERLANDS,Supreme Holdings Ltd,CORPORATE,eh,eh3785,GBP,17403169.17,1525708.23,2023,Y,21/89887,15/07/2023
9012,O90125161QY6,SPAIN,SPAIN,Continental Services plc,BUSINESS,5,55712,CHF,7488690.78,418106.64,2022,,22/19681,15/08/2022
5678,O56785949HNR,HONG KONG,HONG KONG,Supreme Holdings Ltd,CORPORATE,3E,3E7248,AUD,6726705.52,531284.59,2025,,23/85341,01/06/2025
4567,A45671803603,SINGAPORE,SINGAPORE,Premier Group International,CORPORATE,el,el4770,AUD,19815497.58,2378349.51,2021,,23/38705,22/11/2021
3456,U34561645LPU,SPAIN,SPAIN,Jones & Co,RETAIL,3E,3E2476,AUD,164924.61,16387.21,2025,N,23/64460,31/03/2025
3456,F34565210678,SWITZERLAND,SWITZERLAND,Premier Group International,CORPORATE,eh,eh6549,CHF,46710195.06,4743093.67,2022,Y,24/19869,14/03/2022
3456,C34567464ATQ,CHINA,CHINA,Premier Group International,CORPORATE,el,el7242,CAD,44064007.1,2834557.8,2024,,23/24201,11/12/2024
3456,T34564626XWQ,CHINA,CHINA,Premier Group International,CORPORATE,1E,1E7689,CHF,41822421.09,2136333.21,2024,Y,22/15943,20/01/2024
4567,M45678432N8Z,AUSTRALIA,AUSTRALIA,United Manufacturing Corp,BUSINESS,1T,1T7866,GBP,4240051.64,483101.28,2024,,22/64379,01/12/2024
1234,W12347070HQI,CANADA,CANADA,Williams Group,RETAIL,7,72627,JPY,496955.02,52238.61,2024,,23/81364,26/11/2024
5678,O56782501XXV,JAPAN,JAPAN,Smith Ltd,RETAIL,4,41828,EUR,178038.1,32059.85,2021,N,22/26505,17/10/2021
3456,S345645383I1,CHINA,CHINA,United Manufacturing Corp,BUSINESS,el,el1046,CAD,4066831.64,324303.95,2021,N,22/27038,04/10/2021
4567,A456768692IL,UNITED KINGDOM,UNITED KINGDOM,International Trading Co,BUSINESS,1T,1T5347,AUD,671636.57,73165.44,2022,Y,22/65176,27/09/2022
1234,O12349254HW0,SWITZERLAND,SWITZERLAND,Davis LLC,RETAIL,5,55941,JPY,784453.34,91285.26,2021,N,21/17972,03/09/2021
6789,C67892323LFE,MEXICO,MEXICO,Urban Services Ltd,COMMERCIAL,8,89984,GBP,2843615.14,230405.38,2024,,23/59925,01/11/2024
8901,Z890128744X1,HONG KONG,HONG KONG,Jones & Co,RETAIL,5,58046,CHF,851317.27,98636.79,2023,N,22/64239,23/06/2023
7890,N78906120XNF,FRANCE,FRANCE,Elite Consortium Ltd,CORPORATE,4,42099,AUD,57889231.03,3524609.96,2024,Y,21/22219,09/08/2024
1234,S12346400YO5,CHINA,CHINA,Brown Enterprises,RETAIL,eh,eh1842,USD,439092.56,27575.57,2023,N,23/56090,23/02/2023
9012,D901267364N1,MEXICO,MEXICO,United Manufacturing Corp,BUSINESS,2T,2T4705,USD,3121463.51,215502.41,2025,N,21/89822,03/12/2025
4567,L45671100GFX,NETHERLANDS,NETHERLANDS,Mega Corporation plc,CORPORATE,2E,2E3324,EUR,43684198.34,3350883.7,2021,,21/22026,29/09/2021
3456,L34566105Z1U,BELGIUM,BELGIUM,Global Industries Inc,BUSINESS,4,41861,JPY,1588708.99,90630.4,2024,Y,22/90981,26/01/2024
1234,T12348242OHS,HONG KONG,HONG KONG,Metro Business Group,COMMERCIAL,5,58043,AUD,3031012.24,388702.06,2023,Y,23/98895,14/12/2023
9012,H901274759BH,NETHERLANDS,NETHERLANDS,Jones & Co,RETAIL,6,63248,AUD,123018.77,8873.64,2024,N,23/53007,02/03/2024
623,M6239725ZS4,ITALY,ITALY,Worldwide Logistics Ltd,BUSINESS,9,92180,JPY,1862826.09,354903.96,2024,N,21/67176,10/01/2024
7890,W78907843KO8,HONG KONG,HONG KONG,XYZ Trading Co,COMMERCIAL,el,el8538,EUR,4709985.75,560883.75,2021,,23/21551,12/08/2021
1234,M123460830H2,SINGAPORE,SINGAPORE,Smith Ltd,RETAIL,4,49363,CHF,504842.07,66291.42,2022,,21/79547,19/09/2022
3456,D34563399JGF,SPAIN,SPAIN,Global Industries Inc,BUSINESS,3T,3T3902,AUD,3898329.2,360921.98,2023,,24/70811,16/10/2023
9012,E90128205CPK,BELGIUM,BELGIUM,Premier Group International,CORPORATE,8,81920,CHF,33303181.32,4715284.95,2024,N,21/50685,24/08/2024
7890,U78902479WSQ,NETHERLANDS,NETHERLANDS,Davis LLC,RETAIL,1E,1E1672,EUR,250667.36,37401.3,2021,N,22/52143,06/11/2021
7890,Z789066269DX,BRAZIL,BRAZIL,Smith Ltd,RETAIL,2E,2E5059,GBP,1686089.75,92845.89,2025,,24/67595,26/09/2025
8901,M890176971YB,SWITZERLAND,SWITZERLAND,Premier Group International,CORPORATE,2E,2E2079,EUR,24744588.64,1660737.32,2025,N,21/83133,14/12/2025
6789,C678933177LX,SPAIN,SPAIN,Elite Consortium Ltd,CORPORATE,3E,3E3112,AUD,55677769.52,4177499.9,2023,,21/50577,14/10/2023
6789,U67897937SAL,INDIA,INDIA,Jones & Co,RETAIL,el,el6598,USD,477261.42,55316.8,2023,N,22/39693,12/03/2023
2791,V279165175WV,FRANCE,FRANCE,Jones & Co,RETAIL,3E,3E3658,CAD,255549.85,13844.76,2021,Y,22/67366,23/01/2021
6789,T6789566812I,AUSTRALIA,AUSTRALIA,XYZ Trading Co,COMMERCIAL,8,86070,AUD,13197289.21,910376.25,2023,N,22/58213,14/12/2023
9012,Q90129641PFH,NETHERLANDS,NETHERLANDS,Urban Services Ltd,COMMERCIAL,5,53267,CAD,4147746.46,405126.81,2024,N,21/94040,03/09/2024
5678,J567823741J6,INDIA,INDIA,Jones & Co,RETAIL,em,em8167,GBP,1365160.99,73965.79,2025,Y,22/69130,28/06/2025
623,H62373269NB,INDIA,INDIA,Mega Corporation plc,CORPORATE,1E,1E6493,JPY,75006159.28,4491888.91,2024,Y,22/15020,26/05/2024
7890,T789010866AH,MEXICO,MEXICO,XYZ Trading Co,COMMERCIAL,eh,eh9991,AUD,4244629.37,677828.48,2022,,24/24573,28/05/2022
3456,U34568489C4R,AUSTRALIA,AUSTRALIA,Urban Services Ltd,COMMERCIAL,1T,1T1269,GBP,4535794.58,245465.84,2023,,22/28818,30/05/2023
6789,F67892402SM8,AUSTRALIA,AUSTRALIA,Urban Services Ltd,COMMERCIAL,7,79312,EUR,3318020.68,645786.15,2021,,21/61177,29/08/2021
623,Z6232106M0W,UNITED KINGDOM,UNITED KINGDOM,Prime Industries Corp,CORPORATE,3T,3T6447,EUR,14303914.94,956621.94,2024,Y,21/56176,06/10/2024
5678,U567839863C1,BRAZIL,BRAZIL,City Enterprises plc,COMMERCIAL,el,el1605,CAD,774977.47,104555.43,2022,N,22/15741,13/04/2022
623,R6238756J1G,INDIA,INDIA,Metro Business Group,COMMERCIAL,em,em1783,EUR,9132639.54,593860.41,2023,,23/45811,05/03/2023
5678,K56784060RR7,BRAZIL,BRAZIL,Urban Services Ltd,COMMERCIAL,em,em5369,JPY,5744130.77,686765.13,2024,Y,24/20345,08/08/2024
9012,C90126372XLV,BELGIUM,BELGIUM,Brown Enterprises,RETAIL,6,63730,EUR,621852.36,72657.03,2022,,24/56077,17/08/2022
623,C6237655N2Y,CANADA,CANADA,Smith Ltd,RETAIL,7,73339,JPY,581695.7,35912.97,2023,,24/14561,06/03/2023
1234,M12341530VY8,SWITZERLAND,SWITZERLAND,Premier Group International,CORPORATE,eh,eh8273,AUD,60724549.84,3423348.05,2022,Y,22/79397,07/07/2022
6789,A67894048RNU,AUSTRALIA,AUSTRALIA,Williams Group,RETAIL,8,85264,EUR,912550.27,67473.22,2023,,24/38124,10/11/2023
4567,O456738286QD,SPAIN,SPAIN,Williams Group,RETAIL,2T,2T6692,GBP,146159.28,13899.1,2024,,21/82089,04/10/2024
4567,Q45674673EHE,ITALY,ITALY,Elite Consortium Ltd,CORPORATE,el,el1430,USD,14664673.16,1693410.65,2023,N,23/71263,10/10/2023
2791,M27918842S13,GERMANY,GERMANY,Mega Corporation plc,CORPORATE,em,em3053,GBP,53158926.33,4878547.5,2025,N,21/68979,27/08/2025
8901,Y89013114P6B,CHINA,CHINA,Global Industries Inc,BUSINESS,2E,2E9488,CAD,6530742.72,451420.95,2023,Y,23/31581,24/03/2023
5678,I56784216WTE,NETHERLANDS,NETHERLANDS,Williams Group,RETAIL,3T,3T9740,CHF,1009522.94,80507.07,2022,Y,22/87569,25/10/2022
2791,A27912330BXU,BELGIUM,BELGIUM,Jones & Co,RETAIL,8,87825,CHF,740861.09,59805.87,2022,,21/75278,18/11/2022
8901,Z89017653KCC,MEXICO,MEXICO,Continental Services plc,BUSINESS,8,87809,EUR,2183248.28,137859.34,2023,N,24/36741,24/06/2023
9012,M901231421SD,BELGIUM,BELGIUM,Supreme Holdings Ltd,CORPORATE,3T,3T8642,CAD,9460587.36,1763475.63,2022,Y,23/68929,07/05/2022
2791,H2791361637Z,SINGAPORE,SINGAPORE,XYZ Trading Co,COMMERCIAL,1E,1E3610,EUR,5213611.88,680925.07,2021,N,24/75373,07/06/2021
7890,H78904524VBK,INDIA,INDIA,Urban Services Ltd,COMMERCIAL,1T,1T8710,JPY,18274215.88,946412.73,2021,N,21/24089,09/08/2021
2791,B27917563BUN,SINGAPORE,SINGAPORE,Premier Group International,CORPORATE,9,92204,EUR,48719177.49,4616889.76,2023,N,24/82070,24/05/2023
9012,L90126555UNF,FRANCE,FRANCE,Urban Services Ltd,COMMERCIAL,1T,1T9341,USD,2155739.49,113910.95,2025,N,21/15938,20/01/2025
2791,E27919446F7L,INDIA,INDIA,City Enterprises plc,COMMERCIAL,eh,eh5902,JPY,9464545.48,485365.73,2023,,23/76494,18/09/2023
8901,A89017035LDO,NETHERLANDS,NETHERLANDS,Metro Business Group,COMMERCIAL,9,91436,CHF,17212492.94,967257.98,2024,,24/44803,01/12/2024
9012,F90129589WW4,UNITED STATES,UNITED STATES,XYZ Trading Co,COMMERCIAL,2T,2T4968,AUD,3933453.17,365004.0,2025,Y,21/35006,10/01/2025
7890,N78909221175,HONG KONG,HONG KONG,Global Industries Inc,BUSINESS,4,43262,USD,4223520.59,433011.5,2023,,22/83516,16/06/2023
7890,R78906608TY5,ITALY,ITALY,Metro Business Group,COMMERCIAL,4,48932,EUR,3371965.19,252543.47,2025,Y,22/46569,13/10/2025
4567,W45679011LM7,NETHERLANDS,NETHERLANDS,Worldwide Logistics Ltd,BUSINESS,3E,3E5715,CAD,7276614.03,471269.65,2022,Y,24/61712,26/06/2022
2791,O279152010H3,GERMANY,GERMANY,Premier Group International,CORPORATE,1E,1E5450,EUR,19794466.9,3065275.27,2023,Y,21/90698,28/10/2023
3456,U34564814BOZ,INDIA,INDIA,Global Industries Inc,BUSINESS,1E,1E3252,AUD,6486315.95,326753.25,2022,Y,22/63334,01/12/2022
7890,J789019696DU,NETHERLANDS,NETHERLANDS,Prime Industries Corp,CORPORATE,8,81611,USD,14440517.43,1130378.07,2024,Y,24/33040,19/01/2024
6789,A67895888UD9,NETHERLANDS,NETHERLANDS,Williams Group,RETAIL,2E,2E8444,AUD,1423460.7,88350.44,2024,,24/27589,15/09/2024
7890,F78908518XZA,FRANCE,FRANCE,Premier Group International,CORPORATE,2T,2T5833,CAD,56502351.08,3636570.83,2023,,22/33002,09/11/2023
6789,V67892562GFL,GERMANY,GERMANY,XYZ Trading Co,COMMERCIAL,6,61111,EUR,3982937.53,423542.04,2024,N,24/40870,16/08/2024
4567,U45676890YCE,UNITED KINGDOM,UNITED KINGDOM,Premier Group International,CORPORATE,3E,3E3616,CHF,71044492.6,4142125.2,2023,N,23/25389,24/11/2023
4567,P45673509Q9N,AUSTRALIA,AUSTRALIA,United Manufacturing Corp,BUSINESS,7,78714,USD,8230800.89,440182.54,2023,,22/42435,15/12/2023
9012,C90122838CTS,INDIA,INDIA,Prime Industries Corp,CORPORATE,6,69792,JPY,35076717.92,2801040.79,2021,Y,22/53007,24/09/2021
7890,Q789082983QS,MEXICO,MEXICO,Brown Enterprises,RETAIL,8,81945,USD,1192317.35,80838.04,2021,,24/98181,07/06/2021
623,S6232196BMC,UNITED KINGDOM,UNITED KINGDOM,Global Industries Inc,BUSINESS,3E,3E2130,CAD,6196955.54,365885.09,2024,N,21/47629,28/07/2024
2791,M2791834856N,HONG KONG,HONG KONG,Prime Industries Corp,CORPORATE,eh,eh3178,AUD,45365264.81,4505024.04,2022,,23/25549,02/04/2022
8901,Y890113729QZ,AUSTRALIA,AUSTRALIA,Brown Enterprises,RETAIL,6,69715,USD,260750.22,40680.38,2024,N,22/42441,23/08/2024
5678,Z56787868W76,FRANCE,FRANCE,Jones & Co,RETAIL,3E,3E4376,USD,331996.92,59936.61,2022,Y,21/87849,18/01/2022
7890,X78901724OIH,UNITED STATES,UNITED STATES,Global Industries Inc,BUSINESS,8,83295,AUD,3409995.34,259519.11,2025,,23/40692,22/10/2025
5678,J567833479SO,BELGIUM,BELGIUM,Worldwide Logistics Ltd,BUSINESS,7,71998,CAD,2480604.91,178943.56,2025,,22/92050,14/12/2025
6789,Z67899592LOF,SWITZERLAND,SWITZERLAND,City Enterprises plc,COMMERCIAL,5,54012,GBP,708651.62,127450.22,2025,,24/41584,26/04/2025
4567,N45679683EIH,UNITED STATES,UNITED STATES,ABC Commercial Ltd,COMMERCIAL,eh,eh8369,JPY,8741944.26,840340.5,2022,N,21/80206,08/04/2022
623,G6234555R5L,UNITED STATES,UNITED STATES,Smith Ltd,RETAIL,4,44470,AUD,219080.01,17070.75,2023,Y,21/72773,05/05/2023
9012,Y90125637NTM,CHINA,CHINA,Premier Group International,CORPORATE,4,46892,USD,32660716.65,3964970.99,2022,,24/71080,20/02/2022
7890,N78901749UHF,SWITZERLAND,SWITZERLAND,Premier Group International,CORPORATE,em,em7841,USD,20743584.99,3303007.14,2023,N,22/35715,18/06/2023
3456,R34566530J38,AUSTRALIA,AUSTRALIA,City Enterprises plc,COMMERCIAL,7,78550,CAD,1900327.55,146513.55,2024,Y,23/32185,12/03/2024
8901,C890117941O4,UNITED STATES,UNITED STATES,Jones & Co,RETAIL,2E,2E2113,CHF,820688.19,56360.34,2024,,22/11198,21/04/2024
8901,A89011108TOA,MEXICO,MEXICO,Metro Business Group,COMMERCIAL,3T,3T9777,GBP,14796718.58,753482.2,2024,N,21/75826,23/12/2024
6789,H67894144WJM,INDIA,INDIA,Continental Services plc,BUSINESS,1T,1T2294,GBP,2779405.31,282335.16,2022,N,24/70161,17/10/2022
3456,C34567640NTC,GERMANY,GERMANY,Smith Ltd,RETAIL,3E,3E3807,AUD,729916.82,80542.69,2022,Y,24/66873,27/11/2022
5678,H567844636YU,INDIA,INDIA,Williams Group,RETAIL,el,el1762,GBP,288472.78,46702.28,2025,Y,23/81176,16/10/2025
623,G62333621ZO,BELGIUM,BELGIUM,Smith Ltd,RETAIL,em,em5903,CAD,144015.71,7408.32,2022,Y,22/84277,19/07/2022
8901,Q89016666BP4,SPAIN,SPAIN,Williams Group,RETAIL,4,47499,CAD,1303382.96,84418.11,2023,N,21/93115,20/05/2023
7890,N78904043YXD,CHINA,CHINA,Urban Services Ltd,COMMERCIAL,2T,2T5839,EUR,3556964.23,468057.65,2024,Y,21/20752,17/05/2024
2791,K27916909DAL,SPAIN,SPAIN,Metro Business Group,COMMERCIAL,9,95419,CAD,2107819.05,240793.34,2024,Y,22/21442,05/04/2024
6789,D67891430DTV,INDIA,INDIA,Metro Business Group,COMMERCIAL,6,67311,CHF,9341828.23,594304.0,2024,Y,23/64238,17/07/2024
1234,V12347237GJJ,INDIA,INDIA,International Trading Co,BUSINESS,em,em2036,USD,3192872.99,347088.82,2025,Y,24/46170,04/08/2025
4567,H45679123VHD,SWITZERLAND,SWITZERLAND,Premier Group International,CORPORATE,eh,eh1110,GBP,77078665.53,4796893.76,2024,N,23/91289,13/07/2024
5678,K56784290RGO,SPAIN,SPAIN,Premier Group International,CORPORATE,3T,3T5775,JPY,42450788.37,2994593.24,2024,,24/85481,04/05/2024
5678,D56784273VTY,SINGAPORE,SINGAPORE,Prime Industries Corp,CORPORATE,3E,3E1440,CAD,20815469.68,2388200.28,2024,,24/37479,12/08/2024
4567,E45675961IXZ,HONG KONG,HONG KONG,City Enterprises plc,COMMERCIAL,el,el2211,CAD,6880575.09,420375.41,2021,N,24/86315,25/07/2021
8901,Z89016890Z3V,HONG KONG,HONG KONG,Smith Ltd,RETAIL,em,em2791,CAD,42923.08,6367.38,2025,Y,23/31802,28/11/2025
9012,Z90128052DDH,SINGAPORE,SINGAPORE,Prime Industries Corp,CORPORATE,7,74621,AUD,3966995.66,707011.89,2021,N,23/61266,26/08/2021
9012,D90125840O8E,UNITED KINGDOM,UNITED KINGDOM,XYZ Trading Co,COMMERCIAL,2E,2E6707,EUR,13531405.59,869914.53,2025,N,23/69681,16/04/2025
8901,X89018412LK3,FRANCE,FRANCE,ABC Commercial Ltd,COMMERCIAL,3T,3T1370,JPY,3406803.88,526756.45,2024,N,21/98754,25/03/2024
3456,R345679858IO,ITALY,ITALY,Supreme Holdings Ltd,CORPORATE,2E,2E4053,CHF,32824116.62,2712271.44,2025,,24/61849,15/01/2025
9012,A90124519H13,HONG KONG,HONG KONG,ABC Commercial Ltd,COMMERCIAL,5,52667,CHF,2944628.73,255881.68,2022,,22/57945,16/06/2022
3456,T34567367WVM,MEXICO,MEXICO,Elite Consortium Ltd,CORPORATE,1T,1T3826,EUR,32651026.82,2293271.3,2024,,23/90541,29/10/2024
