Syndicate_Number,Year_of_Account,LOB_Code,Currency,Net_Written_Premium,Net_Earned_Premium,Paid_Claims_Net,Case_Reserves_Net,IBNR_Net_Best_Estimate,RI_Recoveries_Expected,Net_Ultimate_Loss_Ratio,Actuarial_Method,As_At_Date
2987,2022,D2,GBP,14838090,12906201,4304635,1491607,1715718,3050816,0.5749,Chain Ladder,2024-12-31
2987,2022,E1,GBP,15457958,14390089,4238276,1488797,2312095,3284620,0.5402,BF Method,2024-12-31
2987,2023,A1,GBP,10327982,9081524,3919388,749176,1263425,1290160,0.6737,Expected Loss Ratio,2024-12-31
2987,2023,A2,GBP,18755827,16131528,5231374,1733449,1355000,3768433,0.5956,Expected Loss Ratio,2024-12-31
2987,2023,D1,GBP,5809133,4941981,1903462,539121,775526,1036059,0.5194,BF Method,2024-12-31
2987,2023,D2,GBP,34758047,30714122,14819702,2588016,4001537,6626820,0.6514,Chain Ladder,2024-12-31
2987,2023,E1,GBP,27240434,23310297,9601399,1948969,2380170,4270356,0.633,BF Method,2024-12-31
2987,2024,A1,GBP,29964902,25886268,12188139,3225967,3291754,6987682,0.645,Expected Loss Ratio,2024-12-31
2987,2024,A2,GBP,19679078,18023823,6689770,1369572,1736661,3793196,0.5737,Expected Loss Ratio,2024-12-31
2987,2024,D1,GBP,24621373,21040820,8578977,1394815,2478207,3792450,0.5033,Expected Loss Ratio,2024-12-31
2987,2024,D2,GBP,35516670,30478165,11915009,3567001,5923813,6815253,0.58,Expected Loss Ratio,2024-12-31
2987,2024,E1,GBP,9741469,8470282,3106227,831808,1404821,1403545,0.6469,Expected Loss Ratio,2024-12-31
33,2018,A1,GBP,36865590,31656813,13061318,3353136,5557115,6440004,0.5063,BF Method,2024-12-31
33,2018,A2,GBP,14277835,12824592,5937530,1011916,1461375,3473193,0.6793,Expected Loss Ratio,2024-12-31
33,2018,D1,GBP,9001667,7677721,3418128,528409,886677,2241453,0.5211,BF Method,2024-12-31
33,2018,D2,GBP,17789185,16813455,7458164,1678454,3276703,3555878,0.6438,Expected Loss Ratio,2024-12-31
33,2018,E1,GBP,36014795,33752851,13612262,2922604,4256498,7338651,0.5181,Expected Loss Ratio,2024-12-31
33,2019,A1,GBP,26033492,24044539,8455982,2160229,3312646,5404980,0.5754,BF Method,2024-12-31
33,2019,A2,GBP,18661024,16025490,4846008,1565977,2934570,2189936,0.5447,Expected Loss Ratio,2024-12-31
33,2019,D1,GBP,10791756,9511176,3740986,1019324,1166906,1285434,0.6146,Expected Loss Ratio,2024-12-31
33,2019,D2,GBP,38943711,34752193,14275414,3346897,6036006,6161745,0.538,Chain Ladder,2024-12-31
33,2019,E1,GBP,37879924,32601682,10851880,3960458,4239224,7144774,0.6327,BF Method,2024-12-31
33,2020,A1,GBP,17690414,16100869,5240611,1555272,2804473,2978493,0.6,Expected Loss Ratio,2024-12-31
33,2020,A2,GBP,5304777,5034411,1601274,590763,812652,776267,0.6198,BF Method,2024-12-31
33,2020,D1,GBP,17475721,15512688,7791815,1186180,2816105,3593376,0.599,Chain Ladder,2024-12-31
33,2020,D2,GBP,18104308,16955466,5837062,1491990,2207852,1953182,0.6401,Expected Loss Ratio,2024-12-31
33,2020,E1,GBP,13683276,12092472,6242186,1710436,2449494,2492975,0.6982,BF Method,2024-12-31
33,2021,A1,GBP,7819974,7191542,2408149,784323,903913,1114002,0.6056,Chain Ladder,2024-12-31
33,2021,A2,GBP,24704253,22987484,11327701,2425750,3251648,4621117,0.6505,Chain Ladder,2024-12-31
33,2021,D1,GBP,12231559,11494262,3691435,1154619,1117066,2108308,0.5884,Expected Loss Ratio,2024-12-31
33,2021,D2,GBP,3612872,3107773,1418041,342991,388361,825256,0.5724,BF Method,2024-12-31
33,2021,E1,GBP,14289248,13537860,4933560,834651,2902525,1634792,0.6852,Expected Loss Ratio,2024-12-31
33,2022,A1,GBP,25715398,23470373,9087513,1326846,2598890,6312077,0.6187,BF Method,2024-12-31
33,2022,A2,GBP,23313155,21338057,8362878,2217462,3911692,5669370,0.6376,Expected Loss Ratio,2024-12-31
33,2022,D1,GBP,9013702,8247817,3146871,858678,1099753,2070757,0.6555,Chain Ladder,2024-12-31
33,2022,D2,GBP,10826748,9926820,3371742,460262,1247850,1877171,0.5165,Expected Loss Ratio,2024-12-31
33,2022,E1,GBP,35178590,32696190,9842053,2506118,4606109,7450962,0.5547,BF Method,2024-12-31
33,2023,A1,GBP,23022825,19715592,10220326,2256057,2167775,2645695,0.6143,Expected Loss Ratio,2024-12-31
33,2023,A2,GBP,4325157,4015248,1524529,216261,677587,962863,0.5788,Expected Loss Ratio,2024-12-31
33,2023,D1,GBP,11327493,10374377,3576304,1225032,1806873,1485255,0.6507,Chain Ladder,2024-12-31
33,2023,D2,GBP,33013290,28486560,11154729,2094684,4821500,3910648,0.6601,Chain Ladder,2024-12-31
33,2023,E1,GBP,8678102,7691887,3704400,738702,1752404,1526671,0.696,Chain Ladder,2024-12-31
33,2024,A1,GBP,19665619,17737293,7543591,1607277,2203964,4757746,0.5601,Expected Loss Ratio,2024-12-31
33,2024,A2,GBP,35913060,34067198,12751367,3071080,3620716,6406887,0.639,Chain Ladder,2024-12-31
33,2024,D1,GBP,6002152,5281719,2299293,577436,750407,769542,0.5474,Chain Ladder,2024-12-31
33,2024,D2,GBP,27096455,24175497,9255998,1596475,3566583,5673067,0.5555,Chain Ladder,2024-12-31
33,2024,E1,GBP,29847530,27389662,12918120,1664473,2764769,7214478,0.5912,Expected Loss Ratio,2024-12-31
1183,2018,A1,GBP,21079106,18323281,8276259,2147476,3944650,4311108,0.6991,Expected Loss Ratio,2024-12-31
1183,2018,A2,GBP,14008744,13297728,4745253,675613,1870403,1723407,0.5839,Chain Ladder,2024-12-31
1183,2018,D1,GBP,21127797,19117209,5210178,1597227,2055151,2461357,0.5249,BF Method,2024-12-31
1183,2018,D2,GBP,21337698,18720942,5413835,2009628,1806937,4688203,0.5293,Chain Ladder,2024-12-31
1183,2018,E1,GBP,11288179,9940990,4206849,779036,1300063,2362041,0.5351,Expected Loss Ratio,2024-12-31
1183,2019,A1,GBP,21924479,20601490,6706728,2336952,2543956,4190207,0.6103,BF Method,2024-12-31
1183,2019,A2,GBP,38680584,34435974,14818632,2500240,5750895,8985622,0.6103,Expected Loss Ratio,2024-12-31
1183,2019,D1,GBP,13434843,12182125,4498454,1457972,1994269,1630996,0.6315,BF Method,2024-12-31
1183,2019,D2,GBP,19717598,17662603,7290501,1446350,2561314,3208774,0.6356,BF Method,2024-12-31
1183,2019,E1,GBP,21510166,19829075,10800460,1528051,3481819,3830728,0.6905,Chain Ladder,2024-12-31
1183,2020,A1,GBP,23512596,20197650,6476451,2091130,3964742,3454248,0.5813,Chain Ladder,2024-12-31
1183,2020,A2,GBP,6852822,6461929,2453085,287175,1029798,979114,0.5169,Expected Loss Ratio,2024-12-31
1183,2020,D1,GBP,37137095,33415234,16712367,3764914,5502502,4473692,0.6865,Chain Ladder,2024-12-31
1183,2020,D2,GBP,30210728,28190830,6868428,1860663,3283610,3882912,0.5028,BF Method,2024-12-31
1183,2020,E1,GBP,19389745,18266029,10159428,2364467,3294567,3861974,0.6988,Chain Ladder,2024-12-31
1183,2021,A1,GBP,33108528,31062191,13926978,2351699,3063245,6660718,0.6929,Chain Ladder,2024-12-31
1183,2021,A2,GBP,37472782,33708670,10716566,3784414,3866951,4033419,0.5707,Expected Loss Ratio,2024-12-31
1183,2021,D1,GBP,19761460,18492391,7071447,1689612,2207675,4498035,0.6663,Chain Ladder,2024-12-31
1183,2021,D2,GBP,29415490,27747959,10277981,2599067,2020405,4286512,0.5435,BF Method,2024-12-31
1183,2021,E1,GBP,35767007,32048503,9870140,1659638,3347032,3608306,0.5115,Expected Loss Ratio,2024-12-31
1183,2022,A1,GBP,15492832,13836344,4579423,1195156,2533402,1569881,0.5804,BF Method,2024-12-31
1183,2022,A2,GBP,11310939,10484615,4053886,981118,1446745,1142818,0.6826,BF Method,2024-12-31
1183,2022,D1,GBP,31745509,27839165,16084348,3136444,4287752,5728924,0.6784,Chain Ladder,2024-12-31
1183,2022,D2,GBP,26738940,25090688,11508766,1581348,2974269,2697197,0.6494,Chain Ladder,2024-12-31
1183,2022,E1,GBP,29477534,25149072,11191331,3010896,5041405,4412257,0.5842,BF Method,2024-12-31
1183,2023,A1,GBP,10972016,10203777,4258179,721059,1651172,2002596,0.5842,BF Method,2024-12-31
1183,2023,A2,GBP,36679159,34205660,11582422,4159608,6216612,7749718,0.6452,Chain Ladder,2024-12-31
1183,2023,D1,GBP,13438246,12342273,3559136,1245846,1508464,1371337,0.5688,Expected Loss Ratio,2024-12-31
1183,2023,D2,GBP,3538809,3179948,1408634,217596,306223,507535,0.5869,Expected Loss Ratio,2024-12-31
1183,2023,E1,GBP,15539978,14551894,6394275,894998,2287667,3341237,0.5499,Chain Ladder,2024-12-31
1183,2024,A1,GBP,34802409,32022200,13406734,2189866,6665631,7708485,0.6413,Expected Loss Ratio,2024-12-31
1183,2024,A2,GBP,12980839,11083515,5294044,1225228,1394048,1555680,0.5459,Expected Loss Ratio,2024-12-31
1183,2024,D1,GBP,16397848,14606050,4604894,1217905,1373624,1765118,0.5182,BF Method,2024-12-31
1183,2024,D2,GBP,31593466,28888664,10189522,2012815,3209599,5575600,0.5958,BF Method,2024-12-31
1183,2024,E1,GBP,31056484,26962468,7680750,2491821,3035288,7275476,0.5494,BF Method,2024-12-31
2791,2018,A1,GBP,34679287,30971750,10136555,2489960,3474195,6622990,0.556,Chain Ladder,2024-12-31
2791,2018,A2,GBP,9501991,8808786,2945442,698924,1600755,1923623,0.6338,Expected Loss Ratio,2024-12-31
2791,2018,D1,GBP,38491332,33779788,14945197,2120563,3325711,5224729,0.6209,Expected Loss Ratio,2024-12-31
2791,2018,D2,GBP,11076843,10394555,3913643,558952,1127210,2716590,0.5082,Chain Ladder,2024-12-31
2791,2018,E1,GBP,8025084,7063258,3271745,862317,1193444,1547649,0.6884,Chain Ladder,2024-12-31
2791,2019,A1,GBP,5940113,5471796,2239905,486818,850086,966645,0.5256,Expected Loss Ratio,2024-12-31
2791,2019,A2,GBP,26309561,24250379,12920030,1550051,3490944,4400861,0.679,Expected Loss Ratio,2024-12-31
2791,2019,D1,GBP,4467999,4230072,1279518,418438,312059,630534,0.5334,Expected Loss Ratio,2024-12-31
2791,2019,D2,GBP,15763496,14478289,7265070,1809980,1530437,2516233,0.6481,Expected Loss Ratio,2024-12-31
2791,2019,E1,GBP,28779898,26210481,9026735,1416561,3929943,4562679,0.6125,Expected Loss Ratio,2024-12-31
2791,2020,A1,GBP,3594673,3219188,1609049,321912,424205,785784,0.6758,Chain Ladder,2024-12-31
2791,2020,A2,GBP,22888630,19846980,6809896,1524778,1865720,4184559,0.6417,Chain Ladder,2024-12-31
2791,2020,D1,GBP,21639923,20104832,9533573,1556001,3978436,3041820,0.6854,Expected Loss Ratio,2024-12-31
2791,2020,D2,GBP,10797032,9830869,3028821,477088,1334088,1642436,0.5003,Expected Loss Ratio,2024-12-31
2791,2020,E1,GBP,20719302,18878354,7308675,1144605,3563154,3341017,0.6444,BF Method,2024-12-31
2791,2021,A1,GBP,17715604,15511760,5204385,1668041,3161797,2514791,0.6461,Expected Loss Ratio,2024-12-31
2791,2021,A2,GBP,10143250,9580965,3446610,932402,1495666,2061283,0.6445,Chain Ladder,2024-12-31
2791,2021,D1,GBP,32674525,29673905,12308836,2760915,2631584,4584857,0.5441,Chain Ladder,2024-12-31
2791,2021,D2,GBP,32118775,27601882,9295797,1815154,5071662,7558357,0.5737,Chain Ladder,2024-12-31
2791,2021,E1,GBP,35918131,31543461,13432715,4168604,6608158,4563793,0.6887,Expected Loss Ratio,2024-12-31
2791,2022,A1,GBP,15606267,13648076,5796309,1419834,1107086,1729288,0.5139,Expected Loss Ratio,2024-12-31
2791,2022,A2,GBP,12213462,11118272,4440419,646887,2118531,2701604,0.6454,Expected Loss Ratio,2024-12-31
2791,2022,D1,GBP,5935344,5203905,2285876,437327,820614,1279171,0.5264,Chain Ladder,2024-12-31
2791,2022,D2,GBP,10136285,9480183,2932660,579285,1583492,2257738,0.6085,BF Method,2024-12-31
2791,2022,E1,GBP,13948438,12196247,4801302,836002,1706144,2396847,0.5615,Chain Ladder,2024-12-31
2791,2023,A1,GBP,5988079,5396182,2184966,293586,885869,865341,0.5206,Chain Ladder,2024-12-31
2791,2023,A2,GBP,18211911,16673668,5520282,1790096,2017776,2223792,0.5854,Expected Loss Ratio,2024-12-31
2791,2023,D1,GBP,10543618,9198803,4649297,682508,843706,2621303,0.5984,BF Method,2024-12-31
2791,2023,D2,GBP,10942399,9393835,2898466,595403,1234204,2612009,0.5721,BF Method,2024-12-31
2791,2023,E1,GBP,15171231,13907882,5214004,1560492,1762631,1858976,0.6359,Chain Ladder,2024-12-31
2791,2024,A1,GBP,21192761,19990881,10037687,2188355,1936634,4222864,0.6832,Chain Ladder,2024-12-31
2791,2024,A2,GBP,12975259,11220718,4967588,1358284,2515579,1582830,0.6556,Chain Ladder,2024-12-31
2791,2024,D1,GBP,10594309,9300188,3111641,1170464,996078,2584352,0.6156,BF Method,2024-12-31
2791,2024,D2,GBP,26663173,24512577,8632490,2395730,2706545,4361423,0.5639,Expected Loss Ratio,2024-12-31
2791,2024,E1,GBP,19502614,17627919,6722596,1502695,1815324,3557294,0.5766,Chain Ladder,2024-12-31
623,2018,A1,GBP,31309254,29152960,9776623,1681719,3508583,6778105,0.6054,Chain Ladder,2024-12-31
623,2018,A2,GBP,4151229,3584002,1147958,406704,439543,710229,0.5725,Chain Ladder,2024-12-31
623,2018,D1,GBP,22776800,20616421,9836456,1646699,2129823,5131336,0.5921,Chain Ladder,2024-12-31
623,2018,D2,GBP,6749081,6206306,2160405,671926,1075121,793593,0.6494,BF Method,2024-12-31
623,2018,E1,GBP,27943306,25377012,8465111,1989676,2119263,3238670,0.5108,Chain Ladder,2024-12-31
623,2019,A1,GBP,27511124,23418782,10163155,1767920,3746221,3762335,0.5283,BF Method,2024-12-31
623,2019,A2,GBP,12402783,10913838,4620406,916365,2100098,2539898,0.6496,Expected Loss Ratio,2024-12-31
623,2019,D1,GBP,3886469,3645957,995634,335996,456173,479524,0.5574,Chain Ladder,2024-12-31
623,2019,D2,GBP,29601328,27754135,12158765,3215096,5631970,5979039,0.6665,Expected Loss Ratio,2024-12-31
623,2019,E1,GBP,23537591,20376023,11209244,1996535,4472397,3849585,0.6419,Chain Ladder,2024-12-31
623,2020,A1,GBP,17217968,15310718,6959019,1773821,2286359,1866419,0.5801,Chain Ladder,2024-12-31
623,2020,A2,GBP,34436214,30665792,11568382,1752605,3831910,6815098,0.5955,BF Method,2024-12-31
623,2020,D1,GBP,16068148,14240720,6085411,1010739,1451970,1858442,0.554,Chain Ladder,2024-12-31
623,2020,D2,GBP,39344007,33485593,14826624,2025838,3205892,5185008,0.5213,Chain Ladder,2024-12-31
623,2020,E1,GBP,19128619,17339704,6559020,1684696,1358398,4715194,0.5538,BF Method,2024-12-31
623,2021,A1,GBP,9255279,8197075,3408377,763707,988493,937298,0.6887,BF Method,2024-12-31
623,2021,A2,GBP,26879836,23109616,10685748,2878707,2580563,5521078,0.6948,Chain Ladder,2024-12-31
623,2021,D1,GBP,4589494,4170178,1999492,308908,417340,722004,0.6174,BF Method,2024-12-31
623,2021,D2,GBP,8285014,7637509,4012442,901680,1333663,944438,0.677,Expected Loss Ratio,2024-12-31
623,2021,E1,GBP,13807682,13106636,6103026,1276601,2492396,2419699,0.6987,BF Method,2024-12-31
623,2022,A1,GBP,11804520,11044252,3882650,1133204,1738343,1818456,0.5678,BF Method,2024-12-31
623,2022,A2,GBP,19046442,16332320,5115179,1473290,2162321,3648499,0.5418,Chain Ladder,2024-12-31
623,2022,D1,GBP,12571235,11776146,5660059,1392100,1722981,1840822,0.6533,BF Method,2024-12-31
623,2022,D2,GBP,24053305,20609261,8000657,1481283,1705617,3471883,0.5339,Expected Loss Ratio,2024-12-31
623,2022,E1,GBP,33919815,29700279,13340031,2713466,2718167,5799920,0.5516,Chain Ladder,2024-12-31
623,2023,A1,GBP,35766506,31835549,12845516,3119437,2601750,8185182,0.5079,BF Method,2024-12-31
623,2023,A2,GBP,37391900,33180387,16375640,3266678,4185057,9079005,0.669,Expected Loss Ratio,2024-12-31
623,2023,D1,GBP,5863909,5418863,1915703,593339,444408,1152727,0.6241,Chain Ladder,2024-12-31
623,2023,D2,GBP,22505902,21051636,6691258,2167130,3112489,4175296,0.5752,BF Method,2024-12-31
623,2023,E1,GBP,34264516,31928668,9820179,1994147,2837870,6176773,0.5937,BF Method,2024-12-31
623,2024,A1,GBP,32065815,28273342,12965612,2226852,4265926,4787685,0.5399,BF Method,2024-12-31
623,2024,A2,GBP,10672317,9237681,3504773,854097,1053427,1128515,0.5557,Chain Ladder,2024-12-31
623,2024,D1,GBP,28520482,26494270,10868125,1481233,2310360,6311013,0.5125,Chain Ladder,2024-12-31
623,2024,D2,GBP,31381704,26936772,8184240,2094952,3019700,6130512,0.554,Expected Loss Ratio,2024-12-31
623,2024,E1,GBP,33294345,30529730,11849334,3660415,3067414,5950255,0.6743,BF Method,2024-12-31
4242,2018,A1,GBP,25952516,22575069,13169350,2303927,3889979,3751066,0.6927,Chain Ladder,2024-12-31
4242,2018,A2,GBP,32312077,28722651,8356659,2920484,4196656,6589570,0.5709,Chain Ladder,2024-12-31
4242,2018,D1,GBP,12705098,11992302,4827812,1102620,1269807,3150295,0.5647,Chain Ladder,2024-12-31
4242,2018,D2,GBP,33780088,29781903,15951711,3419397,3881287,5908706,0.6868,Expected Loss Ratio,2024-12-31
4242,2018,E1,GBP,3246751,3038071,1450308,325927,507624,784085,0.6976,Chain Ladder,2024-12-31
4242,2019,A1,GBP,17671525,16251522,7827057,1607067,1822846,2264580,0.6491,Chain Ladder,2024-12-31
4242,2019,A2,GBP,15828463,13476940,7628860,897033,3092696,2952411,0.6943,Expected Loss Ratio,2024-12-31
4242,2019,D1,GBP,11371518,10184328,4170117,838374,1583625,2244018,0.6399,Expected Loss Ratio,2024-12-31
4242,2019,D2,GBP,25536942,22800361,6714730,1861838,2905725,3227156,0.5227,BF Method,2024-12-31
4242,2019,E1,GBP,22127900,19776796,7919746,2102721,4241698,4498217,0.669,Chain Ladder,2024-12-31
4242,2020,A1,GBP,8880090,8124948,3727628,711191,1229196,1026288,0.6612,Expected Loss Ratio,2024-12-31
4242,2020,A2,GBP,39556462,35922147,9456516,2241606,4025278,6590719,0.5199,Chain Ladder,2024-12-31
4242,2020,D1,GBP,33509694,31352817,15035276,2353183,5376207,3926503,0.6103,BF Method,2024-12-31
4242,2020,D2,GBP,30711581,28514582,11905473,3641535,5459221,6041855,0.6816,Expected Loss Ratio,2024-12-31
4242,2020,E1,GBP,22032370,19404782,8790466,2084605,2941458,4380085,0.5535,Chain Ladder,2024-12-31
4242,2021,A1,GBP,30820426,28633747,10962963,2059115,3956362,3203383,0.5065,BF Method,2024-12-31
4242,2021,A2,GBP,25487505,22760392,8395078,1621732,3143492,4736295,0.5341,BF Method,2024-12-31
4242,2021,D1,GBP,6461541,5575580,2734219,758279,645365,1206227,0.6603,BF Method,2024-12-31
4242,2021,D2,GBP,37713877,34734574,9783373,1841524,4488611,5078001,0.5317,BF Method,2024-12-31
4242,2021,E1,GBP,20463747,18053945,6528624,1127732,1667434,2534598,0.6675,Expected Loss Ratio,2024-12-31
4242,2022,A1,GBP,13270918,12501993,3177734,793310,1701618,2735619,0.5056,Chain Ladder,2024-12-31
4242,2022,A2,GBP,33447711,29054538,13540308,2142428,3247735,7246060,0.6269,Chain Ladder,2024-12-31
4242,2022,D1,GBP,28374328,24898373,13557239,2649186,4359694,5643331,0.6541,Expected Loss Ratio,2024-12-31
4242,2022,D2,GBP,9940347,8571247,2556688,551250,791651,2376536,0.5222,Chain Ladder,2024-12-31
4242,2022,E1,GBP,36168223,31495188,11617908,3859982,4705071,8568536,0.6689,BF Method,2024-12-31
4242,2023,A1,GBP,8121257,7625627,2817697,550661,655922,1323651,0.5421,BF Method,2024-12-31
4242,2023,A2,GBP,3680503,3360745,1769935,229798,455249,732235,0.6807,BF Method,2024-12-31
4242,2023,D1,GBP,35474716,30171297,15039523,2614765,3518259,6740158,0.699,Expected Loss Ratio,2024-12-31
4242,2023,D2,GBP,4983418,4615123,1558004,352482,852522,885549,0.6072,Chain Ladder,2024-12-31
4242,2023,E1,GBP,24980819,22961373,6432817,1415382,2054692,2810752,0.5277,Chain Ladder,2024-12-31
4242,2024,A1,GBP,26391021,23664943,11729493,2093013,4916341,5219845,0.6416,Chain Ladder,2024-12-31
4242,2024,A2,GBP,19783467,18571363,5651062,1261542,2380217,4017203,0.5346,Expected Loss Ratio,2024-12-31
4242,2024,D1,GBP,23910124,22050060,7393916,1588504,2897944,3129231,0.5331,BF Method,2024-12-31
4242,2024,D2,GBP,24390862,21779364,9447313,1788422,3563038,4660955,0.6246,Chain Ladder,2024-12-31
4242,2024,E1,GBP,33158950,29880712,11074160,1934205,4754768,3483811,0.5334,Expected Loss Ratio,2024-12-31
5000,2018,A1,GBP,38601130,33505411,12040653,3503160,4060363,4033470,0.5705,Chain Ladder,2024-12-31
5000,2018,A2,GBP,17440764,16184182,5359413,1231783,1343040,2717177,0.6314,BF Method,2024-12-31
5000,2018,D1,GBP,17346024,16303083,6362737,1219676,2348886,3803738,0.5931,Expected Loss Ratio,2024-12-31
5000,2018,D2,GBP,17593723,16024194,6548766,1520315,1222438,2493158,0.5206,Expected Loss Ratio,2024-12-31
5000,2018,E1,GBP,31303172,29153878,10149249,1692706,4161902,5173814,0.6364,Chain Ladder,2024-12-31
5000,2019,A1,GBP,21415709,18569860,6857397,1480000,2799632,2540200,0.5842,BF Method,2024-12-31
5000,2019,A2,GBP,4196973,3982068,1909136,286139,716416,958653,0.6287,BF Method,2024-12-31
5000,2019,D1,GBP,5483577,4682492,2396309,323807,510676,1303474,0.6792,BF Method,2024-12-31
5000,2019,D2,GBP,23199652,20648489,7942602,1433133,2963890,4942774,0.5549,BF Method,2024-12-31
5000,2019,E1,GBP,23028225,21528332,10896237,1356480,2757428,3873054,0.6393,Expected Loss Ratio,2024-12-31
5000,2020,A1,GBP,9895007,8421042,2410335,562043,1220171,1060498,0.5059,BF Method,2024-12-31
5000,2020,A2,GBP,18189504,17102274,5446227,1654159,2895921,2340515,0.534,Expected Loss Ratio,2024-12-31
5000,2020,D1,GBP,6522610,5616491,2642970,315021,645418,1420243,0.5519,Expected Loss Ratio,2024-12-31
5000,2020,D2,GBP,28471603,24593096,9277669,1461013,4339736,3574632,0.554,Expected Loss Ratio,2024-12-31
5000,2020,E1,GBP,30735685,27729008,10068741,2464223,4015076,6154368,0.6274,BF Method,2024-12-31
5000,2021,A1,GBP,24603105,21138494,10948094,2433844,2955653,4241721,0.6545,Chain Ladder,2024-12-31
5000,2021,A2,GBP,16817126,15126341,5520691,1580202,2195059,1871269,0.639,BF Method,2024-12-31
5000,2021,D1,GBP,15610925,14540008,6328856,1225629,1645499,2358303,0.5975,BF Method,2024-12-31
5000,2021,D2,GBP,33468898,28802197,10328460,3625803,4000358,7603164,0.6311,BF Method,2024-12-31
5000,2021,E1,GBP,37457988,32096398,11682763,3009680,5898181,5994429,0.5406,Expected Loss Ratio,2024-12-31
5000,2022,A1,GBP,9849422,9105816,2723034,883447,801342,2279446,0.5295,Chain Ladder,2024-12-31
5000,2022,A2,GBP,34959953,30644422,16096263,1954483,4369958,5869641,0.6324,Chain Ladder,2024-12-31
5000,2022,D1,GBP,29637387,25349322,9463186,1597695,4213098,5221782,0.6004,Expected Loss Ratio,2024-12-31
5000,2022,D2,GBP,31359425,27209460,9001827,2378028,3604790,4027097,0.5388,Chain Ladder,2024-12-31
5000,2022,E1,GBP,6346816,5534156,1860901,333761,670616,1547644,0.6293,Chain Ladder,2024-12-31
5000,2023,A1,GBP,38710755,35305063,13386397,2400214,2783714,5186070,0.5202,Expected Loss Ratio,2024-12-31
5000,2023,A2,GBP,21003090,18280197,8065665,1894600,2161968,2639129,0.599,Chain Ladder,2024-12-31
5000,2023,D1,GBP,9324511,8505929,3363613,827506,1220948,2202145,0.537,Chain Ladder,2024-12-31
5000,2023,D2,GBP,24146841,21326865,9012192,2707573,3685688,3018278,0.6363,BF Method,2024-12-31
5000,2023,E1,GBP,25417994,23845274,6423038,1999454,1560237,6256782,0.5042,BF Method,2024-12-31
5000,2024,A1,GBP,34798203,30439764,10360105,3473840,4765922,6028652,0.6166,BF Method,2024-12-31
5000,2024,A2,GBP,18320126,15840648,5300386,1224414,2799027,2291769,0.6051,BF Method,2024-12-31
5000,2024,D1,GBP,35927759,31463158,13852173,2706266,2846009,8926933,0.647,BF Method,2024-12-31
5000,2024,D2,GBP,23208762,21525027,10536127,2536357,3385955,5424023,0.642,Chain Ladder,2024-12-31
