Syndicate_Number,Pure_Year_of_Account,LOB_Code,Currency,Outstanding_Claims,IBNR_Reserve,Total_Reserve,Number_Outstanding_Claims,Average_Outstanding_Claim,Reserve_to_Premium_Ratio,As_At_Date
33,2022,A1,GBP,8450226,464772,8914998,182,36267,0.3896,2024-12-31
33,2022,A2,GBP,8393570,1424878,9818448,22,46891,0.6507,2024-12-31
33,2022,D1,GBP,3843156,1874505,5717661,295,15130,0.4655,2024-12-31
33,2022,D2,GBP,1525218,8163382,9688600,100,28244,0.4752,2024-12-31
33,2022,E1,GBP,9881082,4092145,13973227,196,365966,0.7639,2024-12-31
33,2023,A1,GBP,5106698,5067876,10174574,238,29015,0.4836,2024-12-31
33,2023,A2,GBP,13367937,7065720,20433657,150,45009,0.6208,2024-12-31
33,2023,D1,GBP,3898864,1599833,5498697,98,54150,0.6653,2024-12-31
33,2023,D2,GBP,5197377,3291801,8489178,154,72185,0.3634,2024-12-31
33,2023,E1,GBP,9263038,6724776,15987814,189,57534,0.7833,2024-12-31
33,2024,A1,GBP,12869262,8242448,21111710,127,121408,0.3013,2024-12-31
33,2024,A2,GBP,4389479,3931318,8320797,66,46205,0.3717,2024-12-31
33,2024,D1,GBP,8476962,304141,8781103,185,143677,0.748,2024-12-31
33,2024,D2,GBP,1375589,2598057,3973646,281,5614,0.5127,2024-12-31
33,2024,E1,GBP,8413629,5787648,14201277,174,30484,0.68,2024-12-31
1183,2018,A1,GBP,4539498,9697675,14237173,221,21312,0.687,2024-12-31
1183,2018,A2,GBP,12348818,8260419,20609237,201,68987,0.7193,2024-12-31
1183,2018,D1,GBP,5817906,9203425,15021331,60,45100,0.7777,2024-12-31
1183,2018,D2,GBP,11132894,4959649,16092543,93,45814,0.5802,2024-12-31
1183,2018,E1,GBP,8722404,4503347,13225751,81,36042,0.626,2024-12-31
1183,2019,A1,GBP,3486552,724388,4210940,207,13513,0.6854,2024-12-31
1183,2019,A2,GBP,6304775,7414847,13719622,129,53886,0.4912,2024-12-31
1183,2019,D1,GBP,3503215,479053,3982268,120,14240,0.4805,2024-12-31
1183,2019,D2,GBP,3769688,394196,4163884,178,20051,0.3471,2024-12-31
1183,2019,E1,GBP,6688568,4557391,11245959,277,257252,0.6034,2024-12-31
1183,2020,A1,GBP,1062509,4912919,5975428,265,4764,0.322,2024-12-31
1183,2020,A2,GBP,12168538,4545272,16713810,160,248337,0.7856,2024-12-31
1183,2020,D1,GBP,14313113,810471,15123584,261,56798,0.5452,2024-12-31
1183,2020,D2,GBP,8443146,9453436,17896582,73,216490,0.4848,2024-12-31
1183,2020,E1,GBP,10783099,2870131,13653230,110,123943,0.3414,2024-12-31
1183,2021,A1,GBP,14493279,2303648,16796927,48,58677,0.6187,2024-12-31
1183,2021,A2,GBP,1545647,5572014,7117661,69,5186,0.4387,2024-12-31
1183,2021,D1,GBP,14803849,3557839,18361688,28,77914,0.7186,2024-12-31
1183,2021,D2,GBP,14730938,5609658,20340596,106,71163,0.5582,2024-12-31
1183,2021,E1,GBP,11648381,7064121,18712502,233,228399,0.3325,2024-12-31
1183,2022,A1,GBP,14342000,8714204,23056204,95,91935,0.342,2024-12-31
1183,2022,A2,GBP,7938998,1046727,8985725,161,65611,0.6444,2024-12-31
1183,2022,D1,GBP,7366101,3201925,10568026,21,41151,0.4369,2024-12-31
1183,2022,D2,GBP,6383514,2274922,8658436,194,24742,0.5841,2024-12-31
1183,2022,E1,GBP,12181844,1744438,13926282,257,187412,0.3581,2024-12-31
1183,2023,A1,GBP,2019373,3361858,5381231,64,17559,0.4588,2024-12-31
1183,2023,A2,GBP,11013021,637345,11650366,106,440520,0.4088,2024-12-31
1183,2023,D1,GBP,6783563,8023376,14806939,61,46462,0.4539,2024-12-31
1183,2023,D2,GBP,11923448,3505892,15429340,87,66985,0.3267,2024-12-31
1183,2023,E1,GBP,12343271,5116345,17459616,111,76193,0.3702,2024-12-31
1183,2024,A1,GBP,5793899,7245478,13039377,135,49947,0.4364,2024-12-31
1183,2024,A2,GBP,3842434,3271447,7113881,171,25279,0.6488,2024-12-31
1183,2024,D1,GBP,4938331,1850417,6788748,270,24568,0.5893,2024-12-31
1183,2024,D2,GBP,6352886,9075200,15428086,250,59372,0.3184,2024-12-31
1183,2024,E1,GBP,14504348,6770648,21274996,99,49167,0.5844,2024-12-31
2791,2018,A1,GBP,12280750,7578852,19859602,197,73537,0.4037,2024-12-31
2791,2018,A2,GBP,12238243,8751778,20990021,157,185427,0.5566,2024-12-31
2791,2018,D1,GBP,4035328,4632109,8667437,131,15580,0.4304,2024-12-31
2791,2018,D2,GBP,2434382,8974320,11408702,115,9256,0.3699,2024-12-31
2791,2018,E1,GBP,10345218,5718889,16064107,210,48569,0.6292,2024-12-31
2791,2019,A1,GBP,1067905,5708505,6776410,73,5260,0.7347,2024-12-31
2791,2019,A2,GBP,632511,2963391,3595902,235,2404,0.4674,2024-12-31
2791,2019,D1,GBP,11369644,1981206,13350850,115,56008,0.4531,2024-12-31
2791,2019,D2,GBP,8332296,9473414,17805710,115,268783,0.5195,2024-12-31
2791,2019,E1,GBP,10845038,7957887,18802925,242,48415,0.5368,2024-12-31
2791,2020,A1,GBP,4586740,4537501,9124241,211,23889,0.5413,2024-12-31
2791,2020,A2,GBP,7230232,5336072,12566304,40,52016,0.6816,2024-12-31
2791,2020,D1,GBP,9005390,2109511,11114901,235,37837,0.687,2024-12-31
2791,2020,D2,GBP,10188640,7023471,17212111,34,98918,0.5561,2024-12-31
2791,2020,E1,GBP,5542941,9092694,14635635,121,60911,0.3649,2024-12-31
2791,2021,A1,GBP,6089281,1202615,7291896,66,34209,0.6964,2024-12-31
2791,2021,A2,GBP,2873320,6106635,8979955,254,12942,0.3827,2024-12-31
2791,2021,D1,GBP,514146,2774488,3288634,122,4760,0.4506,2024-12-31
2791,2021,D2,GBP,1848473,3396967,5245440,140,14907,0.5183,2024-12-31
2791,2021,E1,GBP,12648959,4405930,17054889,98,59947,0.3025,2024-12-31
2791,2022,A1,GBP,3173110,6083305,9256415,71,12157,0.5749,2024-12-31
2791,2022,A2,GBP,7111016,3865022,10976038,261,33542,0.7157,2024-12-31
2791,2022,D1,GBP,12348474,4372535,16721009,69,56644,0.3643,2024-12-31
2791,2022,D2,GBP,13301758,2540199,15841957,224,71132,0.749,2024-12-31
2791,2022,E1,GBP,14253811,7423479,21677290,221,48647,0.3358,2024-12-31
2791,2023,A1,GBP,8692471,751244,9443715,133,78310,0.6839,2024-12-31
2791,2023,A2,GBP,6693016,6378057,13071073,194,24250,0.7116,2024-12-31
2791,2023,D1,GBP,10743606,6980364,17723970,59,78420,0.369,2024-12-31
2791,2023,D2,GBP,3653622,1042356,4695978,128,20997,0.5177,2024-12-31
2791,2023,E1,GBP,6197318,6743567,12940885,112,26149,0.3754,2024-12-31
2791,2024,A1,GBP,5719258,6789687,12508945,266,154574,0.4305,2024-12-31
2791,2024,A2,GBP,7575570,3311811,10887381,103,33971,0.6412,2024-12-31
2791,2024,D1,GBP,14496098,2085608,16581706,258,233808,0.4731,2024-12-31
2791,2024,D2,GBP,12792173,2001295,14793468,227,492006,0.3804,2024-12-31
2791,2024,E1,GBP,2659890,9941567,12601457,279,12314,0.6431,2024-12-31
623,2018,A1,GBP,694425,8456065,9150490,225,2942,0.6857,2024-12-31
623,2018,A2,GBP,5582733,7430001,13012734,152,70667,0.6018,2024-12-31
623,2018,D1,GBP,13962346,7854276,21816622,277,66487,0.6905,2024-12-31
623,2018,D2,GBP,12445771,5921432,18367203,293,60416,0.3558,2024-12-31
623,2018,E1,GBP,3500429,7414632,10915061,292,16205,0.7352,2024-12-31
623,2019,A1,GBP,1842330,2823078,4665408,23,9595,0.7741,2024-12-31
623,2019,A2,GBP,12370966,4625779,16996745,121,43713,0.7064,2024-12-31
623,2019,D1,GBP,12707584,7933454,20641038,242,288808,0.5324,2024-12-31
623,2019,D2,GBP,1168478,2339294,3507772,270,4582,0.4836,2024-12-31
623,2019,E1,GBP,10555059,6495765,17050824,149,44536,0.4687,2024-12-31
623,2020,A1,GBP,5468479,694773,6163252,297,35054,0.3894,2024-12-31
623,2020,A2,GBP,6487542,7297109,13784651,28,26159,0.4623,2024-12-31
623,2020,D1,GBP,11170019,897521,12067540,77,55297,0.666,2024-12-31
623,2020,D2,GBP,9413206,6947377,16360583,147,86359,0.342,2024-12-31
623,2020,E1,GBP,2086664,2414845,4501509,94,7671,0.5156,2024-12-31
623,2021,A1,GBP,5108638,6094620,11203258,254,35476,0.7594,2024-12-31
623,2021,A2,GBP,14507597,9083858,23591455,254,362689,0.3383,2024-12-31
623,2021,D1,GBP,6754467,942355,7696822,95,95133,0.491,2024-12-31
623,2021,D2,GBP,12670176,1621455,14291631,192,72817,0.5113,2024-12-31
623,2021,E1,GBP,875532,3385839,4261371,151,14592,0.7184,2024-12-31
623,2022,A1,GBP,7771837,2253294,10025131,118,50796,0.7975,2024-12-31
623,2022,A2,GBP,10827743,8924152,19751895,296,75192,0.6471,2024-12-31
623,2022,D1,GBP,1319251,6578644,7897895,262,10148,0.6804,2024-12-31
623,2022,D2,GBP,7830731,4910156,12740887,115,48638,0.5508,2024-12-31
623,2022,E1,GBP,1267426,6988583,8256009,112,7681,0.4363,2024-12-31
623,2023,A1,GBP,7331393,3775171,11106564,29,31600,0.6286,2024-12-31
623,2023,A2,GBP,5109853,4780410,9890263,256,28076,0.3486,2024-12-31
623,2023,D1,GBP,4271933,603213,4875146,186,32119,0.3319,2024-12-31
623,2023,D2,GBP,5329008,8028326,13357334,235,28345,0.5707,2024-12-31
623,2023,E1,GBP,8479292,9655934,18135226,26,43483,0.4703,2024-12-31
623,2024,A1,GBP,6311062,7755510,14066572,97,24652,0.7272,2024-12-31
623,2024,A2,GBP,8871405,3833909,12705314,292,82910,0.6365,2024-12-31
623,2024,D1,GBP,4789809,7060181,11849990,36,79830,0.6157,2024-12-31
623,2024,D2,GBP,9917483,6093159,16010642,62,78710,0.674,2024-12-31
623,2024,E1,GBP,9385075,6494004,15879079,175,55532,0.6754,2024-12-31
4242,2018,A1,GBP,8074899,8141337,16216236,35,81564,0.6124,2024-12-31
4242,2018,A2,GBP,3297337,6199311,9496648,240,14212,0.7979,2024-12-31
4242,2018,D1,GBP,892726,5062844,5955570,271,6376,0.4876,2024-12-31
4242,2018,D2,GBP,9519309,2509515,12028824,213,114690,0.3485,2024-12-31
4242,2018,E1,GBP,4162556,3845112,8007668,76,24777,0.3893,2024-12-31
4242,2019,A1,GBP,3169548,7029618,10199166,229,15847,0.6756,2024-12-31
4242,2019,A2,GBP,7515896,4978825,12494721,183,36662,0.6151,2024-12-31
4242,2019,D1,GBP,11644006,5631381,17275387,277,39605,0.5663,2024-12-31
4242,2019,D2,GBP,4276538,7077424,11353962,273,16640,0.4431,2024-12-31
4242,2019,E1,GBP,8040619,2933482,10974101,110,35895,0.4442,2024-12-31
4242,2020,A1,GBP,9436647,5904510,15341157,257,87376,0.6417,2024-12-31
4242,2020,A2,GBP,2149587,6731603,8881190,234,9186,0.5051,2024-12-31
4242,2020,D1,GBP,11177303,787227,11964530,134,124192,0.6049,2024-12-31
4242,2020,D2,GBP,8945000,1650663,10595663,229,288548,0.4625,2024-12-31
4242,2020,E1,GBP,4693310,3092716,7786026,261,71110,0.7759,2024-12-31
4242,2021,A1,GBP,881170,6832030,7713200,281,7467,0.7252,2024-12-31
4242,2021,A2,GBP,3207494,7980087,11187581,208,22587,0.3876,2024-12-31
4242,2021,D1,GBP,12458674,3651841,16110515,185,143203,0.4465,2024-12-31
4242,2021,D2,GBP,1018244,3773005,4791249,256,3993,0.4225,2024-12-31
4242,2021,E1,GBP,10620838,7743265,18364103,143,96553,0.7864,2024-12-31
4242,2022,A1,GBP,8892214,2164909,11057123,189,88041,0.4224,2024-12-31
4242,2022,A2,GBP,12613926,1471758,14085684,23,350386,0.641,2024-12-31
4242,2022,D1,GBP,7317366,9020251,16337617,260,33720,0.3352,2024-12-31
4242,2022,D2,GBP,7497602,4662566,12160168,295,92562,0.6579,2024-12-31
4242,2022,E1,GBP,10683382,9261899,19945281,32,43784,0.5404,2024-12-31
4242,2023,A1,GBP,12680791,1303047,13983838,169,56864,0.7142,2024-12-31
4242,2023,A2,GBP,12666007,969519,13635526,206,56544,0.6583,2024-12-31
4242,2023,D1,GBP,9082547,7682743,16765290,239,109428,0.3518,2024-12-31
4242,2023,D2,GBP,14711482,4704004,19415486,77,138787,0.4832,2024-12-31
4242,2023,E1,GBP,11514863,6001478,17516341,92,79964,0.6978,2024-12-31
4242,2024,A1,GBP,4024641,4737702,8762343,69,21407,0.621,2024-12-31
4242,2024,A2,GBP,1742680,7988025,9730705,271,12018,0.6785,2024-12-31
4242,2024,D1,GBP,6245238,5254178,11499416,247,33043,0.6937,2024-12-31
4242,2024,D2,GBP,12236697,4627209,16863906,160,322018,0.6807,2024-12-31
4242,2024,E1,GBP,2983430,9054003,12037433,167,90406,0.4105,2024-12-31
5000,2018,A1,GBP,6721849,9754622,16476471,205,39774,0.4533,2024-12-31
5000,2018,A2,GBP,12509746,2955874,15465620,176,47565,0.6565,2024-12-31
5000,2018,D1,GBP,11795742,5247259,17043001,99,138773,0.3733,2024-12-31
5000,2018,D2,GBP,5404531,6746253,12150784,151,39739,0.314,2024-12-31
5000,2018,E1,GBP,4051099,5382767,9433866,95,155811,0.4297,2024-12-31
5000,2019,A1,GBP,12598710,8832750,21431460,284,55500,0.5385,2024-12-31
5000,2019,A2,GBP,3359007,6074944,9433951,99,12170,0.4571,2024-12-31
5000,2019,D1,GBP,6780761,6641430,13422191,268,63969,0.7354,2024-12-31
5000,2019,D2,GBP,8587498,3242511,11830009,267,40128,0.3071,2024-12-31
5000,2019,E1,GBP,1586368,6043965,7630333,135,8912,0.4032,2024-12-31
5000,2020,A1,GBP,3018067,4969360,7987427,81,25150,0.4783,2024-12-31
5000,2020,A2,GBP,8206139,9853080,18059219,26,28493,0.7491,2024-12-31
5000,2020,D1,GBP,12938256,3697889,16636145,206,359396,0.4992,2024-12-31
5000,2020,D2,GBP,2158260,5828345,7986605,279,39967,0.4357,2024-12-31
5000,2020,E1,GBP,9471681,9321597,18793278,60,197326,0.5233,2024-12-31
5000,2021,A1,GBP,9273624,4460278,13733902,145,61414,0.6986,2024-12-31
5000,2021,A2,GBP,3564939,4411878,7976817,136,14090,0.3887,2024-12-31
5000,2021,D1,GBP,10719634,4758768,15478402,162,162418,0.6716,2024-12-31
5000,2021,D2,GBP,12803357,1368187,14171544,87,44611,0.4514,2024-12-31
5000,2021,E1,GBP,3985165,4118263,8103428,144,15095,0.5321,2024-12-31
5000,2022,A1,GBP,9508251,1157027,10665278,183,166811,0.3982,2024-12-31
5000,2022,A2,GBP,2452975,7713819,10166794,62,9326,0.3987,2024-12-31
5000,2022,D1,GBP,9599439,3906999,13506438,269,55488,0.5847,2024-12-31
5000,2022,D2,GBP,10259533,7510103,17769636,77,41705,0.6887,2024-12-31
5000,2022,E1,GBP,3768180,7954679,11722859,20,25460,0.6773,2024-12-31
5000,2023,A1,GBP,10589048,4842317,15431365,272,96264,0.4643,2024-12-31
5000,2023,A2,GBP,8608087,8926848,17534935,165,49757,0.4321,2024-12-31
5000,2023,D1,GBP,9428667,4477895,13906562,194,58929,0.6389,2024-12-31
5000,2023,D2,GBP,8939984,5480871,14420855,245,116103,0.7886,2024-12-31
5000,2023,E1,GBP,3556477,8480242,12036719,23,19434,0.7467,2024-12-31
5000,2024,A1,GBP,9048795,8193786,17242581,273,87852,0.3894,2024-12-31
5000,2024,A2,GBP,13258029,7548007,20806036,175,194971,0.7626,2024-12-31
5000,2024,D1,GBP,7935634,6045050,13980684,295,70226,0.3968,2024-12-31
5000,2024,D2,GBP,2323879,4189005,6512884,129,13129,0.5509,2024-12-31
5000,2024,E1,GBP,5868975,9198627,15067602,261,81513,0.6424,2024-12-31
1910,2018,A1,GBP,10726160,3828113,14554273,99,57979,0.3782,2024-12-31
1910,2018,A2,GBP,13358014,6947803,20305817,107,133580,0.6051,2024-12-31
1910,2018,D1,GBP,3136248,5764024,8900272,284,11970,0.6267,2024-12-31
1910,2018,D2,GBP,13733006,7294575,21027581,157,100240,0.7664,2024-12-31
1910,2018,E1,GBP,8418538,5393866,13812404,209,89558,0.4531,2024-12-31
1910,2019,A1,GBP,12692164,6238019,18930183,181,50768,0.454,2024-12-31
1910,2019,A2,GBP,9950377,6902542,16852919,233,452289,0.6811,2024-12-31
1910,2019,D1,GBP,7279356,1227904,8507260,229,36215,0.6229,2024-12-31
1910,2019,D2,GBP,2847640,7965337,10812977,160,98194,0.7093,2024-12-31
1910,2019,E1,GBP,3892572,3799878,7692450,151,22897,0.7163,2024-12-31
1910,2020,A1,GBP,897267,5699676,6596943,238,4173,0.4628,2024-12-31
1910,2020,A2,GBP,9894775,3646251,13541026,130,35721,0.5201,2024-12-31
1910,2020,D1,GBP,5096336,2092386,7188722,58,35391,0.3802,2024-12-31
1910,2020,D2,GBP,12627396,8347740,20975136,260,293660,0.6906,2024-12-31
1910,2020,E1,GBP,7044171,8471197,15515368,147,43215,0.7935,2024-12-31
1910,2021,A1,GBP,10333367,6591774,16925141,50,145540,0.3281,2024-12-31
1910,2021,A2,GBP,6249416,4931287,11180703,295,29901,0.5191,2024-12-31
1910,2021,D1,GBP,5268677,2162787,7431464,261,59871,0.7404,2024-12-31
1910,2021,D2,GBP,1741325,5744970,7486295,231,17951,0.737,2024-12-31
1910,2021,E1,GBP,10395341,5313965,15709306,122,159928,0.5191,2024-12-31
1910,2022,A1,GBP,6000277,9908868,15909145,299,39217,0.5783,2024-12-31
1910,2022,A2,GBP,14212186,5189205,19401391,31,156177,0.6861,2024-12-31
1910,2022,D1,GBP,1640916,5567395,7208311,204,6616,0.6736,2024-12-31
1910,2022,D2,GBP,4103961,3389357,7493318,184,15845,0.4138,2024-12-31
1910,2022,E1,GBP,6576771,5887015,12463786,121,43268,0.4277,2024-12-31
1910,2023,A1,GBP,13043490,688196,13731686,91,161030,0.6211,2024-12-31
1910,2023,A2,GBP,7669423,6948944,14618367,269,174305,0.7158,2024-12-31
1910,2023,D1,GBP,1511437,8894324,10405761,211,53979,0.5829,2024-12-31
1910,2023,D2,GBP,1038280,8759266,9797546,187,3519,0.546,2024-12-31
1910,2023,E1,GBP,10143803,5899438,16043241,54,174893,0.5827,2024-12-31
1910,2024,A1,GBP,9866562,2184667,12051229,292,97688,0.6993,2024-12-31
1910,2024,A2,GBP,14698546,1771869,16470415,259,125628,0.676,2024-12-31
1910,2024,D1,GBP,13370058,7530086,20900144,161,51821,0.5256,2024-12-31
1910,2024,D2,GBP,12897298,2853581,15750879,189,226268,0.3908,2024-12-31
1910,2024,E1,GBP,10150653,6001061,16151714,252,35002,0.6906,2024-12-31
2010,2018,A1,GBP,12906056,7554420,20460476,30,57360,0.5874,2024-12-31
2010,2018,A2,GBP,606601,6842233,7448834,29,25275,0.4126,2024-12-31
2010,2018,D1,GBP,7666381,2824885,10491266,152,57211,0.5922,2024-12-31
2010,2018,D2,GBP,13381191,5779762,19160953,292,52681,0.6268,2024-12-31
2010,2018,E1,GBP,3861005,9937477,13798482,201,39398,0.3944,2024-12-31
2010,2019,A1,GBP,2987789,3758525,6746314,177,26676,0.3504,2024-12-31
2010,2019,A2,GBP,9449336,961904,10411240,85,31923,0.4743,2024-12-31
2010,2019,D1,GBP,1662105,5793884,7455989,181,12132,0.6291,2024-12-31
2010,2019,D2,GBP,3883988,5382313,9266301,103,16388,0.7955,2024-12-31
2010,2019,E1,GBP,4408736,3944612,8353348,201,133598,0.3687,2024-12-31
2010,2020,A1,GBP,7875951,2365444,10241395,212,238665,0.522,2024-12-31
2010,2020,A2,GBP,12981281,3799464,16780745,214,288472,0.5234,2024-12-31
2010,2020,D1,GBP,7197098,3632588,10829686,125,33631,0.5951,2024-12-31
2010,2020,D2,GBP,2591268,1857794,4449062,109,9287,0.7566,2024-12-31
2010,2020,E1,GBP,12655400,8965368,21620768,82,122867,0.6783,2024-12-31
2010,2021,A1,GBP,2519277,8505877,11025154,203,13842,0.5076,2024-12-31
2010,2021,A2,GBP,4028709,1823219,5851928,279,19748,0.539,2024-12-31
2010,2021,D1,GBP,9035161,2178919,11214080,253,322684,0.3036,2024-12-31
2010,2021,D2,GBP,13979011,7346664,21325675,224,196887,0.4773,2024-12-31
2010,2021,E1,GBP,5700630,1395646,7096276,242,32951,0.4147,2024-12-31
2010,2022,A1,GBP,12264417,1716860,13981277,219,46990,0.3079,2024-12-31
2010,2022,A2,GBP,5108971,5723586,10832557,43,55532,0.7237,2024-12-31
2010,2022,D1,GBP,3475579,9772068,13247647,24,40889,0.5593,2024-12-31
2010,2022,D2,GBP,2852507,8182149,11034656,39,55931,0.5981,2024-12-31
2010,2022,E1,GBP,4020289,5217143,9237432,210,17328,0.7116,2024-12-31
2010,2023,A1,GBP,7533665,3192727,10726392,109,26433,0.7827,2024-12-31
2010,2023,A2,GBP,12948135,3346988,16295123,206,170370,0.6933,2024-12-31
2010,2023,D1,GBP,1002983,8647594,9650577,124,5698,0.5018,2024-12-31
2010,2023,D2,GBP,6760990,4749004,11509994,184,198852,0.6916,2024-12-31
2010,2023,E1,GBP,6063023,778098,6841121,260,163865,0.6675,2024-12-31
2010,2024,A1,GBP,2921636,7139304,10060940,43,9870,0.4885,2024-12-31
2010,2024,A2,GBP,10541289,9111471,19652760,106,105412,0.3501,2024-12-31
2010,2024,D1,GBP,6349651,4036280,10385931,67,27135,0.7941,2024-12-31
2010,2024,D2,GBP,2385936,8280743,10666679,257,10284,0.7281,2024-12-31
2010,2024,E1,GBP,9504788,7688951,17193739,88,475239,0.4557,2024-12-31
2525,2018,A1,GBP,8376684,4609422,12986106,85,45279,0.6282,2024-12-31
2525,2018,A2,GBP,6633460,1917294,8550754,264,24387,0.6744,2024-12-31
2525,2018,D1,GBP,14793659,9883809,24677468,120,176114,0.4097,2024-12-31
2525,2018,D2,GBP,2677810,2692356,5370166,135,43190,0.6716,2024-12-31
2525,2018,E1,GBP,12533761,7075286,19609047,164,171695,0.4249,2024-12-31
2525,2019,A1,GBP,4705556,3397522,8103078,174,25029,0.6552,2024-12-31
2525,2019,A2,GBP,8253576,9022758,17276334,284,52907,0.6799,2024-12-31
2525,2019,D1,GBP,2709678,5801987,8511665,236,12842,0.6306,2024-12-31
2525,2019,D2,GBP,10220191,874205,11094396,217,232277,0.6971,2024-12-31
2525,2019,E1,GBP,3556346,540278,4096624,93,96117,0.7177,2024-12-31
2525,2020,A1,GBP,4490114,3015983,7506097,223,24270,0.3059,2024-12-31
2525,2020,A2,GBP,8566089,8417569,16983658,196,73845,0.6144,2024-12-31
2525,2020,D1,GBP,14206809,9983833,24190642,227,56600,0.7963,2024-12-31
2525,2020,D2,GBP,8103326,4709130,12812456,299,33074,0.3589,2024-12-31
2525,2020,E1,GBP,5185963,8931725,14117688,192,27010,0.7983,2024-12-31
2525,2021,A1,GBP,3625920,4582961,8208881,194,13479,0.686,2024-12-31
