Syndicate_Number,Year_of_Account,Development_Year,LOB_Code,Currency,Gross_Premium_Written,Net_Premium_Written,Cumulative_Paid_Claims,Case_Reserves,IBNR_Reserve,Total_Incurred,Number_of_Claims,Number_of_Claims_Closed,As_At_Date
2987,2018,3,E1,GBP,13273374,11282367,4194104,1355018,903345,6452467,212,7,2021-12-31
2987,2018,4,E1,GBP,9873757,8392693,5249907,787486,524990,6562383,242,154,2022-12-31
2987,2018,5,E1,GBP,9796677,8327175,6364243,200976,133984,6699203,431,314,2023-12-31
2987,2018,6,E1,GBP,13464587,11444898,6642598,0,0,6642598,129,246,2024-12-31
2987,2019,0,A1,GBP,1839687,1563733,256753,616208,410805,1283766,492,58,2019-12-31
2987,2019,1,A1,GBP,12006064,10205154,3429362,3821289,2547526,9798177,123,117,2020-12-31
2987,2019,2,A1,GBP,3121211,2653029,1098918,659351,439567,2197836,247,181,2021-12-31
2987,2019,3,A1,GBP,11139819,9468846,5138823,1660235,1106823,7905881,69,49,2022-12-31
2987,2019,4,A1,GBP,2521586,2143348,1671316,250697,167131,2089144,165,205,2023-12-31
2987,2019,5,A1,GBP,4896356,4161902,2274029,71811,47874,2393714,464,266,2024-12-31
2987,2019,0,A2,GBP,5552130,4719310,672316,1613560,1075706,3361582,199,69,2019-12-31
2987,2019,1,A2,GBP,19125852,16256974,4134583,4607107,3071404,11813094,390,131,2020-12-31
2987,2019,2,A2,GBP,6184928,5257188,2486852,1492111,994741,4973704,345,27,2021-12-31
2987,2019,3,A2,GBP,17419761,14806796,7883653,2547026,1698017,12128696,490,96,2022-12-31
2987,2019,4,A2,GBP,2097776,1783109,1218576,182786,121857,1523219,121,185,2023-12-31
2987,2019,5,A2,GBP,15921516,13533288,12557474,396551,264367,13218392,447,180,2024-12-31
2987,2019,0,D1,GBP,4333787,3683718,730131,1752315,1168210,3650656,198,56,2019-12-31
2987,2019,1,D1,GBP,13035097,11079832,2163526,2410786,1607191,6181503,151,35,2020-12-31
2987,2019,2,D1,GBP,5098999,4334149,2115075,1269045,846030,4230150,431,118,2021-12-31
2987,2019,3,D1,GBP,4076049,3464641,1894628,612110,408073,2914811,338,215,2022-12-31
2987,2019,4,D1,GBP,1716637,1459141,645773,96865,64577,807215,180,103,2023-12-31
2987,2019,5,D1,GBP,5225304,4441508,3796453,119888,79925,3996266,115,38,2024-12-31
2987,2019,0,D2,GBP,19596127,16656707,2088410,5012184,3341456,10442050,120,24,2019-12-31
2987,2019,1,D2,GBP,12024629,10220934,3197488,3562915,2375277,9135680,413,108,2020-12-31
2987,2019,2,D2,GBP,1095145,930873,307138,184283,122855,614276,84,35,2021-12-31
2987,2019,3,D2,GBP,19126622,16257628,6841020,2210175,1473450,10524645,99,39,2022-12-31
2987,2019,4,D2,GBP,1865038,1585282,750075,112511,75007,937593,193,100,2023-12-31
2987,2019,5,D2,GBP,11863967,10084371,5142991,162410,108273,5413674,145,29,2024-12-31
2987,2019,0,E1,GBP,5253310,4465313,784515,1882838,1255225,3922578,279,12,2019-12-31
2987,2019,1,E1,GBP,3132653,2662755,702260,782519,521679,2006458,408,66,2020-12-31
2987,2019,2,E1,GBP,18221408,15488196,6263302,3757981,2505321,12526604,241,131,2021-12-31
2987,2019,3,E1,GBP,8433976,7168879,4540077,1466794,977862,6984733,32,245,2022-12-31
2987,2019,4,E1,GBP,18496999,15722449,8444281,1266642,844428,10555351,339,16,2023-12-31
2987,2019,5,E1,GBP,3040961,2584816,2453942,77492,51661,2583095,443,199,2024-12-31
2987,2020,0,A1,GBP,15303369,13007863,2217271,5321451,3547634,11086356,261,73,2020-12-31
2987,2020,1,A1,GBP,15883482,13500959,2665068,2969648,1979765,7614481,51,59,2021-12-31
2987,2020,2,A1,GBP,5977257,5080668,1423402,854041,569361,2846804,150,162,2022-12-31
2987,2020,3,A1,GBP,19399788,16489819,9266497,2993791,1995860,14256148,205,201,2023-12-31
2987,2020,4,A1,GBP,18802533,15982153,8543255,1281488,854325,10679068,268,251,2024-12-31
2987,2020,0,A2,GBP,15435094,13119829,1511624,3627899,2418599,7558122,369,12,2020-12-31
2987,2020,1,A2,GBP,19499740,16574779,5039075,5614970,3743313,14397358,120,78,2021-12-31
2987,2020,2,A2,GBP,16151668,13728917,6502955,3901773,2601182,13005910,221,89,2022-12-31
2987,2020,3,A2,GBP,16216898,13784363,6424646,2075654,1383769,9884069,383,34,2023-12-31
2987,2020,4,A2,GBP,11487382,9764274,5704225,855633,570422,7130280,350,108,2024-12-31
2987,2020,0,D1,GBP,13559458,11525539,2254767,5411440,3607627,11273834,361,49,2020-12-31
2987,2020,1,D1,GBP,3252620,2764727,553828,617123,411415,1582366,53,18,2021-12-31
2987,2020,2,D1,GBP,15491371,13167665,3784741,2270844,1513896,7569481,388,97,2022-12-31
2987,2020,3,D1,GBP,5365950,4561057,2345759,757860,505240,3608859,310,189,2023-12-31
2987,2020,4,D1,GBP,19846966,16869921,9238498,1385774,923849,11548121,72,172,2024-12-31
2987,2020,0,D2,GBP,12864782,10935064,2056931,4936636,3291090,10284657,491,77,2020-12-31
2987,2020,1,D2,GBP,15191405,12912694,4238901,4723347,3148898,12111146,379,10,2021-12-31
2987,2020,2,D2,GBP,10651241,9053554,3675551,2205331,1470220,7351102,190,29,2022-12-31
2987,2020,3,D2,GBP,18025939,15322048,6269639,2025575,1350383,9645597,346,163,2023-12-31
2987,2020,4,D2,GBP,8524409,7245747,5379992,806998,537999,6724989,189,231,2024-12-31
2987,2020,0,E1,GBP,13333302,11333306,1322541,3174098,2116065,6612704,152,59,2020-12-31
2987,2020,1,E1,GBP,8588639,7300343,2323321,2588843,1725895,6638059,442,102,2021-12-31
2987,2020,2,E1,GBP,19681086,16728923,4531585,2718951,1812634,9063170,485,170,2022-12-31
2987,2020,3,E1,GBP,9974056,8477947,2992494,966805,644537,4603836,149,236,2023-12-31
2987,2020,4,E1,GBP,11367805,9662634,7444684,1116702,744468,9305854,189,6,2024-12-31
2987,2021,0,A1,GBP,7086960,6023916,1131000,2714402,1809601,5655003,299,68,2021-12-31
2987,2021,1,A1,GBP,14448091,12280877,2416327,2692478,1794985,6903790,389,115,2022-12-31
2987,2021,2,A1,GBP,2028681,1724378,493682,296209,197473,987364,281,57,2023-12-31
2987,2021,3,A1,GBP,13622989,11579540,5471761,1767799,1178533,8418093,184,55,2024-12-31
2987,2021,0,A2,GBP,13416921,11404382,1542020,3700848,2467232,7710100,176,59,2021-12-31
2987,2021,1,A2,GBP,3850685,3273082,1082689,1206424,804283,3093396,89,29,2022-12-31
2987,2021,2,A2,GBP,2669752,2269289,960560,576336,384224,1921120,149,115,2023-12-31
2987,2021,3,A2,GBP,15227574,12943437,6376882,2060223,1373482,9810587,236,141,2024-12-31
2987,2021,0,D1,GBP,10165958,8641064,1090253,2616608,1744405,5451266,272,12,2021-12-31
2987,2021,1,D1,GBP,12582079,10694767,2738966,3051991,2034660,7825617,155,123,2022-12-31
2987,2021,2,D1,GBP,17328685,14729382,5725169,3435101,2290067,11450337,167,14,2023-12-31
2987,2021,3,D1,GBP,8399370,7139464,3320006,1072617,715078,5107701,316,21,2024-12-31
2987,2021,0,D2,GBP,1257935,1069244,133786,321086,214057,668929,494,22,2021-12-31
2987,2021,1,D2,GBP,5604835,4764109,1482380,1651795,1101197,4235372,158,60,2022-12-31
2987,2021,2,D2,GBP,5026006,4272105,1138621,683172,455448,2277241,392,112,2023-12-31
2987,2021,3,D2,GBP,6895339,5861038,2248489,726434,484289,3459212,282,237,2024-12-31
2987,2021,0,E1,GBP,8721234,7413048,1133943,2721464,1814309,5669716,436,69,2021-12-31
2987,2021,1,E1,GBP,12883878,10951296,2159216,2405984,1603989,6169189,451,134,2022-12-31
2987,2021,2,E1,GBP,2419428,2056513,755451,453271,302180,1510902,245,22,2023-12-31
2987,2021,3,E1,GBP,11504571,9778885,5087291,1643586,1095724,7826601,303,137,2024-12-31
2987,2022,0,A1,GBP,15015483,12763160,1699170,4078008,2718672,8495850,217,3,2022-12-31
2987,2022,1,A1,GBP,11897411,10112799,2160120,2406991,1604661,6171772,495,112,2023-12-31
2987,2022,2,A1,GBP,16438290,13972546,6434031,3860419,2573612,12868062,480,95,2024-12-31
2987,2022,0,A2,GBP,3957148,3363575,494393,1186545,791030,2471968,64,25,2022-12-31
2987,2022,1,A2,GBP,15618878,13276046,3747624,4175924,2783949,10707497,278,15,2023-12-31
2987,2022,2,A2,GBP,14279726,12137767,5699108,3419465,2279643,11398216,391,89,2024-12-31
2987,2022,0,D1,GBP,8434724,7169515,983872,2361294,1574196,4919362,96,8,2022-12-31
2987,2022,1,D1,GBP,18128976,15409629,4462473,4972470,3314980,12749923,281,93,2023-12-31
2987,2022,2,D1,GBP,7506328,6380378,3048954,1829372,1219581,6097907,188,92,2024-12-31
2987,2022,0,D2,GBP,5955648,5062300,648579,1556589,1037726,3242894,84,27,2022-12-31
2987,2022,1,D2,GBP,7619343,6476441,1385119,1543418,1028945,3957482,88,137,2023-12-31
2987,2022,2,D2,GBP,3528436,2999170,918907,551344,367563,1837814,405,163,2024-12-31
2987,2022,0,E1,GBP,17579816,14942843,2234680,5363232,3575488,11173400,298,78,2022-12-31
2987,2022,1,E1,GBP,16062760,13653346,4061608,4525792,3017194,11604594,461,102,2023-12-31
2987,2022,2,E1,GBP,11845068,10068307,4712552,2827531,1885021,9425104,331,83,2024-12-31
2987,2023,0,A1,GBP,6065289,5155495,759259,1822221,1214814,3796294,250,46,2023-12-31
2987,2023,1,A1,GBP,11160967,9486821,3002145,3345247,2230165,8577557,312,11,2024-12-31
2987,2023,0,A2,GBP,12809221,10887837,1672717,4014521,2676347,8363585,168,48,2023-12-31
2987,2023,1,A2,GBP,16163713,13739156,2630886,2931559,1954373,7516818,198,52,2024-12-31
2987,2023,0,D1,GBP,3574665,3038465,506077,1214585,809723,2530385,447,10,2023-12-31
2987,2023,1,D1,GBP,18014372,15312216,3806933,4242011,2828007,10876951,307,100,2024-12-31
2987,2023,0,D2,GBP,2376493,2020019,299387,718529,479019,1496935,424,59,2023-12-31
2987,2023,1,D2,GBP,7316268,6218827,1481644,1650975,1100650,4233269,253,91,2024-12-31
2987,2023,0,E1,GBP,6062057,5152748,1010046,2424111,1616074,5050231,240,11,2023-12-31
2987,2023,1,E1,GBP,12523859,10645280,3694963,4117245,2744830,10557038,53,92,2024-12-31
2987,2024,0,A1,GBP,6790116,5771598,632372,1517694,1011796,3161862,372,45,2024-12-31
2987,2024,0,A2,GBP,15744548,13382865,2077107,4985057,3323371,10385535,322,17,2024-12-31
2987,2024,0,D1,GBP,13210389,11228830,1582976,3799143,2532762,7914881,154,40,2024-12-31
2987,2024,0,D2,GBP,14716024,12508620,2236205,5366893,3577928,11181026,357,62,2024-12-31
2987,2024,0,E1,GBP,2757095,2343530,422216,1013319,675546,2111081,341,35,2024-12-31
33,2018,0,A1,GBP,3211634,2729888,373754,897011,598007,1868772,295,70,2018-12-31
33,2018,1,A1,GBP,13970942,11875300,2756195,3071189,2047459,7874843,380,119,2019-12-31
33,2018,2,A1,GBP,6045691,5138837,1763361,1058016,705344,3526721,308,172,2020-12-31
33,2018,3,A1,GBP,5745548,4883715,3050047,985399,656933,4692379,168,220,2021-12-31
33,2018,4,A1,GBP,14151927,12029137,5678666,851799,567866,7098331,372,38,2022-12-31
33,2018,5,A1,GBP,11387844,9679667,7286971,230114,153409,7670494,339,164,2023-12-31
33,2018,6,A1,GBP,5288047,4494839,3797063,0,0,3797063,434,383,2024-12-31
33,2018,0,A2,GBP,18662829,15863404,1819182,4366037,2910691,9095910,353,44,2018-12-31
33,2018,1,A2,GBP,18062042,15352735,3759721,4189403,2792935,10742059,195,57,2019-12-31
33,2018,2,A2,GBP,7048619,5991326,2926825,1756095,1170730,5853650,184,198,2020-12-31
33,2018,3,A2,GBP,17316544,14719062,5929554,1915702,1277134,9122390,80,54,2021-12-31
33,2018,4,A2,GBP,3589230,3050845,1631855,244778,163185,2039818,413,44,2022-12-31
33,2018,5,A2,GBP,18035239,15329953,12993170,410310,273540,13677020,437,363,2023-12-31
33,2018,6,A2,GBP,18667469,15867348,8682221,0,0,8682221,182,397,2024-12-31
33,2018,0,D1,GBP,5397276,4587684,743635,1784724,1189816,3718175,88,17,2018-12-31
33,2018,1,D1,GBP,7068183,6007955,1935892,2157137,1438091,5531120,404,113,2019-12-31
33,2018,2,D1,GBP,6554572,5571386,2420187,1452112,968075,4840374,32,107,2020-12-31
33,2018,3,D1,GBP,13223859,11240280,6193452,2000961,1333974,9528387,131,150,2021-12-31
33,2018,4,D1,GBP,10560594,8976504,6344437,951665,634443,7930545,411,187,2022-12-31
33,2018,5,D1,GBP,8851835,7524059,5580411,176223,117482,5874116,168,232,2023-12-31
33,2018,6,D1,GBP,7510102,6383586,4484555,0,0,4484555,494,297,2024-12-31
33,2018,0,D2,GBP,15783995,13416395,2003531,4808476,3205651,10017658,154,40,2018-12-31
33,2018,1,D2,GBP,17874748,15193535,4135222,4607819,3071879,11814920,92,37,2019-12-31
33,2018,2,D2,GBP,5643884,4797301,2255298,1353178,902119,4510595,36,166,2020-12-31
33,2018,3,D2,GBP,17125946,14557054,8901559,2875888,1917259,13694706,293,37,2021-12-31
33,2018,4,D2,GBP,18311046,15564389,11579413,1736912,1157941,14474266,155,37,2022-12-31
33,2018,5,D2,GBP,6379189,5422310,3388374,107001,71334,3566709,473,253,2023-12-31
33,2018,6,D2,GBP,5944200,5052570,4650853,0,0,4650853,56,118,2024-12-31
33,2018,0,E1,GBP,16137343,13716741,2594406,6226576,4151050,12972032,486,3,2018-12-31
33,2018,1,E1,GBP,14921630,12683385,2461411,2742716,1828477,7032604,267,68,2019-12-31
33,2018,2,E1,GBP,8911399,7574689,2693320,1615992,1077328,5386640,51,98,2020-12-31
33,2018,3,E1,GBP,8534270,7254129,2558819,826695,551130,3936644,486,35,2021-12-31
33,2018,4,E1,GBP,12250477,10412905,7512504,1126875,751250,9390629,80,19,2022-12-31
33,2018,5,E1,GBP,10626075,9032163,8247008,260431,173621,8681060,251,342,2023-12-31
33,2018,6,E1,GBP,5657109,4808542,4262837,0,0,4262837,250,234,2024-12-31
33,2019,0,A1,GBP,1176200,999770,191095,458629,305752,955476,19,27,2019-12-31
33,2019,1,A1,GBP,8236172,7000746,2259963,2518244,1678829,6457036,290,131,2020-12-31
33,2019,2,A1,GBP,18709073,15902712,5793282,3475969,2317312,11586563,407,76,2021-12-31
33,2019,3,A1,GBP,8973882,7627799,3327509,1075041,716694,5119244,34,82,2022-12-31
33,2019,4,A1,GBP,15087007,12823955,8516080,1277412,851608,10645100,328,191,2023-12-31
33,2019,5,A1,GBP,3107458,2641339,1459343,46084,30723,1536150,473,247,2024-12-31
33,2019,0,A2,GBP,18986980,16138933,1733792,4161102,2774068,8668962,273,59,2019-12-31
33,2019,1,A2,GBP,9118096,7750381,2353345,2622299,1748199,6723843,159,78,2020-12-31
33,2019,2,A2,GBP,1052490,894616,366226,219735,146490,732451,133,148,2021-12-31
33,2019,3,A2,GBP,14977689,12731035,5110411,1651056,1100704,7862171,352,31,2022-12-31
33,2019,4,A2,GBP,18565226,15780442,12473779,1871066,1247377,15592222,44,219,2023-12-31
33,2019,5,A2,GBP,19256361,16367906,11944422,377192,251461,12573075,269,273,2024-12-31
33,2019,0,D1,GBP,1682306,1429960,203956,489495,326330,1019781,250,5,2019-12-31
33,2019,1,D1,GBP,13981582,11884344,4122406,4593539,3062359,11778304,139,135,2020-12-31
33,2019,2,D1,GBP,1544998,1313248,457966,274779,183186,915931,44,90,2021-12-31
33,2019,3,D1,GBP,9090843,7727216,4391465,1418781,945854,6756100,331,37,2022-12-31
33,2019,4,D1,GBP,12157473,10333852,4895705,734355,489570,6119630,190,227,2023-12-31
33,2019,5,D1,GBP,12359760,10505796,9104611,287514,191676,9583801,99,337,2024-12-31
33,2019,0,D2,GBP,16590157,14101633,2794869,6707687,4471791,13974347,255,65,2019-12-31
33,2019,1,D2,GBP,7116234,6048798,1929279,2149769,1433179,5512227,42,129,2020-12-31
33,2019,2,D2,GBP,16357178,13903601,3801355,2280813,1520542,7602710,113,13,2021-12-31
33,2019,3,D2,GBP,7693096,6539131,4021992,1299413,866275,6187680,171,105,2022-12-31
33,2019,4,D2,GBP,18293403,15549392,8916784,1337517,891678,11145979,427,226,2023-12-31
33,2019,5,D2,GBP,16884660,14351961,8843496,279268,186178,9308942,395,319,2024-12-31
33,2019,0,E1,GBP,7412367,6300511,836773,2008256,1338837,4183866,451,5,2019-12-31
33,2019,1,E1,GBP,12137544,10316912,2375928,2647462,1764975,6788365,419,67,2020-12-31
33,2019,2,E1,GBP,15661655,13312406,6310038,3786023,2524015,12620076,390,115,2021-12-31
33,2019,3,E1,GBP,13973645,11877598,5319061,1718465,1145643,8183169,105,168,2022-12-31
33,2019,4,E1,GBP,17694114,15039996,8449842,1267476,844984,10562302,418,216,2023-12-31
33,2019,5,E1,GBP,9949661,8457211,7282517,229974,153316,7665807,382,210,2024-12-31
33,2020,0,A1,GBP,3648350,3101097,454031,1089676,726451,2270158,431,19,2020-12-31
33,2020,1,A1,GBP,19303083,16407620,3834119,4272304,2848202,10954625,62,15,2021-12-31
33,2020,2,A1,GBP,12003166,10202691,4287336,2572402,1714934,8574672,166,116,2022-12-31
33,2020,3,A1,GBP,15298082,13003369,5137518,1659813,1106542,7903873,237,119,2023-12-31
33,2020,4,A1,GBP,16003181,13602703,5978046,896707,597804,7472557,455,148,2024-12-31
33,2020,0,A2,GBP,15594181,13255053,1745993,4190384,2793589,8729966,415,6,2020-12-31
33,2020,1,A2,GBP,3517963,2990268,884647,985749,657166,2527562,217,66,2021-12-31
33,2020,2,A2,GBP,18216309,15483862,7017271,4210363,2806908,14034542,357,43,2022-12-31
33,2020,3,A2,GBP,2044905,1738169,674047,217769,145179,1036995,321,228,2023-12-31
33,2020,4,A2,GBP,15702640,13347244,5827809,874171,582780,7284760,44,100,2024-12-31
33,2020,0,D1,GBP,13291943,11298151,1581369,3795287,2530191,7906847,496,59,2020-12-31
33,2020,1,D1,GBP,2086671,1773670,505419,563181,375454,1444054,357,82,2021-12-31
33,2020,2,D1,GBP,13447503,11430377,4026218,2415731,1610487,8052436,400,22,2022-12-31
33,2020,3,D1,GBP,5620281,4777238,2417617,781076,520717,3719410,213,107,2023-12-31
33,2020,4,D1,GBP,10351276,8798584,4553275,682991,455327,5691593,68,14,2024-12-31
33,2020,0,D2,GBP,7242736,6156325,941001,2258404,1505602,4705007,208,58,2020-12-31
33,2020,1,D2,GBP,4951403,4208692,961308,1071172,714114,2746594,143,127,2021-12-31
33,2020,2,D2,GBP,15974440,13578274,4279777,2567866,1711910,8559553,323,75,2022-12-31
33,2020,3,D2,GBP,17481943,14859651,6023339,1946002,1297334,9266675,79,27,2023-12-31
33,2020,4,D2,GBP,16168035,13742829,6713777,1007066,671377,8392220,375,185,2024-12-31
33,2020,0,E1,GBP,3945768,3353902,610966,1466320,977547,3054833,442,33,2020-12-31
33,2020,1,E1,GBP,12657658,10759009,3250938,3622473,2414982,9288393,291,98,2021-12-31
33,2020,2,E1,GBP,10742941,9131499,4332266,2599359,1732906,8664531,445,42,2022-12-31
33,2020,3,E1,GBP,6841524,5815295,3412969,1102651,735101,5250721,270,77,2023-12-31
33,2020,4,E1,GBP,5072248,4311410,3424996,513749,342499,4281244,415,60,2024-12-31
33,2021,0,A1,GBP,8943548,7602015,1370418,3289004,2192669,6852091,23,37,2021-12-31
33,2021,1,A1,GBP,19589874,16651392,4654923,5186914,3457942,13299779,249,100,2022-12-31
33,2021,2,A1,GBP,5354399,4551239,1860062,1116037,744025,3720124,54,19,2023-12-31
33,2021,3,A1,GBP,11378074,9671362,4505963,1455772,970515,6932250,377,242,2024-12-31
33,2021,0,A2,GBP,17061335,14502134,2253045,5407309,3604873,11265227,403,42,2021-12-31
33,2021,1,A2,GBP,3474663,2953463,608224,677736,451824,1737784,172,116,2022-12-31
33,2021,2,A2,GBP,3488565,2965280,1098880,659328,439552,2197760,358,134,2023-12-31
33,2021,3,A2,GBP,12559997,10675997,4092888,1322317,881545,6296750,434,186,2024-12-31
33,2021,0,D1,GBP,7105669,6039818,1075958,2582300,1721533,5379791,76,45,2021-12-31
33,2021,1,D1,GBP,17873308,15192311,5093887,5676046,3784030,14553963,38,23,2022-12-31
33,2021,2,D1,GBP,18384622,15626928,4699166,2819499,1879666,9398331,94,43,2023-12-31
33,2021,3,D1,GBP,11826698,10052693,6333573,2046231,1364154,9743958,125,118,2024-12-31
33,2021,0,D2,GBP,18411320,15649622,2975160,7140384,4760256,14875800,443,9,2021-12-31
33,2021,1,D2,GBP,9408918,7997580,1740482,1939395,1292930,4972807,499,100,2022-12-31
33,2021,2,D2,GBP,10209048,8677690,2552609,1531565,1021043,5105217,165,159,2023-12-31
33,2021,3,D2,GBP,18900552,16065469,5987532,1934433,1289622,9211587,338,59,2024-12-31
33,2021,0,E1,GBP,6173901,5247815,640209,1536501,1024334,3201044,329,74,2021-12-31
33,2021,1,E1,GBP,12328633,10479338,3395973,3784085,2522723,9702781,298,9,2022-12-31
33,2021,2,E1,GBP,1952056,1659247,470922,282553,188369,941844,495,166,2023-12-31
33,2021,3,E1,GBP,9880378,8398321,4562697,1474102,982734,7019533,402,193,2024-12-31
33,2022,0,A1,GBP,14978332,12731582,2088708,5012900,3341933,10443541,25,51,2022-12-31
33,2022,1,A1,GBP,19306542,16410560,3823738,4260737,2840491,10924966,499,55,2023-12-31
33,2022,2,A1,GBP,17204939,14624198,4713733,2828239,1885493,9427465,423,177,2024-12-31
33,2022,0,A2,GBP,14626204,12432273,1664384,3994523,2663015,8321922,47,71,2022-12-31
33,2022,1,A2,GBP,3010347,2558794,540752,602552,401701,1545005,222,88,2023-12-31
33,2022,2,A2,GBP,16584092,14096478,4408127,2644876,1763251,8816254,320,39,2024-12-31
33,2022,0,D1,GBP,11488528,9765248,1825743,4381783,2921189,9128715,173,76,2022-12-31
33,2022,1,D1,GBP,12588712,10700405,3701740,4124796,2749864,10576400,76,137,2023-12-31
33,2022,2,D1,GBP,13433265,11418275,4406057,2643634,1762423,8812114,64,84,2024-12-31
33,2022,0,D2,GBP,9111376,7744669,1160040,2784096,1856064,5800200,146,47,2022-12-31
33,2022,1,D2,GBP,9318777,7920960,1651500,1840243,1226828,4718571,35,53,2023-12-31
33,2022,2,D2,GBP,13889929,11806439,5525868,3315521,2210347,11051736,224,66,2024-12-31
33,2022,0,E1,GBP,6358631,5404836,986085,2366604,1577736,4930425,488,60,2022-12-31
33,2022,1,E1,GBP,11492971,9769025,2115589,2357370,1571580,6044539,91,91,2023-12-31
33,2022,2,E1,GBP,18271299,15530604,5816905,3490143,2326762,11633810,460,81,2024-12-31
33,2023,0,A1,GBP,17688977,15035630,1624805,3899532,2599688,8124025,493,41,2023-12-31
33,2023,1,A1,GBP,17959901,15265915,3978338,4433006,2955337,11366681,133,40,2024-12-31
33,2023,0,A2,GBP,12841194,10915014,1205693,2893664,1929109,6028466,154,51,2023-12-31
33,2023,1,A2,GBP,16790274,14271732,3316159,3695148,2463432,9474739,14,21,2024-12-31
33,2023,0,D1,GBP,15459536,13140605,1557004,3736809,2491206,7785019,145,75,2023-12-31
33,2023,1,D1,GBP,13273460,11282441,3510033,3911179,2607453,10028665,197,9,2024-12-31
33,2023,0,D2,GBP,14441288,12275094,1358818,3261164,2174109,6794091,297,20,2023-12-31
33,2023,1,D2,GBP,13164279,11189637,3092963,3446444,2297629,8837036,47,70,2024-12-31
33,2023,0,E1,GBP,17920007,15232005,2258428,5420229,3613486,11292143,291,29,2023-12-31
33,2023,1,E1,GBP,4986636,4238640,875218,975243,650162,2500623,59,72,2024-12-31
33,2024,0,A1,GBP,13522458,11494089,2076938,4984652,3323101,10384691,183,58,2024-12-31
33,2024,0,A2,GBP,13267714,11277556,1995427,4789025,3192683,9977135,111,62,2024-12-31
33,2024,0,D1,GBP,18083316,15370818,2208171,5299610,3533073,11040854,30,5,2024-12-31
33,2024,0,D2,GBP,2305736,1959875,232793,558705,372470,1163968,180,49,2024-12-31
33,2024,0,E1,GBP,18425914,15662026,2331966,5596720,3731146,11659832,320,53,2024-12-31
1183,2018,0,A1,GBP,5690271,4836730,661421,1587411,1058274,3307106,323,33,2018-12-31
1183,2018,1,A1,GBP,6452663,5484763,1371278,1527996,1018664,3917938,325,134,2019-12-31
1183,2018,2,A1,GBP,11040638,9384542,3795163,2277098,1518065,7590326,269,132,2020-12-31
