Syndicate_Number,Year_of_Account,Catastrophe_Code,Catastrophe_Description,Event_Date,Currency,Gross_Incurred_Loss,Paid_Loss,Case_Reserves,IBNR_Estimate,RI_Recoveries,Net_Cat_Loss,Market_Share_Estimate,As_At_Date
33,2021,MAN02,Industrial Accident,2021-02-11,GBP,69086906,30448111,12486436,24269464,40745459,34195271,0.0375,2024-12-31
33,2018,NAT02,Earthquake - Japan,2018-06-20,GBP,56501157,28187132,7228126,13880870,21436771,34591071,0.0416,2024-12-31
33,2018,MAN01,Cyber Attack,2018-06-25,GBP,60756373,22096299,7611648,9355377,21686193,29962508,0.0556,2024-12-31
1183,2020,NAT05,Wildfire - USA,2020-09-06,GBP,77151359,35427016,15765526,15403647,25241044,44700788,0.0889,2024-12-31
1183,2020,MAN02,Industrial Accident,2020-05-05,GBP,56309470,33017352,10131434,14031710,32455511,24274325,0.096,2024-12-31
1183,2019,NAT05,Wildfire - USA,2019-02-11,GBP,78518436,54945282,13063929,12578120,36463660,47131193,0.0346,2024-12-31
1183,2019,MAN03,Aviation Accident,2019-04-27,GBP,68369717,39519859,9082662,25213656,29543017,43993013,0.0231,2024-12-31
1183,2021,NAT05,Wildfire - USA,2021-10-16,GBP,4788232,3041352,776550,1378084,2252507,2507583,0.0863,2024-12-31
1183,2021,NAT02,Earthquake - Japan,2021-07-21,GBP,79966489,42396852,18820225,19733806,30263132,51101721,0.0428,2024-12-31
1183,2018,NAT05,Wildfire - USA,2018-06-08,GBP,51691228,22127044,7937763,20134910,17592997,34011970,0.0988,2024-12-31
1183,2018,NAT04,Windstorm - Europe,2018-09-19,GBP,35137733,12351119,8684348,12159575,15890553,19069996,0.0382,2024-12-31
2791,2020,NAT04,Windstorm - Europe,2020-12-23,GBP,48753777,27203943,8927349,19319623,21431474,27900701,0.0148,2024-12-31
2791,2020,MAN01,Cyber Attack,2020-08-19,GBP,60770044,28833787,14765577,11718609,28439628,34499081,0.0152,2024-12-31
2791,2019,MAN01,Cyber Attack,2019-02-22,GBP,21848134,9651738,5313687,4785235,8206238,14615498,0.0125,2024-12-31
2791,2019,NAT04,Windstorm - Europe,2019-07-23,GBP,67875378,41115244,8145284,16905143,33838607,33459003,0.0727,2024-12-31
2791,2021,NAT05,Wildfire - USA,2021-10-26,GBP,33214258,21602137,8035863,6179787,15341127,20074581,0.0383,2024-12-31
2791,2021,NAT03,Flood - Europe,2021-10-02,GBP,2909370,1701531,447322,523456,1725856,1699523,0.0577,2024-12-31
2791,2018,NAT03,Flood - Europe,2018-04-20,GBP,28121315,17139763,6986418,10093720,8685163,19084470,0.0756,2024-12-31
2791,2018,MAN01,Cyber Attack,2018-02-04,GBP,46532115,31570125,8659646,18019909,19368310,24302432,0.0727,2024-12-31
623,2020,NAT03,Flood - Europe,2020-03-04,GBP,48076320,20407347,6087021,12383989,18057669,20539182,0.0334,2024-12-31
623,2020,MAN02,Industrial Accident,2020-04-12,GBP,28925055,20081346,5638971,6795364,15201406,16115888,0.0118,2024-12-31
623,2019,NAT01,Hurricane - USA,2019-11-12,GBP,9938468,3361151,996424,3938437,3019043,4949932,0.0376,2024-12-31
623,2019,NAT05,Wildfire - USA,2019-10-12,GBP,78246226,50370495,19041747,15423937,38048144,35565727,0.0297,2024-12-31
623,2021,MAN01,Cyber Attack,2021-10-12,GBP,22759612,12053354,5319274,7433104,12834181,10315739,0.0234,2024-12-31
623,2021,NAT01,Hurricane - USA,2021-01-20,GBP,61741176,19479940,11152832,24048672,35946404,39647803,0.038,2024-12-31
623,2018,NAT05,Wildfire - USA,2018-11-06,GBP,48849237,26185268,6111420,8545216,17485482,21814886,0.0652,2024-12-31
623,2018,NAT01,Hurricane - USA,2018-08-22,GBP,47284617,24549803,7486425,12387808,15836303,26779101,0.0405,2024-12-31
4242,2020,MAN01,Cyber Attack,2020-08-07,GBP,34138616,21084746,3626837,5621129,20302360,18575743,0.0859,2024-12-31
4242,2020,NAT02,Earthquake - Japan,2020-09-03,GBP,15258076,8626993,2259461,4300250,7209838,8538079,0.0455,2024-12-31
4242,2019,NAT04,Windstorm - Europe,2019-03-15,GBP,44992142,27238649,6476343,13793907,18953903,23086371,0.0541,2024-12-31
4242,2019,NAT03,Flood - Europe,2019-02-11,GBP,67933037,35630959,13005744,15385093,40602639,42880843,0.0794,2024-12-31
4242,2021,NAT01,Hurricane - USA,2021-04-03,GBP,7587825,3208496,1427425,2845958,3511919,4494114,0.0765,2024-12-31
4242,2021,NAT05,Wildfire - USA,2021-01-02,GBP,73711476,50618207,11626895,17539011,34005248,47700453,0.0716,2024-12-31
4242,2018,MAN02,Industrial Accident,2018-09-28,GBP,70232914,26078607,10929898,22811353,40257410,30171724,0.0955,2024-12-31
4242,2018,MAN01,Cyber Attack,2018-12-11,GBP,31738238,10447764,4143148,6401102,15619222,12843760,0.093,2024-12-31
5000,2020,NAT04,Windstorm - Europe,2020-05-01,GBP,17613685,11656002,3504051,6672261,7031827,7981065,0.0451,2024-12-31
5000,2020,MAN01,Cyber Attack,2020-06-27,GBP,32651547,15045293,4028853,9785273,15885928,15589663,0.093,2024-12-31
5000,2019,NAT05,Wildfire - USA,2019-07-23,GBP,38589757,11734796,8626093,9426819,21332042,17629690,0.0801,2024-12-31
5000,2019,NAT02,Earthquake - Japan,2019-10-01,GBP,36014192,19829948,5737790,11668614,15656754,21568500,0.0301,2024-12-31
5000,2021,NAT02,Earthquake - Japan,2021-08-03,GBP,23330395,8710249,3478720,9002634,8794386,14097896,0.0938,2024-12-31
5000,2021,NAT01,Hurricane - USA,2021-05-18,GBP,55446108,22986602,12659799,11941694,29292000,28747247,0.0897,2024-12-31
5000,2018,NAT04,Windstorm - Europe,2018-08-07,GBP,76457282,26824732,19063382,20432386,25445225,35827387,0.085,2024-12-31
5000,2018,NAT01,Hurricane - USA,2018-02-25,GBP,26760262,15452625,2946573,6930564,11005708,16631607,0.0498,2024-12-31
1910,2020,NAT01,Hurricane - USA,2020-04-25,GBP,69594636,26736348,10278306,20335576,40683411,34964640,0.0955,2024-12-31
1910,2020,MAN01,Cyber Attack,2020-06-15,GBP,25559104,9719097,5025438,6334260,8841641,12461128,0.0157,2024-12-31
1910,2019,NAT03,Flood - Europe,2019-06-22,GBP,28083751,16526513,2914993,7305499,15531063,16302561,0.0359,2024-12-31
1910,2019,MAN01,Cyber Attack,2019-03-18,GBP,23622207,16197053,2563174,7587233,9991656,13235100,0.0657,2024-12-31
1910,2021,NAT03,Flood - Europe,2021-06-02,GBP,45171972,16144218,5220474,9414538,18717639,25694427,0.0832,2024-12-31
1910,2021,MAN01,Cyber Attack,2021-02-28,GBP,78095382,30442144,15169480,22718703,25160551,46440105,0.092,2024-12-31
1910,2018,MAN02,Industrial Accident,2018-08-24,GBP,53911006,21298492,9358106,11456659,32025257,31861904,0.0531,2024-12-31
1910,2018,NAT03,Flood - Europe,2018-08-18,GBP,22553823,14700079,3012648,5000540,11712055,15537597,0.045,2024-12-31
2010,2020,NAT05,Wildfire - USA,2020-12-01,GBP,51402605,24297735,7452280,8257248,21749029,34128323,0.0867,2024-12-31
2010,2020,NAT02,Earthquake - Japan,2020-03-27,GBP,55986524,30826178,7346279,14077704,31637231,30130517,0.0507,2024-12-31
2010,2019,MAN02,Industrial Accident,2019-06-11,GBP,50796232,28758254,6093881,14349132,18987739,31177556,0.0612,2024-12-31
2010,2019,NAT04,Windstorm - Europe,2019-08-18,GBP,50776722,32749740,11110543,12374498,19908013,26294668,0.0523,2024-12-31
2010,2021,MAN03,Aviation Accident,2021-01-07,GBP,57313521,22172953,10474272,10842562,23801568,31823347,0.0262,2024-12-31
2010,2021,NAT03,Flood - Europe,2021-01-23,GBP,61455815,23511846,11376020,11866208,36571726,37130930,0.0792,2024-12-31
2010,2018,MAN02,Industrial Accident,2018-03-14,GBP,28549575,12179142,3907145,9553156,15096617,15588224,0.0649,2024-12-31
2010,2018,NAT05,Wildfire - USA,2018-12-21,GBP,73214330,47616156,14747446,25386378,23847738,29476133,0.0876,2024-12-31
2525,2020,NAT01,Hurricane - USA,2020-06-12,GBP,14072478,5364468,1725151,2860272,7770872,7161231,0.0918,2024-12-31
2525,2020,NAT03,Flood - Europe,2020-08-11,GBP,61943922,36016753,8886546,10863407,29024832,41517611,0.0237,2024-12-31
2525,2019,MAN02,Industrial Accident,2019-10-14,GBP,73444791,26683386,13429246,19638543,43698982,44580188,0.0913,2024-12-31
2525,2019,NAT01,Hurricane - USA,2019-11-05,GBP,17214980,11425133,1972153,2751721,9710445,9327832,0.0529,2024-12-31
2525,2021,NAT01,Hurricane - USA,2021-08-19,GBP,50638387,26775761,8461675,7847135,22662202,30460433,0.0409,2024-12-31
2525,2021,NAT05,Wildfire - USA,2021-02-12,GBP,47604049,15592991,5723982,10712155,19902525,21176461,0.0994,2024-12-31
2525,2018,NAT04,Windstorm - Europe,2018-05-23,GBP,45043435,27796877,9818864,10750875,26804054,24702944,0.066,2024-12-31
2525,2018,MAN01,Cyber Attack,2018-03-12,GBP,58067933,37192576,7479351,12778514,26486496,39182935,0.0541,2024-12-31
