Syndicate,Reporting_Date,Transaction_ID,Transaction_Type,Security_Type,Security_Value,Collateral_Received,Collateral_Type,Counterparty,Counterparty_Rating,Start_Date,End_Date,Fee_Rate,Income_Generated
5000,2024-12-31,5000-SECLEND-009,Securities lending,Government bonds,19387438.22029344,48404907.99335314,Corporate bonds,SecLend_CP_4,AA,2024-06-22,2025-12-15,1.7743762951955906,509883.0258695287
4242,2024-12-31,4242-SECLEND-001,Repo,Government bonds,20758393.59493825,9162882.902531605,Cash,SecLend_CP_18,AA,2024-12-15,2025-03-16,1.4766600274017547,76422.77246518715
4242,2024-12-31,4242-SECLEND-002,Repo,Cash and deposits,19018053.45562937,44146180.71287862,Government bonds,SecLend_CP_6,AAA,2024-10-04,2025-03-10,0.9410442116948229,76980.88142940466
4242,2024-12-31,4242-SECLEND-003,Securities lending,Property,26837003.40541797,43895470.33742684,Equities,SecLend_CP_6,AAA,2024-11-25,2025-01-22,0.826490329017093,35245.76380585894
4242,2024-12-31,4242-SECLEND-004,Repo,Corporate bonds,24940730.539531153,23809523.438481107,Equities,SecLend_CP_12,AA,2024-04-23,2025-01-22,0.7979469790268319,149396.66524150877
4242,2024-12-31,4242-SECLEND-005,Reverse repo,Corporate bonds,28667595.960565675,45439972.225057535,Equities,SecLend_CP_23,AAA,2024-11-26,2025-09-21,0.7873597926528751,184902.52084928355
4242,2024-12-31,4242-SECLEND-006,Reverse repo,Loans and mortgages,28591462.42419815,38536366.27213004,Cash,SecLend_CP_13,A,2024-08-02,2025-10-01,0.6119349479769445,203721.8878146026
4242,2024-12-31,4242-SECLEND-007,Securities lending,Cash and deposits,17488526.220607664,51670656.35117274,Equities,SecLend_CP_25,AA,2024-04-12,2025-04-07,1.4747156893290685,254373.08055556854
4242,2024-12-31,4242-SECLEND-008,Securities lending,Government bonds,30973400.430048898,37386002.7210306,Equities,SecLend_CP_1,AAA,2024-06-27,2025-04-22,0.15566894189649488,39497.46150939078
4242,2024-12-31,4242-SECLEND-009,Reverse repo,Government bonds,32814633.45027636,30475443.661210094,Government bonds,SecLend_CP_29,AAA,2024-11-06,2025-12-06,1.1369243915809277,403741.48170714005
4242,2024-12-31,4242-SECLEND-010,Securities lending,Investment funds,21174072.20738677,9073694.885647094,Cash,SecLend_CP_27,A,2024-06-18,2025-11-07,0.46734454386289914,137453.77174145202
1955,2024-12-31,1955-SECLEND-001,Reverse repo,Investment funds,47783512.09457023,25434978.1135467,Equities,SecLend_CP_4,AA,2024-04-04,2025-06-11,0.9866979960786418,559316.131712112
1955,2024-12-31,1955-SECLEND-002,Securities lending,Government bonds,7371940.543404754,6878311.477199029,Equities,SecLend_CP_21,A,2024-01-13,2025-04-15,1.4626447493888397,135298.5972303259
1955,2024-12-31,1955-SECLEND-003,Securities lending,Government bonds,29214259.88545001,30435299.210813332,Corporate bonds,SecLend_CP_21,A,2024-01-03,2025-04-14,0.5619366078030705,210042.04110876203
1955,2024-12-31,1955-SECLEND-004,Repo,Cash and deposits,38513782.923346505,13411828.955424594,Equities,SecLend_CP_4,AA,2024-05-04,2025-10-11,0.46087601295593805,255309.35141699383
1955,2024-12-31,1955-SECLEND-005,Reverse repo,Loans and mortgages,25732047.710672397,19313993.105597045,Equities,SecLend_CP_22,AA,2024-06-06,2025-11-25,0.5701796643429781,215857.67411906584
1955,2024-12-31,1955-SECLEND-006,Reverse repo,Equities,34035694.00489992,37548587.26092723,Equities,SecLend_CP_3,A,2024-01-20,2025-10-15,1.6665824326198655,985275.7719593149
6129,2024-12-31,6129-SECLEND-001,Reverse repo,Loans and mortgages,23796885.513783913,8654254.551307512,Government bonds,SecLend_CP_17,AAA,2024-04-01,2025-10-25,0.6199661313507695,231201.82095073126
6129,2024-12-31,6129-SECLEND-002,Securities lending,Equities,49100245.84385676,34812928.76163511,Government bonds,SecLend_CP_24,BBB,2024-04-20,2025-02-02,1.4485004611219385,561179.6679138574
6129,2024-12-31,6129-SECLEND-003,Securities lending,Equities,5331102.333143654,30910286.609126043,Equities,SecLend_CP_10,AA,2024-03-13,2025-04-21,0.17130444931042593,10108.207834418276
6129,2024-12-31,6129-SECLEND-004,Securities lending,Corporate bonds,30615359.54411516,51038542.48180377,Equities,SecLend_CP_24,A,2024-03-09,2025-06-21,1.939996347950775,763168.180725517
6129,2024-12-31,6129-SECLEND-005,Securities lending,Property,29324870.392501585,27910240.262610797,Equities,SecLend_CP_21,A,2024-01-08,2025-12-11,1.8955324790721386,1070606.2938169339
6129,2024-12-31,6129-SECLEND-006,Repo,Corporate bonds,35312442.439851284,8244963.976920472,Government bonds,SecLend_CP_18,AAA,2024-11-08,2025-11-23,0.9848785975682453,362077.2092879628
6129,2024-12-31,6129-SECLEND-007,Reverse repo,Corporate bonds,15811025.830893675,28490216.07243408,Equities,SecLend_CP_17,A,2024-03-15,2025-11-01,0.9653845868120873,249237.73974641613
6129,2024-12-31,6129-SECLEND-008,Securities lending,Cash and deposits,31196516.12666339,22838524.517462563,Equities,SecLend_CP_3,AA,2024-01-21,2025-03-07,0.4121138539662633,144767.89802509735
6129,2024-12-31,6129-SECLEND-009,Securities lending,Government bonds,27667374.556548033,46510144.21728811,Government bonds,SecLend_CP_19,AA,2024-04-17,2025-02-14,1.3616232333284444,312733.6882307674
1729,2024-12-31,1729-SECLEND-001,Repo,Corporate bonds,20226553.966634713,51776151.137942865,Government bonds,SecLend_CP_8,BBB,2024-03-20,2025-04-10,1.833194385373446,392125.29299988697
1729,2024-12-31,1729-SECLEND-002,Repo,Property,14420677.972284446,6970879.256018149,Equities,SecLend_CP_21,AA,2024-05-28,2025-08-03,1.5084865458664483,257464.8832848311
1729,2024-12-31,1729-SECLEND-003,Repo,Investment funds,42242461.7607119,53393228.29756776,Equities,SecLend_CP_6,BBB,2024-08-14,2025-09-20,1.7906891487677903,833110.5039080094
1729,2024-12-31,1729-SECLEND-004,Reverse repo,Investment funds,32024064.569288667,31502616.96061904,Government bonds,SecLend_CP_27,BBB,2024-01-25,2025-07-14,0.15289799739891397,71903.5239148689
1729,2024-12-31,1729-SECLEND-005,Securities lending,Cash and deposits,16099540.108015003,27980737.586646322,Corporate bonds,SecLend_CP_20,AA,2024-09-24,2025-03-09,1.294157410158779,94757.98070507917
1729,2024-12-31,1729-SECLEND-006,Repo,Investment funds,30076332.49932848,42131799.484084524,Corporate bonds,SecLend_CP_15,A,2024-07-18,2025-10-16,0.6315571686853776,236786.03139618452
1729,2024-12-31,1729-SECLEND-007,Securities lending,Equities,30422867.344361294,9407112.169539606,Government bonds,SecLend_CP_23,BBB,2024-04-05,2025-04-01,0.8859644948080931,266581.985954718
1729,2024-12-31,1729-SECLEND-008,Securities lending,Cash and deposits,38757237.48295704,39670042.6714522,Corporate bonds,SecLend_CP_16,BBB,2024-07-13,2025-12-12,1.98222120062714,1088184.6852358615
1729,2024-12-31,1729-SECLEND-009,Repo,Investment funds,17505100.66944902,29909464.95869896,Corporate bonds,SecLend_CP_21,AAA,2024-07-02,2025-02-13,0.7261077861705937,78701.18673961269
1729,2024-12-31,1729-SECLEND-010,Reverse repo,Corporate bonds,24827140.132662863,47847506.49346941,Government bonds,SecLend_CP_25,BBB,2024-05-25,2025-12-12,1.3999972428581247,538985.9478717713
0033,2024-12-31,0033-SECLEND-001,Reverse repo,Loans and mortgages,44709853.610641174,15175555.416594323,Corporate bonds,SecLend_CP_23,AAA,2024-11-13,2025-07-24,1.7593861238987323,545245.4712098286
0033,2024-12-31,0033-SECLEND-002,Securities lending,Corporate bonds,7689302.338027298,49429964.02185762,Equities,SecLend_CP_2,A,2024-11-23,2025-11-01,0.725240180975383,52404.67724897086
0033,2024-12-31,0033-SECLEND-003,Reverse repo,Loans and mortgages,19156443.503632993,30604428.834933195,Government bonds,SecLend_CP_9,BBB,2024-11-05,2025-05-08,1.8873113566741404,182256.65483650222
0033,2024-12-31,0033-SECLEND-004,Reverse repo,Property,7150161.4106632415,22611548.753537264,Government bonds,SecLend_CP_1,AAA,2024-02-21,2025-12-13,1.7274867784983379,223686.1903559973
0033,2024-12-31,0033-SECLEND-005,Repo,Loans and mortgages,22822451.484596003,14957844.879853351,Cash,SecLend_CP_17,AA,2024-07-06,2025-07-09,0.9071089445296823,208726.07000054815
0033,2024-12-31,0033-SECLEND-006,Reverse repo,Equities,22349862.56712512,50770810.07333517,Equities,SecLend_CP_19,A,2024-12-14,2025-12-28,1.5476753139118844,359170.82969675114
0033,2024-12-31,0033-SECLEND-007,Securities lending,Government bonds,27730200.008480284,54418528.336078554,Corporate bonds,SecLend_CP_27,AA,2024-05-24,2025-04-24,0.9840273094242542,250444.84451746108
0033,2024-12-31,0033-SECLEND-008,Repo,Loans and mortgages,7620702.386912385,18113716.090749245,Corporate bonds,SecLend_CP_1,AA,2024-08-01,2025-02-03,0.9285339124166939,36058.93129038458
0033,2024-12-31,0033-SECLEND-009,Reverse repo,Investment funds,12060618.086575404,52378256.31620215,Equities,SecLend_CP_21,A,2024-12-14,2025-03-06,1.557012905853769,42187.40046839578
0033,2024-12-31,0033-SECLEND-010,Repo,Corporate bonds,17072924.019249767,34540226.675895795,Government bonds,SecLend_CP_7,BBB,2024-03-17,2025-02-15,1.4707533985081869,230462.20391691837
1183,2024-12-31,1183-SECLEND-001,Securities lending,Corporate bonds,47357551.80080591,49081767.45877053,Cash,SecLend_CP_24,AA,2024-04-09,2025-07-15,1.078865229662606,646704.0052581884
1183,2024-12-31,1183-SECLEND-002,Reverse repo,Property,39859367.89068579,33107237.69137925,Cash,SecLend_CP_28,AA,2024-02-10,2025-02-13,1.1501373910865262,463461.4664980786
1183,2024-12-31,1183-SECLEND-003,Securities lending,Equities,10163388.125218635,11306882.900807604,Cash,SecLend_CP_11,AAA,2024-10-08,2025-08-16,1.1061138685426692,96094.84223797529
1183,2024-12-31,1183-SECLEND-004,Reverse repo,Cash and deposits,17098769.524055295,6051845.123023432,Cash,SecLend_CP_1,AAA,2024-05-25,2025-01-22,1.4733944874104035,167034.58431493334
1183,2024-12-31,1183-SECLEND-005,Reverse repo,Cash and deposits,6461896.851057423,34763842.05520272,Cash,SecLend_CP_4,AA,2024-09-26,2025-01-13,1.1244682088418974,21699.055780367955
1183,2024-12-31,1183-SECLEND-006,Reverse repo,Property,48596661.0760012,29210656.96738208,Corporate bonds,SecLend_CP_30,BBB,2024-08-25,2025-06-20,0.220842729117815,87915.98789460935
