Syndicate,Reporting_Date,Contract_ID,Derivative_Type,Underlying_Asset,Notional_Amount,Currency,Counterparty,Counterparty_Rating,Cleared_Or_OTC,Fair_Value_Asset,Fair_Value_Liability,Delta,Gamma,Vega,Trade_Date,Maturity_Date,Purpose
1955,2024-12-31,1955-DRV-0001,Currency forwards,Credit,12332815.371514456,USD,Derivative_CP_36,AA,OTC,0.0,0.0,-0.6602258535618855,0.012694441375497268,12328.377929894685,2024-12-19,2028-07-01,Other
1955,2024-12-31,1955-DRV-0002,Equity options,Credit,54263360.42324472,AUD,Derivative_CP_16,AA,Cleared,491694.8849868006,716279.4330582889,0.9790106667686449,0.06843142489253448,94898.06670470013,2024-08-04,2029-10-01,Trading
1955,2024-12-31,1955-DRV-0003,Equity options,Credit,18542872.72814598,GBP,Derivative_CP_29,AA,OTC,764278.9496651385,0.0,0.10946360656470855,0.007675806188873802,418.7443627957865,2024-02-22,2029-07-01,Trading
1955,2024-12-31,1955-DRV-0004,Credit default swaps,Interest Rate,68691261.71070716,GBP,Derivative_CP_14,AA,Cleared,1283639.0336028708,821577.6199992235,-0.020711847935934724,0.04154430005920896,2400.5044844888857,2024-08-18,2027-07-01,Other
1955,2024-12-31,1955-DRV-0005,Commodity futures,Commodity,36860302.59065893,USD,Derivative_CP_14,A,OTC,354164.5107945797,196848.37820273748,0.9134408677786996,0.05993597250421656,72865.62842366027,2024-05-14,2030-06-01,Hedging
1955,2024-12-31,1955-DRV-0006,Commodity futures,Interest Rate,34959555.61028116,CHF,Derivative_CP_33,BBB,Cleared,786294.2589880304,0.0,-0.526152012206553,0.009696567096542475,17903.16374415838,2024-09-02,2025-12-01,Other
1955,2024-12-31,1955-DRV-0007,Equity options,Interest Rate,80763834.30316615,CAD,Derivative_CP_19,AAA,Cleared,0.0,1355091.6103675517,0.0938577519709538,0.04750898728667681,92243.42836561245,2024-11-11,2030-07-01,Trading
1955,2024-12-31,1955-DRV-0008,Credit default swaps,Commodity,11909820.0389735,CHF,Derivative_CP_14,AA,OTC,0.0,561201.626475832,-0.3001242928585719,0.07824258122127879,99251.46201619714,2024-06-27,2028-03-01,Trading
1955,2024-12-31,1955-DRV-0009,FX options,FX,27863698.901929542,USD,Derivative_CP_1,AAA,Cleared,0.0,1748614.6682741612,0.6612455208635826,0.022465739764176665,39933.25801992226,2024-11-14,2026-02-01,Hedging
1955,2024-12-31,1955-DRV-0010,FX options,Commodity,43918922.58278932,CAD,Derivative_CP_30,BB,OTC,1956441.3370531166,0.0,-0.6382161972422034,0.0799157971104782,33419.27141731099,2024-07-18,2028-07-01,Trading
1955,2024-12-31,1955-DRV-0011,Currency forwards,FX,74432682.84873524,JPY,Derivative_CP_39,AAA,OTC,840022.0085913257,0.0,0.15671952623308005,0.08326117733261312,80416.55649838841,2024-09-09,2028-09-01,Other
0727,2024-12-31,0727-DRV-0001,Interest rate swaps,Interest Rate,87310202.43627152,CHF,Derivative_CP_31,A,Cleared,119234.65068931805,1384101.1060794897,-0.7200252465564743,0.0415818568018411,54858.841505468845,2024-02-05,2030-12-01,Other
0727,2024-12-31,0727-DRV-0002,Equity options,Commodity,43260251.05094892,CHF,Derivative_CP_6,BB,Cleared,0.0,1039223.351606015,0.9930526175972383,0.013521731371285473,67545.60453364256,2024-11-22,2025-11-01,Other
0727,2024-12-31,0727-DRV-0003,Commodity futures,Credit,42620091.80663344,EUR,Derivative_CP_40,AAA,OTC,266019.59781465755,0.0,-0.6825264732513809,0.0949273106245617,87960.1496711762,2024-08-17,2028-10-01,Other
0727,2024-12-31,0727-DRV-0004,Equity options,Commodity,91168986.23942707,EUR,Derivative_CP_19,A,Cleared,0.0,1983065.551654773,-0.5833692199829641,0.03554393373640618,66921.90299248668,2024-12-10,2030-10-01,Trading
0727,2024-12-31,0727-DRV-0005,Interest rate swaps,Commodity,50961241.28676149,CHF,Derivative_CP_11,BB,Cleared,836779.066756667,0.0,-0.2843775013288139,0.05937806319434522,57559.3428640082,2024-12-20,2025-05-01,Trading
0727,2024-12-31,0727-DRV-0006,Interest rate swaps,FX,20338494.23610281,CHF,Derivative_CP_5,A,OTC,0.0,0.0,-0.05652032496312187,0.05534717762098499,57028.69387313905,2024-05-01,2030-02-01,Other
0727,2024-12-31,0727-DRV-0007,Currency forwards,Credit,24960183.326673422,AUD,Derivative_CP_10,BBB,OTC,1484542.7845045736,0.0,-0.9496018103578607,0.03548318555431627,78021.26485356335,2024-12-08,2028-03-01,Other
0727,2024-12-31,0727-DRV-0008,Interest rate swaps,Equity,58569827.50026322,GBP,Derivative_CP_10,BB,Cleared,522324.86502172047,1389906.2386860955,0.13478188831214677,0.07962436094563873,73502.51861898234,2024-07-25,2028-04-01,Other
0727,2024-12-31,0727-DRV-0009,Credit default swaps,FX,62960252.59344229,USD,Derivative_CP_37,A,Cleared,976355.350621628,266364.25133504684,-0.47733396422923247,0.04190994729170853,59929.92870063887,2024-02-02,2026-08-01,Trading
0727,2024-12-31,0727-DRV-0010,Credit default swaps,Equity,53802246.24545396,JPY,Derivative_CP_48,BB,Cleared,0.0,576369.051919059,-0.9870712844205789,0.049623922190081396,28562.598856224307,2024-08-09,2026-09-01,Trading
1729,2024-12-31,1729-DRV-0001,Equity options,Commodity,74787788.56750083,JPY,Derivative_CP_44,A,Cleared,0.0,47892.53054096698,0.16965562261158174,0.09414742375060654,17440.92671114995,2024-06-28,2028-10-01,Other
1729,2024-12-31,1729-DRV-0002,Equity options,Equity,49806701.62130656,EUR,Derivative_CP_18,AAA,OTC,182843.98363427634,0.0,0.2513638245227052,0.05505316805962256,40736.55242128323,2024-11-24,2026-12-01,Other
1729,2024-12-31,1729-DRV-0003,Commodity futures,FX,54530817.040005416,CHF,Derivative_CP_22,AA,OTC,1793149.3169380203,392588.60462213407,-0.9548709765893055,0.0861664884699101,57711.70823879065,2024-02-01,2028-02-01,Other
1729,2024-12-31,1729-DRV-0004,Interest rate swaps,Commodity,89612553.26887503,EUR,Derivative_CP_15,A,OTC,0.0,0.0,0.19389044682634515,0.08101610899597025,42967.336335514796,2024-02-02,2029-11-01,Hedging
1729,2024-12-31,1729-DRV-0005,Commodity futures,Interest Rate,76236693.47238554,AUD,Derivative_CP_8,AAA,Cleared,0.0,1826082.933779712,0.14424592744441256,0.018078515056237955,26879.761503019818,2024-11-19,2026-02-01,Other
1458,2024-12-31,1458-DRV-0001,Equity options,Equity,23871234.80525355,JPY,Derivative_CP_43,AAA,OTC,493714.0551914658,0.0,-0.38716910129792725,0.05551337867531885,58799.16294638328,2024-07-23,2030-06-01,Trading
1458,2024-12-31,1458-DRV-0002,Currency forwards,Interest Rate,45517475.987976804,EUR,Derivative_CP_50,AAA,OTC,0.0,1230841.559641671,-0.8368501487772682,0.008778823705815997,17182.946035765846,2024-05-27,2027-03-01,Trading
1458,2024-12-31,1458-DRV-0003,Interest rate swaps,Commodity,54217362.31383275,USD,Derivative_CP_40,BBB,Cleared,427989.35739662714,0.0,-0.43343119301484534,0.04003128361729941,81186.61240103799,2024-09-25,2028-04-01,Other
1458,2024-12-31,1458-DRV-0004,FX options,Interest Rate,6316902.911721711,JPY,Derivative_CP_46,A,Cleared,0.0,0.0,0.2987576404732448,0.06688765310406854,79865.57803566365,2024-12-09,2028-01-01,Trading
1458,2024-12-31,1458-DRV-0005,Currency forwards,Interest Rate,93611529.21072975,GBP,Derivative_CP_43,BBB,OTC,0.0,0.0,-0.9597243021014203,0.01537837055132162,88617.1294055993,2024-07-19,2025-09-01,Other
1458,2024-12-31,1458-DRV-0006,Credit default swaps,Commodity,48559263.40776646,JPY,Derivative_CP_26,AAA,Cleared,0.0,1129181.277866927,0.32605440744629477,0.06790666044956374,93174.04033165082,2024-08-04,2029-09-01,Trading
1458,2024-12-31,1458-DRV-0007,Equity options,Equity,99710194.65410861,JPY,Derivative_CP_4,AAA,OTC,1440314.9218618805,574442.4184103017,0.7595048045886872,0.004922091454076161,23108.08528744962,2024-02-27,2028-05-01,Other
0033,2024-12-31,0033-DRV-0001,Currency forwards,Credit,90251643.15905291,GBP,Derivative_CP_25,AA,OTC,512383.0288787099,441302.1192434969,-0.7237494137195055,0.08591117576469165,50005.82591910867,2024-11-23,2027-08-01,Hedging
0033,2024-12-31,0033-DRV-0002,FX options,Commodity,69114854.29014471,AUD,Derivative_CP_13,AA,Cleared,0.0,478132.76815005933,0.516080842022433,0.07600055449620985,31259.802490830014,2024-10-08,2028-07-01,Hedging
0033,2024-12-31,0033-DRV-0003,Commodity futures,Equity,44014850.13597687,JPY,Derivative_CP_35,BBB,Cleared,0.0,0.0,-0.5806194451395983,0.09765610233229044,64560.25770584116,2024-12-02,2028-02-01,Hedging
0033,2024-12-31,0033-DRV-0004,FX options,Credit,93781668.66797398,JPY,Derivative_CP_44,BB,Cleared,606771.0872582663,0.0,0.5637818259937795,0.0765858643884742,69165.56518665416,2024-02-02,2030-03-01,Trading
0033,2024-12-31,0033-DRV-0005,FX options,Interest Rate,96735702.65034604,JPY,Derivative_CP_40,AAA,Cleared,787110.6722126311,0.0,-0.7385653528204854,0.06717088592440608,72930.98004772062,2024-03-21,2025-05-01,Hedging
0033,2024-12-31,0033-DRV-0006,Credit default swaps,Credit,59630754.4785874,USD,Derivative_CP_38,AAA,Cleared,0.0,413635.78626679257,0.008911883338710735,0.03121897365691294,42746.65281666891,2024-10-08,2025-04-01,Trading
0033,2024-12-31,0033-DRV-0007,Equity options,Commodity,66295764.70524307,EUR,Derivative_CP_8,BB,Cleared,0.0,1490429.4853816691,-0.5355506181973138,0.04053253606469534,26916.15709916292,2024-04-25,2025-10-01,Hedging
0033,2024-12-31,0033-DRV-0008,Equity options,Interest Rate,23870003.316877566,GBP,Derivative_CP_18,AA,OTC,0.0,0.0,0.5667744399916768,0.09092526944369925,37023.21856845767,2024-03-15,2026-10-01,Hedging
2623,2024-12-31,2623-DRV-0001,Interest rate swaps,Credit,76371497.81550786,JPY,Derivative_CP_50,AA,Cleared,1793990.578728822,0.0,0.6922484210604631,0.01828133885392259,95629.18815133613,2024-01-06,2025-12-01,Other
2623,2024-12-31,2623-DRV-0002,Commodity futures,Equity,40784261.84079894,JPY,Derivative_CP_45,BBB,Cleared,0.0,678481.3223476727,-0.8751373454444393,0.048617365410488306,10901.361564092871,2024-09-15,2028-04-01,Hedging
2623,2024-12-31,2623-DRV-0003,Commodity futures,Interest Rate,28611282.98810547,CHF,Derivative_CP_12,BBB,Cleared,633885.2435345628,1617652.646983368,0.750977300791793,0.03024663174614697,85869.81212445738,2024-06-14,2025-09-01,Hedging
2623,2024-12-31,2623-DRV-0004,Currency forwards,Interest Rate,86436939.05013014,CHF,Derivative_CP_7,BB,OTC,1529301.900769747,293390.2280303631,0.38064569380145796,0.09450240645805688,68254.0478767157,2024-09-08,2028-11-01,Other
2623,2024-12-31,2623-DRV-0005,Currency forwards,Equity,36503600.66524422,GBP,Derivative_CP_13,AAA,Cleared,1001158.6348616625,1291450.0867021072,0.021140817457007133,0.011995294173096983,31206.404465202064,2024-08-16,2026-03-01,Other
2623,2024-12-31,2623-DRV-0006,Interest rate swaps,Interest Rate,81227622.90259509,AUD,Derivative_CP_24,A,Cleared,0.0,0.0,0.7228360921910348,0.013730003271557024,95238.67523987246,2024-08-02,2025-12-01,Hedging
2623,2024-12-31,2623-DRV-0007,Commodity futures,FX,36238148.695617884,USD,Derivative_CP_2,BBB,Cleared,0.0,0.0,0.32462747746143994,0.07518251459566812,81194.62346378835,2024-08-19,2029-06-01,Trading
3456,2024-12-31,3456-DRV-0001,FX options,Equity,94846221.71146336,USD,Derivative_CP_50,AAA,OTC,0.0,0.0,-0.3741609039423548,0.08585064545515546,13168.690343620703,2024-07-28,2026-07-01,Hedging
3456,2024-12-31,3456-DRV-0002,Interest rate swaps,Commodity,71978886.10359131,CHF,Derivative_CP_32,AAA,OTC,0.0,1483955.4590279718,0.3554464824026409,0.0252314736135153,87304.31470152033,2024-08-06,2028-06-01,Hedging
3456,2024-12-31,3456-DRV-0003,Credit default swaps,FX,21041554.020187527,AUD,Derivative_CP_23,A,Cleared,0.0,0.0,-0.8927304169583383,0.07174649906119122,47547.57152327337,2024-10-02,2027-03-01,Hedging
3456,2024-12-31,3456-DRV-0004,Credit default swaps,Commodity,85664311.89607422,JPY,Derivative_CP_11,A,Cleared,766794.2821165179,336557.17701542564,0.6728843849397395,0.05489096316400717,18919.579239035487,2024-11-20,2026-10-01,Other
3456,2024-12-31,3456-DRV-0005,Currency forwards,Interest Rate,73436479.86571234,JPY,Derivative_CP_34,BBB,Cleared,1022227.2769790011,1208625.9644806397,-0.07820332358683624,0.08287089838180065,82956.27156830499,2024-05-01,2030-07-01,Other
3456,2024-12-31,3456-DRV-0006,Currency forwards,FX,72391938.0733167,EUR,Derivative_CP_28,BB,Cleared,210802.75479292453,1677707.7238081377,0.3420259610658196,0.06970241660042996,36298.28404038716,2024-03-19,2025-07-01,Hedging
3456,2024-12-31,3456-DRV-0007,Interest rate swaps,Commodity,88531557.83491564,AUD,Derivative_CP_50,BB,Cleared,0.0,0.0,0.45074320046971494,0.011259046652919448,40777.80344061627,2024-12-27,2025-08-01,Trading
3456,2024-12-31,3456-DRV-0008,Currency forwards,Interest Rate,89206134.38621347,CHF,Derivative_CP_49,AAA,OTC,94393.40339475799,0.0,0.922833239284099,0.06791625683195628,63137.59776433766,2024-05-08,2030-02-01,Hedging
6104,2024-12-31,6104-DRV-0001,FX options,Equity,30703129.36635918,USD,Derivative_CP_46,BBB,Cleared,497583.57747835416,0.0,0.8841164389771909,0.029827245423412276,77550.52967189993,2024-03-28,2030-07-01,Hedging
6104,2024-12-31,6104-DRV-0002,Equity options,Commodity,42346570.82967252,AUD,Derivative_CP_41,AAA,Cleared,0.0,278508.14156940795,-0.9785694046092821,0.054425733701525085,97577.88185489326,2024-09-02,2027-07-01,Trading
6104,2024-12-31,6104-DRV-0003,FX options,Credit,40067938.41187443,CHF,Derivative_CP_37,AA,Cleared,714384.6679860897,0.0,-0.3118167643011158,0.05205438373048585,44066.48834242936,2024-01-17,2030-06-01,Hedging
6104,2024-12-31,6104-DRV-0004,Interest rate swaps,Commodity,88591889.53906637,EUR,Derivative_CP_30,BB,Cleared,0.0,0.0,0.011041583446980585,0.05077578381885688,13837.15947205566,2024-09-23,2025-09-01,Other
6104,2024-12-31,6104-DRV-0005,Currency forwards,FX,98360256.38648666,EUR,Derivative_CP_16,BB,Cleared,499945.78173765936,146728.13491920533,0.3262924979504176,0.05953663701568727,41514.56539927457,2024-10-28,2030-04-01,Other
6104,2024-12-31,6104-DRV-0006,Currency forwards,Equity,45108262.218664415,EUR,Derivative_CP_18,BB,OTC,0.0,0.0,0.5701278420928624,0.01957126400996491,82025.33189448898,2024-06-15,2028-09-01,Other
6104,2024-12-31,6104-DRV-0007,Interest rate swaps,Commodity,66630975.820026726,AUD,Derivative_CP_35,BB,OTC,0.0,0.0,-0.16206045244095124,0.045802861658386866,25664.72071860958,2024-11-23,2025-04-01,Trading
6104,2024-12-31,6104-DRV-0008,Interest rate swaps,Interest Rate,76450861.6062126,JPY,Derivative_CP_12,A,Cleared,0.0,0.0,0.0257494846105355,0.03208545427498436,59605.01157609502,2024-12-05,2028-03-01,Hedging
6104,2024-12-31,6104-DRV-0009,Commodity futures,Interest Rate,99594772.94487569,EUR,Derivative_CP_27,BB,Cleared,0.0,0.0,-0.12947544068689232,0.09206914007786196,34501.68399245661,2024-12-21,2025-05-01,Hedging
6104,2024-12-31,6104-DRV-0010,Interest rate swaps,Interest Rate,10199607.15787366,CAD,Derivative_CP_15,BB,OTC,0.0,0.0,-0.5915157872631422,0.04186951433276842,21963.492859456903,2024-11-26,2027-08-01,Other
6104,2024-12-31,6104-DRV-0011,FX options,Credit,5021568.630734276,CAD,Derivative_CP_36,BBB,OTC,0.0,0.0,0.8300030754950545,0.0843879411230929,74229.22314869471,2024-05-06,2027-04-01,Trading
6104,2024-12-31,6104-DRV-0012,Equity options,Equity,20942386.58637272,CAD,Derivative_CP_4,AA,OTC,0.0,240727.15241997212,-0.8647905010552337,0.07240291887729212,92880.79606878854,2024-10-06,2030-09-01,Trading
2791,2024-12-31,2791-DRV-0001,Currency forwards,FX,45900902.98673852,USD,Derivative_CP_16,AAA,Cleared,238281.34399209634,1024785.6414642131,-0.30233618508273974,0.03748249243499977,62133.06241557073,2024-08-09,2027-03-01,Hedging
2791,2024-12-31,2791-DRV-0002,Commodity futures,Interest Rate,73278220.75990923,AUD,Derivative_CP_21,A,Cleared,0.0,221207.1977463217,-0.9288195383870472,0.09943303026857149,23272.834891555183,2024-03-18,2027-02-01,Hedging
2791,2024-12-31,2791-DRV-0003,Credit default swaps,Commodity,10113899.866303612,CAD,Derivative_CP_10,BBB,OTC,0.0,379750.65819183993,-0.9220843073030716,0.03918108946171717,80240.17844513242,2024-09-17,2027-11-01,Other
2791,2024-12-31,2791-DRV-0004,Equity options,Commodity,37418222.72698346,EUR,Derivative_CP_49,BB,Cleared,888366.8137567331,1351173.5471348776,0.017788140139760378,0.08614456860213243,86603.56750457565,2024-08-11,2030-02-01,Other
2791,2024-12-31,2791-DRV-0005,Credit default swaps,Interest Rate,5941516.071659596,USD,Derivative_CP_44,BB,Cleared,0.0,0.0,0.5560926129663983,0.04607336002416739,98884.0541303663,2024-04-15,2027-02-01,Trading
2791,2024-12-31,2791-DRV-0006,Interest rate swaps,Credit,50907047.20816634,AUD,Derivative_CP_13,BB,Cleared,1973791.890776595,1509138.7224114733,-0.5027902307733874,0.05383949792869577,99213.56394785827,2024-04-01,2025-09-01,Trading
2791,2024-12-31,2791-DRV-0007,FX options,Interest Rate,86465407.73643275,CHF,Derivative_CP_26,AA,OTC,0.0,194733.7875824422,0.41274399361999214,0.03455795858708131,698.2261880348117,2024-01-22,2027-07-01,Hedging
2121,2024-12-31,2121-DRV-0001,Equity options,Commodity,43330692.05756496,EUR,Derivative_CP_1,A,OTC,0.0,469508.8434499426,0.6377385410409431,0.03373306088457655,82752.36939538171,2024-09-03,2026-12-01,Trading
2121,2024-12-31,2121-DRV-0002,FX options,Commodity,5056804.189305554,CAD,Derivative_CP_29,A,Cleared,615638.3000522383,482330.4286155239,-0.532865277862778,0.00681866197654627,18712.427041050174,2024-07-24,2028-03-01,Other
2121,2024-12-31,2121-DRV-0003,Commodity futures,Interest Rate,57777209.139133886,USD,Derivative_CP_14,A,OTC,582722.145675489,834789.564658296,-0.24626623930562297,0.08759049249998946,90529.89990105154,2024-06-03,2029-07-01,Hedging
2121,2024-12-31,2121-DRV-0004,Interest rate swaps,Commodity,51830912.30730671,AUD,Derivative_CP_18,BBB,Cleared,660311.9006312088,213601.40800472727,0.90680575876419,0.006022694490029745,29765.027756828043,2024-03-07,2026-07-01,Trading
2121,2024-12-31,2121-DRV-0005,Commodity futures,Commodity,33316289.111150395,GBP,Derivative_CP_20,BB,OTC,0.0,640802.5722804298,-0.6714263134551814,0.07831614309236973,12249.786196598921,2024-04-01,2025-03-01,Trading
2121,2024-12-31,2121-DRV-0006,Equity options,Commodity,65316132.61955047,GBP,Derivative_CP_42,A,OTC,0.0,247692.05341163493,-0.8589287248140869,0.09094295036858766,19012.876631870568,2024-11-08,2025-02-01,Trading
2121,2024-12-31,2121-DRV-0007,Credit default swaps,Interest Rate,83018764.68317191,CHF,Derivative_CP_48,A,OTC,1089261.7422142716,155713.03921753922,0.910896382876135,0.024696116699189252,85964.53453526065,2024-11-22,2028-12-01,Hedging
