Syndicate,Reporting_Date,Asset_Class,Solvency_II_Value,Accrued_Interest,Country
5820,2025-09-30,Investment funds,62900935.72324928,13583.710612779909,US
5820,2025-09-30,Property,9890344.344536904,231965.6884061664,US
5820,2025-09-30,Loans and mortgages,73191515.43961701,269350.89897635713,DE
5820,2025-09-30,Cash and deposits,42335938.10257176,52736.849978315295,NL
2623,2025-09-30,Government bonds,54258507.85432205,411051.5803001127,GB
2623,2025-09-30,Corporate bonds,33531500.563067175,387805.92546266376,AU
2623,2025-09-30,Equities,77335749.04256088,101883.22956384455,IT
2623,2025-09-30,Investment funds,44249722.3396056,143568.97904228777,NL
2623,2025-09-30,Property,64464081.42753795,288796.6829405787,DE
2623,2025-09-30,Loans and mortgages,52593681.31627278,398957.07980794704,CA
2623,2025-09-30,Cash and deposits,34697785.44968411,457545.0342035216,DE
0099,2025-09-30,Government bonds,44977165.043460496,78977.411417674,GB
0099,2025-09-30,Corporate bonds,57192433.862660185,396630.6752191272,JP
0099,2025-09-30,Equities,28757125.7800645,428589.6284993765,AU
0099,2025-09-30,Investment funds,72960744.10743248,138452.24368890448,GB
0099,2025-09-30,Property,78764110.45364165,70355.76402437921,AU
0099,2025-09-30,Loans and mortgages,20151175.130186748,92112.41961901306,FR
0099,2025-09-30,Cash and deposits,72049228.25059028,327146.27616248094,FR
