Syndicate,Reporting_Date,Asset_ID,Instrument_Type,Asset_Category,Issuer_Name,Issuer_Country,Issuer_Sector,Currency,Quantity,Unit_Solvency_II_Value,Total_Solvency_II_Value,Book_Value,Maturity_Date,Credit_Rating,External_Rating,Internal_Rating
1221,2024-12-31,1221-INV-0020,Corporate bonds - Non-investment grade,Cash and deposits,Issuer_240,DE,Financial,JPY,762139.9107922651,425.1424828719135,324018053.97000223,322088246.1931173,2035-10-01,B,S&P,1
1221,2024-12-31,1221-INV-0021,Other investments,Investment funds,Issuer_70,CH,Industrial,GBP,303030.91610214225,166.7007037926925,50515466.98517147,48972845.03567213,2030-07-01,A,Moodys,4
1221,2024-12-31,1221-INV-0022,Collective investment undertakings,Equities,Issuer_390,CA,Utilities,CAD,58589.934616825856,204.101590475621,11958298.841156801,11683554.165462246,2039-07-01,A,S&P,4
1221,2024-12-31,1221-INV-0023,Sovereign bonds,Loans and mortgages,Issuer_277,GB,Utilities,USD,966450.9684805409,300.9689718125197,290871754.2908023,286429474.7330341,2036-02-01,Not rated,S&P,1
1221,2024-12-31,1221-INV-0024,Equities - Listed,Corporate bonds,Issuer_430,GB,Industrial,USD,580887.1333927023,112.63851560556299,65430264.43972465,65064141.2110491,2028-08-01,B,S&P,5
1221,2024-12-31,1221-INV-0025,Equities - Listed,Investment funds,Issuer_359,JP,Utilities,USD,626608.0870996427,270.0040243066031,169186705.17996603,167524933.07035407,2035-10-01,B,S&P,2
1221,2024-12-31,1221-INV-0026,Equities - Unlisted,Government bonds,Issuer_297,GB,Utilities,CHF,993854.5405107985,446.14164296701716,443399897.57371753,448871716.4945057,2036-07-01,BBB,Moodys,1
1221,2024-12-31,1221-INV-0027,Real estate,Loans and mortgages,Issuer_426,FR,Financial,AUD,569807.9838211004,329.29721592106284,187636182.68188238,182031717.09173274,2038-05-01,Not rated,S&P,5
1221,2024-12-31,1221-INV-0028,Sovereign bonds,Equities,Issuer_273,CA,Utilities,GBP,395742.6055210543,67.7567898009047,26814248.537552424,26748677.0746968,2034-11-01,A,S&P,4
1221,2024-12-31,1221-INV-0029,Policy loans,Government bonds,Issuer_222,AU,Government,AUD,543481.5593737055,152.48738124644433,82874079.7446303,86719676.11301067,2028-07-01,AA,Fitch,5
1221,2024-12-31,1221-INV-0030,Deposits with credit institutions,Cash and deposits,Issuer_248,CH,Government,CAD,909545.1563263048,374.96445595515763,341047104.7085417,342185746.01618224,2037-10-01,A,Fitch,2
1221,2024-12-31,1221-INV-0031,Corporate bonds - Investment grade,Equities,Issuer_452,CH,Industrial,CAD,870099.1904880373,108.79355472055832,94661183.89267378,97411183.99852154,2033-10-01,BB,None,3
1221,2024-12-31,1221-INV-0032,Sovereign bonds,Investment funds,Issuer_436,AU,Industrial,JPY,125695.99315288145,407.39479814723245,51207893.75843405,50059646.70421606,2029-06-01,Not rated,Fitch,3
1221,2024-12-31,1221-INV-0033,Equities - Unlisted,Property,Issuer_360,JP,Financial,CHF,877213.4904371707,474.81894222142904,416517581.63174504,401889316.28347474,2029-02-01,AA,None,4
1221,2024-12-31,1221-INV-0034,Deposits with credit institutions,Cash and deposits,Issuer_124,CH,Government,JPY,463212.92946032813,491.4443201732083,227643363.21407127,227265644.5061295,2038-01-01,AAA,Fitch,2
1221,2024-12-31,1221-INV-0035,Mortgage loans,Loans and mortgages,Issuer_125,JP,Utilities,JPY,863683.9749920306,314.92918495909396,271999290.3064707,268608272.64963967,2034-09-01,A,None,6
1221,2024-12-31,1221-INV-0036,Deposits with credit institutions,Equities,Issuer_181,CH,Utilities,EUR,286497.77197034436,141.4503909887393,40525221.86260788,41586164.84148895,2030-04-01,AAA,Moodys,3
1221,2024-12-31,1221-INV-0037,Corporate bonds - Investment grade,Loans and mortgages,Issuer_275,DE,Industrial,USD,387153.96631620487,280.07395799033804,108431743.69783752,108348527.53928594,2037-08-01,A,Fitch,1
1221,2024-12-31,1221-INV-0038,Equities - Listed,Equities,Issuer_117,AU,Industrial,EUR,577701.7502038981,439.5097155310485,253905531.8939041,266111769.7673918,2026-12-01,BB,Moodys,3
1221,2024-12-31,1221-INV-0039,Sovereign bonds,Government bonds,Issuer_284,JP,Industrial,AUD,408176.62436524313,422.3835149478364,172407077.31893405,176967723.71353838,2039-08-01,AAA,S&P,5
1221,2024-12-31,1221-INV-0040,Equities - Unlisted,Investment funds,Issuer_246,CH,Utilities,USD,573955.4225041177,480.2212146253699,275625570.13574475,267369881.89297783,2026-05-01,Not rated,None,1
1003,2024-12-31,1003-INV-0001,Corporate bonds - Investment grade,Investment funds,Issuer_252,US,Financial,USD,110154.9460993118,434.28288512994,47838407.803342156,47547310.21466386,2028-10-01,A,S&P,2
1003,2024-12-31,1003-INV-0002,Corporate bonds - Investment grade,Property,Issuer_392,CA,Industrial,CAD,847121.8853528535,451.8905923379367,382806410.5545307,366057006.7493232,2034-07-01,BBB,None,3
1003,2024-12-31,1003-INV-0003,Real estate,Investment funds,Issuer_157,IT,Financial,CHF,883581.2982230746,251.74357491624,222435914.7438092,222667970.7672803,2037-02-01,Not rated,Moodys,6
1003,2024-12-31,1003-INV-0004,Equities - Listed,Equities,Issuer_339,US,Industrial,USD,626965.9185821171,466.87217302853907,292712940.8232671,278636846.6038629,2028-09-01,AAA,Moodys,1
1003,2024-12-31,1003-INV-0005,Mortgage loans,Investment funds,Issuer_353,IT,Government,EUR,477366.62484949926,359.4749190937523,171601328.84583136,175423009.8342542,2026-04-01,A,Fitch,6
1003,2024-12-31,1003-INV-0006,Policy loans,Government bonds,Issuer_352,FR,Utilities,CAD,692839.8991055709,110.49580823365483,76555904.62819391,75020159.40773267,2038-11-01,BB,Moodys,4
1003,2024-12-31,1003-INV-0007,Corporate bonds - Investment grade,Property,Issuer_116,DE,Utilities,CAD,359356.80989159644,411.9967434557772,148053835.41399455,144778290.47034386,2028-02-01,AAA,Moodys,3
1003,2024-12-31,1003-INV-0008,Real estate,Loans and mortgages,Issuer_423,IT,Utilities,JPY,211494.25890333595,480.8516085671433,101697354.59638496,96702624.13147303,2027-08-01,B,Fitch,6
1003,2024-12-31,1003-INV-0009,Mortgage loans,Equities,Issuer_257,NL,Government,JPY,997823.0348262963,354.56958448582805,353797698.8487478,365418867.07750356,2027-10-01,AAA,None,6
1003,2024-12-31,1003-INV-0010,Collective investment undertakings,Property,Issuer_129,GB,Financial,USD,295324.77694984694,56.44187495017699,16668684.130292172,17065181.317204855,2036-10-01,BB,S&P,6
1003,2024-12-31,1003-INV-0011,Equities - Unlisted,Property,Issuer_21,DE,Government,CHF,834310.4524036751,383.2142593790836,319719662.11010253,308300883.5634129,2036-08-01,A,Moodys,5
1003,2024-12-31,1003-INV-0012,Mortgage loans,Loans and mortgages,Issuer_417,CH,Financial,JPY,753674.4943347122,396.01525194843845,298466594.761073,303198499.5454436,2031-07-01,A,Fitch,6
1003,2024-12-31,1003-INV-0013,Corporate bonds - Investment grade,Cash and deposits,Issuer_83,AU,Government,AUD,766349.8168627906,430.6646478549795,330039774.0129417,333789161.6319288,2033-05-01,B,None,5
1003,2024-12-31,1003-INV-0014,Sovereign bonds,Investment funds,Issuer_46,AU,Utilities,EUR,89516.10925570938,269.4325143502449,24118550.391617008,23099901.811151423,2027-07-01,Not rated,S&P,6
1003,2024-12-31,1003-INV-0015,Deposits with credit institutions,Investment funds,Issuer_212,GB,Industrial,CHF,408135.4880013984,233.19792010653242,95176346.92359072,91045787.16003755,2031-10-01,Not rated,None,6
1003,2024-12-31,1003-INV-0016,Policy loans,Cash and deposits,Issuer_27,FR,Utilities,CHF,349471.7134355098,99.94914445609167,34929398.76948365,36006045.826004416,2028-05-01,BBB,None,1
1003,2024-12-31,1003-INV-0017,Sovereign bonds,Loans and mortgages,Issuer_312,FR,Industrial,EUR,947740.3379385063,82.54241386607237,78228775.21169147,81789085.73635595,2034-01-01,BB,None,1
1003,2024-12-31,1003-INV-0018,Equities - Listed,Cash and deposits,Issuer_468,US,Government,GBP,523054.0227374084,184.80455507924324,96662765.95439515,92572597.73599428,2036-03-01,BBB,Fitch,5
1003,2024-12-31,1003-INV-0019,Equities - Unlisted,Investment funds,Issuer_428,CH,Government,USD,501123.6438023474,407.5319950208369,204223918.3108819,208453119.49254215,2033-09-01,AA,None,2
1003,2024-12-31,1003-INV-0020,Real estate,Property,Issuer_383,DE,Financial,EUR,51175.78545250979,82.80582591555658,4237653.181272399,4196494.246988564,2038-07-01,A,Fitch,1
1003,2024-12-31,1003-INV-0021,Equities - Unlisted,Loans and mortgages,Issuer_153,IT,Government,CAD,295995.20355389535,154.57294537522154,45752850.43026385,44750883.58963081,2028-08-01,BB,None,3
1003,2024-12-31,1003-INV-0022,Collective investment undertakings,Property,Issuer_391,NL,Government,JPY,803679.2605535877,468.15262413433425,376244554.79050344,372674095.34567404,2040-06-01,Not rated,Moodys,6
1003,2024-12-31,1003-INV-0023,Equities - Listed,Property,Issuer_197,FR,Government,GBP,906204.8911303646,194.67306556154688,176413684.18321592,175998000.3782608,2031-12-01,BBB,None,4
1003,2024-12-31,1003-INV-0024,Other investments,Cash and deposits,Issuer_421,DE,Government,GBP,226802.96881818373,338.2142189791298,76707988.96098994,80382156.77052514,2028-09-01,BB,Fitch,1
1003,2024-12-31,1003-INV-0025,Policy loans,Government bonds,Issuer_270,CH,Financial,AUD,603889.6029473352,211.01633785109698,127430572.4802997,129314218.65681458,2028-07-01,Not rated,Moodys,1
1003,2024-12-31,1003-INV-0026,Policy loans,Cash and deposits,Issuer_497,JP,Utilities,CHF,123797.75778692219,449.8965861194294,55696188.5975763,55713365.02800224,2037-07-01,B,S&P,3
1003,2024-12-31,1003-INV-0027,Other investments,Cash and deposits,Issuer_274,CA,Utilities,AUD,449900.39229760243,313.63915480408366,141106378.7862457,142867158.68716294,2037-08-01,Not rated,S&P,5
1003,2024-12-31,1003-INV-0028,Corporate bonds - Investment grade,Corporate bonds,Issuer_324,JP,Industrial,AUD,72704.03042028651,357.1777495505311,25968261.968771286,25298103.395630594,2027-07-01,AAA,S&P,4
1003,2024-12-31,1003-INV-0029,Corporate bonds - Non-investment grade,Loans and mortgages,Issuer_154,GB,Financial,EUR,714238.6798740833,420.1406574728885,300080708.5548653,309201916.98662925,2038-01-01,A,Fitch,3
1003,2024-12-31,1003-INV-0030,Mortgage loans,Corporate bonds,Issuer_126,NL,Government,CHF,552948.4664404813,284.076451539838,157079638.2308071,151469946.7511741,2036-03-01,AA,Moodys,1
1003,2024-12-31,1003-INV-0031,Real estate,Cash and deposits,Issuer_196,IT,Industrial,JPY,775570.8042527324,172.13422120102146,133502276.37629396,133458159.51866741,2040-10-01,AA,Moodys,4
1003,2024-12-31,1003-INV-0032,Other investments,Equities,Issuer_236,JP,Financial,CAD,284989.8188345892,110.2227633498619,31412365.358524945,31819336.729502168,2033-05-01,B,Moodys,1
1003,2024-12-31,1003-INV-0033,Policy loans,Equities,Issuer_301,JP,Government,AUD,55277.702788080926,386.89035535679,21386410.07498765,20996293.715023804,2030-08-01,Not rated,Fitch,2
1003,2024-12-31,1003-INV-0034,Mortgage loans,Cash and deposits,Issuer_248,US,Industrial,JPY,1134.5583114808348,280.0081126567534,317685.5314967815,303289.67226816545,2035-06-01,BB,Fitch,6
1003,2024-12-31,1003-INV-0035,Equities - Unlisted,Government bonds,Issuer_425,CA,Utilities,GBP,276893.3882630786,368.1394193550723,101935371.17842834,97477631.60441293,2035-11-01,Not rated,S&P,5
1003,2024-12-31,1003-INV-0036,Policy loans,Cash and deposits,Issuer_463,JP,Industrial,CHF,839499.1538636463,51.7189651963624,43418027.521049604,42318786.699583136,2038-06-01,AA,Moodys,5
1003,2024-12-31,1003-INV-0037,Equities - Unlisted,Loans and mortgages,Issuer_387,DE,Financial,AUD,741163.1520959194,192.32156737818806,142541659.0940456,136866967.14374173,2036-01-01,A,None,1
1003,2024-12-31,1003-INV-0038,Real estate,Equities,Issuer_375,DE,Financial,EUR,360873.68488162744,171.6769788730365,61953703.975257985,64076931.148783244,2031-12-01,BBB,Moodys,2
1003,2024-12-31,1003-INV-0039,Corporate bonds - Non-investment grade,Cash and deposits,Issuer_277,AU,Utilities,CAD,314034.569667558,405.01961229920323,127190159.65530147,132174387.72159573,2028-05-01,Not rated,None,3
1003,2024-12-31,1003-INV-0040,Collective investment undertakings,Cash and deposits,Issuer_59,CH,Financial,USD,434383.602156953,459.4744147344764,199588151.37131962,197139565.0897074,2038-04-01,Not rated,None,5
1003,2024-12-31,1003-INV-0041,Collective investment undertakings,Government bonds,Issuer_405,CA,Financial,EUR,964114.338073618,90.18028603650782,86944106.77937728,88570129.08704317,2034-02-01,BBB,Fitch,6
1003,2024-12-31,1003-INV-0042,Other investments,Equities,Issuer_300,CA,Utilities,GBP,494320.22641647176,224.44196245504116,110946201.6981332,112418589.58487125,2036-04-01,BBB,S&P,5
1003,2024-12-31,1003-INV-0043,Deposits with credit institutions,Equities,Issuer_469,IT,Industrial,AUD,704153.2345426969,51.96347134263909,36590246.42398605,35371619.568637304,2027-11-01,Not rated,None,6
1003,2024-12-31,1003-INV-0044,Equities - Unlisted,Loans and mortgages,Issuer_210,US,Industrial,GBP,713333.0045836844,349.8734361101929,249576269.40450165,261207709.17403072,2026-05-01,BBB,S&P,1
1003,2024-12-31,1003-INV-0045,Equities - Listed,Property,Issuer_70,CA,Government,EUR,761276.7524605322,477.8477184791021,363774359.2944455,371142263.4121455,2036-12-01,B,None,5
1003,2024-12-31,1003-INV-0046,Corporate bonds - Non-investment grade,Investment funds,Issuer_336,US,Government,CHF,298754.1564308037,97.41421501288542,29102901.63054352,29923090.84775026,2032-05-01,AAA,Fitch,2
5820,2024-12-31,5820-INV-0001,Policy loans,Corporate bonds,Issuer_438,AU,Financial,AUD,644505.07225444,71.6837055769833,46200511.84235963,45553937.83161218,2031-09-01,B,Fitch,1
5820,2024-12-31,5820-INV-0002,Mortgage loans,Equities,Issuer_98,US,Government,GBP,956843.0156688018,275.1805155695905,263304554.37090266,261533281.88465494,2036-04-01,B,S&P,1
5820,2024-12-31,5820-INV-0003,Collective investment undertakings,Corporate bonds,Issuer_65,IT,Industrial,GBP,458241.9055541347,143.99722580232367,65985563.14616581,65119220.01941183,2039-09-01,AA,Moodys,2
5820,2024-12-31,5820-INV-0004,Collective investment undertakings,Cash and deposits,Issuer_76,IT,Financial,EUR,370443.4427311894,73.55975908436258,27249730.401688162,27978844.97582139,2039-03-01,AA,Fitch,2
5820,2024-12-31,5820-INV-0005,Corporate bonds - Investment grade,Loans and mortgages,Issuer_444,GB,Industrial,GBP,417087.9274719751,419.9809490673905,175168983.62423104,181305993.95132634,2031-04-01,BB,Fitch,1
5820,2024-12-31,5820-INV-0006,Corporate bonds - Non-investment grade,Equities,Issuer_27,DE,Government,CHF,212782.0606439594,345.80906697655786,73581965.86063695,73378009.92665716,2027-12-01,AAA,None,4
5820,2024-12-31,5820-INV-0007,Collective investment undertakings,Property,Issuer_304,US,Government,CHF,880276.5811835636,147.08330562940435,129473989.42862925,131776207.87035058,2029-10-01,AAA,Fitch,4
5820,2024-12-31,5820-INV-0008,Other investments,Government bonds,Issuer_32,CH,Government,JPY,608144.3701304699,182.88566490732475,111220887.4909572,107179130.49002436,2036-02-01,BBB,None,1
5820,2024-12-31,5820-INV-0009,Corporate bonds - Investment grade,Equities,Issuer_312,DE,Financial,USD,651988.1207167993,382.3688561595488,249299951.94809636,244703542.5140624,2030-10-01,B,Fitch,4
5820,2024-12-31,5820-INV-0010,Real estate,Property,Issuer_151,CH,Government,GBP,645187.7714182915,227.80890842517647,146979521.93607324,150113226.51390916,2038-12-01,AAA,Moodys,4
5820,2024-12-31,5820-INV-0011,Policy loans,Corporate bonds,Issuer_212,AU,Government,JPY,200016.05961915906,450.5967511862785,90126586.64947405,88210581.9069749,2032-12-01,AAA,Fitch,4
5820,2024-12-31,5820-INV-0012,Collective investment undertakings,Loans and mortgages,Issuer_131,AU,Industrial,AUD,368418.2017683968,76.1413784361574,28051869.72361609,26962088.84269815,2040-08-01,AAA,S&P,1
5820,2024-12-31,5820-INV-0013,Corporate bonds - Investment grade,Investment funds,Issuer_50,AU,Industrial,CHF,516346.0408096158,170.41670452758717,87993990.67064176,90946015.05605611,2026-10-01,BB,Fitch,6
5820,2024-12-31,5820-INV-0014,Corporate bonds - Investment grade,Investment funds,Issuer_182,CA,Financial,EUR,15678.69526629889,220.59232190237128,3458599.7931925897,3402344.1273619626,2035-05-01,A,S&P,5
5820,2024-12-31,5820-INV-0015,Deposits with credit institutions,Corporate bonds,Issuer_80,CH,Industrial,CAD,20308.303286683433,105.9657795502296,2151985.1891158996,2133401.220661223,2027-06-01,Not rated,Fitch,1
5820,2024-12-31,5820-INV-0016,Equities - Unlisted,Property,Issuer_116,CA,Financial,CHF,493371.71986299916,231.9303862646911,114427893.55990036,114781906.89713329,2040-11-01,Not rated,Fitch,1
5820,2024-12-31,5820-INV-0017,Corporate bonds - Non-investment grade,Equities,Issuer_360,JP,Utilities,EUR,595536.5432307759,54.46571950752603,32436326.32008909,32319864.2076454,2026-03-01,Not rated,Moodys,5
5820,2024-12-31,5820-INV-0018,Other investments,Investment funds,Issuer_36,DE,Financial,GBP,963535.7416467008,283.5645260582969,273224555.92027634,278075446.6386315,2037-09-01,AA,None,4
5820,2024-12-31,5820-INV-0019,Policy loans,Equities,Issuer_81,AU,Utilities,AUD,312551.99405896635,398.29612016874313,124488246.58469035,127885798.25809565,2031-10-01,BB,S&P,1
5820,2024-12-31,5820-INV-0020,Corporate bonds - Non-investment grade,Corporate bonds,Issuer_387,IT,Financial,AUD,521774.7516064848,489.2062204756461,255255454.1730275,245697419.17345232,2027-05-01,BBB,None,4
5820,2024-12-31,5820-INV-0021,Real estate,Investment funds,Issuer_213,JP,Industrial,CAD,17930.717224691412,396.5711952906932,7110805.962215294,7329218.304857459,2034-02-01,A,None,1
5820,2024-12-31,5820-INV-0022,Equities - Unlisted,Loans and mortgages,Issuer_348,IT,Government,CHF,121087.02189145566,169.51227483137274,20525736.53337688,19535477.225308187,2036-05-01,AAA,Moodys,4
5820,2024-12-31,5820-INV-0023,Real estate,Government bonds,Issuer_4,FR,Utilities,USD,294015.30216978415,397.91384326340216,116992758.86462931,117202884.03340524,2038-03-01,Not rated,Fitch,3
5820,2024-12-31,5820-INV-0024,Collective investment undertakings,Government bonds,Issuer_4,CH,Government,USD,348747.4975751198,217.28268270784864,75776791.86077096,71998209.60914224,2028-07-01,BB,Moodys,5
5820,2024-12-31,5820-INV-0025,Deposits with credit institutions,Cash and deposits,Issuer_343,AU,Financial,JPY,300500.7270376707,340.9064337370687,102442631.18980865,107300403.8418222,2039-12-01,AAA,None,1
5820,2024-12-31,5820-INV-0026,Policy loans,Government bonds,Issuer_442,AU,Government,CHF,847213.7661569156,60.617734090488106,51356178.79470088,53403033.7621214,2032-12-01,B,None,3
5820,2024-12-31,5820-INV-0027,Corporate bonds - Investment grade,Investment funds,Issuer_11,AU,Industrial,CAD,783415.2148853273,401.1692556069412,314282098.5866986,312961980.4857087,2035-08-01,Not rated,Fitch,1
5820,2024-12-31,5820-INV-0028,Mortgage loans,Cash and deposits,Issuer_55,FR,Government,CHF,398607.2876615483,186.31207797493667,74265352.0601764,71039969.64004654,2032-09-01,AAA,None,3
5820,2024-12-31,5820-INV-0029,Collective investment undertakings,Corporate bonds,Issuer_171,DE,Financial,CHF,229007.1281302054,160.97163574011108,36863652.01126437,36804954.27514409,2036-02-01,BB,Moodys,3
5820,2024-12-31,5820-INV-0030,Collective investment undertakings,Loans and mortgages,Issuer_491,DE,Industrial,GBP,747696.9621900973,263.21442277907596,196804624.31653506,188102798.61493284,2028-05-01,AA,Moodys,5
5820,2024-12-31,5820-INV-0031,Corporate bonds - Non-investment grade,Cash and deposits,Issuer_389,US,Industrial,CAD,957832.0111872157,474.2259435923505,454228789.3082162,467182919.39898276,2036-08-01,BBB,None,6
5820,2024-12-31,5820-INV-0032,Real estate,Loans and mortgages,Issuer_326,IT,Utilities,CAD,991336.5736626564,295.0170497601183,292461191.2812611,305995369.5814928,2036-06-01,AA,None,1
5820,2024-12-31,5820-INV-0033,Policy loans,Investment funds,Issuer_324,JP,Utilities,CHF,76529.43557613403,214.55633671761709,16419875.348282196,15968954.813518973,2026-06-01,BB,S&P,3
5820,2024-12-31,5820-INV-0034,Policy loans,Investment funds,Issuer_20,GB,Utilities,CAD,196637.25105013576,113.36132700170424,22291059.71701065,22563932.69644309,2030-02-01,B,S&P,5
5000,2024-12-31,5000-INV-0001,Deposits with credit institutions,Investment funds,Issuer_237,IT,Financial,JPY,781540.5338915577,310.2342797391623,242460664.61880776,233900899.0119612,2040-10-01,B,Moodys,3
5000,2024-12-31,5000-INV-0002,Real estate,Investment funds,Issuer_257,DE,Financial,JPY,811312.6461635374,336.17961822367783,272746775.6472998,269696531.3412344,2027-06-01,B,S&P,5
5000,2024-12-31,5000-INV-0003,Other investments,Corporate bonds,Issuer_21,FR,Government,JPY,674456.1652405269,166.95724065927476,112605340.29419424,110862121.88992402,2034-09-01,BB,Moodys,3
5000,2024-12-31,5000-INV-0004,Collective investment undertakings,Equities,Issuer_199,CA,Utilities,AUD,917568.3572888583,180.72702755213916,165829401.78871456,165331719.0349133,2035-01-01,Not rated,Fitch,1
5000,2024-12-31,5000-INV-0005,Collective investment undertakings,Government bonds,Issuer_286,CA,Utilities,EUR,890250.9962586187,368.47460762038736,328034886.53005344,313673625.0272249,2037-11-01,BB,Moodys,3
5000,2024-12-31,5000-INV-0006,Corporate bonds - Investment grade,Property,Issuer_340,DE,Utilities,EUR,148155.74123469138,53.52871584736257,7930586.573707173,8034415.232886884,2036-12-01,B,None,2
5000,2024-12-31,5000-INV-0007,Real estate,Loans and mortgages,Issuer_481,US,Utilities,CHF,448225.7519850079,110.423682906024,49494738.307506666,51761271.25588496,2032-11-01,Not rated,Fitch,2
5000,2024-12-31,5000-INV-0008,Other investments,Loans and mortgages,Issuer_425,NL,Financial,AUD,530130.0642216742,158.85198235080014,84212211.60536994,84217294.41154985,2036-07-01,BB,Fitch,1
5000,2024-12-31,5000-INV-0009,Collective investment undertakings,Equities,Issuer_93,FR,Utilities,CAD,679940.7124023727,84.30764808810402,57324202.30199398,56032709.89358777,2033-04-01,AA,Moodys,2
5000,2024-12-31,5000-INV-0010,Corporate bonds - Investment grade,Equities,Issuer_433,US,Financial,AUD,807158.5253931097,256.84919168119757,207318014.8058076,208283642.86795396,2031-10-01,AA,None,2
5000,2024-12-31,5000-INV-0011,Corporate bonds - Non-investment grade,Corporate bonds,Issuer_426,IT,Industrial,AUD,433383.1862072598,69.75497418935231,30230632.967986673,29220173.39541411,2033-01-01,BBB,Fitch,6
5000,2024-12-31,5000-INV-0012,Equities - Listed,Investment funds,Issuer_313,JP,Government,USD,446096.097103149,144.1334594335675,64297373.71528952,61403857.05789089,2034-04-01,A,None,2
5000,2024-12-31,5000-INV-0013,Collective investment undertakings,Loans and mortgages,Issuer_485,IT,Government,JPY,843806.014387772,491.53663812385213,414761571.54085225,426920011.4513412,2038-05-01,Not rated,None,5
5000,2024-12-31,5000-INV-0014,Deposits with credit institutions,Investment funds,Issuer_495,DE,Industrial,CAD,853931.1367829624,158.88970864267043,135680869.52434924,141930696.38074946,2035-03-01,Not rated,Fitch,1
5000,2024-12-31,5000-INV-0015,Other investments,Investment funds,Issuer_448,AU,Financial,AUD,197728.77874897496,478.1434146628245,94542713.44814502,99220869.31994866,2039-09-01,Not rated,S&P,3
5000,2024-12-31,5000-INV-0016,Corporate bonds - Investment grade,Cash and deposits,Issuer_83,JP,Government,CHF,712011.0829403027,491.51467930631986,349963899.09394836,352397540.33389205,2028-07-01,AAA,Moodys,4
