Syndicate,Reporting_Date,Asset_Category,Total_Solvency_II_Value,Book_Value,Number_Of_Holdings,Unrealized_Gain_Loss
886,2024-12-31,Government bonds,391031158.73312646,395423972.49082404,3,-4392813.757697582
886,2024-12-31,Loans and mortgages,583099002.8752425,595948544.2495546,7,-12849541.374312162
886,2024-12-31,Property,227482994.98361498,224190018.9232675,3,3292976.0603474677
1003,2024-12-31,Cash and deposits,1239158795.5370939,1246724674.3814397,11,-7565878.844345808
1003,2024-12-31,Corporate bonds,183047900.19957837,176768050.1468047,2,6279850.052773684
1003,2024-12-31,Equities,908799567.2029047,908738484.4281843,7,61082.774720430374
1003,2024-12-31,Government bonds,392865955.0662992,390382138.7560033,4,2483816.31029588
1003,2024-12-31,Investment funds,794497368.6496159,798160190.1276797,7,-3662821.478063822
1003,2024-12-31,Loans and mortgages,1216344212.052826,1233717686.307305,7,-17373474.25447917
1003,2024-12-31,Property,1787918843.6583571,1760212215.4833536,8,27706628.17500353
1183,2024-12-31,Cash and deposits,1218749392.2573361,1215979589.6119816,5,2769802.6453545094
1183,2024-12-31,Corporate bonds,807608102.0582881,809350483.9148352,5,-1742381.8565471172
1183,2024-12-31,Equities,1328074468.9141726,1322958062.661469,9,5116406.252703667
1183,2024-12-31,Government bonds,1043478325.1866256,1070928916.1760137,6,-27450590.98938811
1183,2024-12-31,Investment funds,1114663227.0316153,1096368994.589507,11,18294232.442108154
1183,2024-12-31,Loans and mortgages,1029772476.7471846,1014997056.3182436,8,14775420.428941011
1183,2024-12-31,Property,752075840.5200654,750702062.5360554,4,1373777.9840099812
1221,2024-12-31,Cash and deposits,1066911206.3664248,1069512166.3777274,6,-2600960.0113025904
1221,2024-12-31,Corporate bonds,466723031.75649005,476895358.23007196,4,-10172326.47358191
1221,2024-12-31,Equities,593557331.4919187,608291587.6643343,8,-14734256.172415614
1221,2024-12-31,Government bonds,1064608920.5072565,1079263701.8818436,5,-14654781.374587059
1221,2024-12-31,Investment funds,863324769.1769441,846692594.2930673,8,16632174.8838768
1221,2024-12-31,Loans and mortgages,1246331131.1265955,1217149905.1577144,7,29181225.96888113
1221,2024-12-31,Property,670480781.7166566,652666621.343008,2,17814160.373648524
1458,2024-12-31,Cash and deposits,2072533273.1798615,2063702111.6929784,10,8831161.486883163
1458,2024-12-31,Corporate bonds,538952208.8962321,555624109.3353138,5,-16671900.439081669
1458,2024-12-31,Equities,987871869.7734442,1010903741.9168983,6,-23031872.143454075
1458,2024-12-31,Government bonds,55698188.676452816,53976705.738497294,1,1721482.937955521
1458,2024-12-31,Investment funds,222063677.00794318,227949843.53868812,3,-5886166.53074494
1458,2024-12-31,Loans and mortgages,399854234.370721,410225769.43288213,4,-10371535.062161148
2488,2024-12-31,Cash and deposits,761215313.9973476,762769722.8791881,5,-1554408.8818404675
2488,2024-12-31,Corporate bonds,752878562.4856801,749887038.5868043,6,2991523.8988758326
2488,2024-12-31,Equities,604194384.8077531,606789835.478417,7,-2595450.670663953
2488,2024-12-31,Government bonds,698173378.898483,675228583.7414103,4,22944795.157072783
2488,2024-12-31,Investment funds,1300110823.576461,1298024862.218094,10,2085961.3583669662
2488,2024-12-31,Loans and mortgages,857407369.3693364,838905406.0626163,6,18501963.30672002
2488,2024-12-31,Property,1958730064.757495,1988031362.8572352,10,-29301298.099740267
3000,2024-12-31,Cash and deposits,525556143.7797761,533593942.987476,5,-8037799.207699895
3000,2024-12-31,Corporate bonds,148827834.33561495,154986158.1330911,1,-6158323.797476143
3000,2024-12-31,Equities,384847371.5302075,386885691.9788148,2,-2038320.448607266
3000,2024-12-31,Government bonds,602081579.7708544,601397561.3077388,3,684018.4631155729
3000,2024-12-31,Investment funds,1025968941.9116994,1024663529.7080802,7,1305412.2036192417
3000,2024-12-31,Loans and mortgages,447102855.9841729,434523745.55075896,5,12579110.433413923
3000,2024-12-31,Property,335531827.76674557,338323151.4287824,5,-2791323.662036836
5000,2024-12-31,Cash and deposits,1034278463.3306286,1021114244.4374361,5,13164218.89319253
5000,2024-12-31,Corporate bonds,991649855.5766503,971732645.1876981,7,19917210.388952136
5000,2024-12-31,Equities,726588592.2147413,721215550.8602602,8,5373041.354481101
5000,2024-12-31,Government bonds,717792794.8070133,704100998.3438721,5,13691796.463141203
5000,2024-12-31,Investment funds,809728396.9538914,806152853.1117846,5,3575543.842106819
5000,2024-12-31,Loans and mortgages,549176317.3616748,563596253.6221925,4,-14419936.260517716
5000,2024-12-31,Property,1156036479.0820274,1166598126.5062463,5,-10561647.424218893
5820,2024-12-31,Cash and deposits,658186502.9598894,673502137.856673,4,-15315634.89678359
5820,2024-12-31,Corporate bonds,496583753.01140726,483519514.4272565,6,13064238.584150732
5820,2024-12-31,Equities,743111045.0844154,739820496.7911155,5,3290548.2932999134
5820,2024-12-31,Government bonds,355346617.01105833,349783257.89469326,4,5563359.116365075
5820,2024-12-31,Investment funds,724780985.9983175,731247892.1225778,7,-6466906.124260306
5820,2024-12-31,Loans and mortgages,713012405.4790201,721901728.2157583,5,-8889322.736738205
5820,2024-12-31,Property,390881404.9246028,396671341.28139305,3,-5789936.356790245
6104,2024-12-31,Cash and deposits,936626913.1638179,939413366.6869812,11,-2786453.5231633186
6104,2024-12-31,Corporate bonds,7794392.803111733,7600229.057924697,1,194163.74518703576
6104,2024-12-31,Equities,169324595.50666496,166725872.18851948,1,2598723.3181454837
6104,2024-12-31,Government bonds,986806101.6863871,956028244.4148619,6,30777857.271525145
6104,2024-12-31,Investment funds,428659961.1866664,428690491.69662416,4,-30530.50995773077
6104,2024-12-31,Loans and mortgages,628790216.0724704,613296975.1212825,4,15493240.951187968
6104,2024-12-31,Property,933046015.8569198,939815254.9363139,6,-6769239.079394102
6129,2024-12-31,Cash and deposits,956010041.0046155,959859954.2964301,6,-3849913.2918145657
6129,2024-12-31,Corporate bonds,753504982.4304104,751733157.8059036,5,1771824.6245068312
6129,2024-12-31,Equities,878547799.3141525,893408951.2904724,10,-14861151.97631991
6129,2024-12-31,Government bonds,1062504450.5226475,1039107457.854416,7,23396992.668231487
6129,2024-12-31,Investment funds,753460785.5201037,745637876.2388406,4,7822909.281263113
6129,2024-12-31,Loans and mortgages,1143543162.5908215,1129034945.2644439,11,14508217.32637763
6129,2024-12-31,Property,388172341.7369541,395088883.92441416,5,-6916542.187460065
