Syndicate,Reporting_Date,Item_ID,Item_Type,Description,Counterparty,Maximum_Exposure,Probability_Of_Call,Expected_Value,Maturity_Date
2121,2024-12-31,2121-OBS-004,Legal contingencies,Off-balance sheet item 4,Counterparty_84,39817368.545282125,0.20290832036181722,8079275.372750649,2026-05-01
2121,2024-12-31,2121-OBS-005,Letters of credit,Off-balance sheet item 5,Counterparty_45,34302025.93736204,0.28377739320962597,9734139.502313577,2035-08-01
2003,2024-12-31,2003-OBS-001,Letters of credit,Off-balance sheet item 1,Counterparty_57,15495380.777330266,0.00033362825885622225,5169.696909054873,2026-04-01
2003,2024-12-31,2003-OBS-002,Letters of credit,Off-balance sheet item 2,Counterparty_88,14325773.410511736,0.0653674138880232,936438.7597909583,2031-03-01
2003,2024-12-31,2003-OBS-003,Operating lease commitments,Off-balance sheet item 3,Counterparty_11,33429894.67058591,0.1901134799296587,6355473.609507039,2027-12-01
2003,2024-12-31,2003-OBS-004,Guarantees provided,Off-balance sheet item 4,Counterparty_32,30079607.75253147,0.00487303296283611,146578.92008726645,2035-03-01
2003,2024-12-31,2003-OBS-005,Committed undrawn credit facilities,Off-balance sheet item 5,Counterparty_2,36710124.66808172,0.09705912374564746,3563052.5328774895,2031-12-01
2003,2024-12-31,2003-OBS-006,Guarantees provided,Off-balance sheet item 6,Counterparty_40,33587743.46132492,0.16697352855064598,5608264.04179131,2033-08-01
2003,2024-12-31,2003-OBS-007,Guarantees provided,Off-balance sheet item 7,Counterparty_43,17793815.345967453,0.040372880131232323,718387.5740400262,2029-12-01
6129,2024-12-31,6129-OBS-001,Letters of credit,Off-balance sheet item 1,Counterparty_27,5626525.985363566,0.24945549993366706,1403567.852568637,2034-09-01
6129,2024-12-31,6129-OBS-002,Committed undrawn credit facilities,Off-balance sheet item 2,Counterparty_71,46001479.56199634,0.19493641402928988,8967363.465857236,2033-10-01
6129,2024-12-31,6129-OBS-003,Operating lease commitments,Off-balance sheet item 3,Counterparty_19,6068271.628163685,0.1206081650664722,731883.1061977558,2026-07-01
6129,2024-12-31,6129-OBS-004,Legal contingencies,Off-balance sheet item 4,Counterparty_85,36718020.80515271,0.23394626520302042,8590043.833012277,2034-01-01
6129,2024-12-31,6129-OBS-005,Committed undrawn credit facilities,Off-balance sheet item 5,Counterparty_22,6792712.492263341,9.215653614724761e-06,62.599285433112705,2026-05-01
6129,2024-12-31,6129-OBS-006,Letters of credit,Off-balance sheet item 6,Counterparty_90,35894715.24814965,0.10697885279586168,3839975.458681173,2035-05-01
6129,2024-12-31,6129-OBS-007,Guarantees provided,Off-balance sheet item 7,Counterparty_60,13469585.249294752,0.0038692409368576318,52117.07064906497,2026-02-01
2488,2024-12-31,2488-OBS-001,Operating lease commitments,Off-balance sheet item 1,Counterparty_35,27474670.931313485,0.2553452206277945,7015525.910632295,2031-02-01
2488,2024-12-31,2488-OBS-002,Guarantees provided,Off-balance sheet item 2,Counterparty_38,47923950.667356804,0.16972348518398675,8133819.9310492445,2032-04-01
2488,2024-12-31,2488-OBS-003,Unfunded pension obligations,Off-balance sheet item 3,Counterparty_66,26208605.059254814,0.02551691564677233,668762.7645165756,2027-06-01
2488,2024-12-31,2488-OBS-004,Unfunded pension obligations,Off-balance sheet item 4,Counterparty_77,27894767.275587387,0.11399372368961838,3179828.3931995174,2034-02-01
2488,2024-12-31,2488-OBS-005,Letters of credit,Off-balance sheet item 5,Counterparty_26,30749628.76329527,0.116617904362964,3585957.266314615,2034-08-01
2488,2024-12-31,2488-OBS-006,Legal contingencies,Off-balance sheet item 6,Counterparty_92,12774657.04906797,0.028489582568512948,363944.6467838579,2026-01-01
3000,2024-12-31,3000-OBS-001,Legal contingencies,Off-balance sheet item 1,Counterparty_40,16431003.784855891,0.028993450286325682,476391.4913906484,2031-08-01
3000,2024-12-31,3000-OBS-002,Unfunded pension obligations,Off-balance sheet item 2,Counterparty_96,9667950.590375213,0.2962008475738638,2863655.159171375,2028-01-01
3000,2024-12-31,3000-OBS-003,Committed undrawn credit facilities,Off-balance sheet item 3,Counterparty_88,22761074.288424313,0.15956152995150497,3631791.836800846,2031-06-01
3000,2024-12-31,3000-OBS-004,Operating lease commitments,Off-balance sheet item 4,Counterparty_39,43807307.90812355,0.29867067014720633,13083958.010264274,2029-09-01
0308,2024-12-31,0308-OBS-001,Guarantees provided,Off-balance sheet item 1,Counterparty_81,29553008.017889395,0.24374214631325147,7203313.604293091,2030-07-01
0308,2024-12-31,0308-OBS-002,Guarantees provided,Off-balance sheet item 2,Counterparty_72,17020110.19249709,0.09172318723418733,1561138.7539329107,2030-04-01
0308,2024-12-31,0308-OBS-003,Letters of credit,Off-balance sheet item 3,Counterparty_44,20732482.328733448,0.20175217880209473,4182823.4817979,2032-11-01
0308,2024-12-31,0308-OBS-004,Letters of credit,Off-balance sheet item 4,Counterparty_12,34427392.77349984,0.09457183039483524,3255861.5503118034,2032-09-01
0308,2024-12-31,0308-OBS-005,Operating lease commitments,Off-balance sheet item 5,Counterparty_79,7527286.282694805,0.18971887693965256,1428068.2999561105,2029-07-01
0218,2024-12-31,0218-OBS-001,Legal contingencies,Off-balance sheet item 1,Counterparty_20,7287967.247249462,0.17354775246879903,1264810.335826364,2032-05-01
0218,2024-12-31,0218-OBS-002,Legal contingencies,Off-balance sheet item 2,Counterparty_43,34977684.27475914,0.21018344891833549,7351730.316045505,2033-09-01
0218,2024-12-31,0218-OBS-003,Letters of credit,Off-balance sheet item 3,Counterparty_27,37920133.42232024,0.26185782646969935,9929683.71740978,2028-10-01
0218,2024-12-31,0218-OBS-004,Legal contingencies,Off-balance sheet item 4,Counterparty_88,25497990.606274635,0.21907475685887134,5585966.092459401,2029-03-01
0033,2024-12-31,0033-OBS-001,Operating lease commitments,Off-balance sheet item 1,Counterparty_91,31339464.032926,0.05599198193930477,1754758.704119084,2034-03-01
0033,2024-12-31,0033-OBS-002,Unfunded pension obligations,Off-balance sheet item 2,Counterparty_99,2258792.5986010004,0.08536241570308013,192815.99278881922,2028-11-01
0033,2024-12-31,0033-OBS-003,Legal contingencies,Off-balance sheet item 3,Counterparty_21,22708651.61054335,0.1851317833285969,4204093.169647705,2031-02-01
0033,2024-12-31,0033-OBS-004,Legal contingencies,Off-balance sheet item 4,Counterparty_69,42648007.194657065,0.05887371501184969,2510846.6214015554,2027-03-01
0033,2024-12-31,0033-OBS-005,Committed undrawn credit facilities,Off-balance sheet item 5,Counterparty_19,7151939.705025378,0.28904398424229827,2067225.1474012225,2026-06-01
1955,2024-12-31,1955-OBS-001,Unfunded pension obligations,Off-balance sheet item 1,Counterparty_39,6294183.409443948,0.14354732103215675,903513.1665107254,2033-12-01
1955,2024-12-31,1955-OBS-002,Operating lease commitments,Off-balance sheet item 2,Counterparty_95,29692622.710871793,0.16241232627223148,4822447.92759638,2030-03-01
1955,2024-12-31,1955-OBS-003,Letters of credit,Off-balance sheet item 3,Counterparty_14,5215575.694614217,0.01710807420108581,89228.45598483967,2028-03-01
1955,2024-12-31,1955-OBS-004,Guarantees provided,Off-balance sheet item 4,Counterparty_98,6168687.9455907475,0.17567630516178376,1083692.3059774172,2035-10-01
1955,2024-12-31,1955-OBS-005,Committed undrawn credit facilities,Off-balance sheet item 5,Counterparty_78,27672899.494081732,0.07012223761102328,1940485.633709965,2035-10-01
1955,2024-12-31,1955-OBS-006,Letters of credit,Off-balance sheet item 6,Counterparty_77,32250932.950433988,0.2460202506166948,7934382.60708799,2029-04-01
1221,2024-12-31,1221-OBS-001,Guarantees provided,Off-balance sheet item 1,Counterparty_46,3037369.0324830944,0.14943898306441272,453901.3394056128,2027-12-01
1221,2024-12-31,1221-OBS-002,Unfunded pension obligations,Off-balance sheet item 2,Counterparty_18,34776210.193031825,0.07569357812090612,2632335.782995306,2034-10-01
1221,2024-12-31,1221-OBS-003,Unfunded pension obligations,Off-balance sheet item 3,Counterparty_92,16080774.359364307,0.18409137089681513,2960331.7968977294,2031-03-01
1221,2024-12-31,1221-OBS-004,Unfunded pension obligations,Off-balance sheet item 4,Counterparty_63,44998829.378743105,0.2429773260908698,10933695.239666276,2033-03-01
1221,2024-12-31,1221-OBS-005,Letters of credit,Off-balance sheet item 5,Counterparty_25,29573380.735879593,0.21906651532717475,6478537.464252941,2029-01-01
1221,2024-12-31,1221-OBS-006,Unfunded pension obligations,Off-balance sheet item 6,Counterparty_98,18876301.040182136,0.1922896584296273,3629717.4794314415,2026-05-01
1221,2024-12-31,1221-OBS-007,Unfunded pension obligations,Off-balance sheet item 7,Counterparty_29,23842897.96525029,0.05698084093726827,1358588.376441444,2029-04-01
1221,2024-12-31,1221-OBS-008,Guarantees provided,Off-balance sheet item 8,Counterparty_23,35385175.4199856,0.1669393912046466,5907179.642282021,2033-10-01
