Syndicate,Reporting_Date,Line_of_Business,Accident_Year,Development_Year,Net_Claims_Reported,Net_Claims_Paid,Net_Claims_Outstanding,Net_Ultimate_Estimate
1729,2024-12-31,General liability insurance,2018,3,10254455.696031451,5606947.338217675,4647508.3578137765,
1729,2024-12-31,General liability insurance,2018,4,9936619.392159017,6806571.320660043,3130048.0714989724,
1729,2024-12-31,General liability insurance,2018,5,9816411.87834872,7990729.279392265,1825682.5989564564,
1729,2024-12-31,General liability insurance,2018,6,13703501.915080449,9821498.192508694,3882003.722571753,21071516.24181454
1729,2024-12-31,General liability insurance,2019,0,7893327.570873737,675286.375242085,7218041.195631652,
1729,2024-12-31,General liability insurance,2019,1,10096171.70052176,3600659.5033799,6495512.19714186,
1729,2024-12-31,General liability insurance,2019,2,11706813.710072923,5789887.696882576,5916926.01319035,
1729,2024-12-31,General liability insurance,2019,3,14648785.838844685,8606537.346180629,6042248.492664056,
1729,2024-12-31,General liability insurance,2019,4,16139132.859565388,9221134.321066543,6917998.538498843,
1729,2024-12-31,General liability insurance,2019,5,16660464.65888562,12916434.421106257,3744030.237779362,28789729.332909577
1729,2024-12-31,General liability insurance,2020,0,6358174.46902804,2221610.5937542543,4136563.8752737856,
1729,2024-12-31,General liability insurance,2020,1,6619857.0413287245,2596180.920535476,4023676.120793249,
1729,2024-12-31,General liability insurance,2020,2,7624235.635311613,3121509.616797876,4502726.018513737,
1729,2024-12-31,General liability insurance,2020,3,8487984.59308764,4961651.97499886,3526332.61808878,
1729,2024-12-31,General liability insurance,2020,4,8260736.934161315,6784489.538649662,1476247.3955116523,18360877.95780734
1729,2024-12-31,General liability insurance,2021,0,1503569.5611766067,422172.8715841965,1081396.68959241,
1729,2024-12-31,General liability insurance,2021,1,2243275.520652024,771021.7466261704,1472253.7740258535,
1729,2024-12-31,General liability insurance,2021,2,2719690.852398336,1354894.7108516947,1364796.1415466412,
1729,2024-12-31,General liability insurance,2021,3,2300152.350795296,1718309.5293632308,581842.8214320648,6172549.685734079
1729,2024-12-31,General liability insurance,2022,0,10785612.703240415,786677.8452501372,9998934.85799028,
1729,2024-12-31,General liability insurance,2022,1,10248928.320076264,3886413.482709002,6362514.837367263,
1729,2024-12-31,General liability insurance,2022,2,9551435.150190303,5829542.478462056,3721892.6717282487,26477611.55919889
1729,2024-12-31,General liability insurance,2023,0,3709472.3401171495,746993.37000688,2962478.9701102693,
1729,2024-12-31,General liability insurance,2023,1,4631126.204225404,1942863.3167177408,2688262.887507663,13971892.94249146
1729,2024-12-31,General liability insurance,2024,0,5839504.021300809,254521.64178896224,5584982.379511847,21887252.50086944
1729,2024-12-31,Fire and other damage to property insurance,2015,0,5264487.57280698,1679093.7218241815,3585393.850982799,
1729,2024-12-31,Fire and other damage to property insurance,2015,1,6365493.962247957,2511137.808494202,3854356.153753754,
1729,2024-12-31,Fire and other damage to property insurance,2015,2,6859918.1627117405,4255543.48349126,2604374.679220481,
1729,2024-12-31,Fire and other damage to property insurance,2015,3,7596192.885988319,4561815.803395011,3034377.082593308,
1729,2024-12-31,Fire and other damage to property insurance,2015,4,8661831.62504722,7831532.666297509,830298.9587497106,
1729,2024-12-31,Fire and other damage to property insurance,2015,5,11509372.792757764,9619566.02702079,1889806.7657369748,
1729,2024-12-31,Fire and other damage to property insurance,2015,6,11703031.191528212,11102680.574106973,600350.6174212396,
1729,2024-12-31,Fire and other damage to property insurance,2015,7,13855748.36879574,12532401.338961504,1323347.0298342388,
1729,2024-12-31,Fire and other damage to property insurance,2015,8,13677661.038229857,13397997.490613043,279663.54761681147,
1729,2024-12-31,Fire and other damage to property insurance,2015,9,12541835.73560147,12539719.564642694,2116.170958776027,20263119.614654936
1729,2024-12-31,Fire and other damage to property insurance,2016,0,4688472.027034836,200107.63885122605,4488364.38818361,
1729,2024-12-31,Fire and other damage to property insurance,2016,1,4596354.929543612,1942003.427036973,2654351.502506639,
1729,2024-12-31,Fire and other damage to property insurance,2016,2,3991623.404811104,2165799.513402964,1825823.8914081403,
1729,2024-12-31,Fire and other damage to property insurance,2016,3,5021473.546841266,3041242.055714441,1980231.491126824,
1729,2024-12-31,Fire and other damage to property insurance,2016,4,6314223.882606897,3565930.0667830943,2748293.8158238023,
1729,2024-12-31,Fire and other damage to property insurance,2016,5,5810661.916283966,5771795.206882843,38866.709401123226,
1729,2024-12-31,Fire and other damage to property insurance,2016,6,7108613.425425112,6008040.098401699,1100573.327023413,
1729,2024-12-31,Fire and other damage to property insurance,2016,7,6507765.688202804,7488155.554370301,-980389.8661674968,
1729,2024-12-31,Fire and other damage to property insurance,2016,8,7155292.90823881,7405838.109015993,-250545.2007771833,11964018.957177335
1729,2024-12-31,Fire and other damage to property insurance,2017,0,6858675.36048823,871303.537939643,5987371.822548587,
1729,2024-12-31,Fire and other damage to property insurance,2017,1,7332266.593564869,3323068.109643242,4009198.483921627,
1729,2024-12-31,Fire and other damage to property insurance,2017,2,8955118.30108799,3949471.77092404,5005646.53016395,
1729,2024-12-31,Fire and other damage to property insurance,2017,3,10148531.880200353,5849292.159447296,4299239.720753057,
1729,2024-12-31,Fire and other damage to property insurance,2017,4,12834988.54204872,8631785.452866971,4203203.089181747,
1729,2024-12-31,Fire and other damage to property insurance,2017,5,10902337.625694368,8613396.279381838,2288941.3463125303,
1729,2024-12-31,Fire and other damage to property insurance,2017,6,14840471.842322191,11991898.87392738,2848572.968394814,
1729,2024-12-31,Fire and other damage to property insurance,2017,7,14933281.224610573,12059727.357112762,2873553.867497811,23003846.58149361
1729,2024-12-31,Fire and other damage to property insurance,2018,0,1782940.18226903,268644.2213092264,1514295.9609598035,
1729,2024-12-31,Fire and other damage to property insurance,2018,1,1948357.5766434025,580104.0205627787,1368253.5560806235,
1729,2024-12-31,Fire and other damage to property insurance,2018,2,2038820.7085095476,1098549.3583640563,940271.3501454912,
1729,2024-12-31,Fire and other damage to property insurance,2018,3,2374539.974855729,1507628.3304164,866911.6444393289,
1729,2024-12-31,Fire and other damage to property insurance,2018,4,2069162.629378876,1981006.7007408887,88155.92863798677,
1729,2024-12-31,Fire and other damage to property insurance,2018,5,2225141.09219229,2313379.5035783635,-88238.41138607357,
1729,2024-12-31,Fire and other damage to property insurance,2018,6,2748060.0732085197,2227046.904044392,521013.16916412767,5039231.322698945
1729,2024-12-31,Fire and other damage to property insurance,2019,0,7235005.618257138,1078810.7333132075,6156194.88494393,
1729,2024-12-31,Fire and other damage to property insurance,2019,1,5820576.953326706,2132211.184050738,3688365.769275968,
1729,2024-12-31,Fire and other damage to property insurance,2019,2,6941696.928506829,3557305.0834529577,3384391.845053871,
1729,2024-12-31,Fire and other damage to property insurance,2019,3,6111572.962734817,4031207.299898743,2080365.662836074,
1729,2024-12-31,Fire and other damage to property insurance,2019,4,8419741.720157586,5905543.145678878,2514198.574478708,
1729,2024-12-31,Fire and other damage to property insurance,2019,5,9091445.572671738,7009078.706862332,2082366.8658094048,15881965.077736003
1729,2024-12-31,Fire and other damage to property insurance,2020,0,10132777.325506171,2375394.7795043173,7757382.546001855,
1729,2024-12-31,Fire and other damage to property insurance,2020,1,9364991.572444117,2908595.799158061,6456395.773286054,
1729,2024-12-31,Fire and other damage to property insurance,2020,2,10693164.34068079,4921614.702462798,5771549.638217991,
1729,2024-12-31,Fire and other damage to property insurance,2020,3,9635422.901751382,6374145.626192838,3261277.2755585443,
1729,2024-12-31,Fire and other damage to property insurance,2020,4,13865380.558001054,8859862.90469346,5005517.653307594,24406681.222385235
1729,2024-12-31,Fire and other damage to property insurance,2021,0,4445615.502617797,399231.0446371413,4046384.457980656,
1729,2024-12-31,Fire and other damage to property insurance,2021,1,5151434.478688348,2025793.7551699984,3125640.72351835,
1729,2024-12-31,Fire and other damage to property insurance,2021,2,5587723.812707924,3339639.259023096,2248084.5536848283,
1729,2024-12-31,Fire and other damage to property insurance,2021,3,7338238.698836655,4194802.537952929,3143436.1608837266,16011304.511969388
1729,2024-12-31,Fire and other damage to property insurance,2022,0,4765035.75481903,390849.0975208206,4374186.657298209,
1729,2024-12-31,Fire and other damage to property insurance,2022,1,4014090.148090344,1554073.9863273192,2460016.1617630245,
1729,2024-12-31,Fire and other damage to property insurance,2022,2,4258383.894312583,1874778.2147670705,2383605.6795455124,10710649.63844318
1729,2024-12-31,Fire and other damage to property insurance,2023,0,6952102.723543232,595959.3521497796,6356143.371393452,
1729,2024-12-31,Fire and other damage to property insurance,2023,1,8851151.119479654,2745778.1480688606,6105372.971410794,22965815.65487106
1729,2024-12-31,Fire and other damage to property insurance,2024,0,3074444.891411872,223447.93902986907,2850996.9523820025,15882952.15170433
1729,2024-12-31,Workers compensation insurance,2015,0,5529606.822989002,866394.4948774806,4663212.328111521,
1729,2024-12-31,Workers compensation insurance,2015,1,6683987.038536447,3283963.6579601537,3400023.380576293,
1729,2024-12-31,Workers compensation insurance,2015,2,7957355.874325613,4360626.604761349,3596729.2695642645,
1729,2024-12-31,Workers compensation insurance,2015,3,11288525.000514232,5934136.112128006,5354388.888386225,
1729,2024-12-31,Workers compensation insurance,2015,4,9446516.964316351,8516901.189787429,929615.7745289224,
1729,2024-12-31,Workers compensation insurance,2015,5,11089007.844815962,10286860.77359947,802147.071216492,
1729,2024-12-31,Workers compensation insurance,2015,6,11155177.387458736,12943690.979965396,-1788513.59250666,
1729,2024-12-31,Workers compensation insurance,2015,7,15228027.857239272,10975430.196736949,4252597.660502326,
1729,2024-12-31,Workers compensation insurance,2015,8,14827172.395204823,13937056.592047764,890115.8031570595,
1729,2024-12-31,Workers compensation insurance,2015,9,17931645.061002176,16264751.44982564,1666893.6111765355,22164196.356047258
1729,2024-12-31,Workers compensation insurance,2016,0,12465695.613629054,2663579.008729932,9802116.604899123,
1729,2024-12-31,Workers compensation insurance,2016,1,10555764.5364694,3391678.231563231,7164086.304906169,
1729,2024-12-31,Workers compensation insurance,2016,2,12674420.063700784,4789740.074413947,7884679.989286837,
1729,2024-12-31,Workers compensation insurance,2016,3,14410045.896019492,7497410.582614651,6912635.313404841,
1729,2024-12-31,Workers compensation insurance,2016,4,13822780.330158422,10339830.1775812,3482950.1525772237,
1729,2024-12-31,Workers compensation insurance,2016,5,12578603.393896302,11863683.70679101,714919.6871052925,
1729,2024-12-31,Workers compensation insurance,2016,6,15065662.218061054,14876298.46604248,189363.7520185728,
1729,2024-12-31,Workers compensation insurance,2016,7,17996483.404578377,18445500.007837277,-449016.6032588966,
1729,2024-12-31,Workers compensation insurance,2016,8,16677194.634327712,18762158.33560152,-2084963.7012738043,28150240.446811
1729,2024-12-31,Workers compensation insurance,2017,0,5785396.458791217,470430.52554319246,5314965.933248024,
1729,2024-12-31,Workers compensation insurance,2017,1,9318387.149668604,3556051.2929521385,5762335.856716465,
1729,2024-12-31,Workers compensation insurance,2017,2,8969575.990243968,4558887.915408513,4410688.074835455,
1729,2024-12-31,Workers compensation insurance,2017,3,9081744.76034408,6607635.348285355,2474109.412058724,
1729,2024-12-31,Workers compensation insurance,2017,4,9874745.099987546,7149996.503602822,2724748.596384724,
1729,2024-12-31,Workers compensation insurance,2017,5,12823009.271880388,9930278.439686568,2892730.8321938217,
1729,2024-12-31,Workers compensation insurance,2017,6,14659871.55453962,13840649.051714024,819222.5028255954,
1729,2024-12-31,Workers compensation insurance,2017,7,15849575.702197624,16034535.188863372,-184959.4866657481,23715301.64229902
1729,2024-12-31,Workers compensation insurance,2018,0,3347443.394134169,874082.1958432416,2473361.198290928,
1729,2024-12-31,Workers compensation insurance,2018,1,3650255.838731057,1453555.256445404,2196700.582285653,
1729,2024-12-31,Workers compensation insurance,2018,2,3931181.5265583256,1843535.5465481617,2087645.980010164,
1729,2024-12-31,Workers compensation insurance,2018,3,3972830.8298520287,2551776.771292411,1421054.058559618,
1729,2024-12-31,Workers compensation insurance,2018,4,5239275.00917797,3495556.262018899,1743718.7471590708,
1729,2024-12-31,Workers compensation insurance,2018,5,4679909.157683317,4491551.940213111,188357.2174702054,
1729,2024-12-31,Workers compensation insurance,2018,6,4977486.220357495,4402871.486666288,574614.7336912071,9236441.38425772
1729,2024-12-31,Workers compensation insurance,2019,0,5472751.281139452,168451.83940404543,5304299.441735406,
1729,2024-12-31,Workers compensation insurance,2019,1,7310944.462945143,3077045.398016083,4233899.06492906,
1729,2024-12-31,Workers compensation insurance,2019,2,8056736.787518255,4280525.670907375,3776211.116610881,
1729,2024-12-31,Workers compensation insurance,2019,3,7889139.272753537,5082526.658173412,2806612.6145801246,
1729,2024-12-31,Workers compensation insurance,2019,4,9226755.699557569,6025079.02748325,3201676.672074319,
1729,2024-12-31,Workers compensation insurance,2019,5,11340639.928958075,7259233.973656783,4081405.955301294,20229777.36793927
1729,2024-12-31,Workers compensation insurance,2020,0,1264120.674340857,205545.38648713272,1058575.2878537243,
1729,2024-12-31,Workers compensation insurance,2020,1,1315090.072626599,495725.1895464049,819364.8830801942,
1729,2024-12-31,Workers compensation insurance,2020,2,1306118.867656676,593913.5584037086,712205.3092529675,
1729,2024-12-31,Workers compensation insurance,2020,3,1596294.1162487208,786632.9487451891,809661.1675035317,
1729,2024-12-31,Workers compensation insurance,2020,4,1831333.8001887412,1350672.1172725705,480661.6829161712,3543286.490032999
1729,2024-12-31,Workers compensation insurance,2021,0,7083195.566667358,1529440.4382602847,5553755.128407074,
1729,2024-12-31,Workers compensation insurance,2021,1,10274322.999280628,3688327.326760528,6585995.6725201,
1729,2024-12-31,Workers compensation insurance,2021,2,10292949.32639643,4621362.932334665,5671586.394061765,
1729,2024-12-31,Workers compensation insurance,2021,3,10418498.11760233,7928966.580659976,2489531.536942353,25748971.539559897
1729,2024-12-31,Workers compensation insurance,2022,0,2249992.083267267,629208.4761055751,1620783.607161692,
1729,2024-12-31,Workers compensation insurance,2022,1,2860376.7453913223,1128777.1023336153,1731599.643057707,
1729,2024-12-31,Workers compensation insurance,2022,2,3618631.344777936,1331637.163996088,2286994.180781848,8241476.802041249
1729,2024-12-31,Workers compensation insurance,2023,0,2019233.7714130168,57358.99686336383,1961874.774549653,
1729,2024-12-31,Workers compensation insurance,2023,1,2868697.0758929807,1398374.1921021417,1470322.883790839,9499239.81291468
1729,2024-12-31,Workers compensation insurance,2024,0,3655869.0243556327,209793.8464809729,3446075.17787466,19780697.40072827
1729,2024-12-31,Medical expense insurance,2015,0,4004933.726938663,596910.1751821975,3408023.551756466,
1729,2024-12-31,Medical expense insurance,2015,1,4540776.954427028,1505858.3122122302,3034918.642214798,
1729,2024-12-31,Medical expense insurance,2015,2,5271356.099405468,2386534.0561822774,2884822.04322319,
1729,2024-12-31,Medical expense insurance,2015,3,6039427.325181268,3804706.825717779,2234720.4994634893,
1729,2024-12-31,Medical expense insurance,2015,4,5441045.2692441335,4081289.017786536,1359756.2514575971,
1729,2024-12-31,Medical expense insurance,2015,5,5642963.413295896,4811009.091081577,831954.3222143184,
1729,2024-12-31,Medical expense insurance,2015,6,7161074.105393872,7416585.60758759,-255511.50219371825,
1729,2024-12-31,Medical expense insurance,2015,7,8153403.734199167,8320484.8912154175,-167081.1570162503,
1729,2024-12-31,Medical expense insurance,2015,8,8886946.570241071,7651060.907181591,1235885.6630594805,
1729,2024-12-31,Medical expense insurance,2015,9,8981525.975139715,7441854.362548143,1539671.612591572,12467352.669342965
1729,2024-12-31,Medical expense insurance,2016,0,2781458.44828356,429633.4482703256,2351825.000013234,
1729,2024-12-31,Medical expense insurance,2016,1,3302141.6715949406,1550152.6380580314,1751989.0335369091,
1729,2024-12-31,Medical expense insurance,2016,2,4251401.665438073,1889419.2269225048,2361982.438515568,
1729,2024-12-31,Medical expense insurance,2016,3,4690630.501478586,2573587.598870676,2117042.9026079103,
1729,2024-12-31,Medical expense insurance,2016,4,4943870.530285079,2992006.295789089,1951864.2344959893,
1729,2024-12-31,Medical expense insurance,2016,5,5342928.202989666,4800835.951272115,542092.2517175507,
1729,2024-12-31,Medical expense insurance,2016,6,6375990.327386292,4587114.170529959,1788876.156856333,
1729,2024-12-31,Medical expense insurance,2016,7,5428640.685279986,6010620.674412735,-581979.9891327489,
1729,2024-12-31,Medical expense insurance,2016,8,6128473.742967256,7207244.526557632,-1078770.7835903754,10154110.66199696
1729,2024-12-31,Medical expense insurance,2017,0,4434619.387760888,656398.2142714167,3778221.173489471,
1729,2024-12-31,Medical expense insurance,2017,1,6702705.608145297,2514377.6178974323,4188327.990247864,
1729,2024-12-31,Medical expense insurance,2017,2,7243695.094249159,4009943.262662325,3233751.831586834,
1729,2024-12-31,Medical expense insurance,2017,3,8020905.741220466,4948207.013114266,3072698.7281062,
1729,2024-12-31,Medical expense insurance,2017,4,9879067.840686625,5976739.196444512,3902328.644242113,
1729,2024-12-31,Medical expense insurance,2017,5,10107797.133036047,7646729.085582015,2461068.047454032,
1729,2024-12-31,Medical expense insurance,2017,6,10132664.949056031,9232859.02477359,899805.9242824428,
1729,2024-12-31,Medical expense insurance,2017,7,13331584.180157855,12645933.806174124,685650.3739837315,19225844.264932424
1729,2024-12-31,Medical expense insurance,2018,0,9885935.288739812,348684.8931732437,9537250.39556657,
1729,2024-12-31,Medical expense insurance,2018,1,11424323.88073042,4314595.2152026,7109728.665527821,
1729,2024-12-31,Medical expense insurance,2018,2,13053489.19685312,6167329.301261667,6886159.895591453,
1729,2024-12-31,Medical expense insurance,2018,3,12059089.510019086,8117089.967412265,3941999.542606821,
1729,2024-12-31,Medical expense insurance,2018,4,15093341.006966896,9906326.695084352,5187014.311882544,
1729,2024-12-31,Medical expense insurance,2018,5,15401217.581890283,11104812.456693564,4296405.12519672,
1729,2024-12-31,Medical expense insurance,2018,6,16767549.572810424,16148740.956459131,618808.6163512915,27927041.16860117
1729,2024-12-31,Medical expense insurance,2019,0,7409855.566542082,1461759.546660048,5948096.019882034,
1729,2024-12-31,Medical expense insurance,2019,1,5088752.00013022,2651820.3002815563,2436931.699848664,
1729,2024-12-31,Medical expense insurance,2019,2,5793633.786334264,3415748.0879548565,2377885.698379408,
1729,2024-12-31,Medical expense insurance,2019,3,8424535.231774112,4748621.875130869,3675913.3566432423,
1729,2024-12-31,Medical expense insurance,2019,4,6857756.2228493225,6045134.352082839,812621.8707664832,
1729,2024-12-31,Medical expense insurance,2019,5,8377874.148738528,7908608.581420917,469265.5673176106,16962184.133136824
1729,2024-12-31,Medical expense insurance,2020,0,5373797.888300693,1376680.7043051042,3997117.1839955887,
1729,2024-12-31,Medical expense insurance,2020,1,4585108.052834673,2417957.8173961025,2167150.2354385704,
1729,2024-12-31,Medical expense insurance,2020,2,6928884.626920931,2748273.1711244727,4180611.455796458,
1729,2024-12-31,Medical expense insurance,2020,3,6521945.537338884,4675163.695703028,1846781.841635856,
1729,2024-12-31,Medical expense insurance,2020,4,7413679.687102206,4915600.462042049,2498079.225060157,16133944.45283061
1729,2024-12-31,Medical expense insurance,2021,0,2453515.6504563466,543174.505454364,1910341.1450019823,
1729,2024-12-31,Medical expense insurance,2021,1,2032119.7811127356,852276.3844150258,1179843.3966977096,
1729,2024-12-31,Medical expense insurance,2021,2,2104173.9460027544,1173226.4113275097,930947.5346752448,
1729,2024-12-31,Medical expense insurance,2021,3,2379196.528872381,1421498.890581289,957697.638291092,5806903.149634518
1729,2024-12-31,Medical expense insurance,2022,0,1767424.47583334,244528.32377850747,1522896.1520548323,
1729,2024-12-31,Medical expense insurance,2022,1,1321235.826046694,631331.5155668198,689904.3104798743,
1729,2024-12-31,Medical expense insurance,2022,2,1985404.5192287425,882079.180457872,1103325.3387708706,4403084.649541867
1729,2024-12-31,Medical expense insurance,2023,0,10538077.403624631,725015.1065837961,9813062.297040837,
1729,2024-12-31,Medical expense insurance,2023,1,9240252.927456131,3708139.973280635,5532112.954175498,29775525.79060386
1729,2024-12-31,Medical expense insurance,2024,0,3661946.811572932,625528.9925229239,3036417.8190500084,9158710.203364398
1729,2024-12-31,Income protection insurance,2015,0,6022777.512868309,975251.8005148196,5047525.712353489,
1729,2024-12-31,Income protection insurance,2015,1,6757267.773218027,3078140.778720691,3679126.994497336,
1729,2024-12-31,Income protection insurance,2015,2,6586465.951360429,3274169.2977399514,3312296.6536204773,
1729,2024-12-31,Income protection insurance,2015,3,9348303.89679237,4970672.52381009,4377631.372982281,
1729,2024-12-31,Income protection insurance,2015,4,7746787.766412944,7008587.358265023,738200.4081479218,
1729,2024-12-31,Income protection insurance,2015,5,10319937.527859494,8318595.146969064,2001342.38089043,
1729,2024-12-31,Income protection insurance,2015,6,11355964.499881132,11179210.088584509,176754.41129662655,
1729,2024-12-31,Income protection insurance,2015,7,11721448.97040074,12481871.68029998,-760422.7098992392,
1729,2024-12-31,Income protection insurance,2015,8,12546025.374866296,11313679.533661451,1232345.8412048444,
1729,2024-12-31,Income protection insurance,2015,9,11978196.7441479,11230563.039072368,747633.7050755322,19336923.84281908
1729,2024-12-31,Income protection insurance,2016,0,1887922.6610254983,166143.9312088929,1721778.729816605,
1729,2024-12-31,Income protection insurance,2016,1,3862421.8391697486,1163322.8772660538,2699098.961903695,
1729,2024-12-31,Income protection insurance,2016,2,4334000.217959297,1898144.3923477735,2435855.825611524,
1729,2024-12-31,Income protection insurance,2016,3,3989141.8061879454,2559729.800220352,1429412.005967595,
1729,2024-12-31,Income protection insurance,2016,4,4430184.15662261,2826521.8278907174,1603662.3287318926,
1729,2024-12-31,Income protection insurance,2016,5,5202415.028704608,3638792.19762261,1563622.831081998,
1729,2024-12-31,Income protection insurance,2016,6,6301972.786055637,4980181.7844924,1321791.001563237,
1729,2024-12-31,Income protection insurance,2016,7,6729080.927550607,5242034.552848597,1487046.3747020103,
1729,2024-12-31,Income protection insurance,2016,8,7169630.841137419,5485471.3353369925,1684159.505800427,9607321.119639926
1729,2024-12-31,Income protection insurance,2017,0,8627988.020712247,840945.1809385929,7787042.839773654,
1729,2024-12-31,Income protection insurance,2017,1,10377534.226144,4158987.676222687,6218546.549921313,
1729,2024-12-31,Income protection insurance,2017,2,10519568.538167523,5583731.153641263,4935837.38452626,
1729,2024-12-31,Income protection insurance,2017,3,10458218.268242529,7759497.461029228,2698720.807213301,
1729,2024-12-31,Income protection insurance,2017,4,14525630.856982194,9834316.013971472,4691314.843010722,
1729,2024-12-31,Income protection insurance,2017,5,13651561.25782304,11391632.597293586,2259928.6605294533,
1729,2024-12-31,Income protection insurance,2017,6,12429932.294025276,12608799.26660083,-178866.97257555462,
1729,2024-12-31,Income protection insurance,2017,7,16007411.379349217,13003464.90201046,3003946.4773387574,26041684.805497423
1729,2024-12-31,Income protection insurance,2018,0,2352349.672222908,541798.2320876932,1810551.4401352145,
1729,2024-12-31,Income protection insurance,2018,1,4136529.839301992,1417193.8413933923,2719335.9979086,
1729,2024-12-31,Income protection insurance,2018,2,4240932.895552453,2091580.7114264984,2149352.1841259543,
1729,2024-12-31,Income protection insurance,2018,3,4059772.842519418,2537019.536116131,1522753.3064032868,
1729,2024-12-31,Income protection insurance,2018,4,6183775.931356337,4293052.518614331,1890723.4127420057,
1729,2024-12-31,Income protection insurance,2018,5,6506855.0671708565,3931033.867420197,2575821.19975066,
1729,2024-12-31,Income protection insurance,2018,6,6261342.4159774855,5865939.246186832,395403.1697906535,11139317.033088036
1729,2024-12-31,Income protection insurance,2019,0,4919253.00866441,514343.6546603864,4404909.354004024,
1729,2024-12-31,Income protection insurance,2019,1,5786013.325846205,2386652.0513489647,3399361.274497241,
1729,2024-12-31,Income protection insurance,2019,2,7029485.249742313,4497675.701413197,2531809.548329116,
1729,2024-12-31,Income protection insurance,2019,3,9017745.32528825,5817007.173970429,3200738.15131782,
1729,2024-12-31,Income protection insurance,2019,4,11036616.943276756,5648995.697243147,5387621.246033609,
1729,2024-12-31,Income protection insurance,2019,5,9823381.831351424,8444763.989466807,1378617.8418846186,20263433.379260644
1729,2024-12-31,Income protection insurance,2020,0,7174233.253771392,1061510.9581724536,6112722.295598938,
1729,2024-12-31,Income protection insurance,2020,1,10473236.91397047,4162969.920294751,6310266.99367572,
1729,2024-12-31,Income protection insurance,2020,2,12544378.136516888,5544059.77270221,7000318.363814678,
1729,2024-12-31,Income protection insurance,2020,3,10734249.138649393,6243892.864930649,4490356.273718744,
1729,2024-12-31,Income protection insurance,2020,4,14430938.962968867,10481152.0000192,3949786.962949667,28620737.891095307
1729,2024-12-31,Income protection insurance,2021,0,1089745.2651407048,184292.2784794528,905452.986661252,
1729,2024-12-31,Income protection insurance,2021,1,1389217.8099884745,596191.4146840092,793026.3953044653,
1729,2024-12-31,Income protection insurance,2021,2,1827104.8980536573,860649.1148784114,966455.783175246,
1729,2024-12-31,Income protection insurance,2021,3,1755970.143008101,965324.2984393508,790645.8445687504,4344087.041122181
1729,2024-12-31,Income protection insurance,2022,0,2441966.2850254467,409837.6471122527,2032128.637913194,
