Syndicate,Line_of_Business,Development_Year,Avg_Dev_Factor,Median_Dev_Factor,Std_Dev_Factor
33,Fire and other damage to property insurance,7,1.0568190172036958,1.0568190172036958,0.0052811104230464844
33,Fire and other damage to property insurance,8,1.0773482274553812,1.0773482274553812,
33,Income protection insurance,0,1.2150530393291576,1.1679009237555515,0.18288243383803818
33,Income protection insurance,1,1.1501802888656514,1.1494502209603281,0.01907204369657384
33,Income protection insurance,2,1.0887901215410507,1.0944259259240952,0.030743513711172715
33,Income protection insurance,3,1.1168204309223597,1.121444275039563,0.03146899140720108
33,Income protection insurance,4,1.0945772384445427,1.1052081982004474,0.026451822951305243
33,Income protection insurance,5,1.0756627617553873,1.0751792008916827,0.01760148439714925
33,Income protection insurance,6,1.0909250325177233,1.0864759499506658,0.0185954327382562
33,Income protection insurance,7,1.0725230013019513,1.0725230013019513,0.0182173118945483
33,Income protection insurance,8,1.0385268588080006,1.0385268588080006,
33,Medical expense insurance,0,1.1039694193387815,1.117535635073257,0.12017387751238144
33,Medical expense insurance,1,1.112214877666625,1.1064122134422867,0.03695730800925162
33,Medical expense insurance,2,1.1405144301624923,1.152871304336323,0.03420608714676816
33,Medical expense insurance,3,1.0965635761103394,1.0991901708722038,0.033668486758376456
33,Medical expense insurance,4,1.0960167221968125,1.0850363796799507,0.04235346255841747
33,Medical expense insurance,5,1.0880784009664686,1.0830673834389386,0.022553410350963622
33,Medical expense insurance,6,1.0632636475053217,1.0595590887867903,0.01644695769387664
33,Medical expense insurance,7,1.0867962678908993,1.0867962678908993,0.007187939012450247
33,Medical expense insurance,8,1.0444853740117417,1.0444853740117417,
33,Miscellaneous financial loss,0,1.0969130561168423,0.9715104836531343,0.21722916176486676
33,Miscellaneous financial loss,1,1.1322710810574081,1.1258432984660232,0.027740350962638955
33,Miscellaneous financial loss,2,1.1114080772874055,1.1002589895248613,0.032672567544173
33,Miscellaneous financial loss,3,1.097093060690742,1.10152354938168,0.019144430423765645
33,Miscellaneous financial loss,4,1.0914557897084691,1.0975137519889617,0.02715738091687041
33,Miscellaneous financial loss,5,1.0902692230823914,1.0926347753794525,0.015930026000497702
33,Miscellaneous financial loss,6,1.0807721006248492,1.0831278495125023,0.007369440347941688
33,Miscellaneous financial loss,7,1.077338008855543,1.077338008855543,0.015582943391357905
33,Miscellaneous financial loss,8,1.0696585706540394,1.0696585706540394,
33,Motor vehicle liability insurance,0,1.2029853224675497,1.1003014364090542,0.2664200660289564
33,Motor vehicle liability insurance,1,1.1260137893853153,1.120747007827084,0.031262187055615294
33,Motor vehicle liability insurance,2,1.1183003183182014,1.1383371894342489,0.0393072437716637
33,Motor vehicle liability insurance,3,1.1096692162934716,1.1086838348294337,0.02551495566462884
33,Motor vehicle liability insurance,4,1.0987076943166272,1.1129640040556998,0.02627666289938759
33,Motor vehicle liability insurance,5,1.094426580823838,1.1009746217482868,0.028640169979574574
33,Motor vehicle liability insurance,6,1.074465638283435,1.0911858764239228,0.03146769187074854
33,Motor vehicle liability insurance,7,1.0648958236927033,1.0648958236927033,0.02565924122123068
33,Motor vehicle liability insurance,8,1.0835003396097933,1.0835003396097933,
33,Workers compensation insurance,0,1.2784909400135547,1.3661893996334693,0.20013670775415793
33,Workers compensation insurance,1,1.1258483091611717,1.1202016204173726,0.0458355769439046
33,Workers compensation insurance,2,1.117197804903721,1.1034658603413459,0.0388972614017394
33,Workers compensation insurance,3,1.102190294854376,1.1005165429157975,0.04290628186394194
33,Workers compensation insurance,4,1.0908599764998481,1.0862068177615074,0.022743602216350776
33,Workers compensation insurance,5,1.0820611000888514,1.0870517028898894,0.025878145552065596
33,Workers compensation insurance,6,1.0826478553555285,1.0881913763498416,0.018007732511413032
33,Workers compensation insurance,7,1.0797412368949808,1.0797412368949808,0.021484241690160475
33,Workers compensation insurance,8,1.0388260813497838,1.0388260813497838,
218,Fire and other damage to property insurance,0,1.0907574097050003,1.008437531321793,0.1663872248336987
218,Fire and other damage to property insurance,1,1.1500429860888268,1.1528776120432156,0.028678631894472662
218,Fire and other damage to property insurance,2,1.1180700058698403,1.1209619840805514,0.0279499411509618
218,Fire and other damage to property insurance,3,1.0879080752370587,1.101386903003403,0.03262774993419549
218,Fire and other damage to property insurance,4,1.096411038802644,1.0924796711925948,0.03337259244156889
218,Fire and other damage to property insurance,5,1.0856463246290304,1.0815466952939432,0.01766002133367333
218,Fire and other damage to property insurance,6,1.072998512953043,1.0771449023757196,0.013913694485338225
218,Fire and other damage to property insurance,7,1.0926325028393986,1.0926325028393986,0.007197561068203831
218,Fire and other damage to property insurance,8,1.0379770420997252,1.0379770420997252,
218,Legal expenses insurance,0,1.2472360669303508,1.190971330062557,0.19789187876279823
218,Legal expenses insurance,1,1.0947620454781826,1.0858743530629633,0.030636136765022345
218,Legal expenses insurance,2,1.1272662835259928,1.119732236111763,0.02498451788767093
218,Legal expenses insurance,3,1.1108489906854582,1.1100393140951494,0.013335133629946528
218,Legal expenses insurance,4,1.086600454982983,1.079926160136971,0.020504195681359378
218,Legal expenses insurance,5,1.0760110558575167,1.0740525843962352,0.031592330553458094
218,Legal expenses insurance,6,1.0871733626969264,1.0885208565495799,0.023925714220029006
218,Legal expenses insurance,7,1.085191479346586,1.085191479346586,0.040399306907138034
218,Legal expenses insurance,8,1.0663267566463723,1.0663267566463723,
218,"Marine, aviation and transport insurance",0,1.3495809244812262,1.2765290333691013,0.21588544167512808
218,"Marine, aviation and transport insurance",1,1.118931081800929,1.1189026066744168,0.044307822457171714
218,"Marine, aviation and transport insurance",2,1.1166808863696953,1.1156600814767996,0.03027420279725931
218,"Marine, aviation and transport insurance",3,1.113575511481947,1.0970020418367035,0.036330607667730996
218,"Marine, aviation and transport insurance",4,1.0790502984297334,1.0857853103578983,0.02526662368143231
218,"Marine, aviation and transport insurance",5,1.1052361405251645,1.1021646227052764,0.018437290862178605
218,"Marine, aviation and transport insurance",6,1.0685410129273505,1.0797089691628567,0.025661740789287547
218,"Marine, aviation and transport insurance",7,1.0619943384876682,1.0619943384876682,0.008502609428966109
218,"Marine, aviation and transport insurance",8,1.0645317789904807,1.0645317789904807,
218,Miscellaneous financial loss,0,1.0793100955093644,0.9489986180428461,0.2716200131444053
218,Miscellaneous financial loss,1,1.1433223374438297,1.1392363050366474,0.03657907519174365
218,Miscellaneous financial loss,2,1.1159652066012882,1.136185857470969,0.03951291992424657
218,Miscellaneous financial loss,3,1.1136932603070837,1.1308340560861139,0.03722143481206908
218,Miscellaneous financial loss,4,1.082110832651383,1.0803368999836092,0.025658170687059337
218,Miscellaneous financial loss,5,1.0848358579867985,1.0856499420995376,0.029063565637330716
218,Miscellaneous financial loss,6,1.085625087260425,1.086166158505873,0.017816401287503697
218,Miscellaneous financial loss,7,1.076159302602347,1.076159302602347,0.028575905089128877
218,Miscellaneous financial loss,8,1.0592578905919612,1.0592578905919612,
218,Other motor insurance,0,1.2031490139546013,1.1787048105324256,0.20277707896686742
218,Other motor insurance,1,1.1414298005008272,1.1286174815136958,0.03402648808961856
218,Other motor insurance,2,1.1126238292822943,1.109576705111298,0.0290769573259331
218,Other motor insurance,3,1.1041914186546693,1.0992419035898333,0.022848097697534653
218,Other motor insurance,4,1.0985019586682423,1.0895390515059908,0.031158370443719018
218,Other motor insurance,5,1.0852048442884488,1.0892155685918627,0.015373200983037379
218,Other motor insurance,6,1.081430871330214,1.0977341307213675,0.0315184771505659
218,Other motor insurance,7,1.0759555956668376,1.0759555956668376,0.008466537948243941
218,Other motor insurance,8,1.0713348452211786,1.0713348452211786,
218,Workers compensation insurance,0,1.288067502172314,1.3389421013642284,0.3207756117147634
218,Workers compensation insurance,1,1.1159003241561043,1.1089738476124027,0.04000940848381332
218,Workers compensation insurance,2,1.1219877178331998,1.1192649623355844,0.04526247527866325
218,Workers compensation insurance,3,1.1104714800612803,1.104864785196038,0.03750802493706277
218,Workers compensation insurance,4,1.084700767874321,1.0873113047963046,0.01445102870760554
218,Workers compensation insurance,5,1.0953709425422729,1.1023261263306023,0.023481647350577402
218,Workers compensation insurance,6,1.0733799884793884,1.0717257148094494,0.008499907071616186
218,Workers compensation insurance,7,1.0790816795905314,1.0790816795905314,0.01694708558036569
218,Workers compensation insurance,8,1.060177420816329,1.060177420816329,
727,Assistance,0,1.0846666870726493,0.9563409937115475,0.20521997422217855
727,Assistance,1,1.1287038221445398,1.130676301114304,0.03996397165449107
727,Assistance,2,1.1146258330699144,1.106369692501822,0.045657298789330225
727,Assistance,3,1.1180278908488492,1.1173810004172389,0.019244801777772907
727,Assistance,4,1.0892507019100286,1.0785314640605317,0.024254142062586206
727,Assistance,5,1.0867680329299343,1.0841287941875613,0.01970845249900586
727,Assistance,6,1.0811107794781523,1.087841205586169,0.024516373093244212
727,Assistance,7,1.0647382171791744,1.0647382171791744,0.023711319872874122
727,Assistance,8,1.0535727652381535,1.0535727652381535,
727,Credit and suretyship insurance,0,1.2590863712372058,1.2945923912416437,0.26739421303009675
727,Credit and suretyship insurance,1,1.149631942952213,1.142043355683339,0.04434728034555148
727,Credit and suretyship insurance,2,1.0842781248613254,1.0841502868439272,0.029359179294388707
727,Credit and suretyship insurance,3,1.1409727964416148,1.143294459527771,0.009668244239589004
727,Credit and suretyship insurance,4,1.0815732158754479,1.0781566648327638,0.017912567580413152
727,Credit and suretyship insurance,5,1.0729873082014827,1.0702148467726258,0.025990187344988962
727,Credit and suretyship insurance,6,1.0878500432688778,1.0887714397565547,0.02516054613171943
727,Credit and suretyship insurance,7,1.0472383399895535,1.0472383399895535,0.0035422526418851575
727,Credit and suretyship insurance,8,1.0976325028857,1.0976325028857,
727,General liability insurance,0,1.1052973975702458,1.065353543477166,0.1830459278108362
727,General liability insurance,1,1.1401810879065373,1.1513564911291132,0.031699671231374356
727,General liability insurance,2,1.1225251037292256,1.1293063579904816,0.01965136021990124
727,General liability insurance,3,1.0954881787476907,1.0991591268832965,0.03347271386267343
727,General liability insurance,4,1.0842366591816375,1.0973776629341558,0.030943054326648955
727,General liability insurance,5,1.0940483675604353,1.090534293972464,0.017669543618499872
727,General liability insurance,6,1.0980634281560142,1.1121071062677663,0.026764273885396775
727,General liability insurance,7,1.0683334564985487,1.0683334564985487,0.0017031985339735999
727,General liability insurance,8,1.054026732615559,1.054026732615559,
727,Legal expenses insurance,0,1.279711152281077,1.3593011576310896,0.26968032851844637
727,Legal expenses insurance,1,1.133732866678995,1.124288169899124,0.03464757459084806
727,Legal expenses insurance,2,1.1147002935048547,1.1161903241048103,0.02786248416387341
727,Legal expenses insurance,3,1.11725794683092,1.128115914501243,0.03197992058293884
727,Legal expenses insurance,4,1.0937655631909435,1.0966983769200789,0.02164957192841572
727,Legal expenses insurance,5,1.0754646659810772,1.0752020642939453,0.028971311107517363
727,Legal expenses insurance,6,1.0804701810098998,1.0690027839914589,0.026703569708851783
727,Legal expenses insurance,7,1.0847008834420984,1.0847008834420984,0.05351247611846987
727,Legal expenses insurance,8,1.060579740718689,1.060579740718689,
727,Medical expense insurance,0,1.1566996822805256,1.1077381569277163,0.27205283888802245
727,Medical expense insurance,1,1.1201239795563618,1.1031466213297798,0.046585665583726
727,Medical expense insurance,2,1.1230940195067378,1.1244791946503665,0.0386373593989558
727,Medical expense insurance,3,1.0934526196091574,1.101166986250182,0.021030444077854326
727,Medical expense insurance,4,1.1188047636420784,1.1272627064239131,0.02137495995573739
727,Medical expense insurance,5,1.0766516036395835,1.0813863400821284,0.014742436652991355
727,Medical expense insurance,6,1.0832154655221136,1.0788118738114327,0.009745451662278345
727,Medical expense insurance,7,1.0732436227287128,1.0732436227287128,0.013238959514053981
727,Medical expense insurance,8,1.0622023382672836,1.0622023382672836,
727,Motor vehicle liability insurance,0,1.071168212250967,0.9714962695112875,0.20826864300832132
727,Motor vehicle liability insurance,1,1.1242644403344366,1.123305986617793,0.04424663626115784
727,Motor vehicle liability insurance,2,1.1032281611373707,1.1042849145477986,0.01928994635374708
727,Motor vehicle liability insurance,3,1.106070183734227,1.104688336039307,0.03083422810787685
727,Motor vehicle liability insurance,4,1.10521205857819,1.1065781464758349,0.010620424792154593
727,Motor vehicle liability insurance,5,1.0814632573101588,1.0842247087656618,0.01854233015138082
727,Motor vehicle liability insurance,6,1.0789009826611327,1.0788851813161062,0.015582968157213285
727,Motor vehicle liability insurance,7,1.0926534496100744,1.0926534496100744,0.028611763602505863
727,Motor vehicle liability insurance,8,1.030052697802739,1.030052697802739,
727,Workers compensation insurance,0,1.2661455738248537,1.145065468088437,0.24490196166584963
727,Workers compensation insurance,1,1.1354006043673897,1.14131077126166,0.03787787077311547
727,Workers compensation insurance,2,1.1016864816923764,1.093023635902483,0.04615153858385539
727,Workers compensation insurance,3,1.1276100270248888,1.1309424720903352,0.034404251450408846
727,Workers compensation insurance,4,1.0888998106676335,1.0941990930896097,0.044342605989582694
727,Workers compensation insurance,5,1.0677273002317544,1.0663866581435606,0.02412158708940358
727,Workers compensation insurance,6,1.0884833961275353,1.0817953319167488,0.025350785283050504
727,Workers compensation insurance,7,1.0623685988132272,1.0623685988132272,0.03758627512586707
727,Workers compensation insurance,8,1.0846287489167827,1.0846287489167827,
1183,Assistance,0,1.1648734861290924,1.1331738369241797,0.28480401878519673
1183,Assistance,1,1.1313651858336093,1.1437743972971601,0.03672302931209288
1183,Assistance,2,1.1219928034948283,1.1232021157690872,0.039211582777150526
1183,Assistance,3,1.098494644456655,1.095439459115377,0.040462685576000655
1183,Assistance,4,1.0952416313479252,1.0966012440198487,0.012446954821680407
1183,Assistance,5,1.0651911823306643,1.0672732551436965,0.015340203941922157
1183,Assistance,6,1.0994310006804515,1.1041537470564657,0.023583643224125806
1183,Assistance,7,1.0605993597633423,1.0605993597633423,0.010901911792241474
1183,Assistance,8,1.0923429086285035,1.0923429086285035,
1183,Credit and suretyship insurance,0,1.1654977860517517,1.1143890593702501,0.2668495405047024
1183,Credit and suretyship insurance,1,1.132556790107369,1.1318983476065192,0.04774687642189852
1183,Credit and suretyship insurance,2,1.1003013554730223,1.0940873078453284,0.0435044647252657
1183,Credit and suretyship insurance,3,1.1271063453318744,1.1280287418248278,0.03040127773559064
1183,Credit and suretyship insurance,4,1.0813684219573256,1.080501973272385,0.013729459153878734
1183,Credit and suretyship insurance,5,1.0792213187767474,1.0831373260587758,0.01245479236144882
1183,Credit and suretyship insurance,6,1.0916724082161564,1.0929208199873945,0.002735886907120163
1183,Credit and suretyship insurance,7,1.0600147300302671,1.0600147300302671,0.04058948003978239
1183,Credit and suretyship insurance,8,1.0811122003727833,1.0811122003727833,
1183,General liability insurance,0,1.152054312696233,1.099936050121452,0.20225450728216712
1183,General liability insurance,1,1.1314172173481176,1.1280869734084755,0.053691370404026814
1183,General liability insurance,2,1.1053522282481727,1.117317809000095,0.024609062627585363
1183,General liability insurance,3,1.1119485584126843,1.1098183397545571,0.02044418870258627
1183,General liability insurance,4,1.0963469975015603,1.0792130289527921,0.03005658156874358
1183,General liability insurance,5,1.0846232445872075,1.081308768601597,0.029918420373888078
1183,General liability insurance,6,1.0783565690729933,1.092334155695706,0.02847163171687257
1183,General liability insurance,7,1.0716779526292868,1.0716779526292868,0.003431139258020531
1183,General liability insurance,8,1.050862972189689,1.050862972189689,
1183,"Marine, aviation and transport insurance",0,1.2007466404287326,1.0937366350208795,0.2604329466955973
1183,"Marine, aviation and transport insurance",1,1.1380323245676411,1.1476806800541852,0.052111820820630934
1183,"Marine, aviation and transport insurance",2,1.1187545024566996,1.1100405991785691,0.052245934893978455
1183,"Marine, aviation and transport insurance",3,1.097615251530587,1.0933969731637236,0.03543260670669659
1183,"Marine, aviation and transport insurance",4,1.0724827941923927,1.0740424430889794,0.021713502024108062
1183,"Marine, aviation and transport insurance",5,1.1138783953823554,1.116468974994683,0.009662096800969274
1183,"Marine, aviation and transport insurance",6,1.0561101673660154,1.0621987566183466,0.011783023227804286
1183,"Marine, aviation and transport insurance",7,1.0947419213590117,1.0947419213590117,0.02115206404296249
1183,"Marine, aviation and transport insurance",8,1.0600143658259331,1.0600143658259331,
1183,Miscellaneous financial loss,0,1.1306593287043816,1.05508059485116,0.25439511639714446
1183,Miscellaneous financial loss,1,1.125960919131587,1.1153435844163744,0.058792868595217304
1183,Miscellaneous financial loss,2,1.1165020165593393,1.107470077040103,0.041417296701343455
1183,Miscellaneous financial loss,3,1.0953810634770946,1.1004594556544673,0.01740118820432707
1183,Miscellaneous financial loss,4,1.1091713943627097,1.1095511501958093,0.020510558910194786
1183,Miscellaneous financial loss,5,1.0857832407189032,1.0855157330850935,0.038015441366285
1183,Miscellaneous financial loss,6,1.087000752617491,1.1110266446373926,0.04309521730361198
1183,Miscellaneous financial loss,7,1.0409099550257794,1.0409099550257794,0.012470236091475377
1183,Miscellaneous financial loss,8,1.085270926581483,1.085270926581483,
1183,Motor vehicle liability insurance,0,1.1936301657824748,0.993964386419916,0.33854317928322875
1183,Motor vehicle liability insurance,1,1.144635232467833,1.145232728554129,0.04177032524335259
1183,Motor vehicle liability insurance,2,1.1307176228834221,1.137013865721588,0.03211317405859972
1183,Motor vehicle liability insurance,3,1.0888993759182046,1.0885289629045518,0.030768065885413937
1183,Motor vehicle liability insurance,4,1.0962011180616915,1.0900557707954157,0.02191801601309528
1183,Motor vehicle liability insurance,5,1.0847446332432353,1.0849225074767395,0.009743077112277414
1183,Motor vehicle liability insurance,6,1.0648557013798057,1.069270047033191,0.021554835022445616
1183,Motor vehicle liability insurance,7,1.1037156366401493,1.1037156366401493,0.007028155576658398
1183,Motor vehicle liability insurance,8,1.0607316582324708,1.0607316582324708,
1183,Other motor insurance,0,1.1456508390576516,1.151829049365709,0.2508103646078287
1183,Other motor insurance,1,1.1445409575318137,1.1499313876604749,0.053188213509336155
1183,Other motor insurance,2,1.1010136008438351,1.1005223819785948,0.027955833095561725
1183,Other motor insurance,3,1.1099319696790577,1.1131667174143423,0.026229177319706795
1183,Other motor insurance,4,1.0910249778754033,1.0962150467913425,0.01713965479143398
1183,Other motor insurance,5,1.0709706463415758,1.0625222470536826,0.022172079723954356
1183,Other motor insurance,6,1.0830818479985833,1.0888466226641154,0.017182279832942647
1183,Other motor insurance,7,1.0978313491037366,1.0978313491037366,0.009969809778902692
1183,Other motor insurance,8,1.0689317330851094,1.0689317330851094,
1221,Assistance,0,1.2000295094009192,1.0451387474308453,0.27005910375166586
1221,Assistance,1,1.1286171830771776,1.1428117477370443,0.03505784075341859
1221,Assistance,2,1.1110962822602979,1.0998592884926413,0.03484906694707062
1221,Assistance,3,1.105119271131033,1.104070749539702,0.021995801816299707
1221,Assistance,4,1.0856427740831063,1.093220132456329,0.03332026895149956
1221,Assistance,5,1.101626080690257,1.0974725422351779,0.027273772644749315
1221,Assistance,6,1.0694728688869384,1.0650722638002896,0.02519993279592293
1221,Assistance,7,1.076107987118632,1.076107987118632,0.014231139897767996
1221,Assistance,8,1.0558987367279165,1.0558987367279165,
1221,Fire and other damage to property insurance,0,1.11646921516864,0.9658858604322996,0.24598872794987245
1221,Fire and other damage to property insurance,1,1.1259786104787701,1.1196392428822666,0.03446536238166798
1221,Fire and other damage to property insurance,2,1.1147615552778791,1.1202834568975162,0.031978920578854465
1221,Fire and other damage to property insurance,3,1.1068307027220463,1.0989473514205095,0.03767619650429108
1221,Fire and other damage to property insurance,4,1.0888906807576946,1.0921983846572902,0.019223549229830012
1221,Fire and other damage to property insurance,5,1.1049928256951214,1.111409139639244,0.028847600334445913
1221,Fire and other damage to property insurance,6,1.0657228773386347,1.0747361776148323,0.015677918540574546
1221,Fire and other damage to property insurance,7,1.0622929783804662,1.0622929783804662,0.02032501861744476
1221,Fire and other damage to property insurance,8,1.082008662699233,1.082008662699233,
1221,Legal expenses insurance,0,1.335509009587283,1.4326057084766042,0.1795721585271303
1221,Legal expenses insurance,1,1.1095183280086567,1.106430067332539,0.029523610408315654
1221,Legal expenses insurance,2,1.1322467217640604,1.1262412787225502,0.023122680935408944
1221,Legal expenses insurance,3,1.121545733201599,1.1285171240903056,0.03590238203435307
1221,Legal expenses insurance,4,1.0876004901903742,1.0870193906001169,0.027391580383337787
1221,Legal expenses insurance,5,1.0860342366464781,1.088718404267913,0.031777772033932124
1221,Legal expenses insurance,6,1.0856116336423707,1.0710071717650302,0.0334135441117457
1221,Legal expenses insurance,7,1.0647958928934438,1.0647958928934438,0.016815368842803595
1221,Legal expenses insurance,8,1.0552642008705662,1.0552642008705662,
1221,"Marine, aviation and transport insurance",0,1.2926675872418067,1.2422990528363105,0.2520259673100941
1221,"Marine, aviation and transport insurance",1,1.1549762852074101,1.1571554754444255,0.04406724944724158
1221,"Marine, aviation and transport insurance",2,1.1181166909270652,1.1280088234360977,0.025616156418693675
1221,"Marine, aviation and transport insurance",3,1.0906111840530222,1.0902935414822488,0.022626143936048858
1221,"Marine, aviation and transport insurance",4,1.118678354091513,1.12511442027984,0.016408774736602717
1221,"Marine, aviation and transport insurance",5,1.0699952608414993,1.0773717050260234,0.015243488412602077
1221,"Marine, aviation and transport insurance",6,1.0977125911333765,1.1045820278306988,0.017642092525898295
1221,"Marine, aviation and transport insurance",7,1.0547816527982352,1.0547816527982352,0.003496640456155191
1221,"Marine, aviation and transport insurance",8,1.0485407348352511,1.0485407348352511,
1221,Medical expense insurance,0,1.2206466944487193,1.3187327889760465,0.2222876305614198
1221,Medical expense insurance,1,1.1333027982027448,1.1306409634552586,0.05358770651799935
1221,Medical expense insurance,2,1.099639064627181,1.108937591978808,0.03240217485894409
1221,Medical expense insurance,3,1.1157847148800881,1.1149232674473621,0.019548837723397425
1221,Medical expense insurance,4,1.0797973922542754,1.0750913148399572,0.019638949032982498
1221,Medical expense insurance,5,1.09790087173936,1.0982669940170373,0.023076893555961243
1221,Medical expense insurance,6,1.0745724303192221,1.0837274879314094,0.016371450626105483
1221,Medical expense insurance,7,1.0657941248170881,1.0657941248170881,0.035503215706733454
1221,Medical expense insurance,8,1.0617672996341263,1.0617672996341263,
1221,Miscellaneous financial loss,0,1.1850827067062444,1.0719185775661464,0.2711508178331366
1221,Miscellaneous financial loss,1,1.1283754141830362,1.1276130759517315,0.025617259174755734
1221,Miscellaneous financial loss,2,1.1103435980862284,1.1227559541865755,0.028958512102338536
1221,Miscellaneous financial loss,3,1.0990044598807251,1.1102513357015185,0.030198879421273677
1221,Miscellaneous financial loss,4,1.09565599548248,1.0993901660300576,0.03404802191839614
1221,Miscellaneous financial loss,5,1.0774955332954868,1.0771865031124843,0.02745947191046731
1221,Miscellaneous financial loss,6,1.0757463757976933,1.076753542824938,0.006673852518810761
1221,Miscellaneous financial loss,7,1.0800309220858377,1.0800309220858377,0.03766007282556293
1221,Miscellaneous financial loss,8,1.0817841150214729,1.0817841150214729,
1458,Assistance,0,1.1123350720922793,1.1024041853386715,0.22277223637052884
1458,Assistance,1,1.1297139067117208,1.125520009261241,0.039651641802726977
1458,Assistance,2,1.1301776027544737,1.1138232190683264,0.033688240304744654
1458,Assistance,3,1.1107402622143783,1.109843710162214,0.01580897600415026
1458,Assistance,4,1.082881553923794,1.0830145663860091,0.01924174149493189
1458,Assistance,5,1.0780300549520547,1.0699794313976323,0.026854046159233542
1458,Assistance,6,1.0773568021910862,1.0692747005884344,0.02642905075621795
1458,Assistance,7,1.0810104090863064,1.0810104090863064,0.0045354522394296225
1458,Assistance,8,1.056750298540838,1.056750298540838,
1458,General liability insurance,0,1.097399271068194,1.089878881364148,0.14312848322086585
1458,General liability insurance,1,1.1363828836476597,1.1433004451316378,0.03908523888295617
1458,General liability insurance,2,1.1098895569632585,1.097389850282934,0.03959639751151997
1458,General liability insurance,3,1.0849718802078396,1.0798506598195305,0.02579489217273384
1458,General liability insurance,4,1.1065934552896775,1.118499321354698,0.0210683021260311
1458,General liability insurance,5,1.091252057956626,1.0826378661378346,0.025763148964174164
1458,General liability insurance,6,1.067921239065744,1.058481836531729,0.01635564654426396
1458,General liability insurance,7,1.0665959165737384,1.0665959165737384,0.01700707800669389
1458,General liability insurance,8,1.0779456053594298,1.0779456053594298,
1458,Income protection insurance,0,1.2308191433979507,1.1630196802434334,0.30247828535405413
1458,Income protection insurance,1,1.1175275334913484,1.1197572313139128,0.041166180400029305
1458,Income protection insurance,2,1.1210627547704353,1.1103016415389657,0.0368457623062858
1458,Income protection insurance,3,1.1085862160709856,1.1067143225726732,0.02987634431891463
1458,Income protection insurance,4,1.083672751042724,1.0889863444587602,0.02799968325720696
1458,Income protection insurance,5,1.0631492168267171,1.054194202920184,0.029042164479443133
1458,Income protection insurance,6,1.0874396344354866,1.0862474118839227,0.004199944972860569
1458,Income protection insurance,7,1.071700576303277,1.071700576303277,0.02137615269464994
1458,Income protection insurance,8,1.068755177051434,1.068755177051434,
1458,"Marine, aviation and transport insurance",0,1.0926631671795564,1.0090140183170866,0.19718893852968084
1458,"Marine, aviation and transport insurance",1,1.1245153714218175,1.117131058354053,0.03518969378170745
1458,"Marine, aviation and transport insurance",2,1.1305705582916221,1.1346356858112974,0.030092686815501927
1458,"Marine, aviation and transport insurance",3,1.1063296134542318,1.116481999138594,0.03820797338753616
1458,"Marine, aviation and transport insurance",4,1.0862056025617632,1.0801573509408195,0.022141164987298432
1458,"Marine, aviation and transport insurance",5,1.0814934415204098,1.078513609952239,0.03079519633857071
1458,"Marine, aviation and transport insurance",6,1.0925762334347282,1.08334798759371,0.01760757545635261
1458,"Marine, aviation and transport insurance",7,1.060680525109997,1.060680525109997,0.018445923839598838
1458,"Marine, aviation and transport insurance",8,1.0686304109141855,1.0686304109141855,
1458,Medical expense insurance,0,1.3310233046895659,1.4547775141143124,0.2467391008600461
1458,Medical expense insurance,1,1.1198434351114415,1.1209989184988283,0.04757969031728908
