Syndicate,Reporting_Date,Fund_ID,Fund_Name,Fund_Type,Fund_Manager,Total_Value,Look_Through_Available,Underlying_Equities_Pct,Underlying_Bonds_Pct
1458,2024-12-31,1458-FUND-002,Investment Fund 2,Mixed fund,Manager_39,28841755.02299492,Yes,8.554923740169697,39.46057633454488
1458,2024-12-31,1458-FUND-003,Investment Fund 3,Real estate fund,Manager_24,18387905.029941108,Partial,29.873438590236155,41.41261489732626
1458,2024-12-31,1458-FUND-004,Investment Fund 4,Infrastructure fund,Manager_9,2650586.1243039365,Partial,10.78528209444271,48.57381335690307
1458,2024-12-31,1458-FUND-005,Investment Fund 5,Private equity fund,Manager_33,12602789.608781144,Partial,13.009880670469489,53.47252344172816
1458,2024-12-31,1458-FUND-006,Investment Fund 6,Infrastructure fund,Manager_38,7647692.126514472,No,4.8300480164886,39.05944772103333
1458,2024-12-31,1458-FUND-007,Investment Fund 7,Equity fund,Manager_16,7715881.370474325,No,38.50883959537092,24.006748174194662
1458,2024-12-31,1458-FUND-008,Investment Fund 8,Mixed fund,Manager_38,18626866.11864105,Partial,91.0703239774428,3.383899530809505
1458,2024-12-31,1458-FUND-009,Investment Fund 9,Private equity fund,Manager_16,18844352.510192268,Yes,58.61311449523985,5.740983700797642
1458,2024-12-31,1458-FUND-010,Investment Fund 10,Equity fund,Manager_12,20529506.63527466,No,43.69226664202967,7.041594481830117
1458,2024-12-31,1458-FUND-011,Investment Fund 11,Real estate fund,Manager_17,35705170.1780248,No,34.20364138333595,18.370412621832877
1458,2024-12-31,1458-FUND-012,Investment Fund 12,Hedge fund,Manager_24,5641449.106407694,Partial,29.25485985091352,31.947705691199808
2001,2024-12-31,2001-FUND-001,Investment Fund 1,Real estate fund,Manager_44,8703763.078236984,Yes,62.08545383654736,5.36285308016793
2001,2024-12-31,2001-FUND-002,Investment Fund 2,Mixed fund,Manager_31,5422436.815681085,No,41.9453226275236,27.429260468597175
2001,2024-12-31,2001-FUND-003,Investment Fund 3,Equity fund,Manager_42,21465412.35657209,Partial,38.07580319360264,20.63393191218299
2001,2024-12-31,2001-FUND-004,Investment Fund 4,Private equity fund,Manager_4,8997970.075303812,Partial,16.813274128443727,25.071042549474047
2001,2024-12-31,2001-FUND-005,Investment Fund 5,Real estate fund,Manager_20,12941900.263967842,Partial,31.412523946402693,52.45412371593516
2001,2024-12-31,2001-FUND-006,Investment Fund 6,Equity fund,Manager_35,1255442.3947101831,No,47.567575378947055,16.850433251239174
2001,2024-12-31,2001-FUND-007,Investment Fund 7,Real estate fund,Manager_1,3078421.505798222,No,36.020103581199656,54.60954235703176
2001,2024-12-31,2001-FUND-008,Investment Fund 8,Equity fund,Manager_49,21011847.47626781,Yes,27.386663486399023,45.78854216654081
2001,2024-12-31,2001-FUND-009,Investment Fund 9,Infrastructure fund,Manager_11,2716571.587134297,No,49.71169056343236,47.52856240593572
2001,2024-12-31,2001-FUND-010,Investment Fund 10,Infrastructure fund,Manager_50,18374950.62189589,Yes,22.958298519995594,27.38961496810148
2001,2024-12-31,2001-FUND-011,Investment Fund 11,Mixed fund,Manager_6,22461856.459281813,Partial,37.649007129419125,40.79009874137095
4242,2024-12-31,4242-FUND-001,Investment Fund 1,Infrastructure fund,Manager_22,10746693.411295537,Yes,55.33218772902413,39.90430231465953
4242,2024-12-31,4242-FUND-002,Investment Fund 2,Infrastructure fund,Manager_11,23012957.535842888,Yes,6.63881359498575,53.08018957571262
4242,2024-12-31,4242-FUND-003,Investment Fund 3,Mixed fund,Manager_27,12463608.247932928,Partial,57.442696441377,38.76166242162339
4242,2024-12-31,4242-FUND-004,Investment Fund 4,Private equity fund,Manager_21,27285351.11566931,Yes,17.975984045512526,29.009011132028213
4242,2024-12-31,4242-FUND-005,Investment Fund 5,Infrastructure fund,Manager_4,4263181.996029516,No,10.693746581465238,24.678098329663836
4242,2024-12-31,4242-FUND-006,Investment Fund 6,Infrastructure fund,Manager_42,7266522.869968987,No,11.54993832176372,23.12486049012909
4242,2024-12-31,4242-FUND-007,Investment Fund 7,Bond fund,Manager_41,17292992.135727443,Partial,31.1938093573848,11.51783661652026
4242,2024-12-31,4242-FUND-008,Investment Fund 8,Equity fund,Manager_8,17202641.47072584,Partial,87.00934775814514,4.43801270554843
4242,2024-12-31,4242-FUND-009,Investment Fund 9,Private equity fund,Manager_50,12788635.455296343,Partial,75.06879776416923,16.032699939897118
4242,2024-12-31,4242-FUND-010,Investment Fund 10,Private equity fund,Manager_27,8582600.17183466,No,31.14049250101457,40.34016159477794
4242,2024-12-31,4242-FUND-011,Investment Fund 11,Infrastructure fund,Manager_48,1482911.0865534088,Yes,0.6311566604757503,45.73971377480775
218,2024-12-31,0218-FUND-001,Investment Fund 1,Hedge fund,Manager_21,12760427.129355345,Yes,27.1999824328379,22.19462512346352
218,2024-12-31,0218-FUND-002,Investment Fund 2,Real estate fund,Manager_24,17999886.946401976,No,24.5631372484848,37.01654571215226
218,2024-12-31,0218-FUND-003,Investment Fund 3,Infrastructure fund,Manager_37,13040524.764154034,Yes,20.18967358799402,69.46431637087166
218,2024-12-31,0218-FUND-004,Investment Fund 4,Hedge fund,Manager_42,10345975.153234914,Yes,16.580300413216577,24.06559614498629
218,2024-12-31,0218-FUND-005,Investment Fund 5,Equity fund,Manager_30,1999130.7183111124,Partial,12.202975603840846,22.83595298374004
218,2024-12-31,0218-FUND-006,Investment Fund 6,Infrastructure fund,Manager_11,8578432.095319329,Partial,44.783110023549725,12.307049696684809
218,2024-12-31,0218-FUND-007,Investment Fund 7,Real estate fund,Manager_39,45938851.05758955,Yes,18.447264664724425,31.44633127195665
218,2024-12-31,0218-FUND-008,Investment Fund 8,Mixed fund,Manager_11,668752.1769453143,Yes,78.95559263003942,7.603235948976564
218,2024-12-31,0218-FUND-009,Investment Fund 9,Private equity fund,Manager_34,28054976.14755329,No,1.96691315586984,35.694359022226855
218,2024-12-31,0218-FUND-010,Investment Fund 10,Infrastructure fund,Manager_44,26441816.433042035,Yes,54.6588680080052,15.78731873269952
218,2024-12-31,0218-FUND-011,Investment Fund 11,Private equity fund,Manager_14,12510446.454970308,No,8.458366866749047,48.87440084716851
218,2024-12-31,0218-FUND-012,Investment Fund 12,Mixed fund,Manager_48,16180701.550118078,Yes,15.50192519521697,37.09278979086491
218,2024-12-31,0218-FUND-013,Investment Fund 13,Real estate fund,Manager_14,25773434.182763107,No,34.84485704794064,21.14452017413303
218,2024-12-31,0218-FUND-014,Investment Fund 14,Private equity fund,Manager_44,3986874.9700159994,Yes,22.2331785776466,27.670259683971675
218,2024-12-31,0218-FUND-015,Investment Fund 15,Real estate fund,Manager_10,19930782.11755093,No,33.35126039910982,19.78953407030721
2488,2024-12-31,2488-FUND-001,Investment Fund 1,Hedge fund,Manager_29,3712512.129336957,Partial,65.14429032238755,33.68233998081486
2488,2024-12-31,2488-FUND-002,Investment Fund 2,Private equity fund,Manager_42,18250300.32300772,Yes,22.45909503077839,48.74605920369259
2488,2024-12-31,2488-FUND-003,Investment Fund 3,Real estate fund,Manager_9,9750814.52062597,No,28.17446716597669,42.96308119836987
2488,2024-12-31,2488-FUND-004,Investment Fund 4,Private equity fund,Manager_14,15672345.18244297,No,9.78478615428375,48.46381691756618
2488,2024-12-31,2488-FUND-005,Investment Fund 5,Private equity fund,Manager_39,13876681.924803942,Yes,44.49861688641592,44.10293946678616
2488,2024-12-31,2488-FUND-006,Investment Fund 6,Hedge fund,Manager_4,16062089.004177772,Yes,55.83995537055151,25.616646479497263
2488,2024-12-31,2488-FUND-007,Investment Fund 7,Real estate fund,Manager_23,19083244.2291242,Partial,25.760476188371,69.37355626038844
2488,2024-12-31,2488-FUND-008,Investment Fund 8,Private equity fund,Manager_48,1316151.9129631356,No,30.46851292314458,27.206800734511557
3000,2024-12-31,3000-FUND-001,Investment Fund 1,Hedge fund,Manager_25,4471259.380151472,Partial,18.252543693017216,57.49994753404136
3000,2024-12-31,3000-FUND-002,Investment Fund 2,Mixed fund,Manager_9,13933256.43128953,Partial,51.58578888205047,12.674337157756424
3000,2024-12-31,3000-FUND-003,Investment Fund 3,Bond fund,Manager_17,23239318.86640085,No,10.67793848111105,81.59557461231184
3000,2024-12-31,3000-FUND-004,Investment Fund 4,Mixed fund,Manager_30,22975629.212455053,No,19.481114325490307,77.71599302445189
3000,2024-12-31,3000-FUND-005,Investment Fund 5,Private equity fund,Manager_34,21738648.389555413,No,16.67758111185105,10.253766200602724
3000,2024-12-31,3000-FUND-006,Investment Fund 6,Equity fund,Manager_21,1143802.2547868292,No,22.99107270305809,40.99755122312929
3000,2024-12-31,3000-FUND-007,Investment Fund 7,Infrastructure fund,Manager_18,2424041.3917363826,No,27.651262171146023,24.73166765393249
3000,2024-12-31,3000-FUND-008,Investment Fund 8,Mixed fund,Manager_40,10453134.01140852,No,21.145773190691,22.543570687702594
3000,2024-12-31,3000-FUND-009,Investment Fund 9,Real estate fund,Manager_11,39165820.78553995,No,38.56667365266813,10.858166873718767
3000,2024-12-31,3000-FUND-010,Investment Fund 10,Infrastructure fund,Manager_10,7611580.484475025,Partial,31.348431149224933,34.59703220744495
3000,2024-12-31,3000-FUND-011,Investment Fund 11,Private equity fund,Manager_29,13151580.771351742,Yes,29.09260123158065,5.664024892920418
3000,2024-12-31,3000-FUND-012,Investment Fund 12,Equity fund,Manager_15,461925.8335518241,No,18.41133870410994,38.75777834635016
3000,2024-12-31,3000-FUND-013,Investment Fund 13,Mixed fund,Manager_11,12915949.432475151,Yes,20.03165290966321,30.41900268744324
5000,2024-12-31,5000-FUND-001,Investment Fund 1,Equity fund,Manager_29,34403936.99990489,Partial,15.039200685269982,44.23826039101075
5000,2024-12-31,5000-FUND-002,Investment Fund 2,Real estate fund,Manager_30,11024615.211292788,Partial,47.14258303766126,35.63409932039492
5000,2024-12-31,5000-FUND-003,Investment Fund 3,Infrastructure fund,Manager_10,9603379.62456265,Yes,28.4308991697035,43.62938369148333
5000,2024-12-31,5000-FUND-004,Investment Fund 4,Bond fund,Manager_19,18009704.413547356,Yes,6.593273950846405,30.006548628985392
5000,2024-12-31,5000-FUND-005,Investment Fund 5,Private equity fund,Manager_33,4179609.666597781,Partial,46.461703378106776,29.750676059205155
5000,2024-12-31,5000-FUND-006,Investment Fund 6,Hedge fund,Manager_14,5161764.699612827,Partial,37.06433778927588,34.665536591724724
5000,2024-12-31,5000-FUND-007,Investment Fund 7,Infrastructure fund,Manager_37,4596219.391375192,Yes,47.81695839650796,45.43825212833975
5000,2024-12-31,5000-FUND-008,Investment Fund 8,Bond fund,Manager_50,27546314.641218662,Yes,34.32287473434382,38.42803960354307
5000,2024-12-31,5000-FUND-009,Investment Fund 9,Mixed fund,Manager_2,3492280.2852268545,Partial,55.30113303979392,7.049113956398455
5000,2024-12-31,5000-FUND-010,Investment Fund 10,Equity fund,Manager_26,8855257.441319488,Yes,8.235213945791363,42.692158850776494
5000,2024-12-31,5000-FUND-011,Investment Fund 11,Infrastructure fund,Manager_21,1664677.7267354962,Yes,9.38305722565117,56.55850463360094
5000,2024-12-31,5000-FUND-012,Investment Fund 12,Real estate fund,Manager_46,4632326.416516637,Partial,27.690860890887603,37.003207887364425
2121,2024-12-31,2121-FUND-001,Investment Fund 1,Hedge fund,Manager_43,5282425.141239132,Yes,26.813212614223996,11.763054489842592
2121,2024-12-31,2121-FUND-002,Investment Fund 2,Private equity fund,Manager_40,2410202.9964318704,Partial,19.86456349013589,48.64705751788728
2121,2024-12-31,2121-FUND-003,Investment Fund 3,Private equity fund,Manager_37,30926491.894870035,Yes,10.013429966165528,65.50117685972482
2121,2024-12-31,2121-FUND-004,Investment Fund 4,Infrastructure fund,Manager_42,13074972.847657856,Yes,64.76901575609787,17.10979703115335
2121,2024-12-31,2121-FUND-005,Investment Fund 5,Private equity fund,Manager_5,5689710.372722319,No,30.848868773149924,32.11691161334402
2121,2024-12-31,2121-FUND-006,Investment Fund 6,Equity fund,Manager_26,47664615.03380487,Yes,4.256922536300061,53.594977211946826
2121,2024-12-31,2121-FUND-007,Investment Fund 7,Infrastructure fund,Manager_26,7013596.385037168,Yes,25.552766825745763,38.61218674878152
2121,2024-12-31,2121-FUND-008,Investment Fund 8,Bond fund,Manager_25,3023186.383816801,Partial,19.16711284461177,43.72012413508388
2121,2024-12-31,2121-FUND-009,Investment Fund 9,Infrastructure fund,Manager_42,3476131.369237982,No,23.398220360651926,25.70738914982092
2623,2024-12-31,2623-FUND-001,Investment Fund 1,Infrastructure fund,Manager_28,12264547.596289111,Partial,33.58937409240955,4.223642304818314
2623,2024-12-31,2623-FUND-002,Investment Fund 2,Bond fund,Manager_23,9712648.714008702,No,20.89871478201949,40.14709082703902
2623,2024-12-31,2623-FUND-003,Investment Fund 3,Hedge fund,Manager_13,12256593.47003662,No,28.79058144265243,11.42355345826763
2623,2024-12-31,2623-FUND-004,Investment Fund 4,Real estate fund,Manager_18,1575620.913880522,No,39.36048826451088,40.31706821791485
2623,2024-12-31,2623-FUND-005,Investment Fund 5,Equity fund,Manager_49,3933131.219217699,No,38.62342045729151,47.28906054191061
2623,2024-12-31,2623-FUND-006,Investment Fund 6,Hedge fund,Manager_12,18257054.222929936,No,52.49480207454307,14.554083963500576
2623,2024-12-31,2623-FUND-007,Investment Fund 7,Equity fund,Manager_3,1922354.998723536,No,36.566764255150886,32.93011674196819
2623,2024-12-31,2623-FUND-008,Investment Fund 8,Private equity fund,Manager_15,2504105.366932002,Partial,33.012204320715895,25.803836623739876
2623,2024-12-31,2623-FUND-009,Investment Fund 9,Private equity fund,Manager_42,3922079.761096541,No,60.84414630729746,19.49215561380272
2623,2024-12-31,2623-FUND-010,Investment Fund 10,Real estate fund,Manager_28,1455573.310742825,No,40.65994860718339,58.12964248104549
2623,2024-12-31,2623-FUND-011,Investment Fund 11,Mixed fund,Manager_10,1800767.0179517013,No,54.78465401336496,21.843040044903656
2623,2024-12-31,2623-FUND-012,Investment Fund 12,Infrastructure fund,Manager_16,10410389.62941052,No,1.917738326079998,52.98994697659956
2791,2024-12-31,2791-FUND-001,Investment Fund 1,Equity fund,Manager_36,22447856.00431623,Partial,54.73688322503243,16.689608528163365
2791,2024-12-31,2791-FUND-002,Investment Fund 2,Equity fund,Manager_33,1462244.4146893425,Yes,27.07459648045409,34.37799122499767
2791,2024-12-31,2791-FUND-003,Investment Fund 3,Real estate fund,Manager_43,8396687.150430575,No,7.056256171681058,54.28931311290135
2791,2024-12-31,2791-FUND-004,Investment Fund 4,Mixed fund,Manager_17,24987227.635693207,Partial,44.12167876145377,52.35161543772786
2791,2024-12-31,2791-FUND-005,Investment Fund 5,Equity fund,Manager_8,32468247.16686317,Yes,23.06156263966093,51.61798708645488
2791,2024-12-31,2791-FUND-006,Investment Fund 6,Infrastructure fund,Manager_26,6233435.609711052,No,39.75222807881244,11.41595148792588
2791,2024-12-31,2791-FUND-007,Investment Fund 7,Private equity fund,Manager_20,2871021.927014356,Partial,30.49939358040068,56.439236657275885
2791,2024-12-31,2791-FUND-008,Investment Fund 8,Real estate fund,Manager_49,5982631.544919228,No,32.111184501876004,58.48453382003683
2791,2024-12-31,2791-FUND-009,Investment Fund 9,Mixed fund,Manager_12,10053489.404069165,Yes,10.932646658983138,47.663127592448056
2791,2024-12-31,2791-FUND-010,Investment Fund 10,Private equity fund,Manager_39,14332126.447448485,Partial,24.378974742207912,22.06609193932246
2791,2024-12-31,2791-FUND-011,Investment Fund 11,Equity fund,Manager_28,5467729.444568335,Yes,30.265368442297834,48.1955555410875
2791,2024-12-31,2791-FUND-012,Investment Fund 12,Real estate fund,Manager_8,15533882.630068911,Partial,54.09993896531993,6.249047019930196
2791,2024-12-31,2791-FUND-013,Investment Fund 13,Real estate fund,Manager_30,11434039.939186338,Partial,40.91075064103092,19.133824618011257
2791,2024-12-31,2791-FUND-014,Investment Fund 14,Private equity fund,Manager_39,12629521.01929309,Partial,32.18544089425472,51.915641503453735
6104,2024-12-31,6104-FUND-001,Investment Fund 1,Mixed fund,Manager_45,1480045.6653522914,No,31.10095162941745,58.50247618986515
6104,2024-12-31,6104-FUND-002,Investment Fund 2,Equity fund,Manager_9,4720233.072500719,Yes,42.71343455650696,21.1441166636874
6104,2024-12-31,6104-FUND-003,Investment Fund 3,Equity fund,Manager_2,38797509.43417128,Yes,22.88479101970212,42.38865676598301
6104,2024-12-31,6104-FUND-004,Investment Fund 4,Bond fund,Manager_31,24302347.241302725,Yes,67.32767928405279,28.495336929111318
6104,2024-12-31,6104-FUND-005,Investment Fund 5,Real estate fund,Manager_41,20788754.41835292,Yes,23.793367465213787,34.776964478257575
6104,2024-12-31,6104-FUND-006,Investment Fund 6,Mixed fund,Manager_50,6213637.848044216,No,25.542876916386803,37.121637149920176
6104,2024-12-31,6104-FUND-007,Investment Fund 7,Real estate fund,Manager_2,11011235.526128028,Yes,47.3559440275263,6.347039802348302
6104,2024-12-31,6104-FUND-008,Investment Fund 8,Private equity fund,Manager_45,20251348.0247243,No,42.0832275380955,28.704061781341395
6104,2024-12-31,6104-FUND-009,Investment Fund 9,Equity fund,Manager_29,12467278.10489224,Yes,45.62911686197388,45.85206737388157
6104,2024-12-31,6104-FUND-010,Investment Fund 10,Mixed fund,Manager_37,33449402.822787583,No,42.99083690590395,11.440640555900188
6104,2024-12-31,6104-FUND-011,Investment Fund 11,Equity fund,Manager_7,30582031.43134928,No,42.475065590874,15.148037413148831
6104,2024-12-31,6104-FUND-012,Investment Fund 12,Private equity fund,Manager_38,828303.5621247083,Partial,39.27386524181657,9.154760546085065
6104,2024-12-31,6104-FUND-013,Investment Fund 13,Mixed fund,Manager_3,8336734.986305145,No,36.54733702527048,53.76100637636099
6104,2024-12-31,6104-FUND-014,Investment Fund 14,Hedge fund,Manager_38,1228347.5283280958,No,12.909250704532106,39.244207178619845
510,2024-12-31,0510-FUND-001,Investment Fund 1,Private equity fund,Manager_4,3713624.39078084,No,26.05455190056199,37.94819361012795
510,2024-12-31,0510-FUND-002,Investment Fund 2,Hedge fund,Manager_21,20709972.135466304,No,6.533979196067673,47.04792533390351
510,2024-12-31,0510-FUND-003,Investment Fund 3,Private equity fund,Manager_27,3179228.469880464,No,8.431773369148226,22.875156221373544
510,2024-12-31,0510-FUND-004,Investment Fund 4,Hedge fund,Manager_42,3452279.865546316,Partial,17.52044472547553,50.24251909084111
510,2024-12-31,0510-FUND-005,Investment Fund 5,Real estate fund,Manager_2,5272558.086913143,Partial,47.21931190980864,39.30322180162078
510,2024-12-31,0510-FUND-006,Investment Fund 6,Bond fund,Manager_31,599081.641859209,Yes,7.385569639288084,35.631938488951725
510,2024-12-31,0510-FUND-007,Investment Fund 7,Hedge fund,Manager_15,21542521.288860302,No,23.63762278697982,37.563877949929655
510,2024-12-31,0510-FUND-008,Investment Fund 8,Hedge fund,Manager_46,3873122.044152989,No,59.58662422318418,6.610007800097844
