Syndicate,Reporting_Date,Contract_ID,Derivative_Type,Underlying_Asset,Notional_Amount,Fair_Value_Asset,Fair_Value_Liability,Delta,Purpose,Maturity_Date
3210,2024-12-31,3210-DRV-0001,Commodity futures,Credit,33150951.180481005,0.0,286938.9140360401,-0.6971089561292854,Trading,2029-10-01
3210,2024-12-31,3210-DRV-0002,Currency forwards,Credit,12658463.491112163,0.0,0.0,0.8791371780503314,Hedging,2030-05-01
3210,2024-12-31,3210-DRV-0003,Interest rate swaps,Interest Rate,83701673.73920412,160373.5136242266,953677.7554662488,0.2601862537233268,Other,2027-06-01
3210,2024-12-31,3210-DRV-0004,FX options,FX,31321578.722772967,0.0,0.0,0.8817603391184086,Hedging,2029-06-01
3210,2024-12-31,3210-DRV-0005,Interest rate swaps,Equity,97239323.71243876,354307.04644525115,0.0,0.4441321284075705,Hedging,2028-08-01
3210,2024-12-31,3210-DRV-0006,FX options,FX,54046913.42377903,0.0,1161290.451819268,0.871874496497119,Other,2029-05-01
1183,2024-12-31,1183-DRV-0001,Equity options,Credit,81919128.44525948,1901065.641908818,44132.29736458168,0.9650425445120774,Hedging,2026-05-01
1183,2024-12-31,1183-DRV-0002,Equity options,Commodity,31631801.492384188,0.0,0.0,-0.7356406844922565,Hedging,2027-12-01
1183,2024-12-31,1183-DRV-0003,Equity options,Commodity,41190425.27723013,0.0,109130.81656539792,0.1989222793174332,Hedging,2027-03-01
1183,2024-12-31,1183-DRV-0004,Equity options,Interest Rate,25551613.874928568,885154.6918656308,96725.42209756174,0.6409751689605496,Trading,2026-06-01
1183,2024-12-31,1183-DRV-0005,FX options,Credit,38544774.449147,1599566.7288915666,0.0,0.1093740495767343,Other,2026-04-01
1183,2024-12-31,1183-DRV-0006,Interest rate swaps,Commodity,79518519.95521574,0.0,1197125.98643552,-0.1717178635686675,Trading,2029-02-01
1183,2024-12-31,1183-DRV-0007,Credit default swaps,Interest Rate,62483504.261351146,440975.2788294985,0.0,0.2513015788545529,Trading,2026-04-01
1183,2024-12-31,1183-DRV-0008,Equity options,Credit,10660774.248548651,0.0,0.0,0.2087186394295421,Other,2029-09-01
1183,2024-12-31,1183-DRV-0009,Interest rate swaps,FX,26543399.405366343,0.0,1333043.9533860695,-0.8397885467807955,Hedging,2026-03-01
1183,2024-12-31,1183-DRV-0010,Equity options,Credit,22523609.85068892,0.0,0.0,-0.5954121016835927,Hedging,2025-07-01
1183,2024-12-31,1183-DRV-0011,Interest rate swaps,Commodity,42790376.88826433,1023414.8942294016,0.0,-0.0334114300673495,Hedging,2030-09-01
1183,2024-12-31,1183-DRV-0012,Credit default swaps,Credit,18806035.77994789,0.0,1011393.487562748,-0.8759171660868914,Hedging,2028-08-01
1183,2024-12-31,1183-DRV-0013,Currency forwards,FX,58771750.36434299,0.0,1756067.025688914,0.1157473513201463,Trading,2027-08-01
1183,2024-12-31,1183-DRV-0014,Interest rate swaps,Interest Rate,14310730.054170402,0.0,0.0,-0.9118682768592372,Other,2029-03-01
1183,2024-12-31,1183-DRV-0015,Interest rate swaps,Commodity,66329357.23560566,91170.3158973376,0.0,0.8919417796911986,Other,2028-07-01
1955,2024-12-31,1955-DRV-0001,Currency forwards,Credit,12332815.371514456,0.0,0.0,-0.6602258535618855,Other,2028-07-01
1955,2024-12-31,1955-DRV-0002,Equity options,Credit,54263360.42324472,491694.8849868006,716279.4330582889,0.9790106667686448,Trading,2029-10-01
1955,2024-12-31,1955-DRV-0003,Equity options,Credit,18542872.72814598,764278.9496651385,0.0,0.1094636065647085,Trading,2029-07-01
1955,2024-12-31,1955-DRV-0004,Credit default swaps,Interest Rate,68691261.71070716,1283639.0336028708,821577.6199992235,-0.0207118479359347,Other,2027-07-01
1955,2024-12-31,1955-DRV-0005,Commodity futures,Commodity,36860302.59065893,354164.5107945797,196848.37820273748,0.9134408677786996,Hedging,2030-06-01
1955,2024-12-31,1955-DRV-0006,Commodity futures,Interest Rate,34959555.61028116,786294.2589880304,0.0,-0.526152012206553,Other,2025-12-01
1955,2024-12-31,1955-DRV-0007,Equity options,Interest Rate,80763834.30316615,0.0,1355091.6103675517,0.0938577519709538,Trading,2030-07-01
1955,2024-12-31,1955-DRV-0008,Credit default swaps,Commodity,11909820.0389735,0.0,561201.626475832,-0.3001242928585719,Trading,2028-03-01
1955,2024-12-31,1955-DRV-0009,FX options,FX,27863698.901929542,0.0,1748614.6682741612,0.6612455208635826,Hedging,2026-02-01
1955,2024-12-31,1955-DRV-0010,FX options,Commodity,43918922.58278932,1956441.3370531169,0.0,-0.6382161972422034,Trading,2028-07-01
1955,2024-12-31,1955-DRV-0011,Currency forwards,FX,74432682.84873524,840022.0085913257,0.0,0.15671952623308,Other,2028-09-01
727,2024-12-31,0727-DRV-0001,Interest rate swaps,Interest Rate,87310202.43627152,119234.65068931803,1384101.1060794897,-0.7200252465564743,Other,2030-12-01
727,2024-12-31,0727-DRV-0002,Equity options,Commodity,43260251.05094892,0.0,1039223.351606015,0.9930526175972384,Other,2025-11-01
727,2024-12-31,0727-DRV-0003,Commodity futures,Credit,42620091.80663344,266019.59781465755,0.0,-0.6825264732513809,Other,2028-10-01
727,2024-12-31,0727-DRV-0004,Equity options,Commodity,91168986.23942707,0.0,1983065.551654773,-0.5833692199829641,Trading,2030-10-01
727,2024-12-31,0727-DRV-0005,Interest rate swaps,Commodity,50961241.28676149,836779.066756667,0.0,-0.2843775013288139,Trading,2025-05-01
727,2024-12-31,0727-DRV-0006,Interest rate swaps,FX,20338494.23610281,0.0,0.0,-0.0565203249631218,Other,2030-02-01
727,2024-12-31,0727-DRV-0007,Currency forwards,Credit,24960183.326673426,1484542.7845045736,0.0,-0.9496018103578608,Other,2028-03-01
727,2024-12-31,0727-DRV-0008,Interest rate swaps,Equity,58569827.50026322,522324.86502172047,1389906.2386860957,0.1347818883121467,Other,2028-04-01
727,2024-12-31,0727-DRV-0009,Credit default swaps,FX,62960252.59344229,976355.350621628,266364.25133504684,-0.4773339642292324,Trading,2026-08-01
727,2024-12-31,0727-DRV-0010,Credit default swaps,Equity,53802246.24545396,0.0,576369.051919059,-0.9870712844205788,Trading,2026-09-01
1729,2024-12-31,1729-DRV-0001,Equity options,Commodity,74787788.56750083,0.0,47892.53054096698,0.1696556226115817,Other,2028-10-01
1729,2024-12-31,1729-DRV-0002,Equity options,Equity,49806701.62130656,182843.98363427637,0.0,0.2513638245227052,Other,2026-12-01
1729,2024-12-31,1729-DRV-0003,Commodity futures,FX,54530817.040005416,1793149.3169380203,392588.60462213407,-0.9548709765893056,Other,2028-02-01
1729,2024-12-31,1729-DRV-0004,Interest rate swaps,Commodity,89612553.26887503,0.0,0.0,0.1938904468263451,Hedging,2029-11-01
1729,2024-12-31,1729-DRV-0005,Commodity futures,Interest Rate,76236693.47238554,0.0,1826082.933779712,0.1442459274444125,Other,2026-02-01
1458,2024-12-31,1458-DRV-0001,Equity options,Equity,23871234.80525355,493714.0551914658,0.0,-0.3871691012979272,Trading,2030-06-01
1458,2024-12-31,1458-DRV-0002,Currency forwards,Interest Rate,45517475.9879768,0.0,1230841.559641671,-0.8368501487772682,Trading,2027-03-01
1458,2024-12-31,1458-DRV-0003,Interest rate swaps,Commodity,54217362.31383275,427989.3573966272,0.0,-0.4334311930148453,Other,2028-04-01
1458,2024-12-31,1458-DRV-0004,FX options,Interest Rate,6316902.911721711,0.0,0.0,0.2987576404732448,Trading,2028-01-01
1458,2024-12-31,1458-DRV-0005,Currency forwards,Interest Rate,93611529.21072976,0.0,0.0,-0.9597243021014203,Other,2025-09-01
1458,2024-12-31,1458-DRV-0006,Credit default swaps,Commodity,48559263.40776646,0.0,1129181.277866927,0.3260544074462947,Trading,2029-09-01
1458,2024-12-31,1458-DRV-0007,Equity options,Equity,99710194.6541086,1440314.9218618805,574442.4184103017,0.7595048045886872,Other,2028-05-01
33,2024-12-31,0033-DRV-0001,Currency forwards,Credit,90251643.15905292,512383.0288787099,441302.1192434969,-0.7237494137195055,Hedging,2027-08-01
33,2024-12-31,0033-DRV-0002,FX options,Commodity,69114854.29014471,0.0,478132.7681500593,0.516080842022433,Hedging,2028-07-01
33,2024-12-31,0033-DRV-0003,Commodity futures,Equity,44014850.13597687,0.0,0.0,-0.5806194451395983,Hedging,2028-02-01
33,2024-12-31,0033-DRV-0004,FX options,Credit,93781668.66797398,606771.0872582663,0.0,0.5637818259937795,Trading,2030-03-01
33,2024-12-31,0033-DRV-0005,FX options,Interest Rate,96735702.65034604,787110.6722126311,0.0,-0.7385653528204854,Hedging,2025-05-01
33,2024-12-31,0033-DRV-0006,Credit default swaps,Credit,59630754.4785874,0.0,413635.78626679257,0.0089118833387107,Trading,2025-04-01
33,2024-12-31,0033-DRV-0007,Equity options,Commodity,66295764.70524307,0.0,1490429.4853816691,-0.5355506181973138,Hedging,2025-10-01
33,2024-12-31,0033-DRV-0008,Equity options,Interest Rate,23870003.316877566,0.0,0.0,0.5667744399916768,Hedging,2026-10-01
2623,2024-12-31,2623-DRV-0001,Interest rate swaps,Credit,76371497.81550786,1793990.578728822,0.0,0.6922484210604631,Other,2025-12-01
2623,2024-12-31,2623-DRV-0002,Commodity futures,Equity,40784261.84079894,0.0,678481.3223476727,-0.8751373454444393,Hedging,2028-04-01
2623,2024-12-31,2623-DRV-0003,Commodity futures,Interest Rate,28611282.98810547,633885.2435345628,1617652.646983368,0.750977300791793,Hedging,2025-09-01
2623,2024-12-31,2623-DRV-0004,Currency forwards,Interest Rate,86436939.05013014,1529301.900769747,293390.2280303631,0.3806456938014579,Other,2028-11-01
2623,2024-12-31,2623-DRV-0005,Currency forwards,Equity,36503600.66524422,1001158.6348616624,1291450.0867021072,0.0211408174570071,Other,2026-03-01
2623,2024-12-31,2623-DRV-0006,Interest rate swaps,Interest Rate,81227622.90259509,0.0,0.0,0.7228360921910348,Hedging,2025-12-01
2623,2024-12-31,2623-DRV-0007,Commodity futures,FX,36238148.695617884,0.0,0.0,0.3246274774614399,Trading,2029-06-01
3456,2024-12-31,3456-DRV-0001,FX options,Equity,94846221.71146336,0.0,0.0,-0.3741609039423548,Hedging,2026-07-01
3456,2024-12-31,3456-DRV-0002,Interest rate swaps,Commodity,71978886.10359131,0.0,1483955.4590279718,0.3554464824026409,Hedging,2028-06-01
3456,2024-12-31,3456-DRV-0003,Credit default swaps,FX,21041554.020187527,0.0,0.0,-0.8927304169583383,Hedging,2027-03-01
3456,2024-12-31,3456-DRV-0004,Credit default swaps,Commodity,85664311.89607422,766794.2821165179,336557.17701542564,0.6728843849397395,Other,2026-10-01
3456,2024-12-31,3456-DRV-0005,Currency forwards,Interest Rate,73436479.86571234,1022227.2769790012,1208625.9644806397,-0.0782033235868362,Other,2030-07-01
3456,2024-12-31,3456-DRV-0006,Currency forwards,FX,72391938.0733167,210802.75479292453,1677707.7238081377,0.3420259610658196,Hedging,2025-07-01
3456,2024-12-31,3456-DRV-0007,Interest rate swaps,Commodity,88531557.83491564,0.0,0.0,0.4507432004697149,Trading,2025-08-01
3456,2024-12-31,3456-DRV-0008,Currency forwards,Interest Rate,89206134.38621347,94393.403394758,0.0,0.922833239284099,Hedging,2030-02-01
6104,2024-12-31,6104-DRV-0001,FX options,Equity,30703129.36635918,497583.57747835416,0.0,0.8841164389771909,Hedging,2030-07-01
6104,2024-12-31,6104-DRV-0002,Equity options,Commodity,42346570.82967252,0.0,278508.14156940795,-0.978569404609282,Trading,2027-07-01
6104,2024-12-31,6104-DRV-0003,FX options,Credit,40067938.41187443,714384.6679860897,0.0,-0.3118167643011158,Hedging,2030-06-01
6104,2024-12-31,6104-DRV-0004,Interest rate swaps,Commodity,88591889.53906637,0.0,0.0,0.0110415834469805,Other,2025-09-01
6104,2024-12-31,6104-DRV-0005,Currency forwards,FX,98360256.38648666,499945.78173765936,146728.13491920533,0.3262924979504176,Other,2030-04-01
6104,2024-12-31,6104-DRV-0006,Currency forwards,Equity,45108262.218664415,0.0,0.0,0.5701278420928624,Other,2028-09-01
6104,2024-12-31,6104-DRV-0007,Interest rate swaps,Commodity,66630975.820026726,0.0,0.0,-0.1620604524409512,Trading,2025-04-01
6104,2024-12-31,6104-DRV-0008,Interest rate swaps,Interest Rate,76450861.6062126,0.0,0.0,0.0257494846105355,Hedging,2028-03-01
6104,2024-12-31,6104-DRV-0009,Commodity futures,Interest Rate,99594772.94487569,0.0,0.0,-0.1294754406868923,Hedging,2025-05-01
6104,2024-12-31,6104-DRV-0010,Interest rate swaps,Interest Rate,10199607.15787366,0.0,0.0,-0.5915157872631422,Other,2027-08-01
6104,2024-12-31,6104-DRV-0011,FX options,Credit,5021568.630734276,0.0,0.0,0.8300030754950545,Trading,2027-04-01
6104,2024-12-31,6104-DRV-0012,Equity options,Equity,20942386.58637272,0.0,240727.1524199721,-0.8647905010552337,Trading,2030-09-01
2791,2024-12-31,2791-DRV-0001,Currency forwards,FX,45900902.98673852,238281.34399209637,1024785.6414642131,-0.3023361850827397,Hedging,2027-03-01
2791,2024-12-31,2791-DRV-0002,Commodity futures,Interest Rate,73278220.75990923,0.0,221207.1977463217,-0.9288195383870472,Hedging,2027-02-01
2791,2024-12-31,2791-DRV-0003,Credit default swaps,Commodity,10113899.866303612,0.0,379750.65819183993,-0.9220843073030716,Other,2027-11-01
2791,2024-12-31,2791-DRV-0004,Equity options,Commodity,37418222.72698346,888366.8137567331,1351173.5471348776,0.0177881401397603,Other,2030-02-01
2791,2024-12-31,2791-DRV-0005,Credit default swaps,Interest Rate,5941516.071659596,0.0,0.0,0.5560926129663983,Trading,2027-02-01
2791,2024-12-31,2791-DRV-0006,Interest rate swaps,Credit,50907047.20816634,1973791.890776595,1509138.7224114733,-0.5027902307733874,Trading,2025-09-01
2791,2024-12-31,2791-DRV-0007,FX options,Interest Rate,86465407.73643275,0.0,194733.7875824422,0.4127439936199921,Hedging,2027-07-01
2121,2024-12-31,2121-DRV-0001,Equity options,Commodity,43330692.05756496,0.0,469508.8434499426,0.6377385410409431,Trading,2026-12-01
2121,2024-12-31,2121-DRV-0002,FX options,Commodity,5056804.189305554,615638.3000522383,482330.4286155239,-0.532865277862778,Other,2028-03-01
2121,2024-12-31,2121-DRV-0003,Commodity futures,Interest Rate,57777209.139133886,582722.145675489,834789.564658296,-0.2462662393056229,Hedging,2029-07-01
2121,2024-12-31,2121-DRV-0004,Interest rate swaps,Commodity,51830912.30730671,660311.9006312088,213601.40800472727,0.90680575876419,Trading,2026-07-01
2121,2024-12-31,2121-DRV-0005,Commodity futures,Commodity,33316289.111150395,0.0,640802.5722804298,-0.6714263134551814,Trading,2025-03-01
2121,2024-12-31,2121-DRV-0006,Equity options,Commodity,65316132.61955047,0.0,247692.05341163493,-0.8589287248140869,Trading,2025-02-01
2121,2024-12-31,2121-DRV-0007,Credit default swaps,Interest Rate,83018764.68317191,1089261.7422142716,155713.03921753922,0.910896382876135,Hedging,2028-12-01
2121,2024-12-31,2121-DRV-0008,Equity options,Credit,21036950.5495336,0.0,0.0,0.7078857642837058,Trading,2030-03-01
2121,2024-12-31,2121-DRV-0009,Currency forwards,Interest Rate,78097045.0450479,0.0,0.0,0.8695910349855667,Other,2029-04-01
2121,2024-12-31,2121-DRV-0010,Currency forwards,Interest Rate,89378178.2178239,398439.371674153,568368.5914234575,-0.422062950157883,Other,2027-05-01
2121,2024-12-31,2121-DRV-0011,FX options,Equity,56732755.84219417,319759.5267328828,0.0,0.3824933275719786,Trading,2027-08-01
2003,2024-12-31,2003-DRV-0001,Currency forwards,Interest Rate,52817787.40758464,1592881.1230469546,1478938.4664774546,0.2910687128210445,Other,2030-09-01
2003,2024-12-31,2003-DRV-0002,FX options,Credit,13307417.67098912,0.0,0.0,-0.2452736464066984,Trading,2028-06-01
2003,2024-12-31,2003-DRV-0003,FX options,Equity,31028869.44964732,0.0,0.0,0.9112989345329788,Hedging,2025-04-01
2003,2024-12-31,2003-DRV-0004,FX options,FX,9094510.350090783,0.0,358189.8786563631,-0.2155644131329197,Hedging,2025-02-01
2003,2024-12-31,2003-DRV-0005,Credit default swaps,Commodity,77534005.14848016,217365.07874938412,1962515.1547825537,-0.23676700178173,Hedging,2025-05-01
2003,2024-12-31,2003-DRV-0006,Interest rate swaps,Equity,64628543.33008683,384032.16948007344,0.0,-0.7079579614060749,Hedging,2030-06-01
2003,2024-12-31,2003-DRV-0007,Interest rate swaps,FX,89309549.32022382,0.0,1250866.9003331868,0.6165364224325565,Other,2026-09-01
2003,2024-12-31,2003-DRV-0008,Interest rate swaps,Interest Rate,34801796.85192984,1271290.6439052266,711915.5469412811,-0.7029864367126384,Other,2029-01-01
2003,2024-12-31,2003-DRV-0009,Interest rate swaps,FX,41301731.973697454,264537.4301969634,0.0,-0.6066236053743539,Trading,2026-06-01
2003,2024-12-31,2003-DRV-0010,Credit default swaps,FX,66065531.69809937,1201890.969075438,0.0,0.3921597231340783,Trading,2029-03-01
6117,2024-12-31,6117-DRV-0001,FX options,Equity,24388327.809797227,0.0,0.0,-0.0619185049636921,Trading,2029-12-01
6117,2024-12-31,6117-DRV-0002,FX options,Commodity,15436995.80537438,1767367.9353759794,0.0,-0.3141406744816082,Trading,2028-11-01
6117,2024-12-31,6117-DRV-0003,Currency forwards,Interest Rate,70554454.39889771,0.0,632202.623093941,-0.8885182928251165,Trading,2026-07-01
6117,2024-12-31,6117-DRV-0004,FX options,Credit,41746687.9949286,0.0,0.0,-0.8388383754269728,Hedging,2028-02-01
6117,2024-12-31,6117-DRV-0005,Credit default swaps,Commodity,13527152.553214928,1821652.5293726304,12094.086367956836,-0.0322795622713771,Other,2028-11-01
6117,2024-12-31,6117-DRV-0006,Credit default swaps,Commodity,92975658.18273522,0.0,0.0,-0.6766108934520263,Hedging,2030-03-01
6117,2024-12-31,6117-DRV-0007,Interest rate swaps,Interest Rate,75448780.30434881,1093354.5297946234,0.0,0.7689574551935183,Other,2026-05-01
6117,2024-12-31,6117-DRV-0008,Commodity futures,Interest Rate,23568510.03499799,332458.7241033174,0.0,0.8329783022310284,Trading,2028-09-01
6117,2024-12-31,6117-DRV-0009,Commodity futures,Equity,77183247.5506969,677646.9648456147,0.0,0.9041248932780056,Trading,2028-08-01
6117,2024-12-31,6117-DRV-0010,Credit default swaps,Commodity,88685040.25175148,99211.8166989655,514125.3843784175,-0.0699273315581801,Trading,2026-08-01
