Syndicate,Reporting_Date,Item_ID,Item_Type,Counterparty,Maximum_Exposure,Probability_Of_Call,Expected_Value,Maturity_Date
2121,2024-12-31,2121-OBS-003,Committed undrawn credit facilities,Counterparty_25,35193806.48975333,0.2700792333606211,9505116.27579463,2031-06-01
2121,2024-12-31,2121-OBS-004,Legal contingencies,Counterparty_84,39817368.545282125,0.2029083203618172,8079275.372750649,2026-05-01
2121,2024-12-31,2121-OBS-005,Letters of credit,Counterparty_45,34302025.93736204,0.2837773932096259,9734139.502313577,2035-08-01
2003,2024-12-31,2003-OBS-001,Letters of credit,Counterparty_57,15495380.777330266,0.0003336282588562,5169.696909054873,2026-04-01
2003,2024-12-31,2003-OBS-002,Letters of credit,Counterparty_88,14325773.410511736,0.0653674138880232,936438.7597909584,2031-03-01
2003,2024-12-31,2003-OBS-003,Operating lease commitments,Counterparty_11,33429894.67058591,0.1901134799296587,6355473.609507039,2027-12-01
2003,2024-12-31,2003-OBS-004,Guarantees provided,Counterparty_32,30079607.75253147,0.0048730329628361,146578.92008726645,2035-03-01
2003,2024-12-31,2003-OBS-005,Committed undrawn credit facilities,Counterparty_2,36710124.66808172,0.0970591237456474,3563052.532877489,2031-12-01
2003,2024-12-31,2003-OBS-006,Guarantees provided,Counterparty_40,33587743.46132492,0.1669735285506459,5608264.04179131,2033-08-01
2003,2024-12-31,2003-OBS-007,Guarantees provided,Counterparty_43,17793815.345967453,0.0403728801312323,718387.5740400262,2029-12-01
6129,2024-12-31,6129-OBS-001,Letters of credit,Counterparty_27,5626525.985363566,0.249455499933667,1403567.852568637,2034-09-01
6129,2024-12-31,6129-OBS-002,Committed undrawn credit facilities,Counterparty_71,46001479.56199634,0.1949364140292898,8967363.465857236,2033-10-01
6129,2024-12-31,6129-OBS-003,Operating lease commitments,Counterparty_19,6068271.628163685,0.1206081650664722,731883.1061977558,2026-07-01
6129,2024-12-31,6129-OBS-004,Legal contingencies,Counterparty_85,36718020.80515271,0.2339462652030204,8590043.833012277,2034-01-01
6129,2024-12-31,6129-OBS-005,Committed undrawn credit facilities,Counterparty_22,6792712.492263341,9.21565361472476e-06,62.59928543311271,2026-05-01
6129,2024-12-31,6129-OBS-006,Letters of credit,Counterparty_90,35894715.24814965,0.1069788527958616,3839975.458681173,2035-05-01
6129,2024-12-31,6129-OBS-007,Guarantees provided,Counterparty_60,13469585.249294752,0.0038692409368576,52117.07064906497,2026-02-01
2488,2024-12-31,2488-OBS-001,Operating lease commitments,Counterparty_35,27474670.931313485,0.2553452206277945,7015525.910632295,2031-02-01
2488,2024-12-31,2488-OBS-002,Guarantees provided,Counterparty_38,47923950.6673568,0.1697234851839867,8133819.9310492445,2032-04-01
2488,2024-12-31,2488-OBS-003,Unfunded pension obligations,Counterparty_66,26208605.05925481,0.0255169156467723,668762.7645165756,2027-06-01
2488,2024-12-31,2488-OBS-004,Unfunded pension obligations,Counterparty_77,27894767.275587387,0.1139937236896183,3179828.3931995174,2034-02-01
2488,2024-12-31,2488-OBS-005,Letters of credit,Counterparty_26,30749628.76329527,0.116617904362964,3585957.266314615,2034-08-01
2488,2024-12-31,2488-OBS-006,Legal contingencies,Counterparty_92,12774657.04906797,0.0284895825685129,363944.6467838579,2026-01-01
3000,2024-12-31,3000-OBS-001,Legal contingencies,Counterparty_40,16431003.784855893,0.0289934502863256,476391.4913906484,2031-08-01
3000,2024-12-31,3000-OBS-002,Unfunded pension obligations,Counterparty_96,9667950.590375211,0.2962008475738638,2863655.159171375,2028-01-01
3000,2024-12-31,3000-OBS-003,Committed undrawn credit facilities,Counterparty_88,22761074.288424317,0.1595615299515049,3631791.836800846,2031-06-01
3000,2024-12-31,3000-OBS-004,Operating lease commitments,Counterparty_39,43807307.90812355,0.2986706701472063,13083958.010264274,2029-09-01
308,2024-12-31,0308-OBS-001,Guarantees provided,Counterparty_81,29553008.017889395,0.2437421463132514,7203313.604293091,2030-07-01
308,2024-12-31,0308-OBS-002,Guarantees provided,Counterparty_72,17020110.19249709,0.0917231872341873,1561138.7539329107,2030-04-01
308,2024-12-31,0308-OBS-003,Letters of credit,Counterparty_44,20732482.328733448,0.2017521788020947,4182823.4817979,2032-11-01
308,2024-12-31,0308-OBS-004,Letters of credit,Counterparty_12,34427392.77349984,0.0945718303948352,3255861.550311804,2032-09-01
308,2024-12-31,0308-OBS-005,Operating lease commitments,Counterparty_79,7527286.282694805,0.1897188769396525,1428068.2999561103,2029-07-01
218,2024-12-31,0218-OBS-001,Legal contingencies,Counterparty_20,7287967.247249462,0.173547752468799,1264810.335826364,2032-05-01
218,2024-12-31,0218-OBS-002,Legal contingencies,Counterparty_43,34977684.27475914,0.2101834489183354,7351730.316045505,2033-09-01
218,2024-12-31,0218-OBS-003,Letters of credit,Counterparty_27,37920133.42232024,0.2618578264696993,9929683.71740978,2028-10-01
218,2024-12-31,0218-OBS-004,Legal contingencies,Counterparty_88,25497990.606274635,0.2190747568588713,5585966.092459401,2029-03-01
33,2024-12-31,0033-OBS-001,Operating lease commitments,Counterparty_91,31339464.032926,0.0559919819393047,1754758.704119084,2034-03-01
33,2024-12-31,0033-OBS-002,Unfunded pension obligations,Counterparty_99,2258792.5986010004,0.0853624157030801,192815.9927888192,2028-11-01
33,2024-12-31,0033-OBS-003,Legal contingencies,Counterparty_21,22708651.61054335,0.1851317833285969,4204093.169647705,2031-02-01
33,2024-12-31,0033-OBS-004,Legal contingencies,Counterparty_69,42648007.194657065,0.0588737150118496,2510846.6214015554,2027-03-01
33,2024-12-31,0033-OBS-005,Committed undrawn credit facilities,Counterparty_19,7151939.705025378,0.2890439842422982,2067225.1474012225,2026-06-01
1955,2024-12-31,1955-OBS-001,Unfunded pension obligations,Counterparty_39,6294183.409443948,0.1435473210321567,903513.1665107254,2033-12-01
1955,2024-12-31,1955-OBS-002,Operating lease commitments,Counterparty_95,29692622.710871797,0.1624123262722314,4822447.92759638,2030-03-01
1955,2024-12-31,1955-OBS-003,Letters of credit,Counterparty_14,5215575.694614217,0.0171080742010858,89228.45598483967,2028-03-01
1955,2024-12-31,1955-OBS-004,Guarantees provided,Counterparty_98,6168687.945590748,0.1756763051617837,1083692.3059774172,2035-10-01
1955,2024-12-31,1955-OBS-005,Committed undrawn credit facilities,Counterparty_78,27672899.49408173,0.0701222376110232,1940485.633709965,2035-10-01
1955,2024-12-31,1955-OBS-006,Letters of credit,Counterparty_77,32250932.950433988,0.2460202506166948,7934382.60708799,2029-04-01
1221,2024-12-31,1221-OBS-001,Guarantees provided,Counterparty_46,3037369.0324830944,0.1494389830644127,453901.3394056128,2027-12-01
1221,2024-12-31,1221-OBS-002,Unfunded pension obligations,Counterparty_18,34776210.193031825,0.0756935781209061,2632335.782995306,2034-10-01
1221,2024-12-31,1221-OBS-003,Unfunded pension obligations,Counterparty_92,16080774.359364308,0.1840913708968151,2960331.7968977294,2031-03-01
1221,2024-12-31,1221-OBS-004,Unfunded pension obligations,Counterparty_63,44998829.37874311,0.2429773260908698,10933695.239666276,2033-03-01
1221,2024-12-31,1221-OBS-005,Letters of credit,Counterparty_25,29573380.735879596,0.2190665153271747,6478537.464252941,2029-01-01
1221,2024-12-31,1221-OBS-006,Unfunded pension obligations,Counterparty_98,18876301.040182136,0.1922896584296273,3629717.4794314415,2026-05-01
1221,2024-12-31,1221-OBS-007,Unfunded pension obligations,Counterparty_29,23842897.96525029,0.0569808409372682,1358588.376441444,2029-04-01
1221,2024-12-31,1221-OBS-008,Guarantees provided,Counterparty_23,35385175.4199856,0.1669393912046466,5907179.642282021,2033-10-01
