Syndicate,Reporting_Date,Product_ID,Product_Name,Product_Type,Issuer,Notional_Amount,Solvency_II_Value,Capital_Protection,Maturity_Date
2791,2024-12-31,2791-STRUCT-002,Structured Product 2,Reverse convertibles,Issuer_87,34988328.71127135,17699395.28624428,91.7161678843049,2028-02-01
2791,2024-12-31,2791-STRUCT-003,Structured Product 3,Structured bonds,Issuer_67,48462650.09634126,12389679.418401564,92.96060636110428,2027-12-01
2791,2024-12-31,2791-STRUCT-004,Structured Product 4,Capital protected notes,Issuer_53,37290262.21918411,41287425.62753349,93.46839457822864,2032-04-01
2791,2024-12-31,2791-STRUCT-005,Structured Product 5,Capital protected notes,Issuer_10,45161109.22784053,7774082.127508386,86.6182953156039,2033-07-01
2791,2024-12-31,2791-STRUCT-006,Structured Product 6,Structured bonds,Issuer_75,49460628.29294397,22690709.424009927,94.65225398480796,2032-12-01
6129,2024-12-31,6129-STRUCT-001,Structured Product 1,Equity-linked notes,Issuer_19,14543655.686481996,15471888.650154464,85.62569127106069,2033-09-01
6129,2024-12-31,6129-STRUCT-002,Structured Product 2,Credit-linked notes,Issuer_89,15544627.954273706,4943271.171848695,97.58786113614391,2027-09-01
6129,2024-12-31,6129-STRUCT-003,Structured Product 3,Structured bonds,Issuer_16,20370667.41642056,20248330.2124227,80.14183625548742,2030-10-01
6129,2024-12-31,6129-STRUCT-004,Structured Product 4,Structured bonds,Issuer_6,42144795.30868829,11037198.417280152,83.19332698734301,2030-05-01
6129,2024-12-31,6129-STRUCT-005,Structured Product 5,Structured bonds,Issuer_63,32733083.67593651,6153306.766130417,92.45093980924564,2031-01-01
1221,2024-12-31,1221-STRUCT-001,Structured Product 1,Structured bonds,Issuer_28,21592631.996188067,40947108.07825025,96.2187038534522,2033-06-01
1221,2024-12-31,1221-STRUCT-002,Structured Product 2,Credit-linked notes,Issuer_6,47621882.120285966,23510210.461699467,95.4367207046022,2030-07-01
1221,2024-12-31,1221-STRUCT-003,Structured Product 3,Capital protected notes,Issuer_93,45388954.69349378,47572539.69520857,81.74833615742168,2032-08-01
1221,2024-12-31,1221-STRUCT-004,Structured Product 4,Capital protected notes,Issuer_20,42149067.86841871,41982914.28700801,84.01822679371045,2031-06-01
2001,2024-12-31,2001-STRUCT-001,Structured Product 1,Credit-linked notes,Issuer_86,43255973.06082666,17879216.053799246,99.04520156724648,2025-10-01
2001,2024-12-31,2001-STRUCT-002,Structured Product 2,Structured bonds,Issuer_72,11745916.396121286,29803894.626472685,91.5158494224462,2033-10-01
2001,2024-12-31,2001-STRUCT-003,Structured Product 3,Credit-linked notes,Issuer_73,5763610.81919599,50097605.18186225,80.89176185468288,2026-11-01
2001,2024-12-31,2001-STRUCT-004,Structured Product 4,Reverse convertibles,Issuer_24,5630653.288672565,31209204.798116542,98.64533767841944,2034-08-01
2001,2024-12-31,2001-STRUCT-005,Structured Product 5,Credit-linked notes,Issuer_69,42019586.081619225,4637497.766011843,90.84030596959452,2032-01-01
2001,2024-12-31,2001-STRUCT-006,Structured Product 6,Structured bonds,Issuer_56,27453557.48993569,7466232.896089021,93.68870722138615,2031-05-01
510,2024-12-31,0510-STRUCT-001,Structured Product 1,Credit-linked notes,Issuer_13,39431698.24375688,27293950.434962336,82.98763272452864,2029-02-01
510,2024-12-31,0510-STRUCT-002,Structured Product 2,Equity-linked notes,Issuer_40,12757386.29473248,45874939.04103112,92.26232478138483,2030-03-01
2623,2024-12-31,2623-STRUCT-001,Structured Product 1,Credit-linked notes,Issuer_39,48305212.58665431,28881542.240095392,81.4579690374331,2030-05-01
2623,2024-12-31,2623-STRUCT-002,Structured Product 2,Capital protected notes,Issuer_16,16393950.81557646,42577285.69011052,96.35644147132382,2028-08-01
609,2024-12-31,0609-STRUCT-001,Structured Product 1,Reverse convertibles,Issuer_50,27584128.896102667,25837930.226931386,95.06951210892962,2033-07-01
609,2024-12-31,0609-STRUCT-002,Structured Product 2,Credit-linked notes,Issuer_62,29611198.120690588,30219884.806280844,81.78946245620774,2033-10-01
609,2024-12-31,0609-STRUCT-003,Structured Product 3,Credit-linked notes,Issuer_32,43397815.93552409,45095373.85574369,81.98475329839361,2031-08-01
609,2024-12-31,0609-STRUCT-004,Structured Product 4,Credit-linked notes,Issuer_82,16821296.465087086,45988771.00259168,82.57805170146997,2027-04-01
609,2024-12-31,0609-STRUCT-005,Structured Product 5,Reverse convertibles,Issuer_55,9552452.882589646,33910616.97989562,87.12134598238289,2034-05-01
609,2024-12-31,0609-STRUCT-006,Structured Product 6,Equity-linked notes,Issuer_1,15516070.197141362,34681687.810718074,84.7136506915177,2035-07-01
1003,2024-12-31,1003-STRUCT-001,Structured Product 1,Equity-linked notes,Issuer_75,44315511.555233695,10086486.35808448,97.33191377191008,2033-10-01
1003,2024-12-31,1003-STRUCT-002,Structured Product 2,Credit-linked notes,Issuer_39,10719972.08901608,24522009.057266176,83.21720586970196,2033-05-01
1003,2024-12-31,1003-STRUCT-003,Structured Product 3,Capital protected notes,Issuer_27,39149066.04880773,9078232.97309435,90.12279705389288,2029-12-01
1003,2024-12-31,1003-STRUCT-004,Structured Product 4,Capital protected notes,Issuer_35,47127336.869794846,28648857.60360496,99.00558447222814,2032-10-01
99,2024-12-31,0099-STRUCT-001,Structured Product 1,Credit-linked notes,Issuer_89,22738572.256995857,44713750.17053898,89.85965420916179,2025-01-01
99,2024-12-31,0099-STRUCT-002,Structured Product 2,Equity-linked notes,Issuer_53,27064062.023442272,44645680.08974778,96.63883083376103,2026-11-01
99,2024-12-31,0099-STRUCT-003,Structured Product 3,Credit-linked notes,Issuer_69,19998493.694173627,27612545.153878205,91.45545019474218,2031-10-01
99,2024-12-31,0099-STRUCT-004,Structured Product 4,Structured bonds,Issuer_50,40727978.81220157,27351172.755156297,86.68091096839919,2030-04-01
5000,2024-12-31,5000-STRUCT-001,Structured Product 1,Credit-linked notes,Issuer_29,15748032.218162311,49565496.244287215,86.10199373639053,2026-10-01
5000,2024-12-31,5000-STRUCT-002,Structured Product 2,Structured bonds,Issuer_92,25730275.624474693,18740211.681291938,80.70318500542388,2029-08-01
5000,2024-12-31,5000-STRUCT-003,Structured Product 3,Reverse convertibles,Issuer_27,29484888.077276085,30482193.85695841,87.13117842353778,2034-09-01
5000,2024-12-31,5000-STRUCT-004,Structured Product 4,Capital protected notes,Issuer_22,48448306.320564486,22112726.90705496,85.16453626519966,2027-12-01
5000,2024-12-31,5000-STRUCT-005,Structured Product 5,Credit-linked notes,Issuer_17,25599407.57168604,40456967.13841332,84.11976368376946,2029-04-01
