Syndicate,Reporting_Date,Line_of_Business,Technical_Provisions_Calculated_Whole,Best_Estimate_Gross,Best_Estimate_Recoverable,Best_Estimate_Net,Risk_Margin,Technical_Provisions_Gross,Technical_Provisions_Recoverable,Technical_Provisions_Net
1729,2025-09-30,Workers compensation insurance,0,30559579.566392437,12187489.16563486,18372090.400757574,3775799.476248891,34335379.04264133,12187489.16563486,22147889.877006467
1729,2025-09-30,Motor vehicle liability insurance,0,34883468.009114936,13210728.213707687,21672739.79540725,7646644.365603494,42530112.37471843,13210728.213707687,29319384.161010742
1729,2025-09-30,Legal expenses insurance,0,15882939.237161515,14045639.127099426,1837300.110062091,4444814.051556768,20327753.288718283,14045639.127099426,6282114.161618857
1729,2025-09-30,General liability insurance,0,20329775.53195833,7968764.831097397,12361010.700860936,7860228.026998339,28190003.558956675,7968764.831097397,20221238.72785928
1729,2025-09-30,"Marine, aviation and transport insurance",0,29704723.759714782,6273770.933737607,23430952.825977176,5433805.980217081,35138529.73993187,6273770.933737607,28864758.80619426
1183,2025-09-30,Other motor insurance,0,19605824.751127724,2986223.265412631,16619601.485715091,1902158.0533745447,21507982.804502267,2986223.265412631,18521759.539089635
1183,2025-09-30,Assistance,0,15121833.558310898,3974735.015659827,11147098.542651072,1971790.208545871,17093623.766856767,3974735.015659827,13118888.75119694
1183,2025-09-30,Credit and suretyship insurance,0,35634989.792128585,4364441.0971888825,31270548.694939703,3419670.9832670423,39054660.77539562,4364441.0971888825,34690219.67820674
1183,2025-09-30,Motor vehicle liability insurance,0,45871536.39624047,8161501.32341734,37710035.07282313,5672904.16964719,51544440.56588766,8161501.32341734,43382939.24247032
1183,2025-09-30,"Marine, aviation and transport insurance",0,16892794.848065194,4499757.24451272,12393037.603552474,1286080.313865352,18178875.161930542,4499757.24451272,13679117.917417826
1183,2025-09-30,Fire and other damage to property insurance,0,16757402.522886582,5621674.407415463,11135728.11547112,2239073.389937228,18996475.91282381,5621674.407415463,13374801.505408349
1183,2025-09-30,Medical expense insurance,0,13548101.350282224,3568266.3243078105,9979835.025974412,4225451.37622908,17773552.726511303,3568266.3243078105,14205286.402203493
1183,2025-09-30,Income protection insurance,0,18253348.7362317,6735508.193624981,11517840.54260672,4523920.895983998,22777269.632215697,6735508.193624981,16041761.438590717
886,2025-09-30,Medical expense insurance,0,37615793.14517461,2511057.8179342863,35104735.32724032,6595872.792363298,44211665.93753791,2511057.8179342863,41700608.11960362
886,2025-09-30,"Marine, aviation and transport insurance",0,35116015.579636306,3062867.415335335,32053148.16430097,7115050.36874744,42231065.94838375,3062867.415335335,39168198.53304841
886,2025-09-30,Fire and other damage to property insurance,0,46834896.021272525,2794013.478113229,44040882.5431593,2938143.537030426,49773039.55830296,2794013.478113229,46979026.08018973
886,2025-09-30,Other motor insurance,0,42248051.19172245,11727375.97498756,30520675.216734894,2291647.135494641,44539698.327217095,11727375.97498756,32812322.352229536
886,2025-09-30,Income protection insurance,0,18373972.933468413,6816137.336287966,11557835.597180448,4391660.89633715,22765633.82980556,6816137.336287966,15949496.493517594
886,2025-09-30,General liability insurance,0,34730190.86121184,6795877.314407041,27934313.546804797,4237743.012932035,38967933.87414387,6795877.314407041,32172056.559736826
886,2025-09-30,Credit and suretyship insurance,0,39898837.52535026,2476881.6375777726,37421955.887772486,2767058.610408145,42665896.1357584,2476881.6375777726,40189014.49818063
886,2025-09-30,Workers compensation insurance,0,38533983.4353821,13637688.889933592,24896294.545448504,4581742.094809663,43115725.53019176,13637688.889933592,29478036.64025817
308,2025-09-30,Motor vehicle liability insurance,0,31284539.410612628,3393236.147417089,27891303.263195537,4131886.567764183,35416425.97837681,3393236.147417089,32023189.83095972
308,2025-09-30,Assistance,0,31304690.658200927,5152116.547251485,26152574.11094944,2884702.616645667,34189393.27484659,5152116.547251485,29037276.727595106
308,2025-09-30,General liability insurance,0,25091366.524184905,2260925.5711104427,22830440.953074463,3254554.159082248,28345920.683267158,2260925.5711104427,26084995.11215671
308,2025-09-30,Fire and other damage to property insurance,0,18457920.279861785,6257465.578312891,12200454.701548897,1838334.9227347584,20296255.202596545,6257465.578312891,14038789.624283656
308,2025-09-30,Legal expenses insurance,0,45621091.2295958,9716701.896202631,35904389.333393164,5753716.234011428,51374807.46360722,9716701.896202631,41658105.56740459
308,2025-09-30,Income protection insurance,0,41566849.54429353,8479748.586077746,33087100.958215784,1608442.0166119658,43175291.56090549,8479748.586077746,34695542.97482775
308,2025-09-30,Workers compensation insurance,0,31484261.672741912,9628934.534271428,21855327.13847049,6218076.31929031,37702337.99203222,9628934.534271428,28073403.4577608
308,2025-09-30,Credit and suretyship insurance,0,27266381.849187177,3658543.936342329,23607837.912844848,2986431.340591071,30252813.18977825,3658543.936342329,26594269.25343592
609,2025-09-30,Motor vehicle liability insurance,0,24523291.855945405,10396924.137310816,14126367.718634589,4995448.132682383,29518739.988627788,10396924.137310816,19121815.851316974
609,2025-09-30,Credit and suretyship insurance,0,24243869.035913847,14824698.234308736,9419170.801605113,5240423.73549821,29484292.77141206,14824698.234308736,14659594.537103323
609,2025-09-30,Assistance,0,19489071.669439778,3323172.144065249,16165899.525374528,2070013.974290324,21559085.6437301,3323172.144065249,18235913.49966485
609,2025-09-30,Other motor insurance,0,19838309.135380328,4088857.852374224,15749451.283006104,2305969.1683591404,22144278.30373947,4088857.852374224,18055420.451365247
609,2025-09-30,Fire and other damage to property insurance,0,21403806.747753885,4253856.7388318125,17149950.00892207,7277357.972384976,28681164.720138863,4253856.7388318125,24427307.98130705
609,2025-09-30,Legal expenses insurance,0,13209349.826465689,8818648.064413311,4390701.762052378,3872777.788927631,17082127.61539332,8818648.064413311,8263479.550980007
609,2025-09-30,Miscellaneous financial loss,0,49295144.67634425,3456505.7281846805,45838638.948159575,3784989.193320192,53080133.869664446,3456505.7281846805,49623628.14147977
609,2025-09-30,Workers compensation insurance,0,48778817.33101475,13251592.636621743,35527224.69439301,6719504.49664496,55498321.82765971,13251592.636621743,42246729.19103797
6129,2025-09-30,Motor vehicle liability insurance,0,20316113.081797592,4221538.636070856,16094574.445726736,5680502.539471017,25996615.621268608,4221538.636070856,21775076.985197756
6129,2025-09-30,Workers compensation insurance,0,47175039.56510344,9237917.609181087,37937121.95592235,5001288.826289299,52176328.39139273,9237917.609181087,42938410.78221165
6129,2025-09-30,Credit and suretyship insurance,0,21199163.74641137,12003408.13149518,9195755.614916189,2309306.2399026635,23508469.986314032,12003408.13149518,11505061.854818853
6129,2025-09-30,General liability insurance,0,22947169.456169747,7530673.702013418,15416495.754156329,4553272.650791185,27500442.10696093,7530673.702013418,19969768.40494751
6129,2025-09-30,Income protection insurance,0,19696389.29660321,3492878.721609646,16203510.574993564,5274340.297091428,24970729.59369464,3492878.721609646,21477850.872084998
6129,2025-09-30,Fire and other damage to property insurance,0,21545222.129610237,9556096.87849396,11989125.251116272,2080539.006919416,23625761.13652965,9556096.87849396,14069664.25803569
6129,2025-09-30,Medical expense insurance,0,29245604.0741927,8923662.623170616,20321941.45102208,1362764.7577569883,30608368.83194969,8923662.623170616,21684706.208779074
6129,2025-09-30,"Marine, aviation and transport insurance",0,23464171.127756823,3747390.800206665,19716780.32755016,1443624.7933093742,24907795.9210662,3747390.800206665,21160405.120859534
218,2025-09-30,Workers compensation insurance,0,49598409.29559781,6190599.984671399,43407809.31092641,6669121.120982444,56267530.41658025,6190599.984671399,50076930.43190885
218,2025-09-30,Assistance,0,20185626.190550555,10859535.38891108,9326090.801639477,6321595.019227806,26507221.20977836,10859535.38891108,15647685.82086728
218,2025-09-30,Miscellaneous financial loss,0,33825549.62431377,8130490.451152059,25695059.17316171,3882886.39903088,37708436.02334465,8130490.451152059,29577945.57219259
218,2025-09-30,Fire and other damage to property insurance,0,23954730.66171981,14083878.875221737,9870851.786498075,6814335.854514104,30769066.51623392,14083878.875221737,16685187.64101218
218,2025-09-30,Income protection insurance,0,48601076.4266605,3615863.905312082,44985212.52134842,6116072.3264255095,54717148.75308601,3615863.905312082,51101284.84777392
218,2025-09-30,Motor vehicle liability insurance,0,47533618.27284151,4356029.860153582,43177588.41268793,1465473.8715674423,48999092.14440896,4356029.860153582,44643062.28425537
218,2025-09-30,Credit and suretyship insurance,0,39644825.971602365,9468150.471338855,30176675.500263512,6892801.4373079045,46537627.40891027,9468150.471338855,37069476.93757141
218,2025-09-30,Other motor insurance,0,15590895.06505158,12338475.054178571,3252420.0108730067,2411391.240334212,18002286.30538579,12338475.054178571,5663811.251207218
99,2025-09-30,General liability insurance,0,16546237.71462818,4135455.373102908,12410782.341525272,6702023.041619675,23248260.756247856,4135455.373102908,19112805.38314495
99,2025-09-30,Credit and suretyship insurance,0,36607888.827848,8799850.52199855,27808038.30584945,3511813.388864517,40119702.21671252,8799850.52199855,31319851.69471397
99,2025-09-30,Other motor insurance,0,45088021.632524334,7101786.39649426,37986235.23603007,6716196.076301039,51804217.70882537,7101786.39649426,44702431.31233111
99,2025-09-30,Assistance,0,27565396.34280874,6900277.582523799,20665118.760284934,4238758.499687245,31804154.842495985,6900277.582523799,24903877.259972185
99,2025-09-30,Medical expense insurance,0,22055114.966565683,11718921.942291263,10336193.024274418,4519042.730647353,26574157.69721304,11718921.942291263,14855235.754921772
99,2025-09-30,"Marine, aviation and transport insurance",0,19288507.805872694,13694469.45256939,5594038.353303304,3687238.54961248,22975746.35548517,13694469.45256939,9281276.902915783
99,2025-09-30,Fire and other damage to property insurance,0,31742114.444559544,13784137.44253911,17957977.002020434,5369665.971397945,37111780.41595749,13784137.44253911,23327642.973418377
99,2025-09-30,Miscellaneous financial loss,0,14675921.628334563,14217817.606975175,458104.0213593859,5393956.371499925,20069877.99983449,14217817.606975175,5852060.392859312
1458,2025-09-30,Assistance,0,23396224.586283445,3810536.944624034,19585687.64165941,6558176.324892072,29954400.91117552,3810536.944624034,26143863.966551483
1458,2025-09-30,Credit and suretyship insurance,0,34802910.23714054,8934994.19569218,25867916.041448355,7257248.081356703,42060158.31849724,8934994.19569218,33125164.12280506
1458,2025-09-30,Other motor insurance,0,41543888.448981225,3971773.436525765,37572115.01245546,3182054.474568838,44725942.92355006,3971773.436525765,40754169.4870243
1458,2025-09-30,"Marine, aviation and transport insurance",0,19939565.592578627,11671301.8034448,8268263.789133826,1234727.0431504557,21174292.63572908,11671301.8034448,9502990.83228428
1458,2025-09-30,Income protection insurance,0,32795587.39485266,11911962.914628975,20883624.48022369,7137359.457332246,39932946.85218491,11911962.914628975,28020983.93755593
1458,2025-09-30,Workers compensation insurance,0,23683269.9486363,12676344.960736169,11006924.987900134,1774422.158686451,25457692.107322752,12676344.960736169,12781347.146586586
1458,2025-09-30,Motor vehicle liability insurance,0,43858091.66938072,3657352.6103157713,40200739.05906496,3781011.0339225703,47639102.70330329,3657352.6103157713,43981750.09298752
1458,2025-09-30,General liability insurance,0,41891814.63118215,3948926.555534059,37942888.07564809,2604759.7666284903,44496574.39781064,3948926.555534059,40547647.84227658
2623,2025-09-30,General liability insurance,0,38890102.735722646,11360474.975098968,27529627.76062368,5488033.4301970815,44378136.16591973,11360474.975098968,33017661.19082076
2623,2025-09-30,Medical expense insurance,0,37757937.778684005,9055417.76351875,28702520.01516525,2762593.412348669,40520531.19103268,9055417.76351875,31465113.427513927
2623,2025-09-30,Other motor insurance,0,23827839.740156777,4360770.318418534,19467069.421738245,7359153.929335399,31186993.669492178,4360770.318418534,26826223.351073645
2623,2025-09-30,Credit and suretyship insurance,0,33335671.790644817,7211068.417927318,26124603.3727175,4234040.625508929,37569712.416153744,7211068.417927318,30358643.998226427
2623,2025-09-30,Workers compensation insurance,0,47891333.58447261,3993568.2405090425,43897765.34396357,5103608.82411758,52994942.40859019,3993568.2405090425,49001374.16808115
2623,2025-09-30,Legal expenses insurance,0,30235547.15537864,9948905.060650423,20286642.094728217,1126771.2867458835,31362318.442124523,9948905.060650423,21413413.3814741
2623,2025-09-30,Assistance,0,44884956.35776606,14117537.67228696,30767418.6854791,4955932.285124462,49840888.64289053,14117537.67228696,35723350.97060357
2623,2025-09-30,Miscellaneous financial loss,0,37866032.95507569,13992491.955304844,23873540.99977084,5950670.44019379,43816703.39526948,13992491.955304844,29824211.43996463
1221,2025-09-30,Assistance,0,16101561.716570454,9491748.682168571,6609813.034401882,5247005.324679991,21348567.041250445,9491748.682168571,11856818.359081874
1221,2025-09-30,Credit and suretyship insurance,0,26965226.85209544,11573775.063121395,15391451.788974045,7540569.103383104,34505795.95547854,11573775.063121395,22932020.892357145
1221,2025-09-30,Legal expenses insurance,0,47022740.516271055,7860911.828253717,39161828.68801734,1792666.320885287,48815406.83715634,7860911.828253717,40954495.008902624
1221,2025-09-30,Motor vehicle liability insurance,0,49393647.95849338,12905675.123797145,36487972.83469624,1872638.768422868,51266286.726916246,12905675.123797145,38360611.60311911
1221,2025-09-30,Workers compensation insurance,0,46833675.30469489,13308652.706807667,33525022.597887225,4631866.399882505,51465541.704577394,13308652.706807667,38156888.99776973
1221,2025-09-30,General liability insurance,0,33651017.42979717,7187035.150311694,26463982.27948548,1383331.4717542194,35034348.9015514,7187035.150311694,27847313.751239706
1221,2025-09-30,Income protection insurance,0,23407889.66583604,12437094.83177415,10970794.834061887,1032424.16103222,24440313.82686825,12437094.83177415,12003218.995094106
1221,2025-09-30,Other motor insurance,0,23339966.867645767,7176193.016682263,16163773.850963503,4761769.220565461,28101736.088211227,7176193.016682263,20925543.071528964
