Syndicate,Reporting_Date,Line_of_Business,Accident_Year,Development_Year,Reins_Claims_Reported,Reins_Claims_Paid,Reins_Claims_Outstanding
1729,2024-12-31,General liability insurance,2019,0,4007882.0228761337,479813.8958043521,3528068.127071781
1729,2024-12-31,General liability insurance,2019,1,5961071.524650029,2822237.786688816,3138833.737961213
1729,2024-12-31,General liability insurance,2019,2,7093046.500289345,3610042.40829856,3483004.091990785
1729,2024-12-31,General liability insurance,2019,3,6313175.7024823,3970639.5786155625,2342536.1238667374
1729,2024-12-31,General liability insurance,2019,4,7441466.435606534,7285285.185553801,156181.25005273242
1729,2024-12-31,General liability insurance,2019,5,9135187.760119855,7720087.514098127,1415100.24602173
1729,2024-12-31,General liability insurance,2020,0,5158435.112187111,1032657.0794987772,4125778.0326883337
1729,2024-12-31,General liability insurance,2020,1,4092938.7247020616,1688937.3858768388,2404001.338825223
1729,2024-12-31,General liability insurance,2020,2,3896433.468165498,2638824.9349406795,1257608.5332248192
1729,2024-12-31,General liability insurance,2020,3,4781384.113950517,2999969.249224035,1781414.864726482
1729,2024-12-31,General liability insurance,2020,4,6753319.742708515,3725350.1351592178,3027969.6075492976
1729,2024-12-31,General liability insurance,2021,0,1072437.5153396402,289389.6685152973,783047.8468243429
1729,2024-12-31,General liability insurance,2021,1,1335690.2628194953,660564.5667624373,675125.6960570579
1729,2024-12-31,General liability insurance,2021,2,1299653.2198688246,654777.3252818857,644875.8945869389
1729,2024-12-31,General liability insurance,2021,3,2186321.9170199702,973575.0313259288,1212746.8856940414
1729,2024-12-31,General liability insurance,2022,0,4784066.528337146,370830.2284461133,4413236.299891033
1729,2024-12-31,General liability insurance,2022,1,5278197.007665389,2324436.648387659,2953760.3592777303
1729,2024-12-31,General liability insurance,2022,2,7661261.856163609,2776806.024714901,4884455.831448708
1729,2024-12-31,General liability insurance,2023,0,3206954.225994881,375183.8318706581,2831770.394124223
1729,2024-12-31,General liability insurance,2023,1,3617761.64216985,1356691.821840361,2261069.820329489
1729,2024-12-31,General liability insurance,2024,0,4462225.574746409,173198.7104278332,4289026.864318577
1729,2024-12-31,Fire and other damage to property insurance,2015,0,3772855.5419406174,779605.6037908841,2993249.9381497344
1729,2024-12-31,Fire and other damage to property insurance,2015,1,5234943.429151906,2129037.148065743,3105906.2810861627
1729,2024-12-31,Fire and other damage to property insurance,2015,2,6305635.558507987,2327233.3771186043,3978402.181389383
1729,2024-12-31,Fire and other damage to property insurance,2015,3,7003991.37005816,4198294.750232878,2805696.619825282
1729,2024-12-31,Fire and other damage to property insurance,2015,4,7736820.069109894,3647523.5196124697,4089296.5494974246
1729,2024-12-31,Fire and other damage to property insurance,2015,5,6590653.713147617,4860455.1777035175,1730198.5354440997
1729,2024-12-31,Fire and other damage to property insurance,2015,6,7282873.433324569,5984633.5882605305,1298239.8450640384
1729,2024-12-31,Fire and other damage to property insurance,2015,7,6732156.21286087,7026108.01361228,-293951.8007514095
1729,2024-12-31,Fire and other damage to property insurance,2015,8,8685005.316903984,7846535.546764103,838469.7701398814
1729,2024-12-31,Fire and other damage to property insurance,2015,9,11517024.259933978,10316197.43111598,1200826.8288179971
1729,2024-12-31,Fire and other damage to property insurance,2016,0,2268374.361534506,117083.19622238776,2151291.1653121184
1729,2024-12-31,Fire and other damage to property insurance,2016,1,2467023.81965393,883348.0726420439,1583675.7470118862
1729,2024-12-31,Fire and other damage to property insurance,2016,2,3564677.212227224,1612350.7951162,1952326.417111024
1729,2024-12-31,Fire and other damage to property insurance,2016,3,3504804.899109759,2074525.011856174,1430279.8872535848
1729,2024-12-31,Fire and other damage to property insurance,2016,4,3349973.232769548,3199007.9139804165,150965.31878913147
1729,2024-12-31,Fire and other damage to property insurance,2016,5,4543818.764390769,2511789.337656946,2032029.4267338235
1729,2024-12-31,Fire and other damage to property insurance,2016,6,4181027.9582929662,4152637.146944573,28390.811348393094
1729,2024-12-31,Fire and other damage to property insurance,2016,7,5499764.169713363,3918997.810650058,1580766.359063305
1729,2024-12-31,Fire and other damage to property insurance,2016,8,6111032.133325543,5197170.680470142,913861.4528554016
1729,2024-12-31,Fire and other damage to property insurance,2017,0,5884384.526867455,487857.7111145923,5396526.815752863
1729,2024-12-31,Fire and other damage to property insurance,2017,1,5976853.742522777,2000580.0247918167,3976273.71773096
1729,2024-12-31,Fire and other damage to property insurance,2017,2,5770526.79211937,3413350.7756796405,2357176.0164397294
1729,2024-12-31,Fire and other damage to property insurance,2017,3,7023749.605454917,4454076.731945869,2569672.8735090485
1729,2024-12-31,Fire and other damage to property insurance,2017,4,6031930.949963529,4575058.1915416,1456872.7584219286
1729,2024-12-31,Fire and other damage to property insurance,2017,5,9466303.317846764,7681516.475451069,1784786.842395695
1729,2024-12-31,Fire and other damage to property insurance,2017,6,6915539.33612178,7588511.186672198,-672971.8505504178
1729,2024-12-31,Fire and other damage to property insurance,2017,7,8335954.512591379,10046046.593229093,-1710092.080637714
1729,2024-12-31,Fire and other damage to property insurance,2018,0,1286927.9896993125,125222.09310269772,1161705.8965966145
1729,2024-12-31,Fire and other damage to property insurance,2018,1,908221.1725737604,562527.4791240862,345693.69344967406
1729,2024-12-31,Fire and other damage to property insurance,2018,2,1314097.777622216,577909.8847018253,736187.8929203908
1729,2024-12-31,Fire and other damage to property insurance,2018,3,1388116.7612689473,749965.7112584063,638151.050010541
1729,2024-12-31,Fire and other damage to property insurance,2018,4,1978137.4270190955,852103.3387376905,1126034.0882814047
1729,2024-12-31,Fire and other damage to property insurance,2018,5,2118203.8405437297,1161296.4426104524,956907.3979332772
1729,2024-12-31,Fire and other damage to property insurance,2018,6,1941761.8977177003,1993792.8697892064,-52030.97207150585
1729,2024-12-31,Fire and other damage to property insurance,2019,0,3324194.3383975616,1072642.200783594,2251552.1376139675
1729,2024-12-31,Fire and other damage to property insurance,2019,1,3238411.940625735,1491384.3735302386,1747027.5670954965
1729,2024-12-31,Fire and other damage to property insurance,2019,2,3226181.372387619,1526634.0669942666,1699547.3053933526
1729,2024-12-31,Fire and other damage to property insurance,2019,3,5362815.94721094,2853426.046068712,2509389.9011422275
1729,2024-12-31,Fire and other damage to property insurance,2019,4,4682249.986449751,3265851.048946258,1416398.937503493
1729,2024-12-31,Fire and other damage to property insurance,2019,5,4535081.510834998,3892142.9599430575,642938.55089194
1729,2024-12-31,Fire and other damage to property insurance,2020,0,5371622.166647074,2160047.526141959,3211574.640505115
1729,2024-12-31,Fire and other damage to property insurance,2020,1,4459263.966048643,2621106.4162390428,1838157.5498096
1729,2024-12-31,Fire and other damage to property insurance,2020,2,5337272.795735475,3093603.865745333,2243668.929990141
1729,2024-12-31,Fire and other damage to property insurance,2020,3,7799804.303295368,4086990.696835215,3712813.6064601536
1729,2024-12-31,Fire and other damage to property insurance,2020,4,6257049.402343018,5225838.06754739,1031211.3347956276
1729,2024-12-31,Fire and other damage to property insurance,2021,0,3576760.8531269897,361135.77679465385,3215625.076332336
1729,2024-12-31,Fire and other damage to property insurance,2021,1,4406289.03265636,1797295.6493678854,2608993.3832884748
1729,2024-12-31,Fire and other damage to property insurance,2021,2,4860088.930065968,1884267.1123638505,2975821.817702118
1729,2024-12-31,Fire and other damage to property insurance,2021,3,4188682.69962608,2721350.3011247134,1467332.3985013664
1729,2024-12-31,Fire and other damage to property insurance,2022,0,2238341.873430503,266441.6231470625,1971900.2502834408
1729,2024-12-31,Fire and other damage to property insurance,2022,1,1907345.56424862,814500.2986082665,1092845.265640353
1729,2024-12-31,Fire and other damage to property insurance,2022,2,2684446.771514963,1596637.1181467029,1087809.65336826
1729,2024-12-31,Fire and other damage to property insurance,2023,0,3966751.611443648,497140.9378973789,3469610.673546269
1729,2024-12-31,Fire and other damage to property insurance,2023,1,3839841.754798593,2330619.001642439,1509222.7531561535
1729,2024-12-31,Fire and other damage to property insurance,2024,0,2912798.779558583,199669.2562692813,2713129.523289302
1729,2024-12-31,Workers compensation insurance,2015,0,5421170.193372294,842989.9071524375,4578180.286219857
1729,2024-12-31,Workers compensation insurance,2015,1,5744884.227298354,1687584.8483737663,4057299.3789245873
1729,2024-12-31,Workers compensation insurance,2015,2,6131911.177663674,2684006.921233294,3447904.25643038
1729,2024-12-31,Workers compensation insurance,2015,3,5258759.106393176,3994234.35201644,1264524.754376736
1729,2024-12-31,Workers compensation insurance,2015,4,8748649.789520195,4219715.537898153,4528934.251622042
1729,2024-12-31,Workers compensation insurance,2015,5,8156870.556647577,5109841.947571361,3047028.609076216
1729,2024-12-31,Workers compensation insurance,2015,6,10419475.916796433,6473496.993864256,3945978.922932177
1729,2024-12-31,Workers compensation insurance,2015,7,7070434.170457779,10208108.729575254,-3137674.5591174746
1729,2024-12-31,Workers compensation insurance,2015,8,9213914.494521609,8901975.953192344,311938.5413292628
1729,2024-12-31,Workers compensation insurance,2015,9,8221010.668621684,8580271.493317027,-359260.8246953422
1729,2024-12-31,Workers compensation insurance,2016,0,5441705.51661582,1533686.4979907998,3908019.01862502
1729,2024-12-31,Workers compensation insurance,2016,1,5810727.178805559,3154918.4545467533,2655808.7242588056
1729,2024-12-31,Workers compensation insurance,2016,2,5811687.253920236,4453313.584396563,1358373.6695236731
1729,2024-12-31,Workers compensation insurance,2016,3,6643190.502728176,5134531.256633952,1508659.246094224
1729,2024-12-31,Workers compensation insurance,2016,4,8420644.890485266,5230567.476869383,3190077.413615884
1729,2024-12-31,Workers compensation insurance,2016,5,12162744.419255191,7929394.543730183,4233349.875525008
1729,2024-12-31,Workers compensation insurance,2016,6,11090013.465379188,8663809.649053741,2426203.8163254466
1729,2024-12-31,Workers compensation insurance,2016,7,11358482.03680649,9441717.161478346,1916764.875328144
1729,2024-12-31,Workers compensation insurance,2016,8,13853297.30746878,10241809.009105148,3611488.2983636335
1729,2024-12-31,Workers compensation insurance,2017,0,3747263.981692346,449527.5508053421,3297736.430887004
1729,2024-12-31,Workers compensation insurance,2017,1,4829843.342978154,2103240.9041065653,2726602.438871589
1729,2024-12-31,Workers compensation insurance,2017,2,6029640.114310732,2940720.1368688378,3088919.9774418944
1729,2024-12-31,Workers compensation insurance,2017,3,8587056.337259503,3993645.310276795,4593411.026982708
1729,2024-12-31,Workers compensation insurance,2017,4,9087699.355177147,6123714.615012462,2963984.740164685
1729,2024-12-31,Workers compensation insurance,2017,5,7339332.650395603,6199595.098134226,1139737.5522613768
1729,2024-12-31,Workers compensation insurance,2017,6,7549172.012571759,6147490.15868622,1401681.8538855389
1729,2024-12-31,Workers compensation insurance,2017,7,8628611.294979008,7219742.458454428,1408868.8365245797
1729,2024-12-31,Workers compensation insurance,2018,0,2200314.1408148347,543074.4611789153,1657239.6796359194
1729,2024-12-31,Workers compensation insurance,2018,1,1881381.338731144,759099.6145394761,1122281.7241916675
1729,2024-12-31,Workers compensation insurance,2018,2,1976385.042237022,1110247.737849512,866137.3043875098
1729,2024-12-31,Workers compensation insurance,2018,3,2913321.4865467018,1579914.618546828,1333406.8679998738
1729,2024-12-31,Workers compensation insurance,2018,4,2350498.590265497,1817285.2575915277,533213.3326739697
1729,2024-12-31,Workers compensation insurance,2018,5,3432405.865487832,1998300.078323808,1434105.7871640243
1729,2024-12-31,Workers compensation insurance,2018,6,3752354.253230558,3453984.9395629605,298369.31366759725
1729,2024-12-31,Workers compensation insurance,2019,0,3432148.7285637297,81384.3654562947,3350764.363107435
1729,2024-12-31,Workers compensation insurance,2019,1,4773943.871444715,1756909.9357398602,3017033.9357048552
1729,2024-12-31,Workers compensation insurance,2019,2,5361982.105187831,2428833.775445669,2933148.3297421625
1729,2024-12-31,Workers compensation insurance,2019,3,7093001.217729662,3906757.636116509,3186243.581613153
1729,2024-12-31,Workers compensation insurance,2019,4,6498825.751071414,4982827.987957037,1515997.763114377
1729,2024-12-31,Workers compensation insurance,2019,5,5992742.111015503,6607471.658322081,-614729.5473065777
1729,2024-12-31,Workers compensation insurance,2020,0,806017.455050139,88687.46076923344,717329.9942809056
1729,2024-12-31,Workers compensation insurance,2020,1,778885.6309785758,341865.0918956651,437020.5390829107
1729,2024-12-31,Workers compensation insurance,2020,2,1028428.7071931092,573360.229021184,455068.47817192506
1729,2024-12-31,Workers compensation insurance,2020,3,978140.9106702806,758028.0674062119,220112.8432640687
1729,2024-12-31,Workers compensation insurance,2020,4,1028472.2556307248,651192.1218010559,377280.133829669
1729,2024-12-31,Workers compensation insurance,2021,0,4608396.207352205,787142.2701277281,3821253.937224477
1729,2024-12-31,Workers compensation insurance,2021,1,4662251.91553245,2286302.639164704,2375949.2763677463
1729,2024-12-31,Workers compensation insurance,2021,2,6503896.512053413,3777059.986890256,2726836.525163157
1729,2024-12-31,Workers compensation insurance,2021,3,8671692.764663532,3525147.948699543,5146544.815963989
1729,2024-12-31,Workers compensation insurance,2022,0,1971312.963879327,554642.2231472136,1416670.7407321134
1729,2024-12-31,Workers compensation insurance,2022,1,1797379.6604843244,734325.4600166434,1063054.200467681
1729,2024-12-31,Workers compensation insurance,2022,2,1597140.3691717845,1276248.692978772,320891.67619301216
1729,2024-12-31,Workers compensation insurance,2023,0,1906956.8926641275,40849.62188258315,1866107.270781544
1729,2024-12-31,Workers compensation insurance,2023,1,2672701.9747044253,818185.4281368208,1854516.5465676044
1729,2024-12-31,Workers compensation insurance,2024,0,3193523.5336555843,173989.66299119827,3019533.870664386
1729,2024-12-31,Medical expense insurance,2015,0,1716794.158181535,318945.8090257107,1397848.3491558244
1729,2024-12-31,Medical expense insurance,2015,1,2446071.983456289,1288881.262941097,1157190.720515192
1729,2024-12-31,Medical expense insurance,2015,2,2695078.949031873,1596683.4680363925,1098395.480995481
1729,2024-12-31,Medical expense insurance,2015,3,3227334.6411050614,1755350.35405402,1471984.2870510414
1729,2024-12-31,Medical expense insurance,2015,4,4443324.226239755,2837769.629052185,1605554.5971875694
1729,2024-12-31,Medical expense insurance,2015,5,5463448.905468843,4074120.7639302136,1389328.1415386293
1729,2024-12-31,Medical expense insurance,2015,6,4747618.410087379,3301237.656345538,1446380.7537418408
1729,2024-12-31,Medical expense insurance,2015,7,4927543.397646808,4106414.884038259,821128.5136085493
1729,2024-12-31,Medical expense insurance,2015,8,4931062.270702697,5476047.491714988,-544985.2210122906
1729,2024-12-31,Medical expense insurance,2015,9,5721701.716712245,6526211.94471122,-804510.2279989747
1729,2024-12-31,Medical expense insurance,2016,0,2121733.4330037488,361288.8555914772,1760444.5774122716
1729,2024-12-31,Medical expense insurance,2016,1,2483065.034528795,763930.044391463,1719134.990137332
1729,2024-12-31,Medical expense insurance,2016,2,2568428.099390508,1520495.6554917858,1047932.4438987224
1729,2024-12-31,Medical expense insurance,2016,3,2427574.241740105,1697335.247060539,730238.9946795662
1729,2024-12-31,Medical expense insurance,2016,4,3371458.8700888758,2828724.2844726783,542734.585616197
1729,2024-12-31,Medical expense insurance,2016,5,3533692.2209993736,2300460.3879191163,1233231.8330802573
1729,2024-12-31,Medical expense insurance,2016,6,3424075.0512941214,4232944.670282415,-808869.6189882937
1729,2024-12-31,Medical expense insurance,2016,7,5187900.473060072,4075093.42601032,1112807.0470497515
1729,2024-12-31,Medical expense insurance,2016,8,5130959.479641655,3489217.034920832,1641742.4447208224
1729,2024-12-31,Medical expense insurance,2017,0,2193797.4035737514,333024.4003083159,1860773.003265436
1729,2024-12-31,Medical expense insurance,2017,1,4222426.1208937615,1855675.073718191,2366751.0471755704
1729,2024-12-31,Medical expense insurance,2017,2,4844005.030422812,2033906.7996736604,2810098.230749152
1729,2024-12-31,Medical expense insurance,2017,3,5988943.110587112,3457702.2979702824,2531240.8126168293
1729,2024-12-31,Medical expense insurance,2017,4,5730679.189933741,4950083.724989743,780595.4649439985
1729,2024-12-31,Medical expense insurance,2017,5,6650186.117952065,5759657.515208474,890528.6027435903
1729,2024-12-31,Medical expense insurance,2017,6,7668888.767592706,6788539.320210277,880349.4473824287
1729,2024-12-31,Medical expense insurance,2017,7,6192113.7054064125,5901579.185111931,290534.5202944819
1729,2024-12-31,Medical expense insurance,2018,0,5839589.094307052,250941.68242698623,5588647.411880066
1729,2024-12-31,Medical expense insurance,2018,1,5102301.032369462,2296054.750037353,2806246.282332109
1729,2024-12-31,Medical expense insurance,2018,2,5643314.36760763,3181072.480968708,2462241.886638922
1729,2024-12-31,Medical expense insurance,2018,3,8828974.690205775,4415748.552722653,4413226.137483122
1729,2024-12-31,Medical expense insurance,2018,4,6643659.051255134,5309573.345671068,1334085.705584066
1729,2024-12-31,Medical expense insurance,2018,5,9567631.950080598,8870267.168883141,697364.7811974566
1729,2024-12-31,Medical expense insurance,2018,6,10347212.707523976,8254545.095841831,2092667.6116821468
1729,2024-12-31,Medical expense insurance,2019,0,3378566.713905877,1141619.7087315845,2236947.0051742927
1729,2024-12-31,Medical expense insurance,2019,1,4725480.82715671,1273872.8306332158,3451607.996523495
1729,2024-12-31,Medical expense insurance,2019,2,5260652.241172356,2111394.9257984534,3149257.315373902
1729,2024-12-31,Medical expense insurance,2019,3,3857777.988712717,2620766.0571612287,1237011.9315514886
1729,2024-12-31,Medical expense insurance,2019,4,6563153.557113264,3349502.4938909705,3213651.0632222933
1729,2024-12-31,Medical expense insurance,2019,5,6430849.38187026,3938370.243066113,2492479.1388041475
1729,2024-12-31,Medical expense insurance,2020,0,3976032.875693233,1054804.1573015873,2921228.7183916457
1729,2024-12-31,Medical expense insurance,2020,1,4390433.922821661,1172258.972866431,3218174.9499552306
1729,2024-12-31,Medical expense insurance,2020,2,3779757.162978316,2606047.72382515,1173709.4391531656
1729,2024-12-31,Medical expense insurance,2020,3,5352604.940466178,2449566.5909800096,2903038.349486168
1729,2024-12-31,Medical expense insurance,2020,4,5447526.382512271,4087243.786688086,1360282.5958241853
1729,2024-12-31,Medical expense insurance,2021,0,1344906.1284947668,471255.5694777029,873650.5590170638
1729,2024-12-31,Medical expense insurance,2021,1,1312169.7922477925,485439.4449291853,826730.3473186071
1729,2024-12-31,Medical expense insurance,2021,2,1693821.9382963052,725771.5308220203,968050.407474285
1729,2024-12-31,Medical expense insurance,2021,3,1868326.4215562984,1127014.879675919,741311.5418803797
1729,2024-12-31,Medical expense insurance,2022,0,962117.862577023,130718.22353191931,831399.6390451037
1729,2024-12-31,Medical expense insurance,2022,1,1206798.3324900968,379882.14784789656,826916.1846422002
1729,2024-12-31,Medical expense insurance,2022,2,931578.6830863704,576412.4206996845,355166.26238668594
1729,2024-12-31,Medical expense insurance,2023,0,7033828.082276455,384800.9037066255,6649027.17856983
1729,2024-12-31,Medical expense insurance,2023,1,7746030.855002411,3086373.539702783,4659657.315299628
1729,2024-12-31,Medical expense insurance,2024,0,2206415.294137032,417692.40811303374,1788722.8860239976
1729,2024-12-31,Income protection insurance,2015,0,4031717.29294386,491915.2704809964,3539802.0224628635
1729,2024-12-31,Income protection insurance,2015,1,4663828.054087103,1490297.5522013612,3173530.501885742
1729,2024-12-31,Income protection insurance,2015,2,6239867.526648555,3138997.4412645404,3100870.0853840145
1729,2024-12-31,Income protection insurance,2015,3,4544326.182595215,3364905.523822464,1179420.6587727508
1729,2024-12-31,Income protection insurance,2015,4,7348204.016368062,3557906.889681681,3790297.126686381
1729,2024-12-31,Income protection insurance,2015,5,6360833.447733741,5026021.633505524,1334811.8142282171
1729,2024-12-31,Income protection insurance,2015,6,7299006.846277128,5610264.122957932,1688742.723319196
1729,2024-12-31,Income protection insurance,2015,7,7873825.742371428,6133639.296833579,1740186.4455378484
1729,2024-12-31,Income protection insurance,2015,8,8832544.717063965,8995962.053672297,-163417.33660833165
1729,2024-12-31,Income protection insurance,2015,9,11165881.811826576,10756311.589103382,409570.2227231935
1729,2024-12-31,Income protection insurance,2016,0,1735847.761883868,162470.47882920603,1573377.2830546622
1729,2024-12-31,Income protection insurance,2016,1,1834395.314184856,1115403.9840757882,718991.330109068
1729,2024-12-31,Income protection insurance,2016,2,1873942.307682472,1205826.8704731103,668115.4372093612
1729,2024-12-31,Income protection insurance,2016,3,2758113.042899371,1488623.1092320394,1269489.9336673317
1729,2024-12-31,Income protection insurance,2016,4,3242911.782913004,2544645.329784212,698266.4531287923
1729,2024-12-31,Income protection insurance,2016,5,3281762.9727274147,3148550.2035230086,133212.76920440607
1729,2024-12-31,Income protection insurance,2016,6,3019810.169405044,3409422.875422216,-389612.7060171715
1729,2024-12-31,Income protection insurance,2016,7,3014910.080070504,4014756.904391459,-999846.8243209552
1729,2024-12-31,Income protection insurance,2016,8,3572685.15806011,4719728.86390066,-1147043.7058405494
1729,2024-12-31,Income protection insurance,2017,0,7989562.118733413,481571.2998018426,7507990.818931571
1729,2024-12-31,Income protection insurance,2017,1,4664583.039504721,1857859.2300368007,2806723.80946792
1729,2024-12-31,Income protection insurance,2017,2,6694471.072683146,3023288.651784072,3671182.420899074
1729,2024-12-31,Income protection insurance,2017,3,8018895.507915346,3326770.804665499,4692124.703249848
1729,2024-12-31,Income protection insurance,2017,4,6706013.058066223,5027834.726562418,1678178.3315038048
1729,2024-12-31,Income protection insurance,2017,5,8986783.150189292,6719042.929116278,2267740.2210730137
1729,2024-12-31,Income protection insurance,2017,6,12076220.40675032,9446738.16409721,2629482.242653111
1729,2024-12-31,Income protection insurance,2017,7,10064785.10803515,11765121.76100469,-1700336.6529695392
1729,2024-12-31,Income protection insurance,2018,0,1711853.7061170675,382870.7531455071,1328982.9529715606
1729,2024-12-31,Income protection insurance,2018,1,2019934.8430468796,1045392.0315461566,974542.8115007228
1729,2024-12-31,Income protection insurance,2018,2,2836891.0329797794,1447331.2528396177,1389559.7801401615
1729,2024-12-31,Income protection insurance,2018,3,3895652.904321607,2236235.911988484,1659416.9923331223
1729,2024-12-31,Income protection insurance,2018,4,2851532.145178169,2031663.1349598223,819869.0102183465
1729,2024-12-31,Income protection insurance,2018,5,3236026.7929330524,3863271.6206629314,-627244.827729879
1729,2024-12-31,Income protection insurance,2018,6,4130816.196778478,3487003.5052935365,643812.6914849416
1729,2024-12-31,Income protection insurance,2019,0,2706798.3427657727,470140.8986241988,2236657.4441415737
1729,2024-12-31,Income protection insurance,2019,1,5399995.326446709,2087751.4095682013,3312243.9168785075
1729,2024-12-31,Income protection insurance,2019,2,5936650.831706456,1985392.3393111867,3951258.492395269
1729,2024-12-31,Income protection insurance,2019,3,6146258.823447822,3281395.315271215,2864863.5081766066
1729,2024-12-31,Income protection insurance,2019,4,5034902.964292773,5601068.238055522,-566165.2737627486
1729,2024-12-31,Income protection insurance,2019,5,7440346.0266652545,5366218.296946539,2074127.729718716
1729,2024-12-31,Income protection insurance,2020,0,4712910.73945981,835986.8497432062,3876923.889716604
1729,2024-12-31,Income protection insurance,2020,1,5365494.077263088,2172522.476198673,3192971.601064415
1729,2024-12-31,Income protection insurance,2020,2,6399904.00933959,3928081.300226029,2471822.709113561
1729,2024-12-31,Income protection insurance,2020,3,9608289.23357911,5961630.158406454,3646659.075172656
1729,2024-12-31,Income protection insurance,2020,4,8492115.479339805,5564986.109596868,2927129.3697429365
1729,2024-12-31,Income protection insurance,2021,0,747079.6490833084,176222.6956346489,570856.9534486595
1729,2024-12-31,Income protection insurance,2021,1,1086103.2086628038,393936.99277650216,692166.2158863016
1729,2024-12-31,Income protection insurance,2021,2,999283.2875068968,552544.9779018655,446738.3096050312
1729,2024-12-31,Income protection insurance,2021,3,1387147.336011308,920546.188972295,466601.147039013
1729,2024-12-31,Income protection insurance,2022,0,1689203.2909103725,205246.14983379492,1483957.1410765774
1729,2024-12-31,Income protection insurance,2022,1,3475213.5387843694,1368182.1956997595,2107031.34308461
1729,2024-12-31,Income protection insurance,2022,2,3586557.440494244,1664280.8395327495,1922276.6009614945
1729,2024-12-31,Income protection insurance,2023,0,3102245.746687279,748002.6152706612,2354243.131416618
1729,2024-12-31,Income protection insurance,2023,1,3645054.614864897,1184491.7589697838,2460562.855895113
1729,2024-12-31,Income protection insurance,2024,0,4878072.773180281,1219147.1263739346,3658925.646806346
1183,2024-12-31,Miscellaneous financial loss,2015,0,857401.8371900114,148895.49664503188,708506.3405449796
1183,2024-12-31,Miscellaneous financial loss,2015,1,1341731.555972902,465486.047668774,876245.5083041282
1183,2024-12-31,Miscellaneous financial loss,2015,2,1741864.2621465507,924294.1321761542,817570.1299703965
1183,2024-12-31,Miscellaneous financial loss,2015,3,1431472.4320876822,1333437.4119694051,98035.02011827704
1183,2024-12-31,Miscellaneous financial loss,2015,4,1902948.6885460017,1488587.3411496142,414361.3473963875
