Syndicate,Reporting_Date,Transaction_ID,Transaction_Type,Security_Type,Security_Value,Collateral_Received,Collateral_Type,Fee_Rate,Income_Generated
1,2024-12-31,0001-SECLEND-003,Reverse repo,Cash and deposits,44416985.99837922,44158001.45139514,Cash,0.4194243854356777,295521.0773973809
1,2024-12-31,0001-SECLEND-004,Securities lending,Equities,28051725.37443172,29368740.396062244,Government bonds,1.2876739501044043,237511.0752009103
1,2024-12-31,0001-SECLEND-005,Reverse repo,Equities,47578410.22960676,33988572.08812398,Corporate bonds,1.1264128068793753,346518.6746522514
1,2024-12-31,0001-SECLEND-006,Repo,Cash and deposits,7264531.982059877,8145373.800901197,Cash,0.4559589035208988,41562.91071251222
1,2024-12-31,0001-SECLEND-007,Securities lending,Investment funds,6461184.726128672,42167644.77850062,Government bonds,1.47432757758853,47760.00594765558
1,2024-12-31,0001-SECLEND-008,Reverse repo,Investment funds,11122530.549423931,46803945.03976405,Government bonds,0.3940934662076127,42872.43924242321
1,2024-12-31,0001-SECLEND-009,Repo,Government bonds,18552901.414881147,17448844.95806825,Cash,0.8073834872887907,192473.82543238663
3210,2024-12-31,3210-SECLEND-001,Securities lending,Government bonds,16459869.465048283,29447546.321922604,Government bonds,0.8740749745739023,174222.59487657834
3210,2024-12-31,3210-SECLEND-002,Securities lending,Equities,49395627.08506969,7796317.506411283,Government bonds,0.3701446151359681,242444.5556814415
3210,2024-12-31,3210-SECLEND-003,Securities lending,Cash and deposits,7377165.225887112,36292059.74911879,Government bonds,0.2035676270860672,14071.210704719071
3210,2024-12-31,3210-SECLEND-004,Securities lending,Equities,42639788.18192555,30596931.53409639,Corporate bonds,1.101314486704914,492756.42998690734
3210,2024-12-31,3210-SECLEND-005,Reverse repo,Government bonds,30271752.84704874,13540685.315310536,Cash,0.4756115759175263,206694.25601485636
3210,2024-12-31,3210-SECLEND-006,Reverse repo,Equities,19346779.52928521,34674820.791092575,Corporate bonds,0.4992237742864076,20639.80929199858
3210,2024-12-31,3210-SECLEND-007,Reverse repo,Property,10234927.720996756,53505844.32092161,Government bonds,0.1417654481382835,15384.141849770627
3210,2024-12-31,3210-SECLEND-008,Reverse repo,Cash and deposits,41121383.24012097,44401757.4787511,Corporate bonds,0.6647068163056823,241135.33487319955
6117,2024-12-31,6117-SECLEND-001,Repo,Cash and deposits,11103197.720329102,12281432.33527117,Cash,1.4251200727506657,126153.60201099965
6117,2024-12-31,6117-SECLEND-002,Repo,Property,33926296.59887782,44137283.71256934,Equities,1.8812142275582988,498341.0980081898
6117,2024-12-31,6117-SECLEND-003,Repo,Loans and mortgages,36136731.34699664,12792576.827572173,Equities,0.5625409718542803,227789.3785308164
6117,2024-12-31,6117-SECLEND-004,Reverse repo,Loans and mortgages,42898717.88929016,15465303.791710429,Cash,0.2377924022135147,101450.9334765761
2121,2024-12-31,2121-SECLEND-001,Repo,Investment funds,36647602.43190128,25126317.7745071,Equities,1.8480760998372168,836852.8420548106
2121,2024-12-31,2121-SECLEND-002,Securities lending,Cash and deposits,34261478.19921477,9520948.889583036,Cash,1.9009274777819556,390771.5120298887
2121,2024-12-31,2121-SECLEND-003,Securities lending,Investment funds,16635076.863811065,21860624.520314287,Corporate bonds,0.8642947859987298,130777.16673322085
2121,2024-12-31,2121-SECLEND-004,Repo,Equities,7305093.338194096,29825771.111530244,Corporate bonds,0.3343051330430552,26093.99392119442
2121,2024-12-31,2121-SECLEND-005,Reverse repo,Government bonds,23043664.700975828,22535489.399604216,Corporate bonds,1.5683961585103563,473306.3699511054
2121,2024-12-31,2121-SECLEND-006,Reverse repo,Loans and mortgages,41142673.0234729,12670644.1194544,Cash,0.7964472560205298,273814.5357710393
2623,2024-12-31,2623-SECLEND-001,Securities lending,Property,21800892.246432427,12570522.196804252,Government bonds,1.617061659597262,173852.31943586518
2623,2024-12-31,2623-SECLEND-002,Reverse repo,Cash and deposits,36825274.77509405,14519089.314851737,Corporate bonds,0.7967716263282182,208202.89109004423
2623,2024-12-31,2623-SECLEND-003,Securities lending,Cash and deposits,9761226.11854314,36410329.8546522,Corporate bonds,0.3306066566423774,41466.36300289488
2623,2024-12-31,2623-SECLEND-004,Reverse repo,Government bonds,49367037.5881213,44034103.73439312,Equities,0.8414532442095906,330044.264145398
2623,2024-12-31,2623-SECLEND-005,Reverse repo,Corporate bonds,31035376.95257095,50567090.81082044,Equities,1.1527886327520698,222504.96319042612
2623,2024-12-31,2623-SECLEND-006,Securities lending,Equities,12852431.887907982,23935167.779057965,Government bonds,1.7019752435565163,299650.97113309207
2623,2024-12-31,2623-SECLEND-007,Reverse repo,Government bonds,33989585.7195328,37536219.21669002,Corporate bonds,1.7469608228081297,385553.38324970094
2623,2024-12-31,2623-SECLEND-008,Reverse repo,Cash and deposits,45228787.58581271,50989628.588971816,Corporate bonds,0.2802134671809966,173265.314452627
886,2024-12-31,0886-SECLEND-001,Reverse repo,Property,29485670.08833954,42025476.06091593,Corporate bonds,1.5381610057413262,88222.2812334424
886,2024-12-31,0886-SECLEND-002,Securities lending,Equities,32302229.08865017,13339366.759183709,Equities,1.6150990524891622,624626.2444585828
886,2024-12-31,0886-SECLEND-003,Securities lending,Investment funds,37405010.00817256,9306788.577451814,Cash,0.9812386668813148,88490.00848353232
886,2024-12-31,0886-SECLEND-004,Securities lending,Loans and mortgages,12828982.978481162,21873852.2856486,Government bonds,0.1343540751908023,21391.853235663253
886,2024-12-31,0886-SECLEND-005,Repo,Equities,23014844.07848412,32493846.057810523,Government bonds,1.277206926371465,72480.12723221724
886,2024-12-31,0886-SECLEND-006,Securities lending,Equities,34857065.53079195,46814565.655123,Cash,0.5093795238238871,113829.62338141489
886,2024-12-31,0886-SECLEND-007,Securities lending,Property,10421682.009731058,47576858.59489628,Equities,0.3975643482960348,28492.208035702934
886,2024-12-31,0886-SECLEND-008,Securities lending,Equities,48864203.66012879,47126911.46993185,Equities,1.0516655511902384,801102.110012989
886,2024-12-31,0886-SECLEND-009,Reverse repo,Corporate bonds,49163964.121491134,9868836.45540021,Equities,0.6758249462326931,524337.2724268452
5000,2024-12-31,5000-SECLEND-001,Reverse repo,Cash and deposits,33720098.67682752,22500343.423658937,Government bonds,1.8639078487635048,521750.6971287688
5000,2024-12-31,5000-SECLEND-002,Reverse repo,Government bonds,7953173.96800179,32470591.603048228,Cash,1.2226459080507175,146791.1643836733
5000,2024-12-31,5000-SECLEND-003,Repo,Investment funds,34372765.569975086,17783311.16659072,Government bonds,0.7926762122877424,473267.5143486232
5000,2024-12-31,5000-SECLEND-004,Repo,Investment funds,42965623.834924,14747138.44850799,Government bonds,1.671048909629388,332432.9958216837
5000,2024-12-31,5000-SECLEND-005,Securities lending,Equities,30319494.030623406,43109375.5597041,Corporate bonds,1.455853995900596,420848.8568570477
5000,2024-12-31,5000-SECLEND-006,Repo,Investment funds,14338017.292319557,33440636.821693644,Cash,1.7486739903296755,331781.5383968374
5000,2024-12-31,5000-SECLEND-007,Repo,Corporate bonds,24445230.65608682,53329538.51116584,Corporate bonds,0.9592086901932644,131052.26976810528
5000,2024-12-31,5000-SECLEND-008,Reverse repo,Loans and mortgages,11425353.65005481,24471734.003883664,Equities,1.9082345721420209,72275.96807978129
5000,2024-12-31,5000-SECLEND-009,Securities lending,Government bonds,19387438.22029344,48404907.99335314,Corporate bonds,1.7743762951955906,509883.0258695287
4242,2024-12-31,4242-SECLEND-001,Repo,Government bonds,20758393.59493825,9162882.902531603,Cash,1.4766600274017547,76422.77246518715
4242,2024-12-31,4242-SECLEND-002,Repo,Cash and deposits,19018053.45562937,44146180.71287862,Government bonds,0.9410442116948228,76980.88142940466
4242,2024-12-31,4242-SECLEND-003,Securities lending,Property,26837003.40541797,43895470.33742684,Equities,0.826490329017093,35245.76380585894
4242,2024-12-31,4242-SECLEND-004,Repo,Corporate bonds,24940730.539531156,23809523.438481107,Equities,0.7979469790268319,149396.66524150877
4242,2024-12-31,4242-SECLEND-005,Reverse repo,Corporate bonds,28667595.960565675,45439972.225057535,Equities,0.7873597926528751,184902.52084928355
4242,2024-12-31,4242-SECLEND-006,Reverse repo,Loans and mortgages,28591462.42419815,38536366.27213004,Cash,0.6119349479769445,203721.8878146026
4242,2024-12-31,4242-SECLEND-007,Securities lending,Cash and deposits,17488526.220607664,51670656.35117274,Equities,1.4747156893290685,254373.0805555685
4242,2024-12-31,4242-SECLEND-008,Securities lending,Government bonds,30973400.430048898,37386002.7210306,Equities,0.1556689418964948,39497.46150939078
4242,2024-12-31,4242-SECLEND-009,Reverse repo,Government bonds,32814633.45027636,30475443.661210094,Government bonds,1.1369243915809275,403741.4817071401
4242,2024-12-31,4242-SECLEND-010,Securities lending,Investment funds,21174072.20738677,9073694.885647094,Cash,0.4673445438628991,137453.77174145202
1955,2024-12-31,1955-SECLEND-001,Reverse repo,Investment funds,47783512.09457023,25434978.1135467,Equities,0.9866979960786418,559316.131712112
1955,2024-12-31,1955-SECLEND-002,Securities lending,Government bonds,7371940.543404754,6878311.477199029,Equities,1.4626447493888397,135298.5972303259
1955,2024-12-31,1955-SECLEND-003,Securities lending,Government bonds,29214259.88545001,30435299.21081333,Corporate bonds,0.5619366078030705,210042.04110876203
1955,2024-12-31,1955-SECLEND-004,Repo,Cash and deposits,38513782.923346505,13411828.955424594,Equities,0.460876012955938,255309.35141699383
1955,2024-12-31,1955-SECLEND-005,Reverse repo,Loans and mortgages,25732047.7106724,19313993.105597045,Equities,0.5701796643429781,215857.67411906584
1955,2024-12-31,1955-SECLEND-006,Reverse repo,Equities,34035694.00489992,37548587.26092723,Equities,1.6665824326198655,985275.7719593148
6129,2024-12-31,6129-SECLEND-001,Reverse repo,Loans and mortgages,23796885.513783917,8654254.551307512,Government bonds,0.6199661313507695,231201.8209507313
6129,2024-12-31,6129-SECLEND-002,Securities lending,Equities,49100245.84385676,34812928.76163511,Government bonds,1.4485004611219383,561179.6679138574
6129,2024-12-31,6129-SECLEND-003,Securities lending,Equities,5331102.333143654,30910286.609126043,Equities,0.1713044493104259,10108.207834418276
6129,2024-12-31,6129-SECLEND-004,Securities lending,Corporate bonds,30615359.54411516,51038542.48180377,Equities,1.939996347950775,763168.180725517
6129,2024-12-31,6129-SECLEND-005,Securities lending,Property,29324870.392501585,27910240.2626108,Equities,1.8955324790721384,1070606.293816934
6129,2024-12-31,6129-SECLEND-006,Repo,Corporate bonds,35312442.439851284,8244963.976920472,Government bonds,0.9848785975682453,362077.2092879628
6129,2024-12-31,6129-SECLEND-007,Reverse repo,Corporate bonds,15811025.830893677,28490216.07243408,Equities,0.9653845868120872,249237.73974641613
6129,2024-12-31,6129-SECLEND-008,Securities lending,Cash and deposits,31196516.12666339,22838524.517462563,Equities,0.4121138539662633,144767.89802509735
6129,2024-12-31,6129-SECLEND-009,Securities lending,Government bonds,27667374.556548037,46510144.21728811,Government bonds,1.3616232333284444,312733.6882307674
1729,2024-12-31,1729-SECLEND-001,Repo,Corporate bonds,20226553.966634717,51776151.13794287,Government bonds,1.833194385373446,392125.29299988697
1729,2024-12-31,1729-SECLEND-002,Repo,Property,14420677.972284446,6970879.256018149,Equities,1.5084865458664485,257464.8832848311
1729,2024-12-31,1729-SECLEND-003,Repo,Investment funds,42242461.7607119,53393228.29756776,Equities,1.7906891487677905,833110.5039080094
1729,2024-12-31,1729-SECLEND-004,Reverse repo,Investment funds,32024064.569288667,31502616.96061904,Government bonds,0.1528979973989139,71903.5239148689
1729,2024-12-31,1729-SECLEND-005,Securities lending,Cash and deposits,16099540.108015005,27980737.58664632,Corporate bonds,1.294157410158779,94757.98070507916
1729,2024-12-31,1729-SECLEND-006,Repo,Investment funds,30076332.49932848,42131799.48408453,Corporate bonds,0.6315571686853776,236786.03139618447
1729,2024-12-31,1729-SECLEND-007,Securities lending,Equities,30422867.34436129,9407112.169539606,Government bonds,0.8859644948080931,266581.985954718
1729,2024-12-31,1729-SECLEND-008,Securities lending,Cash and deposits,38757237.48295704,39670042.6714522,Corporate bonds,1.98222120062714,1088184.6852358617
1729,2024-12-31,1729-SECLEND-009,Repo,Investment funds,17505100.66944902,29909464.95869896,Corporate bonds,0.7261077861705937,78701.18673961269
1729,2024-12-31,1729-SECLEND-010,Reverse repo,Corporate bonds,24827140.132662863,47847506.49346941,Government bonds,1.3999972428581249,538985.9478717713
33,2024-12-31,0033-SECLEND-001,Reverse repo,Loans and mortgages,44709853.61064117,15175555.416594325,Corporate bonds,1.7593861238987325,545245.4712098286
33,2024-12-31,0033-SECLEND-002,Securities lending,Corporate bonds,7689302.338027298,49429964.02185762,Equities,0.725240180975383,52404.67724897086
33,2024-12-31,0033-SECLEND-003,Reverse repo,Loans and mortgages,19156443.503632996,30604428.834933195,Government bonds,1.8873113566741404,182256.65483650225
33,2024-12-31,0033-SECLEND-004,Reverse repo,Property,7150161.4106632415,22611548.753537264,Government bonds,1.727486778498338,223686.1903559973
33,2024-12-31,0033-SECLEND-005,Repo,Loans and mortgages,22822451.484596003,14957844.879853353,Cash,0.9071089445296824,208726.07000054812
33,2024-12-31,0033-SECLEND-006,Reverse repo,Equities,22349862.56712512,50770810.07333517,Equities,1.5476753139118844,359170.82969675114
33,2024-12-31,0033-SECLEND-007,Securities lending,Government bonds,27730200.008480284,54418528.33607856,Corporate bonds,0.9840273094242542,250444.84451746108
33,2024-12-31,0033-SECLEND-008,Repo,Loans and mortgages,7620702.386912385,18113716.090749245,Corporate bonds,0.928533912416694,36058.93129038458
33,2024-12-31,0033-SECLEND-009,Reverse repo,Investment funds,12060618.086575404,52378256.31620215,Equities,1.557012905853769,42187.40046839578
33,2024-12-31,0033-SECLEND-010,Repo,Corporate bonds,17072924.019249767,34540226.675895795,Government bonds,1.4707533985081869,230462.2039169184
1183,2024-12-31,1183-SECLEND-001,Securities lending,Corporate bonds,47357551.80080591,49081767.45877053,Cash,1.078865229662606,646704.0052581884
1183,2024-12-31,1183-SECLEND-002,Reverse repo,Property,39859367.89068579,33107237.69137925,Cash,1.1501373910865262,463461.4664980786
1183,2024-12-31,1183-SECLEND-003,Securities lending,Equities,10163388.125218635,11306882.900807604,Cash,1.1061138685426692,96094.84223797527
1183,2024-12-31,1183-SECLEND-004,Reverse repo,Cash and deposits,17098769.524055295,6051845.123023432,Cash,1.4733944874104037,167034.58431493334
1183,2024-12-31,1183-SECLEND-005,Reverse repo,Cash and deposits,6461896.851057423,34763842.05520272,Cash,1.1244682088418974,21699.055780367955
1183,2024-12-31,1183-SECLEND-006,Reverse repo,Property,48596661.0760012,29210656.96738208,Corporate bonds,0.220842729117815,87915.98789460935
