Transaction_ID,Policy_ID,Syndicate_Number,Year_of_Account,LOB_Code,LOB_Name,Currency,Transaction_Type,Transaction_Date,Quarter,Gross_Amount,Ceding_Commission,Net_Amount,Earned_Premium,Unearned_Premium,Country
PRM00000017,POL001121,33,2018,A1,Direct Accident & Health,AUD,Written_Premium,2018-03-15,Q1,618331.68,118143.9,506462.37,154582.92,463748.76,AU
PRM00000018,POL001121,33,2018,A1,Direct Accident & Health,AUD,Written_Premium,2018-06-15,Q2,618331.68,73900.17,492258.54,309165.84,309165.84,AU
PRM00000019,POL001121,33,2018,A1,Direct Accident & Health,AUD,Written_Premium,2018-09-15,Q3,618331.68,115394.4,499289.09,463748.76,154582.92,AU
PRM00000020,POL001121,33,2018,A1,Direct Accident & Health,AUD,Written_Premium,2018-12-15,Q4,618331.68,96581.01,551646.75,618331.68,0.0,AU
PRM00000021,POL001781,33,2018,A1,Direct Accident & Health,JPY,Written_Premium,2018-03-15,Q1,123399.73,20382.14,105057.28,30849.93,92549.8,US
PRM00000022,POL001781,33,2018,A1,Direct Accident & Health,JPY,Written_Premium,2018-06-15,Q2,123399.73,15407.31,104919.91,61699.86,61699.86,US
PRM00000023,POL001781,33,2018,A1,Direct Accident & Health,JPY,Written_Premium,2018-09-15,Q3,123399.73,17199.49,109413.15,92549.8,30849.93,US
PRM00000024,POL001781,33,2018,A1,Direct Accident & Health,JPY,Written_Premium,2018-12-15,Q4,123399.73,13938.48,97836.99,123399.73,0.0,US
PRM00000025,POL002182,33,2018,A1,Direct Accident & Health,CAD,Written_Premium,2018-03-15,Q1,357024.67,38058.86,288167.31,89256.17,267768.5,AU
PRM00000026,POL002182,33,2018,A1,Direct Accident & Health,CAD,Written_Premium,2018-06-15,Q2,357024.67,40999.74,313029.08,178512.34,178512.34,AU
PRM00000027,POL002182,33,2018,A1,Direct Accident & Health,CAD,Written_Premium,2018-09-15,Q3,357024.67,68728.79,303618.72,267768.5,89256.17,AU
PRM00000028,POL002182,33,2018,A1,Direct Accident & Health,CAD,Written_Premium,2018-12-15,Q4,357024.67,39391.77,286064.1,357024.67,0.0,AU
PRM00000029,POL002213,33,2018,A1,Direct Accident & Health,USD,Written_Premium,2018-03-15,Q1,923288.03,181379.18,711342.82,230822.01,692466.02,CA
PRM00000030,POL002213,33,2018,A1,Direct Accident & Health,USD,Written_Premium,2018-06-15,Q2,923288.03,143708.8,741344.36,461644.01,461644.01,CA
PRM00000031,POL002213,33,2018,A1,Direct Accident & Health,USD,Written_Premium,2018-09-15,Q3,923288.03,184580.29,731990.47,692466.02,230822.01,CA
PRM00000032,POL002213,33,2018,A1,Direct Accident & Health,USD,Written_Premium,2018-12-15,Q4,923288.03,96739.56,789713.57,923288.03,0.0,CA
PRM00000033,POL002308,33,2018,A1,Direct Accident & Health,CAD,Written_Premium,2018-03-15,Q1,320432.68,42513.06,271931.1,80108.17,240324.51,US
PRM00000034,POL002308,33,2018,A1,Direct Accident & Health,CAD,Written_Premium,2018-06-15,Q2,320432.68,35396.66,265465.49,160216.34,160216.34,US
PRM00000035,POL002308,33,2018,A1,Direct Accident & Health,CAD,Written_Premium,2018-09-15,Q3,320432.68,44066.91,266124.17,240324.51,80108.17,US
PRM00000036,POL002308,33,2018,A1,Direct Accident & Health,CAD,Written_Premium,2018-12-15,Q4,320432.68,59391.31,287079.52,320432.68,0.0,US
PRM00000037,POL002826,33,2018,A1,Direct Accident & Health,USD,Written_Premium,2018-03-15,Q1,1277769.61,224009.9,1105307.45,319442.4,958327.21,CA
PRM00000038,POL002826,33,2018,A1,Direct Accident & Health,USD,Written_Premium,2018-06-15,Q2,1277769.61,195362.81,976995.41,638884.81,638884.81,CA
PRM00000039,POL002826,33,2018,A1,Direct Accident & Health,USD,Written_Premium,2018-09-15,Q3,1277769.61,213011.8,986651.5,958327.21,319442.4,CA
PRM00000040,POL002826,33,2018,A1,Direct Accident & Health,USD,Written_Premium,2018-12-15,Q4,1277769.61,159166.78,1093946.33,1277769.61,0.0,CA
PRM00000041,POL003917,33,2018,A1,Direct Accident & Health,CAD,Written_Premium,2018-03-15,Q1,804501.95,133305.38,641307.84,201125.49,603376.46,GB
PRM00000042,POL003917,33,2018,A1,Direct Accident & Health,CAD,Written_Premium,2018-06-15,Q2,804501.95,142561.3,716728.67,402250.98,402250.98,GB
PRM00000043,POL003917,33,2018,A1,Direct Accident & Health,CAD,Written_Premium,2018-09-15,Q3,804501.95,124316.44,685156.5,603376.46,201125.49,GB
PRM00000044,POL003917,33,2018,A1,Direct Accident & Health,CAD,Written_Premium,2018-12-15,Q4,804501.95,102314.92,720528.89,804501.95,0.0,GB
PRM00000045,POL003934,33,2018,A1,Direct Accident & Health,USD,Written_Premium,2018-03-15,Q1,1175062.69,149668.31,1037711.2,293765.67,881297.02,AU
PRM00000046,POL003934,33,2018,A1,Direct Accident & Health,USD,Written_Premium,2018-06-15,Q2,1175062.69,226536.71,1008138.32,587531.34,587531.34,AU
PRM00000047,POL003934,33,2018,A1,Direct Accident & Health,USD,Written_Premium,2018-09-15,Q3,1175062.69,212872.88,961998.59,881297.02,293765.67,AU
PRM00000048,POL003934,33,2018,A1,Direct Accident & Health,USD,Written_Premium,2018-12-15,Q4,1175062.69,225558.78,1012195.4,1175062.69,0.0,AU
PRM00000049,POL000327,33,2018,A2,Accident & Health Reinsurance,USD,Written_Premium,2018-03-15,Q1,1813465.81,240600.49,1369605.14,453366.45,1360099.36,US
PRM00000050,POL000327,33,2018,A2,Accident & Health Reinsurance,USD,Written_Premium,2018-06-15,Q2,1813465.81,279415.77,1588772.95,906732.9,906732.9,US
PRM00000051,POL000327,33,2018,A2,Accident & Health Reinsurance,USD,Written_Premium,2018-09-15,Q3,1813465.81,337425.8,1587268.25,1360099.36,453366.45,US
PRM00000052,POL000327,33,2018,A2,Accident & Health Reinsurance,USD,Written_Premium,2018-12-15,Q4,1813465.81,220290.12,1476020.21,1813465.81,0.0,US
PRM00000053,POL000603,33,2018,A2,Accident & Health Reinsurance,AUD,Written_Premium,2018-03-15,Q1,1292446.5,208578.36,1098752.03,323111.63,969334.88,AU
PRM00000054,POL000603,33,2018,A2,Accident & Health Reinsurance,AUD,Written_Premium,2018-06-15,Q2,1292446.5,172487.77,1103615.35,646223.25,646223.25,AU
PRM00000055,POL000603,33,2018,A2,Accident & Health Reinsurance,AUD,Written_Premium,2018-09-15,Q3,1292446.5,205614.93,1079213.94,969334.88,323111.63,AU
PRM00000056,POL000603,33,2018,A2,Accident & Health Reinsurance,AUD,Written_Premium,2018-12-15,Q4,1292446.5,214937.06,1086307.99,1292446.5,0.0,AU
PRM00000057,POL000945,33,2018,A2,Accident & Health Reinsurance,USD,Written_Premium,2018-03-15,Q1,1165135.2,135956.67,1026673.38,291283.8,873851.4,JP
PRM00000058,POL000945,33,2018,A2,Accident & Health Reinsurance,USD,Written_Premium,2018-06-15,Q2,1165135.2,144543.15,1003965.91,582567.6,582567.6,JP
PRM00000059,POL000945,33,2018,A2,Accident & Health Reinsurance,USD,Written_Premium,2018-09-15,Q3,1165135.2,137073.11,989368.68,873851.4,291283.8,JP
PRM00000060,POL000945,33,2018,A2,Accident & Health Reinsurance,USD,Written_Premium,2018-12-15,Q4,1165135.2,220872.79,875548.51,1165135.2,0.0,JP
PRM00000061,POL001743,33,2018,A2,Accident & Health Reinsurance,GBP,Written_Premium,2018-03-15,Q1,1230422.02,243583.9,928293.59,307605.5,922816.51,CA
PRM00000062,POL001743,33,2018,A2,Accident & Health Reinsurance,GBP,Written_Premium,2018-06-15,Q2,1230422.02,124440.9,1081090.63,615211.01,615211.01,CA
PRM00000063,POL001743,33,2018,A2,Accident & Health Reinsurance,GBP,Written_Premium,2018-09-15,Q3,1230422.02,210242.7,942345.28,922816.51,307605.5,CA
PRM00000064,POL001743,33,2018,A2,Accident & Health Reinsurance,GBP,Written_Premium,2018-12-15,Q4,1230422.02,238383.8,1046830.54,1230422.02,0.0,CA
PRM00000065,POL003139,33,2018,A2,Accident & Health Reinsurance,AUD,Written_Premium,2018-03-15,Q1,84009.64,9333.84,73851.45,21002.41,63007.23,AU
PRM00000066,POL003139,33,2018,A2,Accident & Health Reinsurance,AUD,Written_Premium,2018-06-15,Q2,84009.64,12441.03,66512.12,42004.82,42004.82,AU
PRM00000067,POL003139,33,2018,A2,Accident & Health Reinsurance,AUD,Written_Premium,2018-09-15,Q3,84009.64,15332.11,72312.73,63007.23,21002.41,AU
PRM00000068,POL003139,33,2018,A2,Accident & Health Reinsurance,AUD,Written_Premium,2018-12-15,Q4,84009.64,13635.13,74329.8,84009.64,0.0,AU
PRM00000069,POL004361,33,2018,A2,Accident & Health Reinsurance,EUR,Written_Premium,2018-03-15,Q1,1997326.18,371758.29,1565941.18,499331.55,1497994.64,AU
PRM00000070,POL004361,33,2018,A2,Accident & Health Reinsurance,EUR,Written_Premium,2018-06-15,Q2,1997326.18,375234.9,1610056.57,998663.09,998663.09,AU
PRM00000071,POL004361,33,2018,A2,Accident & Health Reinsurance,EUR,Written_Premium,2018-09-15,Q3,1997326.18,285972.04,1789304.38,1497994.64,499331.55,AU
PRM00000072,POL004361,33,2018,A2,Accident & Health Reinsurance,EUR,Written_Premium,2018-12-15,Q4,1997326.18,351504.31,1594311.48,1997326.18,0.0,AU
PRM00000073,POL004711,33,2018,A2,Accident & Health Reinsurance,CAD,Written_Premium,2018-03-15,Q1,2093949.62,345067.38,1739859.92,523487.41,1570462.22,JP
PRM00000074,POL004711,33,2018,A2,Accident & Health Reinsurance,CAD,Written_Premium,2018-06-15,Q2,2093949.62,233811.09,1849298.52,1046974.81,1046974.81,JP
PRM00000075,POL004711,33,2018,A2,Accident & Health Reinsurance,CAD,Written_Premium,2018-09-15,Q3,2093949.62,381492.8,1814735.16,1570462.22,523487.41,JP
PRM00000076,POL004711,33,2018,A2,Accident & Health Reinsurance,CAD,Written_Premium,2018-12-15,Q4,2093949.62,326478.86,1639825.59,2093949.62,0.0,JP
PRM00000077,POL004806,33,2018,A2,Accident & Health Reinsurance,EUR,Written_Premium,2018-03-15,Q1,728982.28,137332.68,585332.56,182245.57,546736.71,FR
PRM00000078,POL004806,33,2018,A2,Accident & Health Reinsurance,EUR,Written_Premium,2018-06-15,Q2,728982.28,74364.8,654091.1,364491.14,364491.14,FR
PRM00000079,POL004806,33,2018,A2,Accident & Health Reinsurance,EUR,Written_Premium,2018-09-15,Q3,728982.28,135675.05,614825.15,546736.71,182245.57,FR
PRM00000080,POL004806,33,2018,A2,Accident & Health Reinsurance,EUR,Written_Premium,2018-12-15,Q4,728982.28,73802.69,571636.85,728982.28,0.0,FR
PRM00000081,POL000560,33,2018,D1,Direct Motor (Private Car),CAD,Written_Premium,2018-03-15,Q1,190596.77,27675.6,160904.22,47649.19,142947.58,US
PRM00000082,POL000560,33,2018,D1,Direct Motor (Private Car),CAD,Written_Premium,2018-06-15,Q2,190596.77,32556.87,165483.91,95298.38,95298.38,US
PRM00000083,POL000560,33,2018,D1,Direct Motor (Private Car),CAD,Written_Premium,2018-09-15,Q3,190596.77,29650.39,161707.54,142947.58,47649.19,US
PRM00000084,POL000560,33,2018,D1,Direct Motor (Private Car),CAD,Written_Premium,2018-12-15,Q4,190596.77,34521.7,163527.49,190596.77,0.0,US
PRM00000085,POL000879,33,2018,D1,Direct Motor (Private Car),JPY,Written_Premium,2018-03-15,Q1,141905.41,27739.84,125046.6,35476.35,106429.05,JP
PRM00000086,POL000879,33,2018,D1,Direct Motor (Private Car),JPY,Written_Premium,2018-06-15,Q2,141905.41,16593.87,126595.64,70952.7,70952.7,JP
PRM00000087,POL000879,33,2018,D1,Direct Motor (Private Car),JPY,Written_Premium,2018-09-15,Q3,141905.41,17087.91,127528.91,106429.05,35476.35,JP
PRM00000088,POL000879,33,2018,D1,Direct Motor (Private Car),JPY,Written_Premium,2018-12-15,Q4,141905.41,24142.79,119786.57,141905.41,0.0,JP
PRM00000089,POL001187,33,2018,D1,Direct Motor (Private Car),AUD,Written_Premium,2018-03-15,Q1,10083.37,1335.36,7763.85,2520.84,7562.53,DE
PRM00000090,POL001187,33,2018,D1,Direct Motor (Private Car),AUD,Written_Premium,2018-06-15,Q2,10083.37,1135.56,8873.23,5041.69,5041.69,DE
PRM00000091,POL001187,33,2018,D1,Direct Motor (Private Car),AUD,Written_Premium,2018-09-15,Q3,10083.37,1444.38,8409.31,7562.53,2520.84,DE
PRM00000092,POL001187,33,2018,D1,Direct Motor (Private Car),AUD,Written_Premium,2018-12-15,Q4,10083.37,1947.94,7948.75,10083.37,0.0,DE
PRM00000093,POL001308,33,2018,D1,Direct Motor (Private Car),AUD,Written_Premium,2018-03-15,Q1,93922.34,16567.31,77069.83,23480.59,70441.76,CA
PRM00000094,POL001308,33,2018,D1,Direct Motor (Private Car),AUD,Written_Premium,2018-06-15,Q2,93922.34,11390.48,82458.72,46961.17,46961.17,CA
PRM00000095,POL001308,33,2018,D1,Direct Motor (Private Car),AUD,Written_Premium,2018-09-15,Q3,93922.34,15778.48,71779.05,70441.76,23480.59,CA
PRM00000096,POL001308,33,2018,D1,Direct Motor (Private Car),AUD,Written_Premium,2018-12-15,Q4,93922.34,14480.54,82441.71,93922.34,0.0,CA
PRM00000097,POL002004,33,2018,D1,Direct Motor (Private Car),GBP,Written_Premium,2018-03-15,Q1,10692.27,1140.8,8686.84,2673.07,8019.2,AU
PRM00000098,POL002004,33,2018,D1,Direct Motor (Private Car),GBP,Written_Premium,2018-06-15,Q2,10692.27,1930.18,9395.87,5346.14,5346.14,AU
PRM00000099,POL002004,33,2018,D1,Direct Motor (Private Car),GBP,Written_Premium,2018-09-15,Q3,10692.27,1898.27,8509.51,8019.2,2673.07,AU
PRM00000100,POL002004,33,2018,D1,Direct Motor (Private Car),GBP,Written_Premium,2018-12-15,Q4,10692.27,1611.25,9208.1,10692.27,0.0,AU
PRM00000101,POL002108,33,2018,D1,Direct Motor (Private Car),GBP,Written_Premium,2018-03-15,Q1,230066.67,26517.2,193083.37,57516.67,172550.0,JP
PRM00000102,POL002108,33,2018,D1,Direct Motor (Private Car),GBP,Written_Premium,2018-06-15,Q2,230066.67,39580.07,201883.22,115033.33,115033.33,JP
PRM00000103,POL002108,33,2018,D1,Direct Motor (Private Car),GBP,Written_Premium,2018-09-15,Q3,230066.67,25575.86,183927.08,172550.0,57516.67,JP
PRM00000104,POL002108,33,2018,D1,Direct Motor (Private Car),GBP,Written_Premium,2018-12-15,Q4,230066.67,35468.32,196743.48,230066.67,0.0,JP
PRM00000105,POL002198,33,2018,D1,Direct Motor (Private Car),AUD,Written_Premium,2018-03-15,Q1,8367.01,1447.52,6593.11,2091.75,6275.26,GB
PRM00000106,POL002198,33,2018,D1,Direct Motor (Private Car),AUD,Written_Premium,2018-06-15,Q2,8367.01,848.31,7146.03,4183.5,4183.5,GB
PRM00000107,POL002198,33,2018,D1,Direct Motor (Private Car),AUD,Written_Premium,2018-09-15,Q3,8367.01,1597.37,7276.18,6275.26,2091.75,GB
PRM00000108,POL002198,33,2018,D1,Direct Motor (Private Car),AUD,Written_Premium,2018-12-15,Q4,8367.01,1357.52,7502.16,8367.01,0.0,GB
PRM00000109,POL002221,33,2018,D1,Direct Motor (Private Car),JPY,Written_Premium,2018-03-15,Q1,179859.97,25776.03,149060.3,44964.99,134894.98,DE
PRM00000110,POL002221,33,2018,D1,Direct Motor (Private Car),JPY,Written_Premium,2018-06-15,Q2,179859.97,18206.99,160415.8,89929.99,89929.99,DE
PRM00000111,POL002221,33,2018,D1,Direct Motor (Private Car),JPY,Written_Premium,2018-09-15,Q3,179859.97,28478.07,145438.37,134894.98,44964.99,DE
PRM00000112,POL002221,33,2018,D1,Direct Motor (Private Car),JPY,Written_Premium,2018-12-15,Q4,179859.97,18787.53,144672.68,179859.97,0.0,DE
PRM00000113,POL003153,33,2018,D1,Direct Motor (Private Car),GBP,Written_Premium,2018-03-15,Q1,242003.99,24287.47,193276.55,60501.0,181502.99,CA
PRM00000114,POL003153,33,2018,D1,Direct Motor (Private Car),GBP,Written_Premium,2018-06-15,Q2,242003.99,47225.99,187102.99,121002.0,121002.0,CA
PRM00000115,POL003153,33,2018,D1,Direct Motor (Private Car),GBP,Written_Premium,2018-09-15,Q3,242003.99,37399.57,188277.31,181502.99,60501.0,CA
PRM00000116,POL003153,33,2018,D1,Direct Motor (Private Car),GBP,Written_Premium,2018-12-15,Q4,242003.99,43158.49,201918.37,242003.99,0.0,CA
PRM00000117,POL003497,33,2018,D1,Direct Motor (Private Car),CHF,Written_Premium,2018-03-15,Q1,31530.16,3790.67,27744.53,7882.54,23647.62,US
PRM00000118,POL003497,33,2018,D1,Direct Motor (Private Car),CHF,Written_Premium,2018-06-15,Q2,31530.16,5625.06,28146.83,15765.08,15765.08,US
PRM00000119,POL003497,33,2018,D1,Direct Motor (Private Car),CHF,Written_Premium,2018-09-15,Q3,31530.16,3155.0,25809.57,23647.62,7882.54,US
PRM00000120,POL003497,33,2018,D1,Direct Motor (Private Car),CHF,Written_Premium,2018-12-15,Q4,31530.16,6305.53,27484.16,31530.16,0.0,US
PRM00000121,POL003876,33,2018,D1,Direct Motor (Private Car),USD,Written_Premium,2018-03-15,Q1,80968.67,14827.68,68270.34,20242.17,60726.5,GB
PRM00000122,POL003876,33,2018,D1,Direct Motor (Private Car),USD,Written_Premium,2018-06-15,Q2,80968.67,13869.12,70507.43,40484.33,40484.33,GB
PRM00000123,POL003876,33,2018,D1,Direct Motor (Private Car),USD,Written_Premium,2018-09-15,Q3,80968.67,8844.05,69138.1,60726.5,20242.17,GB
PRM00000124,POL003876,33,2018,D1,Direct Motor (Private Car),USD,Written_Premium,2018-12-15,Q4,80968.67,14699.12,61222.83,80968.67,0.0,GB
PRM00000125,POL004938,33,2018,D1,Direct Motor (Private Car),GBP,Written_Premium,2018-03-15,Q1,217072.62,28155.47,173354.57,54268.15,162804.46,US
PRM00000126,POL004938,33,2018,D1,Direct Motor (Private Car),GBP,Written_Premium,2018-06-15,Q2,217072.62,40257.91,188213.4,108536.31,108536.31,US
PRM00000127,POL004938,33,2018,D1,Direct Motor (Private Car),GBP,Written_Premium,2018-09-15,Q3,217072.62,35956.37,189006.97,162804.46,54268.15,US
PRM00000128,POL004938,33,2018,D1,Direct Motor (Private Car),GBP,Written_Premium,2018-12-15,Q4,217072.62,31549.98,191291.35,217072.62,0.0,US
PRM00000129,POL000512,33,2018,D2,Direct Motor (Commercial),USD,Written_Premium,2018-03-15,Q1,206805.27,25524.23,176960.48,51701.32,155103.95,GB
PRM00000130,POL000512,33,2018,D2,Direct Motor (Commercial),USD,Written_Premium,2018-06-15,Q2,206805.27,25680.07,156340.5,103402.64,103402.64,GB
PRM00000131,POL000512,33,2018,D2,Direct Motor (Commercial),USD,Written_Premium,2018-09-15,Q3,206805.27,26556.92,170394.31,155103.95,51701.32,GB
PRM00000132,POL000512,33,2018,D2,Direct Motor (Commercial),USD,Written_Premium,2018-12-15,Q4,206805.27,38123.23,170889.08,206805.27,0.0,GB
PRM00000133,POL000907,33,2018,D2,Direct Motor (Commercial),AUD,Written_Premium,2018-03-15,Q1,252570.8,29781.9,227039.66,63142.7,189428.1,CA
PRM00000134,POL000907,33,2018,D2,Direct Motor (Commercial),AUD,Written_Premium,2018-06-15,Q2,252570.8,32078.34,226756.6,126285.4,126285.4,CA
PRM00000135,POL000907,33,2018,D2,Direct Motor (Commercial),AUD,Written_Premium,2018-09-15,Q3,252570.8,48906.16,209978.83,189428.1,63142.7,CA
PRM00000136,POL000907,33,2018,D2,Direct Motor (Commercial),AUD,Written_Premium,2018-12-15,Q4,252570.8,27579.8,215774.32,252570.8,0.0,CA
PRM00000137,POL001650,33,2018,D2,Direct Motor (Commercial),EUR,Written_Premium,2018-03-15,Q1,913709.93,168645.06,746313.85,228427.48,685282.45,GB
PRM00000138,POL001650,33,2018,D2,Direct Motor (Commercial),EUR,Written_Premium,2018-06-15,Q2,913709.93,113212.36,795314.71,456854.97,456854.97,GB
PRM00000139,POL001650,33,2018,D2,Direct Motor (Commercial),EUR,Written_Premium,2018-09-15,Q3,913709.93,141175.3,712368.92,685282.45,228427.48,GB
PRM00000140,POL001650,33,2018,D2,Direct Motor (Commercial),EUR,Written_Premium,2018-12-15,Q4,913709.93,178131.28,815225.46,913709.93,0.0,GB
PRM00000141,POL001845,33,2018,D2,Direct Motor (Commercial),USD,Written_Premium,2018-03-15,Q1,618784.32,84590.89,470028.85,154696.08,464088.24,JP
PRM00000142,POL001845,33,2018,D2,Direct Motor (Commercial),USD,Written_Premium,2018-06-15,Q2,618784.32,100910.64,493532.48,309392.16,309392.16,JP
PRM00000143,POL001845,33,2018,D2,Direct Motor (Commercial),USD,Written_Premium,2018-09-15,Q3,618784.32,65984.39,546863.61,464088.24,154696.08,JP
PRM00000144,POL001845,33,2018,D2,Direct Motor (Commercial),USD,Written_Premium,2018-12-15,Q4,618784.32,123640.3,496612.05,618784.32,0.0,JP
PRM00000145,POL002073,33,2018,D2,Direct Motor (Commercial),EUR,Written_Premium,2018-03-15,Q1,832113.76,145182.74,632294.63,208028.44,624085.32,GB
PRM00000146,POL002073,33,2018,D2,Direct Motor (Commercial),EUR,Written_Premium,2018-06-15,Q2,832113.76,113975.07,637659.39,416056.88,416056.88,GB
PRM00000147,POL002073,33,2018,D2,Direct Motor (Commercial),EUR,Written_Premium,2018-09-15,Q3,832113.76,87817.12,697576.49,624085.32,208028.44,GB
PRM00000148,POL002073,33,2018,D2,Direct Motor (Commercial),EUR,Written_Premium,2018-12-15,Q4,832113.76,149949.48,680623.73,832113.76,0.0,GB
PRM00000149,POL002087,33,2018,D2,Direct Motor (Commercial),EUR,Written_Premium,2018-03-15,Q1,12996.43,1980.89,10275.1,3249.11,9747.32,JP
PRM00000150,POL002087,33,2018,D2,Direct Motor (Commercial),EUR,Written_Premium,2018-06-15,Q2,12996.43,2256.68,10451.22,6498.21,6498.21,JP
PRM00000151,POL002087,33,2018,D2,Direct Motor (Commercial),EUR,Written_Premium,2018-09-15,Q3,12996.43,1387.37,10069.97,9747.32,3249.11,JP
PRM00000152,POL002087,33,2018,D2,Direct Motor (Commercial),EUR,Written_Premium,2018-12-15,Q4,12996.43,1466.61,10597.05,12996.43,0.0,JP
PRM00000153,POL002202,33,2018,D2,Direct Motor (Commercial),CHF,Written_Premium,2018-03-15,Q1,785233.77,83644.1,683917.14,196308.44,588925.33,GB
PRM00000154,POL002202,33,2018,D2,Direct Motor (Commercial),CHF,Written_Premium,2018-06-15,Q2,785233.77,149823.01,618182.45,392616.88,392616.88,GB
PRM00000155,POL002202,33,2018,D2,Direct Motor (Commercial),CHF,Written_Premium,2018-09-15,Q3,785233.77,116647.24,650063.2,588925.33,196308.44,GB
PRM00000156,POL002202,33,2018,D2,Direct Motor (Commercial),CHF,Written_Premium,2018-12-15,Q4,785233.77,155869.0,596654.33,785233.77,0.0,GB
PRM00000157,POL002217,33,2018,D2,Direct Motor (Commercial),JPY,Written_Premium,2018-03-15,Q1,897625.12,149713.31,719773.94,224406.28,673218.84,GB
PRM00000158,POL002217,33,2018,D2,Direct Motor (Commercial),JPY,Written_Premium,2018-06-15,Q2,897625.12,134805.9,702441.19,448812.56,448812.56,GB
PRM00000159,POL002217,33,2018,D2,Direct Motor (Commercial),JPY,Written_Premium,2018-09-15,Q3,897625.12,104146.26,706013.39,673218.84,224406.28,GB
PRM00000160,POL002217,33,2018,D2,Direct Motor (Commercial),JPY,Written_Premium,2018-12-15,Q4,897625.12,96159.17,710661.97,897625.12,0.0,GB
PRM00000161,POL002245,33,2018,D2,Direct Motor (Commercial),CHF,Written_Premium,2018-03-15,Q1,48355.3,8173.74,40991.87,12088.83,36266.48,DE
PRM00000162,POL002245,33,2018,D2,Direct Motor (Commercial),CHF,Written_Premium,2018-06-15,Q2,48355.3,7516.81,36269.29,24177.65,24177.65,DE
PRM00000163,POL002245,33,2018,D2,Direct Motor (Commercial),CHF,Written_Premium,2018-09-15,Q3,48355.3,5443.75,42380.06,36266.48,12088.83,DE
PRM00000164,POL002245,33,2018,D2,Direct Motor (Commercial),CHF,Written_Premium,2018-12-15,Q4,48355.3,6149.53,42882.92,48355.3,0.0,DE
PRM00000165,POL002469,33,2018,D2,Direct Motor (Commercial),EUR,Written_Premium,2018-03-15,Q1,481823.78,90320.09,372564.97,120455.95,361367.84,US
PRM00000166,POL002469,33,2018,D2,Direct Motor (Commercial),EUR,Written_Premium,2018-06-15,Q2,481823.78,91457.48,406743.7,240911.89,240911.89,US
PRM00000167,POL002469,33,2018,D2,Direct Motor (Commercial),EUR,Written_Premium,2018-09-15,Q3,481823.78,78551.1,422994.05,361367.84,120455.95,US
PRM00000168,POL002469,33,2018,D2,Direct Motor (Commercial),EUR,Written_Premium,2018-12-15,Q4,481823.78,67698.93,414507.94,481823.78,0.0,US
PRM00000169,POL004070,33,2018,D2,Direct Motor (Commercial),CAD,Written_Premium,2018-03-15,Q1,856388.99,142825.5,741399.24,214097.25,642291.74,CA
