reporting_period,Policy_ID,Syndicate_Number,Year_of_Account,LOB_Code,LOB_Name,Currency,Inception_Date,Expiry_Date,Gross_Written_Premium,Net_Written_Premium,Broker,Country,Risk_Code
2025-11-30,POL000056,2987,2026,A2,Accident & Health Reinsurance,EUR,2026-01-21,2027-01-21,291313.73,266895.98,Broker_17,JP,5
2025-11-30,POL000057,4242,2022,D1,Direct Motor (Private Car),CHF,2022-05-21,2023-05-21,4724380.99,4310581.19,Broker_17,JP,9
2025-11-30,POL000058,2987,2021,D1,Direct Motor (Private Car),JPY,2021-01-17,2022-01-17,3787425.67,2695602.19,Broker_31,CA,2
2025-11-30,POL000059,4242,2019,D1,Direct Motor (Private Car),CAD,2019-01-22,2020-01-22,4840189.09,3495110.49,Broker_17,CA,7
2025-11-30,POL000060,623,2019,E1,Energy Offshore,EUR,2019-03-07,2020-03-06,690493.66,485856.31,Broker_38,US,2
2025-11-30,POL000061,33,2020,D1,Direct Motor (Private Car),CHF,2020-02-20,2021-02-19,2741757.07,2228301.68,Broker_15,FR,7
2025-11-30,POL000062,2525,2018,D1,Direct Motor (Private Car),AUD,2018-04-10,2019-04-10,4633672.25,3813646.98,Broker_20,JP,2
2025-11-30,POL000063,4242,2019,E1,Energy Offshore,AUD,2019-11-11,2020-11-10,1208326.64,868745.57,Broker_23,CA,6
2025-11-30,POL000064,1910,2025,D2,Direct Motor (Commercial),CAD,2025-08-25,2026-08-25,4484974.17,3670908.34,Broker_29,US,3
2025-11-30,POL000065,1183,2022,E1,Energy Offshore,USD,2022-12-10,2023-12-10,893282.32,645106.72,Broker_1,JP,9
2025-11-30,POL000066,2525,2018,A2,Accident & Health Reinsurance,JPY,2018-10-13,2019-10-13,1614698.0,1167543.95,Broker_47,GB,6
2025-11-30,POL000067,1910,2018,D1,Direct Motor (Private Car),USD,2018-04-01,2019-04-01,431739.87,366685.1,Broker_15,CA,8
2025-11-30,POL000068,4242,2024,A2,Accident & Health Reinsurance,JPY,2024-08-02,2025-08-02,3739879.98,2652213.68,Broker_7,DE,7
2025-11-30,POL000069,33,2023,A2,Accident & Health Reinsurance,EUR,2023-03-15,2024-03-14,533297.14,471622.02,Broker_28,US,7
2025-11-30,POL000070,2010,2024,A1,Direct Accident & Health,JPY,2024-10-12,2025-10-12,1173749.89,922252.52,Broker_25,FR,3
2025-11-30,POL000071,2010,2019,E1,Energy Offshore,CHF,2019-04-15,2020-04-14,3686744.15,3094784.17,Broker_40,GB,3
2025-11-30,POL000072,2525,2022,A1,Direct Accident & Health,JPY,2022-04-26,2023-04-26,3041700.56,2315002.67,Broker_45,AU,5
2025-11-30,POL000073,2010,2022,A1,Direct Accident & Health,JPY,2022-05-06,2023-05-06,1833130.53,1506746.13,Broker_30,DE,8
2025-11-30,POL000074,5000,2024,A1,Direct Accident & Health,EUR,2024-03-08,2025-03-08,3487837.7,3311052.75,Broker_6,US,4
2025-11-30,POL000075,2791,2025,A1,Direct Accident & Health,JPY,2025-03-25,2026-03-25,3595101.78,2997449.12,Broker_26,DE,5
2025-11-30,POL000076,4242,2023,A2,Accident & Health Reinsurance,CAD,2023-03-20,2024-03-19,2542975.79,1934193.57,Broker_47,GB,6
2025-11-30,POL000077,623,2021,D1,Direct Motor (Private Car),AUD,2021-11-03,2022-11-03,268599.45,210622.55,Broker_10,JP,7
2025-11-30,POL000078,2525,2019,D2,Direct Motor (Commercial),AUD,2019-08-02,2020-08-01,448461.88,329487.72,Broker_9,GB,9
2025-11-30,POL000079,1910,2018,D1,Direct Motor (Private Car),AUD,2018-12-12,2019-12-12,2048506.28,1911736.77,Broker_11,GB,2
2025-11-30,POL000080,1183,2018,D1,Direct Motor (Private Car),JPY,2018-12-08,2019-12-08,4141425.03,3676034.38,Broker_30,DE,5
2025-11-30,POL000081,623,2020,E1,Energy Offshore,EUR,2020-10-04,2021-10-04,1587820.95,1345006.08,Broker_18,CA,8
2025-11-30,POL000082,1183,2023,E1,Energy Offshore,GBP,2023-07-15,2024-07-14,2891656.49,2281056.08,Broker_47,CA,2
2025-11-30,POL000083,623,2024,D1,Direct Motor (Private Car),EUR,2024-06-06,2025-06-06,1670750.77,1474666.92,Broker_42,FR,1
2025-11-30,POL000084,2791,2021,D1,Direct Motor (Private Car),AUD,2021-06-25,2022-06-25,1565493.12,1193097.19,Broker_33,AU,4
2025-11-30,POL000085,4242,2022,A2,Accident & Health Reinsurance,EUR,2022-10-01,2023-10-01,523550.99,436704.53,Broker_47,FR,8
2025-11-30,POL000086,2791,2025,E1,Energy Offshore,AUD,2025-04-12,2026-04-12,3861691.08,2714964.88,Broker_36,FR,5
2025-11-30,POL000087,2791,2025,D1,Direct Motor (Private Car),JPY,2025-06-08,2026-06-08,2123748.34,1639496.35,Broker_43,FR,8
2025-11-30,POL000088,33,2018,A1,Direct Accident & Health,CHF,2018-08-28,2019-08-28,2968884.9,2154083.84,Broker_48,FR,5
2025-11-30,POL000089,1910,2025,E1,Energy Offshore,CHF,2025-10-17,2026-10-17,2885678.92,2457671.45,Broker_29,AU,8
2025-11-30,POL000090,2010,2024,D1,Direct Motor (Private Car),GBP,2024-05-21,2025-05-21,835947.35,624101.75,Broker_23,GB,1
2025-11-30,POL000091,4242,2025,D1,Direct Motor (Private Car),CHF,2025-05-15,2026-05-15,283260.58,222019.45,Broker_26,GB,3
2025-11-30,POL000092,2791,2023,A1,Direct Accident & Health,USD,2023-07-18,2024-07-17,2409376.52,2239789.38,Broker_43,DE,3
2025-11-30,POL000093,4242,2024,A1,Direct Accident & Health,CAD,2024-06-21,2025-06-21,4575081.05,3617052.1,Broker_43,AU,2
2025-11-30,POL000094,623,2024,A1,Direct Accident & Health,GBP,2024-04-09,2025-04-09,751827.01,604210.31,Broker_28,CA,8
2025-11-30,POL000095,2987,2024,A1,Direct Accident & Health,EUR,2024-11-24,2025-11-24,4491290.9,3374239.08,Broker_29,GB,8
2025-11-30,POL000096,1183,2018,A2,Accident & Health Reinsurance,JPY,2018-03-15,2019-03-15,2642962.17,2203210.2,Broker_49,US,6
2025-11-30,POL000097,1183,2018,D2,Direct Motor (Commercial),AUD,2018-07-07,2019-07-07,3768698.64,2894644.96,Broker_19,AU,2
2025-11-30,POL000098,2987,2019,D2,Direct Motor (Commercial),CHF,2019-08-01,2020-07-31,2763095.75,2109546.63,Broker_23,DE,8
2025-11-30,POL000099,4242,2022,A1,Direct Accident & Health,EUR,2022-03-01,2023-03-01,2788040.71,2454042.56,Broker_35,AU,8
2025-11-30,POL000100,2791,2022,D2,Direct Motor (Commercial),JPY,2022-05-14,2023-05-14,1472807.17,1360997.48,Broker_7,US,7
2025-11-30,POL000101,2987,2020,E1,Energy Offshore,AUD,2020-03-04,2021-03-04,3218198.56,2819098.6,Broker_1,CA,5
2025-11-30,POL000102,2791,2019,D1,Direct Motor (Private Car),EUR,2019-07-23,2020-07-22,1347637.57,1153627.93,Broker_38,AU,9
2025-11-30,POL000103,33,2020,E1,Energy Offshore,CAD,2020-10-22,2021-10-22,3900996.29,2842107.83,Broker_30,DE,7
2025-11-30,POL000104,2987,2020,A2,Accident & Health Reinsurance,GBP,2020-09-08,2021-09-08,3497240.81,2800022.17,Broker_9,AU,6
2025-11-30,POL000105,2791,2019,A2,Accident & Health Reinsurance,CHF,2019-05-11,2020-05-10,4114693.54,3425134.35,Broker_42,FR,9
2025-11-30,POL000106,4242,2018,A2,Accident & Health Reinsurance,AUD,2018-09-06,2019-09-06,4150411.6,3119471.43,Broker_42,AU,5
2025-11-30,POL000107,2010,2025,D1,Direct Motor (Private Car),USD,2025-12-13,2026-12-13,3328533.01,2475905.38,Broker_45,GB,5
2025-11-30,POL000108,2525,2023,A2,Accident & Health Reinsurance,EUR,2023-01-19,2024-01-19,460781.43,411361.0,Broker_29,JP,8
2025-11-30,POL000109,2791,2024,A1,Direct Accident & Health,EUR,2024-06-02,2025-06-02,1989280.37,1866982.86,Broker_22,JP,8
2025-11-30,POL000110,2987,2021,A2,Accident & Health Reinsurance,CHF,2021-04-19,2022-04-19,2979438.87,2123912.23,Broker_45,DE,2
2025-11-30,POL000111,2010,2019,A2,Accident & Health Reinsurance,AUD,2019-09-09,2020-09-08,1764185.4,1416990.87,Broker_43,US,9
2025-11-30,POL000112,5000,2020,D1,Direct Motor (Private Car),USD,2020-05-12,2021-05-12,3476535.39,2670105.32,Broker_34,FR,3
2025-11-30,POL000113,623,2018,D2,Direct Motor (Commercial),AUD,2018-01-10,2019-01-10,3455895.56,2869517.06,Broker_12,AU,8
2025-11-30,POL000114,1183,2018,E1,Energy Offshore,CHF,2018-05-22,2019-05-22,3189785.58,3014807.34,Broker_18,GB,9
2025-11-30,POL000115,2525,2024,A2,Accident & Health Reinsurance,GBP,2024-07-26,2025-07-26,2844046.7,2641755.56,Broker_14,CA,5
2025-11-30,POL000116,5000,2020,A1,Direct Accident & Health,USD,2020-11-23,2021-11-23,3978755.77,3526236.51,Broker_39,DE,2
2025-11-30,POL000117,2525,2025,A1,Direct Accident & Health,EUR,2025-12-28,2026-12-28,2410498.8,2220671.03,Broker_43,US,7
2025-11-30,POL000118,5000,2024,D2,Direct Motor (Commercial),CHF,2024-08-17,2025-08-17,2696623.44,2333695.12,Broker_13,US,1
2025-11-30,POL000119,2525,2019,D2,Direct Motor (Commercial),CHF,2019-03-10,2020-03-09,4951803.15,3466556.25,Broker_13,JP,2
2025-11-30,POL000120,1183,2024,D1,Direct Motor (Private Car),JPY,2024-04-17,2025-04-17,2015635.26,1652758.24,Broker_16,FR,9
2025-11-30,POL000121,2525,2024,A1,Direct Accident & Health,CAD,2024-05-01,2025-05-01,1201497.96,874232.18,Broker_14,AU,2
2025-11-30,POL000122,2791,2022,A2,Accident & Health Reinsurance,GBP,2022-01-21,2023-01-21,4938734.72,3985278.81,Broker_49,GB,8
2025-11-30,POL000123,2791,2022,D2,Direct Motor (Commercial),AUD,2022-05-11,2023-05-11,2946885.6,2786523.83,Broker_46,DE,2
2025-11-30,POL000124,2010,2021,D2,Direct Motor (Commercial),EUR,2021-08-20,2022-08-20,4190750.42,3175089.78,Broker_45,AU,2
2025-11-30,POL000125,2010,2026,A2,Accident & Health Reinsurance,GBP,2026-10-03,2027-10-03,4132766.42,3720285.01,Broker_47,CA,1
2025-11-30,POL000126,2010,2021,D1,Direct Motor (Private Car),USD,2021-01-27,2022-01-27,1987247.67,1767775.28,Broker_17,DE,3
2025-11-30,POL000127,4242,2025,E1,Energy Offshore,AUD,2025-09-09,2026-09-09,4475657.99,4095368.96,Broker_11,GB,8
2025-11-30,POL000128,1183,2026,D1,Direct Motor (Private Car),EUR,2026-09-02,2027-09-02,4312016.81,3891073.5,Broker_40,GB,5
2025-11-30,POL000129,33,2023,D2,Direct Motor (Commercial),EUR,2023-05-16,2024-05-15,2484419.92,1789432.15,Broker_48,JP,5
2025-11-30,POL000130,2987,2025,A2,Accident & Health Reinsurance,AUD,2025-03-26,2026-03-26,2860881.52,2476173.07,Broker_40,DE,1
2025-11-30,POL000131,4242,2025,D1,Direct Motor (Private Car),CAD,2025-01-27,2026-01-27,4337798.06,3804642.53,Broker_43,JP,9
2025-11-30,POL000132,623,2021,A2,Accident & Health Reinsurance,CHF,2021-11-06,2022-11-06,954215.48,878268.79,Broker_45,US,9
2025-11-30,POL000133,1183,2022,A2,Accident & Health Reinsurance,JPY,2022-07-18,2023-07-18,4091655.45,3715360.4,Broker_29,FR,7
2025-11-30,POL000134,33,2018,E1,Energy Offshore,GBP,2018-01-08,2019-01-08,1306419.87,1121563.32,Broker_24,JP,3
2025-11-30,POL000135,4242,2024,D1,Direct Motor (Private Car),USD,2024-09-02,2025-09-02,1715942.11,1472545.11,Broker_30,JP,6
2025-11-30,POL000136,2791,2021,D2,Direct Motor (Commercial),USD,2021-04-27,2022-04-27,840224.16,750106.82,Broker_17,US,6
2025-11-30,POL000137,2987,2025,A2,Accident & Health Reinsurance,EUR,2025-02-18,2026-02-18,4950840.38,4302344.97,Broker_12,FR,3
2025-11-30,POL000138,2791,2024,E1,Energy Offshore,AUD,2024-11-01,2025-11-01,1624814.99,1335859.19,Broker_11,US,7
2025-11-30,POL000139,2525,2019,A2,Accident & Health Reinsurance,AUD,2019-04-17,2020-04-16,519946.16,474998.09,Broker_15,CA,4
2025-11-30,POL000140,33,2023,D2,Direct Motor (Commercial),EUR,2023-11-03,2024-11-02,4754809.18,3507929.29,Broker_28,JP,5
2025-11-30,POL000141,623,2021,D1,Direct Motor (Private Car),JPY,2021-03-25,2022-03-25,2217070.82,1724854.49,Broker_38,CA,2
2025-11-30,POL000142,1183,2026,A1,Direct Accident & Health,CAD,2026-02-15,2027-02-15,2362946.98,1974970.46,Broker_46,GB,1
2025-11-30,POL000143,623,2019,D1,Direct Motor (Private Car),CAD,2019-07-03,2020-07-02,3986021.16,3083354.75,Broker_24,FR,3
2025-11-30,POL000144,2791,2024,A1,Direct Accident & Health,GBP,2024-12-20,2025-12-20,2157226.42,1618202.8,Broker_22,AU,5
2025-11-30,POL000145,623,2025,A2,Accident & Health Reinsurance,EUR,2025-01-08,2026-01-08,2328347.0,2025927.68,Broker_18,AU,6
2025-11-30,POL000146,2010,2023,A1,Direct Accident & Health,GBP,2023-08-11,2024-08-10,2407729.67,1748571.64,Broker_17,FR,9
2025-11-30,POL000147,4242,2021,D2,Direct Motor (Commercial),GBP,2021-10-08,2022-10-08,58756.53,45925.0,Broker_2,GB,1
2025-11-30,POL000148,2010,2018,E1,Energy Offshore,AUD,2018-04-26,2019-04-26,1990647.15,1459500.56,Broker_39,US,2
2025-11-30,POL000149,33,2024,A2,Accident & Health Reinsurance,CAD,2024-01-08,2025-01-07,3185786.95,2792721.15,Broker_6,GB,6
2025-11-30,POL000150,2010,2019,A1,Direct Accident & Health,CAD,2019-08-08,2020-08-07,3573293.79,3217508.15,Broker_47,DE,7
2025-11-30,POL000151,2791,2023,D2,Direct Motor (Commercial),USD,2023-06-26,2024-06-25,2409710.12,1711348.48,Broker_42,AU,2
2025-11-30,POL000152,4242,2024,D2,Direct Motor (Commercial),CAD,2024-09-13,2025-09-13,3082552.69,2411340.28,Broker_46,FR,8
2025-11-30,POL000153,5000,2024,E1,Energy Offshore,EUR,2024-12-18,2025-12-18,114097.09,98501.81,Broker_37,GB,3
2025-11-30,POL000154,2525,2020,D1,Direct Motor (Private Car),AUD,2020-06-15,2021-06-15,1295837.61,1056957.39,Broker_30,JP,8
2025-11-30,POL000155,2791,2021,E1,Energy Offshore,CAD,2021-12-20,2022-12-20,2529175.96,2113948.83,Broker_32,GB,4
2025-11-30,POL000156,2525,2019,E1,Energy Offshore,CAD,2019-02-15,2020-02-15,4504502.3,3628062.33,Broker_42,DE,3
2025-11-30,POL000157,2525,2020,E1,Energy Offshore,AUD,2020-02-08,2021-02-07,4181630.34,3173640.08,Broker_26,FR,7
2025-11-30,POL000158,2525,2019,D2,Direct Motor (Commercial),CHF,2019-05-05,2020-05-04,354972.6,287276.26,Broker_47,AU,8
2025-11-30,POL000159,5000,2021,A1,Direct Accident & Health,USD,2021-07-06,2022-07-06,3264095.0,2539586.72,Broker_28,US,3
2025-11-30,POL000160,623,2018,E1,Energy Offshore,CAD,2018-08-04,2019-08-04,4849407.01,3944737.46,Broker_11,US,3
2025-11-30,POL000161,4242,2026,A2,Accident & Health Reinsurance,GBP,2026-05-20,2027-05-20,2943543.01,2758529.08,Broker_20,FR,9
2025-11-30,POL000162,623,2022,E1,Energy Offshore,GBP,2022-01-24,2023-01-24,4030294.06,3410993.4,Broker_15,AU,4
2025-11-30,POL000163,33,2026,A2,Accident & Health Reinsurance,CHF,2026-05-20,2027-05-20,267967.22,230452.01,Broker_35,AU,5
2025-11-30,POL000164,623,2022,D1,Direct Motor (Private Car),GBP,2022-01-19,2023-01-19,217448.57,160278.25,Broker_50,DE,2
2025-11-30,POL000165,2010,2026,A2,Accident & Health Reinsurance,CHF,2026-08-15,2027-08-15,2613432.93,2053278.53,Broker_38,FR,7
2025-11-30,POL000166,2791,2024,A2,Accident & Health Reinsurance,USD,2024-05-01,2025-05-01,3656839.08,2702553.87,Broker_38,JP,6
2025-11-30,POL000167,33,2024,A1,Direct Accident & Health,CHF,2024-10-11,2025-10-11,3419407.66,2818596.16,Broker_17,US,8
2025-11-30,POL000168,1910,2025,A1,Direct Accident & Health,GBP,2025-04-01,2026-04-01,3007041.62,2812241.97,Broker_14,JP,5
2025-11-30,POL000169,2010,2019,A2,Accident & Health Reinsurance,USD,2019-06-09,2020-06-08,4333528.95,4109633.86,Broker_13,GB,5
2025-11-30,POL000170,2010,2021,D1,Direct Motor (Private Car),USD,2021-06-14,2022-06-14,4629117.41,3747469.99,Broker_34,US,9
2025-11-30,POL000171,5000,2018,D1,Direct Motor (Private Car),JPY,2018-06-07,2019-06-07,38735.72,30258.27,Broker_12,US,7
2025-11-30,POL000172,623,2026,D1,Direct Motor (Private Car),GBP,2026-01-17,2027-01-17,2227653.07,1567525.43,Broker_11,DE,8
2025-11-30,POL000173,2525,2026,A2,Accident & Health Reinsurance,EUR,2026-05-26,2027-05-26,4757878.01,4338194.35,Broker_28,JP,9
2025-11-30,POL000174,623,2022,A2,Accident & Health Reinsurance,CHF,2022-12-04,2023-12-04,3043446.41,2712382.79,Broker_6,AU,2
2025-11-30,POL000175,623,2024,D1,Direct Motor (Private Car),CHF,2024-05-28,2025-05-28,4773753.55,4122963.34,Broker_15,FR,5
2025-11-30,POL000176,4242,2019,D1,Direct Motor (Private Car),JPY,2019-04-16,2020-04-15,2620192.78,2273080.14,Broker_29,CA,3
2025-11-30,POL000177,1910,2021,A2,Accident & Health Reinsurance,JPY,2021-02-02,2022-02-02,1370393.76,1100956.91,Broker_25,AU,7
2025-11-30,POL000178,2525,2024,E1,Energy Offshore,CHF,2024-08-17,2025-08-17,2840887.98,2170838.11,Broker_36,FR,4
2025-11-30,POL000179,4242,2025,A1,Direct Accident & Health,AUD,2025-10-15,2026-10-15,4757502.68,4045794.34,Broker_21,AU,9
2025-11-30,POL000180,2525,2025,A1,Direct Accident & Health,USD,2025-09-10,2026-09-10,4501115.39,3548478.37,Broker_26,DE,5
2025-11-30,POL000181,2791,2025,A2,Accident & Health Reinsurance,EUR,2025-04-28,2026-04-28,3360409.1,3032374.35,Broker_19,FR,1
2025-11-30,POL000182,5000,2022,A2,Accident & Health Reinsurance,CHF,2022-01-03,2023-01-03,4347605.53,3557310.8,Broker_21,GB,6
2025-11-30,POL000183,623,2024,D1,Direct Motor (Private Car),EUR,2024-10-09,2025-10-09,1960620.92,1663820.33,Broker_25,US,3
2025-11-30,POL000184,5000,2019,E1,Energy Offshore,EUR,2019-10-22,2020-10-21,2234496.66,1968880.29,Broker_11,CA,8
2025-11-30,POL000185,1183,2023,D2,Direct Motor (Commercial),USD,2023-07-13,2024-07-12,406302.65,293112.65,Broker_33,FR,3
2025-11-30,POL000186,2010,2023,A1,Direct Accident & Health,GBP,2023-07-04,2024-07-03,2217625.58,2013528.14,Broker_5,FR,5
2025-11-30,POL000187,1910,2020,A2,Accident & Health Reinsurance,JPY,2020-12-26,2021-12-26,1671679.55,1449967.59,Broker_23,FR,2
2025-11-30,POL000188,4242,2020,A1,Direct Accident & Health,USD,2020-07-20,2021-07-20,310110.29,260670.71,Broker_36,JP,9
2025-11-30,POL000189,5000,2026,A2,Accident & Health Reinsurance,CHF,2026-12-17,2027-12-17,1511257.01,1428604.99,Broker_3,AU,7
2025-11-30,POL000190,1183,2021,E1,Energy Offshore,CAD,2021-01-25,2022-01-25,3361076.63,2430839.14,Broker_22,US,8
2025-11-30,POL000191,5000,2022,A1,Direct Accident & Health,CAD,2022-06-20,2023-06-20,3546636.04,2514707.16,Broker_33,CA,2
