reporting_period,Exposure_ID,Syndicate_Number,Exposure_Date,Quarter,LOB_Code,LOB_Name,Risk_Type,Risk_Category,Gross_Exposure,Net_Exposure,SCR_Contribution,Correlation_Factor,Diversification_Benefit,Calculation_Method
2025-11-30,EXP00000016,2987,2024-03-30,2024-Q1,D1,Direct Motor (Private Car),Premium_Risk,Underwriting,1198458.79,1058681.8,1357596.68,0.5747,211406.34,Standard_Formula
2025-11-30,EXP00000017,2987,2024-03-30,2024-Q1,D1,Direct Motor (Private Car),Reserve_Risk,Underwriting,1449139.43,1150820.45,1599871.87,0.3761,230753.16,Standard_Formula
2025-11-30,EXP00000018,2987,2024-03-30,2024-Q1,D1,Direct Motor (Private Car),Cat_Risk,Underwriting,1013525.8,840033.52,927218.76,0.3603,180536.85,Standard_Formula
2025-11-30,EXP00000019,2987,2024-03-30,2024-Q1,D1,Direct Motor (Private Car),Market_Risk,Non_Underwriting,1250053.75,953667.88,1382448.25,0.6598,180182.41,Standard_Formula
2025-11-30,EXP00000020,2987,2024-03-30,2024-Q1,D1,Direct Motor (Private Car),Credit_Risk,Non_Underwriting,458047.82,411121.58,525085.84,0.3021,66998.02,Standard_Formula
2025-11-30,EXP00000021,2987,2024-03-30,2024-Q1,D1,Direct Motor (Private Car),Operational_Risk,Non_Underwriting,404657.31,385686.38,400034.86,0.6801,45582.65,Standard_Formula
2025-11-30,EXP00000023,2987,2024-03-30,2024-Q1,D2,Direct Motor (Commercial),Premium_Risk,Underwriting,1140939.22,989925.86,1221233.98,0.3196,225409.93,Standard_Formula
2025-11-30,EXP00000024,2987,2024-03-30,2024-Q1,D2,Direct Motor (Commercial),Reserve_Risk,Underwriting,1436166.93,1120011.22,1568302.63,0.4397,179540.37,Standard_Formula
2025-11-30,EXP00000025,2987,2024-03-30,2024-Q1,D2,Direct Motor (Commercial),Cat_Risk,Underwriting,872448.35,843612.4,970751.2,0.3836,124675.43,Standard_Formula
2025-11-30,EXP00000026,2987,2024-03-30,2024-Q1,D2,Direct Motor (Commercial),Market_Risk,Non_Underwriting,1298965.1,902734.98,1222341.01,0.3112,202011.15,Standard_Formula
2025-11-30,EXP00000027,2987,2024-03-30,2024-Q1,D2,Direct Motor (Commercial),Credit_Risk,Non_Underwriting,538970.28,443115.73,517859.83,0.6235,88643.09,Standard_Formula
2025-11-30,EXP00000028,2987,2024-03-30,2024-Q1,D2,Direct Motor (Commercial),Operational_Risk,Non_Underwriting,398149.73,323318.34,402141.22,0.412,47745.02,Standard_Formula
2025-11-30,EXP00000030,2987,2024-03-30,2024-Q1,E1,Energy Offshore,Premium_Risk,Underwriting,1260522.61,929001.2,1175309.69,0.6937,240927.26,Standard_Formula
2025-11-30,EXP00000031,2987,2024-03-30,2024-Q1,E1,Energy Offshore,Reserve_Risk,Underwriting,1478198.81,1165977.5,1646197.93,0.5624,204902.15,Standard_Formula
2025-11-30,EXP00000032,2987,2024-03-30,2024-Q1,E1,Energy Offshore,Cat_Risk,Underwriting,1012729.65,683539.08,995608.59,0.6627,108615.36,Standard_Formula
2025-11-30,EXP00000033,2987,2024-03-30,2024-Q1,E1,Energy Offshore,Market_Risk,Non_Underwriting,1272595.76,895115.1,1336176.65,0.5912,184835.54,Standard_Formula
2025-11-30,EXP00000034,2987,2024-03-30,2024-Q1,E1,Energy Offshore,Credit_Risk,Non_Underwriting,482303.54,370374.26,525776.66,0.5773,76548.62,Standard_Formula
2025-11-30,EXP00000035,2987,2024-03-30,2024-Q1,E1,Energy Offshore,Operational_Risk,Non_Underwriting,408833.89,312814.14,399266.42,0.6532,49467.06,Standard_Formula
2025-11-30,EXP00000037,2987,2024-06-30,2024-Q2,A1,Direct Accident & Health,Premium_Risk,Underwriting,1254768.18,1088417.09,1248409.09,0.3045,227494.53,Standard_Formula
2025-11-30,EXP00000038,2987,2024-06-30,2024-Q2,A1,Direct Accident & Health,Reserve_Risk,Underwriting,1445236.08,1261012.47,1673186.83,0.5281,188578.77,Standard_Formula
2025-11-30,EXP00000039,2987,2024-06-30,2024-Q2,A1,Direct Accident & Health,Cat_Risk,Underwriting,872919.87,846691.39,896146.11,0.3056,129501.52,Standard_Formula
2025-11-30,EXP00000040,2987,2024-06-30,2024-Q2,A1,Direct Accident & Health,Market_Risk,Non_Underwriting,1317116.94,985276.7,1172256.87,0.3776,216150.57,Standard_Formula
2025-11-30,EXP00000041,2987,2024-06-30,2024-Q2,A1,Direct Accident & Health,Credit_Risk,Non_Underwriting,546975.22,379280.91,546445.51,0.3514,55004.4,Standard_Formula
2025-11-30,EXP00000042,2987,2024-06-30,2024-Q2,A1,Direct Accident & Health,Operational_Risk,Non_Underwriting,411326.45,342822.47,443477.55,0.3919,47647.95,Standard_Formula
2025-11-30,EXP00000044,2987,2024-06-30,2024-Q2,A2,Accident & Health Reinsurance,Premium_Risk,Underwriting,1317577.15,954490.75,1269862.45,0.6058,139082.83,Standard_Formula
2025-11-30,EXP00000045,2987,2024-06-30,2024-Q2,A2,Accident & Health Reinsurance,Reserve_Risk,Underwriting,1576868.43,1363472.89,1528593.26,0.5125,305095.02,Standard_Formula
2025-11-30,EXP00000046,2987,2024-06-30,2024-Q2,A2,Accident & Health Reinsurance,Cat_Risk,Underwriting,989789.2,734387.56,876608.22,0.4089,146574.74,Standard_Formula
2025-11-30,EXP00000047,2987,2024-06-30,2024-Q2,A2,Accident & Health Reinsurance,Market_Risk,Non_Underwriting,1174292.43,970423.03,1296760.56,0.6726,154130.74,Standard_Formula
2025-11-30,EXP00000048,2987,2024-06-30,2024-Q2,A2,Accident & Health Reinsurance,Credit_Risk,Non_Underwriting,478535.82,421298.47,465081.81,0.366,59120.14,Standard_Formula
2025-11-30,EXP00000049,2987,2024-06-30,2024-Q2,A2,Accident & Health Reinsurance,Operational_Risk,Non_Underwriting,453651.04,349389.15,407119.08,0.4092,64334.02,Standard_Formula
2025-11-30,EXP00000051,2987,2024-06-30,2024-Q2,D1,Direct Motor (Private Car),Premium_Risk,Underwriting,1210280.28,985542.03,1363159.99,0.6862,250652.4,Standard_Formula
2025-11-30,EXP00000052,2987,2024-06-30,2024-Q2,D1,Direct Motor (Private Car),Reserve_Risk,Underwriting,1423713.97,1325744.36,1709640.13,0.6616,161178.15,Standard_Formula
2025-11-30,EXP00000053,2987,2024-06-30,2024-Q2,D1,Direct Motor (Private Car),Cat_Risk,Underwriting,1001651.59,747173.86,1009758.96,0.5862,135895.44,Standard_Formula
2025-11-30,EXP00000054,2987,2024-06-30,2024-Q2,D1,Direct Motor (Private Car),Market_Risk,Non_Underwriting,1206731.57,880969.92,1268355.83,0.4596,168514.81,Standard_Formula
2025-11-30,EXP00000055,2987,2024-06-30,2024-Q2,D1,Direct Motor (Private Car),Credit_Risk,Non_Underwriting,500098.87,400240.28,510979.93,0.5634,58562.73,Standard_Formula
2025-11-30,EXP00000056,2987,2024-06-30,2024-Q2,D1,Direct Motor (Private Car),Operational_Risk,Non_Underwriting,415897.46,348497.93,419752.68,0.6179,65230.14,Standard_Formula
2025-11-30,EXP00000058,2987,2024-06-30,2024-Q2,D2,Direct Motor (Commercial),Premium_Risk,Underwriting,1267122.74,1021880.15,1315140.58,0.5825,212306.6,Standard_Formula
2025-11-30,EXP00000059,2987,2024-06-30,2024-Q2,D2,Direct Motor (Commercial),Reserve_Risk,Underwriting,1441152.66,1337373.47,1664277.66,0.5569,291314.75,Standard_Formula
2025-11-30,EXP00000060,2987,2024-06-30,2024-Q2,D2,Direct Motor (Commercial),Cat_Risk,Underwriting,906940.26,675361.2,906966.54,0.5881,167320.88,Standard_Formula
2025-11-30,EXP00000061,2987,2024-06-30,2024-Q2,D2,Direct Motor (Commercial),Market_Risk,Non_Underwriting,1288172.33,923257.5,1317159.38,0.3044,133156.7,Standard_Formula
2025-11-30,EXP00000062,2987,2024-06-30,2024-Q2,D2,Direct Motor (Commercial),Credit_Risk,Non_Underwriting,462350.16,377196.81,497739.97,0.5162,76223.28,Standard_Formula
2025-11-30,EXP00000063,2987,2024-06-30,2024-Q2,D2,Direct Motor (Commercial),Operational_Risk,Non_Underwriting,460370.24,319683.32,449474.07,0.4889,73904.59,Standard_Formula
2025-11-30,EXP00000065,2987,2024-06-30,2024-Q2,E1,Energy Offshore,Premium_Risk,Underwriting,1377722.43,974214.7,1194386.93,0.6433,162530.96,Standard_Formula
2025-11-30,EXP00000066,2987,2024-06-30,2024-Q2,E1,Energy Offshore,Reserve_Risk,Underwriting,1686315.79,1118807.12,1435337.38,0.5507,201821.67,Standard_Formula
2025-11-30,EXP00000067,2987,2024-06-30,2024-Q2,E1,Energy Offshore,Cat_Risk,Underwriting,923287.41,663953.37,947469.78,0.3057,175133.24,Standard_Formula
2025-11-30,EXP00000068,2987,2024-06-30,2024-Q2,E1,Energy Offshore,Market_Risk,Non_Underwriting,1302315.23,991094.79,1293587.02,0.4885,146229.31,Standard_Formula
2025-11-30,EXP00000069,2987,2024-06-30,2024-Q2,E1,Energy Offshore,Credit_Risk,Non_Underwriting,506892.92,444705.65,516836.2,0.6278,62948.22,Standard_Formula
2025-11-30,EXP00000070,2987,2024-06-30,2024-Q2,E1,Energy Offshore,Operational_Risk,Non_Underwriting,432846.24,332627.8,462669.7,0.5552,69232.42,Standard_Formula
2025-11-30,EXP00000072,2987,2024-09-30,2024-Q3,A1,Direct Accident & Health,Premium_Risk,Underwriting,1134281.96,1096736.26,1362086.28,0.5808,237060.69,Standard_Formula
2025-11-30,EXP00000073,2987,2024-09-30,2024-Q3,A1,Direct Accident & Health,Reserve_Risk,Underwriting,1679310.97,1358650.6,1647320.45,0.3255,177550.44,Standard_Formula
2025-11-30,EXP00000074,2987,2024-09-30,2024-Q3,A1,Direct Accident & Health,Cat_Risk,Underwriting,1008393.68,735714.3,991889.43,0.3796,155696.46,Standard_Formula
2025-11-30,EXP00000075,2987,2024-09-30,2024-Q3,A1,Direct Accident & Health,Market_Risk,Non_Underwriting,1193218.28,990317.99,1204632.78,0.4792,249384.55,Standard_Formula
2025-11-30,EXP00000076,2987,2024-09-30,2024-Q3,A1,Direct Accident & Health,Credit_Risk,Non_Underwriting,520071.88,439138.23,501407.32,0.3066,86300.34,Standard_Formula
2025-11-30,EXP00000077,2987,2024-09-30,2024-Q3,A1,Direct Accident & Health,Operational_Risk,Non_Underwriting,481550.44,333485.33,454349.63,0.474,67849.36,Standard_Formula
2025-11-30,EXP00000079,2987,2024-09-30,2024-Q3,A2,Accident & Health Reinsurance,Premium_Risk,Underwriting,1149676.69,1070446.65,1348181.04,0.3282,194744.47,Standard_Formula
2025-11-30,EXP00000080,2987,2024-09-30,2024-Q3,A2,Accident & Health Reinsurance,Reserve_Risk,Underwriting,1655361.98,1410146.9,1518071.15,0.4362,295136.76,Standard_Formula
2025-11-30,EXP00000081,2987,2024-09-30,2024-Q3,A2,Accident & Health Reinsurance,Cat_Risk,Underwriting,981826.54,840925.98,940286.15,0.5482,101657.35,Standard_Formula
2025-11-30,EXP00000082,2987,2024-09-30,2024-Q3,A2,Accident & Health Reinsurance,Market_Risk,Non_Underwriting,1376232.74,972610.54,1274446.29,0.5326,182868.89,Standard_Formula
2025-11-30,EXP00000083,2987,2024-09-30,2024-Q3,A2,Accident & Health Reinsurance,Credit_Risk,Non_Underwriting,532555.6,410826.13,476025.64,0.4379,98355.06,Standard_Formula
2025-11-30,EXP00000084,2987,2024-09-30,2024-Q3,A2,Accident & Health Reinsurance,Operational_Risk,Non_Underwriting,470253.35,393426.96,418273.69,0.4768,47216.41,Standard_Formula
2025-11-30,EXP00000086,2987,2024-09-30,2024-Q3,D1,Direct Motor (Private Car),Premium_Risk,Underwriting,1248706.25,939916.05,1237128.47,0.4225,131620.62,Standard_Formula
2025-11-30,EXP00000087,2987,2024-09-30,2024-Q3,D1,Direct Motor (Private Car),Reserve_Risk,Underwriting,1499692.85,1266041.35,1442581.38,0.55,266001.66,Standard_Formula
2025-11-30,EXP00000088,2987,2024-09-30,2024-Q3,D1,Direct Motor (Private Car),Cat_Risk,Underwriting,921770.83,832133.09,865312.54,0.5504,163775.98,Standard_Formula
2025-11-30,EXP00000089,2987,2024-09-30,2024-Q3,D1,Direct Motor (Private Car),Market_Risk,Non_Underwriting,1330100.24,994329.65,1199815.46,0.6851,242486.96,Standard_Formula
2025-11-30,EXP00000090,2987,2024-09-30,2024-Q3,D1,Direct Motor (Private Car),Credit_Risk,Non_Underwriting,552150.52,425207.52,531648.14,0.672,72633.28,Standard_Formula
2025-11-30,EXP00000091,2987,2024-09-30,2024-Q3,D1,Direct Motor (Private Car),Operational_Risk,Non_Underwriting,410661.55,357558.32,438357.76,0.6121,76591.0,Standard_Formula
2025-11-30,EXP00000093,2987,2024-09-30,2024-Q3,D2,Direct Motor (Commercial),Premium_Risk,Underwriting,1201804.25,906527.25,1276924.12,0.5708,189674.35,Standard_Formula
2025-11-30,EXP00000094,2987,2024-09-30,2024-Q3,D2,Direct Motor (Commercial),Reserve_Risk,Underwriting,1625423.88,1337450.56,1555149.58,0.501,257122.61,Standard_Formula
2025-11-30,EXP00000095,2987,2024-09-30,2024-Q3,D2,Direct Motor (Commercial),Cat_Risk,Underwriting,965615.4,752161.64,897135.24,0.5726,130987.27,Standard_Formula
2025-11-30,EXP00000096,2987,2024-09-30,2024-Q3,D2,Direct Motor (Commercial),Market_Risk,Non_Underwriting,1247728.06,1012903.35,1250145.87,0.5647,190526.76,Standard_Formula
2025-11-30,EXP00000097,2987,2024-09-30,2024-Q3,D2,Direct Motor (Commercial),Credit_Risk,Non_Underwriting,483043.44,448691.62,552281.03,0.3291,84292.86,Standard_Formula
2025-11-30,EXP00000098,2987,2024-09-30,2024-Q3,D2,Direct Motor (Commercial),Operational_Risk,Non_Underwriting,474437.98,392054.85,467891.91,0.657,59733.88,Standard_Formula
2025-11-30,EXP00000100,2987,2024-09-30,2024-Q3,E1,Energy Offshore,Premium_Risk,Underwriting,1341498.69,1034565.44,1239504.89,0.6234,153580.25,Standard_Formula
2025-11-30,EXP00000101,2987,2024-09-30,2024-Q3,E1,Energy Offshore,Reserve_Risk,Underwriting,1713637.79,1246308.02,1682537.2,0.3982,297827.4,Standard_Formula
2025-11-30,EXP00000102,2987,2024-09-30,2024-Q3,E1,Energy Offshore,Cat_Risk,Underwriting,952141.49,712067.17,962808.21,0.3296,128332.23,Standard_Formula
2025-11-30,EXP00000103,2987,2024-09-30,2024-Q3,E1,Energy Offshore,Market_Risk,Non_Underwriting,1265662.09,1013237.23,1286933.36,0.3173,222262.58,Standard_Formula
2025-11-30,EXP00000104,2987,2024-09-30,2024-Q3,E1,Energy Offshore,Credit_Risk,Non_Underwriting,462347.88,447012.3,508114.4,0.6922,59477.65,Standard_Formula
2025-11-30,EXP00000105,2987,2024-09-30,2024-Q3,E1,Energy Offshore,Operational_Risk,Non_Underwriting,464685.34,359606.76,469950.33,0.3206,60121.96,Standard_Formula
2025-11-30,EXP00000107,2987,2024-12-30,2024-Q4,A1,Direct Accident & Health,Premium_Risk,Underwriting,1298306.36,953172.75,1361127.76,0.6089,172603.64,Standard_Formula
2025-11-30,EXP00000108,2987,2024-12-30,2024-Q4,A1,Direct Accident & Health,Reserve_Risk,Underwriting,1462674.74,1311821.29,1641819.09,0.4094,171251.71,Standard_Formula
2025-11-30,EXP00000109,2987,2024-12-30,2024-Q4,A1,Direct Accident & Health,Cat_Risk,Underwriting,874431.43,826246.38,920667.25,0.6198,132041.55,Standard_Formula
2025-11-30,EXP00000110,2987,2024-12-30,2024-Q4,A1,Direct Accident & Health,Market_Risk,Non_Underwriting,1324891.65,1092178.66,1215025.14,0.6983,147959.04,Standard_Formula
2025-11-30,EXP00000111,2987,2024-12-30,2024-Q4,A1,Direct Accident & Health,Credit_Risk,Non_Underwriting,509606.12,419288.16,468450.84,0.3134,56316.87,Standard_Formula
2025-11-30,EXP00000112,2987,2024-12-30,2024-Q4,A1,Direct Accident & Health,Operational_Risk,Non_Underwriting,409136.99,364412.41,481858.55,0.4981,79006.45,Standard_Formula
2025-11-30,EXP00000114,2987,2024-12-30,2024-Q4,A2,Accident & Health Reinsurance,Premium_Risk,Underwriting,1158890.17,969448.97,1171912.12,0.5747,246468.68,Standard_Formula
2025-11-30,EXP00000115,2987,2024-12-30,2024-Q4,A2,Accident & Health Reinsurance,Reserve_Risk,Underwriting,1518578.73,1197754.89,1553002.95,0.342,276898.35,Standard_Formula
2025-11-30,EXP00000116,2987,2024-12-30,2024-Q4,A2,Accident & Health Reinsurance,Cat_Risk,Underwriting,1021924.73,677554.62,917189.61,0.6487,108917.48,Standard_Formula
2025-11-30,EXP00000117,2987,2024-12-30,2024-Q4,A2,Accident & Health Reinsurance,Market_Risk,Non_Underwriting,1305393.63,929634.5,1315733.45,0.5616,245801.0,Standard_Formula
2025-11-30,EXP00000118,2987,2024-12-30,2024-Q4,A2,Accident & Health Reinsurance,Credit_Risk,Non_Underwriting,508920.58,398224.22,505028.71,0.5399,98844.21,Standard_Formula
2025-11-30,EXP00000119,2987,2024-12-30,2024-Q4,A2,Accident & Health Reinsurance,Operational_Risk,Non_Underwriting,401532.74,359808.18,441112.74,0.6873,78585.02,Standard_Formula
2025-11-30,EXP00000121,2987,2024-12-30,2024-Q4,D1,Direct Motor (Private Car),Premium_Risk,Underwriting,1352266.96,899871.4,1347750.58,0.6021,188801.99,Standard_Formula
2025-11-30,EXP00000122,2987,2024-12-30,2024-Q4,D1,Direct Motor (Private Car),Reserve_Risk,Underwriting,1515726.44,1212145.47,1620247.39,0.3388,195486.35,Standard_Formula
2025-11-30,EXP00000123,2987,2024-12-30,2024-Q4,D1,Direct Motor (Private Car),Cat_Risk,Underwriting,974247.67,716465.27,998364.48,0.5945,141894.9,Standard_Formula
2025-11-30,EXP00000124,2987,2024-12-30,2024-Q4,D1,Direct Motor (Private Car),Market_Risk,Non_Underwriting,1331034.35,921155.26,1337293.7,0.381,212373.46,Standard_Formula
2025-11-30,EXP00000125,2987,2024-12-30,2024-Q4,D1,Direct Motor (Private Car),Credit_Risk,Non_Underwriting,522943.29,413674.21,507779.03,0.6527,83932.72,Standard_Formula
2025-11-30,EXP00000126,2987,2024-12-30,2024-Q4,D1,Direct Motor (Private Car),Operational_Risk,Non_Underwriting,427437.73,377451.81,415238.43,0.4378,78363.91,Standard_Formula
2025-11-30,EXP00000128,2987,2024-12-30,2024-Q4,D2,Direct Motor (Commercial),Premium_Risk,Underwriting,1376316.19,1109912.46,1209556.27,0.6392,194340.56,Standard_Formula
2025-11-30,EXP00000129,2987,2024-12-30,2024-Q4,D2,Direct Motor (Commercial),Reserve_Risk,Underwriting,1553942.22,1262043.91,1636375.97,0.4886,167183.36,Standard_Formula
2025-11-30,EXP00000130,2987,2024-12-30,2024-Q4,D2,Direct Motor (Commercial),Cat_Risk,Underwriting,857809.23,750541.47,932806.33,0.6217,115396.3,Standard_Formula
2025-11-30,EXP00000131,2987,2024-12-30,2024-Q4,D2,Direct Motor (Commercial),Market_Risk,Non_Underwriting,1279391.82,1037642.55,1177300.24,0.3721,217537.25,Standard_Formula
2025-11-30,EXP00000132,2987,2024-12-30,2024-Q4,D2,Direct Motor (Commercial),Credit_Risk,Non_Underwriting,475898.7,377002.01,478102.63,0.5727,83644.91,Standard_Formula
2025-11-30,EXP00000133,2987,2024-12-30,2024-Q4,D2,Direct Motor (Commercial),Operational_Risk,Non_Underwriting,480580.2,349590.34,415272.46,0.4701,67055.66,Standard_Formula
2025-11-30,EXP00000135,2987,2024-12-30,2024-Q4,E1,Energy Offshore,Premium_Risk,Underwriting,1181564.48,1074081.94,1156669.89,0.3104,146768.52,Standard_Formula
2025-11-30,EXP00000136,2987,2024-12-30,2024-Q4,E1,Energy Offshore,Reserve_Risk,Underwriting,1426279.5,1137176.77,1440557.28,0.5765,271478.63,Standard_Formula
2025-11-30,EXP00000137,2987,2024-12-30,2024-Q4,E1,Energy Offshore,Cat_Risk,Underwriting,911000.8,697979.6,994236.07,0.3634,131195.85,Standard_Formula
2025-11-30,EXP00000138,2987,2024-12-30,2024-Q4,E1,Energy Offshore,Market_Risk,Non_Underwriting,1275894.1,1019592.36,1240277.65,0.5214,209698.04,Standard_Formula
2025-11-30,EXP00000139,2987,2024-12-30,2024-Q4,E1,Energy Offshore,Credit_Risk,Non_Underwriting,477580.71,391672.23,522127.62,0.3506,67645.51,Standard_Formula
2025-11-30,EXP00000140,2987,2024-12-30,2024-Q4,E1,Energy Offshore,Operational_Risk,Non_Underwriting,399136.87,326767.56,432368.34,0.407,78644.85,Standard_Formula
2025-11-30,EXP00000142,2987,2025-03-30,2025-Q1,A1,Direct Accident & Health,Premium_Risk,Underwriting,1235641.22,961198.6,1369971.92,0.5541,215105.94,Standard_Formula
2025-11-30,EXP00000143,2987,2025-03-30,2025-Q1,A1,Direct Accident & Health,Reserve_Risk,Underwriting,1688275.87,1197070.07,1589195.7,0.4649,202344.65,Standard_Formula
2025-11-30,EXP00000144,2987,2025-03-30,2025-Q1,A1,Direct Accident & Health,Cat_Risk,Underwriting,851243.23,686801.3,1002383.26,0.3552,179833.04,Standard_Formula
2025-11-30,EXP00000145,2987,2025-03-30,2025-Q1,A1,Direct Accident & Health,Market_Risk,Non_Underwriting,1200814.11,997291.01,1350208.43,0.4388,154754.47,Standard_Formula
2025-11-30,EXP00000146,2987,2025-03-30,2025-Q1,A1,Direct Accident & Health,Credit_Risk,Non_Underwriting,456121.73,448043.0,493689.07,0.6559,72253.81,Standard_Formula
2025-11-30,EXP00000147,2987,2025-03-30,2025-Q1,A1,Direct Accident & Health,Operational_Risk,Non_Underwriting,474066.66,317408.95,435177.96,0.4772,86910.76,Standard_Formula
2025-11-30,EXP00000149,2987,2025-03-30,2025-Q1,A2,Accident & Health Reinsurance,Premium_Risk,Underwriting,1256488.17,907106.4,1360895.23,0.6799,177171.51,Standard_Formula
2025-11-30,EXP00000150,2987,2025-03-30,2025-Q1,A2,Accident & Health Reinsurance,Reserve_Risk,Underwriting,1666091.04,1122834.11,1543058.98,0.5044,294311.71,Standard_Formula
2025-11-30,EXP00000151,2987,2025-03-30,2025-Q1,A2,Accident & Health Reinsurance,Cat_Risk,Underwriting,868357.85,737325.61,946099.82,0.5666,104105.86,Standard_Formula
2025-11-30,EXP00000152,2987,2025-03-30,2025-Q1,A2,Accident & Health Reinsurance,Market_Risk,Non_Underwriting,1203200.9,892063.97,1169650.62,0.498,155388.93,Standard_Formula
2025-11-30,EXP00000153,2987,2025-03-30,2025-Q1,A2,Accident & Health Reinsurance,Credit_Risk,Non_Underwriting,501224.53,431762.35,491067.25,0.5893,88906.26,Standard_Formula
2025-11-30,EXP00000154,2987,2025-03-30,2025-Q1,A2,Accident & Health Reinsurance,Operational_Risk,Non_Underwriting,443736.16,332398.81,466584.67,0.4514,70013.6,Standard_Formula
2025-11-30,EXP00000156,2987,2025-03-30,2025-Q1,D1,Direct Motor (Private Car),Premium_Risk,Underwriting,1256382.84,1038296.52,1346822.97,0.4418,241106.9,Standard_Formula
2025-11-30,EXP00000157,2987,2025-03-30,2025-Q1,D1,Direct Motor (Private Car),Reserve_Risk,Underwriting,1449709.92,1183021.24,1704757.87,0.3256,230023.68,Standard_Formula
2025-11-30,EXP00000158,2987,2025-03-30,2025-Q1,D1,Direct Motor (Private Car),Cat_Risk,Underwriting,898345.7,809370.57,865756.2,0.3507,109235.17,Standard_Formula
2025-11-30,EXP00000159,2987,2025-03-30,2025-Q1,D1,Direct Motor (Private Car),Market_Risk,Non_Underwriting,1211827.47,1096546.34,1352670.05,0.3806,191200.96,Standard_Formula
2025-11-30,EXP00000160,2987,2025-03-30,2025-Q1,D1,Direct Motor (Private Car),Credit_Risk,Non_Underwriting,519912.62,393807.87,548507.08,0.5191,72222.18,Standard_Formula
2025-11-30,EXP00000161,2987,2025-03-30,2025-Q1,D1,Direct Motor (Private Car),Operational_Risk,Non_Underwriting,451383.86,380618.23,419232.58,0.6686,58054.67,Standard_Formula
2025-11-30,EXP00000163,2987,2025-03-30,2025-Q1,D2,Direct Motor (Commercial),Premium_Risk,Underwriting,1291992.23,1061385.03,1359509.46,0.5507,244073.48,Standard_Formula
2025-11-30,EXP00000164,2987,2025-03-30,2025-Q1,D2,Direct Motor (Commercial),Reserve_Risk,Underwriting,1639764.84,1350354.14,1660398.86,0.5407,297508.53,Standard_Formula
2025-11-30,EXP00000165,2987,2025-03-30,2025-Q1,D2,Direct Motor (Commercial),Cat_Risk,Underwriting,912761.59,700559.64,880970.82,0.5109,181575.29,Standard_Formula
2025-11-30,EXP00000166,2987,2025-03-30,2025-Q1,D2,Direct Motor (Commercial),Market_Risk,Non_Underwriting,1277290.28,1101302.7,1168423.93,0.5886,249558.01,Standard_Formula
2025-11-30,EXP00000167,2987,2025-03-30,2025-Q1,D2,Direct Motor (Commercial),Credit_Risk,Non_Underwriting,507880.87,432405.98,505917.43,0.6469,80015.42,Standard_Formula
2025-11-30,EXP00000168,2987,2025-03-30,2025-Q1,D2,Direct Motor (Commercial),Operational_Risk,Non_Underwriting,413703.41,328743.61,427752.33,0.6876,71604.64,Standard_Formula
2025-11-30,EXP00000170,2987,2025-03-30,2025-Q1,E1,Energy Offshore,Premium_Risk,Underwriting,1254127.44,973163.65,1353639.02,0.4212,185208.13,Standard_Formula
