reporting_period,Asset_ID,Syndicate_Number,Reporting_Date,Quarter,Asset_Type,Asset_Category,Currency,ISIN,Issuer,Market_Value,Book_Value,Accrued_Interest,Credit_Rating,Duration,Yield
2025-11-30,AST00000020,2987,2024-03-30,2024-Q1,Equities_Listed,Illiquid,JPY,XS4693798249,Issuer_3,29125974.95,28910057.9,210337.08,AA,4.16,0.0131
2025-11-30,AST00000021,2987,2024-03-30,2024-Q1,Equities_Listed,Illiquid,USD,XS2671432951,Issuer_12,29125974.95,29963539.58,550991.79,A,0.87,0.0216
2025-11-30,AST00000023,2987,2024-03-30,2024-Q1,Equities_Unlisted,Illiquid,CAD,XS2838866637,Issuer_75,18034652.33,17221839.72,218134.91,AAA,8.55,0.031
2025-11-30,AST00000025,2987,2024-03-30,2024-Q1,Property,Illiquid,AUD,XS8293152224,Issuer_2,15396726.07,15842959.27,65047.35,A,6.93,0.0172
2025-11-30,AST00000026,2987,2024-03-30,2024-Q1,Property,Illiquid,USD,XS4448901202,Issuer_66,15396726.07,15987044.59,327146.45,BBB,1.0,0.0151
2025-11-30,AST00000027,2987,2024-03-30,2024-Q1,Property,Illiquid,JPY,XS9403993326,Issuer_65,30793452.14,30441145.8,21951.53,A,4.32,0.065
2025-11-30,AST00000029,2987,2024-03-30,2024-Q1,Cash_And_Cash_Equivalents,Liquid,CAD,XS5324534829,Issuer_5,30764828.07,29946889.94,272193.22,A,0.97,0.0411
2025-11-30,AST00000030,2987,2024-03-30,2024-Q1,Cash_And_Cash_Equivalents,Liquid,CHF,XS6181901059,Issuer_69,46147242.1,45875170.01,379806.98,BB,5.8,0.0651
2025-11-30,AST00000031,2987,2024-03-30,2024-Q1,Cash_And_Cash_Equivalents,Liquid,EUR,XS3050853008,Issuer_51,46147242.1,44608408.76,948678.31,AA,6.51,0.074
2025-11-30,AST00000033,2987,2024-03-30,2024-Q1,Collective_Investment_Undertakings,Illiquid,JPY,XS9812657047,Issuer_84,18750571.36,19632924.72,437670.83,AAA,0.81,0.0751
2025-11-30,AST00000035,2987,2024-03-30,2024-Q1,Loans_And_Mortgages,Illiquid,GBP,XS2955289545,Issuer_27,101152216.92,99113367.61,2963985.19,A,6.3,0.0553
2025-11-30,AST00000036,2987,2024-03-30,2024-Q1,Loans_And_Mortgages,Illiquid,CHF,XS7887824030,Issuer_5,50576108.46,51055265.88,272734.65,AA,8.57,0.0191
2025-11-30,AST00000038,2987,2024-03-30,2024-Q1,Derivatives,Illiquid,USD,XS2362730997,Issuer_92,60737163.24,58055360.36,914251.27,BB,3.39,0.0449
2025-11-30,AST00000040,2987,2024-03-30,2024-Q1,Other_Investments,Illiquid,JPY,XS2793862106,Issuer_55,34921999.61,35794567.87,719080.27,BBB,4.57,0.0552
2025-11-30,AST00000041,2987,2024-03-30,2024-Q1,Other_Investments,Illiquid,GBP,XS5663354223,Issuer_85,69843999.22,70752853.99,1244386.9,A,2.59,0.0323
2025-11-30,AST00000043,2987,2024-06-30,2024-Q2,Liquid_Assets,Liquid,USD,XS7627767985,Issuer_19,24930468.57,25114033.02,358249.74,BBB,1.43,0.0719
2025-11-30,AST00000044,2987,2024-06-30,2024-Q2,Liquid_Assets,Liquid,CHF,XS4164539759,Issuer_44,24930468.57,25271106.21,544546.18,BBB,2.81,0.068
2025-11-30,AST00000045,2987,2024-06-30,2024-Q2,Liquid_Assets,Liquid,EUR,XS3409789737,Issuer_44,37395702.86,37563847.2,349372.8,AA,7.91,0.0708
2025-11-30,AST00000047,2987,2024-06-30,2024-Q2,Illiquid_Assets,Illiquid,USD,XS1696527363,Issuer_90,26493833.71,27066575.63,214913.76,A,7.4,0.0725
2025-11-30,AST00000048,2987,2024-06-30,2024-Q2,Illiquid_Assets,Illiquid,JPY,XS6035436039,Issuer_90,17662555.81,18339583.72,154955.53,AAA,6.11,0.0254
2025-11-30,AST00000049,2987,2024-06-30,2024-Q2,Illiquid_Assets,Illiquid,GBP,XS8791714828,Issuer_46,17662555.81,17247313.83,154414.84,AAA,6.2,0.0502
2025-11-30,AST00000051,2987,2024-06-30,2024-Q2,Restricted_Assets,Illiquid,CHF,XS3256085946,Issuer_48,16988672.03,17217328.66,111993.07,AAA,9.39,0.077
2025-11-30,AST00000053,2987,2024-06-30,2024-Q2,Bonds_Government,Liquid,CAD,XS1027738715,Issuer_43,25780587.57,24566038.22,766118.66,BBB,1.1,0.0214
2025-11-30,AST00000054,2987,2024-06-30,2024-Q2,Bonds_Government,Liquid,USD,XS6026063174,Issuer_82,25780587.57,25701788.28,32377.16,BBB,8.08,0.0737
2025-11-30,AST00000056,2987,2024-06-30,2024-Q2,Bonds_Corporate,Illiquid,CHF,XS6026059911,Issuer_22,37678202.83,37985464.47,860012.14,BBB,6.38,0.0671
2025-11-30,AST00000057,2987,2024-06-30,2024-Q2,Bonds_Corporate,Illiquid,CAD,XS6577346539,Issuer_38,75356405.65,71694427.85,1532721.26,AAA,5.21,0.069
2025-11-30,AST00000058,2987,2024-06-30,2024-Q2,Bonds_Corporate,Illiquid,AUD,XS1664432977,Issuer_71,37678202.83,37127157.52,830187.83,BBB,1.89,0.0498
2025-11-30,AST00000060,2987,2024-06-30,2024-Q2,Bonds_Structured_Notes,Illiquid,CAD,XS5248130131,Issuer_90,26378560.49,26181492.69,723990.71,AAA,5.65,0.0505
2025-11-30,AST00000061,2987,2024-06-30,2024-Q2,Bonds_Structured_Notes,Illiquid,CAD,XS6371277195,Issuer_43,26378560.49,26798167.47,731665.16,AAA,5.71,0.0452
2025-11-30,AST00000063,2987,2024-06-30,2024-Q2,Equities_Listed,Illiquid,AUD,XS4760799482,Issuer_41,7015096.58,7197550.01,191719.19,BB,5.12,0.0161
2025-11-30,AST00000064,2987,2024-06-30,2024-Q2,Equities_Listed,Illiquid,EUR,XS8841882509,Issuer_1,10522644.87,10705293.79,16318.23,AAA,1.31,0.0155
2025-11-30,AST00000065,2987,2024-06-30,2024-Q2,Equities_Listed,Illiquid,CAD,XS3159889557,Issuer_18,21045289.73,21274355.63,397637.0,BB,0.88,0.0476
2025-11-30,AST00000067,2987,2024-06-30,2024-Q2,Equities_Unlisted,Illiquid,GBP,XS6884518891,Issuer_59,27798630.12,28768839.1,778764.78,BBB,3.44,0.0206
2025-11-30,AST00000069,2987,2024-06-30,2024-Q2,Property,Illiquid,USD,XS4917017694,Issuer_62,45266653.51,47189744.19,80760.66,AA,1.85,0.0378
2025-11-30,AST00000070,2987,2024-06-30,2024-Q2,Property,Illiquid,AUD,XS2986044745,Issuer_61,45266653.51,43618585.39,1074965.34,AAA,3.85,0.0401
2025-11-30,AST00000071,2987,2024-06-30,2024-Q2,Property,Illiquid,USD,XS5565502287,Issuer_66,15088884.5,14417383.34,344627.21,BBB,1.35,0.0299
2025-11-30,AST00000073,2987,2024-06-30,2024-Q2,Cash_And_Cash_Equivalents,Liquid,GBP,XS4583422849,Issuer_12,64004726.15,61232052.78,301670.06,BB,6.32,0.0137
2025-11-30,AST00000075,2987,2024-06-30,2024-Q2,Collective_Investment_Undertakings,Illiquid,CAD,XS8882257557,Issuer_70,24560477.53,24483546.16,198450.41,AAA,3.32,0.0257
2025-11-30,AST00000076,2987,2024-06-30,2024-Q2,Collective_Investment_Undertakings,Illiquid,CAD,XS9110744858,Issuer_44,12280238.77,11691662.18,363651.33,BBB,1.0,0.0139
2025-11-30,AST00000077,2987,2024-06-30,2024-Q2,Collective_Investment_Undertakings,Illiquid,GBP,XS9543827101,Issuer_3,24560477.53,23477933.0,569468.07,A,9.19,0.0536
2025-11-30,AST00000079,2987,2024-06-30,2024-Q2,Loans_And_Mortgages,Illiquid,AUD,XS9875083034,Issuer_40,19075949.0,19023926.46,287664.47,BBB,7.57,0.0502
2025-11-30,AST00000081,2987,2024-06-30,2024-Q2,Derivatives,Illiquid,CHF,XS3915642541,Issuer_32,73974435.24,72043984.9,327750.24,BBB,2.51,0.0213
2025-11-30,AST00000082,2987,2024-06-30,2024-Q2,Derivatives,Illiquid,CHF,XS7792496309,Issuer_37,24658145.08,25034782.38,662356.86,BBB,0.67,0.0491
2025-11-30,AST00000084,2987,2024-06-30,2024-Q2,Other_Investments,Illiquid,CAD,XS9437610794,Issuer_87,36679335.45,36670747.65,790518.62,BB,3.91,0.0243
2025-11-30,AST00000085,2987,2024-06-30,2024-Q2,Other_Investments,Illiquid,EUR,XS3509747420,Issuer_71,36679335.45,37194909.21,678912.81,BB,4.27,0.0516
2025-11-30,AST00000087,2987,2024-09-30,2024-Q3,Liquid_Assets,Liquid,CHF,XS4702614884,Issuer_97,30578950.41,30616120.44,911981.98,AA,5.74,0.0137
2025-11-30,AST00000089,2987,2024-09-30,2024-Q3,Illiquid_Assets,Illiquid,USD,XS9380957675,Issuer_8,11215170.7,11355601.14,96415.66,AAA,2.29,0.049
2025-11-30,AST00000090,2987,2024-09-30,2024-Q3,Illiquid_Assets,Illiquid,AUD,XS8143481509,Issuer_43,16822756.06,16505685.4,68256.09,BB,6.26,0.0483
2025-11-30,AST00000092,2987,2024-09-30,2024-Q3,Restricted_Assets,Illiquid,CAD,XS2003399557,Issuer_4,27091776.76,28426651.04,437794.8,BB,8.61,0.0188
2025-11-30,AST00000094,2987,2024-09-30,2024-Q3,Bonds_Government,Liquid,CHF,XS5146558856,Issuer_90,17321133.8,16911545.79,62852.65,AA,5.38,0.0513
2025-11-30,AST00000095,2987,2024-09-30,2024-Q3,Bonds_Government,Liquid,CHF,XS3910001288,Issuer_31,25981700.71,25138563.17,317710.3,AA,6.44,0.0724
2025-11-30,AST00000097,2987,2024-09-30,2024-Q3,Bonds_Corporate,Illiquid,CAD,XS1085685462,Issuer_11,19520126.85,19521837.39,224721.35,AA,8.81,0.0533
2025-11-30,AST00000099,2987,2024-09-30,2024-Q3,Bonds_Structured_Notes,Illiquid,USD,XS1070950444,Issuer_60,25913068.97,24655227.39,379507.9,AA,8.99,0.0185
2025-11-30,AST00000101,2987,2024-09-30,2024-Q3,Equities_Listed,Illiquid,AUD,XS6935610620,Issuer_39,38214156.29,38169886.18,729634.99,BBB,4.78,0.0156
2025-11-30,AST00000102,2987,2024-09-30,2024-Q3,Equities_Listed,Illiquid,AUD,XS7666511611,Issuer_50,12738052.1,12697593.73,321501.59,BB,2.52,0.0396
2025-11-30,AST00000103,2987,2024-09-30,2024-Q3,Equities_Listed,Illiquid,EUR,XS1835000928,Issuer_98,12738052.1,12487842.47,163501.73,A,9.74,0.0781
2025-11-30,AST00000105,2987,2024-09-30,2024-Q3,Equities_Unlisted,Illiquid,CHF,XS4848755597,Issuer_97,54931148.87,52675545.89,1151886.65,A,1.2,0.0598
2025-11-30,AST00000107,2987,2024-09-30,2024-Q3,Property,Illiquid,EUR,XS2461763850,Issuer_2,4061151.8,4153200.22,85371.37,AA,5.31,0.0472
2025-11-30,AST00000109,2987,2024-09-30,2024-Q3,Cash_And_Cash_Equivalents,Liquid,EUR,XS8139842569,Issuer_33,15020262.81,15228427.24,27850.07,AA,9.52,0.0591
2025-11-30,AST00000111,2987,2024-09-30,2024-Q3,Collective_Investment_Undertakings,Illiquid,EUR,XS2766098012,Issuer_45,70358808.76,68548027.19,831858.39,BBB,9.35,0.0646
2025-11-30,AST00000113,2987,2024-09-30,2024-Q3,Loans_And_Mortgages,Illiquid,USD,XS9544463856,Issuer_29,30673143.79,31190703.41,682535.96,AA,8.22,0.0593
2025-11-30,AST00000115,2987,2024-09-30,2024-Q3,Derivatives,Illiquid,CAD,XS7998003529,Issuer_55,50664946.04,49435391.58,849037.78,BBB,1.64,0.0248
2025-11-30,AST00000116,2987,2024-09-30,2024-Q3,Derivatives,Illiquid,USD,XS6166377696,Issuer_46,16888315.35,16605242.25,497806.27,AA,6.22,0.0423
2025-11-30,AST00000117,2987,2024-09-30,2024-Q3,Derivatives,Illiquid,GBP,XS5749626461,Issuer_21,16888315.35,17192500.75,42927.73,BBB,7.92,0.0386
2025-11-30,AST00000119,2987,2024-09-30,2024-Q3,Other_Investments,Illiquid,AUD,XS3135715237,Issuer_58,11584612.22,11621623.4,288474.99,BB,8.42,0.0507
2025-11-30,AST00000120,2987,2024-09-30,2024-Q3,Other_Investments,Illiquid,CAD,XS8247459264,Issuer_52,11584612.22,11429690.57,103149.53,AAA,1.53,0.0357
2025-11-30,AST00000121,2987,2024-09-30,2024-Q3,Other_Investments,Illiquid,GBP,XS2466942070,Issuer_37,5792306.11,5789751.23,84845.79,AA,9.85,0.0598
2025-11-30,AST00000123,2987,2024-12-30,2024-Q4,Liquid_Assets,Liquid,EUR,XS4281994440,Issuer_33,31651942.0,30074397.06,768334.15,BB,3.16,0.0677
2025-11-30,AST00000124,2987,2024-12-30,2024-Q4,Liquid_Assets,Liquid,CHF,XS8456623443,Issuer_41,94955826.0,98587541.2,1212683.21,BBB,9.98,0.0103
2025-11-30,AST00000126,2987,2024-12-30,2024-Q4,Illiquid_Assets,Illiquid,USD,XS6390868202,Issuer_34,40184188.07,41662365.3,618518.69,AA,9.51,0.0793
2025-11-30,AST00000127,2987,2024-12-30,2024-Q4,Illiquid_Assets,Illiquid,USD,XS3493009680,Issuer_69,80368376.15,83280601.33,734002.0,AA,7.22,0.051
2025-11-30,AST00000129,2987,2024-12-30,2024-Q4,Restricted_Assets,Illiquid,AUD,XS9995564213,Issuer_43,33922185.47,32764182.66,602461.83,AA,2.36,0.0368
2025-11-30,AST00000131,2987,2024-12-30,2024-Q4,Bonds_Government,Liquid,GBP,XS4409518425,Issuer_53,16077829.1,15796644.04,434892.81,BBB,5.47,0.0694
2025-11-30,AST00000132,2987,2024-12-30,2024-Q4,Bonds_Government,Liquid,JPY,XS5373955441,Issuer_71,10718552.73,10803407.67,192358.83,BBB,8.61,0.0658
2025-11-30,AST00000134,2987,2024-12-30,2024-Q4,Bonds_Corporate,Illiquid,CAD,XS7779910514,Issuer_7,17540430.97,18096717.68,42213.53,AAA,2.63,0.0322
2025-11-30,AST00000135,2987,2024-12-30,2024-Q4,Bonds_Corporate,Illiquid,JPY,XS7346561674,Issuer_23,35080861.94,35685841.12,285878.13,A,4.01,0.0478
2025-11-30,AST00000137,2987,2024-12-30,2024-Q4,Bonds_Structured_Notes,Illiquid,EUR,XS3012693810,Issuer_72,15566301.77,15293464.87,194260.67,BB,9.81,0.0354
2025-11-30,AST00000138,2987,2024-12-30,2024-Q4,Bonds_Structured_Notes,Illiquid,GBP,XS9010934865,Issuer_80,31132603.54,32510438.36,625263.91,A,0.84,0.0639
2025-11-30,AST00000139,2987,2024-12-30,2024-Q4,Bonds_Structured_Notes,Illiquid,AUD,XS9798986058,Issuer_46,31132603.54,29617866.74,892459.81,AA,7.4,0.0678
2025-11-30,AST00000141,2987,2024-12-30,2024-Q4,Equities_Listed,Illiquid,AUD,XS9649693543,Issuer_31,3034447.61,2904457.35,83885.1,A,6.78,0.0227
2025-11-30,AST00000142,2987,2024-12-30,2024-Q4,Equities_Listed,Illiquid,CHF,XS6690698451,Issuer_24,2022965.07,1946091.07,7743.21,BBB,3.31,0.0462
2025-11-30,AST00000144,2987,2024-12-30,2024-Q4,Equities_Unlisted,Illiquid,USD,XS6635552747,Issuer_78,15485017.64,14934956.46,91388.72,AA,7.0,0.0627
2025-11-30,AST00000145,2987,2024-12-30,2024-Q4,Equities_Unlisted,Illiquid,CAD,XS8658429223,Issuer_4,15485017.64,15760146.02,175645.34,BB,7.73,0.0222
2025-11-30,AST00000146,2987,2024-12-30,2024-Q4,Equities_Unlisted,Illiquid,AUD,XS1425744939,Issuer_61,15485017.64,15460870.14,262164.24,BBB,4.51,0.0478
2025-11-30,AST00000148,2987,2024-12-30,2024-Q4,Property,Illiquid,CAD,XS6835302961,Issuer_30,16769549.1,16101019.89,108230.12,AAA,9.76,0.0589
2025-11-30,AST00000149,2987,2024-12-30,2024-Q4,Property,Illiquid,CAD,XS1449568689,Issuer_43,16769549.1,17510664.55,257107.03,BB,7.41,0.0696
2025-11-30,AST00000151,2987,2024-12-30,2024-Q4,Cash_And_Cash_Equivalents,Liquid,GBP,XS2559911641,Issuer_81,4062241.34,4044714.89,13277.2,BB,5.67,0.0191
2025-11-30,AST00000153,2987,2024-12-30,2024-Q4,Collective_Investment_Undertakings,Illiquid,CAD,XS2492896829,Issuer_64,5786361.59,5573261.37,117817.31,AAA,5.7,0.0204
2025-11-30,AST00000154,2987,2024-12-30,2024-Q4,Collective_Investment_Undertakings,Illiquid,CHF,XS9071875696,Issuer_9,5786361.59,5558200.67,102491.6,A,3.51,0.0263
2025-11-30,AST00000156,2987,2024-12-30,2024-Q4,Loans_And_Mortgages,Illiquid,CHF,XS7654547240,Issuer_17,15872850.65,15807139.66,356225.08,BBB,0.81,0.0346
2025-11-30,AST00000157,2987,2024-12-30,2024-Q4,Loans_And_Mortgages,Illiquid,EUR,XS1332945871,Issuer_96,10581900.43,10678290.75,16354.06,AAA,1.74,0.0525
2025-11-30,AST00000158,2987,2024-12-30,2024-Q4,Loans_And_Mortgages,Illiquid,CAD,XS2037370694,Issuer_62,10581900.43,11054287.62,70591.16,BBB,6.02,0.0687
2025-11-30,AST00000160,2987,2024-12-30,2024-Q4,Derivatives,Illiquid,JPY,XS7671565261,Issuer_55,17632365.91,18230184.37,174242.52,BBB,4.26,0.042
2025-11-30,AST00000161,2987,2024-12-30,2024-Q4,Derivatives,Illiquid,EUR,XS8225723314,Issuer_78,52897097.72,52566661.2,82747.86,AA,1.78,0.0761
2025-11-30,AST00000163,2987,2024-12-30,2024-Q4,Other_Investments,Illiquid,AUD,XS3791454601,Issuer_2,37952955.99,37972182.04,674536.25,AA,1.81,0.0545
2025-11-30,AST00000165,2987,2025-03-30,2025-Q1,Liquid_Assets,Liquid,EUR,XS2178994708,Issuer_55,66483007.46,69239999.18,774111.85,A,7.13,0.0246
2025-11-30,AST00000166,2987,2025-03-30,2025-Q1,Liquid_Assets,Liquid,CAD,XS3857586721,Issuer_61,66483007.46,68400343.37,1149722.64,BB,3.56,0.0528
2025-11-30,AST00000168,2987,2025-03-30,2025-Q1,Illiquid_Assets,Illiquid,USD,XS5267731129,Issuer_22,18990745.39,18285230.78,367988.0,BB,3.82,0.0411
2025-11-30,AST00000170,2987,2025-03-30,2025-Q1,Restricted_Assets,Illiquid,CHF,XS9195901541,Issuer_84,68265916.14,65879078.25,887165.92,AA,4.29,0.06
2025-11-30,AST00000172,2987,2025-03-30,2025-Q1,Bonds_Government,Liquid,AUD,XS6998049961,Issuer_46,24544300.67,24447373.86,4805.9,BB,1.62,0.0447
2025-11-30,AST00000173,2987,2025-03-30,2025-Q1,Bonds_Government,Liquid,USD,XS7887093843,Issuer_48,8181433.56,8093893.04,189450.24,BBB,3.21,0.0523
2025-11-30,AST00000175,2987,2025-03-30,2025-Q1,Bonds_Corporate,Illiquid,CAD,XS7430804324,Issuer_41,24595096.92,25375149.73,403205.21,AAA,4.84,0.0613
2025-11-30,AST00000176,2987,2025-03-30,2025-Q1,Bonds_Corporate,Illiquid,USD,XS4998862016,Issuer_92,16396731.28,16851218.66,120241.59,BBB,9.77,0.0135
2025-11-30,AST00000177,2987,2025-03-30,2025-Q1,Bonds_Corporate,Illiquid,EUR,XS3508099648,Issuer_2,49190193.84,47156280.12,123172.99,BB,5.86,0.053
2025-11-30,AST00000179,2987,2025-03-30,2025-Q1,Bonds_Structured_Notes,Illiquid,EUR,XS2170149153,Issuer_73,7433472.52,7407354.67,112547.42,A,5.89,0.0732
2025-11-30,AST00000180,2987,2025-03-30,2025-Q1,Bonds_Structured_Notes,Illiquid,CHF,XS4124246957,Issuer_46,14866945.05,15081569.36,14892.15,BB,7.35,0.0743
2025-11-30,AST00000182,2987,2025-03-30,2025-Q1,Equities_Listed,Illiquid,AUD,XS5253702189,Issuer_82,15995486.84,15331941.19,166912.62,AA,9.77,0.0509
2025-11-30,AST00000183,2987,2025-03-30,2025-Q1,Equities_Listed,Illiquid,CHF,XS6618941373,Issuer_81,47986460.53,49148919.84,1263986.47,BBB,6.0,0.06
2025-11-30,AST00000184,2987,2025-03-30,2025-Q1,Equities_Listed,Illiquid,AUD,XS1728913550,Issuer_40,15995486.84,15345656.3,192596.47,AAA,8.74,0.0625
2025-11-30,AST00000186,2987,2025-03-30,2025-Q1,Equities_Unlisted,Illiquid,CAD,XS4056142226,Issuer_14,22766517.3,22875091.15,384796.81,BBB,9.91,0.0529
2025-11-30,AST00000188,2987,2025-03-30,2025-Q1,Property,Illiquid,USD,XS7869369404,Issuer_58,34919229.95,35922259.14,980570.25,AA,2.85,0.0192
2025-11-30,AST00000189,2987,2025-03-30,2025-Q1,Property,Illiquid,USD,XS4362591135,Issuer_6,17459614.98,17498009.96,488765.66,BB,5.09,0.0639
2025-11-30,AST00000190,2987,2025-03-30,2025-Q1,Property,Illiquid,USD,XS6642157544,Issuer_74,34919229.95,34258459.74,557769.71,BB,2.85,0.0605
2025-11-30,AST00000192,2987,2025-03-30,2025-Q1,Cash_And_Cash_Equivalents,Liquid,CAD,XS7546224580,Issuer_45,6444405.14,6667114.02,77537.32,BB,2.39,0.0177
2025-11-30,AST00000194,2987,2025-03-30,2025-Q1,Collective_Investment_Undertakings,Illiquid,CHF,XS4946625952,Issuer_78,20756455.73,20523106.83,521605.3,AAA,8.04,0.0121
2025-11-30,AST00000195,2987,2025-03-30,2025-Q1,Collective_Investment_Undertakings,Illiquid,AUD,XS4390424838,Issuer_31,20756455.73,21220607.91,242737.85,AAA,5.68,0.0309
2025-11-30,AST00000197,2987,2025-03-30,2025-Q1,Loans_And_Mortgages,Illiquid,JPY,XS3657684064,Issuer_76,7061371.14,7385488.39,208088.24,A,7.36,0.0675
2025-11-30,AST00000198,2987,2025-03-30,2025-Q1,Loans_And_Mortgages,Illiquid,USD,XS1559507981,Issuer_87,7061371.14,7325896.4,93042.98,AAA,7.27,0.0777
2025-11-30,AST00000199,2987,2025-03-30,2025-Q1,Loans_And_Mortgages,Illiquid,AUD,XS5784807289,Issuer_74,14122742.28,13889204.3,177604.79,A,9.52,0.0474
2025-11-30,AST00000201,2987,2025-03-30,2025-Q1,Derivatives,Illiquid,CAD,XS1468023107,Issuer_76,15184036.11,15806265.13,380985.5,BB,3.85,0.0608
2025-11-30,AST00000202,2987,2025-03-30,2025-Q1,Derivatives,Illiquid,EUR,XS9389067990,Issuer_89,30368072.22,29428799.17,480185.04,BBB,1.54,0.0102
2025-11-30,AST00000204,2987,2025-03-30,2025-Q1,Other_Investments,Illiquid,CHF,XS4600502723,Issuer_8,4878784.6,4919588.16,61086.41,AAA,5.55,0.0412
2025-11-30,AST00000206,2987,2025-06-30,2025-Q2,Liquid_Assets,Liquid,CAD,XS8713921377,Issuer_20,15229989.24,14818604.16,374388.65,BBB,4.08,0.0601
2025-11-30,AST00000207,2987,2025-06-30,2025-Q2,Liquid_Assets,Liquid,CHF,XS1698391135,Issuer_82,45689967.73,43850877.6,1242958.6,BBB,7.48,0.0495
2025-11-30,AST00000208,2987,2025-06-30,2025-Q2,Liquid_Assets,Liquid,USD,XS3697374311,Issuer_11,15229989.24,15630060.7,258611.5,A,5.69,0.0294
2025-11-30,AST00000210,2987,2025-06-30,2025-Q2,Illiquid_Assets,Illiquid,AUD,XS9633953643,Issuer_59,18304415.82,18443515.65,375870.02,BBB,0.6,0.0688
2025-11-30,AST00000212,2987,2025-06-30,2025-Q2,Restricted_Assets,Illiquid,CAD,XS9600735260,Issuer_59,56489704.75,55776143.38,1301414.61,BBB,6.24,0.0321
2025-11-30,AST00000213,2987,2025-06-30,2025-Q2,Restricted_Assets,Illiquid,JPY,XS8836769562,Issuer_53,56489704.75,56762429.12,1340876.67,AA,6.83,0.0432
2025-11-30,AST00000215,2987,2025-06-30,2025-Q2,Bonds_Government,Liquid,CAD,XS4055783871,Issuer_84,11986364.99,12330212.31,178499.88,BBB,7.01,0.0469
2025-11-30,AST00000216,2987,2025-06-30,2025-Q2,Bonds_Government,Liquid,GBP,XS6923446593,Issuer_85,35959094.97,36648706.56,458901.38,A,1.58,0.0682
2025-11-30,AST00000217,2987,2025-06-30,2025-Q2,Bonds_Government,Liquid,AUD,XS1285234679,Issuer_55,17979547.48,17341338.62,248494.11,AAA,3.12,0.0495
2025-11-30,AST00000219,2987,2025-06-30,2025-Q2,Bonds_Corporate,Illiquid,EUR,XS5752163850,Issuer_71,28206563.48,27569016.73,453457.56,BBB,2.49,0.0357
2025-11-30,AST00000220,2987,2025-06-30,2025-Q2,Bonds_Corporate,Illiquid,USD,XS4720015790,Issuer_56,28206563.48,27142215.29,519947.94,AAA,7.43,0.0439
2025-11-30,AST00000221,2987,2025-06-30,2025-Q2,Bonds_Corporate,Illiquid,GBP,XS4962158252,Issuer_66,9402187.83,9315548.42,204879.96,AA,4.65,0.0572
2025-11-30,AST00000223,2987,2025-06-30,2025-Q2,Bonds_Structured_Notes,Illiquid,USD,XS9110952064,Issuer_42,42870199.81,40888174.4,443007.94,AAA,5.69,0.0469
2025-11-30,AST00000224,2987,2025-06-30,2025-Q2,Bonds_Structured_Notes,Illiquid,AUD,XS4527368525,Issuer_23,42870199.81,41471171.08,580849.24,AAA,9.99,0.0598
2025-11-30,AST00000226,2987,2025-06-30,2025-Q2,Equities_Listed,Illiquid,CHF,XS2356571822,Issuer_17,4116993.81,4100639.76,27432.01,BBB,2.58,0.0759
