Reserve_ID,Syndicate_Number,LOB_Code,LOB_Name,Valuation_Date,Quarter,Reserve_Type,Movement_Type,Amount,Currency,Discounted,Confidence_Level
RES00000035,2987,A1,Direct Accident & Health,2026-03-30,2026-Q1,Reinsurance_Recoverables,Revaluation,627411.2,GBP,True,0.5
RES00000036,2987,A1,Direct Accident & Health,2026-03-30,2026-Q1,IBNR,Revaluation,368094.53,GBP,False,0.75
RES00000037,2987,A1,Direct Accident & Health,2026-06-30,2026-Q2,Best_Estimate_Liabilities,Revaluation,2091337.39,GBP,True,0.5
RES00000038,2987,A1,Direct Accident & Health,2026-06-30,2026-Q2,Risk_Margin,Revaluation,131010.99,GBP,True,0.5
RES00000039,2987,A1,Direct Accident & Health,2026-06-30,2026-Q2,Reinsurance_Recoverables,Revaluation,622234.64,GBP,True,0.5
RES00000040,2987,A1,Direct Accident & Health,2026-06-30,2026-Q2,IBNR,Revaluation,303805.51,GBP,False,0.75
RES00000041,2987,A1,Direct Accident & Health,2026-09-30,2026-Q3,Best_Estimate_Liabilities,Revaluation,2186891.4,GBP,True,0.5
RES00000042,2987,A1,Direct Accident & Health,2026-09-30,2026-Q3,Risk_Margin,Revaluation,130994.68,GBP,True,0.5
RES00000043,2987,A1,Direct Accident & Health,2026-09-30,2026-Q3,Reinsurance_Recoverables,Revaluation,664685.89,GBP,True,0.5
RES00000044,2987,A1,Direct Accident & Health,2026-09-30,2026-Q3,IBNR,Revaluation,655771.56,GBP,False,0.75
RES00000045,2987,A1,Direct Accident & Health,2026-12-30,2026-Q4,Best_Estimate_Liabilities,Revaluation,2259407.14,GBP,True,0.5
RES00000046,2987,A1,Direct Accident & Health,2026-12-30,2026-Q4,Risk_Margin,Revaluation,139643.14,GBP,True,0.5
RES00000047,2987,A1,Direct Accident & Health,2026-12-30,2026-Q4,Reinsurance_Recoverables,Revaluation,614842.2,GBP,True,0.5
RES00000048,2987,A1,Direct Accident & Health,2026-12-30,2026-Q4,IBNR,Revaluation,326553.54,GBP,False,0.75
RES00000049,2987,A2,Accident & Health Reinsurance,2024-03-30,2024-Q1,Best_Estimate_Liabilities,Revaluation,12000985.97,GBP,True,0.5
RES00000050,2987,A2,Accident & Health Reinsurance,2024-03-30,2024-Q1,Risk_Margin,Revaluation,687822.03,GBP,True,0.5
RES00000051,2987,A2,Accident & Health Reinsurance,2024-03-30,2024-Q1,Reinsurance_Recoverables,Revaluation,1658010.53,GBP,True,0.5
RES00000052,2987,A2,Accident & Health Reinsurance,2024-03-30,2024-Q1,IBNR,Revaluation,2543193.27,GBP,False,0.75
RES00000053,2987,A2,Accident & Health Reinsurance,2024-06-30,2024-Q2,Best_Estimate_Liabilities,Revaluation,12266236.84,GBP,True,0.5
RES00000054,2987,A2,Accident & Health Reinsurance,2024-06-30,2024-Q2,Risk_Margin,Revaluation,810566.79,GBP,True,0.5
RES00000055,2987,A2,Accident & Health Reinsurance,2024-06-30,2024-Q2,Reinsurance_Recoverables,Revaluation,1657963.53,GBP,True,0.5
RES00000056,2987,A2,Accident & Health Reinsurance,2024-06-30,2024-Q2,IBNR,Revaluation,2853072.23,GBP,False,0.75
RES00000057,2987,A2,Accident & Health Reinsurance,2024-09-30,2024-Q3,Best_Estimate_Liabilities,Revaluation,11113498.56,GBP,True,0.5
RES00000058,2987,A2,Accident & Health Reinsurance,2024-09-30,2024-Q3,Risk_Margin,Revaluation,694150.04,GBP,True,0.5
RES00000059,2987,A2,Accident & Health Reinsurance,2024-09-30,2024-Q3,Reinsurance_Recoverables,Revaluation,1886310.35,GBP,True,0.5
RES00000060,2987,A2,Accident & Health Reinsurance,2024-09-30,2024-Q3,IBNR,Revaluation,1869751.2,GBP,False,0.75
RES00000061,2987,A2,Accident & Health Reinsurance,2024-12-30,2024-Q4,Best_Estimate_Liabilities,Revaluation,11320947.75,GBP,True,0.5
RES00000062,2987,A2,Accident & Health Reinsurance,2024-12-30,2024-Q4,Risk_Margin,Revaluation,729235.46,GBP,True,0.5
RES00000063,2987,A2,Accident & Health Reinsurance,2024-12-30,2024-Q4,Reinsurance_Recoverables,Revaluation,1611600.71,GBP,True,0.5
RES00000064,2987,A2,Accident & Health Reinsurance,2024-12-30,2024-Q4,IBNR,Revaluation,3227741.18,GBP,False,0.75
RES00000065,2987,A2,Accident & Health Reinsurance,2025-03-30,2025-Q1,Best_Estimate_Liabilities,Revaluation,12819150.58,GBP,True,0.5
RES00000066,2987,A2,Accident & Health Reinsurance,2025-03-30,2025-Q1,Risk_Margin,Revaluation,700864.63,GBP,True,0.5
RES00000067,2987,A2,Accident & Health Reinsurance,2025-03-30,2025-Q1,Reinsurance_Recoverables,Revaluation,1622189.45,GBP,True,0.5
RES00000068,2987,A2,Accident & Health Reinsurance,2025-03-30,2025-Q1,IBNR,Revaluation,2319710.14,GBP,False,0.75
RES00000069,2987,A2,Accident & Health Reinsurance,2025-06-30,2025-Q2,Best_Estimate_Liabilities,Revaluation,12086464.57,GBP,True,0.5
RES00000070,2987,A2,Accident & Health Reinsurance,2025-06-30,2025-Q2,Risk_Margin,Revaluation,743762.92,GBP,True,0.5
RES00000071,2987,A2,Accident & Health Reinsurance,2025-06-30,2025-Q2,Reinsurance_Recoverables,Revaluation,1826609.33,GBP,True,0.5
RES00000072,2987,A2,Accident & Health Reinsurance,2025-06-30,2025-Q2,IBNR,Revaluation,3400088.17,GBP,False,0.75
RES00000073,2987,A2,Accident & Health Reinsurance,2025-09-30,2025-Q3,Best_Estimate_Liabilities,Revaluation,11320386.82,GBP,True,0.5
RES00000074,2987,A2,Accident & Health Reinsurance,2025-09-30,2025-Q3,Risk_Margin,Revaluation,802586.91,GBP,True,0.5
RES00000075,2987,A2,Accident & Health Reinsurance,2025-09-30,2025-Q3,Reinsurance_Recoverables,Revaluation,1788344.97,GBP,True,0.5
RES00000076,2987,A2,Accident & Health Reinsurance,2025-09-30,2025-Q3,IBNR,Revaluation,2842391.12,GBP,False,0.75
RES00000077,2987,A2,Accident & Health Reinsurance,2025-12-30,2025-Q4,Best_Estimate_Liabilities,Revaluation,12493535.73,GBP,True,0.5
RES00000078,2987,A2,Accident & Health Reinsurance,2025-12-30,2025-Q4,Risk_Margin,Revaluation,709948.16,GBP,True,0.5
RES00000079,2987,A2,Accident & Health Reinsurance,2025-12-30,2025-Q4,Reinsurance_Recoverables,Revaluation,1721194.82,GBP,True,0.5
RES00000080,2987,A2,Accident & Health Reinsurance,2025-12-30,2025-Q4,IBNR,Revaluation,1265390.4,GBP,False,0.75
RES00000081,2987,A2,Accident & Health Reinsurance,2026-03-30,2026-Q1,Best_Estimate_Liabilities,Revaluation,12369558.93,GBP,True,0.5
RES00000082,2987,A2,Accident & Health Reinsurance,2026-03-30,2026-Q1,Risk_Margin,Revaluation,680819.3,GBP,True,0.5
RES00000083,2987,A2,Accident & Health Reinsurance,2026-03-30,2026-Q1,Reinsurance_Recoverables,Revaluation,1744273.6,GBP,True,0.5
RES00000084,2987,A2,Accident & Health Reinsurance,2026-03-30,2026-Q1,IBNR,Revaluation,3089812.37,GBP,False,0.75
RES00000085,2987,A2,Accident & Health Reinsurance,2026-06-30,2026-Q2,Best_Estimate_Liabilities,Revaluation,10785447.12,GBP,True,0.5
RES00000086,2987,A2,Accident & Health Reinsurance,2026-06-30,2026-Q2,Risk_Margin,Revaluation,818243.65,GBP,True,0.5
RES00000087,2987,A2,Accident & Health Reinsurance,2026-06-30,2026-Q2,Reinsurance_Recoverables,Revaluation,1795380.01,GBP,True,0.5
RES00000088,2987,A2,Accident & Health Reinsurance,2026-06-30,2026-Q2,IBNR,Revaluation,1464400.04,GBP,False,0.75
RES00000089,2987,A2,Accident & Health Reinsurance,2026-09-30,2026-Q3,Best_Estimate_Liabilities,Revaluation,10577134.81,GBP,True,0.5
RES00000090,2987,A2,Accident & Health Reinsurance,2026-09-30,2026-Q3,Risk_Margin,Revaluation,720368.79,GBP,True,0.5
RES00000091,2987,A2,Accident & Health Reinsurance,2026-09-30,2026-Q3,Reinsurance_Recoverables,Revaluation,1673453.61,GBP,True,0.5
RES00000092,2987,A2,Accident & Health Reinsurance,2026-09-30,2026-Q3,IBNR,Revaluation,2257634.29,GBP,False,0.75
RES00000093,2987,A2,Accident & Health Reinsurance,2026-12-30,2026-Q4,Best_Estimate_Liabilities,Revaluation,11635878.55,GBP,True,0.5
RES00000094,2987,A2,Accident & Health Reinsurance,2026-12-30,2026-Q4,Risk_Margin,Revaluation,693493.26,GBP,True,0.5
RES00000095,2987,A2,Accident & Health Reinsurance,2026-12-30,2026-Q4,Reinsurance_Recoverables,Revaluation,1828861.28,GBP,True,0.5
RES00000096,2987,A2,Accident & Health Reinsurance,2026-12-30,2026-Q4,IBNR,Revaluation,2137878.37,GBP,False,0.75
RES00000097,2987,D1,Direct Motor (Private Car),2024-03-30,2024-Q1,Best_Estimate_Liabilities,Revaluation,11416002.31,GBP,True,0.5
RES00000098,2987,D1,Direct Motor (Private Car),2024-03-30,2024-Q1,Risk_Margin,Revaluation,639531.35,GBP,True,0.5
RES00000099,2987,D1,Direct Motor (Private Car),2024-03-30,2024-Q1,Reinsurance_Recoverables,Revaluation,3545931.83,GBP,True,0.5
RES00000100,2987,D1,Direct Motor (Private Car),2024-03-30,2024-Q1,IBNR,Revaluation,2075066.57,GBP,False,0.75
RES00000101,2987,D1,Direct Motor (Private Car),2024-06-30,2024-Q2,Best_Estimate_Liabilities,Revaluation,11879568.13,GBP,True,0.5
RES00000102,2987,D1,Direct Motor (Private Car),2024-06-30,2024-Q2,Risk_Margin,Revaluation,622665.69,GBP,True,0.5
RES00000103,2987,D1,Direct Motor (Private Car),2024-06-30,2024-Q2,Reinsurance_Recoverables,Revaluation,3649189.15,GBP,True,0.5
RES00000104,2987,D1,Direct Motor (Private Car),2024-06-30,2024-Q2,IBNR,Revaluation,2794031.71,GBP,False,0.75
RES00000105,2987,D1,Direct Motor (Private Car),2024-09-30,2024-Q3,Best_Estimate_Liabilities,Revaluation,10857900.11,GBP,True,0.5
RES00000106,2987,D1,Direct Motor (Private Car),2024-09-30,2024-Q3,Risk_Margin,Revaluation,652366.98,GBP,True,0.5
RES00000107,2987,D1,Direct Motor (Private Car),2024-09-30,2024-Q3,Reinsurance_Recoverables,Revaluation,3610791.13,GBP,True,0.5
RES00000108,2987,D1,Direct Motor (Private Car),2024-09-30,2024-Q3,IBNR,Revaluation,1508319.34,GBP,False,0.75
RES00000109,2987,D1,Direct Motor (Private Car),2024-12-30,2024-Q4,Best_Estimate_Liabilities,Revaluation,11962522.93,GBP,True,0.5
RES00000110,2987,D1,Direct Motor (Private Car),2024-12-30,2024-Q4,Risk_Margin,Revaluation,595781.27,GBP,True,0.5
RES00000111,2987,D1,Direct Motor (Private Car),2024-12-30,2024-Q4,Reinsurance_Recoverables,Revaluation,3982348.9,GBP,True,0.5
RES00000112,2987,D1,Direct Motor (Private Car),2024-12-30,2024-Q4,IBNR,Revaluation,3225316.99,GBP,False,0.75
RES00000113,2987,D1,Direct Motor (Private Car),2025-03-30,2025-Q1,Best_Estimate_Liabilities,Revaluation,10447143.02,GBP,True,0.5
RES00000114,2987,D1,Direct Motor (Private Car),2025-03-30,2025-Q1,Risk_Margin,Revaluation,548488.62,GBP,True,0.5
RES00000115,2987,D1,Direct Motor (Private Car),2025-03-30,2025-Q1,Reinsurance_Recoverables,Revaluation,3581695.19,GBP,True,0.5
RES00000116,2987,D1,Direct Motor (Private Car),2025-03-30,2025-Q1,IBNR,Revaluation,1367250.62,GBP,False,0.75
RES00000117,2987,D1,Direct Motor (Private Car),2025-06-30,2025-Q2,Best_Estimate_Liabilities,Revaluation,12147929.0,GBP,True,0.5
RES00000118,2987,D1,Direct Motor (Private Car),2025-06-30,2025-Q2,Risk_Margin,Revaluation,621611.82,GBP,True,0.5
RES00000119,2987,D1,Direct Motor (Private Car),2025-06-30,2025-Q2,Reinsurance_Recoverables,Revaluation,3915308.06,GBP,True,0.5
RES00000120,2987,D1,Direct Motor (Private Car),2025-06-30,2025-Q2,IBNR,Revaluation,3228500.8,GBP,False,0.75
RES00000121,2987,D1,Direct Motor (Private Car),2025-09-30,2025-Q3,Best_Estimate_Liabilities,Revaluation,12184497.94,GBP,True,0.5
RES00000122,2987,D1,Direct Motor (Private Car),2025-09-30,2025-Q3,Risk_Margin,Revaluation,645408.95,GBP,True,0.5
RES00000123,2987,D1,Direct Motor (Private Car),2025-09-30,2025-Q3,Reinsurance_Recoverables,Revaluation,3918293.52,GBP,True,0.5
RES00000124,2987,D1,Direct Motor (Private Car),2025-09-30,2025-Q3,IBNR,Revaluation,2216812.98,GBP,False,0.75
RES00000125,2987,D1,Direct Motor (Private Car),2025-12-30,2025-Q4,Best_Estimate_Liabilities,Revaluation,10106038.33,GBP,True,0.5
RES00000126,2987,D1,Direct Motor (Private Car),2025-12-30,2025-Q4,Risk_Margin,Revaluation,641111.62,GBP,True,0.5
RES00000127,2987,D1,Direct Motor (Private Car),2025-12-30,2025-Q4,Reinsurance_Recoverables,Revaluation,3493311.78,GBP,True,0.5
RES00000128,2987,D1,Direct Motor (Private Car),2025-12-30,2025-Q4,IBNR,Revaluation,1303600.55,GBP,False,0.75
RES00000129,2987,D1,Direct Motor (Private Car),2026-03-30,2026-Q1,Best_Estimate_Liabilities,Revaluation,11467742.66,GBP,True,0.5
RES00000130,2987,D1,Direct Motor (Private Car),2026-03-30,2026-Q1,Risk_Margin,Revaluation,635675.02,GBP,True,0.5
RES00000131,2987,D1,Direct Motor (Private Car),2026-03-30,2026-Q1,Reinsurance_Recoverables,Revaluation,3937843.58,GBP,True,0.5
RES00000132,2987,D1,Direct Motor (Private Car),2026-03-30,2026-Q1,IBNR,Revaluation,1923813.98,GBP,False,0.75
RES00000133,2987,D1,Direct Motor (Private Car),2026-06-30,2026-Q2,Best_Estimate_Liabilities,Revaluation,11853083.74,GBP,True,0.5
RES00000134,2987,D1,Direct Motor (Private Car),2026-06-30,2026-Q2,Risk_Margin,Revaluation,537192.86,GBP,True,0.5
RES00000135,2987,D1,Direct Motor (Private Car),2026-06-30,2026-Q2,Reinsurance_Recoverables,Revaluation,3542326.33,GBP,True,0.5
RES00000136,2987,D1,Direct Motor (Private Car),2026-06-30,2026-Q2,IBNR,Revaluation,2226368.35,GBP,False,0.75
RES00000137,2987,D1,Direct Motor (Private Car),2026-09-30,2026-Q3,Best_Estimate_Liabilities,Revaluation,11961082.7,GBP,True,0.5
RES00000138,2987,D1,Direct Motor (Private Car),2026-09-30,2026-Q3,Risk_Margin,Revaluation,548920.55,GBP,True,0.5
RES00000139,2987,D1,Direct Motor (Private Car),2026-09-30,2026-Q3,Reinsurance_Recoverables,Revaluation,3798692.85,GBP,True,0.5
RES00000140,2987,D1,Direct Motor (Private Car),2026-09-30,2026-Q3,IBNR,Revaluation,1569753.94,GBP,False,0.75
RES00000141,2987,D1,Direct Motor (Private Car),2026-12-30,2026-Q4,Best_Estimate_Liabilities,Revaluation,10488669.61,GBP,True,0.5
RES00000142,2987,D1,Direct Motor (Private Car),2026-12-30,2026-Q4,Risk_Margin,Revaluation,636884.85,GBP,True,0.5
RES00000143,2987,D1,Direct Motor (Private Car),2026-12-30,2026-Q4,Reinsurance_Recoverables,Revaluation,3544778.63,GBP,True,0.5
RES00000144,2987,D1,Direct Motor (Private Car),2026-12-30,2026-Q4,IBNR,Revaluation,1263478.36,GBP,False,0.75
RES00000145,2987,D2,Direct Motor (Commercial),2024-03-30,2024-Q1,Best_Estimate_Liabilities,Revaluation,3431212.47,GBP,True,0.5
RES00000146,2987,D2,Direct Motor (Commercial),2024-03-30,2024-Q1,Risk_Margin,Revaluation,200323.9,GBP,True,0.5
RES00000147,2987,D2,Direct Motor (Commercial),2024-03-30,2024-Q1,Reinsurance_Recoverables,Revaluation,825317.31,GBP,True,0.5
RES00000148,2987,D2,Direct Motor (Commercial),2024-03-30,2024-Q1,IBNR,Revaluation,382720.55,GBP,False,0.75
RES00000149,2987,D2,Direct Motor (Commercial),2024-06-30,2024-Q2,Best_Estimate_Liabilities,Revaluation,4110817.56,GBP,True,0.5
RES00000150,2987,D2,Direct Motor (Commercial),2024-06-30,2024-Q2,Risk_Margin,Revaluation,224641.95,GBP,True,0.5
RES00000151,2987,D2,Direct Motor (Commercial),2024-06-30,2024-Q2,Reinsurance_Recoverables,Revaluation,812897.41,GBP,True,0.5
RES00000152,2987,D2,Direct Motor (Commercial),2024-06-30,2024-Q2,IBNR,Revaluation,483596.49,GBP,False,0.75
RES00000153,2987,D2,Direct Motor (Commercial),2024-09-30,2024-Q3,Best_Estimate_Liabilities,Revaluation,3487940.84,GBP,True,0.5
RES00000154,2987,D2,Direct Motor (Commercial),2024-09-30,2024-Q3,Risk_Margin,Revaluation,201954.4,GBP,True,0.5
RES00000155,2987,D2,Direct Motor (Commercial),2024-09-30,2024-Q3,Reinsurance_Recoverables,Revaluation,886127.73,GBP,True,0.5
RES00000156,2987,D2,Direct Motor (Commercial),2024-09-30,2024-Q3,IBNR,Revaluation,682976.04,GBP,False,0.75
RES00000157,2987,D2,Direct Motor (Commercial),2024-12-30,2024-Q4,Best_Estimate_Liabilities,Revaluation,3657038.94,GBP,True,0.5
RES00000158,2987,D2,Direct Motor (Commercial),2024-12-30,2024-Q4,Risk_Margin,Revaluation,223779.51,GBP,True,0.5
RES00000159,2987,D2,Direct Motor (Commercial),2024-12-30,2024-Q4,Reinsurance_Recoverables,Revaluation,899406.03,GBP,True,0.5
RES00000160,2987,D2,Direct Motor (Commercial),2024-12-30,2024-Q4,IBNR,Revaluation,661364.62,GBP,False,0.75
RES00000161,2987,D2,Direct Motor (Commercial),2025-03-30,2025-Q1,Best_Estimate_Liabilities,Revaluation,4087461.24,GBP,True,0.5
RES00000162,2987,D2,Direct Motor (Commercial),2025-03-30,2025-Q1,Risk_Margin,Revaluation,191218.85,GBP,True,0.5
RES00000163,2987,D2,Direct Motor (Commercial),2025-03-30,2025-Q1,Reinsurance_Recoverables,Revaluation,769417.84,GBP,True,0.5
RES00000164,2987,D2,Direct Motor (Commercial),2025-03-30,2025-Q1,IBNR,Revaluation,699441.41,GBP,False,0.75
RES00000165,2987,D2,Direct Motor (Commercial),2025-06-30,2025-Q2,Best_Estimate_Liabilities,Revaluation,3653475.65,GBP,True,0.5
RES00000166,2987,D2,Direct Motor (Commercial),2025-06-30,2025-Q2,Risk_Margin,Revaluation,195356.88,GBP,True,0.5
RES00000167,2987,D2,Direct Motor (Commercial),2025-06-30,2025-Q2,Reinsurance_Recoverables,Revaluation,814610.28,GBP,True,0.5
RES00000168,2987,D2,Direct Motor (Commercial),2025-06-30,2025-Q2,IBNR,Revaluation,923277.63,GBP,False,0.75
RES00000169,2987,D2,Direct Motor (Commercial),2025-09-30,2025-Q3,Best_Estimate_Liabilities,Revaluation,3484529.46,GBP,True,0.5
RES00000170,2987,D2,Direct Motor (Commercial),2025-09-30,2025-Q3,Risk_Margin,Revaluation,200887.57,GBP,True,0.5
RES00000171,2987,D2,Direct Motor (Commercial),2025-09-30,2025-Q3,Reinsurance_Recoverables,Revaluation,741738.91,GBP,True,0.5
RES00000172,2987,D2,Direct Motor (Commercial),2025-09-30,2025-Q3,IBNR,Revaluation,1088860.35,GBP,False,0.75
RES00000173,2987,D2,Direct Motor (Commercial),2025-12-30,2025-Q4,Best_Estimate_Liabilities,Revaluation,3936556.56,GBP,True,0.5
RES00000174,2987,D2,Direct Motor (Commercial),2025-12-30,2025-Q4,Risk_Margin,Revaluation,199317.29,GBP,True,0.5
RES00000175,2987,D2,Direct Motor (Commercial),2025-12-30,2025-Q4,Reinsurance_Recoverables,Revaluation,765187.92,GBP,True,0.5
RES00000176,2987,D2,Direct Motor (Commercial),2025-12-30,2025-Q4,IBNR,Revaluation,771053.06,GBP,False,0.75
RES00000177,2987,D2,Direct Motor (Commercial),2026-03-30,2026-Q1,Best_Estimate_Liabilities,Revaluation,3535115.6,GBP,True,0.5
RES00000178,2987,D2,Direct Motor (Commercial),2026-03-30,2026-Q1,Risk_Margin,Revaluation,208271.98,GBP,True,0.5
RES00000179,2987,D2,Direct Motor (Commercial),2026-03-30,2026-Q1,Reinsurance_Recoverables,Revaluation,803356.62,GBP,True,0.5
RES00000180,2987,D2,Direct Motor (Commercial),2026-03-30,2026-Q1,IBNR,Revaluation,789794.75,GBP,False,0.75
RES00000181,2987,D2,Direct Motor (Commercial),2026-06-30,2026-Q2,Best_Estimate_Liabilities,Revaluation,3769420.48,GBP,True,0.5
RES00000182,2987,D2,Direct Motor (Commercial),2026-06-30,2026-Q2,Risk_Margin,Revaluation,186080.19,GBP,True,0.5
RES00000183,2987,D2,Direct Motor (Commercial),2026-06-30,2026-Q2,Reinsurance_Recoverables,Revaluation,851418.45,GBP,True,0.5
RES00000184,2987,D2,Direct Motor (Commercial),2026-06-30,2026-Q2,IBNR,Revaluation,813699.65,GBP,False,0.75
RES00000185,2987,D2,Direct Motor (Commercial),2026-09-30,2026-Q3,Best_Estimate_Liabilities,Revaluation,3819962.92,GBP,True,0.5
RES00000186,2987,D2,Direct Motor (Commercial),2026-09-30,2026-Q3,Risk_Margin,Revaluation,197121.76,GBP,True,0.5
RES00000187,2987,D2,Direct Motor (Commercial),2026-09-30,2026-Q3,Reinsurance_Recoverables,Revaluation,892851.02,GBP,True,0.5
RES00000188,2987,D2,Direct Motor (Commercial),2026-09-30,2026-Q3,IBNR,Revaluation,653822.32,GBP,False,0.75
RES00000189,2987,D2,Direct Motor (Commercial),2026-12-30,2026-Q4,Best_Estimate_Liabilities,Revaluation,3549878.11,GBP,True,0.5
RES00000190,2987,D2,Direct Motor (Commercial),2026-12-30,2026-Q4,Risk_Margin,Revaluation,187184.51,GBP,True,0.5
RES00000191,2987,D2,Direct Motor (Commercial),2026-12-30,2026-Q4,Reinsurance_Recoverables,Revaluation,834183.52,GBP,True,0.5
RES00000192,2987,D2,Direct Motor (Commercial),2026-12-30,2026-Q4,IBNR,Revaluation,998357.27,GBP,False,0.75
RES00000193,2987,E1,Energy Offshore,2024-03-30,2024-Q1,Best_Estimate_Liabilities,Revaluation,2475902.58,GBP,True,0.5
RES00000194,2987,E1,Energy Offshore,2024-03-30,2024-Q1,Risk_Margin,Revaluation,189188.57,GBP,True,0.5
RES00000195,2987,E1,Energy Offshore,2024-03-30,2024-Q1,Reinsurance_Recoverables,Revaluation,819178.33,GBP,True,0.5
RES00000196,2987,E1,Energy Offshore,2024-03-30,2024-Q1,IBNR,Revaluation,577803.95,GBP,False,0.75
RES00000197,2987,E1,Energy Offshore,2024-06-30,2024-Q2,Best_Estimate_Liabilities,Revaluation,2412076.96,GBP,True,0.5
RES00000198,2987,E1,Energy Offshore,2024-06-30,2024-Q2,Risk_Margin,Revaluation,197056.21,GBP,True,0.5
RES00000199,2987,E1,Energy Offshore,2024-06-30,2024-Q2,Reinsurance_Recoverables,Revaluation,870365.17,GBP,True,0.5
RES00000200,2987,E1,Energy Offshore,2024-06-30,2024-Q2,IBNR,Revaluation,522570.48,GBP,False,0.75
