reporting_period,Group_LEI,Group_Name,Reporting_Date,Entity_LEI,Entity_Name,Business_Type,Ownership_Percentage,Gross_TP,Gross_BEL,Gross_Risk_Margin,RI_Recoverables_BEL,RI_Recoverables_RM,Total_RI_Recoverables,Net_TP,Net_BEL,Net_Risk_Margin,Contribution_Percentage,Contribution_To_Group_Gross_TP,Contribution_To_Group_Net_TP,Contribution_To_Group_RM,Intra_Group_RI_Ceded,Intra_Group_RI_Assumed,Net_Intra_Group
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,5493008K6TLB37ZOQMC8,Lloyd's Syndicate 1183 - Solo Entity,Non-Life,100,406974950.86,370734971.71034205,36239979.149657965,74803779.97515078,2318157.0215530554,83205547.26931922,335306758.825472,279935673.8653507,31133315.651681088,100,406974950.86,350935499.843035,36239979.149657965,2014612.51,12149935.95,2723146.22
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,549300FU0AB76LBWLA9D,Lloyd's Syndicate 1183 - UK Subsidiary,Non-Life,100,185375912.15,169332355.47039223,16043556.679607779,36644385.61473335,1269036.6446673153,19467396.64383945,156410153.6006637,151240021.95964998,14971741.168408724,100,185375912.15,152251658.36852342,16043556.679607777,11814481.99,17150333.74,4935178.35
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,549300I89QSNVYF2ZQOY,Lloyd's Syndicate 1183 - Life Subsidiary,Life,100,192664310.31,183568500.8951286,9095809.414871395,34925165.56956475,1340271.7628432184,40763483.62702757,158284882.3280992,163086924.6069658,8042913.948534527,100,192664310.31,162053903.48166305,9095809.414871395,4949804.38,17250486.38,-4854174.41
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,549300GWOW7L7J7Y96YG,Lloyd's Syndicate 1183 - European Branch,Non-Life,80,479613004.65,432140663.61970836,47472341.03029162,87411483.7173814,3085968.8176917406,96021157.27015953,390379936.04782176,383070027.2855185,43746090.81413055,80,383690403.72,326088720.1453553,37977872.82423329,8667520.84,4631201.22,16813203.43
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,549300626M8A41ZBLM57,Lloyd's Syndicate 1183 - Reinsurance Entity,Reinsurance,100,190309537.43,181177821.56099087,9131715.869009137,21991494.54173318,738254.7388867153,42008172.677649036,163506973.6826094,137357500.77951962,8171148.403211217,100,190309537.43,165242501.73340178,9131715.869009137,421283.72,2042392.19,2763216.17
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,5493006M2YVP6MPB4DPG,Lloyd's Syndicate 2791 - Solo Entity,Non-Life,100,141993393.16,131617977.81956562,10375415.340434372,23187588.928947274,1411320.0877399119,31871951.56586261,115950388.21948135,108789372.38999714,9573183.389801305,100,141993393.16,110048551.67147012,10375415.340434372,20039354.5,17023.94,-7074197.89
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,549300EVBM0YX6X3B9KY,Lloyd's Syndicate 2791 - UK Subsidiary,Non-Life,100,350266544.72,322416530.04239744,27850014.67760259,51495493.15432394,2009203.59365949,53595794.239252836,300401831.85529906,275629834.639734,23936123.324914165,100,350266544.72,265280805.20096955,27850014.677602585,26595360.32,25575095.77,5761501.79
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,549300HKZH6EJEBHBW9K,Lloyd's Syndicate 2791 - Life Subsidiary,Life,100,266028673.43,241552938.6572468,24475734.77275321,46103493.29630527,3098663.627889636,59036897.637665935,203010416.55141512,189847632.9830014,21672263.141471118,100,266028673.43,218222670.44282943,24475734.77275321,16305384.0,22908188.87,11985308.36
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,549300CKWDHX5WGTM16Y,Lloyd's Syndicate 2791 - European Branch,Non-Life,80,128031462.51,120603184.3376562,7428278.172343805,14127577.352656381,1038439.9755904797,15168247.214918036,112526398.79882622,98190593.90229993,6597749.787352998,80,102425170.00800002,84625361.68277957,5942622.537875044,7573504.7,3004816.57,1653447.52
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,549300MBNBOR7AAU76TC,Lloyd's Syndicate 2791 - Reinsurance Entity,Reinsurance,100,391345439.42,374407733.41687405,16937706.003125966,60417348.926039025,2042302.7488538162,81544045.4248109,335805653.9821822,282730450.7990866,14999528.23479057,100,391345439.42,294191737.3413488,16937706.003125966,32819006.59,33854919.29,12324173.62
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,549300NPJ269SYE6HG4L,Lloyd's Syndicate 623 - Solo Entity,Non-Life,100,424499829.08,391011105.4287722,33488723.651227772,41818421.97471409,2251841.1258650147,79462070.6523724,325760983.44873047,300609046.6141245,29649828.338036403,100,424499829.08,323591774.18876565,33488723.65122777,20998996.8,41163436.58,-20378067.23
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,549300Z95AOQ14MAFMAR,Lloyd's Syndicate 623 - UK Subsidiary,Non-Life,100,432217122.89,414763028.38675493,17454094.503245056,68627018.80322412,2518722.4779456314,57894979.17140052,379356384.9054112,364673215.91567224,16380139.827190239,100,432217122.89,331489694.6194455,17454094.503245056,56408381.25,40707202.33,13789799.96
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,5493009LEOKQJUWXU2HH,Lloyd's Syndicate 623 - Life Subsidiary,Life,100,72841005.81,65927418.139415964,6913587.670584038,10129147.794588774,833035.9237476779,7402020.529753811,63632733.359358005,54641790.62627841,6124313.450117847,100,72841005.81,59945216.71744812,6913587.670584037,7820787.98,1990592.36,-1521476.36
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,549300LDA2UX64BIW8UO,Lloyd's Syndicate 623 - European Branch,Non-Life,80,287270739.96,270090755.6964531,17179984.263546884,55626690.203732945,1415728.0097569467,40770584.55476006,233644226.66403666,224523273.01882055,15718679.08589301,80,229816591.968,190817235.37960792,13743987.410837507,16052023.23,8528688.79,-5517862.16
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,549300JA5ENP2WA6M96M,Lloyd's Syndicate 623 - Reinsurance Entity,Reinsurance,100,358160423.08,331652559.4519975,26507863.628002465,39848852.4251686,1341093.9457580536,37197845.753055625,309012620.15775603,271515354.55516374,24274383.15068084,100,358160423.08,311877097.4571892,26507863.62800246,6784266.89,16031829.85,1399239.54
