reporting_period,Syndicate_Number,Year_of_Account,LOB_Code,LOB_Name,Gross_Written_Premium,Gross_Earned_Premium,Paid_Claims,Case_Reserves,IBNR_Best_Estimate,IBNR_High,IBNR_Low,Ultimate_Loss_Ratio
2025-11-30,2987,2021,D1,Direct Motor (Private Car),42150229,36674446,16745636,3680130,6246532,9537658,7048999,0.6765
2025-11-30,2987,2021,D2,Direct Motor (Commercial),48626558,42197216,20387513,5930166,10581286,12758058,6678441,0.745
2025-11-30,2987,2021,E1,Energy Offshore,44111466,40437674,15387342,5120493,9324154,7534417,6652899,0.6641
2025-11-30,2987,2022,A1,Direct Accident & Health,5857014,4993263,1700615,640322,728325,1341931,475914,0.6545
2025-11-30,2987,2022,A2,Accident & Health Reinsurance,24234443,20954137,6966195,2969395,3175155,5129409,2559465,0.6867
2025-11-30,2987,2022,D1,Direct Motor (Private Car),35373103,33137648,12549020,3763289,6023441,6301354,2737230,0.5705
2025-11-30,2987,2022,D2,Direct Motor (Commercial),24303103,20771813,8609635,2370596,5147999,5640127,4097935,0.6886
2025-11-30,2987,2022,E1,Energy Offshore,8610604,7535433,2789083,847392,1541756,1741470,1126365,0.5526
2025-11-30,2987,2023,A1,Direct Accident & Health,48461873,44044017,18781740,3615527,8913886,7213097,5056196,0.6235
2025-11-30,2987,2023,A2,Accident & Health Reinsurance,9997529,8671651,3254270,808759,1384157,1828225,701822,0.5874
2025-11-30,2987,2023,D1,Direct Motor (Private Car),44190640,37586990,17159101,6157751,5021183,12259145,6023714,0.7192
2025-11-30,2987,2023,D2,Direct Motor (Commercial),46967646,43031241,17298599,4972009,7006412,11280410,4668858,0.6731
2025-11-30,2987,2023,E1,Energy Offshore,19761400,17825980,9316274,1698599,3788997,4112307,2232973,0.7414
2025-11-30,2987,2024,A1,Direct Accident & Health,19317931,17059793,6436557,2572010,3608898,3889998,2429179,0.6827
2025-11-30,2987,2024,A2,Accident & Health Reinsurance,48573793,44537011,14303758,5104262,7309741,8689626,6535036,0.5518
2025-11-30,2987,2024,D1,Direct Motor (Private Car),26537718,24670010,7213238,2088440,4899464,3406100,2950533,0.6263
2025-11-30,2987,2024,D2,Direct Motor (Commercial),30163008,27173056,10752798,2552973,5519856,5199992,2212463,0.6529
2025-11-30,2987,2024,E1,Energy Offshore,11439527,10817532,3747139,672365,1088609,2229804,1441989,0.5835
2025-11-30,2987,2025,A1,Direct Accident & Health,33468214,29136019,15567743,4508947,7158946,6889474,5340574,0.7171
2025-11-30,2987,2025,A2,Accident & Health Reinsurance,9839924,8515228,3700823,916463,1152734,1451058,1508030,0.6994
2025-11-30,2987,2025,D1,Direct Motor (Private Car),42452397,39572508,16123355,3370844,5752648,6726436,3531225,0.5641
2025-11-30,2987,2025,D2,Direct Motor (Commercial),31139027,28133595,12630325,3450262,6421307,6760917,4373346,0.6847
2025-11-30,2987,2025,E1,Energy Offshore,9871395,8887055,2987671,1034365,1664633,1572541,1466398,0.6215
2025-11-30,33,2018,A1,Direct Accident & Health,30596231,28028360,10434959,2951269,3411810,5354131,4226797,0.629
2025-11-30,33,2018,A2,Accident & Health Reinsurance,41622949,38018591,12405837,4783149,8696283,9465721,4998438,0.609
2025-11-30,33,2018,D1,Direct Motor (Private Car),5748277,5205104,1659576,381701,1022896,1167594,919273,0.6607
2025-11-30,33,2018,D2,Direct Motor (Commercial),25447477,23517108,9306982,1825502,4988465,5578510,1828434,0.592
2025-11-30,33,2018,E1,Energy Offshore,17347542,16193493,4723755,1217646,3194523,3818294,2347027,0.5942
2025-11-30,33,2019,A1,Direct Accident & Health,41832774,37857257,13089599,2867707,4557769,9272359,4650140,0.6423
2025-11-30,33,2019,A2,Accident & Health Reinsurance,27203030,24948702,7951299,2172487,2771727,4035150,2922473,0.6214
2025-11-30,33,2019,D1,Direct Motor (Private Car),27034932,23806083,10470584,2849581,4057150,4791918,2989569,0.6733
2025-11-30,33,2019,D2,Direct Motor (Commercial),5324262,4943928,2001679,535220,669779,886893,658692,0.6126
2025-11-30,33,2019,E1,Energy Offshore,27250812,24424489,10036999,2581252,5147478,4649598,3776444,0.7256
2025-11-30,33,2020,A1,Direct Accident & Health,23831816,20590693,9659516,2172819,5629139,3703125,1914580,0.7217
2025-11-30,33,2020,A2,Accident & Health Reinsurance,6250257,5707501,2896854,710453,1367179,1091404,474708,0.7199
2025-11-30,33,2020,D1,Direct Motor (Private Car),22489665,21362321,8023618,2629742,3305903,3624365,3197140,0.6587
2025-11-30,33,2020,D2,Direct Motor (Commercial),24528623,22078515,6043345,1929532,2152098,3505419,3460485,0.5768
2025-11-30,33,2020,E1,Energy Offshore,46207256,42775009,14031123,3678982,8355350,9938724,7325744,0.6868
2025-11-30,33,2021,A1,Direct Accident & Health,14811252,13305693,5241961,1258573,2556019,2195056,1604844,0.6972
2025-11-30,33,2021,A2,Accident & Health Reinsurance,7872825,7099623,3431192,747180,1795591,2025598,570498,0.6837
2025-11-30,33,2021,D1,Direct Motor (Private Car),48521759,44658147,16598805,5458179,9455939,7537415,5419033,0.6148
2025-11-30,33,2021,D2,Direct Motor (Commercial),16666863,14797705,6006421,1978392,1725597,2608887,2562860,0.6253
2025-11-30,33,2021,E1,Energy Offshore,19958515,17669069,8609452,1938627,3212945,4183264,2285310,0.6533
2025-11-30,33,2022,A1,Direct Accident & Health,14326005,12506589,5066706,1170621,1645585,2115580,1739312,0.638
2025-11-30,33,2022,A2,Accident & Health Reinsurance,12941006,11536406,4406085,982926,2516566,2611548,1665245,0.6822
2025-11-30,33,2022,D1,Direct Motor (Private Car),48436831,41280027,14334653,5462101,6325672,11313367,3675403,0.7167
2025-11-30,33,2022,D2,Direct Motor (Commercial),43404342,37615684,17018037,3813942,5811322,9904234,4919904,0.5794
2025-11-30,33,2022,E1,Energy Offshore,49408959,46677897,16409481,5669570,8620950,10457875,4690318,0.7143
2025-11-30,33,2023,A1,Direct Accident & Health,32566096,30268935,14101753,2579432,6153045,5519568,4553253,0.6702
2025-11-30,33,2023,A2,Accident & Health Reinsurance,27996279,25466908,8649648,2833938,3628090,4180601,3668476,0.7345
2025-11-30,33,2023,D1,Direct Motor (Private Car),38846994,36230704,15520239,3141712,8813963,8537557,6181454,0.6869
2025-11-30,33,2023,D2,Direct Motor (Commercial),40663660,35041975,14411186,2990675,7162169,9670680,6205707,0.6507
2025-11-30,33,2023,E1,Energy Offshore,48569204,43327052,20472637,5246489,7287023,11981211,5325426,0.6363
2025-11-30,33,2024,A1,Direct Accident & Health,30584348,28457576,12751574,3484316,5030099,5407013,2620604,0.6201
2025-11-30,33,2024,A2,Accident & Health Reinsurance,20603675,17685818,8739973,2328292,3039991,3032946,3190600,0.732
2025-11-30,33,2024,D1,Direct Motor (Private Car),5477417,4720344,1466170,603206,1048348,959490,562687,0.6656
2025-11-30,33,2024,D2,Direct Motor (Commercial),15387014,13979671,4675817,1501396,2569930,3150920,2431488,0.6352
2025-11-30,33,2024,E1,Energy Offshore,31672696,28230596,14101543,3291431,4974279,6904547,3065408,0.701
2025-11-30,33,2025,A1,Direct Accident & Health,25579140,23722591,8842767,1937412,5494670,3810194,2289102,0.6655
2025-11-30,33,2025,A2,Accident & Health Reinsurance,15857886,14285328,5747774,1627949,2466124,3045651,974570,0.5701
2025-11-30,33,2025,D1,Direct Motor (Private Car),31112305,26461919,9877127,2647285,7747096,6635396,2533547,0.7429
2025-11-30,33,2025,D2,Direct Motor (Commercial),19882749,18111253,7661390,2396010,2855936,4110678,1774284,0.6242
2025-11-30,33,2025,E1,Energy Offshore,45095705,41819991,11459769,3783875,3852375,9371609,6067237,0.5615
2025-11-30,1183,2018,A1,Direct Accident & Health,39772678,33940449,14003498,3660693,4741475,5648607,2545633,0.6072
2025-11-30,1183,2018,A2,Accident & Health Reinsurance,21056240,19952147,6109333,1829614,3296433,4788383,2306025,0.681
2025-11-30,1183,2018,D1,Direct Motor (Private Car),18442602,17035294,5069369,1313991,2493778,4410880,2859622,0.6535
2025-11-30,1183,2018,D2,Direct Motor (Commercial),28360276,26419057,8220359,3448904,4233294,4933236,1769163,0.6195
2025-11-30,1183,2018,E1,Energy Offshore,16746385,14412717,4459272,1368557,3588888,3812904,2574865,0.6314
2025-11-30,1183,2019,A1,Direct Accident & Health,41098085,37296075,17814468,5758125,7691939,10367655,6256468,0.7126
2025-11-30,1183,2019,A2,Accident & Health Reinsurance,35792796,33632786,16178860,3640500,4951473,6793149,5362559,0.6863
2025-11-30,1183,2019,D1,Direct Motor (Private Car),19789607,17276188,6710100,2652259,3435633,2739066,3049424,0.6854
2025-11-30,1183,2019,D2,Direct Motor (Commercial),21660286,19275338,8218786,1765755,3432982,3101235,1935248,0.6075
2025-11-30,1183,2019,E1,Energy Offshore,19667724,17246776,9807137,2412748,4759038,4297655,1862843,0.7289
2025-11-30,1183,2020,A1,Direct Accident & Health,21244137,18496799,7093282,1923582,4213200,3558710,1785571,0.7245
2025-11-30,1183,2020,A2,Accident & Health Reinsurance,10267211,9408280,4109310,1241094,1817028,1466403,1212388,0.6852
2025-11-30,1183,2020,D1,Direct Motor (Private Car),46652289,43844386,19000028,4503399,5861830,6766439,6139059,0.6131
2025-11-30,1183,2020,D2,Direct Motor (Commercial),39301597,34279217,13648198,2510861,7380369,7042380,4313958,0.6061
2025-11-30,1183,2020,E1,Energy Offshore,38720540,36243974,15177485,3495192,4175285,7283054,3534243,0.6195
2025-11-30,1183,2021,A1,Direct Accident & Health,5564963,4847501,1765339,407423,837804,774435,560321,0.5524
2025-11-30,1183,2021,A2,Accident & Health Reinsurance,20914139,19781694,6351823,1495243,2965300,3584533,2687963,0.6039
2025-11-30,1183,2021,D1,Direct Motor (Private Car),29499968,25899879,9653830,2405424,5639154,5225217,2445117,0.7209
2025-11-30,1183,2021,D2,Direct Motor (Commercial),23115977,20932303,10793561,1965280,5093807,5713280,2808888,0.7108
2025-11-30,1183,2021,E1,Energy Offshore,5653794,5088187,2312094,612016,838577,1138765,720762,0.5853
2025-11-30,1183,2022,A1,Direct Accident & Health,25134953,23522550,6250268,1657898,2755711,3667275,2084013,0.6002
2025-11-30,1183,2022,A2,Accident & Health Reinsurance,47269337,43698579,12860428,3660389,7036542,9740984,4079903,0.5693
2025-11-30,1183,2022,D1,Direct Motor (Private Car),32632806,30568352,12910164,2246764,4969268,6180714,2364541,0.5742
2025-11-30,1183,2022,D2,Direct Motor (Commercial),24099768,22107181,8175412,2598968,4907905,4133954,2139885,0.621
2025-11-30,1183,2022,E1,Energy Offshore,47393487,44399439,20805262,6775765,8234046,11329279,5646542,0.7413
2025-11-30,1183,2023,A1,Direct Accident & Health,9787820,8655981,2736101,915466,1617625,1778178,882331,0.5658
2025-11-30,1183,2023,A2,Accident & Health Reinsurance,34856625,32900366,15369188,3743869,5909157,5746839,5615593,0.7062
2025-11-30,1183,2023,D1,Direct Motor (Private Car),13391286,12269126,6353621,1584091,1546305,2173806,1075356,0.6956
2025-11-30,1183,2023,D2,Direct Motor (Commercial),9281035,8328045,2847886,1211930,1743688,2731924,791029,0.7374
2025-11-30,1183,2023,E1,Energy Offshore,46480134,42551784,17977315,3536283,5387438,6936474,5238703,0.5811
2025-11-30,1183,2024,A1,Direct Accident & Health,13809857,11973985,3715556,1227977,3014232,3374376,1539260,0.6553
2025-11-30,1183,2024,A2,Accident & Health Reinsurance,41277988,37350574,13401367,5927431,7844206,9678838,5125325,0.737
2025-11-30,1183,2024,D1,Direct Motor (Private Car),47671247,42594151,20471230,5304365,11474281,10248146,4636587,0.7255
2025-11-30,1183,2024,D2,Direct Motor (Commercial),11009868,9761110,3359164,916202,1054388,2551840,1596794,0.6384
2025-11-30,1183,2024,E1,Energy Offshore,28077726,25368503,10339808,2544202,5134587,4432471,3664371,0.6074
2025-11-30,1183,2025,A1,Direct Accident & Health,24657703,22923692,9316972,1961841,5388055,4744142,2269301,0.6694
2025-11-30,1183,2025,A2,Accident & Health Reinsurance,48351708,42928377,14540276,4318231,6009054,10715051,7180451,0.6279
2025-11-30,1183,2025,D1,Direct Motor (Private Car),23244559,21484775,9066366,1993317,4524367,3336267,2023633,0.6069
2025-11-30,1183,2025,D2,Direct Motor (Commercial),47741146,42741536,18673602,4566305,6553485,7052386,7512310,0.6411
2025-11-30,1183,2025,E1,Energy Offshore,6485178,5578727,1830736,653149,1124969,938912,466872,0.5872
2025-11-30,2791,2018,A1,Direct Accident & Health,38123563,34007144,14382447,3389964,5074087,7678275,2370098,0.5934
2025-11-30,2791,2018,A2,Accident & Health Reinsurance,10383680,9814284,3110600,1325142,1225973,2194296,961429,0.7187
2025-11-30,2791,2018,D1,Direct Motor (Private Car),21782548,20319309,6784917,2747833,3104927,5505238,2586668,0.7135
2025-11-30,2791,2018,D2,Direct Motor (Commercial),7248837,6694534,1830771,712322,819592,1187873,1044030,0.5898
2025-11-30,2791,2018,E1,Energy Offshore,26680403,24621308,9675802,2405038,2707229,4597909,2247721,0.5817
2025-11-30,2791,2019,A1,Direct Accident & Health,29187823,27330478,9881073,2363220,5873008,5625011,2656491,0.7275
2025-11-30,2791,2019,A2,Accident & Health Reinsurance,23528760,20930733,7421288,3089546,4177520,5306340,3189623,0.6669
2025-11-30,2791,2019,D1,Direct Motor (Private Car),15401333,13228944,4300764,1049354,2631832,3712921,2399319,0.6243
2025-11-30,2791,2019,D2,Direct Motor (Commercial),46951920,41578355,11773443,4054047,4524879,7852082,3892440,0.562
2025-11-30,2791,2019,E1,Energy Offshore,42470263,39313437,19286129,4324318,5668490,10154666,4620474,0.7077
2025-11-30,2791,2020,A1,Direct Accident & Health,14041723,11990913,5157214,1313788,2178771,2511397,1559037,0.6001
2025-11-30,2791,2020,A2,Accident & Health Reinsurance,41481757,38297627,12402420,4706442,8555168,7990021,2835443,0.6195
2025-11-30,2791,2020,D1,Direct Motor (Private Car),15403583,14355243,5544043,1433197,3008010,2968663,2070322,0.6399
2025-11-30,2791,2020,D2,Direct Motor (Commercial),6256268,5545603,2471055,556856,685873,1658866,939654,0.6739
2025-11-30,2791,2020,E1,Energy Offshore,17741923,15963382,6569092,1873973,2492220,3812692,1354266,0.6548
2025-11-30,2791,2021,A1,Direct Accident & Health,40111393,34270280,18632651,3223232,4273110,6054943,3520730,0.6818
2025-11-30,2791,2021,A2,Accident & Health Reinsurance,7135212,6661647,2831101,723121,1375620,1190435,734357,0.6642
2025-11-30,2791,2021,D1,Direct Motor (Private Car),45664859,38874887,21419927,5244045,10631590,11605014,5390809,0.6936
2025-11-30,2791,2021,D2,Direct Motor (Commercial),47876975,43367059,18340871,3810834,6023625,9196008,6016431,0.5621
2025-11-30,2791,2021,E1,Energy Offshore,22838585,21089835,9740512,1614492,2893380,4551660,1725180,0.6558
2025-11-30,2791,2022,A1,Direct Accident & Health,20503355,17816309,7507096,1680461,3701553,3172888,2857988,0.6563
2025-11-30,2791,2022,A2,Accident & Health Reinsurance,32862566,30451385,13165809,3847685,6675404,6558328,2656634,0.6992
2025-11-30,2791,2022,D1,Direct Motor (Private Car),17106206,15403612,6743047,1731770,3048103,4365879,2657353,0.66
2025-11-30,2791,2022,D2,Direct Motor (Commercial),41915333,36988831,16043660,5533352,7405813,10826345,5998920,0.7483
2025-11-30,2791,2022,E1,Energy Offshore,42792001,37978170,15938007,4920633,6261622,8193091,6881347,0.6591
2025-11-30,2791,2023,A1,Direct Accident & Health,5013128,4753927,2017125,528953,1215311,907498,505563,0.6953
2025-11-30,2791,2023,A2,Accident & Health Reinsurance,19890564,17533342,7447655,2292062,3708955,4526954,2083960,0.593
2025-11-30,2791,2023,D1,Direct Motor (Private Car),43296894,37472226,13092839,4315215,5655820,8703179,5962728,0.7352
2025-11-30,2791,2023,D2,Direct Motor (Commercial),20635972,18160279,7086411,1946794,2400667,2673043,1845020,0.6012
2025-11-30,2791,2023,E1,Energy Offshore,37382253,34861587,13262077,3444530,7244928,6972097,3169964,0.5846
2025-11-30,2791,2024,A1,Direct Accident & Health,43673744,40529766,18506167,3649991,8916030,7846582,6552117,0.6263
2025-11-30,2791,2024,A2,Accident & Health Reinsurance,13089337,11422694,5646192,1518360,1443088,3368606,1491286,0.724
2025-11-30,2791,2024,D1,Direct Motor (Private Car),25453667,22448394,9492567,2211697,4826574,3844532,3351226,0.6549
2025-11-30,2791,2024,D2,Direct Motor (Commercial),31365911,29022376,13365516,2544554,5517928,8339754,2852529,0.7442
2025-11-30,2791,2024,E1,Energy Offshore,27559864,25000766,6476131,2184545,2607602,4689566,3373540,0.5665
2025-11-30,2791,2025,A1,Direct Accident & Health,13749329,12348165,4437024,1347545,2552181,3015432,2410172,0.7024
2025-11-30,2791,2025,A2,Accident & Health Reinsurance,40181673,34442299,15242662,3186620,8062258,5247233,4834118,0.5992
2025-11-30,2791,2025,D1,Direct Motor (Private Car),33423328,29046508,10482178,3447311,6329327,4869836,3174853,0.6231
2025-11-30,2791,2025,D2,Direct Motor (Commercial),34676217,31002144,15843804,2885605,6715712,5408614,4895699,0.6746
2025-11-30,2791,2025,E1,Energy Offshore,10758909,9203749,4217094,1186711,1994043,2242113,628607,0.5725
2025-11-30,623,2018,A1,Direct Accident & Health,12467739,11185045,3805712,1325556,1465529,2356157,1619248,0.611
2025-11-30,623,2018,A2,Accident & Health Reinsurance,41829348,38608168,11965741,4594636,4156532,8563131,5396682,0.6466
2025-11-30,623,2018,D1,Direct Motor (Private Car),7918028,6777919,2190344,807454,972149,1394483,1150724,0.6011
2025-11-30,623,2018,D2,Direct Motor (Commercial),9469302,8305818,3897136,986789,1919109,1211512,1367818,0.6277
2025-11-30,623,2018,E1,Energy Offshore,48581244,46054012,16839462,5210317,10080429,9049087,5777068,0.6273
2025-11-30,623,2019,A1,Direct Accident & Health,10906967,9816980,3442279,1233919,988351,1598029,1149222,0.5873
2025-11-30,623,2019,A2,Accident & Health Reinsurance,27385479,25316206,7195975,2988881,3923080,4622065,4425693,0.648
2025-11-30,623,2019,D1,Direct Motor (Private Car),38638416,33082249,11160808,3243624,8183834,9308136,5649819,0.6052
2025-11-30,623,2019,D2,Direct Motor (Commercial),23803490,21046536,7335842,1611026,4192779,4308452,2857241,0.5951
2025-11-30,623,2019,E1,Energy Offshore,46978245,41892067,18464734,4605822,6860520,10366947,5404277,0.6873
2025-11-30,623,2020,A1,Direct Accident & Health,13843078,11958448,4603926,1473588,2640168,2143124,1684462,0.5914
2025-11-30,623,2020,A2,Accident & Health Reinsurance,40151990,35855985,19769154,5201777,8265196,9197449,3635475,0.7319
2025-11-30,623,2020,D1,Direct Motor (Private Car),9550923,9024286,2751430,832409,2059090,2182210,1357123,0.6615
2025-11-30,623,2020,D2,Direct Motor (Commercial),32785764,28862449,15177249,4433081,6749753,8460457,2988166,0.7422
2025-11-30,623,2020,E1,Energy Offshore,17612010,15295584,6326762,1622088,2046476,3153736,1354808,0.5714
2025-11-30,623,2021,A1,Direct Accident & Health,20581506,17547965,5200690,2183906,2169607,4530546,2089815,0.5962
2025-11-30,623,2021,A2,Accident & Health Reinsurance,48591807,45443686,16619958,3453462,5727429,6267649,6517659,0.6248
2025-11-30,623,2021,D1,Direct Motor (Private Car),6007589,5677290,2061286,738080,841561,1063893,558909,0.7351
2025-11-30,623,2021,D2,Direct Motor (Commercial),34479930,30997260,12408695,3635652,4972689,7008506,2650862,0.7234
2025-11-30,623,2021,E1,Energy Offshore,30526478,27150709,14443791,3330395,5449869,6955111,4356323,0.694
2025-11-30,623,2022,A1,Direct Accident & Health,7584494,6789342,3215397,517167,1732303,1506930,790532,0.6541
2025-11-30,623,2022,A2,Accident & Health Reinsurance,7634131,6883029,2975600,529924,1051650,1412099,735741,0.6615
2025-11-30,623,2022,D1,Direct Motor (Private Car),24187403,21581118,9071412,1638220,3936431,3548899,3487321,0.6423
2025-11-30,623,2022,D2,Direct Motor (Commercial),35312945,31783973,9106257,3180545,6597328,6204453,3188875,0.5681
2025-11-30,623,2022,E1,Energy Offshore,26707095,23178763,9866744,2928137,3255088,4974223,2351086,0.6402
2025-11-30,623,2023,A1,Direct Accident & Health,48525227,45111410,21846337,3987787,6134348,10288678,5481581,0.7314
2025-11-30,623,2023,A2,Accident & Health Reinsurance,40152784,37048467,19228078,4475738,5052468,8608722,2959238,0.6915
2025-11-30,623,2023,D1,Direct Motor (Private Car),16467896,14928957,7211328,1387228,3905211,2843879,2494490,0.7325
2025-11-30,623,2023,D2,Direct Motor (Commercial),33157650,30605047,13958264,2613599,3774834,7700345,4949549,0.6116
2025-11-30,623,2023,E1,Energy Offshore,5237088,4584081,1899035,655420,913853,710558,820967,0.6745
2025-11-30,623,2024,A1,Direct Accident & Health,20963746,19201681,6669007,1793600,3361653,2504224,2889976,0.5934
2025-11-30,623,2024,A2,Accident & Health Reinsurance,23663843,21433640,10327747,1672849,2865135,5273398,1682678,0.674
2025-11-30,623,2024,D1,Direct Motor (Private Car),7176480,6701407,2400863,941833,783754,1389865,621570,0.6834
2025-11-30,623,2024,D2,Direct Motor (Commercial),24084455,22137259,9365766,2893651,3002984,4712384,3025020,0.6722
2025-11-30,623,2024,E1,Energy Offshore,7405184,6516039,2149898,580640,688602,1202027,768763,0.5686
2025-11-30,623,2025,A1,Direct Accident & Health,24651670,21254727,10446023,2110743,3696025,3842396,2085920,0.6442
2025-11-30,623,2025,A2,Accident & Health Reinsurance,8904701,8218797,2997772,1011925,1256423,1719808,1222565,0.5719
2025-11-30,623,2025,D1,Direct Motor (Private Car),24272813,22689735,7370719,2429374,4235965,5944428,2963468,0.6354
2025-11-30,623,2025,D2,Direct Motor (Commercial),38312633,34986550,13723475,2956164,6811766,8561459,6185599,0.6539
2025-11-30,623,2025,E1,Energy Offshore,5106093,4577553,1871731,508916,560817,946268,475079,0.5736
2025-11-30,4242,2018,A1,Direct Accident & Health,8052929,7296288,2936573,502282,944854,1273094,1085372,0.6168
2025-11-30,4242,2018,A2,Accident & Health Reinsurance,25654266,23217094,9861570,1743216,3390796,4369790,2900646,0.6101
2025-11-30,4242,2018,D1,Direct Motor (Private Car),6954034,6045847,3238989,957666,1224666,1469171,524765,0.7164
2025-11-30,4242,2018,D2,Direct Motor (Commercial),14110289,12878743,6088315,1401632,1979124,3253805,1478201,0.6463
2025-11-30,4242,2018,E1,Energy Offshore,8759591,7707865,3878333,826242,1615280,1517773,1273899,0.717
2025-11-30,4242,2019,A1,Direct Accident & Health,28729395,24848929,10554004,2166965,3641643,4965404,2021010,0.5632
2025-11-30,4242,2019,A2,Accident & Health Reinsurance,45647106,41516918,18899374,5020338,8342290,7535347,3002223,0.6279
2025-11-30,4242,2019,D1,Direct Motor (Private Car),32774316,30732635,9510787,3401843,3914688,5671793,2347631,0.5674
2025-11-30,4242,2019,D2,Direct Motor (Commercial),30113189,27938385,14349380,3073749,3299623,6313087,3725868,0.707
2025-11-30,4242,2019,E1,Energy Offshore,17764889,15959038,7269970,1438657,2365643,3885467,1259718,0.618
2025-11-30,4242,2020,A1,Direct Accident & Health,39638013,34218375,16771291,3964469,7952350,8271098,2733312,0.6853
2025-11-30,4242,2020,A2,Accident & Health Reinsurance,7954800,7234323,2330129,802118,870692,1662968,1087341,0.6874
2025-11-30,4242,2020,D1,Direct Motor (Private Car),25970231,24044522,8520066,1742225,2737674,3705414,2589785,0.5545
2025-11-30,4242,2020,D2,Direct Motor (Commercial),34602768,30355811,10589095,2638604,8089157,7385162,2731183,0.6842
2025-11-30,4242,2020,E1,Energy Offshore,41408485,36516010,11360737,4376080,5306014,6392399,2841973,0.6201
2025-11-30,4242,2021,A1,Direct Accident & Health,46155375,41727122,13960379,3459660,11117339,7063648,5296779,0.7284
2025-11-30,4242,2021,A2,Accident & Health Reinsurance,10779387,9355411,3963912,1090730,2172446,2327475,1317892,0.6353
2025-11-30,4242,2021,D1,Direct Motor (Private Car),25967537,22586945,10045424,2896347,2652690,6156029,3436369,0.6165
2025-11-30,4242,2021,D2,Direct Motor (Commercial),43103695,40141828,16791688,3647667,5990114,8369566,5130926,0.5764
2025-11-30,4242,2021,E1,Energy Offshore,36232234,34230215,10341237,4424094,4705089,6363903,2975602,0.6441
2025-11-30,4242,2022,A1,Direct Accident & Health,49639515,46466515,15211953,4548973,4986968,6806683,5253782,0.6161
2025-11-30,4242,2022,A2,Accident & Health Reinsurance,16462297,14566853,5714638,1505474,2307577,3422917,1158566,0.6065
2025-11-30,4242,2022,D1,Direct Motor (Private Car),42322585,39327969,16108766,4030809,6695541,9328042,5242532,0.6799
2025-11-30,4242,2022,D2,Direct Motor (Commercial),37371615,33039176,15088605,3726554,7187695,6724102,5108567,0.6268
2025-11-30,4242,2022,E1,Energy Offshore,41542580,36030234,17194607,4977309,8366689,10511943,3352276,0.6888
2025-11-30,4242,2023,A1,Direct Accident & Health,45001949,40749659,18698209,3401192,9865952,6186060,3363435,0.6426
2025-11-30,4242,2023,A2,Accident & Health Reinsurance,45024089,39976487,17385711,5264225,5330501,11523283,7391039,0.7043
2025-11-30,4242,2023,D1,Direct Motor (Private Car),47690150,44147142,20313383,4933408,7072610,10970980,5672805,0.712
2025-11-30,4242,2023,D2,Direct Motor (Commercial),18801721,16576721,7369073,2468738,2721516,5015231,2131805,0.6863
2025-11-30,4242,2023,E1,Energy Offshore,28103207,25525375,12265708,3175337,6717367,7788978,2299089,0.7481
2025-11-30,4242,2024,A1,Direct Accident & Health,41835057,35563326,17669460,6155270,5348648,7977318,3256283,0.7436
2025-11-30,4242,2024,A2,Accident & Health Reinsurance,33971936,30215551,11620865,3243434,5308337,7248378,4676442,0.6904
