Syndicate_Number,Year_of_Account,Development_Year,LOB_Code,LOB_Name,Currency,Cumulative_Paid,Case_Reserves,IBNR,Total_Incurred,As_At_Date
2987,2020,3,E1,Energy Offshore,GBP,4552408,1470778,980518,7003705,2023-12-31
2987,2020,4,E1,Energy Offshore,GBP,1246528,186979,124652,1558160,2024-12-31
2987,2020,5,E1,Energy Offshore,GBP,16032421,506286,337524,16876233,2025-12-31
2987,2021,0,A1,Direct Accident & Health,GBP,459980,1103953,735968,2299902,2021-12-31
2987,2021,1,A1,Direct Accident & Health,GBP,3498375,3898190,2598793,9995359,2022-12-31
2987,2021,2,A1,Direct Accident & Health,GBP,5099224,3059534,2039689,10198449,2023-12-31
2987,2021,3,A1,Direct Accident & Health,GBP,3573674,1154571,769714,5497961,2024-12-31
2987,2021,4,A1,Direct Accident & Health,GBP,3147931,472189,314793,3934913,2025-12-31
2987,2021,0,A2,Accident & Health Reinsurance,GBP,2812641,6750338,4500225,14063205,2021-12-31
2987,2021,1,A2,Accident & Health Reinsurance,GBP,2973391,3313207,2208805,8495404,2022-12-31
2987,2021,2,A2,Accident & Health Reinsurance,GBP,5586232,3351739,2234492,11172464,2023-12-31
2987,2021,3,A2,Accident & Health Reinsurance,GBP,2401804,775967,517311,3695083,2024-12-31
2987,2021,4,A2,Accident & Health Reinsurance,GBP,2448155,367223,244815,3060194,2025-12-31
2987,2021,0,D1,Direct Motor (Private Car),GBP,685944,1646265,1097510,3429720,2021-12-31
2987,2021,1,D1,Direct Motor (Private Car),GBP,1216021,1354995,903330,3474347,2022-12-31
2987,2021,2,D1,Direct Motor (Private Car),GBP,2973076,1783845,1189230,5946152,2023-12-31
2987,2021,3,D1,Direct Motor (Private Car),GBP,3690631,1192357,794905,5677895,2024-12-31
2987,2021,4,D1,Direct Motor (Private Car),GBP,5143133,771470,514313,6428917,2025-12-31
2987,2021,0,D2,Direct Motor (Commercial),GBP,1531073,3674576,2449717,7655367,2021-12-31
2987,2021,1,D2,Direct Motor (Commercial),GBP,460910,513585,342390,1316887,2022-12-31
2987,2021,2,D2,Direct Motor (Commercial),GBP,5946238,3567743,2378495,11892477,2023-12-31
2987,2021,3,D2,Direct Motor (Commercial),GBP,727482,235032,156688,1119204,2024-12-31
2987,2021,4,D2,Direct Motor (Commercial),GBP,3039055,455858,303905,3798819,2025-12-31
2987,2021,0,E1,Energy Offshore,GBP,1007626,2418303,1612202,5038131,2021-12-31
2987,2021,1,E1,Energy Offshore,GBP,3714811,4139361,2759574,10613748,2022-12-31
2987,2021,2,E1,Energy Offshore,GBP,5176000,3105600,2070400,10352001,2023-12-31
2987,2021,3,E1,Energy Offshore,GBP,1483506,479286,319524,2282318,2024-12-31
2987,2021,4,E1,Energy Offshore,GBP,3208298,481244,320829,4010372,2025-12-31
2987,2022,0,A1,Direct Accident & Health,GBP,1828924,4389419,2926279,9144623,2022-12-31
2987,2022,1,A1,Direct Accident & Health,GBP,1299317,1447810,965206,3712334,2023-12-31
2987,2022,2,A1,Direct Accident & Health,GBP,688979,413387,275591,1377959,2024-12-31
2987,2022,3,A1,Direct Accident & Health,GBP,1230644,397592,265061,1893299,2025-12-31
2987,2022,0,A2,Accident & Health Reinsurance,GBP,1163606,2792654,1861769,5818030,2022-12-31
2987,2022,1,A2,Accident & Health Reinsurance,GBP,921047,1026309,684206,2631563,2023-12-31
2987,2022,2,A2,Accident & Health Reinsurance,GBP,7950778,4770466,3180311,15901556,2024-12-31
2987,2022,3,A2,Accident & Health Reinsurance,GBP,7986700,2580318,1720212,12287231,2025-12-31
2987,2022,0,D1,Direct Motor (Private Car),GBP,1014873,2435696,1623797,5074368,2022-12-31
2987,2022,1,D1,Direct Motor (Private Car),GBP,2491189,2775896,1850597,7117683,2023-12-31
2987,2022,2,D1,Direct Motor (Private Car),GBP,2785263,1671157,1114105,5570526,2024-12-31
2987,2022,3,D1,Direct Motor (Private Car),GBP,621188,200691,133794,955674,2025-12-31
2987,2022,0,D2,Direct Motor (Commercial),GBP,1853414,4448194,2965462,9267070,2022-12-31
2987,2022,1,D2,Direct Motor (Commercial),GBP,3997224,4454050,2969366,11420642,2023-12-31
2987,2022,2,D2,Direct Motor (Commercial),GBP,2596304,1557782,1038521,5192609,2024-12-31
2987,2022,3,D2,Direct Motor (Commercial),GBP,1813636,585944,390629,2790210,2025-12-31
2987,2022,0,E1,Energy Offshore,GBP,364883,875719,583812,1824415,2022-12-31
2987,2022,1,E1,Energy Offshore,GBP,1569498,1748869,1165913,4484281,2023-12-31
2987,2022,2,E1,Energy Offshore,GBP,4850214,2910128,1940085,9700428,2024-12-31
2987,2022,3,E1,Energy Offshore,GBP,3026866,977910,651940,4656718,2025-12-31
2987,2023,0,A1,Direct Accident & Health,GBP,911685,2188046,1458697,4558429,2023-12-31
2987,2023,1,A1,Direct Accident & Health,GBP,2882117,3211502,2141001,8234621,2024-12-31
2987,2023,2,A1,Direct Accident & Health,GBP,3060310,1836186,1224124,6120621,2025-12-31
2987,2023,0,A2,Accident & Health Reinsurance,GBP,2206858,5296459,3530973,11034291,2023-12-31
2987,2023,1,A2,Accident & Health Reinsurance,GBP,3871812,4314304,2876203,11062320,2024-12-31
2987,2023,2,A2,Accident & Health Reinsurance,GBP,477809,286685,191123,955618,2025-12-31
2987,2023,0,D1,Direct Motor (Private Car),GBP,1018339,2444014,1629343,5091697,2023-12-31
2987,2023,1,D1,Direct Motor (Private Car),GBP,1613507,1797908,1198605,4610022,2024-12-31
2987,2023,2,D1,Direct Motor (Private Car),GBP,4583114,2749868,1833245,9166228,2025-12-31
2987,2023,0,D2,Direct Motor (Commercial),GBP,1439638,3455131,2303421,7198190,2023-12-31
2987,2023,1,D2,Direct Motor (Commercial),GBP,3154306,3514798,2343199,9012304,2024-12-31
2987,2023,2,D2,Direct Motor (Commercial),GBP,2035914,1221548,814365,4071828,2025-12-31
2987,2023,0,E1,Energy Offshore,GBP,1408964,3381514,2254343,7044822,2023-12-31
2987,2023,1,E1,Energy Offshore,GBP,4836649,5389409,3592939,13818998,2024-12-31
2987,2023,2,E1,Energy Offshore,GBP,2267012,1360207,906804,4534024,2025-12-31
2987,2024,0,A1,Direct Accident & Health,GBP,555455,1333092,888728,2777275,2024-12-31
2987,2024,1,A1,Direct Accident & Health,GBP,2956400,3294275,2196183,8446858,2025-12-31
2987,2024,0,A2,Accident & Health Reinsurance,GBP,764721,1835331,1223554,3823608,2024-12-31
2987,2024,1,A2,Accident & Health Reinsurance,GBP,2531095,2820363,1880242,7231701,2025-12-31
2987,2024,0,D1,Direct Motor (Private Car),GBP,1706984,4096763,2731175,8534924,2024-12-31
2987,2024,1,D1,Direct Motor (Private Car),GBP,2567613,2861054,1907369,7336037,2025-12-31
2987,2024,0,D2,Direct Motor (Commercial),GBP,919489,2206774,1471182,4597446,2024-12-31
2987,2024,1,D2,Direct Motor (Commercial),GBP,3462397,3858100,2572067,9892565,2025-12-31
2987,2024,0,E1,Energy Offshore,GBP,952324,2285578,1523719,4761622,2024-12-31
2987,2024,1,E1,Energy Offshore,GBP,2378905,2650780,1767186,6796872,2025-12-31
2987,2025,0,A1,Direct Accident & Health,GBP,115867,278080,185387,579335,2025-12-31
2987,2025,0,A2,Accident & Health Reinsurance,GBP,1001666,2403999,1602666,5008332,2025-12-31
2987,2025,0,D1,Direct Motor (Private Car),GBP,1502588,3606211,2404141,7512941,2025-12-31
2987,2025,0,D2,Direct Motor (Commercial),GBP,2281239,5474973,3649982,11406195,2025-12-31
2987,2025,0,E1,Energy Offshore,GBP,2320841,5570019,3713346,11604208,2025-12-31
33,2018,0,A1,Direct Accident & Health,GBP,955273,2292655,1528437,4776365,2018-12-31
33,2018,1,A1,Direct Accident & Health,GBP,2416583,2692764,1795176,6904525,2019-12-31
33,2018,2,A1,Direct Accident & Health,GBP,2984330,1790598,1193732,5968660,2020-12-31
33,2018,3,A1,Direct Accident & Health,GBP,4151162,1341144,894096,6386404,2021-12-31
33,2018,4,A1,Direct Accident & Health,GBP,5277146,791571,527714,6596433,2022-12-31
33,2018,5,A1,Direct Accident & Health,GBP,2596395,81991,54660,2733047,2023-12-31
33,2018,6,A1,Direct Accident & Health,GBP,7774003,0,0,7774003,2024-12-31
33,2018,7,A1,Direct Accident & Health,GBP,2176997,0,0,2176997,2025-12-31
33,2018,0,A2,Accident & Health Reinsurance,GBP,1109570,2662969,1775313,5547854,2018-12-31
33,2018,1,A2,Accident & Health Reinsurance,GBP,3147721,3507460,2338307,8993488,2019-12-31
33,2018,2,A2,Accident & Health Reinsurance,GBP,2338161,1402896,935264,4676322,2020-12-31
33,2018,3,A2,Accident & Health Reinsurance,GBP,622193,201016,134010,957220,2021-12-31
33,2018,4,A2,Accident & Health Reinsurance,GBP,2787506,418125,278750,3484383,2022-12-31
33,2018,5,A2,Accident & Health Reinsurance,GBP,4124297,130240,86827,4341365,2023-12-31
33,2018,6,A2,Accident & Health Reinsurance,GBP,11686229,0,0,11686229,2024-12-31
33,2018,7,A2,Accident & Health Reinsurance,GBP,10830570,0,0,10830570,2025-12-31
33,2018,0,D1,Direct Motor (Private Car),GBP,641708,1540101,1026734,3208544,2018-12-31
33,2018,1,D1,Direct Motor (Private Car),GBP,4163651,4639497,3092998,11896147,2019-12-31
33,2018,2,D1,Direct Motor (Private Car),GBP,6797307,4078384,2718923,13594615,2020-12-31
33,2018,3,D1,Direct Motor (Private Car),GBP,7161000,2313553,1542369,11016923,2021-12-31
33,2018,4,D1,Direct Motor (Private Car),GBP,8907013,1336052,890701,11133767,2022-12-31
33,2018,5,D1,Direct Motor (Private Car),GBP,11570944,365398,243598,12179941,2023-12-31
33,2018,6,D1,Direct Motor (Private Car),GBP,4739248,0,0,4739248,2024-12-31
33,2018,7,D1,Direct Motor (Private Car),GBP,10664753,0,0,10664753,2025-12-31
33,2018,0,D2,Direct Motor (Commercial),GBP,1461227,3506945,2337963,7306136,2018-12-31
33,2018,1,D2,Direct Motor (Commercial),GBP,2727883,3039641,2026427,7793952,2019-12-31
33,2018,2,D2,Direct Motor (Commercial),GBP,5952907,3571744,2381163,11905815,2020-12-31
33,2018,3,D2,Direct Motor (Commercial),GBP,3285159,1061359,707572,5054091,2021-12-31
33,2018,4,D2,Direct Motor (Commercial),GBP,2117950,317692,211795,2647437,2022-12-31
33,2018,5,D2,Direct Motor (Commercial),GBP,4706864,148637,99091,4954594,2023-12-31
33,2018,6,D2,Direct Motor (Commercial),GBP,9466702,0,0,9466702,2024-12-31
33,2018,7,D2,Direct Motor (Commercial),GBP,1871682,0,0,1871682,2025-12-31
33,2018,0,E1,Energy Offshore,GBP,1056812,2536350,1690900,5284063,2018-12-31
33,2018,1,E1,Energy Offshore,GBP,1571029,1750576,1167050,4488656,2019-12-31
33,2018,2,E1,Energy Offshore,GBP,971706,583023,388682,1943413,2020-12-31
33,2018,3,E1,Energy Offshore,GBP,5247404,1695315,1130210,8072930,2021-12-31
33,2018,4,E1,Energy Offshore,GBP,5680284,852042,568028,7100356,2022-12-31
33,2018,5,E1,Energy Offshore,GBP,8688731,274380,182920,9146032,2023-12-31
33,2018,6,E1,Energy Offshore,GBP,1312210,0,0,1312210,2024-12-31
33,2018,7,E1,Energy Offshore,GBP,8819519,0,0,8819519,2025-12-31
33,2019,0,A1,Direct Accident & Health,GBP,1458128,3499508,2333005,7290642,2019-12-31
33,2019,1,A1,Direct Accident & Health,GBP,3901517,4347405,2898270,11147193,2020-12-31
33,2019,2,A1,Direct Accident & Health,GBP,5009627,3005776,2003850,10019254,2021-12-31
33,2019,3,A1,Direct Accident & Health,GBP,9671579,3124664,2083109,14879353,2022-12-31
33,2019,4,A1,Direct Accident & Health,GBP,4336386,650457,433638,5420483,2023-12-31
33,2019,5,A1,Direct Accident & Health,GBP,6025001,190263,126842,6342106,2024-12-31
33,2019,6,A1,Direct Accident & Health,GBP,1195287,0,0,1195287,2025-12-31
33,2019,0,A2,Accident & Health Reinsurance,GBP,2154905,5171772,3447848,10774526,2019-12-31
33,2019,1,A2,Accident & Health Reinsurance,GBP,4775275,5321020,3547347,13643643,2020-12-31
33,2019,2,A2,Accident & Health Reinsurance,GBP,4359551,2615730,1743820,8719102,2021-12-31
33,2019,3,A2,Accident & Health Reinsurance,GBP,6348198,2050956,1367304,9766458,2022-12-31
33,2019,4,A2,Accident & Health Reinsurance,GBP,738673,110801,73867,923342,2023-12-31
33,2019,5,A2,Accident & Health Reinsurance,GBP,7368922,232702,155135,7756760,2024-12-31
33,2019,6,A2,Accident & Health Reinsurance,GBP,8620245,0,0,8620245,2025-12-31
33,2019,0,D1,Direct Motor (Private Car),GBP,1170721,2809732,1873155,5853609,2019-12-31
33,2019,1,D1,Direct Motor (Private Car),GBP,1791852,1996635,1331090,5119578,2020-12-31
33,2019,2,D1,Direct Motor (Private Car),GBP,4649420,2789652,1859768,9298840,2021-12-31
33,2019,3,D1,Direct Motor (Private Car),GBP,5006194,1617385,1078257,7701837,2022-12-31
33,2019,4,D1,Direct Motor (Private Car),GBP,6674970,1001245,667497,8343713,2023-12-31
33,2019,5,D1,Direct Motor (Private Car),GBP,2272291,71756,47837,2391886,2024-12-31
33,2019,6,D1,Direct Motor (Private Car),GBP,8992886,0,0,8992886,2025-12-31
33,2019,0,D2,Direct Motor (Commercial),GBP,1375420,3301009,2200673,6877104,2019-12-31
33,2019,1,D2,Direct Motor (Commercial),GBP,881333,982057,654704,2518095,2020-12-31
33,2019,2,D2,Direct Motor (Commercial),GBP,883554,530132,353421,1767109,2021-12-31
33,2019,3,D2,Direct Motor (Commercial),GBP,3201426,1034306,689537,4925270,2022-12-31
33,2019,4,D2,Direct Motor (Commercial),GBP,940975,141146,94097,1176219,2023-12-31
33,2019,5,D2,Direct Motor (Commercial),GBP,4281191,135195,90130,4506517,2024-12-31
33,2019,6,D2,Direct Motor (Commercial),GBP,3268677,0,0,3268677,2025-12-31
33,2019,0,E1,Energy Offshore,GBP,1057522,2538053,1692035,5287610,2019-12-31
33,2019,1,E1,Energy Offshore,GBP,2542210,2832749,1888499,7263459,2020-12-31
33,2019,2,E1,Energy Offshore,GBP,2295187,1377112,918075,4590375,2021-12-31
33,2019,3,E1,Energy Offshore,GBP,2395999,774092,516061,3686153,2022-12-31
33,2019,4,E1,Energy Offshore,GBP,4343321,651498,434332,5429151,2023-12-31
33,2019,5,E1,Energy Offshore,GBP,2995645,94599,63066,3153310,2024-12-31
33,2019,6,E1,Energy Offshore,GBP,7801587,0,0,7801587,2025-12-31
33,2020,0,A1,Direct Accident & Health,GBP,1654733,3971360,2647573,8273667,2020-12-31
33,2020,1,A1,Direct Accident & Health,GBP,1287081,1434176,956117,3677375,2021-12-31
33,2020,2,A1,Direct Accident & Health,GBP,2244903,1346942,897961,4489807,2022-12-31
33,2020,3,A1,Direct Accident & Health,GBP,5710677,1844988,1229992,8785657,2023-12-31
33,2020,4,A1,Direct Accident & Health,GBP,3112039,466805,311203,3890049,2024-12-31
33,2020,5,A1,Direct Accident & Health,GBP,14490449,457593,305062,15253105,2025-12-31
33,2020,0,A2,Accident & Health Reinsurance,GBP,1677668,4026403,2684268,8388340,2020-12-31
33,2020,1,A2,Accident & Health Reinsurance,GBP,2245595,2502234,1668156,6415986,2021-12-31
33,2020,2,A2,Accident & Health Reinsurance,GBP,2832712,1699627,1133084,5665424,2022-12-31
33,2020,3,A2,Accident & Health Reinsurance,GBP,7642604,2469149,1646099,11757853,2023-12-31
33,2020,4,A2,Accident & Health Reinsurance,GBP,2264869,339730,226486,2831086,2024-12-31
33,2020,5,A2,Accident & Health Reinsurance,GBP,8799659,277883,185255,9262799,2025-12-31
33,2020,0,D1,Direct Motor (Private Car),GBP,2407842,5778823,3852548,12039214,2020-12-31
33,2020,1,D1,Direct Motor (Private Car),GBP,2843964,3168988,2112659,8125612,2021-12-31
33,2020,2,D1,Direct Motor (Private Car),GBP,7737643,4642586,3095057,15475287,2022-12-31
33,2020,3,D1,Direct Motor (Private Car),GBP,4554644,1471500,981000,7007145,2023-12-31
33,2020,4,D1,Direct Motor (Private Car),GBP,11585129,1737769,1158512,14481412,2024-12-31
33,2020,5,D1,Direct Motor (Private Car),GBP,9843258,310839,207226,10361325,2025-12-31
33,2020,0,D2,Direct Motor (Commercial),GBP,1158522,2780452,1853635,5792610,2020-12-31
33,2020,1,D2,Direct Motor (Commercial),GBP,2529235,2818290,1878860,7226387,2021-12-31
33,2020,2,D2,Direct Motor (Commercial),GBP,1097288,658373,438915,2194577,2022-12-31
33,2020,3,D2,Direct Motor (Commercial),GBP,5739460,1854287,1236191,8829938,2023-12-31
33,2020,4,D2,Direct Motor (Commercial),GBP,8999260,1349889,899926,11249075,2024-12-31
33,2020,5,D2,Direct Motor (Commercial),GBP,7617343,240547,160365,8018256,2025-12-31
33,2020,0,E1,Energy Offshore,GBP,2779955,6671894,4447929,13899779,2020-12-31
33,2020,1,E1,Energy Offshore,GBP,1603220,1786445,1190963,4580630,2021-12-31
33,2020,2,E1,Energy Offshore,GBP,4963195,2977917,1985278,9926391,2022-12-31
33,2020,3,E1,Energy Offshore,GBP,4535877,1465437,976958,6978273,2023-12-31
33,2020,4,E1,Energy Offshore,GBP,5523770,828565,552377,6904713,2024-12-31
33,2020,5,E1,Energy Offshore,GBP,14443753,456118,304079,15203951,2025-12-31
33,2021,0,A1,Direct Accident & Health,GBP,423318,1015963,677309,2116591,2021-12-31
33,2021,1,A1,Direct Accident & Health,GBP,3306616,3684515,2456343,9447475,2022-12-31
33,2021,2,A1,Direct Accident & Health,GBP,3291312,1974787,1316524,6582624,2023-12-31
33,2021,3,A1,Direct Accident & Health,GBP,7145358,2308500,1539000,10992859,2024-12-31
33,2021,4,A1,Direct Accident & Health,GBP,615297,92294,61529,769121,2025-12-31
33,2021,0,A2,Accident & Health Reinsurance,GBP,1032106,2477054,1651369,5160530,2021-12-31
33,2021,1,A2,Accident & Health Reinsurance,GBP,1836173,2046021,1364014,5246209,2022-12-31
