reporting_period,LEI,Undertaking_Name,Reporting_Date,Line_Of_Business,Gross_Written_Premium,Gross_Earned_Premium,Reinsurance_Premium_Ceded,Net_Written_Premium,Net_Earned_Premium,Claims_Paid_Death,Claims_Paid_Maturity,Claims_Paid_Surrender,Claims_Paid_Annuity,Claims_Paid_Other,Total_Claims_Paid,Change_In_TP,Acquisition_Costs,Administrative_Expenses,Investment_Management_Expenses,Claims_Management_Expenses,Other_Expenses,Total_Expenses,Investment_Income,Realised_Gains,Unrealised_Gains,Total_Investment_Return,Technical_Result,Non_Technical_Result,Total_Result
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Health insurance (SLT),77406683.58,73148446.71090503,11240350.011704773,64089867.69110654,69078143.62243485,17947079.815318715,18640526.22683458,6129921.763041125,16432765.972563948,3789527.3402501005,45918131.43896763,14721308.132713074,10067416.615437495,9056538.4978063,2539957.224648889,1877345.088020226,3554376.247329771,20842398.828924578,25298031.271172166,33639.04815091811,2633215.964902823,11085214.003271466,-681487.8868149958,-1543021.8063025759,-3171277.3703943547
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Life reinsurance,97955544.09,91780892.72765405,14644021.42202827,90693605.40325066,84496361.12420504,16943534.538017247,33855717.174027316,10777572.551209439,20540061.810848296,6483167.83700436,72984919.90501723,7059556.540518424,10179038.402598463,9344226.099097045,2160235.2891530083,3616706.7183329375,1447316.717685901,23091381.94158955,34670027.26303396,6804234.597715362,1772080.0595781216,26027031.070990846,11843753.765862148,372261.1422638205,14695234.645498844
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Insurance with profit participation,17932098.79,17472604.728915993,3176351.12227523,14834734.848866763,15144589.536064833,3134978.5648487117,6120598.767309244,1856595.8458887634,3502112.031515055,570047.3979443746,10622063.87783954,-1569969.6368306717,1838842.1832727138,1599222.6989947387,820179.1847957076,538103.2541077478,491623.7832602853,6133323.270708802,5914208.816239796,2439357.922250328,1045018.0181397066,3418153.8404603596,-707146.2677718919,552773.794271162,-396304.95043556555
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Index-linked and unit-linked insurance,37249761.54,35658189.62099637,5016145.572602412,33155546.36290525,29983759.71274204,7709233.397613729,12048019.864794323,5475040.221460201,7790589.109258845,2807001.427659481,26165812.330023132,2887418.6431240556,3480678.6529305363,3600859.785859489,1441617.4362274571,1045752.6034420435,1102273.8869289556,10052653.591174943,8701940.32699609,2006366.7161242212,-1517303.0407973859,14222370.158925535,-478458.62456915027,-523447.0481875204,1875025.8275526327
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Other life insurance,69247669.56,65829616.89896952,6337070.27980933,61195943.70299389,57617547.71567585,20076987.466363437,26627739.061681647,6941191.256568348,10330547.326768408,4447635.5006180685,38594675.413778074,2938227.218352122,7170086.353821076,7924531.0132792685,1409888.8411889516,1840910.9508479014,2744045.7722731195,18174262.62702257,11865640.637032716,10005753.521302091,3836537.5981695275,21810605.089215115,-185448.26848142617,958724.7029258095,3372665.030523502
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Annuities stemming from non-life contracts,16740625.78,15525779.070198745,2940003.3967957427,13994711.035170201,13547246.628281133,3778973.915612294,5921986.765117667,940733.6375904654,3122481.407440653,454551.9603597271,9329420.340483448,-1409172.548408229,2316760.1046237457,975276.6130528188,357488.3784524777,387327.8019929118,732565.4127817748,3760102.3138986076,4276027.146176409,-703365.6534320753,581294.0272911194,5058424.1280027265,1074436.9794054,54739.64410820115,377879.9776905772
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Health insurance (SLT),19596125.7,18531583.463855322,1272262.790657174,17930247.13405314,18125262.935902905,5790874.003679998,7309633.540559482,2157126.1328032347,4019750.4153013825,727258.2395816874,13250000.423308898,719077.183791661,2228887.1225893865,2019270.2160737664,557657.7400026313,382931.5832503501,920737.1276571964,3714604.945379897,5318556.543984782,2597665.559770614,1628612.4971504067,5707224.168370559,-1002.619195645254,78958.36034051327,2860468.722476764
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Life reinsurance,60329631.86,57677055.80485088,3917622.7117891307,48408751.40474981,55777928.750163645,12460960.28230913,19344250.765921284,3497399.694908186,12214768.192396738,4582277.010467349,40127232.080585614,-3750415.894755878,7283023.740625821,6252822.760047846,1942161.438199803,2195704.9414952067,2168688.469396294,20082064.287251435,18453406.25157664,-1432370.5892605938,-427887.1096791394,10293938.414747465,7949352.013374287,2004633.291604114,6369097.262020379
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Insurance with profit participation,37086968.77,34597807.658331566,6062520.119941595,32307337.155629717,30183913.1509804,8993341.322566677,7716565.816926514,3064015.0413557505,6315300.670804971,1070978.9423826057,27701402.79543043,-1382260.6478727018,3305365.674009044,2382742.8443014454,1597403.7622314652,844291.140606193,1209652.2196865033,6808112.5899363225,5882283.531942188,1452515.2101605255,5377483.373142612,15199486.204016054,-1211211.6855853198,655898.5134178669,5935503.3581215255
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Index-linked and unit-linked insurance,44917547.9,43932488.475857094,3146669.539076278,42236382.339257404,40098501.29075838,13079997.08668846,15061906.97961204,3878198.7472632607,10812874.453363607,1641017.9904709666,27688726.379154332,4951823.915294919,5999733.039980759,5168134.180295487,1174327.6185645305,1524498.9281319613,1776122.5881925626,8572292.778167637,11085910.683324482,294348.79739247443,-388665.82369595376,19944802.030943833,3528519.656804553,1358186.7656064234,7843594.590938803
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Other life insurance,43948160.42,42899065.611205466,5061933.493414465,40890689.13092746,35470500.118594795,12839583.683615623,10712554.91131976,3631087.138309171,9379804.683932448,1917252.0560629782,29517442.462080173,1466640.2210440866,5799658.349634493,2899839.7165596653,956036.8384274975,834921.9624446078,1273281.3358893518,9165978.150881903,10490396.113600044,1318295.549648309,-3638136.256036457,13367164.22307186,5575645.346770972,-412145.67672588094,3845281.347866187
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Annuities stemming from non-life contracts,69826528.44,66290054.1139723,10834608.015495988,60163216.42241704,59750252.67432612,10550994.90220504,23625388.532429177,8109252.759991959,7384862.836912342,2939348.1646235585,52077069.576940976,1830919.2215836088,8039559.63267361,7938934.906700729,2899047.7720220396,1917583.381350604,2926582.5352491015,22829243.386034988,18449706.249764755,3143707.129198941,1104326.147274457,30608259.66669258,6244813.434522686,-989748.1228390626,10367892.754362775
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Health insurance (SLT),53250394.68,49246645.191295244,7053418.853977887,45932440.119278066,48546383.186260484,9616978.175218504,19451992.264902163,5632234.0254198,5761242.497956756,4170076.645409135,34747109.887495995,-678247.2806674205,6009758.546499427,5860208.32261314,1552094.244980093,840306.7715531087,807427.7404363671,12281463.231382437,18372026.32806533,2360338.2836283003,-1690993.914263895,8422335.354690177,881075.4551694948,2438586.174186084,1538731.0671763956
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Life reinsurance,98931166.84,94376982.55506203,7605292.665810658,92369162.83685549,83997834.26899381,25370967.13887196,39250180.32018103,5442948.93737608,11328032.528029626,6255160.902239281,59988397.04614158,-4423171.008845405,8187081.516170718,5097850.791588865,4277246.269322663,1388301.3433590992,2840197.5201259805,27997763.445958834,25434010.888072733,-4410219.79305005,13360698.677574534,10257146.633904848,10128372.90887377,4207672.577171217,4902354.1003774945
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Insurance with profit participation,58198822.58,55486107.80243929,6307663.63028086,54306117.52707377,53198963.2802699,11661440.940784987,18799031.61364513,8304434.004738746,14218483.041720325,2941225.4652405875,37280126.519513115,-953977.9439663776,8562270.788133264,3491754.8347531757,2176338.410291145,1075311.012477464,1231506.3853320216,14482466.208820604,23261966.603423152,-2270146.261070271,4281253.531821383,7501843.089439985,-1111355.0550934887,626766.744668866,3922939.9532308574
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Index-linked and unit-linked insurance,33291316.75,31365480.63072155,2098852.83022159,28147241.280323822,30793927.539420508,9711280.414398259,8887971.195929755,3565013.758564057,7871375.916972187,678178.3908958348,23707968.917325933,6142609.678385525,2876130.116438736,2040802.2612993568,1625361.619458578,869775.7431331379,351818.1536992849,7450511.455881283,8738501.857435858,2949004.169664622,3993230.6381305917,14927744.185297953,249759.44407142527,588437.5774764476,2419094.0897664153
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Other life insurance,46508073.35,43338145.045679376,9144346.89804896,43159379.42624578,39752773.567895405,11184578.357436093,11415509.419710211,4854452.563156097,9499065.62409093,2367727.0236223005,34790691.41269635,3878889.442203922,4928374.952531089,4839194.887139604,1167997.956761927,1001573.4235425794,1110536.426043991,11785480.931894898,16065979.374460857,2178187.3112895326,6427617.353178798,14034793.202441473,856394.4040693232,1706777.0906220255,223546.83212501896
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Annuities stemming from non-life contracts,30194468.18,28845234.54969635,2691154.0475468934,24196731.27215276,26487935.039279453,6844001.146416438,8729328.33066738,4429433.413570459,5606505.155691524,2168140.8016701257,17449082.64295804,2136619.1136435545,4250130.279815016,2742183.1853633877,1254291.0512273381,638954.4118963811,413603.241817283,7785433.773840584,7506944.080587417,3726360.8083972246,-809254.3001146392,13235955.873138994,4276370.785096377,-80491.95990428288,907402.6407687477
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Health insurance (SLT),90600016.68,89482334.59915122,10556339.351026475,76842363.99739441,77817631.96677569,22936787.73730889,23075362.46690562,11202449.024486056,9762025.280434681,2079965.2456012964,56829543.67989307,547401.4609902396,9249747.554791823,7644048.742160903,2683754.3708179356,1428557.2854021362,2027518.019175173,31323481.376661796,22901723.111276273,3528196.1662348686,6610494.043903117,40241743.17515854,-152184.8990021159,2508691.606861688,10389690.956826126
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Life reinsurance,64659197.51,59887380.01423715,9797862.60126677,52349004.89503517,56216089.856007226,16871988.438398845,15660068.267251695,8674820.236947093,6760317.657070799,4566799.706965666,41515460.03152027,-2245201.2758497344,5778234.925778048,7547765.2260485105,1434138.9075877066,1032788.5979773516,1546188.5295426063,18456316.44406556,18505479.8706324,-1608158.3971532008,-845846.0735890131,11869044.023879739,-471457.95443196513,567714.4498304167,7237125.136166511
