reporting_period,Syndicate_Number,Claim_Type,Origin_Year,Development_Year,Cumulative_Paid,Cumulative_Incurred
2025-11-30,2987,Net,2022,2,10288804,11801863
2025-11-30,2987,Net,2023,0,1506626,2259939
2025-11-30,2987,Net,2023,1,6752992,8287763
2025-11-30,33,Net,2015,0,3142825,4714238
2025-11-30,33,Net,2015,1,1180720,1449066
2025-11-30,33,Net,2015,2,11082705,12712514
2025-11-30,33,Net,2015,3,3381583,3749147
2025-11-30,33,Net,2015,4,13452285,14611964
2025-11-30,33,Net,2015,5,24066627,25785672
2025-11-30,33,Net,2015,6,25353341,26899276
2025-11-30,33,Net,2015,7,28249082,29751693
2025-11-30,33,Net,2015,8,28058347,28058347
2025-11-30,33,Net,2015,9,18361854,18361854
2025-11-30,33,Net,2016,0,1574978,2362467
2025-11-30,33,Net,2016,1,2880970,3535736
2025-11-30,33,Net,2016,2,11886802,13634861
2025-11-30,33,Net,2016,3,8399216,9312174
2025-11-30,33,Net,2016,4,8533284,9268912
2025-11-30,33,Net,2016,5,11184293,11983171
2025-11-30,33,Net,2016,6,18115863,19220489
2025-11-30,33,Net,2016,7,9069274,9551682
2025-11-30,33,Net,2016,8,33823176,33823176
2025-11-30,33,Net,2017,0,1759272,2638908
2025-11-30,33,Net,2017,1,5495308,6744242
2025-11-30,33,Net,2017,2,6239953,7157593
2025-11-30,33,Net,2017,3,3177588,3522978
2025-11-30,33,Net,2017,4,2283810,2480690
2025-11-30,33,Net,2017,5,17519959,18771385
2025-11-30,33,Net,2017,6,26797357,28431342
2025-11-30,33,Net,2017,7,28150465,29647831
2025-11-30,33,Net,2018,0,819673,1229510
2025-11-30,33,Net,2018,1,1527132,1874207
2025-11-30,33,Net,2018,2,9777048,11214849
2025-11-30,33,Net,2018,3,6216062,6891721
2025-11-30,33,Net,2018,4,15813434,17176662
2025-11-30,33,Net,2018,5,11170676,11968581
2025-11-30,33,Net,2018,6,7972291,8458406
2025-11-30,33,Net,2019,0,1989511,2984266
2025-11-30,33,Net,2019,1,1480941,1817519
2025-11-30,33,Net,2019,2,5091688,5840466
2025-11-30,33,Net,2019,3,9595130,10638079
2025-11-30,33,Net,2019,4,9794823,10639204
2025-11-30,33,Net,2019,5,7637242,8182760
2025-11-30,33,Net,2020,0,2408424,3612637
2025-11-30,33,Net,2020,1,6384029,7834945
2025-11-30,33,Net,2020,2,6021776,6907331
2025-11-30,33,Net,2020,3,14827777,16439492
2025-11-30,33,Net,2020,4,19848368,21559434
2025-11-30,33,Net,2021,0,2834762,4252143
2025-11-30,33,Net,2021,1,850849,1044224
2025-11-30,33,Net,2021,2,11857050,13600734
2025-11-30,33,Net,2021,3,13594430,15072086
2025-11-30,33,Net,2022,0,1756367,2634551
2025-11-30,33,Net,2022,1,7625966,9359140
2025-11-30,33,Net,2022,2,2844474,3262779
2025-11-30,33,Net,2023,0,980848,1471273
2025-11-30,33,Net,2023,1,3503193,4299373
2025-11-30,1183,Net,2015,0,892240,1338360
2025-11-30,1183,Net,2015,1,1876191,2302598
2025-11-30,1183,Net,2015,2,10026037,11500455
2025-11-30,1183,Net,2015,3,4969082,5509199
2025-11-30,1183,Net,2015,4,9450453,10265147
2025-11-30,1183,Net,2015,5,11715088,12551880
2025-11-30,1183,Net,2015,6,26168339,27763970
2025-11-30,1183,Net,2015,7,12590906,13260635
2025-11-30,1183,Net,2015,8,19607214,19607214
2025-11-30,1183,Net,2015,9,13064228,13064228
2025-11-30,1183,Net,2016,0,3329409,4994113
2025-11-30,1183,Net,2016,1,3498211,4293259
2025-11-30,1183,Net,2016,2,9262347,10624457
2025-11-30,1183,Net,2016,3,12166711,13489179
2025-11-30,1183,Net,2016,4,8872099,9636935
2025-11-30,1183,Net,2016,5,4120437,4414754
2025-11-30,1183,Net,2016,6,6425381,6817173
2025-11-30,1183,Net,2016,7,31298499,32963312
2025-11-30,1183,Net,2016,8,23397981,23397981
2025-11-30,1183,Net,2017,0,1649738,2474607
2025-11-30,1183,Net,2017,1,1225626,1504177
2025-11-30,1183,Net,2017,2,1246631,1429959
2025-11-30,1183,Net,2017,3,8817841,9776302
2025-11-30,1183,Net,2017,4,5594338,6076608
2025-11-30,1183,Net,2017,5,23400417,25071875
2025-11-30,1183,Net,2017,6,12960644,13750927
2025-11-30,1183,Net,2017,7,10425076,10979602
2025-11-30,1183,Net,2018,0,2425575,3638363
2025-11-30,1183,Net,2018,1,6471487,7942280
2025-11-30,1183,Net,2018,2,8020976,9200532
2025-11-30,1183,Net,2018,3,13730666,15223130
2025-11-30,1183,Net,2018,4,2293462,2491174
2025-11-30,1183,Net,2018,5,6128787,6566557
2025-11-30,1183,Net,2018,6,5768429,6120163
2025-11-30,1183,Net,2019,0,1050200,1575300
2025-11-30,1183,Net,2019,1,6408547,7865035
2025-11-30,1183,Net,2019,2,1765438,2025061
2025-11-30,1183,Net,2019,3,9588408,10630626
2025-11-30,1183,Net,2019,4,17901171,19444375
2025-11-30,1183,Net,2019,5,20618872,22091648
2025-11-30,1183,Net,2020,0,1045688,1568532
2025-11-30,1183,Net,2020,1,5211744,6396232
2025-11-30,1183,Net,2020,2,3225548,3699893
2025-11-30,1183,Net,2020,3,2513882,2787130
2025-11-30,1183,Net,2020,4,10428868,11327908
2025-11-30,1183,Net,2021,0,2062994,3094491
2025-11-30,1183,Net,2021,1,1182304,1451009
2025-11-30,1183,Net,2021,2,6904896,7920322
2025-11-30,1183,Net,2021,3,6149555,6817984
2025-11-30,1183,Net,2022,0,1522195,2283293
2025-11-30,1183,Net,2022,1,7662600,9404100
2025-11-30,1183,Net,2022,2,2831810,3248253
2025-11-30,1183,Net,2023,0,2011447,3017171
2025-11-30,1183,Net,2023,1,6556264,8046324
2025-11-30,2791,Net,2015,0,2259006,3388510
2025-11-30,2791,Net,2015,1,7184390,8817206
2025-11-30,2791,Net,2015,2,3658511,4196528
2025-11-30,2791,Net,2015,3,6725669,7456720
2025-11-30,2791,Net,2015,4,6457555,7014240
2025-11-30,2791,Net,2015,5,8272073,8862936
2025-11-30,2791,Net,2015,6,18751781,19895182
2025-11-30,2791,Net,2015,7,4384506,4617725
2025-11-30,2791,Net,2015,8,11925683,11925683
2025-11-30,2791,Net,2015,9,19104812,19104812
2025-11-30,2791,Net,2016,0,2284072,3426108
2025-11-30,2791,Net,2016,1,7693332,9441817
2025-11-30,2791,Net,2016,2,5153704,5911602
2025-11-30,2791,Net,2016,3,7375419,8177094
2025-11-30,2791,Net,2016,4,6367535,6916461
2025-11-30,2791,Net,2016,5,6004545,6433441
2025-11-30,2791,Net,2016,6,17605693,18679211
2025-11-30,2791,Net,2016,7,4999986,5265943
2025-11-30,2791,Net,2016,8,25611230,25611230
2025-11-30,2791,Net,2017,0,1394909,2092363
2025-11-30,2791,Net,2017,1,2832538,3476296
2025-11-30,2791,Net,2017,2,8541921,9798086
2025-11-30,2791,Net,2017,3,9165787,10162068
2025-11-30,2791,Net,2017,4,10345290,11237126
2025-11-30,2791,Net,2017,5,9934100,10643678
2025-11-30,2791,Net,2017,6,11457123,12155728
2025-11-30,2791,Net,2017,7,4334965,4565548
2025-11-30,2791,Net,2018,0,3450585,5175878
2025-11-30,2791,Net,2018,1,2765950,3394576
2025-11-30,2791,Net,2018,2,7554262,8665183
2025-11-30,2791,Net,2018,3,8703430,9649455
2025-11-30,2791,Net,2018,4,9620874,10450259
2025-11-30,2791,Net,2018,5,4732786,5070842
2025-11-30,2791,Net,2018,6,13622030,14452642
2025-11-30,2791,Net,2019,0,1999551,2999326
2025-11-30,2791,Net,2019,1,7399562,9081281
2025-11-30,2791,Net,2019,2,9326181,10697678
2025-11-30,2791,Net,2019,3,10246671,11360440
2025-11-30,2791,Net,2019,4,16639840,18074309
2025-11-30,2791,Net,2019,5,13339314,14292122
2025-11-30,2791,Net,2020,0,479656,719485
2025-11-30,2791,Net,2020,1,1962029,2407945
2025-11-30,2791,Net,2020,2,5362105,6150650
2025-11-30,2791,Net,2020,3,5468681,6063103
2025-11-30,2791,Net,2020,4,17848863,19387558
2025-11-30,2791,Net,2021,0,1597060,2395590
2025-11-30,2791,Net,2021,1,1165379,1430238
2025-11-30,2791,Net,2021,2,2921395,3351012
2025-11-30,2791,Net,2021,3,14501340,16077573
2025-11-30,2791,Net,2022,0,2391415,3587123
2025-11-30,2791,Net,2022,1,4342595,5329548
2025-11-30,2791,Net,2022,2,6200025,7111794
2025-11-30,2791,Net,2023,0,2400012,3600019
2025-11-30,2791,Net,2023,1,7035025,8633895
2025-11-30,623,Net,2015,0,2752471,4128707
2025-11-30,623,Net,2015,1,1965171,2411801
2025-11-30,623,Net,2015,2,7342306,8422057
2025-11-30,623,Net,2015,3,14069522,15598817
2025-11-30,623,Net,2015,4,7208923,7830382
2025-11-30,623,Net,2015,5,10826127,11599422
2025-11-30,623,Net,2015,6,4579790,4859045
2025-11-30,623,Net,2015,7,22545267,23744483
2025-11-30,623,Net,2015,8,3579449,3579449
2025-11-30,623,Net,2015,9,27923884,27923884
2025-11-30,623,Net,2016,0,2879443,4319164
2025-11-30,623,Net,2016,1,2806311,3444109
2025-11-30,623,Net,2016,2,7007312,8037799
2025-11-30,623,Net,2016,3,10929928,12117964
2025-11-30,623,Net,2016,4,3936519,4275875
2025-11-30,623,Net,2016,5,24292355,26027523
2025-11-30,623,Net,2016,6,15589466,16540043
2025-11-30,623,Net,2016,7,30807067,32445740
2025-11-30,623,Net,2016,8,18246565,18246565
2025-11-30,623,Net,2017,0,3466342,5199513
2025-11-30,623,Net,2017,1,2057973,2525694
2025-11-30,623,Net,2017,2,5986720,6867120
2025-11-30,623,Net,2017,3,12568437,13934572
2025-11-30,623,Net,2017,4,10456831,11358282
2025-11-30,623,Net,2017,5,24379668,26121073
2025-11-30,623,Net,2017,6,18601494,19735731
2025-11-30,623,Net,2017,7,17693464,18634606
2025-11-30,623,Net,2018,0,2240324,3360486
2025-11-30,623,Net,2018,1,3825526,4694964
2025-11-30,623,Net,2018,2,10045025,11522235
2025-11-30,623,Net,2018,3,4360568,4834543
2025-11-30,623,Net,2018,4,7256913,7882508
2025-11-30,623,Net,2018,5,16275680,17438229
2025-11-30,623,Net,2018,6,28483405,30220198
2025-11-30,623,Net,2019,0,2131080,3196620
2025-11-30,623,Net,2019,1,2568531,3152288
2025-11-30,623,Net,2019,2,11020948,12641676
2025-11-30,623,Net,2019,3,13907826,15419546
2025-11-30,623,Net,2019,4,10229740,11111614
2025-11-30,623,Net,2019,5,15803109,16931902
2025-11-30,623,Net,2020,0,2924001,4386001
2025-11-30,623,Net,2020,1,774195,950148
2025-11-30,623,Net,2020,2,6043463,6932207
2025-11-30,623,Net,2020,3,7809933,8658839
2025-11-30,623,Net,2020,4,7756679,8425358
2025-11-30,623,Net,2021,0,2369451,3554177
2025-11-30,623,Net,2021,1,6764006,8301280
2025-11-30,623,Net,2021,2,10879543,12479476
2025-11-30,623,Net,2021,3,15757569,17470348
2025-11-30,623,Net,2022,0,1863804,2795706
2025-11-30,623,Net,2022,1,5575543,6842712
2025-11-30,623,Net,2022,2,8246166,9458837
2025-11-30,623,Net,2023,0,2427098,3640648
2025-11-30,623,Net,2023,1,2978553,3655497
