LEI,Undertaking_Name,Reporting_Date,Projection_Year,Calendar_Year,Annuity_Payments,Expenses,Reinsurance_Recoveries,Net_Cash_Flow,Discount_Factor,Present_Value,Number_Of_Annuitants,Cumulative_PV
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,12,2036,1817284.27,36345.69,212106.96,1534741.97,0.740818,1346277.3,139,27004325.83
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,13,2037,1763575.4,35271.51,229957.01,1212680.87,0.722527,1274231.47,135,28910063.71
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,14,2038,1711453.87,34229.08,417419.99,1259720.86,0.704688,1206041.16,131,30768748.74
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,15,2039,1660872.77,33217.46,403424.72,1313778.68,0.687289,1141500.05,127,32581542.69
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,16,2040,1611786.56,32235.73,196253.51,1396493.8,0.67032,1080412.84,123,34349578.59
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,17,2041,1564151.07,31283.02,297912.65,1293380.02,0.65377,1022594.71,120,36073961.52
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,18,2042,1517923.42,30358.47,303894.51,1215662.81,0.637628,967870.7,116,37755769.3
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,19,2043,1473062.0,29461.24,236507.05,1060710.79,0.621885,916075.25,113,39396053.09
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,20,2044,1429526.44,28590.53,298076.33,1097938.91,0.606531,867051.61,109,40995838.12
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,21,2045,1387277.55,27745.55,246966.82,1129956.21,0.591555,820651.48,106,42556124.33
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,22,2046,1346277.3,26925.55,320550.41,927832.79,0.57695,776734.43,103,44077886.93
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,23,2047,1306488.79,26129.78,219162.06,996005.53,0.562705,735167.6,100,45562077.08
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,24,2048,1267876.21,25357.52,151357.07,921974.44,0.548812,695825.22,97,47009622.44
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,25,2049,1230404.81,24608.1,135748.54,1081831.48,0.535261,658588.24,94,48421427.78
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,26,2050,1194040.85,23880.82,295299.96,832831.59,0.522046,623343.98,91,49798375.53
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,27,2051,1158751.61,23175.03,120567.96,954646.27,0.509156,589985.82,88,51141326.31
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,28,2052,1124505.32,22490.11,211225.32,941615.04,0.496585,558412.82,86,52451119.52
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,29,2053,1091271.17,21825.42,310679.67,872864.24,0.484325,528529.44,83,53728573.82
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,30,2054,1059019.23,21180.38,145532.21,885804.78,0.472367,500245.26,81,54974487.66
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,31,2055,1027720.48,20554.41,299233.51,818113.05,0.460704,473474.71,78,56189639.78
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,32,2056,997346.75,19946.94,235772.26,745511.65,0.449329,448136.78,76,57374789.68
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,33,2057,967870.7,19357.41,170640.97,800362.19,0.438235,424154.81,74,58530678.14
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,34,2058,939265.8,18785.32,268211.31,756858.2,0.427415,401456.23,72,59658027.6
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,35,2059,911506.3,18230.13,235140.9,651113.56,0.416862,379972.36,69,60757542.7
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,36,2060,884567.22,17691.34,125955.13,695629.8,0.40657,359638.19,67,61829910.68
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,37,2061,858424.31,17168.49,116154.11,692747.57,0.396531,340392.21,65,62875801.81
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,38,2062,833054.03,16661.08,131897.98,698354.63,0.386741,322176.17,63,63895869.78
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,39,2063,808433.57,16168.67,211504.06,624723.09,0.377192,304934.96,62,64890752.19
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,40,2064,784540.74,15690.81,106824.74,634971.97,0.367879,288616.41,60,65861070.87
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,41,2065,761354.06,15227.08,227307.89,612523.18,0.358796,273171.15,58,66807432.29
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,42,2066,738852.65,14777.05,79171.71,504975.34,0.349938,258552.43,56,67730427.96
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,43,2067,717016.25,14340.33,117642.57,515647.09,0.341298,244716.04,55,68630634.79
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,44,2068,695825.22,13916.5,182730.83,590728.57,0.332871,231620.09,53,69508615.44
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,45,2069,675260.48,13505.21,102453.05,503156.13,0.324652,219224.98,51,70364918.66
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,46,2070,655303.51,13106.07,96493.04,564659.64,0.316637,207493.19,50,71200079.69
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,47,2071,635936.37,12718.73,127524.24,515889.01,0.308819,196389.22,48,72014620.51
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,48,2072,617141.61,12342.83,112996.42,497541.32,0.301194,185879.48,47,72809050.25
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,49,2073,598902.32,11978.05,106108.17,447940.42,0.293758,175932.17,45,73583865.45
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,50,2074,581202.08,11624.04,131872.44,463922.71,0.286505,166517.18,44,74339550.39
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,1,2025,4219714.2,84394.28,548012.98,3180463.32,0.97531,4115529.09,194,4294320.96
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,2,2026,4095002.8,81900.06,749547.38,3299494.72,0.951229,3895287.16,188,8482614.75
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,3,2027,3973977.18,79479.54,1124261.0,2731063.99,0.927743,3686831.44,182,12567499.21
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,4,2028,3856528.4,77130.57,573589.96,2771853.52,0.904837,3489531.2,177,16551527.5
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,5,2029,3742550.76,74851.02,750227.54,2866569.93,0.882497,3302789.45,172,20437189.79
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,6,2030,3631941.67,72638.83,892758.59,2645808.43,0.860708,3126041.17,167,24226914.74
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,7,2031,3524601.57,70492.03,771534.13,3019778.01,0.839457,2958751.54,162,27923071.04
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,8,2032,3420433.85,68408.68,965025.98,2981786.88,0.818731,2800414.38,157,31527968.91
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,9,2033,3319344.76,66386.9,845278.55,2858611.68,0.798516,2650550.62,152,35043861.55
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,10,2034,3221243.29,64424.87,473220.53,2317736.7,0.778801,2508706.8,148,38472946.48
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,11,2035,3126041.17,62520.82,316660.52,2567632.9,0.759572,2374453.73,143,41817367.0
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,12,2036,3033652.69,60673.05,872155.24,2176303.21,0.740818,2247385.19,139,45079213.49
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,13,2037,2943994.7,58879.89,669431.17,2441431.11,0.722527,2127116.7,135,48260524.7
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,14,2038,2856986.51,57139.73,815734.92,2312365.01,0.704688,2013284.36,131,51363289.06
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,15,2039,2772549.8,55451.0,815292.52,2076458.55,0.687289,1905543.75,127,54389445.89
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,16,2040,2690608.57,53812.17,457365.0,2121820.65,0.67032,1803568.86,123,57340886.65
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,17,2041,2611089.07,52221.78,461380.42,1776285.11,0.65377,1707051.14,120,60219456.07
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,18,2042,2533919.72,50678.39,624242.29,2104023.54,0.637628,1615698.55,116,63026953.36
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,19,2043,2459031.08,49180.62,613269.86,1841824.44,0.621885,1529234.68,113,65765133.29
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,20,2044,2386355.72,47727.11,487909.27,1794526.87,0.606531,1447397.91,109,68435707.32
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,21,2045,2315828.25,46316.57,239010.34,1835270.24,0.591555,1369940.63,106,71040344.65
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,22,2046,2247385.19,44947.7,280366.1,1564198.66,0.57695,1296628.46,103,73580673.25
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,23,2047,2180964.92,43619.3,547639.88,1487202.68,0.562705,1227239.58,100,76058280.91
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,24,2048,2116507.66,42330.15,617600.51,1657333.59,0.548812,1161564.03,97,78474716.22
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,25,2049,2053955.41,41079.11,609209.92,1420514.56,0.535261,1099403.11,94,80831489.53
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,26,2050,1993251.85,39865.04,431949.46,1494670.61,0.522046,1040568.71,91,83130073.9
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,27,2051,1934342.36,38686.85,519751.02,1455098.49,0.509156,984882.83,88,85371906.02
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,28,2052,1877173.9,37543.48,285513.49,1598433.52,0.496585,932176.97,86,87558387.11
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,29,2053,1821695.03,36433.9,318670.24,1244885.65,0.484325,882291.66,83,89690883.79
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,30,2054,1767855.8,35357.12,314780.55,1433562.14,0.472367,835075.95,81,91770728.93
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,31,2055,1715607.77,34312.16,258837.02,1314837.54,0.460704,790386.98,78,93799222.52
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,32,2056,1664903.89,33298.08,185375.44,1327958.24,0.449329,748089.54,76,95777632.42
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,33,2057,1615698.55,32313.97,405958.78,1232232.71,0.438235,708055.64,74,97707195.21
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,34,2058,1567947.44,31358.95,288575.28,1093888.72,0.427415,670164.15,72,99589116.92
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,35,2059,1521607.59,30432.15,213615.71,1081764.18,0.416862,634300.41,69,101424573.82
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,36,2060,1476637.29,29532.75,289919.35,1160417.05,0.40657,600355.92,67,103214713.13
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,37,2061,1432996.06,28659.92,415265.1,995425.41,0.396531,568227.96,65,104960653.74
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,38,2062,1390644.63,27812.89,305905.1,1092072.82,0.386741,537819.33,63,106663486.92
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,39,2063,1349544.87,26990.9,274290.43,1153364.04,0.377192,509038.0,62,108324277.01
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,40,2064,1309659.79,26193.2,184803.07,901248.48,0.367879,481796.91,60,109944062.04
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,41,2065,1270953.49,25419.07,297980.51,951984.19,0.358796,456013.62,58,111523854.43
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,42,2066,1233391.14,24667.82,127678.16,900714.47,0.349938,431610.12,56,113064641.61
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,43,2067,1196938.92,23938.78,193742.94,961582.04,0.341298,408512.57,55,114567386.62
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,44,2068,1161564.03,23231.28,156250.29,885821.36,0.332871,386651.08,53,116033028.72
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,45,2069,1127234.63,22544.69,221496.07,870053.2,0.324652,365959.5,51,117462484.0
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,46,2070,1093919.81,21878.4,322474.6,753821.07,0.316637,346375.23,50,118856645.89
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,47,2071,1061589.59,21231.79,308066.55,845436.62,0.308819,327839.01,48,120216385.81
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,48,2072,1030214.88,20604.3,266975.59,789225.49,0.301194,310294.76,47,121542553.62
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,49,2073,999767.43,19995.35,190723.21,855666.25,0.293758,293689.38,45,122835978.24
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,50,2074,970219.83,19404.4,270872.67,706065.63,0.286505,277972.64,44,124097468.09
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,1,2025,3487718.2,69754.36,694917.51,2999630.89,0.97531,3401606.13,194,3549382.88
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,2,2026,3384640.55,67692.81,556675.28,2742922.59,0.951229,3219569.68,188,7011131.19
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,3,2027,3284609.3,65692.19,793661.25,2745062.73,0.927743,3047274.88,182,10387408.63
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,4,2028,3187534.43,63750.69,678259.17,2424091.36,0.904837,2884200.42,177,13680325.47
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,5,2029,3093328.55,61866.57,907592.49,2481672.79,0.882497,2729852.86,172,16891939.92
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,6,2030,3001906.87,60038.14,737607.67,2248417.95,0.860708,2583765.19,167,20024259.32
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,7,2031,2913187.12,58263.74,681656.18,2131169.8,0.839457,2445495.38,162,23079241.48
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,8,2032,2827089.43,56541.79,421291.12,2326537.53,0.818731,2314625.05,157,26058795.85
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,9,2033,2743536.31,54870.73,560446.71,2240523.53,0.798516,2190758.24,152,28964784.78
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,10,2034,2662452.55,53249.05,409718.69,2129282.23,0.778801,2073520.13,148,31799024.57
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,11,2035,2583765.19,51675.3,487780.58,2065441.37,0.759572,1962556.01,143,34563286.74
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,12,2036,2507403.39,50148.07,396610.9,2063819.14,0.740818,1857530.12,139,37259299.03
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,13,2037,2433298.42,48665.97,635543.17,1781133.79,0.722527,1758124.67,135,39888746.54
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,14,2038,2361383.58,47227.67,378114.45,1917988.6,0.704688,1664038.89,131,42453272.77
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,15,2039,2291594.15,45831.88,547959.2,1880986.17,0.687289,1574988.09,127,44954480.61
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,16,2040,2223867.31,44477.35,526032.91,1686940.22,0.67032,1490702.84,123,47393933.41
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,17,2041,2158142.1,43162.84,386244.28,1577523.15,0.65377,1410928.09,120,49773155.91
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,18,2042,2094359.36,41887.19,275129.16,1714265.55,0.637628,1335422.49,116,52093635.19
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,19,2043,2032461.68,40649.23,241126.7,1763279.32,0.621885,1263957.55,113,54356821.64
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,20,2044,1972393.36,39447.87,523349.45,1679495.21,0.606531,1196317.05,109,56564129.81
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,21,2045,1914100.33,38282.01,538501.05,1458010.41,0.591555,1132296.32,106,58716939.35
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,22,2046,1857530.12,37150.6,500307.43,1321841.2,0.57695,1071701.65,103,60816595.84
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,23,2047,1802631.8,36052.64,188065.62,1508763.67,0.562705,1014349.69,100,62864411.62
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,24,2048,1749355.98,34987.12,201104.79,1535418.38,0.548812,960066.92,97,64861666.65
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,25,2049,1697654.7,33953.09,398879.74,1410224.69,0.535261,908689.08,94,66809609.27
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,26,2050,1647481.42,32949.63,245739.6,1342323.51,0.522046,860060.72,91,68709457.03
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,27,2051,1598790.99,31975.82,173699.03,1355079.51,0.509156,814034.7,88,70562397.37
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,28,2052,1551539.57,31030.79,207789.66,1271442.64,0.496585,770471.75,86,72369588.45
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,29,2053,1505684.65,30113.69,218167.83,1044479.34,0.484325,729240.07,83,74132159.83
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,30,2054,1461184.94,29223.7,286828.76,1043077.45,0.472367,690214.89,81,75851213.16
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,31,2055,1418000.4,28360.01,348670.41,1031613.96,0.460704,653278.15,78,77527822.92
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,32,2056,1376092.16,27521.84,231863.98,1091912.41,0.449329,618318.06,76,79163037.03
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,33,2057,1335422.49,26708.45,209652.86,1009042.06,0.438235,585228.86,74,80757877.57
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,34,2058,1295954.79,25919.1,340997.27,927698.83,0.427415,553910.43,72,82313341.35
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,35,2059,1257653.53,25153.07,146441.58,937796.47,0.416862,524267.99,69,83830400.59
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,36,2060,1220484.26,24409.69,225637.46,962390.72,0.40657,496211.87,67,85310003.51
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,37,2061,1184413.49,23688.27,206662.08,992517.59,0.396531,469657.16,65,86753074.9
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,38,2062,1149408.79,22988.18,123979.71,880853.45,0.386741,444523.53,63,88160516.73
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,39,2063,1115438.62,22308.77,196820.46,902965.08,0.377192,420734.92,62,89533208.7
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,40,2064,1082472.43,21649.45,317440.72,846574.71,0.367879,398219.35,60,90872008.78
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,41,2065,1050480.53,21009.61,312387.04,777828.18,0.358796,376908.7,58,92177753.77
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,42,2066,1019434.14,20388.68,108237.02,726991.75,0.349938,356738.49,56,93451259.81
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,43,2067,989305.31,19786.11,177110.36,735317.77,0.341298,337647.68,55,94693322.86
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,44,2068,960066.92,19201.34,114642.38,735922.04,0.332871,319578.52,53,95904719.27
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,45,2069,931692.65,18633.85,156173.26,656399.69,0.324652,302476.32,51,97086206.2
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,46,2070,904156.97,18083.14,143962.97,775122.21,0.316637,286289.34,50,98238522.11
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,47,2071,877435.1,17548.7,140749.16,721945.78,0.308819,270968.61,48,99362387.24
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,48,2072,851502.97,17030.06,189382.28,651771.23,0.301194,256467.77,47,100458504.04
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,49,2073,826337.26,16526.75,122136.88,622895.45,0.293758,242742.93,45,101527557.62
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,50,2074,801915.3,16038.31,175155.5,601557.28,0.286505,229752.58,44,102570216.17
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,1,2025,3609253.34,72185.07,444994.05,3089352.62,0.97531,3520140.56,194,3673066.83
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,2,2026,3502583.78,70051.68,658705.0,2819725.88,0.951229,3331760.76,188,7255445.32
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,3,2027,3399066.79,67981.34,673294.19,2904547.79,0.927743,3153462.07,182,10749374.57
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,4,2028,3298609.18,65972.18,690685.78,2560236.25,0.904837,2984705.02,177,14157038.39
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,5,2029,3201120.55,64022.41,912063.9,2637524.61,0.882497,2824978.97,172,17480566.7
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,6,2030,3106513.14,62130.26,379957.56,2222837.18,0.860708,2673800.64,167,20722036.8
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,7,2031,3014701.8,60294.04,776058.32,2553965.72,0.839457,2530712.59,162,23883474.72
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,8,2032,2925603.9,58512.08,611562.87,2313833.93,0.818731,2395281.88,157,26966856.46
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,9,2033,2839139.24,56782.78,642743.06,2179956.85,0.798516,2267098.73,152,29974109.23
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,10,2034,2755229.99,55104.6,650344.0,1933334.56,0.778801,2145775.27,148,32907112.67
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,11,2035,2673800.64,53476.01,781433.87,2219337.32,0.759572,2030944.43,143,35767700.0
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,12,2036,2594777.89,51895.56,587029.16,1928606.06,0.740818,1922258.74,139,38557659.17
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,13,2037,2518090.61,50361.81,332869.16,1918454.15,0.722527,1819389.35,135,41278734.0
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,14,2038,2443669.79,48873.4,567702.0,1971410.93,0.704688,1722024.99,131,43932625.26
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,15,2039,2371448.43,47428.97,418627.6,1903460.34,0.687289,1629871.08,127,46520991.71
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,16,2040,2301361.54,46027.23,604681.96,1577024.0,0.67032,1542648.77,123,49045451.16
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,17,2041,2233346.02,44666.92,424613.15,1857498.56,0.65377,1460094.15,120,51507581.49
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,18,2042,2167340.67,43346.81,453470.29,1756185.78,0.637628,1381957.43,116,53908921.6
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,19,2043,2103286.08,42065.72,427672.26,1847473.72,0.621885,1308002.18,113,56250972.42
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,20,2044,2041124.58,40822.49,226410.33,1588421.45,0.606531,1238004.64,109,58535197.79
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,21,2045,1980800.23,39616.0,234295.61,1410244.81,0.591555,1171753.0,106,60763025.44
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,22,2046,1922258.74,38445.17,339485.64,1366933.6,0.57695,1109046.81,103,62935847.82
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,23,2047,1865447.41,37308.95,546086.29,1621741.54,0.562705,1049696.34,100,65055023.04
