reporting_period,LEI,Undertaking_Name,Reporting_Date,Country,Line_Of_Business,Gross_Written_Premium,Net_Written_Premium,Gross_Earned_Premium,Net_Earned_Premium,Claims_Incurred_Gross,Claims_Incurred_Net,Claims_Paid_Gross,Claims_Paid_Net,Acquisition_Costs,Administrative_Expenses,Number_Of_Policies,Number_Of_Claims,Sum_Insured
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,DE,Other life insurance,3455050.75,3209611.4451264567,3289476.8821208277,2745420.412079016,2109105.073222764,1971982.4057105188,2148032.2938914704,1509926.0845462624,535438.1103718792,196168.49153780064,8300,380,76497762.2371433
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,DE,Annuities stemming from non-life contracts,29767211.93,27253837.347190455,27824514.20489,24862916.43256973,18110556.02440576,16443117.098517606,17712116.386431463,15698683.055657646,3060368.1834333385,3410001.7835812476,8541,279,711094719.1400335
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,FR,Insurance with profit participation,12637880.15,11061814.376939375,12162126.996820955,10681301.117059754,8487616.218365679,7282366.132971317,5612520.205255041,6785638.891369709,1695700.6113440206,747854.0182611829,782,97,334807226.63811785
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,FR,Index-linked and unit-linked insurance,28108431.39,26480841.75937137,26585832.551722102,21728881.88875386,19102487.348954283,13440111.324760837,17806602.874096278,11024782.119326195,2959159.6944171647,2205515.6136629856,5320,163,583178753.4837
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,FR,Other life insurance,24250560.99,21060339.6251301,22600401.938105695,19289519.019994818,16424379.84407884,11806712.499939226,13408472.712783331,11643224.94586276,3673238.090512221,2804318.457110329,7125,404,695598687.9358388
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,FR,Annuities stemming from non-life contracts,28490117.31,23837890.258018788,26473289.69660569,22831610.754228003,22044834.91413848,19744032.17040407,17516614.089851968,10692457.148153594,4978442.865550196,2268812.2559347856,4486,206,431330528.790145
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,JP,Insurance with profit participation,14387024.74,11609039.534580832,13783797.718309935,11618302.033655794,9615693.63259946,8679585.420461489,8879675.610917524,7225701.3609137265,1775429.160116459,1544590.2532380451,6546,292,411234860.36050105
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,JP,Index-linked and unit-linked insurance,5353279.06,4709761.098508521,5031631.769348615,4057787.68827264,3839032.738896475,3563638.761138098,2359327.466258062,2873935.385925688,885108.8758236648,610294.3211806332,9568,321,101601362.58501898
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,JP,Other life insurance,27310685.83,23162176.626798358,26181762.06062147,20717511.296054617,15320482.861079307,17208280.246819235,13959037.591069192,11168629.765696619,2704887.183172827,2646316.5431697513,6132,267,409824784.0908445
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,JP,Annuities stemming from non-life contracts,24564952.74,19943976.616386797,22929031.85462931,20036653.950488314,16488357.01367551,13234338.293725077,11795550.889995566,14043800.25383864,3541233.6740688244,1268541.6978810893,9517,219,526983054.01231676
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,CH,Insurance with profit participation,26500243.59,22398494.22773927,24555627.734665092,23291737.493453484,18590012.51580387,15703464.710456531,10955045.406077618,10131434.59275905,3769790.5518454933,1710528.9490728083,6264,409,597873352.3464596
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,CH,Index-linked and unit-linked insurance,17256687.21,14539209.003643736,17021819.570789263,15413999.135643303,12607621.38300244,8101988.183731426,7360538.020701754,7995708.439658305,1657872.9765460347,2044547.8383731658,7934,188,299883319.57600504
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,CH,Other life insurance,15649099.39,13374004.503275683,15097578.954856614,12080106.15239868,10290520.80239629,8116816.31583305,9732767.716802822,5623264.650392247,2681829.188108271,1694947.5340852332,5523,178,304587196.6070374
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,CH,Annuities stemming from non-life contracts,24100138.33,19392948.332290344,23803238.809200764,20232575.610749695,15082354.75176039,13029638.643416878,10040149.883062633,13919044.248880224,2022705.197738646,2309841.5747816022,4277,111,521552031.4707978
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,GB,Insurance with profit participation,28569654.11,23909942.411757246,27348189.33734782,23769968.088793445,20733472.558509268,13342101.550205382,12811983.747761266,11409288.75817223,4394443.503486248,1806736.6048009905,3655,211,674311731.5894849
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,GB,Index-linked and unit-linked insurance,8026826.97,7458878.734103847,7914073.985578739,6727635.304653725,5121735.4468852095,4081757.4517621635,3310626.6594046946,3305086.279705895,1167289.8979204062,701168.9028116987,2458,430,234067244.44947937
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,GB,Other life insurance,13095763.35,11839611.199255904,12496666.12518942,10962960.572338937,8079347.106315994,7382575.434855372,6779627.567402218,6711942.51721039,2279500.950688554,956678.1136221392,9279,440,204726160.4969969
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,GB,Annuities stemming from non-life contracts,15896263.51,14015245.929027323,14811992.70625938,13977250.41363677,12657118.092113828,10911889.610165542,7141817.7871382665,8764143.316038862,2391582.729351827,1299825.6954967885,3533,148,367349374.9828351
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,US,Insurance with profit participation,25788804.9,22488359.862601094,24399420.55003661,21504048.447060414,17917609.07700878,12823983.886059895,16123855.382189311,13024971.123583432,3696229.247845073,1469052.4585681125,4045,428,620545930.7579645
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,US,Index-linked and unit-linked insurance,5386898.54,4373109.290741724,5154786.577370347,4409033.921898991,3755759.493160391,2544262.0347107933,2735174.924004156,2101972.8980202763,962692.6843698497,480945.07520614116,8433,191,136350767.4381681
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,US,Other life insurance,11111711.86,9047276.216443576,10981826.619987417,8874524.64114491,7288750.132389571,6805545.498542152,4513292.057902179,5959873.328755711,1485167.1725958353,771988.4382045929,9095,355,176944230.61267555
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,US,Annuities stemming from non-life contracts,6549955.63,6119329.313425654,6340499.155551968,5190730.404558981,3709896.121421001,4078354.946882764,3557293.553839515,2901889.005934132,762160.3362754917,426906.4536100365,5136,101,164038194.7450393
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,DE,Insurance with profit participation,29178704.78,24112035.31654268,28064024.66782647,23988147.572328947,19306737.214085788,14984339.265372364,17690573.64715164,13469146.576738166,3919884.2761017457,2081412.2482097547,3680,201,517254604.89301044
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,DE,Index-linked and unit-linked insurance,4405490.87,3996299.499315544,4113567.18394498,3820938.66682343,2852969.945730726,2440393.913933994,2278935.641861542,1914507.1938367586,396767.30869937286,315760.1513420379,4227,234,109943498.04213649
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,DE,Other life insurance,20641963.24,17399805.336266365,19655425.686082184,16160304.626815392,12438702.975415288,9407817.745919555,12884437.625698121,8225048.958026816,2121031.651557716,1436104.7366158501,3439,204,349078739.58624494
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,DE,Annuities stemming from non-life contracts,19899360.73,16143783.093739744,18494349.84606165,17105662.484036744,12634405.704683963,12476639.623886622,10732843.310504826,8136547.521271825,2887054.8743953714,1156932.0700286909,731,412,458603766.6334052
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,FR,Insurance with profit participation,14240146.94,11964301.429099692,13703013.57922134,12789456.331076227,11388218.2429207,8571723.9058919,7136826.55548214,5721657.334772303,1505320.3642685767,1189933.0007977006,9251,114,292053530.6103409
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,FR,Index-linked and unit-linked insurance,27586806.63,23593459.68133852,26101012.160206396,22488788.685676064,20942663.63804063,16902355.87456647,15270461.979979174,11775508.277911494,4463280.9672145825,1453423.88123599,4994,73,774139797.5586346
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,FR,Other life insurance,16356997.19,14062724.447886651,15617688.881756138,14123623.26527572,9048549.4659206,10924641.552256709,8369628.166045098,7015226.568269599,1534688.0080606232,1321033.2320438335,1393,333,367130210.47847396
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,FR,Annuities stemming from non-life contracts,13302107.45,11995827.383516869,12629855.613562107,12150690.174721755,9309072.581114678,8671237.918386469,5684508.973363519,5871244.245074648,1512247.0278935544,1195377.4867512884,5286,407,371350980.3075722
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,JP,Insurance with profit participation,4193470.1,3400427.116842105,4107597.223926159,3296841.2551693274,3007507.749203247,2456197.3489997196,2550566.636660278,1588362.5537453275,389901.70662470954,373123.58514706773,2568,376,122431210.2920489
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,JP,Index-linked and unit-linked insurance,13619937.23,11563889.416496998,13108757.186604649,12369303.683477994,10340691.613845928,9518577.826420052,5524820.563646603,5120515.825282878,1919686.2464761885,1463330.8332300754,8542,102,262574209.01146188
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,JP,Other life insurance,8697910.46,7985085.123580692,8036405.925346896,7069618.568005681,5883721.584987574,5132525.355969703,5063521.53239561,3754144.4167881715,1228740.193822351,791303.5339044267,700,343,201915394.04910964
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,JP,Annuities stemming from non-life contracts,19933532.21,16722586.529251497,18456964.03912809,15354325.129278613,12082622.755107524,11462767.409279736,12161661.043667521,10191964.56083079,3167519.206685937,1486409.4838118914,5158,290,419995659.04572594
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,CH,Insurance with profit participation,13023092.81,10793291.591237511,12037051.500636525,11075563.977867965,10383366.214846672,6403551.447258048,5361232.309591595,6893022.574867548,1370792.5255562444,1407471.6198446932,8343,275,332857880.3572885
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,CH,Index-linked and unit-linked insurance,28478859.04,24529954.397709664,27520200.51905122,23609695.022064712,20152984.127716813,16016502.535183137,12734551.405077443,13294398.61494232,3783656.219550788,3039898.043231787,6082,144,741384743.1194507
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,CH,Other life insurance,20586165.47,16819063.20268119,19977703.066398658,17190516.107315402,15923911.25773291,13997928.276763704,8518331.863222351,11090746.393693745,1724497.7093028289,1558411.300408099,1341,179,476250637.5376875
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,CH,Annuities stemming from non-life contracts,6146822.36,5605576.652601467,5658671.412969155,4786295.998134141,4273266.0330901155,3863873.4220091794,3867339.5239446852,3148797.222853883,904676.5727387094,477017.2663099408,8327,108,92320762.43321846
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,GB,Insurance with profit participation,5364459.24,4721706.802035079,5188821.973602277,4404039.761640989,3930377.025716885,3113883.9110505786,2245262.490460989,2114475.3048990895,879770.3622264552,540436.5037276277,1570,255,152465601.73244908
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,GB,Index-linked and unit-linked insurance,5291602.98,5019262.061254842,4945841.545009864,3979299.0878386125,4229873.188154037,2753054.193455385,3000364.6234033583,2067095.5548479857,730362.1414066005,599445.7449843044,8556,87,104788118.99556307
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,GB,Other life insurance,20767111.33,17199021.276182488,20014006.115856443,16763140.822746022,12518457.586477855,10971171.726880023,9235347.627019405,11576433.176511606,2486211.3350963867,1394917.5508343393,9953,372,451188703.2843423
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,GB,Annuities stemming from non-life contracts,10975012.67,10005511.74735898,10843152.21508097,9048521.740964329,8398720.086997129,6491344.301950491,4821420.922146273,5584560.903742558,1441496.0247170953,1048579.672011354,1378,127,311090149.4297031
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,US,Insurance with profit participation,14332167.98,13403108.745365243,13938704.5503046,11939596.523501584,10044062.633376071,7616046.461595277,9257137.623132631,7216114.256211928,1209415.4839375983,1044292.4003389733,2944,465,348984227.2349009
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,US,Index-linked and unit-linked insurance,3577331.78,2874681.6754968353,3403837.2585683195,2885323.1709604445,2359517.363911702,1844734.5824567825,1578245.2197172807,1819083.8423373788,470265.7031294877,228987.85045622353,9721,205,70809137.86667787
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,US,Other life insurance,18570621.41,15057698.710218884,17276652.27795932,14159202.842750262,13985151.188153727,11849956.388342155,10925620.879296701,9559317.048318751,2728740.0408345596,1548593.6098283194,1895,177,457471890.36601067
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,US,Annuities stemming from non-life contracts,3074123.53,2745867.5847120625,2995584.0986637324,2567080.4270452783,1965527.9753016967,1596566.60182569,1723662.6388838745,1565787.2227536931,513676.08166050666,227372.58456100043,2440,335,81607480.3931463
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,DE,Insurance with profit participation,17717963.08,16520680.116126642,16955148.914957114,14847601.162072526,12304580.892437045,11292168.835422685,11360272.803877547,6501067.420628255,1512112.277635852,2048701.9124677335,7318,360,406594197.7488522
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,DE,Index-linked and unit-linked insurance,19217284.41,16764458.261691365,17805890.59047118,16922263.95385318,14159413.556207173,10145300.829667257,9158185.432264477,10429287.848185552,1676433.7529142748,2146135.5966758355,4197,447,362244376.52821517
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,DE,Other life insurance,18603572.94,17494783.749071248,17998372.20417146,15263358.496605977,13438915.104499275,9971420.386521567,8730928.468945244,10775880.642601306,2885023.9180392646,1769765.305756846,9061,244,378198445.98685765
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,DE,Annuities stemming from non-life contracts,3376503.22,2716932.122290377,3237366.597944056,2969788.4241767325,2310692.4127236675,2229154.8246825878,1378817.487155675,1466594.2274085907,350167.1515166272,274540.46420410357,7881,276,54313235.17007912
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,FR,Insurance with profit participation,28715685.96,23934188.565897245,28272360.113947697,23615832.865732983,22868627.657139514,16899600.317737166,18168650.436229955,10085818.058295785,4445873.934937603,3251004.625232531,5371,490,490917868.25281185
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,FR,Index-linked and unit-linked insurance,4691523.85,4052002.9569004383,4622828.32194552,3951228.199618994,3198981.7623467916,2276709.869964797,1877535.5425309187,2516215.4057419035,416407.72309032636,442736.70043404645,7525,206,134737031.3994069
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,FR,Other life insurance,7842253.57,7056388.597250441,7258075.477989688,6686606.335968286,4634637.994470375,4971897.715826091,3727484.4772483124,3580615.601913952,1097468.9164183151,486134.54463703756,9816,367,204875481.01051575
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,FR,Annuities stemming from non-life contracts,10473929.54,9419789.06050074,9752064.363228103,9080687.454218697,6096319.457621291,5827056.785828269,4836876.56555026,5468714.154357863,1112367.9806218585,1170149.622896878,1486,362,297221873.9493115
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,JP,Insurance with profit participation,7500356.83,6690895.007930974,6946382.236523008,6124501.17556323,5462738.132963071,4611637.986842887,4171512.2151223556,3112531.068700683,883560.7475400722,429067.1388667472,2125,440,193399268.28247532
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,JP,Index-linked and unit-linked insurance,16108886.31,14599722.796783712,15100889.610899445,12970142.284249013,10205846.688245373,7352669.227490836,7817029.876423963,8614388.87933416,2734158.8502166555,1389798.7106237195,3904,370,351697669.9844803
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,JP,Other life insurance,2863089.32,2668057.538355757,2636649.6326177376,2607150.6470022304,1924866.580197334,1533137.443173352,1806765.710536284,1018142.9881318735,395514.2862881806,253169.4653806284,3957,185,52365348.27549634
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,JP,Annuities stemming from non-life contracts,14008848.08,12577698.569097774,13601179.166594325,10508343.2620016,10985925.787842985,6880184.372789084,6421587.436370366,5752017.506983028,1173689.501132232,821109.6993708774,1830,130,417397114.56366706
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,CH,Insurance with profit participation,10826068.65,8848093.54791456,10041063.78968986,9443668.397656724,8267242.51323904,5567176.701063515,4387019.413994819,4344617.234108414,927269.7668367869,619658.680241346,4429,138,232464077.6775451
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,CH,Index-linked and unit-linked insurance,8437714.38,7403182.097780356,7912420.781696887,7677403.253775265,6551767.020411426,4992608.47672965,4122717.8554522437,3692881.99431043,1022526.3435924154,851623.1746278069,9543,88,183727728.40587083
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,CH,Other life insurance,25988438.5,24471083.19234829,24520513.536248,21968496.462908614,14911233.915374024,12997266.704757396,13081707.812500587,10328497.39317166,4357118.92063924,1587374.8091690987,3064,51,567455276.0668801
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,CH,Annuities stemming from non-life contracts,18959578.73,17135280.219583154,17951210.802806683,17020901.92450155,13121541.223657174,10615031.019960728,7902545.015791178,8662225.36475723,3072846.8774478585,1763579.6537446976,7193,280,521055424.314408
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,GB,Insurance with profit participation,15832326.78,12947190.087895773,14580857.172355175,12690359.146454476,11470483.037519833,10252460.311084075,7503544.592955088,7346205.987398721,1933315.353223597,1246583.5000741093,8199,199,292426728.11275923
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,GB,Index-linked and unit-linked insurance,5818390.94,4826374.390782123,5375455.847011185,4559769.564237503,3213498.621845844,3530684.571824817,2787555.3269958263,3338728.194623305,578183.4285160331,431771.1544197746,1034,168,118506760.430985
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,GB,Other life insurance,2236641.89,2070864.661328381,2062719.7492864714,2034965.169923079,1728965.7551626402,1305931.5381327327,1198613.9145163074,1119146.0920254143,265500.57822185685,213164.40748323666,5220,411,35051591.15232708
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,GB,Annuities stemming from non-life contracts,3513333.57,3051627.3033711794,3367437.3380907536,3165264.095871103,2024260.3931415232,2303559.251225302,1589825.0183493353,1548112.6311906262,392299.6818622886,274078.20523593616,5132,409,60631116.83268428
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,US,Insurance with profit participation,16099962.08,14815931.958699701,15309572.77128914,13417777.754542015,12271260.628440581,10086860.153987149,8414059.176784342,6589231.465726167,2712725.673178172,1455298.565062305,7938,86,294906453.2529718
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,US,Index-linked and unit-linked insurance,9535353.07,8777006.090781022,8801990.870868426,8759706.180322407,5555181.510837024,6188607.495893515,4755221.735184772,4416868.2462151805,1602559.6643424134,752375.4320500799,4324,185,219908186.7629085
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,US,Other life insurance,3380390.55,2705502.7467716867,3167885.648413536,2926401.1439847033,1961695.477389496,1617315.7101230968,1699458.0589567053,1686823.3992477837,511139.38735145767,211245.8355654293,3741,267,54741443.569026895
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,US,Annuities stemming from non-life contracts,28331116.95,23772639.02539505,27756965.753583796,25407162.84812583,21053721.295935437,13944813.791291064,17153085.09295285,14928448.270777045,3957072.2379452926,2085287.568090473,2380,328,536524183.76785094
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,DE,Insurance with profit participation,5412897.94,4744207.7985992255,5201623.121918689,4390334.55285918,3620361.396552524,2927720.7373635806,3032584.267799687,3016551.824136251,521760.2000758169,415161.7842995729,4183,381,92631079.7420444
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,DE,Index-linked and unit-linked insurance,19498425.57,17730514.562914703,19210509.698200077,15548204.972119533,15356039.68183676,9082672.13096369,10738825.461123142,7080668.506917352,3302592.9932463486,1698052.2510914635,2941,186,488244968.51625943
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,DE,Other life insurance,25284069.93,20797325.587515976,23329646.95815262,22740740.147581246,15896936.898088062,12193109.40038137,13074779.64150105,12328775.38671166,2101031.8846709044,1750737.1697777912,2830,86,391700763.6736837
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,DE,Annuities stemming from non-life contracts,13769390.9,12864260.049222173,13614976.390087783,11818241.82863362,8129578.142473637,9314474.491856746,7284860.879728931,5306204.722158771,2370712.7534635016,1418561.6667840832,1477,134,357667902.3557427
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,FR,Insurance with profit participation,21857059.71,18142473.68279935,20431333.94339027,18950285.180481907,13222006.15770209,12232695.237027813,13015889.032833947,11590997.208009953,2739261.7394358153,2304898.9802780272,5539,354,602802995.7541257
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,FR,Index-linked and unit-linked insurance,20333721.04,16963688.965874545,19097040.89408234,16338612.458418725,11777312.107747072,10538762.347998692,9198564.780922053,9246263.753423015,3473889.251269628,1165399.2050532075,9825,197,524691721.1940942
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,FR,Other life insurance,21243924.12,17300268.53558637,20916344.261951733,17985961.74558129,13615897.608878486,13577727.919406645,9864432.715348333,10823933.623577686,1783876.1176378392,2310458.6519682636,7695,113,461472473.8037553
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,FR,Annuities stemming from non-life contracts,19827401.6,16519906.945362333,19180932.340957746,17473509.273911238,13250717.85469321,11984310.670626475,10192899.978029428,11016917.548434915,2573337.3466320303,2159731.634100436,8179,402,535741960.23466235
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,JP,Insurance with profit participation,13494135.0,11261026.679179676,12798185.098249462,12015946.347369615,8189700.292184805,7841564.462477789,8117048.585010825,5820017.986833542,1946137.1540015393,906727.743433404,5482,408,224531498.8278461
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,JP,Index-linked and unit-linked insurance,24242758.3,19754097.502487153,22763869.985762183,21706204.60138123,15433359.861255363,16806567.040802706,15634968.989033494,9980828.070954528,2038763.1777567777,2408625.429963665,7094,189,527638726.2039916
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,JP,Other life insurance,4821079.63,4368517.281550283,4445914.029950061,4329008.604066346,2818707.517439033,2322931.0098207165,2140164.3863229086,2752167.603969087,719868.8386859949,511497.3004979893,8699,326,101071643.39837274
