LEI,Undertaking_Name,Reporting_Date,Country,Line_Of_Business,Gross_Written_Premium,Gross_Earned_Premium,Reinsurance_Premium_Ceded,Net_Written_Premium,Net_Earned_Premium,Gross_Claims_Incurred,Reinsurance_Recoveries,Net_Claims_Incurred,Gross_Claims_Paid,Reinsurance_Recoveries_Paid,Net_Claims_Paid,Acquisition_Costs,Administrative_Expenses,Other_Expenses,Total_Expenses,Combined_Ratio,Loss_Ratio,Expense_Ratio
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,US,Other motor insurance,24363765.27,20912568.77074752,6490367.716519047,17147185.85846698,18504567.70537535,13891820.715255266,2946071.6453286307,10294450.804319154,9756560.592082245,1540144.9480185607,8309022.887001282,4823876.501800532,2287400.888385104,913635.2217429817,7887505.439223062,89.39,57.02,32.37
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,US,"Marine, aviation and transport insurance",36274184.88,31019885.42540392,8927127.30019098,24339471.510286454,23520508.058935974,29057176.039274503,10092502.13867729,19715268.04050868,23239279.40724108,5599996.602692737,19631500.0972682,7471207.713265293,2681873.169576251,1436010.768684554,13311815.062495232,116.8,80.1,36.7
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,DE,Medical expense insurance,28297023.95,24174611.74890889,4689261.115690125,20639415.058097806,17729306.544139754,15018738.125746401,3957560.194002823,11833158.545404844,12917877.08419749,1952774.4281921878,8138213.323766389,4540449.46073423,2529918.2892264314,1765410.1121496095,8562510.787991177,83.33,53.08,30.26
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,DE,Income protection insurance,6421376.52,5910032.827122363,1873835.3921722237,5292458.874173617,4769910.123846801,5314808.22751799,1649427.4365540096,3815447.8831185084,4586493.602968242,595350.0794585408,3846348.845196652,1314836.160676461,534024.2438472782,302697.8911063495,1655403.2070830737,108.55,82.77,25.78
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,DE,Workers' compensation insurance,33960996.28,29227237.45509005,5504072.821978757,23753021.984198913,21460257.025563557,23237503.723441705,7537240.33346057,16123174.589729719,20801587.109544083,3498042.954698111,12676743.29770125,7776044.248338729,3650537.4711572835,1694373.2979906192,12217075.424022973,104.4,68.42,35.97
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,DE,Motor vehicle liability insurance,29991359.79,29377238.98466686,10345778.457855195,23395214.191481937,19191725.76183888,22545123.647819944,6448934.514043531,14979874.782605244,15919799.443942955,3125936.2522939015,13880034.764411958,7102771.279046746,2635049.863916808,1936313.9055412735,8525590.198949754,103.6,75.17,28.43
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,DE,Other motor insurance,24147200.05,23625486.349827874,3815784.9412761913,19882956.629803915,17282998.200962614,14997276.53926437,3565198.8280839855,11923607.689614978,11957835.317008521,3464573.1295259977,10875657.003134118,4640417.966148475,1782625.1908799508,1341160.114053629,7380732.097914061,92.67,62.11,30.57
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,DE,"Marine, aviation and transport insurance",46056350.55,42929254.623202115,13661354.653125638,31148533.342954617,34227467.43116792,26423991.343566366,8767652.192952797,18125183.35599261,19752162.49279856,6492619.467777505,14407529.029728327,10843438.518992381,4331579.128963557,1604320.6727739512,15817822.740530346,91.72,57.37,34.34
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,FR,Medical expense insurance,44183745.56,39619579.5787287,11867319.743877238,30164454.049856506,29966136.75772704,28978211.709249046,9965098.858424705,20331886.663421575,24090959.01693506,4311335.14995203,20092572.85151475,7205810.686568533,4994823.34427407,2086682.2092570283,14457920.236385286,98.31,65.59,32.72
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,FR,Income protection insurance,15622270.85,14334536.64516509,3396291.607403978,12744284.141475555,10719650.830106102,8213000.557684215,1640488.1755458778,6352172.786324922,6910052.725666683,1027087.348180492,4450664.458055743,2400629.723901179,1336025.025739861,934653.4643178488,4303368.308330923,80.12,52.57,27.55
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,FR,Workers' compensation insurance,26358389.41,24410400.774849642,8531004.916557562,18218081.67065495,16405037.82814086,20967035.40282062,4276225.241337859,13867961.438365484,16904334.841673866,5042380.246606829,10689747.053927548,4275620.47792979,2618042.850487247,2004094.2705362656,9775022.496620765,116.63,79.55,37.09
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,FR,Motor vehicle liability insurance,19227024.72,16713756.802952461,6678046.060725277,16208838.274822004,11555211.059108444,13026928.031923667,4433875.930517611,10132657.107488394,11380111.454407018,2191272.3090808126,8192622.1054237215,3823960.236288727,1478142.3807893696,545645.1820427186,4926654.538296444,93.38,67.75,25.62
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,FR,Other motor insurance,6348811.54,5563088.647409512,1807420.851820703,5358285.25922217,3928518.513603624,3858651.9783399873,1097865.295576008,2850579.318242669,3371028.1503048507,488399.10566104896,2597476.6143717705,1484425.3332768364,771638.4537416272,387245.008801253,2258285.688771764,96.35,60.78,35.57
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,FR,"Marine, aviation and transport insurance",27372864.38,25297433.74012461,4272285.829797695,22888908.324370082,20198583.076473787,19605719.23975479,5593564.186660142,13589410.802820805,16307588.17593541,3118871.167343727,12994832.346763685,4397705.313247385,3109487.9322188045,2188866.270101858,10410878.839886295,109.66,71.62,38.03
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,JP,Medical expense insurance,7169541.75,6905687.905599439,2197300.3410099503,5473251.488714562,5360593.5371963745,6036832.763778924,1966215.2193575602,4411886.803437723,4620631.83555868,1208205.719805744,4237624.094488671,1621954.7724185323,712864.5032282259,330766.80066928297,2229986.9794214973,115.3,84.2,31.1
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,JP,Income protection insurance,41802539.73,35563453.23295435,8984083.369540213,30235455.398695678,28393728.774187386,22660035.199562468,6550867.556681103,16489970.930087844,17895507.296182875,3073417.275015507,13444492.283936385,7220425.721809018,2925184.7068632375,2349591.8225902594,13864789.00500904,87.37,54.21,33.17
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,JP,Workers' compensation insurance,35069575.93,31540599.95366687,11315785.384816626,26436019.970042907,24402686.606363166,25138630.269550152,3899715.8227636153,18055810.269003823,19508560.606837206,4017741.7917611636,16215499.805428788,7131757.892387964,3262903.892307471,2310839.415694263,11205574.91682504,103.63,71.68,31.95
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,JP,Motor vehicle liability insurance,41584358.24,35445269.23645505,7865914.114434035,27092732.31648308,30335579.036949325,31244119.66177468,10298252.735530721,21830155.78210426,27663759.4128852,3406862.1992639555,22920967.590333533,7699854.115148444,3520093.7628211654,2043967.0823621908,16356315.511909828,114.47,75.13,39.33
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,JP,Other motor insurance,16554945.55,15799930.219301749,4268398.948105465,11791451.009264685,11953775.840007551,9928092.158227542,2911215.802307062,6994587.143613347,7770815.229138457,1174323.670941085,5413662.938259591,3610828.7310523144,1113768.828497338,852741.9842877166,4901811.683112413,89.58,59.97,29.61
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,JP,"Marine, aviation and transport insurance",36907081.78,32601987.38617019,12643826.453510644,27558854.90257105,28093615.6577245,19834121.259368367,5157770.180355307,13064388.706753198,16395485.113371402,4813949.514321113,12900171.077647096,8559449.289812947,4113795.625659157,1243207.1633409802,12367446.217695592,87.25,53.74,33.51
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,CH,Medical expense insurance,14542017.8,13948441.272056475,4798933.126173095,10480203.567744136,9414125.856980575,10380722.645366453,3177592.175080623,7318006.766747776,8974372.068676043,1697878.6573406071,6922773.911804992,2320230.293431233,1330523.6273052592,685017.1735396881,4532081.94863538,102.55,71.38,31.17
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,CH,Income protection insurance,31397380.84,30209417.61006429,6070619.5353271095,21009334.81631957,18986866.441723183,17545012.543483723,4884431.487089791,13534552.648914782,14199871.373150297,2364928.4609652846,10487118.922113175,6576107.115620777,3107436.2955674347,2488780.30678546,11319731.050151426,91.93,55.88,36.05
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,CH,Workers' compensation insurance,11139788.87,10088927.469083263,3269745.851103164,8783581.271841768,8892349.819192884,8280211.683177174,1454658.131594832,5554547.581097614,6995683.925457649,1546396.0844567118,4707632.930167624,1759439.8307725934,736573.927037005,820461.6305943346,3460551.0744290454,105.39,74.33,31.06
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,CH,Motor vehicle liability insurance,13634029.61,12218129.08736992,2234409.787028044,10277494.558220752,8364784.104804852,8360114.9135202365,2592231.712463775,5824846.666078008,6754992.771616923,1939645.837101998,5540409.856721183,2771740.6657720967,962783.839545875,545090.068769327,3872043.4173888233,89.72,61.32,28.4
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,CH,Other motor insurance,35126912.98,32404993.2762737,10402136.325393317,26100740.849099554,21498670.754990224,29785822.881063055,7817568.105024487,25065516.29483196,21894384.49506303,6061436.807864046,16389155.255840858,7151234.1914760815,2631714.941085439,1651746.7007997436,12268983.389288923,119.72,84.79,34.93
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,CH,"Marine, aviation and transport insurance",39027349.8,37209006.83285781,13091161.087525168,27199269.0912746,26533258.265399445,24261353.30994787,4378766.746392776,20585678.231497865,21481006.91725851,4391148.937489118,17237893.46837536,7887263.391009643,4006585.8729182254,989244.419275088,13649298.818652583,97.14,62.17,34.97
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,AU,Medical expense insurance,38987168.92,37102671.53204469,11374465.188411953,25623617.97074608,25755924.63553648,21236299.965946995,4302952.486779621,15333187.933410285,15237651.508186176,5108257.604393949,13558327.6093689,7039228.128879092,3783601.091298985,1825853.0376869102,14577697.965999916,91.86,54.47,37.39
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,AU,Income protection insurance,32026745.0,29291829.206373796,11159130.09809049,26271058.25166759,20551629.614628244,21793809.236403584,7325314.30231245,14673189.419071032,18818735.066924658,3423665.6409843946,15680505.831762021,7584114.775961534,3986548.0417253566,2158661.0995507,12423456.092177749,106.84,68.05,38.79
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,AU,Workers' compensation insurance,18710561.26,16326053.409809694,5407169.173322643,13457008.8460909,14877179.64181407,9885196.450926008,2750006.4484622506,8051454.082820706,7181644.000577775,2266697.0202138233,7223007.2516453685,3717904.375947485,1689953.2107097534,1232812.4631226342,5808638.113202696,83.88,52.83,31.04
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,AU,Motor vehicle liability insurance,12867738.23,11182432.783427106,2876028.0818123408,8539474.535841422,7787071.110368623,8697280.16532341,1539707.8419358332,7328528.49884977,7043978.582286209,2129731.9053464946,5289028.887347983,2331397.572143196,1099937.6321457685,596686.0461012132,3986418.280003002,98.57,67.59,30.98
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,AU,Other motor insurance,9754910.79,9077397.450956292,2731767.3488809066,6637289.789526563,5972638.501892867,7065376.631090598,2163081.427595827,5242227.4440219505,5027953.466071403,1760903.4473676258,3634748.671894058,2141237.283842242,957450.6380166048,335089.0505621554,2754842.677142232,100.67,72.43,28.24
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,AU,"Marine, aviation and transport insurance",11401221.59,9840804.290169572,3288480.205037301,7552834.552244078,8002339.867177025,6184988.602215344,2160660.0265212124,5027121.959327349,5090517.064214767,902625.1333143904,4057191.4602160207,2311074.890217473,889111.0699022097,317439.9099596438,3368961.4715237156,83.8,54.25,29.55
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,CA,Medical expense insurance,44897189.69,40309088.21025916,10453230.864612797,36613998.473085865,33525758.61467542,29516518.18922333,8968918.105628125,19250857.726426825,23118246.14381452,5082792.329975379,14899881.391596757,7901066.745199336,3936534.310951015,1267294.221787297,12534997.997174174,93.66,65.74,27.92
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,CA,Income protection insurance,29088955.92,25637731.345833868,10040773.116012687,23570996.89116168,23035990.093703214,16735477.179153819,4143215.6206505815,11245357.696188873,13548906.729971679,2814180.9449033267,11900418.261888344,4648655.374895273,2001489.3994381756,843664.6579882902,7325126.081899871,82.71,57.53,25.18
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,CA,Workers' compensation insurance,19610416.71,17627126.57155506,4488731.347493687,14548759.378400853,14845150.335777735,14866166.198074864,4882300.779419918,12503440.87361929,12745963.643032229,2189950.319638811,9990564.325873915,3799720.4681324065,1501340.5274762828,1381598.8585282923,6302841.259265431,107.95,75.81,32.14
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,CA,Motor vehicle liability insurance,6729185.7,6277227.963548431,1896760.8519092132,5578653.405115747,4894365.124172623,5488436.215798421,1497172.4965081776,3640646.634923005,4410955.223499791,672472.5689660192,3756057.6586501403,1354061.4974759181,648800.0645597375,151409.19520866516,2148101.5583737525,113.48,81.56,31.92
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,CA,Other motor insurance,8815640.72,7574957.194411978,1343694.901467557,7416601.003117168,6589706.176997445,6618017.7299728105,1460267.4764168272,4694207.071388226,5095480.845918325,1430802.3935887471,4403249.472523144,1485607.8669255974,519893.7515154986,228358.05617705695,2299230.6211556103,101.15,75.07,26.08
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,CA,"Marine, aviation and transport insurance",34713622.39,29601098.842366047,5777538.605686668,29283440.108696524,22879365.12248975,26643761.581561524,8095563.868037725,20647122.467463057,20685894.846584924,3486418.5143015278,14130428.486950502,7341976.152245436,3180452.4590918785,2035407.394564498,10058513.84180386,105.73,76.75,28.98
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,GB,Medical expense insurance,28863596.0,27531045.887159947,6019918.793446763,24418430.93572016,20792651.008620117,14855600.107692767,3958787.63695117,11878755.270979384,12810785.545659652,2948417.561235057,7903534.84972456,5305901.063295278,3870079.099690011,966264.7765332254,11409009.321052723,91.0,51.47,39.53
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,GB,Income protection insurance,21747516.07,20218277.404131044,7364038.797816348,15182779.169201856,13576980.268726267,14162567.669356544,2683722.985471951,11717895.768451968,11743065.235715881,2023632.904394864,9970259.769115116,5135393.194312966,2246422.6434903806,1634012.4948485363,6870274.078692743,96.71,65.12,31.59
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,GB,Workers' compensation insurance,16350845.91,15687979.540817289,4834914.648328218,13167164.352485994,11956267.765989127,12496373.93638186,2317899.340530389,9484815.09543425,11208422.009254897,3006730.1640056833,6383065.754878433,2722113.052067707,1146537.7599513894,1039240.0567155143,5217243.03080975,108.33,76.43,31.91
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,GB,Motor vehicle liability insurance,41800339.84,40098706.25980008,12396321.697301252,31703360.78869024,30015550.720987167,24023866.605021086,6046137.184027617,17045166.153866496,19531509.220584396,4884839.950893764,17257081.610947568,8929770.45935863,4279539.043376474,1237469.7211907345,13621807.131154846,90.06,57.47,32.59
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,GB,Other motor insurance,25770086.35,24338300.944196064,8977318.57031248,17261721.765578292,17531360.447755914,12969210.002055349,4020639.182229752,8959222.700016942,10518249.656735063,2723024.3379086955,8481816.166686395,4350054.317197511,1873479.3287102918,1727304.6449965567,7396061.9334163265,79.03,50.33,28.7
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,GB,"Marine, aviation and transport insurance",29940193.14,25586603.91130296,8956511.668199178,20673586.95668852,23701096.891417243,15024898.043832827,3359389.1614719382,10748606.56904836,10964834.185920985,2191240.631309182,10805346.101045687,7474073.221057376,2782870.100681405,1404693.1989261762,10902679.83494948,86.6,50.18,36.41
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,US,Medical expense insurance,37493192.22,33777554.660910636,8718080.831621539,29586763.918664977,22520047.927185968,30375804.16953548,8320475.501472793,21903949.923959125,26087939.440042917,3461280.2366836388,19654681.302993026,7427299.734310932,3766168.8991089636,895757.9414464718,12708566.837497052,114.91,81.02,33.9
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,US,Income protection insurance,31099270.43,28874223.264304865,8872422.42790538,25221439.89834949,20337807.766576935,21661251.58013062,6823508.305009335,16238381.864032565,15496711.860223569,2356368.1193037014,12640630.867314123,7105862.899587904,3180992.863737813,2093506.4116895236,10390235.591833675,103.06,69.65,33.41
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,US,Workers' compensation insurance,28277107.54,25241985.8413957,6696128.589348261,18881192.67662815,18213918.106284864,18495197.811465677,4987138.701626066,14743125.541543227,16639565.40958539,4438237.12770379,12218691.523774657,5432733.781401212,2273221.023839315,1898499.4684057834,7694706.528207746,92.62,65.41,27.21
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,US,Motor vehicle liability insurance,10325128.59,9291565.497652436,2729700.235995211,7925092.429932862,6576025.361081243,6643876.53852438,1477910.991221788,4763010.090669663,4685523.116407615,688496.7177339325,4703361.38817158,1830718.4112144741,1078061.1960378948,391565.3694255353,3881942.1359045487,101.94,64.35,37.6
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,US,Other motor insurance,47330566.03,45600867.30260219,15069423.359682623,32526525.00862997,35996252.052564725,27960714.84340152,6756353.8035230525,20875295.630334567,20318939.479586523,3134122.8756565726,19068783.268099952,9449363.63978824,3951854.3953245645,3018293.563739636,14883026.529336927,90.52,59.08,31.44
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,US,"Marine, aviation and transport insurance",39448080.45,34224998.01700039,11845273.035859894,30824376.263793692,31216170.376429304,21918057.988833964,3589993.8585840943,14496843.430088067,16579639.12554877,3052217.8517030505,12312352.904435148,9492212.427557487,3198885.188762801,1432635.2894806622,13472851.730881091,89.72,55.56,34.15
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,DE,Medical expense insurance,39172921.81,33629859.37780768,9695855.92081517,25725747.76284647,23994614.894020524,25752629.194104854,8531523.903841196,17456395.858045544,20769086.917054594,4163281.811975948,15112565.568100166,9400848.400763823,2918424.9619231955,2343613.3246904477,14357133.739991032,102.39,65.74,36.65
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,DE,Income protection insurance,48352749.54,41428322.688319124,11302874.124243645,33945156.102453545,36079090.33965887,33656359.92632252,11653831.603434062,23603407.57481876,27962879.11679977,4365722.776939392,21584919.59443667,9496153.564231051,6529714.538354606,2732492.9990970916,18882878.665519837,108.66,69.61,39.05
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,DE,Workers' compensation insurance,20727786.74,18225760.49448229,4149564.698022299,16999339.02991012,14763253.297829667,11191626.953981498,2850263.209338485,7531447.600065891,9759411.383042833,2332582.9011748633,5785143.242733708,4576353.505246581,1591267.5807601076,516194.8670735191,5652198.486667854,81.26,53.99,27.27
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,DE,Motor vehicle liability insurance,25623528.87,24930175.629855745,8199403.024484743,20083836.40054546,17743246.052754384,17158634.6922605,3986862.105220951,13387075.733408818,13882817.523916315,1876141.69047301,10777778.778396754,5909819.96720381,1893775.1341421204,592349.2292968915,7043041.5248677,94.45,66.96,27.49
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,DE,Other motor insurance,40382518.97,35189804.5919547,8724361.069770606,32360543.73730947,28424333.2468335,23037311.348191928,4399579.442633635,19018821.340563994,20178758.153482065,5312099.069439707,12893961.341687256,7879595.983139911,4055509.819353073,2678198.8875798914,11662193.85813552,85.93,57.05,28.88
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,DE,"Marine, aviation and transport insurance",6222533.96,6024648.835051928,1603798.1404147644,4664178.121391228,3864783.111973397,3253275.2042132155,915328.5664960032,2649534.4482757957,2524814.8384714425,703819.3408277143,2411064.597901118,1060174.4651830997,553840.0935414531,231654.22092317967,1988657.8020986447,84.24,52.28,31.96
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,FR,Medical expense insurance,40678448.86,38796209.87475865,9323260.253453938,33885880.66899796,28743626.819435168,28562685.198555175,5186725.555831196,22541094.867502395,24525414.485538345,4213403.129612441,20402177.91837429,9787817.533882318,3391568.1950084306,3214056.653033483,14041686.477966279,104.73,70.22,34.52
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,FR,Income protection insurance,11332018.76,10949208.0074573,3182693.9094949495,7710541.912190231,7797161.903483491,6467245.250452834,1765943.4336170622,4311665.954240538,5668432.288817824,1426289.6972199895,4050446.6519539454,2795752.508741222,826380.960752016,895757.7710338706,3146150.5901454943,84.83,57.07,27.76
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,FR,Workers' compensation insurance,35056399.95,33817177.546377495,8255709.887349154,23924123.79917225,21122234.822529566,25315451.47218807,6631411.289913997,19125315.364981633,21362968.374217477,5912137.828053327,13160279.121119738,7822823.345239306,2198260.223374966,2506203.8792033973,9636767.164972411,99.7,72.21,27.49
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,FR,Motor vehicle liability insurance,41857858.12,37289722.31889466,10223094.53084565,34085999.91610438,28959486.364546042,28851692.953928433,6392371.081212837,21605373.57646852,24975463.691877782,4335867.244157392,15679175.510048697,9259016.902245661,4833786.525650814,1089905.3202555561,14923850.874328947,104.58,68.93,35.65
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,FR,Other motor insurance,15794335.07,14349874.063291496,4734593.075547838,12323206.422628485,11438031.81185789,8681991.146893911,1914161.9054045335,7104382.286772528,6895736.005824852,2143286.1752485437,5717399.681085946,2568577.024079671,1438681.9721222657,623974.8065398423,4772909.253388627,85.19,54.97,30.22
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,FR,"Marine, aviation and transport insurance",35884723.85,34494041.65161871,7013163.711130831,29332468.428587236,23535183.37241894,18817030.604641706,5241980.306045299,14843440.410209924,15101249.459158294,2743459.1125631095,10408849.23684082,5501807.659823241,2434434.425010576,2124008.459038629,9912516.774432566,80.06,52.44,27.62
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,JP,Medical expense insurance,47223716.83,44980503.13501074,13364169.280095058,33153758.51075349,36902454.34592705,38011388.23499599,10800801.497171216,28968027.63412012,27451744.525351144,6350119.099234594,23380408.36095999,11166348.232262125,4859487.178175502,2022310.0049933104,17232393.119581055,116.98,80.49,36.49
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,JP,Income protection insurance,48956014.78,41880069.443446085,14587953.63140975,40810483.45872661,32115511.196885098,26375161.04116672,8484054.146959385,18685315.254277833,23266954.665786248,5620396.098057141,18494966.986163206,7431555.137211273,5284097.137819047,3113615.2452795208,15341946.7602558,85.21,53.88,31.34
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,JP,Workers' compensation insurance,18713799.29,18029959.62031826,3228431.2595317657,14797697.167577758,13251984.12766832,14789293.496627847,2503929.3469465463,10328528.537036672,10389194.834249098,2518841.403123537,8508521.838743364,3926824.0799817583,1337565.5382817427,711033.5491586103,5468699.502952589,108.25,79.03,29.22
