LEI,Undertaking_Name,Reporting_Date,Line_Of_Business,Gross_Written_Premium,Gross_Earned_Premium,Reinsurance_Premium_Ceded,Net_Written_Premium,Net_Earned_Premium,Gross_Claims_Incurred,Prior_Year_Claims_Development,Current_Year_Claims,Reinsurance_Recoveries,Net_Claims_Incurred,Claims_Paid,Change_In_Claims_Reserves,Acquisition_Costs,Reinsurance_Commissions,Administrative_Expenses,Other_Operating_Expenses,Total_Expenses,Net_Loss_Ratio,Net_Expense_Ratio,Net_Combined_Ratio,Investment_Income_Allocated,Policy_Count,Average_Premium,Average_Claim_Size,Claim_Frequency,Retention_Rate,New_Business_Rate
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Assistance,36881411.74,36006336.013289675,10167077.512596648,25330900.97275087,22986084.500014555,25922421.991463643,1846141.67912099,25034612.614843387,7093852.343863268,20901052.301457405,20111115.463445008,4978670.438531958,5801734.026061297,2391805.218079689,5147158.500303735,1159750.8073658987,13970310.544844436,70.29,37.88,108.16,2759884.3248934033,12603,1316.25,85552.55,3.18,81.2832,24.1594
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Miscellaneous financial loss,24345064.42,23157561.367226355,4508171.719135878,16970376.00786105,17254846.28530086,16407060.450010488,1615869.3730146366,14640723.48290247,2934370.0166606754,13155105.044584123,11897660.002370989,3595193.6646925164,4115773.9720655973,1430410.6583792455,2344467.2006598376,639554.997761239,6694297.041861842,67.39,27.5,94.89,1895021.2522968673,22770,870.03,7695.62,19.99,86.8737,20.0965
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Non-proportional health reinsurance,60230134.94,58929702.86797354,12554959.061097508,42700964.12065278,40836067.98530611,38209485.46395838,622481.6371906233,34406287.09019896,12725974.354039596,26866507.29732116,31482855.821733657,-2437143.417295618,14175352.062073277,4482274.308649677,5529876.896404221,3537501.2377127246,18720775.801959366,63.44,31.08,94.52,3716309.861893485,46958,7450.54,11818.59,1.31,93.9143,18.5364
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Non-proportional casualty reinsurance,59206293.08,52652259.50983482,10584521.75802935,39723401.843007125,41032778.11755242,32947754.88338386,2800015.9956507483,28937245.788648598,5800916.370199284,25655948.536913544,21392837.06929495,-2169164.424917902,10165147.118758695,4465568.5666886745,8141042.1888063345,2022639.871521505,17499027.194820587,55.65,29.56,85.21,4494198.951483528,15577,4205.29,8513.63,14.11,85.7455,18.5425
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,"Non-proportional marine, aviation and transport reinsurance",108747249.82,96121763.93992782,26220414.403154362,90063904.30731116,78873227.23366342,74885553.4118182,5783457.863981986,78504387.93990192,13683331.010579897,59036439.98669552,57555043.90423066,18196021.756840874,30245665.47393227,6655409.62851288,10554250.69064745,5648575.045376308,31527481.255265586,68.86,28.99,97.85,4077156.1743246242,15915,6966.96,255582.09,6.2,90.614,23.2039
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Non-proportional property reinsurance,69768341.32,64450354.539038025,14796063.623417435,55983925.75593205,56230411.72620179,48083684.21264553,4920073.021464504,42551957.20239005,15624732.1153175,38346078.84983115,31889548.960571818,-3676016.193233685,12895955.420546133,5213962.163521332,8673775.119067147,3407638.3340759827,21943637.0723873,68.92,31.45,100.37,3348926.7498393916,22512,3622.82,71981.56,9.94,89.3878,5.5624
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Medical expense insurance,68791774.95,66198349.62363991,13552410.285315143,53688968.82092843,47407395.71133353,47330530.06562489,1057121.5048779433,41248088.87813527,7259677.86688044,39374877.83800542,31588750.848512396,8845458.451908145,19255886.768118806,2248519.390059389,6780251.612556707,3199807.5523747485,18705480.046152964,68.8,27.19,95.99,6712798.012306151,43040,2000.69,14028.02,19.79,93.3163,15.0575
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Income protection insurance,123364336.73,120457296.031428,22544313.367951605,87574445.91309185,76736824.10227576,66706027.5044552,-4505905.119849261,67585957.24501696,15053090.385054374,44538239.9822563,45730742.81983017,16241861.539763952,28603115.389758736,5547651.882179485,11307290.866431361,7333648.594416747,48928236.175835535,54.07,39.66,93.73,10789374.652725646,2808,14413.41,29792.78,4.0,80.6295,6.4014
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Workers' compensation insurance,27361322.46,26619183.310465626,6822509.791711507,22397680.231336858,19100803.945048403,14668772.8397277,913139.4648965816,14615591.899937624,2710682.742809809,10594421.608858578,11138373.844967833,-1103915.9138742746,5390186.664752056,1425195.6881013361,4096967.168572107,1066581.0822002082,9223920.08863675,53.61,33.71,87.32,2383827.1191946836,18397,7801.92,14846.94,16.92,83.6413,20.9278
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Motor vehicle liability insurance,97403924.21,91601615.49560593,26883846.99507609,71443498.02243602,61534797.58650363,74609324.66170934,-6334225.3959965315,63666696.58871336,24226159.00409612,52024707.73042427,48710688.72835215,11759353.98734391,18662795.910768602,4905522.816193317,8900359.020926384,5687398.464766136,30355093.636066113,76.6,31.16,107.76,8728433.636514727,23654,1998.23,27954.04,9.02,92.2758,13.1355
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Other motor insurance,119106957.78,105052014.3701314,31839713.34114392,88267662.90751871,85038005.77220458,64694474.23966778,-9386330.710307205,60459400.82909353,18995179.567377105,47779375.51538315,50659318.688939676,-1193183.6376329968,30456656.818603426,6587314.450387342,11285791.233376585,3509941.3845273596,29930726.92167073,54.32,25.13,79.45,8809404.595362635,34516,13885.17,19875.41,35.84,91.5988,13.3126
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,"Marine, aviation and transport insurance",53579055.79,49550368.82738293,13265104.72506432,37015160.0017065,39535801.952823855,40725626.87217219,-1210950.865340465,42726437.633809865,10019998.965370558,30429256.646959405,30196543.313062992,8994849.333326083,13614778.463003555,2521848.5064947084,6981830.427945194,2327978.895610116,18773578.418829396,76.01,35.04,111.05,3454010.98370653,17693,13710.1,11090.86,0.32,78.8463,14.2787
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Fire and other damage to property insurance,51956416.31,50669268.91041277,13332590.960181728,40334227.13284778,37379882.534393266,40237784.033688396,-3080968.7931893505,37226559.037778944,6833551.5757746305,31167817.680450194,28637977.259388927,6932758.540265455,9282593.738832997,1552144.0847350187,5634322.963448722,2964810.5628902037,15603084.48278401,77.45,30.03,107.48,4142460.4996543475,36287,1129.17,23475.95,10.53,83.3785,15.3454
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,General liability insurance,30947691.45,28117228.18093807,8268037.204098669,20793644.739363838,25144506.21781764,24614951.04004654,-1610344.6159829763,24112955.294318534,4900612.571598323,19532265.83645461,19549325.604398306,3340172.67579006,7114407.877482001,2276145.317897275,2646147.379400755,1028595.7517045798,10830488.009358672,79.54,35.0,114.53,1466305.4452359506,5585,694.97,8778.51,6.01,94.7603,12.7878
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Credit and suretyship insurance,115239650.9,104165093.7153489,23768974.6164821,84381405.8894156,75084569.06779099,81292072.1044277,-8856831.270173742,83395798.04518427,27893095.623135973,58393239.7741395,55654724.67518171,-7927429.356050926,27476888.375198014,8012197.343500262,10401828.32667704,3040788.7924619154,32475937.89039995,70.54,28.18,98.72,9830613.780605216,9167,2392.4,31754.72,20.0,87.3258,5.8972
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Legal expenses insurance,100931108.76,96588360.25841115,31509383.939790163,73686908.34327154,81590048.37521034,59819376.86467071,-1510531.453999071,60080620.468802735,14761953.818743683,49620559.85972581,49467054.103065476,-4151711.0454456643,27427436.649813324,7017950.987679986,13665239.444647156,2829750.3462766707,30815153.00540638,59.27,30.53,89.8,8716243.472450756,44705,3635.32,21579.86,7.27,92.0027,10.783
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Assistance,143793810.19,134268636.97987035,38128150.18877849,112019694.34794655,86813098.3811731,74047779.22321011,10591662.817247538,63600942.189080976,13225850.861582281,48338605.27502443,54922319.56377004,16756524.416870557,34017751.97997255,9973459.316243628,11637187.654645247,5993414.001786796,39181855.95357158,51.5,27.25,78.74,8939576.114744619,20376,3851.65,64840.44,5.85,84.9794,6.4443
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Miscellaneous financial loss,108976596.94,101187937.48989007,19602310.013257116,84963755.37061818,69518895.56623927,70940072.9666087,6493166.757338394,68997964.16893435,12871421.939024223,59764713.83154791,51757264.72805961,-5284009.773436065,25226804.721512143,3835097.2529110136,14848992.170998503,5744470.59798631,39751646.90656534,65.1,36.48,101.57,10737062.507911656,44576,4216.22,46518.08,22.98,85.0374,14.0991
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Non-proportional health reinsurance,117951828.71,110240699.60118826,19803477.997675914,86529086.11294349,92913327.75431798,63663461.20478325,6721435.36255364,55377504.67019924,10704640.26057353,44726070.44486606,52120735.54453675,-3494111.467070285,28733016.44608383,3074996.764356746,14581163.753958635,4038988.1371973474,39164409.927765235,53.97,33.2,87.18,10052323.985167406,27612,3195.75,618091.86,13.07,79.6738,17.784
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Non-proportional casualty reinsurance,50638729.49,45204190.15168253,16372470.353897598,38926753.516548716,31799314.721718393,36161019.75228196,-587070.1417258941,31900241.23945416,10489211.731396891,28992951.958596237,22653039.366196018,2789784.6485196436,12958514.543723429,3857141.010978193,5871370.823155286,2937611.8915770105,19295974.2205215,71.41,38.11,109.51,3418024.505298965,14774,1735.81,7454.34,8.7,82.8838,21.9641
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,"Non-proportional marine, aviation and transport reinsurance",84087752.36,81117646.83073853,26604381.72109231,61443256.87332431,56618467.35325138,53948242.61392357,-108600.69050457157,52036020.28541172,10663811.124665532,43632854.0060093,38930168.136660464,912585.3401990389,13780866.690416696,2886792.2092241785,12314624.595143944,2707960.923615756,27206329.368276317,64.16,32.35,96.51,3516562.4383586594,29952,2805.08,29161.21,13.39,84.2135,11.1418
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Non-proportional property reinsurance,24570702.54,22977814.29325404,5437786.019044127,18169065.244840953,19961581.308517024,14667322.773298869,-482181.4531283281,13224723.561064947,2914300.3599924603,10876596.0683894,11585425.457493166,-409278.9625875609,5951232.920857479,522594.01189752325,2686199.6342367935,1253956.039931015,8148045.30723981,59.69,33.16,92.86,1319724.544977997,49231,2027.29,18472.7,6.97,86.2747,9.0996
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Medical expense insurance,116459400.85,104792455.98933025,37835284.3029343,83909679.39729266,88391565.6492357,60056218.33809651,-3368466.161385225,61928911.41192161,10529502.12268256,41180786.60820796,43436112.21380692,-4283302.359004451,20435995.66304914,8923816.061886996,17277250.129145168,4081945.4593217503,44007841.05569126,51.57,37.79,89.36,11020555.602932442,44506,2741.51,21109.39,5.28,85.8965,10.3948
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Income protection insurance,111311833.74,100904703.65013401,31658410.185734037,73510863.84507366,69570133.01621614,77658987.37333384,-8835160.859026069,81533560.14944513,24109600.689346842,62697564.326167636,56491595.13516624,390118.2935439523,18885650.69577823,4127496.7068273285,11834449.929448068,5593687.22563815,44343161.39529837,69.77,39.84,109.6,7544307.044755306,45092,5215.38,40030.41,16.24,76.5497,5.3606
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Workers' compensation insurance,33303183.34,31429554.50850816,10336148.491062954,24753420.896180626,22631729.01683092,20752865.8469294,-2086642.2693270366,21275560.06995514,6363492.880858092,14187149.265681427,15109438.19835675,1464761.8173939625,7701757.516842615,2556725.803069767,4015831.0906218393,1385701.853958481,12987540.056210931,62.31,39.0,101.31,1116409.4705210745,2600,8267.92,9858.84,9.72,76.2581,8.7469
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Motor vehicle liability insurance,24221200.32,21644200.81249537,7683346.955897581,16493600.919349238,16137583.721314454,17512069.977615993,-972812.9296576222,16189233.073648473,3518748.4344480447,13095354.053332463,12290880.818498477,4295698.888346391,3809278.4808508875,691052.2223550816,2027261.4846910331,1090769.004487052,8683289.308584642,72.3,35.85,108.15,819055.6185275307,5772,785.23,5010.61,35.04,91.7288,15.2388
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Other motor insurance,88510991.2,79639448.72392917,18920416.131844018,68038335.4876079,57198095.89578574,59167681.55902471,-5433417.459748339,61772442.72729867,9135274.83760275,47957741.90680148,47157162.13225815,238146.3590895533,14837226.688068185,2543603.9760206984,11402004.757511804,4046037.7650772124,24395581.368356258,66.85,27.56,94.41,7505041.41998518,48077,1897.91,18233.49,15.26,93.7496,18.8385
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,"Marine, aviation and transport insurance",40260699.75,36272096.68750118,6623064.808115742,31832364.25669176,27721738.25276708,23070700.904983953,2705777.030163976,22610463.820666548,3877810.974300751,19369498.66102637,15333694.86705417,415834.8871574706,8144492.108261105,928953.5560463436,4620160.06349696,1003809.5447122158,15151271.277002215,57.3,37.63,94.94,2337855.2077021403,16989,3772.91,159108.28,3.37,82.0142,20.4568
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Fire and other damage to property insurance,124412166.51,114127674.09253272,22429285.248965845,100735374.31568438,94004617.78600024,67932011.97557108,-6163243.641238733,62724641.59649506,11627311.439461324,52690875.39949269,42820466.943326384,16648570.914996311,31288250.25126702,5401268.734767892,14991600.78035936,7023523.721665666,37943555.73129938,54.6,30.5,85.1,8557933.43079737,15341,9932.31,15641.73,91.0,78.49,12.5741
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,General liability insurance,129608832.45,125290544.62626596,42614685.71139439,108088389.3574031,80469823.97320051,89853125.28045227,915059.1352198271,89682575.44466388,27080417.32073485,69307600.81335217,57658465.99913423,16092442.599039573,31574587.459715012,3262014.0559590315,14576676.085841957,3494136.9539883262,45053152.26753734,69.33,34.76,104.09,6950065.38464735,37530,7478.44,82132.66,39.42,75.3616,13.0066
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Credit and suretyship insurance,91483999.75,88156647.20787926,17664881.67356943,61669031.64026807,72028845.66262561,62746568.00518928,-5026309.305042244,65567152.750871964,19985261.662365057,47070926.806105055,53043147.34826847,-4136137.3562345305,17326936.805044953,5332919.328561151,9560121.9587529,5226929.367532704,31975812.522682346,68.59,34.95,103.54,3164781.584911706,31450,2044.34,14097.18,11.69,85.9882,16.8173
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Legal expenses insurance,104854656.09,101118480.53798503,19816329.813019685,85495715.20794831,75892142.64444092,60469666.22138596,4398653.010775762,60029536.13839296,11580080.105812756,46184466.30682678,49399532.08850473,3098506.990750319,28903898.976399437,4942104.6497922335,9436394.205118192,3730454.699762544,31947637.129433297,57.67,30.47,88.14,10130969.679247364,21794,3494.69,14278.55,9.74,81.3944,22.362
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Assistance,134562588.62,128164916.77175054,28567968.561457887,108536128.24824506,93841805.26636578,81417895.8741848,-317207.2462691648,81872360.90869732,18438927.956024133,60137331.53032112,56507896.628297344,2326042.5507067586,29384843.565279476,9221300.587989572,14172640.726909164,5513054.664072501,35321152.05345978,60.51,26.25,86.75,10354714.020480791,30223,11772.75,20415.72,21.05,80.3888,10.5505
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Miscellaneous financial loss,141343706.51,133537577.05606681,22029814.3538832,109346402.0629626,100649715.88707332,101351970.76982424,1034628.6898673655,93434837.79253766,16854303.63537478,69797843.47112754,84901145.05766845,4362680.054140856,29776710.48791937,3273885.9542348953,11679179.029434618,6881637.48883176,47573182.25233847,71.71,33.66,105.36,9564251.794909196,17203,3303.27,42746.51,13.34,85.1741,9.8625
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Non-proportional health reinsurance,116817595.11,108181412.48628117,24211144.270567868,81713042.89078145,86673081.24645546,64304695.329296194,2821784.992958402,65263054.82335947,15017828.726521255,42737994.866352625,42982325.573638774,15626163.923241368,26577593.333411906,7310938.666610239,9405574.286144903,4757773.798431152,32532556.7748472,55.05,27.85,82.9,3811408.379740042,42074,7003.87,27375.35,60.93,86.3846,23.4154
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Non-proportional casualty reinsurance,145894486.97,142174426.9479264,41539365.21692114,96725105.94909579,102484986.9109734,96606340.0618384,-6063491.163048353,91192604.26064116,23291123.396417025,74041896.79738553,66580376.8657802,-4106285.5903961933,31437858.548721623,10185211.172958352,18452859.592501063,4892529.987651724,46501054.99091912,66.22,31.87,98.09,13930970.210881898,47762,7396.43,47824.92,10.1,93.2442,9.187
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,"Non-proportional marine, aviation and transport reinsurance",25124286.07,24541062.364797823,8239943.734614395,19348387.407779824,18004352.6945378,18149598.651436023,-1898025.0397742798,16322501.956725016,4390804.453361808,14078657.830909215,13418233.471488133,2902530.9397485307,4682405.683089151,1354127.5772391923,2164958.6512461277,918207.7594720329,9400039.06159054,72.24,37.41,109.65,2073036.4576962616,21952,690.25,23881.05,11.33,88.868,24.8129
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Non-proportional property reinsurance,56125846.38,51863667.08382349,18038287.225874066,44162162.83616618,44571614.75189088,36451312.01207959,-2662510.3979425607,37350646.931399025,5903379.4623374855,30171474.732836545,24869579.959777065,368364.9920432887,12155259.57953647,4290338.905639648,4677791.577775473,1913287.3914839306,16805737.602152575,64.95,29.94,94.89,5049083.34091764,16155,2150.25,26980.99,35.55,82.9211,8.9831
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Medical expense insurance,75223243.57,71927971.85468788,18882772.63164546,63764796.29608313,52833876.85581975,46312374.70361919,-5316925.320354877,41794827.83148295,10985948.10096367,31556350.181639723,38758422.61877185,7798870.253516013,13907072.880683927,4170998.8710247045,9816741.682403715,4336707.036858591,29134897.2761281,61.57,38.73,100.3,6899060.249866074,28188,2714.46,16481.27,14.41,85.3038,20.4931
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Income protection insurance,93078818.0,83083434.25134316,23819495.295511473,65506294.662459955,56278070.60338837,61972916.43683226,3318657.5524948398,53079636.79970675,16674145.851629445,46965478.073283084,52193817.82758779,4305543.504159437,14731415.747749185,4942604.196894851,12926482.056969114,5572998.484202496,24871711.37856862,66.58,26.72,93.3,5596272.91589433,28248,18322.6,34544.55,13.35,81.406,23.1331
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Workers' compensation insurance,44861476.78,39662401.12255211,9845196.282205336,31539668.547729492,33688279.789751805,30713453.384447068,3221344.7186065004,27752966.335657194,9591602.266707407,20303802.93127247,22559960.669930585,-2312952.7058864404,12176494.431636946,2960008.5462829177,5655080.468873552,2375677.871335236,13945511.427955698,68.46,31.09,99.55,3379252.902549286,39278,963.09,118128.67,18.57,94.3789,19.2792
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Motor vehicle liability insurance,140205619.25,130786293.3906168,24588499.572416954,107747835.54240297,99005983.98372391,91854248.7709827,2749721.529273642,78260683.03477687,17357522.713881884,68731419.245461,76939496.91356799,3147217.2011549613,28765757.43917951,8816376.849083595,17142309.16037756,4480557.424382211,37513368.08963897,65.51,26.76,92.27,8238082.277200892,32259,101158.46,30813.23,9.59,79.354,24.3204
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Other motor insurance,36982469.6,33364768.579833582,11320120.469764296,25526596.622479286,22840889.07702201,22616667.57441681,-151165.51996425338,19269261.611846674,3775925.7234069323,18353995.08665195,17932039.590453368,4982419.91249783,9655642.287069006,2255580.561938767,3094075.449294203,1897716.4006437429,9388955.750693271,61.16,25.39,86.54,3298309.5380867673,28460,1019.59,4945.7,5.78,90.9816,15.1696
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,"Marine, aviation and transport insurance",50277239.02,49174966.73622842,9107144.643203951,34949363.79909136,32509041.177228943,37888876.681541875,2353294.6911285124,33621886.680526376,6188464.716588844,32194639.294950992,22968400.074931376,7287373.049868173,9929638.535941202,3544390.878390252,5974114.211740878,2818805.9337112876,18053270.51376396,75.36,35.91,111.27,4767967.001563106,15380,2662.0,10323.94,140.52,75.182,6.5082
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Fire and other damage to property insurance,52546634.84,48657878.835424095,14260874.165712139,36136319.23244842,40833606.52522421,36824399.25293065,3929043.1388412216,33278938.233902708,9167993.568429567,24570094.321484163,27242107.420393657,2797704.4448206155,8868649.880761141,2444678.209349027,5432656.0478076525,2147750.9549159748,20138015.922292225,70.08,38.32,108.4,3730590.5606367993,26484,2281.86,10792.61,4.59,75.1699,20.2201
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,General liability insurance,112691857.94,107676310.03997403,38431871.389483675,78662333.56959541,75636004.52249648,68729176.98992242,-5701074.070555902,66350269.4280835,12437800.872106632,49570148.360028684,53213788.89369526,6600790.9869046165,22565432.66278833,5095359.664374225,13449521.016377348,2280273.4420766695,29067781.824656337,60.99,25.79,86.78,4000075.34418636,9364,2697.27,15358.48,1.19,92.6252,6.5576
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Credit and suretyship insurance,111884467.51,102603555.12404184,29513363.836095337,92454811.59486076,90315293.6225717,86823627.77906582,4288545.03198324,75304211.98715788,24643222.432254475,63560169.58124025,62311168.76120104,-7188828.235662123,19561665.27037153,7544460.992498678,12506123.362291455,3587742.121110962,32513910.517148014,77.6,29.06,106.66,6364137.897597685,39790,2945.34,269638.6,1.83,92.088,19.98
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Legal expenses insurance,55401001.63,53853964.39897163,14754271.07524082,41921718.64234849,40509577.5915104,29653416.707340106,-1187546.9228401978,29992100.361429922,7551457.547645289,19967115.701873295,18748855.50663933,2606556.123802171,15055450.907633763,2133001.0163358226,7804221.750332517,2801286.466101292,15944393.49070905,53.53,28.78,82.31,2623064.077639388,29089,5600.02,7638.7,36.97,75.7268,7.0369
