reporting_period,LEI,Undertaking_Name,Reporting_Date,Line_Of_Business,Claims_Provision_Gross,Claims_Provision_RI_Recoverables,Claims_Provision_Net,Premium_Provision_Gross,Premium_Provision_RI_Recoverables,Premium_Provision_Net,Best_Estimate_Claims,Best_Estimate_Premium,Best_Estimate_Total,Risk_Margin,TP_Gross,TP_RI_Recoverables,TP_Net,ENID_Adjustment,Modified_Duration
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Assistance,271176091.14,78577100.39700143,228047028.15597725,6626598.15,1364643.3576782092,5957886.913871933,260668748.24666357,6110132.897150211,269363208.29825515,14274945.771164749,277802689.28999996,55641184.150827244,210067877.74103805,5762229.009896849,3.01
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Miscellaneous financial loss,126050405.56,39407168.56721535,89422392.65830518,65167165.28,8605856.781467684,55394325.111188695,121036020.08437857,63477242.16217199,176103110.8985387,14173357.36310657,191217570.84,40878567.085238345,155236997.31287503,2611048.704732207,3.01
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Non-proportional health reinsurance,83644674.03,20979675.413938355,67960560.74654043,29151377.86,6167473.626957245,24447802.863383878,79660267.64152293,27566661.226891406,110355438.41790503,7039342.412231849,112796051.89,18691879.494421527,83628836.24830471,3886288.846196866,3.33
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Non-proportional casualty reinsurance,22155384.83,6443328.069585032,17333616.660416786,83856210.36,9250773.831089107,67446252.50011995,21626379.280581415,81487721.42377165,99346919.3151273,4906466.321284441,106011595.19,21290926.95241066,80998102.92373168,3953072.210911839,4.88
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,"Non-proportional marine, aviation and transport reinsurance",121640406.0,40083287.38121102,79989508.01879367,10911296.4,2650516.30554779,9271185.768052366,118782020.97844183,10169105.449209489,122271255.83689342,7890590.645968641,132551702.4,26657766.42166279,100695367.40742853,6403076.863784155,4.38
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Non-proportional property reinsurance,205242965.99,60929387.75823111,163250766.39634836,20471537.71,3352423.6428251388,18193421.726158064,190879790.85900468,19162183.352612592,208513582.42534307,16210372.877709746,225714503.70000002,52346960.469601065,170795739.6525545,3736149.8280987865,1.64
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Medical expense insurance,66688759.22,13300098.957215542,46801933.50760635,48062041.4,11118502.27754679,39760316.27828807,64271633.03720024,44320058.55463743,108084903.81566837,6789434.674647595,114750800.62,17620563.083597634,82808134.04355295,5142230.220818724,4.79
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Income protection insurance,42065875.45,14372106.09331009,28042473.26413128,38156777.69,7499569.885552992,34182108.47511826,41169595.514287174,36183057.307578124,74588210.80214822,3857375.7218187833,80222653.14,22472631.524506394,69320630.49539596,2752855.2442533965,4.18
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Workers' compensation insurance,227180750.41,71665392.44244136,178809725.95815682,67873051.81,12223960.105698923,53317231.57869826,219146114.38531822,64371228.041156195,276668262.47615516,21266844.002151176,295053802.22,72408695.69805838,256319469.92681175,4903105.419523296,3.77
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Motor vehicle liability insurance,88387051.06,15016949.620667916,69050824.60697304,90840383.6,19863417.920613352,72966418.61478204,86376094.04364721,88209995.01568517,168057460.810585,7223160.214480867,179227434.66,31077730.996041574,134534543.9757844,8172517.288223268,4.88
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Other motor insurance,39723196.07,10314779.308310805,26558227.07353785,49773008.71,7795680.385736044,39697078.42090308,37822972.68445026,47765735.63787983,86114063.2481209,4069410.4151198985,89496204.78,23835576.69515992,73578191.90699832,4077715.280357035,3.07
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,"Marine, aviation and transport insurance",270289133.56,64242825.75160101,196291716.104545,87248541.62,20932827.34876528,74795968.23097996,263719680.70039096,84440751.5203949,342005468.5618428,15958376.30932292,357537675.18,61663278.987690054,312627951.7589557,8143594.134815726,1.83
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Fire and other damage to property insurance,218114939.66,45169759.636182606,154760051.94171837,74730404.18,12729124.766635746,56292047.68835867,210995532.93383047,70173742.2396365,284418949.2826205,21115677.025196243,292845343.84000003,70005372.30572613,222116597.2769198,8976489.479598077,3.06
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,General liability insurance,114886928.15,28342767.729904186,93810303.03859323,85572947.48,9907872.992249612,65989896.6342412,112432853.55838305,81744936.46845947,190554387.5005739,12213266.99931796,200459875.63,31822680.376136936,166254747.72075194,2684403.2878480153,3.51
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Credit and suretyship insurance,179815263.04,45895429.537226364,121809113.92191373,91847900.29,17075717.665929668,70144163.07350816,167628756.52282315,84671503.75511655,258296687.7632761,11785102.440208392,271663163.33,55552668.70940524,235784638.2426516,10537938.125448095,1.77
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Legal expenses insurance,82778747.42,27229271.98698497,54351177.698831335,68997929.89,15308409.922826305,57563046.62652172,78868732.97949779,67443323.10868004,146443044.03171962,11232195.7768838,151776677.31,27884290.116231095,121388789.90167463,5253935.929807869,2.63
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Assistance,179669474.99,32102467.557933904,130223366.77274652,27482261.05,5795828.690315075,24388529.94360324,170230151.590494,26343655.070618555,191860256.3902844,15780518.952375133,207151736.04000002,46059931.31772075,174102931.3129133,8654312.318502769,2.4
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Miscellaneous financial loss,168168846.89,28240074.64230572,132283293.22249275,96245576.4,23516606.765926458,76523564.85259567,163407461.35470137,93937554.80508171,255113691.57910267,13023238.623171736,264414423.29,47626360.13525626,186794425.21073946,11438073.329923635,4.47
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Non-proportional health reinsurance,197158886.79,32602628.35903653,157847676.42541233,38490145.87,8043629.462563269,34136540.02995902,190028028.64835194,37324729.55292217,227344119.09424025,15370794.339874106,235649032.66,46388443.117699124,203219275.66493118,8492494.897082277,2.89
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Non-proportional casualty reinsurance,43371402.65,11222148.62707777,30582350.24601082,32616961.31,4344099.84851639,27043017.05912224,40343611.23400037,31574021.04925657,72117675.44569148,4783810.291638764,75988363.96,11134498.083564252,57631379.22242934,2006365.4039155839,4.33
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,"Non-proportional marine, aviation and transport reinsurance",235644666.46,64386562.80198249,164642871.64394978,26182860.1,6499556.563249093,23376544.019845504,224756912.774946,25186187.387806073,253471516.5162235,18024190.381361008,261827526.56,64401497.92352986,228454917.08760792,8865020.346241776,3.73
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Non-proportional property reinsurance,257795250.12,76458597.24082294,179640427.58366707,68639632.45,10686507.026815077,52996330.87185821,244994665.83292523,65025319.53080516,319850615.53534913,21038188.29510438,326434882.57,85382330.13970609,248130544.96757776,14122164.9292407,3.65
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Medical expense insurance,215157852.85,55882449.59715953,167136211.1179369,32970923.91,6210541.750820192,29254410.265843485,209541449.68796396,32254104.486604877,238214960.3015528,19571545.639353827,248128776.76,66956567.82015517,185786368.3161724,6723651.360774197,2.33
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Income protection insurance,21175205.03,3193477.5039333194,16812428.671015274,22864631.55,3745915.8943924853,18220509.557471555,20448964.390274495,22177531.228315562,43093771.591521405,2892560.397249505,44039836.58,8943399.173587464,33247767.798169874,832032.6699021109,2.25
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Workers' compensation insurance,134573024.92,20208930.66730356,92780185.02248769,99219703.75,12725814.760399235,85087635.24867997,126653279.08825839,94004284.34408523,217174144.8369259,13139123.659692466,233792728.67,32398053.252665307,186086806.128446,3253818.3940734942,4.27
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Motor vehicle liability insurance,178648480.91,41750735.47878883,129752080.59512304,73776948.01,8464527.616221681,61129981.1903318,169871504.24779755,69946900.581004,243446934.55608627,18502828.367038175,252425428.92000002,64404364.501365215,183234567.17428413,8805199.826972034,1.78
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Other motor insurance,214494240.48,37858188.669745974,176402245.07644552,41274714.17,7928924.22077429,33152211.376649495,197730149.42527357,39303376.67805896,249475389.34877506,16332176.04138504,255768954.64999998,75425525.25514227,185320261.03355455,8371881.647479213,4.29
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,"Marine, aviation and transport insurance",167151404.72,44558753.498048306,129098983.12440805,13651303.82,2857305.084107137,11797207.314720964,161509436.59565282,13102612.373514473,168679646.67906344,10155585.12337968,180802708.54,46955077.24579667,157590688.55691797,2378980.0883389357,3.37
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Fire and other damage to property insurance,107506235.97,27001495.935223494,82910730.11345454,26412419.96,2679958.238029647,22900386.51607949,104194283.60464588,25829515.005664848,124656657.41293773,8541613.438444626,133918655.93,26354196.099886745,101814204.40367998,4369141.421922303,4.24
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,General liability insurance,26454779.36,8253264.635514301,21169927.68307812,97093010.69,20783546.10298891,78486019.36320941,25531434.361302473,91578730.87470762,120325961.40780847,5817728.954196334,123547790.05,21327132.879946526,98744429.3299723,2812990.6222377503,2.98
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Credit and suretyship insurance,157878353.03,40201899.21805889,114065842.25725399,86353568.14,11844292.072262289,70058770.45227198,150133498.79338294,83311063.49850596,226467205.98599088,11934238.35850288,244231921.17000002,45998083.88199212,186806087.89540973,6269414.733719774,4.28
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Legal expenses insurance,110763232.83,30435676.913442727,77139470.7019237,52680327.14,10947198.930341195,43833545.850871466,104871389.76269417,51025482.21527926,152755939.09222263,12311719.387486603,163443559.97,36119191.66890009,132332319.94641921,7355345.691197308,4.36
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Assistance,188437379.27,44596324.715719886,143113582.39353845,76552831.87,8368029.897939187,58446455.61582688,182740073.89628997,70702687.37389201,246484340.852899,19035123.018695403,264990211.14000002,31853485.162608776,198963336.6889888,8840483.201455949,3.58
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Miscellaneous financial loss,237602814.3,59847485.70704799,188908996.09300464,53062994.18,9275075.466845663,44640499.48273606,231393407.86937764,50096086.19442943,274129105.2078792,11667895.162786508,290665808.48,66974264.26222791,205023727.53256744,8768207.219234081,4.31
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Non-proportional health reinsurance,173977899.75,53451871.12520689,122470594.41692846,30615435.7,6427856.673340848,25764076.04928868,161834203.6904097,29828864.92071104,190688890.2339911,16282250.226665843,204593335.45,24820422.160383068,152918584.5487534,3681536.7482342753,1.55
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Non-proportional casualty reinsurance,225063012.04,69425230.73210387,157845627.43672097,70875451.2,11811413.437654935,60163833.63554222,212996508.5219234,68170811.8202802,283520413.1545334,13194686.315209007,295938463.24,77117941.76442441,245546578.0245829,10722849.464857657,2.04
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,"Non-proportional marine, aviation and transport reinsurance",95039005.66,19576697.428401675,66105526.37999502,42351818.0,9351436.020739334,35818407.89093677,90660399.7538586,39537843.04519982,133967675.47158179,6546304.754856091,137390823.66,36146312.25661219,120079728.2618848,5369742.994412606,4.98
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Non-proportional property reinsurance,202294312.75,38590451.79378691,144622805.05283144,25658732.64,2593315.3563852883,21867777.297742873,189371765.6209611,24861028.145400647,214629271.7297474,13494423.58918671,227953045.39,66978076.74407504,169503828.90529394,8856013.174264997,4.14
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Medical expense insurance,81879484.11,18016793.21229092,65862321.66967747,52594699.48,10170368.412346778,43201152.46919442,79157957.10578354,49129199.71373844,129796810.13042852,10033787.508337617,134474183.59,37404247.975543275,113101024.50502357,3539436.715909845,4.94
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Income protection insurance,126286220.27,23011222.866798025,106849480.29083487,65669412.91,13501492.618863635,56673138.84688589,116681724.12373686,63423851.85709441,185521934.1093253,12836247.68887667,191955633.18,33120741.03596184,151288720.4048879,2767496.318575996,3.15
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Workers' compensation insurance,88270678.73,16111171.491813935,61437352.211663924,38164213.72,4254748.673600957,33889257.14250281,84018207.11759411,36019557.345377915,120378882.71244177,8234923.168805135,126434892.45,36152563.39048609,92571169.07170074,2759074.8596309004,4.92
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Motor vehicle liability insurance,123934036.26,22249716.233009335,81209975.89250928,7143356.82,1775041.8166030413,5656328.7121560965,120886816.25074768,6998726.535593554,125308739.0453618,5417147.180746247,131077393.08000001,17654354.447087754,103116753.97429219,3440372.6745797475,3.62
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Other motor insurance,142877386.72,36712050.63073579,112693854.72026236,93737300.68,21978846.501532223,72368081.48796196,133416629.00356871,86841902.31832567,219667942.17896932,14315983.30009582,236614687.4,42072993.88079102,183653484.82534283,11665007.850945221,2.05
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,"Marine, aviation and transport insurance",171427379.82,36633904.66603132,129514274.25953233,14392759.73,3482972.4638704252,11639197.865779268,158380796.5262912,13576541.819016505,172579427.124345,9142273.663474675,185820139.54999998,42972080.19919169,132329265.88585433,5312402.725043285,3.63
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Fire and other damage to property insurance,138120349.86,47942108.152845204,99919459.05383943,6817003.31,1477834.8200621854,5445742.464769763,131007290.71111763,6430532.521449629,136321168.67332083,5924177.357824589,144937353.17000002,26784969.107714303,124661805.697349,5451924.857378726,2.01
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,General liability insurance,185523401.29,53803049.453216635,126107097.67625025,89761931.7,20660941.364838358,71381524.74380685,175736034.23104846,85414632.59158,267310425.97858676,21269728.50030815,275285332.99,79099804.32378331,193093873.59254664,12904148.479261579,1.69
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Credit and suretyship insurance,94416623.91,23225086.243195094,72789736.9783319,53923846.2,9270422.32493765,48000654.21629258,88226002.60523163,50496526.43138001,144668194.39492914,6388961.826199365,148340470.11,34076913.41195955,122041554.76865421,4483096.577651486,3.93
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Legal expenses insurance,68371300.88,12170442.841134997,49922159.21735207,86000062.11,9570829.969013298,71533274.57870348,65649080.33635701,83976764.28584825,148869594.12689847,9516086.308835657,154371362.99,44439048.37468548,121354204.51573929,5009076.893362624,3.59
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Assistance,134794323.25,25211281.559260625,102574225.62483771,84655855.6,17636776.696795136,74970923.14083363,131159608.31333503,80467457.82079402,210362678.27123326,12238628.822119769,219450178.85,44827526.34557751,189413559.4428427,10364228.098999904,4.63
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Miscellaneous financial loss,58743841.31,19953681.90035707,42427735.79776356,85757982.03,15247507.078222454,74340532.06465037,56025451.74021862,84009291.98769514,136892762.20393413,9906713.874790765,144501823.34,37955774.48667544,114002990.3162264,6398447.133325845,3.41
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Non-proportional health reinsurance,135262223.1,30932132.45197599,107775220.3112713,15243249.02,3630834.630797317,12007898.53893718,127324241.99989215,14164601.044750031,144702488.86840144,11800763.404112214,150505472.12,35424683.61623011,122071041.49089651,4837185.253345352,1.81
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Non-proportional casualty reinsurance,224261071.4,63307858.48798421,186083364.15170693,62194706.64,13533202.339278528,53931349.23276786,218796059.21161437,60913252.94273543,273530023.63150734,12705821.842978407,286455778.04,58048368.056384295,241129366.48307598,3182240.9594426877,1.7
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,"Non-proportional marine, aviation and transport reinsurance",38804179.07,9710098.7802347,28085672.767285574,74448397.04,8624292.661975607,64013414.71139955,36447259.35721807,69677702.3795466,108624979.8225175,7062479.990805715,113252576.11000001,20978218.116306283,92353822.82698384,2361187.1962988907,4.28
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Non-proportional property reinsurance,84209306.09,25809131.85977392,66658268.29684279,20089581.06,2559329.182061497,15417485.065731782,81708621.93087718,19418506.864749797,98002930.9713104,6917925.774066737,104298887.15,14846824.929349154,82528432.18772338,1121130.8162158509,2.87
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Medical expense insurance,40955990.01,9597476.364681497,30261439.24881636,50138982.11,5354828.012361107,40323897.872432016,39538463.50718775,47237683.01114194,87716288.49543855,4990105.045933926,91094972.12,17871293.97647392,73012673.01743658,4375043.502337152,1.88
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Income protection insurance,29215855.23,9928114.914369468,24773427.451200128,62755932.46,10833220.06733188,51473184.13478756,28009176.900881194,59827620.50093501,88113137.40749902,6894203.091870127,91971787.69,23391654.785733283,72606017.7387122,2618857.875488812,3.74
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Workers' compensation insurance,147597759.64,22621006.860519595,101076839.10899755,48489038.37,8402037.332103364,42350230.048665985,138258307.7734452,46130463.94937549,184458404.80731753,8665499.069499662,196086798.01,57354158.35619247,167427005.86783525,2576521.1073702984,4.02
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Motor vehicle liability insurance,117322373.22,24693978.383910175,81861414.79075871,99510731.67,18427753.762552254,87098651.08515634,109291789.61829215,95785464.45620972,200285355.3037905,16643543.137197746,216833104.89,29184323.23024473,187465586.4487013,6425261.440954012,3.07
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Other motor insurance,292525982.26,81917696.3271422,197579027.61193573,99086496.88,17431842.779953536,82179810.35277815,278153240.48182577,94545314.2064419,360723450.7042125,26805518.32274664,391612479.14,97210347.26514348,282268228.2841672,12848640.061784454,3.49
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,"Marine, aviation and transport insurance",211086117.65,58112147.81263707,149058544.33364186,13112780.75,2308510.933095596,11355648.891812943,203136351.90654203,12157307.242079495,214215565.20933574,17658950.282325722,224198898.4,33230424.13559316,191358978.1910062,8542409.21332765,4.21
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Fire and other damage to property insurance,98948331.6,32772072.44924469,71437371.38635926,32349448.29,3540721.797403683,27176432.01833818,91773495.07835348,31307659.36196601,125849550.48796165,9845897.121459324,131297779.88999999,34304263.511658005,94558095.08499119,3314327.150780807,4.21
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,General liability insurance,136855612.51,40666383.86021018,89380398.25000156,97374721.05,22590726.291559167,74503416.45856217,127061051.12989111,93876002.92337075,227648019.32685885,14394387.432307795,234230333.56,40294398.79259738,178773209.81490362,5554906.6174179595,2.64
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Credit and suretyship insurance,88014708.11,29051988.47533919,62615114.06214894,62842373.99,8044084.328430555,55036512.19196618,84890802.06214724,61324744.60246176,140286704.99259922,6904736.577468782,150857082.1,32804972.397843987,122284457.76624298,4406073.394634066,3.6
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Legal expenses insurance,70506335.29,19855889.244193397,51930827.1370749,50563306.65,10209596.264013024,41344538.448967494,66277081.500768155,47439318.623781145,114368936.49404943,4954603.771626551,121069641.94,29097214.87792078,103165744.0818918,2928079.433258037,1.66
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Assistance,296297167.27,51948071.025205195,214504482.86617726,30051334.27,6334327.102831149,23863388.587598886,282810369.7689402,28396515.466524195,302546547.5616905,17365486.925796937,326348501.53999996,81742692.78785896,264394730.9475363,4827064.80707556,2.07
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Miscellaneous financial loss,199405340.61,43848217.27170937,153355100.04452768,82274464.36,10333387.91515714,65548596.469989665,183695432.5971882,79485076.73635262,265922802.64188227,20462635.895515006,281679804.97,69717762.72222531,239195157.64427263,6035369.183143844,2.15
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Non-proportional health reinsurance,292133591.14,92550391.24939364,190654174.1661333,73146139.77,11203738.860189537,63009730.84836875,270129788.1517181,69784372.13552107,345461247.5394063,14868587.355923109,365279730.90999997,59349044.86527452,274420985.0406903,5287204.153139668,3.71
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Non-proportional casualty reinsurance,87871405.35,28966608.395192184,65325766.00277689,31373852.46,4982770.840264072,26936982.81842294,85637435.48147105,28911073.442355152,112912658.5942773,7683121.52324225,119245257.81,21147115.91486147,100050752.89962374,5826213.926135292,4.8
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,"Non-proportional marine, aviation and transport reinsurance",94475111.03,32263071.500180703,70074617.62382174,26502136.45,3478263.8469122224,22687141.837480355,88529340.64839996,24806922.48195097,117681215.42645846,5625341.129136741,120977247.48,15919484.353310209,90545851.46236387,4146835.8914311263,1.93
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Non-proportional property reinsurance,152046508.24,48616475.463582166,105820404.0945718,64597025.49,14379423.741857376,50723905.97820829,146056786.95014897,61098477.35129529,200802748.00768775,14855363.773198074,216643533.73000002,34489059.42301631,158538051.77862403,5271569.155943457,3.79
