reporting_period,LEI,Undertaking_Name,Reporting_Date,Risk_Component,Internal_Model_SCR,Standard_Formula_SCR,Difference,Difference_Percentage,Model_Change_Impact,Validation_Status,Last_Validation_Date
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Operational Risk,9720678.8,9631529.428509895,89149.37149010599,0.93,2342012.88,Under Review,2024-06-30
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Market Risk - Interest Rate,23642658.03,27766773.416635975,-4124115.386635974,-14.85,427412.22,Minor Issues,2024-06-30
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Market Risk - Equity,24700428.05,33607472.02300018,-8907043.97300018,-26.5,-2432609.51,Under Review,2024-06-30
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Market Risk - Property,72109336.64,81091214.42674334,-8981877.786743343,-11.08,-4081719.87,Minor Issues,2024-06-30
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Market Risk - Spread,67521856.65,86080861.94273655,-18559005.292736545,-21.56,3309745.3,Minor Issues,2024-06-30
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Market Risk - Currency,52861140.92,64859001.07841828,-11997860.158418275,-18.5,4070579.8,Minor Issues,2024-06-30
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Market Risk - Concentration,14577376.03,12388185.153130919,2189190.8768690806,17.67,-3749243.61,Passed,2024-06-30
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Counterparty Default Risk,70255373.2,79933789.7688347,-9678416.568834692,-12.11,-3239347.19,Passed,2024-06-30
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Non-Life Premium Risk,15628405.13,16679479.970610179,-1051074.8406101782,-6.3,3157340.56,Passed,2024-06-30
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Non-Life Reserve Risk,65388253.97,85707774.29491143,-20319520.32491143,-23.71,2689447.33,Minor Issues,2024-06-30
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Non-Life Catastrophe Risk,9621485.72,11854633.927065175,-2233148.2070651744,-18.84,189612.9,Passed,2024-06-30
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Life Mortality Risk,59480915.99,64868081.36294826,-5387165.372948259,-8.3,-164609.49,Under Review,2024-06-30
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Life Longevity Risk,14460099.57,19421867.932434764,-4961768.362434763,-25.55,-1253782.44,Passed,2024-06-30
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Life Lapse Risk,48678056.93,44992824.262641944,3685232.6673580557,8.19,-1311111.01,Passed,2024-06-30
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Operational Risk,70293306.74,65074704.87502155,5218601.864978448,8.02,-2938943.87,Passed,2024-06-30
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Market Risk - Interest Rate,24537433.27,28090371.47494973,-3552938.204949729,-12.65,206882.21,Minor Issues,2024-06-30
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Market Risk - Equity,18149150.14,22054509.903536934,-3905359.763536934,-17.71,4075400.29,Passed,2024-06-30
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Market Risk - Property,19912165.8,23969713.529013492,-4057547.7290134914,-16.93,863845.91,Minor Issues,2024-06-30
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Market Risk - Spread,29670422.04,34735114.75495564,-5064692.714955643,-14.58,-2900911.12,Passed,2024-06-30
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Market Risk - Currency,67546612.51,54937500.728673555,12609111.78132645,22.95,670629.77,Minor Issues,2024-06-30
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Market Risk - Concentration,28908513.64,38414107.94821074,-9505594.308210738,-24.75,-6337.32,Under Review,2024-06-30
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Counterparty Default Risk,65186602.95,88281708.37016653,-23095105.420166522,-26.16,-1656504.49,Passed,2024-06-30
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Non-Life Premium Risk,71025639.24,87771166.47182287,-16745527.231822878,-19.08,-3918256.03,Minor Issues,2024-06-30
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Non-Life Reserve Risk,12793996.16,16509465.202880114,-3715469.042880114,-22.51,-316839.1,Passed,2024-06-30
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Non-Life Catastrophe Risk,42136270.32,56241299.30222752,-14105028.98222752,-25.08,4038033.37,Under Review,2024-06-30
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Life Mortality Risk,13452948.85,13778362.145876857,-325413.2958768569,-2.36,3952267.69,Minor Issues,2024-06-30
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Life Longevity Risk,66489076.13,81954787.13935356,-15465711.009353556,-18.87,-3980327.96,Minor Issues,2024-06-30
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Life Lapse Risk,51589592.47,59282159.989903904,-7692567.519903906,-12.98,-3328329.39,Passed,2024-06-30
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Operational Risk,63039409.23,62231634.2779589,807774.952041097,1.3,1206257.23,Passed,2024-06-30
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Market Risk - Interest Rate,32137661.44,27337488.023553558,4800173.416446444,17.56,247948.92,Under Review,2024-06-30
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Market Risk - Equity,27998235.17,23596571.07904289,4401664.090957113,18.65,-3014910.84,Under Review,2024-06-30
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Market Risk - Property,51414182.69,44258829.73468577,7155352.955314226,16.17,-4125336.59,Passed,2024-06-30
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Market Risk - Spread,75801617.68,65531561.78949391,10270055.890506096,15.67,-1239402.72,Minor Issues,2024-06-30
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Market Risk - Currency,15005816.79,20461353.380818084,-5455536.590818085,-26.66,-188386.0,Under Review,2024-06-30
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Market Risk - Concentration,13333943.16,16817967.374266144,-3484024.2142661437,-20.72,2807865.88,Under Review,2024-06-30
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Counterparty Default Risk,72589959.75,88806065.47984275,-16216105.729842752,-18.26,-4452837.26,Passed,2024-06-30
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Non-Life Premium Risk,46273366.03,47681182.9959767,-1407816.9659767002,-2.95,2485810.5,Minor Issues,2024-06-30
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Non-Life Reserve Risk,49319675.64,60915733.18765895,-11596057.54765895,-19.04,-3195560.82,Minor Issues,2024-06-30
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Non-Life Catastrophe Risk,37780324.55,40019284.66771526,-2238960.117715262,-5.59,4809746.12,Under Review,2024-06-30
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Life Mortality Risk,6433262.21,8296500.700615974,-1863238.4906159742,-22.46,-4028883.57,Passed,2024-06-30
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Life Longevity Risk,11028354.18,10994231.304009711,34122.87599028833,0.31,2007668.94,Minor Issues,2024-06-30
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Life Lapse Risk,55883474.28,65759670.52010966,-9876196.24010966,-15.02,2745511.03,Passed,2024-06-30
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Operational Risk,22428353.99,26472335.742177945,-4043981.7521779463,-15.28,1380375.46,Passed,2024-06-30
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Market Risk - Interest Rate,54075163.46,62547237.25900611,-8472073.799006112,-13.55,-2784771.07,Passed,2024-06-30
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Market Risk - Equity,73572417.36,101942145.81340548,-28369728.453405485,-27.83,1891867.12,Minor Issues,2024-06-30
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Market Risk - Property,38305978.8,42991354.09879158,-4685375.29879158,-10.9,-3916284.82,Under Review,2024-06-30
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Market Risk - Spread,32254692.36,44694701.861501284,-12440009.501501285,-27.83,477222.63,Under Review,2024-06-30
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Market Risk - Currency,47047065.77,64566824.80063095,-17519759.030630946,-27.13,3863541.8,Passed,2024-06-30
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Market Risk - Concentration,47653728.34,45814032.778004915,1839695.561995089,4.02,-3830685.85,Minor Issues,2024-06-30
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Counterparty Default Risk,69773856.93,94338085.84560275,-24564228.915602744,-26.04,-57150.79,Minor Issues,2024-06-30
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Non-Life Premium Risk,12091142.47,14070883.727429643,-1979741.2574296426,-14.07,-1325386.01,Minor Issues,2024-06-30
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Non-Life Reserve Risk,16839549.55,22758416.032027796,-5918866.482027795,-26.01,-2605509.48,Passed,2024-06-30
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Non-Life Catastrophe Risk,58337113.69,61698889.94846559,-3361776.2584655955,-5.45,3279208.67,Under Review,2024-06-30
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Life Mortality Risk,57562617.76,50303742.43294598,7258875.327054016,14.43,-503882.65,Under Review,2024-06-30
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Life Longevity Risk,24484141.65,30070215.287835445,-5586073.637835447,-18.58,446888.27,Under Review,2024-06-30
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Life Lapse Risk,30513591.33,30442680.434952598,70910.89504740015,0.23,-3855130.07,Passed,2024-06-30
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Operational Risk,21036637.5,25834668.491498448,-4798030.991498448,-18.57,1099044.8,Passed,2024-06-30
