LEI,Undertaking_Name,Reporting_Date,Tier,Tier_Number,Restricted,Item_Name,Amount,Eligible_For_SCR,Eligible_For_MCR,Limit_Applied,Limit_Amount
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Tier 1 - Unrestricted,1,False,Share Premium,53957302.08,53957302.08,53957302.08,True,10791460.42
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Tier 1 - Unrestricted,1,False,Reconciliation Reserve,226427217.85,226427217.85,226427217.85,False,45285443.57
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Tier 1 - Unrestricted,1,False,Initial Funds,28796467.85,28796467.85,28796467.85,False,0.0
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Tier 1 - Restricted,1,True,Preference Shares,39390698.72,39390698.72,39390698.72,True,0.0
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Tier 1 - Restricted,1,True,Subordinated Liabilities (Tier 1),39532405.64,39532405.64,39532405.64,True,7906481.13
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Tier 2,2,False,Subordinated Liabilities (Tier 2),43257018.46,43257018.46,43257018.46,False,8651403.69
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Tier 2,2,False,Ancillary Own Funds (Tier 2),21100103.71,21100103.71,21100103.71,False,0.0
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Tier 3,3,False,Deferred Tax Assets,14833108.45,14833108.45,0.0,True,2966621.69
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Tier 3,3,False,Subordinated Liabilities (Tier 3),12258413.03,12258413.03,0.0,False,0.0
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Tier 1 - Unrestricted,1,False,Ordinary Share Capital,134800167.07,134800167.07,134800167.07,True,26960033.41
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Tier 1 - Unrestricted,1,False,Share Premium,52448393.31,52448393.31,52448393.31,False,0.0
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Tier 1 - Unrestricted,1,False,Reconciliation Reserve,252352508.75,252352508.75,252352508.75,False,50470501.75
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Tier 1 - Unrestricted,1,False,Initial Funds,32565651.65,32565651.65,32565651.65,False,0.0
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Tier 1 - Restricted,1,True,Preference Shares,34715035.9,34715035.9,34715035.9,False,0.0
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Tier 1 - Restricted,1,True,Subordinated Liabilities (Tier 1),31212238.37,31212238.37,31212238.37,False,0.0
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Tier 2,2,False,Subordinated Liabilities (Tier 2),42486485.82,42486485.82,42486485.82,True,8497297.16
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Tier 2,2,False,Ancillary Own Funds (Tier 2),17573421.8,17573421.8,17573421.8,False,0.0
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Tier 3,3,False,Deferred Tax Assets,14204997.97,14204997.97,0.0,False,0.0
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Tier 3,3,False,Subordinated Liabilities (Tier 3),9935841.71,9935841.71,0.0,False,0.0
549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Tier 1 - Unrestricted,1,False,Ordinary Share Capital,73075566.86,73075566.86,73075566.86,False,0.0
549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Tier 1 - Unrestricted,1,False,Share Premium,29356176.75,29356176.75,29356176.75,False,5871235.35
549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Tier 1 - Unrestricted,1,False,Reconciliation Reserve,95281966.11,95281966.11,95281966.11,True,0.0
549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Tier 1 - Unrestricted,1,False,Initial Funds,18473927.71,18473927.71,18473927.71,True,3694785.54
549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Tier 1 - Restricted,1,True,Preference Shares,14006891.44,14006891.44,14006891.44,False,0.0
549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Tier 1 - Restricted,1,True,Subordinated Liabilities (Tier 1),18353640.41,18353640.41,18353640.41,True,3670728.08
549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Tier 2,2,False,Subordinated Liabilities (Tier 2),24440384.93,24440384.93,24440384.93,True,4888076.99
549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Tier 2,2,False,Ancillary Own Funds (Tier 2),9563093.09,9563093.09,9563093.09,True,1912618.62
549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Tier 3,3,False,Deferred Tax Assets,6389749.85,6389749.85,0.0,False,0.0
549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Tier 3,3,False,Subordinated Liabilities (Tier 3),7039136.11,7039136.11,0.0,True,1407827.22
