reporting_period,LEI,Undertaking_Name,Reporting_Date,Line_Of_Business,Development_Period,Mean_Claims,Std_Dev_Claims,CV,P10,P25,P50,P75,P90,P95,P99,IQR,Skewness,Kurtosis,Number_Of_Simulations,Simulation_Method,Distribution_Type,Distribution_Param1,Distribution_Param2
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Workers' compensation insurance,14,152482619.28,1906032.74,0.0125,149432966.89,150576586.54,152482619.28,154388652.02,155532271.67,155913478.21,156218443.45,3812065.480000019,1.3086,4.5485,10000,Bootstrap,Gamma,1.7278,0.2263
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Workers' compensation insurance,15,152482619.28,953016.37,0.0063,150957793.09,151529602.91,152482619.28,153435635.65,154007445.47,154198048.75,154350531.37,1906032.7400000095,0.0269,4.9507,10000,Bootstrap,Weibull,1.9254,0.3039
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Motor vehicle liability insurance,0,47467700.26,15822566.75,0.3333,22151593.46,31645133.51,47467700.26,63290267.02,72783807.07,75948320.42,78479931.1,31645133.51,-0.1881,3.1566,10000,Bootstrap,Weibull,0.7771,0.1728
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Motor vehicle liability insurance,1,55378983.64,14833656.33,0.2679,31645133.51,40545327.31,55378983.64,70212639.97,79112833.77,82079565.04,84452950.05,29667312.659999996,0.659,3.102,10000,Bootstrap,Weibull,1.9884,0.5639
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Motor vehicle liability insurance,2,63290267.02,13844745.91,0.2188,41138673.56,49445521.11,63290267.02,77135012.93,85441860.47,88210809.65,90425969.0,27689491.820000008,0.2182,4.7829,10000,Bootstrap,Gamma,1.4311,0.2144
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Motor vehicle liability insurance,3,71201550.39,12855835.49,0.1806,50632213.61,58345714.91,71201550.39,84057385.88,91770887.17,94342054.27,96398987.95,25711670.97,0.4956,3.6027,10000,Bootstrap,LogNormal,1.6477,0.7244
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Motor vehicle liability insurance,4,79112833.77,11866925.07,0.15,60125753.67,67245908.7,79112833.77,90979758.84,98099913.87,100473298.89,102372006.9,23733850.14,0.2416,3.6737,10000,Bootstrap,LogNormal,1.2782,0.4802
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Motor vehicle liability insurance,5,87024117.15,10878014.64,0.125,69619293.72,76146102.5,87024117.15,97902131.79,104428940.58,106604543.51,108345025.85,21756029.290000007,-0.2846,4.7636,10000,Bootstrap,LogNormal,1.5088,0.5227
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Motor vehicle liability insurance,6,94935400.52,9889104.22,0.1042,79112833.77,85046296.3,94935400.52,104824504.75,110757967.28,112735788.12,114318044.8,19778208.450000003,0.6392,3.0329,10000,Bootstrap,LogNormal,1.2958,0.7714
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Motor vehicle liability insurance,7,102846683.9,8900193.8,0.0865,88606373.82,93946490.1,102846683.9,111746877.7,117086993.98,118867032.74,120291063.75,17800387.60000001,0.5673,3.7017,10000,Bootstrap,Gamma,1.1936,0.7855
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Motor vehicle liability insurance,8,110757967.28,7911283.38,0.0714,98099913.87,102846683.9,110757967.28,118669250.66,123416020.68,124998277.36,126264082.7,15822566.75999999,1.0067,4.3752,10000,Bootstrap,LogNormal,0.8693,0.6561
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Motor vehicle liability insurance,9,118669250.66,6922372.95,0.0583,107593453.93,111746877.7,118669250.66,125591623.61,129745047.38,131129521.97,132237101.65,13844745.909999996,1.0578,3.9047,10000,Bootstrap,LogNormal,1.6685,0.869
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Motor vehicle liability insurance,10,126580534.03,5933462.53,0.0469,117086993.98,120647071.5,126580534.03,132513996.56,136074074.08,137260766.59,138210120.6,11866925.060000002,-0.1522,3.2659,10000,Bootstrap,LogNormal,1.402,0.3607
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Motor vehicle liability insurance,11,134491817.41,4944552.11,0.0368,126580534.03,129547265.3,134491817.41,139436369.52,142403100.79,143392011.21,144183139.55,9889104.220000014,1.3828,2.9853,10000,Bootstrap,Gamma,1.0354,0.9949
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Motor vehicle liability insurance,12,142403100.79,3955641.69,0.0278,136074074.08,138447459.1,142403100.79,146358742.47,148732127.49,149523255.83,150156158.5,7911283.370000005,-0.1216,3.622,10000,Bootstrap,Gamma,0.9707,0.8288
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Motor vehicle liability insurance,13,150314384.16,2966731.27,0.0197,145567614.14,147347652.9,150314384.16,153281115.43,155061154.19,155654500.44,156129177.45,5933462.530000001,0.1083,2.9036,10000,Bootstrap,Weibull,1.8997,0.3857
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Motor vehicle liability insurance,14,158225667.54,1977820.84,0.0125,155061154.19,156247846.7,158225667.54,160203488.38,161390180.89,161785745.06,162102196.39,3955641.680000007,0.9835,3.2264,10000,Bootstrap,LogNormal,0.7679,0.8222
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Motor vehicle liability insurance,15,158225667.54,988910.42,0.0063,156643410.86,157236757.12,158225667.54,159214577.96,159807924.22,160005706.3,160163931.97,1977820.8400000036,-0.3888,3.3299,10000,Bootstrap,LogNormal,1.6701,0.5609
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Other motor insurance,0,66718036.32,22239345.44,0.3333,31135083.61,44478690.88,66718036.32,88957381.76,102300989.02,106748858.11,110307153.38,44478690.88,-0.3664,4.3745,10000,Bootstrap,Gamma,0.7579,0.8278
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Other motor insurance,1,77837709.04,20849386.35,0.2679,44478690.88,56988322.69,77837709.04,98687095.39,111196727.19,115366604.46,118702506.28,41698772.7,0.6283,4.3479,10000,Bootstrap,Gamma,0.8192,0.4559
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Other motor insurance,2,88957381.76,19459427.26,0.2188,57822298.14,69497954.5,88957381.76,108416809.02,120092465.37,123984350.82,127097859.18,38918854.519999996,1.1041,4.777,10000,Bootstrap,LogNormal,0.8399,0.8141
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Other motor insurance,3,100077054.48,18069468.17,0.1806,71165905.4,82007586.31,100077054.48,118146522.64,128988203.55,132602097.18,135493212.09,36138936.33,-0.2829,3.5644,10000,Bootstrap,Gamma,1.9081,0.9506
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Other motor insurance,4,111196727.19,16679509.08,0.15,84509512.67,94517218.12,111196727.19,127876236.27,137883941.72,141219843.54,143888564.99,33359018.14999999,0.0934,2.9823,10000,Bootstrap,Weibull,0.7242,0.5328
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Other motor insurance,5,122316399.91,15289549.99,0.125,97853119.93,107026849.93,122316399.91,137605949.9,146779679.9,149837589.9,152283917.89,30579099.97,-0.3158,3.3921,10000,Bootstrap,LogNormal,0.5255,0.3335
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Other motor insurance,6,133436072.63,13899590.9,0.1042,111196727.2,119536481.73,133436072.63,147335663.53,155675418.07,158455336.25,160679270.8,27799181.799999997,1.3006,3.6174,10000,Bootstrap,Gamma,0.6106,0.6822
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Other motor insurance,7,144555745.35,12509631.81,0.0865,124540334.46,132046113.54,144555745.35,157065377.16,164571156.25,167073082.61,169074623.7,25019263.61999999,1.4113,3.6585,10000,Bootstrap,LogNormal,1.4364,0.9275
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Other motor insurance,8,155675418.07,11119672.72,0.0714,137883941.72,144555745.35,155675418.07,166795090.79,173466894.42,175690828.97,177469976.6,22239345.439999998,0.3382,4.1615,10000,Bootstrap,LogNormal,1.1611,0.9659
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Other motor insurance,9,166795090.79,9729713.63,0.0583,151227548.99,157065377.16,166795090.79,176524804.42,182362632.6,184308575.33,185865329.51,19459427.25999999,0.5076,4.7141,10000,Bootstrap,LogNormal,1.2608,0.7015
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Other motor insurance,10,177914763.51,8339754.54,0.0469,164571156.25,169575008.97,177914763.51,186254518.05,191258370.78,192926321.68,194260682.41,16679509.080000013,0.2723,4.7939,10000,Bootstrap,Weibull,1.4704,0.1179
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Other motor insurance,11,189034436.23,6949795.45,0.0368,177914763.51,182084640.78,189034436.23,195984231.68,200154108.95,201544068.04,202656035.31,13899590.900000006,-0.4687,4.1904,10000,Bootstrap,LogNormal,0.6714,0.7445
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Other motor insurance,12,200154108.95,5559836.36,0.0278,191258370.78,194594272.59,200154108.95,205713945.31,209049847.13,210161814.4,211051388.22,11119672.719999999,0.144,3.8473,10000,Bootstrap,LogNormal,0.7616,0.3216
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Other motor insurance,13,211273781.67,4169877.27,0.0197,204601978.04,207103904.4,211273781.67,215443658.94,217945585.3,218779560.76,219446741.12,8339754.539999992,0.3738,4.1637,10000,Bootstrap,Weibull,0.7336,0.3532
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Other motor insurance,14,222393454.39,2779918.18,0.0125,217945585.3,219613536.21,222393454.39,225173372.57,226841323.48,227397307.11,227842094.02,5559836.3599999845,-0.0861,4.6567,10000,Bootstrap,LogNormal,1.472,0.5216
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Other motor insurance,15,222393454.39,1389959.09,0.0063,220169519.85,221003495.3,222393454.39,223783413.48,224617388.93,224895380.75,225117774.21,2779918.1799999774,1.3939,4.3396,10000,Bootstrap,LogNormal,1.8983,0.6378
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,"Marine, aviation and transport insurance",0,25354268.35,8451422.78,0.3333,11831991.89,16902845.56,25354268.35,33805691.13,38876544.8,40566829.35,41919057.0,16902845.570000004,0.8509,3.0037,10000,Bootstrap,Gamma,1.019,0.5587
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,"Marine, aviation and transport insurance",1,29579979.74,7923208.86,0.2679,16902845.56,21656770.88,29579979.74,37503188.6,42257113.91,43841755.68,45109469.1,15846417.720000003,-0.1853,2.552,10000,Bootstrap,LogNormal,0.9906,0.8419
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,"Marine, aviation and transport insurance",2,33805691.13,7394994.93,0.2188,21973699.23,26410696.19,33805691.13,41200686.06,45637683.02,47116682.01,48299881.2,14789989.870000001,-0.4692,2.7736,10000,Bootstrap,LogNormal,1.7103,0.3753
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,"Marine, aviation and transport insurance",3,38031402.52,6866781.01,0.1806,27044552.9,31164621.51,38031402.52,44898183.53,49018252.14,50391608.34,51490293.3,13733562.02,1.3764,3.4506,10000,Bootstrap,Gamma,1.6951,0.3329
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,"Marine, aviation and transport insurance",4,42257113.91,6338567.09,0.15,32115406.57,35918546.82,42257113.91,48595681.0,52398821.25,53666534.67,54680705.4,12677134.18,-0.3763,4.7039,10000,Bootstrap,LogNormal,1.8909,0.7373
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,"Marine, aviation and transport insurance",5,46482825.3,5810353.16,0.125,37186260.24,40672472.14,46482825.3,52293178.46,55779390.36,56941460.99,57871117.5,11620706.32,1.0401,2.5178,10000,Bootstrap,Weibull,1.6307,0.525
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,"Marine, aviation and transport insurance",6,50708536.69,5282139.24,0.1042,42257113.91,45426397.45,50708536.69,55990675.93,59159959.47,60216387.32,61061529.6,10564278.479999997,0.4056,3.8502,10000,Bootstrap,Weibull,0.9068,0.7267
