reporting_period,LEI,Undertaking_Name,Reporting_Date,Item_ID,Category,Item_Name,Tier,Restricted,Issue_Date,Maturity_Date,Nominal_Amount,Solvency_II_Value,Coupon_Rate,Currency,Callable,First_Call_Date,Approved_By_PRA,Approval_Date
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,OF_549300HI_6356,Ancillary,Guarantee - Parent Co,2,N/A,2021-07-06,Perpetual,75207495.38,45328708.1,0.0,EUR,True,,True,2021-07-06
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,OF_549300OP_6326,Share Capital,Ordinary Shares,1,Unrestricted,2013-09-18,Perpetual,99006986.6,42048074.31,0.0,EUR,False,2029-04-06,True,2013-09-18
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,OF_549300OP_6047,Share Capital,Preference Shares A,1,Restricted,2022-10-28,Perpetual,17604205.25,37312694.16,0.0,USD,False,2042-04-11,True,2022-10-28
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,OF_549300OP_9078,Share Capital,Preference Shares B,1,Restricted,2017-12-21,Perpetual,18949342.43,40537374.17,0.0,GBP,True,,True,2017-12-21
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,OF_549300OP_5159,Subordinated,Sub Debt 2025,2,N/A,2014-04-01,2043-06-09,21508559.49,49558137.75,6.8899,EUR,False,2043-06-09,True,2014-04-01
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,OF_549300OP_4060,Subordinated,Sub Debt 2030,2,N/A,2012-08-20,2043-08-01,16069874.78,60679713.29,3.2191,EUR,True,,True,2012-08-20
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,OF_549300OP_8676,Subordinated,Sub Debt 2035,3,N/A,2011-03-02,2035-04-22,89614825.23,92924438.15,5.4618,EUR,False,2035-04-22,True,2011-03-02
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,OF_549300OP_9502,Ancillary,Letter of Credit - Bank A,2,N/A,2013-08-23,2035-03-19,79230804.72,63361984.17,0.0,GBP,True,2035-03-19,True,2013-08-23
2025-11-30,549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,OF_549300OP_6968,Ancillary,Guarantee - Parent Co,2,N/A,2010-11-25,Perpetual,40659659.02,32062671.79,0.0,USD,True,2028-03-26,True,2010-11-25
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,OF_549300UV_8628,Share Capital,Ordinary Shares,1,Unrestricted,2012-01-02,Perpetual,78273623.48,48698219.59,0.0,EUR,False,,True,2012-01-02
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,OF_549300UV_7098,Share Capital,Preference Shares A,1,Restricted,2020-04-23,Perpetual,92821461.24,97812275.18,0.0,EUR,False,2048-12-23,True,2020-04-23
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,OF_549300UV_1662,Share Capital,Preference Shares B,1,Restricted,2013-11-18,Perpetual,28935340.36,60495697.45,0.0,GBP,True,,True,2013-11-18
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,OF_549300UV_6254,Subordinated,Sub Debt 2025,2,N/A,2014-04-13,2045-02-27,58324081.69,88128897.55,6.4549,GBP,False,2045-02-27,True,2014-04-13
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,OF_549300UV_2533,Subordinated,Sub Debt 2030,2,N/A,2015-03-07,2048-10-28,64663975.58,71112238.47,4.9473,GBP,True,2048-10-28,True,2015-03-07
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,OF_549300UV_1393,Subordinated,Sub Debt 2035,3,N/A,2022-12-19,2048-06-22,96426234.46,15186307.56,3.1456,GBP,False,2048-06-22,True,2022-12-19
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,OF_549300UV_1928,Ancillary,Letter of Credit - Bank A,2,N/A,2017-05-21,2048-09-07,47403076.26,23911835.26,0.0,EUR,True,2048-09-07,True,2017-05-21
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,OF_549300UV_9189,Ancillary,Guarantee - Parent Co,2,N/A,2019-07-16,Perpetual,59032029.05,10810891.34,0.0,GBP,True,2027-04-22,True,2019-07-16
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,OF_549300AB_2893,Share Capital,Ordinary Shares,1,Unrestricted,2016-01-21,Perpetual,51371467.73,36543210.7,0.0,GBP,True,2029-12-05,True,2016-01-21
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,OF_549300AB_3287,Share Capital,Preference Shares A,1,Restricted,2023-11-23,Perpetual,28212431.19,50018458.4,0.0,GBP,True,2039-07-15,True,2023-11-23
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,OF_549300AB_3960,Share Capital,Preference Shares B,1,Restricted,2011-02-13,Perpetual,86909406.56,68985521.58,0.0,GBP,True,2037-02-05,True,2011-02-13
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,OF_549300AB_9669,Subordinated,Sub Debt 2025,2,N/A,2017-03-24,2035-11-24,24394748.49,54898575.28,7.6584,USD,True,2035-11-24,True,2017-03-24
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,OF_549300AB_4153,Subordinated,Sub Debt 2030,2,N/A,2019-12-24,2031-01-10,49530234.04,52349160.87,7.7068,USD,False,,True,2019-12-24
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,OF_549300AB_5939,Subordinated,Sub Debt 2035,3,N/A,2013-09-01,2046-03-15,22222736.47,76153733.69,4.4958,EUR,True,2046-03-15,True,2013-09-01
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,OF_549300AB_1372,Ancillary,Letter of Credit - Bank A,2,N/A,2022-05-06,2028-02-10,87930249.29,14892623.66,0.0,EUR,False,2028-02-10,True,2022-05-06
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,OF_549300AB_3459,Ancillary,Guarantee - Parent Co,2,N/A,2015-01-19,Perpetual,99136141.13,79174793.79,0.0,EUR,False,,True,2015-01-19
