reporting_period,LEI,Undertaking_Name,Reporting_Date,Product_Type,Number_Of_Policies,Sum_Insured,Annual_Premium,Best_Estimate,Risk_Margin,Technical_Provisions,Average_Age,Average_Duration,Average_Premium,Persistency_Rate,Claim_Rate,New_Business_Strain
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Endowment,69879,1774626297.5524747,10186774.674505297,123762774.16,5975527.6451067645,127757081.25563742,52.7,19.4,207.81,95.0557,0.8341,-691102.8122272919
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Pure Endowment,70228,602393106.2118078,3410489.903664147,51835378.18,3898444.6701242574,53988191.22936348,43.7,22.0,55.59,90.9601,0.2176,-28062.371628237546
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Immediate Annuity,48419,523105737.8336351,3832089.6068592593,35217800.37,1508259.7368708493,37266979.216267385,37.3,21.0,313.41,97.0293,4.3848,-557294.9172319362
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Deferred Annuity,74946,420783595.1764124,9054412.254477251,78638261.54,4462346.962105718,82803519.39049448,62.2,8.4,500.66,85.1257,0.4593,-2175358.922156552
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Unit-Linked,9094,260653108.87596598,2115934.9738235804,25991398.87,1014292.2586978133,27745927.555001285,41.1,18.8,35.71,89.5404,2.608,1127681.128932184
2025-11-30,549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,With-Profits,67255,267303627.81156832,3619464.3334879475,26723294.27,1587329.2712191443,27894937.713077348,46.9,18.6,97.19,96.5806,0.3012,-1144989.4145894353
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Term Assurance,76065,575300012.103305,6005416.872873043,78509274.25,3223865.5777708204,81633256.60077946,38.9,23.7,110.05,86.8745,1.1016,-1992049.3862617693
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Whole of Life,20641,2360022760.1663775,24238956.36652247,187942677.16,6622707.70241437,201439873.3170895,47.2,10.3,832.86,92.4848,4.1287,5237063.126941125
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Endowment,44007,2573487727.7616425,13300926.279864503,180199546.86,9224936.42891683,185737336.07259887,61.4,8.1,260.4,96.1992,1.714,-2376226.733145386
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Pure Endowment,58912,223619494.18821117,3754663.783133382,27043805.81,845859.122044142,28404552.04811718,35.9,12.4,166.58,87.2443,1.3359,1021169.7077949329
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Immediate Annuity,90167,762104818.1906271,10728769.468269045,98488859.71,3654463.41283829,102720884.6829612,51.4,9.8,352.73,93.8287,2.5083,2678789.338296759
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Deferred Annuity,94967,1174241496.3799543,15915727.647743907,190684016.43,8767165.43070486,197845945.23664203,59.3,20.2,246.25,91.2975,2.7351,-8398789.282582182
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Unit-Linked,65071,1549497784.543159,12884999.167921444,119991323.42,5191462.82572527,127596063.15480658,45.8,15.9,928.8,91.3383,1.9678,2626345.8534989087
2025-11-30,549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,With-Profits,67895,904824001.5125875,25675742.15055432,179097700.16,9953490.22827675,190745604.57489267,60.7,14.3,301.56,95.8547,0.9703,-6104231.071452772
