Syndicate_Number,Claim_Type,Origin_Year,Development_Year,Cumulative_Paid,Cumulative_Incurred
2987,Reinsurance,2022,2,4585933,5260334
2987,Reinsurance,2023,0,788805,1183207
2987,Reinsurance,2023,1,2290239,2810748
33,Reinsurance,2015,0,1383432,2075148
33,Reinsurance,2015,1,2565755,3148882
33,Reinsurance,2015,2,3431084,3935656
33,Reinsurance,2015,3,5763854,6390360
33,Reinsurance,2015,4,6076907,6600778
33,Reinsurance,2015,5,3292990,3528203
33,Reinsurance,2015,6,9066296,9619118
33,Reinsurance,2015,7,9927434,10455489
33,Reinsurance,2015,8,6718215,6718215
33,Reinsurance,2015,9,6477593,6477593
33,Reinsurance,2016,0,1433782,2150673
33,Reinsurance,2016,1,1558263,1912413
33,Reinsurance,2016,2,4078351,4678109
33,Reinsurance,2016,3,5177864,5740675
33,Reinsurance,2016,4,8188505,8894410
33,Reinsurance,2016,5,4421658,4737491
33,Reinsurance,2016,6,5763268,6114687
33,Reinsurance,2016,7,9734456,10252246
33,Reinsurance,2016,8,3059945,3059945
33,Reinsurance,2017,0,725246,1087870
33,Reinsurance,2017,1,1368615,1679664
33,Reinsurance,2017,2,2369918,2718435
33,Reinsurance,2017,3,3800291,4213366
33,Reinsurance,2017,4,4603230,5000060
33,Reinsurance,2017,5,8662290,9281025
33,Reinsurance,2017,6,2560238,2716350
33,Reinsurance,2017,7,4028687,4242979
33,Reinsurance,2018,0,453662,680493
33,Reinsurance,2018,1,1354299,1662095
33,Reinsurance,2018,2,3131916,3592492
33,Reinsurance,2018,3,2105133,2333951
33,Reinsurance,2018,4,3368315,3658687
33,Reinsurance,2018,5,1955168,2094823
33,Reinsurance,2018,6,8078962,8571582
33,Reinsurance,2019,0,970605,1455908
33,Reinsurance,2019,1,1795534,2203610
33,Reinsurance,2019,2,4224229,4845439
33,Reinsurance,2019,3,5004935,5548950
33,Reinsurance,2019,4,5724971,6218503
33,Reinsurance,2019,5,1927502,2065180
33,Reinsurance,2020,0,566412,849618
33,Reinsurance,2020,1,2190893,2688823
33,Reinsurance,2020,2,3176009,3643069
33,Reinsurance,2020,3,6099172,6762126
33,Reinsurance,2020,4,1098073,1192734
33,Reinsurance,2021,0,1309017,1963526
33,Reinsurance,2021,1,2014777,2472681
33,Reinsurance,2021,2,3774975,4330119
33,Reinsurance,2021,3,744603,825538
33,Reinsurance,2022,0,858183,1287275
33,Reinsurance,2022,1,1652610,2028203
33,Reinsurance,2022,2,3179499,3647072
33,Reinsurance,2023,0,993601,1490401
33,Reinsurance,2023,1,2713878,3330668
1183,Reinsurance,2015,0,1249509,1874264
1183,Reinsurance,2015,1,3001917,3684171
1183,Reinsurance,2015,2,2019610,2316611
1183,Reinsurance,2015,3,5211504,5777972
1183,Reinsurance,2015,4,3432173,3728050
1183,Reinsurance,2015,5,4896439,5246185
1183,Reinsurance,2015,6,8425120,8938847
1183,Reinsurance,2015,7,10600628,11164491
1183,Reinsurance,2015,8,2084346,2084346
1183,Reinsurance,2015,9,9328729,9328729
1183,Reinsurance,2016,0,826718,1240077
1183,Reinsurance,2016,1,3292564,4040875
1183,Reinsurance,2016,2,3277589,3759588
1183,Reinsurance,2016,3,2218483,2459622
1183,Reinsurance,2016,4,6327687,6873177
1183,Reinsurance,2016,5,2848640,3052115
1183,Reinsurance,2016,6,11502703,12204087
1183,Reinsurance,2016,7,11518129,12130795
1183,Reinsurance,2016,8,2042906,2042906
1183,Reinsurance,2017,0,943267,1414901
1183,Reinsurance,2017,1,2951602,3622421
1183,Reinsurance,2017,2,4373321,5016457
1183,Reinsurance,2017,3,6830056,7572453
1183,Reinsurance,2017,4,1186468,1288750
1183,Reinsurance,2017,5,2233059,2392564
1183,Reinsurance,2017,6,11841012,12563025
1183,Reinsurance,2017,7,9521367,10027823
1183,Reinsurance,2018,0,423199,634798
1183,Reinsurance,2018,1,2374947,2914708
1183,Reinsurance,2018,2,1753954,2011888
1183,Reinsurance,2018,3,1155687,1281305
1183,Reinsurance,2018,4,3907830,4244712
1183,Reinsurance,2018,5,6392658,6849276
1183,Reinsurance,2018,6,6634193,7038717
1183,Reinsurance,2019,0,576128,864192
1183,Reinsurance,2019,1,2343947,2876662
1183,Reinsurance,2019,2,2747293,3151307
1183,Reinsurance,2019,3,3815600,4230339
1183,Reinsurance,2019,4,5297034,5753675
1183,Reinsurance,2019,5,4971431,5326534
1183,Reinsurance,2020,0,998722,1498083
1183,Reinsurance,2020,1,1447357,1776302
1183,Reinsurance,2020,2,1070656,1228106
1183,Reinsurance,2020,3,5045522,5593948
1183,Reinsurance,2020,4,1096337,1190849
1183,Reinsurance,2021,0,1235993,1853990
1183,Reinsurance,2021,1,560696,688127
1183,Reinsurance,2021,2,2905514,3332796
1183,Reinsurance,2021,3,2766526,3067235
1183,Reinsurance,2022,0,1458912,2188369
1183,Reinsurance,2022,1,633923,777996
1183,Reinsurance,2022,2,4971328,5702406
1183,Reinsurance,2023,0,231050,346575
1183,Reinsurance,2023,1,467437,573673
2791,Reinsurance,2015,0,647847,971770
2791,Reinsurance,2015,1,1213005,1488688
2791,Reinsurance,2015,2,649503,745018
2791,Reinsurance,2015,3,6444203,7144660
2791,Reinsurance,2015,4,2649359,2877752
2791,Reinsurance,2015,5,4411780,4726908
2791,Reinsurance,2015,6,3313754,3515812
2791,Reinsurance,2015,7,10372000,10923702
2791,Reinsurance,2015,8,14977986,14977986
2791,Reinsurance,2015,9,3802963,3802963
2791,Reinsurance,2016,0,1285420,1928131
2791,Reinsurance,2016,1,1295405,1589815
2791,Reinsurance,2016,2,3693206,4236324
2791,Reinsurance,2016,3,3063078,3396022
2791,Reinsurance,2016,4,5177567,5623909
2791,Reinsurance,2016,5,3414628,3658531
2791,Reinsurance,2016,6,11232549,11917460
2791,Reinsurance,2016,7,12901976,13588251
2791,Reinsurance,2016,8,3805851,3805851
2791,Reinsurance,2017,0,479704,719556
2791,Reinsurance,2017,1,1707648,2095750
2791,Reinsurance,2017,2,1249947,1433762
2791,Reinsurance,2017,3,6049212,6706735
2791,Reinsurance,2017,4,1169845,1270694
2791,Reinsurance,2017,5,5446370,5835396
2791,Reinsurance,2017,6,10735701,11390317
2791,Reinsurance,2017,7,8512571,8965367
2791,Reinsurance,2018,0,948570,1422856
2791,Reinsurance,2018,1,1208439,1483084
2791,Reinsurance,2018,2,1030203,1181704
2791,Reinsurance,2018,3,6173431,6844457
2791,Reinsurance,2018,4,8194273,8900676
2791,Reinsurance,2018,5,4472442,4791902
2791,Reinsurance,2018,6,2912266,3089843
2791,Reinsurance,2019,0,757166,1135749
2791,Reinsurance,2019,1,2989334,3668728
2791,Reinsurance,2019,2,1338634,1535492
2791,Reinsurance,2019,3,5931114,6575800
2791,Reinsurance,2019,4,1349561,1465903
2791,Reinsurance,2019,5,5943094,6367601
2791,Reinsurance,2020,0,1222557,1833836
2791,Reinsurance,2020,1,2227365,2733584
2791,Reinsurance,2020,2,5038182,5779091
2791,Reinsurance,2020,3,4121865,4569894
2791,Reinsurance,2020,4,1675203,1819617
2791,Reinsurance,2021,0,1168633,1752950
2791,Reinsurance,2021,1,3198088,3924927
2791,Reinsurance,2021,2,2845762,3264257
2791,Reinsurance,2021,3,807171,894907
2791,Reinsurance,2022,0,995689,1493534
2791,Reinsurance,2022,1,2501194,3069647
2791,Reinsurance,2022,2,1232424,1413663
2791,Reinsurance,2023,0,1022797,1534196
2791,Reinsurance,2023,1,1934197,2373788
623,Reinsurance,2015,0,1429601,2144402
623,Reinsurance,2015,1,2366270,2904059
623,Reinsurance,2015,2,1557240,1786246
623,Reinsurance,2015,3,4723056,5236432
623,Reinsurance,2015,4,2926741,3179046
623,Reinsurance,2015,5,8402904,9003111
623,Reinsurance,2015,6,11968258,12698030
623,Reinsurance,2015,7,6521228,6868101
623,Reinsurance,2015,8,13899953,13899953
623,Reinsurance,2015,9,12334851,12334851
623,Reinsurance,2016,0,1123409,1685113
623,Reinsurance,2016,1,2389011,2931969
623,Reinsurance,2016,2,3491552,4005016
623,Reinsurance,2016,3,6176921,6848325
623,Reinsurance,2016,4,4004039,4349214
623,Reinsurance,2016,5,5592193,5991636
623,Reinsurance,2016,6,5282825,5604949
623,Reinsurance,2016,7,3050069,3212306
623,Reinsurance,2016,8,7115567,7115567
623,Reinsurance,2017,0,1057584,1586376
623,Reinsurance,2017,1,1410116,1730597
623,Reinsurance,2017,2,3690977,4233768
623,Reinsurance,2017,3,5967390,6616020
623,Reinsurance,2017,4,7996808,8686188
623,Reinsurance,2017,5,10466687,11214308
623,Reinsurance,2017,6,7486651,7943154
623,Reinsurance,2017,7,7776204,8189832
623,Reinsurance,2018,0,207780,311671
623,Reinsurance,2018,1,2519374,3091960
623,Reinsurance,2018,2,2734755,3136925
623,Reinsurance,2018,3,2374023,2632069
623,Reinsurance,2018,4,6563092,7128876
623,Reinsurance,2018,5,4039375,4327902
623,Reinsurance,2018,6,7087727,7519905
623,Reinsurance,2019,0,670132,1005198
623,Reinsurance,2019,1,1837423,2255019
623,Reinsurance,2019,2,2424291,2780804
623,Reinsurance,2019,3,6211005,6886114
623,Reinsurance,2019,4,4095972,4449073
623,Reinsurance,2019,5,8882685,9517163
623,Reinsurance,2020,0,170436,255655
623,Reinsurance,2020,1,2618237,3213291
623,Reinsurance,2020,2,1817801,2085124
623,Reinsurance,2020,3,1482863,1644044
623,Reinsurance,2020,4,3688300,4006257
623,Reinsurance,2021,0,968247,1452371
623,Reinsurance,2021,1,2494001,3060820
623,Reinsurance,2021,2,4310238,4944097
623,Reinsurance,2021,3,2915645,3232563
623,Reinsurance,2022,0,1108502,1662753
623,Reinsurance,2022,1,3190823,3916010
623,Reinsurance,2022,2,3869723,4438800
623,Reinsurance,2023,0,1052294,1578441
623,Reinsurance,2023,1,406373,498731
