reporting_period,LEI,Undertaking_Name,Reporting_Date,Country,Line_Of_Business,Gross_Written_Premium,Gross_Earned_Premium,Reinsurance_Premium_Ceded,Net_Written_Premium,Net_Earned_Premium,Gross_Claims_Incurred,Reinsurance_Recoveries,Net_Claims_Incurred,Gross_Claims_Paid,Net_Claims_Paid,Acquisition_Costs,Administrative_Expenses,Other_Expenses,Policy_Count,Claim_Count,Average_Premium,Average_Claim
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,DE,General liability insurance,5222707.23,4671026.202291112,1524960.603588232,3952258.0148633188,3298889.510944151,3206356.638097176,486879.861380693,2602379.758515926,2065049.5088083865,1991927.6700304947,1012159.8709782758,631864.093417089,170396.80379265227,13049,528,374.12,23067.31
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,FR,Medical expense insurance,6216763.75,5587663.667896409,1464693.6014090502,4859375.389903317,4090862.6596263857,3593491.5109424116,547698.3686494406,2708728.884751814,2700292.802236516,2488759.1447376916,1408912.656145953,702382.8940995729,266923.37268287624,10926,1575,388.6,2405.28
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,FR,Income protection insurance,37332323.3,34058199.15329622,7371299.816676803,26226954.73025943,26542260.0334735,29490009.911189295,8811906.624907538,22136494.323738318,18193835.042942066,19012685.361098714,9511384.358779263,3743119.816671641,1738380.7384311017,12992,840,6807.5,27716.17
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,FR,Workers' compensation insurance,18783900.34,18117495.56413122,4791517.509339073,14807369.472423973,14920745.80886096,15237345.44892225,3796284.082832249,10858896.490791239,12013375.09347419,8289317.833622102,3766341.9982070667,2641033.417240629,919977.0885475352,1713,308,1107.61,12112.36
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,FR,Motor vehicle liability insurance,17941007.19,16426729.473133389,3710573.9952996415,12293498.509716535,13698555.366305921,10318960.02660246,2068063.821253794,7644631.211300463,7186793.067908662,7186283.455935551,3603307.61784814,1535728.2161251442,423282.7227097169,11378,1831,4736.27,5608.13
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,FR,Other motor insurance,24857887.69,22915887.56265956,5875627.55412547,16425757.015918,17739588.745221894,17643562.99410626,4427614.995013014,11996032.510706093,11044161.983993122,9257833.301499274,4055158.4981236546,3049555.0645827735,692523.5020586024,14927,254,1401.71,9218.16
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,FR,"Marine, aviation and transport insurance",12302915.63,12004982.44820653,3948294.653516333,8564046.866917267,8268353.883018253,6898863.020824676,1324433.8467464475,5162937.937047427,4173140.406821133,4375766.696400898,2682165.519685935,1758144.7745705463,326958.6856192681,15472,81,2355.53,7760.25
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,FR,Fire and other damage to property insurance,32752042.1,29238341.414355956,7523532.012702361,22403396.658238284,21486600.902038116,25454440.220580403,5158322.83719117,19377123.35142531,17890722.874495756,17552021.711222507,5450860.742200068,4852491.77351368,957196.300167373,5558,203,2061.95,15426.93
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,FR,General liability insurance,31596335.65,28256860.15148758,10160681.277009044,22489392.700787224,23537633.019288898,19546740.47191426,5146436.611655743,14549640.935874572,14150957.921344152,12635943.13004869,5099979.666730971,4005551.0849042814,1764101.9064048529,9184,743,2336.32,14164.3
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,JP,Medical expense insurance,5138163.29,4889800.886160398,1220089.3959802373,3754505.880339005,3237724.499385408,2822026.58349322,709327.6928486908,1905740.1257131128,2029474.8495821855,1842001.8263929933,943235.071065462,583978.1119776588,306648.8672819433,3131,1794,456.08,1572.16
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,JP,Income protection insurance,28406065.66,26175756.61588527,8623291.40901225,18694083.9242807,17811752.482761513,22567905.321213376,4301761.381090531,16483381.05446785,18312415.777717263,12846852.550633185,6678287.487705614,3682903.243023504,1234166.6907586718,17985,828,2611.81,16930.16
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,JP,Workers' compensation insurance,16217952.82,14826883.205177344,2704744.9899347094,13761918.94854582,10184552.279159658,11384494.76468676,1872404.1741060426,9400247.340039434,7689755.637996097,7172907.881709677,3126346.8451523297,1741837.3082452568,494396.4889471354,16489,1836,889.73,92556.87
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,JP,Motor vehicle liability insurance,15692628.21,14940034.977677582,3959363.693916986,13161611.965446472,9560163.884956062,10102053.147235941,2531712.558469308,7746708.519045504,8385201.603153726,5150346.977270634,3523857.2809470966,2193109.053612267,465711.8398426057,2742,530,1582.56,19615.64
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,JP,Other motor insurance,35422816.9,33766639.49353615,11924122.291085279,27680789.472076815,24675053.69511826,17947508.369956248,2853226.739252687,14968630.51365561,12878666.37025271,9077838.047312304,8490025.250447275,4028587.6486321464,884642.7944853957,3461,938,9509.48,11168.33
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,JP,"Marine, aviation and transport insurance",10928056.94,10244281.357420944,2998723.2545249006,8208593.137678953,8521288.663754566,5710693.709842291,1839995.588468823,4415079.385350246,3444628.313011613,3649395.5793160284,2233038.0426395317,1306875.6617678734,502288.72990047385,3793,958,1836.34,3882.18
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,JP,Fire and other damage to property insurance,15958754.73,14257511.366244419,4537111.65563942,10387105.26795058,12821634.482436623,13101889.902550206,2260086.8388359933,8764860.984033985,8951891.277769959,7529829.821472825,2838408.3075668705,1930347.2935762345,601909.3928844348,10312,1900,11021.24,90985.35
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,JP,General liability insurance,4264496.79,4098366.031044313,1227920.5147953024,3390164.799151192,3213663.897995749,2609352.7126916135,553690.5662876869,1748090.928335253,1743352.3740590191,1738760.6022288376,1183232.412578504,488580.37383815297,86944.62109724697,11129,1680,1823.99,4014.39
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,CH,Medical expense insurance,8181658.05,7673237.831492756,1350126.813841379,6861723.099903191,5566132.5803791955,5013132.621124735,1666951.035649217,4041108.0659111403,3954656.38119018,3114879.454018647,1893905.7196109537,1019927.3453733141,369392.49689460074,12246,817,559.93,14405.55
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,CH,Income protection insurance,23487944.56,22389391.237750567,7172966.423331152,19365635.61026937,15207052.390203983,19853065.502766516,3310713.7173986784,14821879.552940939,14463358.732619211,13218892.789592506,4878255.017886843,2817607.0599125153,964951.410519651,8501,1137,1677.47,16421.06
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,CH,Workers' compensation insurance,4413503.0,4249339.792589452,801051.2782868408,3393393.9281360465,3224480.222124094,3157089.9771213094,577232.8374514669,2130065.607361828,2667782.027830117,1827146.3574230804,792509.8926582427,406010.1373646112,206128.5466281899,6400,398,707.75,14962.51
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,CH,Motor vehicle liability insurance,25549476.0,22708389.66877592,8398289.479252663,18596269.892575853,17091098.90831987,18529584.832355622,4492910.856850884,13489782.59212993,15118181.734147932,12708556.430443183,4840320.587204263,3589075.582476712,1309689.7776579994,13035,1319,3044.87,17333.57
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,CH,Other motor insurance,37439883.88,35107226.1728033,7671766.056513013,30506724.92797655,22507784.484881844,21940244.043099687,5769490.661254313,15749599.840487331,14934086.24636468,13800002.447656754,9760314.84003242,4591765.04037981,2026505.5676034803,19608,343,4617.65,22072.68
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,CH,"Marine, aviation and transport insurance",12790093.14,11831522.392964115,1948301.8408501083,9737896.375450617,9535466.582445128,8720613.558096401,2340463.38979636,6952561.306339571,6477975.944383918,4476727.414539781,2112129.3538413444,1557235.0293700513,396482.2418761919,8822,991,1442.6,6162.98
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,CH,Fire and other damage to property insurance,5946869.77,5562893.827737154,1283032.3815250092,4722330.431511132,4410374.254988997,3867611.9338431293,837584.2431085218,3097858.5572654526,2947792.3322872883,2426884.2377020665,1319881.5857798588,480490.8826992304,284618.89596026216,807,1890,377.7,2040.96
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,CH,General liability insurance,16913546.27,16267423.044976966,4525031.46110819,11846863.399092102,10906156.144585231,14036778.666561896,3061098.125570955,10461801.881987488,9461018.708742002,8463979.604422685,2900641.9851688915,2510645.0644947155,411286.40356278326,9925,1437,918.72,37632.11
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,AU,Medical expense insurance,37481933.17,34953253.836571746,11056497.64814133,27632043.193200156,27684440.966651667,30725901.074142057,6701785.673408207,21822512.148094974,22877198.446476933,18424047.155285347,8446168.625048326,3750676.1461191485,1299810.2205349088,2920,954,3170.26,24521.87
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,AU,Income protection insurance,6104224.54,5526433.518278799,1006277.581148689,4094438.775615907,4754240.178723122,3163799.620070161,499167.660580949,2473422.3452653466,2113859.297579432,2133378.9887347124,1300498.9156797228,618909.4757312657,248475.86256379713,10302,1358,423.82,2162.54
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,AU,Workers' compensation insurance,17132446.7,15272775.922199927,5986044.334968446,12594253.033502145,11591997.452300547,11949973.619623192,3489893.833298669,8637200.514318226,9659385.66252479,7060691.444266435,4172480.506164863,1499461.2912403927,922492.6079348144,8695,985,1647.51,26148.74
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,AU,Motor vehicle liability insurance,30221565.51,27034054.71492188,6445004.813964644,25543693.81312946,19840546.802279256,17350227.12644906,4185316.2037228337,11381819.1791085,12133133.240582535,10657619.969154673,8277874.155593368,3510885.2971474123,1594619.5389119969,13105,1797,1850.34,64739.65
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,AU,Other motor insurance,23243722.78,21186672.548591707,6162141.05823832,19527488.331088763,18339499.009066653,11953659.831055816,2338986.0411395263,8296102.496890401,7773384.202654426,8182277.515712818,6063046.056256106,3120280.1204271717,830019.5004399832,8272,831,1208.09,15227.59
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,AU,"Marine, aviation and transport insurance",21662086.06,19611548.894139227,5437305.108677647,14212479.707823856,13625414.919946592,14351481.005649894,4697496.900692573,11486006.233448993,10128085.588515155,8660115.223101351,4291256.11126999,2856245.4911764893,1112726.9277469579,19335,655,2129.16,152675.33
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,AU,Fire and other damage to property insurance,31241552.04,28131469.089167677,6797974.144879827,23242748.947559785,21018518.24435396,23522205.152145367,7079902.4259669855,16838857.581892394,14926203.967280684,13638364.85148969,8666059.013047317,2993306.177392313,1389822.50480446,13469,612,40838.63,19455.92
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,AU,General liability insurance,19020002.84,17665543.942365266,5524033.931007519,14315290.92555797,15061242.862033062,9982812.037439989,2074302.5912062612,6661029.677438482,8327076.837941966,5746498.6328372285,4278221.005333183,2576073.3467799644,627137.9291185739,2107,1914,1133.76,5688.21
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,CA,Medical expense insurance,29498087.91,26817578.217070132,5278450.599753417,23959707.20690033,19143752.623039078,16147152.952809082,4738877.930524757,13541966.119418947,11818796.417704722,9817563.269687595,6192662.32025733,3032766.5597179728,1151198.314882279,9878,1638,3668.92,12488.13
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,CA,Income protection insurance,25303878.69,24640321.312076967,8158744.577274756,20947211.391510088,17786774.989432234,21384233.241049062,6019423.553230855,17727814.72059578,14931277.647335377,14805427.252410311,5163311.813326885,3088990.8945440254,1224510.0681293732,12044,498,3759.86,16187.91
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,CA,Workers' compensation insurance,38171904.48,36439399.98548944,9701890.23319742,26862005.415838607,29424946.351588942,22354066.406581808,5821992.6654273085,17485233.700241163,15216977.82638574,13328719.179073371,8789312.046874996,4135687.543165925,1066328.395300858,8712,1438,7663.5,16732.09
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,CA,Motor vehicle liability insurance,38580698.22,36782530.465958044,8958802.278752841,27817700.12624248,26604329.175525993,26196820.294098493,6073453.2325549545,19879090.93215463,19277387.806248803,15703179.981691029,6463121.5929919155,4426181.540725976,1032579.8263981633,3683,1900,21541.43,38411.76
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,CA,Other motor insurance,7667024.09,7210797.831604926,2161318.8460513377,5599678.0084310835,6133433.701045409,6336228.058801522,1758848.8223481618,5093275.380073001,4385560.799699554,4384684.872606553,1967818.1554523166,1071668.9678285685,206149.18566052642,14944,118,393.36,7950.1
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,CA,"Marine, aviation and transport insurance",13025638.69,11815438.61318023,4182293.333909481,8549729.112918353,8033458.425370839,7814983.45570604,1600375.5548048175,5392140.044234558,5141984.835058836,5154674.29237459,2907406.6648398614,1047312.7536303198,484200.9028981748,4806,234,1280.79,10869.24
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,CA,Fire and other damage to property insurance,18091742.29,17143991.51428772,5254193.622439066,14368075.356039813,13754493.268815706,9767385.102484353,1465210.961570958,8212262.6863033045,7848603.706901079,6649600.022479119,2750553.2242449,2629998.670002373,947854.2606169385,14115,409,2555.69,30523.08
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,CA,General liability insurance,33977108.29,32410009.404283993,11619604.906169528,26696135.68835129,24651190.832825445,18097926.595476225,6137476.28820247,13366900.990171814,13570248.700342787,10773110.391793203,9216970.464039907,2899128.393236869,1360606.09944781,18175,1844,2720.78,15917.26
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,GB,Medical expense insurance,28417240.33,26663949.592529155,9428372.844480159,23824965.68148068,17452454.659132812,22084949.61243508,5090009.060125176,14458835.510616546,15069757.33736389,13413816.31469725,7627282.245614093,3957350.8607729767,713272.4215938852,16942,1920,3013.49,12619.97
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,GB,Income protection insurance,6442123.87,6011865.994803272,1309526.1329581314,5346258.152689878,5179600.364178263,4549708.551085494,1048809.2234190376,3767433.989636104,3166539.0225033136,2945314.643614609,1364908.8141526405,570648.6211016409,367957.1601031359,5891,576,395.49,2674.73
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,GB,Workers' compensation insurance,19801573.95,18152447.01989648,3045010.315173656,13269154.933871282,14042648.248081053,14991186.780491246,4317354.926986259,10747887.367875053,11601261.417096801,9590268.712780232,4782311.152751611,2266815.470006474,1120678.9092984702,10171,1578,1707.18,8833.93
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,GB,Motor vehicle liability insurance,21100271.17,18988937.564322095,4463361.829509748,13893830.11489611,15601071.330034688,13875386.773417057,2771013.930814029,9863055.76175167,10999069.468714964,7845757.482072591,3829392.545205854,1937723.1981077718,1075994.3195756874,4273,1009,7111.65,41051.44
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,GB,Other motor insurance,7799131.55,7258597.230194281,2242078.60353578,6057247.744931426,6070520.709292868,5138175.618624884,816714.4881333923,3644447.052991972,3442749.9459340856,2719139.9101565266,1463063.8341193402,793043.5544239306,318792.45389893476,7892,1811,576.77,2883.38
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,GB,"Marine, aviation and transport insurance",27557065.72,26232866.67838864,5986305.923604707,19511965.992641225,19815221.49286883,17454237.02483428,2700925.74855387,11623785.721324611,12296377.085630829,12018682.904089313,6718317.037536921,2374560.934318351,1484022.9583288934,18762,799,7966.77,10457.9
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,GB,Fire and other damage to property insurance,30095128.51,28952395.295338158,6946616.836496166,20895054.049609352,21447147.238977846,21482844.22631578,5580563.022009822,16276805.06566659,15924554.595474657,14817598.108212283,8044185.013206595,4252447.453554635,1566652.24677478,13429,78,3283.7,18713.28
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,GB,General liability insurance,37906839.97,34363017.67799481,9439227.297125073,31057335.492482793,26956935.854705147,20260187.202015273,6070092.850836549,13732192.420093397,13434600.097029058,13095277.736092228,6497816.938128056,3964862.7207231857,1159746.5133356724,4549,981,3013.98,14197.75
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,US,Medical expense insurance,15944882.69,14618024.782316914,4162454.111708646,10682854.159824813,12390830.404040119,11925391.699168915,2671022.1040595663,9298309.379812537,9317873.803081715,6462753.573622651,4225517.454501629,1963384.2533824134,592336.5374592397,9090,1247,1227.95,6877.39
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,US,Income protection insurance,9746401.79,9312753.384832054,1867458.4626174606,6993454.143354893,7583951.414436233,8087616.136757649,2338417.199514093,6495624.369501119,5744635.970507732,5202725.065048544,1951660.2731047994,923845.872226494,441581.0191947889,12672,271,1194.27,7968.09
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,US,Workers' compensation insurance,39112515.25,36221981.44051993,11139255.06839811,29659069.45599732,30724997.304827694,23808192.455627624,7198372.259803523,15752915.305993946,20227566.695637178,15486764.71226172,10259503.39980028,4911899.851156604,2121908.910163088,1320,1318,2069.88,33021.07
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,US,Motor vehicle liability insurance,7158170.07,6926546.678323084,1362421.970050039,4764824.595153902,5536029.7116535185,4450293.333347547,1411175.6937148385,3037460.6831288463,3620698.5578960725,2836410.2951345486,1557694.7491004118,988668.6512405608,263205.69853379956,7753,1376,2784.2,3294.07
2025-11-30,549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,US,Other motor insurance,10177776.38,9470587.85574116,2608219.655327145,8255358.948506894,7878592.260988227,6103596.585325549,1625224.874474095,4920457.702489863,3954784.90749466,3112913.0279852883,2682580.9160214732,868050.4823415102,303985.1145387098,15713,1912,978.44,4426.1
