LEI,Undertaking_Name,Reporting_Date,Line_Of_Business,Assumption_Type,Assumption_Code,Unit,Best_Estimate_Value,Upper_Bound,Lower_Bound,Year_1,Year_2,Year_5,Year_10,Year_20,Ultimate,Source,Last_Review_Date
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Annuities stemming from non-life contracts,Morbidity,i,Per mille,1.2733,6.1386,0.1579,1.4175,1.3418,2.7006,4.0907,3.0604,4.5194,Industry Tables,2024-06-30
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Annuities stemming from non-life contracts,Lapse,lapse_rate,Percentage,3.3645,7.0991,0.3003,2.5226,3.602,0.8137,4.3693,4.0002,1.6035,Regulatory Prescribed,2024-06-30
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Annuities stemming from non-life contracts,Expense,expense_per_policy,GBP,3.9561,5.1367,0.1652,0.7931,4.011,3.9014,4.1614,0.5202,2.7555,Industry Tables,2024-06-30
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Annuities stemming from non-life contracts,Expense_Inflation,inflation_rate,Percentage,3.6718,5.5507,0.2949,0.8785,1.316,2.6411,3.441,1.1564,1.3335,Internal Experience,2024-06-30
549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Annuities stemming from non-life contracts,Discount_Rate,rate,Percentage,1.42,5.7922,0.168,2.2782,3.4421,2.4711,3.9919,3.7367,1.0694,Internal Experience,2024-06-30
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Insurance with profit participation,Mortality,qx,Per mille,0.7198,7.646,0.1239,1.1675,0.5996,3.3275,3.1207,4.9411,4.4912,Regulatory Prescribed,2024-06-30
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Insurance with profit participation,Longevity,qx,Per mille,2.3488,6.1776,0.1891,1.1858,1.1214,1.0953,1.0135,1.5823,1.88,Industry Tables,2024-06-30
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Insurance with profit participation,Morbidity,i,Per mille,4.8271,6.7776,0.3963,2.1761,2.5593,1.9606,1.323,1.1442,4.7529,Regulatory Prescribed,2024-06-30
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Insurance with profit participation,Lapse,lapse_rate,Percentage,4.9406,5.2302,0.1451,2.4059,1.3385,2.1375,1.0809,2.5543,1.7226,Regulatory Prescribed,2024-06-30
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Insurance with profit participation,Expense,expense_per_policy,GBP,2.0836,5.3735,0.2284,4.9247,1.9797,4.4439,4.2944,4.7843,4.0555,Industry Tables,2024-06-30
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Insurance with profit participation,Expense_Inflation,inflation_rate,Percentage,3.4682,7.5841,0.1227,2.5827,4.9517,3.9632,4.8293,4.0084,4.437,Internal Experience,2024-06-30
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Insurance with profit participation,Discount_Rate,rate,Percentage,3.6794,7.3055,0.257,4.6591,4.2127,4.2975,3.5285,1.8706,0.6603,Internal Experience,2024-06-30
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Index-linked and unit-linked insurance,Mortality,qx,Per mille,4.7104,6.7997,0.1894,1.1711,4.2329,4.2643,4.1653,3.4029,2.1471,Regulatory Prescribed,2024-06-30
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Index-linked and unit-linked insurance,Longevity,qx,Per mille,1.8683,5.1248,0.3501,0.8934,3.3384,2.7683,2.8701,4.6702,0.6423,Regulatory Prescribed,2024-06-30
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Index-linked and unit-linked insurance,Morbidity,i,Per mille,3.9803,5.251,0.1114,2.4342,0.7838,4.0511,2.883,0.6307,0.6823,Regulatory Prescribed,2024-06-30
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Index-linked and unit-linked insurance,Lapse,lapse_rate,Percentage,3.257,7.4377,0.2313,2.9956,4.0992,3.2473,1.5114,3.2587,3.3273,Internal Experience,2024-06-30
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Index-linked and unit-linked insurance,Expense,expense_per_policy,GBP,3.8035,6.9005,0.3908,1.3878,4.7799,2.9225,3.5238,0.9476,2.2126,Internal Experience,2024-06-30
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Index-linked and unit-linked insurance,Expense_Inflation,inflation_rate,Percentage,3.9622,7.15,0.112,2.9597,0.8973,4.9814,4.5378,0.5949,4.3639,Internal Experience,2024-06-30
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Index-linked and unit-linked insurance,Discount_Rate,rate,Percentage,4.6374,6.1253,0.3159,2.4895,3.4485,2.0314,1.9515,2.41,1.1551,Regulatory Prescribed,2024-06-30
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Other life insurance,Mortality,qx,Per mille,4.2401,6.1112,0.22,4.5232,2.7348,2.9491,4.8042,4.4903,1.2626,Regulatory Prescribed,2024-06-30
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Other life insurance,Longevity,qx,Per mille,2.6295,7.9168,0.2117,2.1721,1.3776,1.0145,3.8314,3.9651,4.8606,Internal Experience,2024-06-30
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Other life insurance,Morbidity,i,Per mille,3.9804,5.8057,0.112,4.9345,2.032,1.9039,4.5768,3.1329,1.4669,Regulatory Prescribed,2024-06-30
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Other life insurance,Lapse,lapse_rate,Percentage,4.5009,7.9807,0.126,4.3801,2.2573,2.8583,4.6167,4.8802,1.6797,Internal Experience,2024-06-30
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Other life insurance,Expense,expense_per_policy,GBP,1.4578,5.3335,0.2685,0.5612,2.3535,0.8302,2.3235,0.6797,4.2585,Internal Experience,2024-06-30
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Other life insurance,Expense_Inflation,inflation_rate,Percentage,1.4438,6.0521,0.361,3.8582,1.4857,0.8235,3.7205,2.2582,3.9474,Internal Experience,2024-06-30
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Other life insurance,Discount_Rate,rate,Percentage,2.5038,6.1034,0.2354,3.8685,4.56,0.724,2.8585,0.6478,2.6078,Industry Tables,2024-06-30
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Annuities stemming from non-life contracts,Mortality,qx,Per mille,4.4838,6.1486,0.3797,3.3377,4.7037,3.9072,0.9655,1.5402,2.2738,Industry Tables,2024-06-30
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Annuities stemming from non-life contracts,Longevity,qx,Per mille,1.2655,6.5352,0.2414,4.8032,2.4518,4.0353,4.7386,4.4464,1.439,Regulatory Prescribed,2024-06-30
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Annuities stemming from non-life contracts,Morbidity,i,Per mille,2.7321,6.1084,0.22,2.1236,4.2186,2.5346,2.8566,4.921,0.7699,Industry Tables,2024-06-30
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Annuities stemming from non-life contracts,Lapse,lapse_rate,Percentage,2.6958,7.3448,0.1453,3.2519,1.5776,4.4033,1.9719,1.9808,3.1919,Internal Experience,2024-06-30
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Annuities stemming from non-life contracts,Expense,expense_per_policy,GBP,1.326,5.9262,0.225,2.0914,2.8619,3.1984,3.05,3.4438,1.8849,Regulatory Prescribed,2024-06-30
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Annuities stemming from non-life contracts,Expense_Inflation,inflation_rate,Percentage,1.0689,7.3063,0.3552,1.6565,2.3319,2.7436,2.9,3.4677,0.6872,Internal Experience,2024-06-30
549300HIJKLM789012N3,Lloyd's Syndicate 33,2024-12-31,Annuities stemming from non-life contracts,Discount_Rate,rate,Percentage,3.7466,5.2797,0.2405,4.2245,2.5305,1.1709,4.9327,4.5018,3.9709,Internal Experience,2024-06-30
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Insurance with profit participation,Mortality,qx,Per mille,2.3518,5.6332,0.3824,2.8956,4.3356,2.0394,2.0088,4.9349,2.8482,Regulatory Prescribed,2024-06-30
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Insurance with profit participation,Longevity,qx,Per mille,1.1331,5.7371,0.2446,0.6911,2.5814,2.3852,4.007,2.0972,4.9215,Internal Experience,2024-06-30
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Insurance with profit participation,Morbidity,i,Per mille,1.3135,6.8139,0.1269,3.8024,4.9764,4.1861,3.0007,2.6813,4.2576,Industry Tables,2024-06-30
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Insurance with profit participation,Lapse,lapse_rate,Percentage,4.7119,7.9687,0.219,4.9591,1.2017,1.641,0.9006,1.7228,3.9557,Regulatory Prescribed,2024-06-30
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Insurance with profit participation,Expense,expense_per_policy,GBP,4.3382,7.3588,0.2893,2.8128,3.6892,2.2588,4.2859,3.5474,3.6401,Industry Tables,2024-06-30
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Insurance with profit participation,Expense_Inflation,inflation_rate,Percentage,2.9117,7.6672,0.1756,2.2152,3.9994,2.7174,4.5015,2.0588,2.162,Industry Tables,2024-06-30
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Insurance with profit participation,Discount_Rate,rate,Percentage,4.4993,6.4467,0.2548,1.9974,1.745,3.4518,1.0393,4.4567,4.0064,Regulatory Prescribed,2024-06-30
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Index-linked and unit-linked insurance,Mortality,qx,Per mille,1.3584,7.1127,0.2808,1.3304,1.7294,2.3404,3.6466,3.3743,2.8951,Internal Experience,2024-06-30
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Index-linked and unit-linked insurance,Longevity,qx,Per mille,3.9578,7.298,0.2854,4.0415,2.0042,4.4656,3.2671,4.2006,2.9583,Industry Tables,2024-06-30
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Index-linked and unit-linked insurance,Morbidity,i,Per mille,1.483,6.673,0.2113,3.6387,2.6411,4.2625,3.5513,3.5804,1.4772,Industry Tables,2024-06-30
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Index-linked and unit-linked insurance,Lapse,lapse_rate,Percentage,4.9291,7.5409,0.3367,1.986,2.9103,1.117,2.9231,1.1565,2.9887,Industry Tables,2024-06-30
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Index-linked and unit-linked insurance,Expense,expense_per_policy,GBP,3.4192,6.2316,0.2496,4.4404,0.9885,4.0628,1.2684,0.6652,1.3351,Regulatory Prescribed,2024-06-30
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Index-linked and unit-linked insurance,Expense_Inflation,inflation_rate,Percentage,3.9427,6.2749,0.3618,2.8612,0.6001,3.7252,0.996,4.0522,1.2565,Internal Experience,2024-06-30
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Index-linked and unit-linked insurance,Discount_Rate,rate,Percentage,2.0545,7.3077,0.3863,2.1715,4.2323,1.3586,4.1323,3.4587,1.3673,Internal Experience,2024-06-30
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Other life insurance,Mortality,qx,Per mille,1.8613,5.4821,0.2149,1.4164,3.398,4.9753,0.554,2.9341,3.0815,Regulatory Prescribed,2024-06-30
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Other life insurance,Longevity,qx,Per mille,4.6139,6.5674,0.2631,2.6224,1.7101,0.7521,2.339,0.7367,2.9772,Regulatory Prescribed,2024-06-30
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Other life insurance,Morbidity,i,Per mille,1.8828,6.6474,0.1403,4.6968,4.5253,1.355,2.0455,3.2607,0.9306,Internal Experience,2024-06-30
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Other life insurance,Lapse,lapse_rate,Percentage,2.0956,5.8282,0.3747,4.3363,3.1092,2.8416,4.6883,4.6959,4.862,Regulatory Prescribed,2024-06-30
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Other life insurance,Expense,expense_per_policy,GBP,1.0642,5.5656,0.303,2.9365,0.5831,0.7789,4.4964,4.4099,2.1077,Regulatory Prescribed,2024-06-30
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Other life insurance,Expense_Inflation,inflation_rate,Percentage,4.5097,6.8217,0.3418,2.4234,1.0103,2.4518,2.5578,2.9792,0.9751,Regulatory Prescribed,2024-06-30
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Other life insurance,Discount_Rate,rate,Percentage,4.9613,5.808,0.1596,2.8706,2.9174,2.4792,3.9735,2.8249,3.2436,Internal Experience,2024-06-30
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Annuities stemming from non-life contracts,Mortality,qx,Per mille,3.7569,5.1726,0.2712,4.4789,0.5782,2.3233,4.668,2.0892,2.5643,Internal Experience,2024-06-30
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Annuities stemming from non-life contracts,Longevity,qx,Per mille,4.9169,5.678,0.1196,4.3674,4.4081,2.6244,2.8139,4.2611,3.8235,Industry Tables,2024-06-30
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Annuities stemming from non-life contracts,Morbidity,i,Per mille,1.6932,5.149,0.2439,4.3651,4.5313,4.803,4.458,3.1102,2.5007,Internal Experience,2024-06-30
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Annuities stemming from non-life contracts,Lapse,lapse_rate,Percentage,3.9868,7.2455,0.2614,0.893,4.6674,2.5502,2.135,3.3331,3.5323,Internal Experience,2024-06-30
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Annuities stemming from non-life contracts,Expense,expense_per_policy,GBP,1.4481,7.5271,0.187,1.3401,2.3288,3.7875,4.8446,4.1418,4.7316,Industry Tables,2024-06-30
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Annuities stemming from non-life contracts,Expense_Inflation,inflation_rate,Percentage,1.1327,5.3064,0.2673,1.8063,4.2262,3.5239,4.8683,1.6466,2.686,Industry Tables,2024-06-30
549300OPQRS456789T0,Lloyd's Syndicate 1183,2024-12-31,Annuities stemming from non-life contracts,Discount_Rate,rate,Percentage,2.7556,5.7936,0.277,2.4948,2.5102,2.1323,0.5762,2.8494,2.0086,Internal Experience,2024-06-30
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Insurance with profit participation,Mortality,qx,Per mille,0.5059,5.993,0.1836,2.2705,1.0933,2.7846,3.616,3.3358,4.1169,Regulatory Prescribed,2024-06-30
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Insurance with profit participation,Longevity,qx,Per mille,2.534,6.6054,0.3431,2.4247,3.6572,2.4557,2.3798,3.9209,1.2868,Industry Tables,2024-06-30
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Insurance with profit participation,Morbidity,i,Per mille,2.0236,5.7501,0.2077,1.5367,3.1073,4.0918,4.0398,2.1403,4.9494,Internal Experience,2024-06-30
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Insurance with profit participation,Lapse,lapse_rate,Percentage,3.1723,6.2583,0.3507,3.7844,3.8717,1.3826,2.6075,4.3782,2.7682,Internal Experience,2024-06-30
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Insurance with profit participation,Expense,expense_per_policy,GBP,3.5755,6.805,0.3527,1.7805,3.0896,1.0546,3.6059,3.7939,0.6928,Industry Tables,2024-06-30
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Insurance with profit participation,Expense_Inflation,inflation_rate,Percentage,3.5411,6.3026,0.1372,2.3896,1.374,2.37,2.2295,3.8228,3.984,Regulatory Prescribed,2024-06-30
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Insurance with profit participation,Discount_Rate,rate,Percentage,3.2316,5.1658,0.3793,3.588,0.6539,4.1847,1.4012,3.1065,2.5999,Regulatory Prescribed,2024-06-30
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Index-linked and unit-linked insurance,Mortality,qx,Per mille,2.3893,7.6802,0.2312,0.839,4.7599,4.6424,3.5799,2.6055,0.9179,Internal Experience,2024-06-30
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Index-linked and unit-linked insurance,Longevity,qx,Per mille,4.0584,5.3189,0.1206,2.9182,1.2206,0.5348,2.404,1.1175,1.2223,Industry Tables,2024-06-30
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Index-linked and unit-linked insurance,Morbidity,i,Per mille,0.8461,5.6948,0.3146,4.1402,2.5364,2.7795,0.6469,0.8119,1.6591,Industry Tables,2024-06-30
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Index-linked and unit-linked insurance,Lapse,lapse_rate,Percentage,2.9475,7.2447,0.2815,2.2646,1.0325,4.0135,2.137,3.8122,2.8084,Industry Tables,2024-06-30
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Index-linked and unit-linked insurance,Expense,expense_per_policy,GBP,3.824,7.7311,0.3763,2.908,2.8018,1.6956,4.7111,2.5606,1.0742,Regulatory Prescribed,2024-06-30
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Index-linked and unit-linked insurance,Expense_Inflation,inflation_rate,Percentage,2.4472,5.4685,0.2508,3.0257,2.0199,0.8224,4.7458,3.9801,4.275,Regulatory Prescribed,2024-06-30
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Index-linked and unit-linked insurance,Discount_Rate,rate,Percentage,2.1509,7.3064,0.2456,1.4049,1.0599,2.0527,1.119,4.9922,0.7214,Regulatory Prescribed,2024-06-30
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Other life insurance,Mortality,qx,Per mille,2.4851,6.4111,0.1902,3.0711,1.1749,4.0276,1.996,3.161,3.7204,Industry Tables,2024-06-30
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Other life insurance,Longevity,qx,Per mille,4.5007,7.5238,0.2825,2.2478,2.7644,3.9593,4.449,0.967,2.2319,Internal Experience,2024-06-30
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Other life insurance,Morbidity,i,Per mille,3.9925,6.3518,0.1997,2.351,3.2128,4.9991,2.7185,1.4382,1.2328,Regulatory Prescribed,2024-06-30
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Other life insurance,Lapse,lapse_rate,Percentage,0.6906,6.7206,0.2634,1.4236,3.629,3.835,1.6659,2.0484,4.9571,Industry Tables,2024-06-30
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Other life insurance,Expense,expense_per_policy,GBP,2.1842,7.3063,0.2358,4.0701,3.9606,3.5049,4.3465,4.7265,3.1099,Industry Tables,2024-06-30
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Other life insurance,Expense_Inflation,inflation_rate,Percentage,1.5686,6.256,0.3275,3.429,1.3001,0.7306,3.5733,1.6299,2.7485,Internal Experience,2024-06-30
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Other life insurance,Discount_Rate,rate,Percentage,3.8604,6.7317,0.125,1.3351,1.487,1.6604,3.0443,2.7678,1.4142,Internal Experience,2024-06-30
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Annuities stemming from non-life contracts,Mortality,qx,Per mille,0.804,5.5972,0.3953,2.6085,4.4031,4.3194,2.8018,3.6801,1.3674,Industry Tables,2024-06-30
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Annuities stemming from non-life contracts,Longevity,qx,Per mille,3.5978,5.8899,0.3496,0.8768,3.9791,0.9497,4.4654,1.8689,3.4448,Internal Experience,2024-06-30
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Annuities stemming from non-life contracts,Morbidity,i,Per mille,2.6938,6.1623,0.2936,4.7639,0.6857,4.6348,3.2409,4.1329,2.2274,Regulatory Prescribed,2024-06-30
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Annuities stemming from non-life contracts,Lapse,lapse_rate,Percentage,2.6233,7.6197,0.2245,2.906,0.5909,1.2137,3.3876,3.7264,3.1217,Industry Tables,2024-06-30
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Annuities stemming from non-life contracts,Expense,expense_per_policy,GBP,1.1449,6.3917,0.2065,2.7305,4.4165,3.9914,0.878,4.5064,2.623,Regulatory Prescribed,2024-06-30
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Annuities stemming from non-life contracts,Expense_Inflation,inflation_rate,Percentage,3.8474,5.5061,0.3012,1.5635,2.4727,0.5759,1.1822,0.9144,1.5788,Industry Tables,2024-06-30
549300UVWXY012345Z1,Lloyd's Syndicate 2791,2024-12-31,Annuities stemming from non-life contracts,Discount_Rate,rate,Percentage,0.9501,7.1065,0.1087,3.2798,1.1332,4.7532,4.6989,1.5148,3.2649,Regulatory Prescribed,2024-06-30
549300ABCDE678901F2,Lloyd's Syndicate 623,2024-12-31,Insurance with profit participation,Mortality,qx,Per mille,0.626,7.8022,0.2569,0.6945,2.0412,0.8458,2.2682,3.5147,2.6145,Internal Experience,2024-06-30
