reporting_period,LEI,Undertaking_Name,Reporting_Date,Line_Of_Business,Projection_Year,Calendar_Year,Claims_Payments,Expenses_Claims_Handling,Expenses_Administration,Total_Outflows,Premium_Receivables,RI_Recoveries,Salvage_Subrogation,Total_Inflows,Net_Cash_Flow,Discount_Factor,Present_Value
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Income protection insurance,15,2039,260838.4,20867.07,7825.15,289530.62,0.0,73012.84,14390.2,113762.27,199520.31,0.687289,179271.43
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Income protection insurance,16,2040,203141.15,16251.29,6094.23,225486.68,0.0,34246.8,6145.47,90858.64,161520.18,0.67032,136169.58
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Income protection insurance,17,2041,158206.49,12656.52,4746.19,175609.2,0.0,24900.41,9844.69,47943.41,112554.69,0.65377,103430.62
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Income protection insurance,18,2042,123211.34,9856.91,3696.34,136764.58,0.0,21329.01,8673.37,26608.76,87229.57,0.637628,78563.02
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Income protection insurance,19,2043,95957.08,7676.57,2878.71,106512.36,0.0,18803.5,2845.54,31382.4,62596.69,0.621885,59674.28
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Income protection insurance,20,2044,74731.45,5978.52,2241.94,82951.91,0.0,14583.57,5680.92,20747.87,53962.97,0.606531,45326.92
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Workers' compensation insurance,1,2025,33583099.54,2686647.96,1007492.99,37277240.49,5037464.93,7866975.61,2301198.57,8314514.05,27684203.77,0.97531,32753929.86
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Workers' compensation insurance,2,2026,26154544.22,2092363.54,784636.33,29031544.08,3923181.63,6895185.36,1657126.29,5798492.36,17113654.22,0.951229,24878972.05
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Workers' compensation insurance,3,2027,20369179.52,1629534.36,611075.39,22609789.27,0.0,4870309.63,1462263.43,7049984.18,14108650.54,0.927743,18897373.62
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Workers' compensation insurance,4,2028,15863532.96,1269082.64,475905.99,17608521.59,0.0,2594924.75,983154.94,6035163.24,10858688.89,0.904837,14353918.2
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Workers' compensation insurance,5,2029,12354531.89,988362.55,370635.96,13713530.4,0.0,1905421.51,549739.74,4270710.58,9774911.59,0.882497,10902836.13
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Workers' compensation insurance,6,2030,9621719.11,769737.53,288651.57,10680108.21,0.0,2612217.37,544899.56,2191059.34,7567639.25,0.860708,8281490.39
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Workers' compensation insurance,7,2031,7493402.38,599472.19,224802.07,8317676.64,0.0,2230235.1,557022.63,3131621.95,5323568.06,0.839457,6290389.24
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Workers' compensation insurance,8,2032,5835867.64,466869.41,175076.03,6477813.08,0.0,1532605.21,414732.98,2156829.01,4085763.02,0.818731,4778004.31
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Workers' compensation insurance,9,2033,4544978.29,363598.26,136349.35,5044925.9,0.0,1332019.95,213837.43,1056486.52,3054023.52,0.798516,3629238.88
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Workers' compensation insurance,10,2034,3539632.65,283170.61,106188.98,3928992.24,0.0,874741.8,163752.53,791536.08,2824884.94,0.778801,2756668.68
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Workers' compensation insurance,11,2035,2756668.68,220533.49,82700.06,3059902.23,0.0,744021.5,175117.21,690725.29,2172131.12,0.759572,2093888.68
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Workers' compensation insurance,12,2036,2146895.73,171751.66,64406.87,2383054.26,0.0,325487.47,82240.55,643436.21,1754119.84,0.740818,1590459.47
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Workers' compensation insurance,13,2037,1672004.07,133760.33,50160.12,1855924.52,0.0,348711.76,34570.64,481681.97,1253643.27,0.722527,1208068.68
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Workers' compensation insurance,14,2038,1302158.08,104172.65,39064.74,1445395.47,0.0,380686.85,99565.69,319313.26,894620.77,0.704688,917615.29
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Workers' compensation insurance,15,2039,1014121.73,81129.74,30423.65,1125675.12,0.0,176971.56,68286.21,204351.12,684973.76,0.687289,696994.99
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Workers' compensation insurance,16,2040,789798.8,63183.9,23693.96,876676.67,0.0,182201.8,27527.43,176195.51,570215.46,0.67032,529417.97
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Workers' compensation insurance,17,2041,615095.92,49207.67,18452.88,682756.48,0.0,117563.99,31164.61,273599.83,415104.21,0.65377,402131.13
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Workers' compensation insurance,18,2042,479037.19,38322.97,14371.12,531731.28,0.0,98638.07,36368.07,200821.14,349148.27,0.637628,305447.6
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Workers' compensation insurance,19,2043,373074.54,29845.96,11192.24,414112.74,0.0,95075.43,9428.12,141072.64,315088.14,0.621885,232009.48
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Workers' compensation insurance,20,2044,290550.74,23244.06,8716.52,322511.32,0.0,67007.75,14501.22,71716.54,225687.51,0.606531,176227.93
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Motor vehicle liability insurance,1,2025,39976318.99,3198105.52,1199289.57,44373714.08,5996447.85,9905730.44,862089.21,13479250.1,30741268.36,0.97531,38989300.16
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Motor vehicle liability insurance,2,2026,31133588.53,2490687.08,934007.66,34558283.27,4670038.28,5639211.96,1011840.74,8376633.41,24668521.98,0.951229,29615185.5
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Motor vehicle liability insurance,3,2027,24246863.13,1939749.05,727405.89,26914018.07,0.0,5842037.01,1715362.73,6641570.86,20183418.92,0.927743,22494869.33
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Motor vehicle liability insurance,4,2028,18883475.99,1510678.08,566504.28,20960658.35,0.0,4939085.02,825221.12,4226414.93,13244808.36,0.904837,17086475.66
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Motor vehicle liability insurance,5,2029,14706465.89,1176517.27,441193.98,16324177.14,0.0,4316571.76,567990.22,4154212.48,10116839.46,0.882497,12978410.6
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Motor vehicle liability insurance,6,2030,11453407.15,916272.57,343602.21,12713281.94,0.0,3104189.34,418492.08,3236326.98,8393854.17,0.860708,9858038.89
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Motor vehicle liability insurance,7,2031,8919922.46,713593.8,267597.67,9901113.93,0.0,1918311.76,398546.13,2907323.17,7251027.94,0.839457,7487891.53
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Motor vehicle liability insurance,8,2032,6946842.6,555747.41,208405.28,7710995.28,0.0,1895743.02,471682.19,1564993.1,5626496.24,0.818731,5687593.67
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Motor vehicle liability insurance,9,2033,5410206.45,432816.52,162306.19,6005329.16,0.0,909119.01,148691.01,2364074.61,4403256.5,0.798516,4320137.6
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Motor vehicle liability insurance,10,2034,4213473.02,337077.84,126404.19,4676955.05,0.0,981155.94,305469.26,1884859.91,3253342.24,0.778801,3281456.09
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Motor vehicle liability insurance,11,2035,3281456.09,262516.49,98443.68,3642416.26,0.0,793898.31,214166.27,846729.66,2242629.04,0.759572,2492502.57
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Motor vehicle liability insurance,12,2036,2555600.57,204448.05,76668.02,2836716.63,0.0,674517.84,103998.34,597416.58,1822080.71,0.740818,1893235.47
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Motor vehicle liability insurance,13,2037,1990303.73,159224.3,59709.11,2209237.14,0.0,405615.0,155071.85,745348.7,1505010.48,0.722527,1438048.88
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Motor vehicle liability insurance,14,2038,1550050.1,124004.01,46501.5,1720555.61,0.0,457777.8,114995.71,508416.77,1288302.33,0.704688,1092301.84
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Motor vehicle liability insurance,15,2039,1207180.23,96574.42,36215.41,1339970.06,0.0,254287.32,40833.16,311657.17,944573.99,0.687289,829682.03
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Motor vehicle liability insurance,16,2040,940152.91,75212.23,28204.59,1043569.73,0.0,211685.34,55973.93,349284.66,615296.77,0.67032,630203.34
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Motor vehicle liability insurance,17,2041,732191.82,58575.35,21965.75,812732.92,0.0,115763.88,38045.17,181407.02,568551.9,0.65377,478684.89
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Motor vehicle liability insurance,18,2042,570231.56,45618.53,17106.95,632957.04,0.0,132765.8,31445.77,157163.71,443622.31,0.637628,363595.7
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Motor vehicle liability insurance,19,2043,444096.79,35527.74,13322.9,492947.44,0.0,121870.77,35476.35,181906.97,338179.59,0.621885,276177.16
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Motor vehicle liability insurance,20,2044,345862.93,27669.03,10375.89,383907.85,0.0,61914.46,21058.47,150247.51,239466.26,0.606531,209776.47
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Other motor insurance,1,2025,21743879.11,1739510.33,652316.37,24135705.82,3261581.87,3747585.43,1396028.76,6558831.87,14406170.7,0.97531,21207020.83
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Other motor insurance,2,2026,16934150.08,1354732.01,508024.5,18796906.59,2540122.51,4762602.68,905304.99,4788530.12,12172209.42,0.951229,16108261.84
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Other motor insurance,3,2027,13188329.34,1055066.35,395649.88,14639045.57,0.0,2552438.7,624187.94,3748920.07,10017713.34,0.927743,12235386.64
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Other motor insurance,4,2028,10271081.22,821686.5,308132.44,11400900.15,0.0,2732390.96,621068.42,2810313.91,7762351.17,0.904837,9293658.61
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Other motor insurance,5,2029,7999126.1,639930.09,239973.78,8879029.97,0.0,2207910.18,192717.94,1756402.65,6089206.86,0.882497,7059204.0
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Other motor insurance,6,2030,6229725.67,498378.05,186891.77,6914995.49,0.0,1531685.64,203617.22,2406574.37,4854530.39,0.860708,5361974.57
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Other motor insurance,7,2031,4851715.23,388137.22,145551.46,5385403.9,0.0,1399687.77,146217.37,1881706.54,3234777.39,0.839457,4072806.41
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Other motor insurance,8,2032,3778519.62,302281.57,113355.59,4194156.78,0.0,887173.21,200691.19,1122584.05,3094283.48,0.818731,3093590.21
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Other motor insurance,9,2033,2942714.04,235417.12,88281.42,3266412.58,0.0,443336.34,150698.63,748298.01,2350344.89,0.798516,2349804.89
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Other motor insurance,10,2034,2291788.0,183343.04,68753.64,2543884.68,0.0,358573.41,160180.58,938540.03,1871412.66,0.778801,1784846.29
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Other motor insurance,11,2035,1784846.29,142787.7,53545.39,1981179.38,0.0,308573.65,103207.65,363380.14,1462846.66,0.759572,1355719.48
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Other motor insurance,12,2036,1390039.69,111203.17,41701.19,1542944.05,0.0,359250.58,72100.28,531895.71,929748.64,0.740818,1029766.73
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Other motor insurance,13,2037,1082564.0,86605.12,32476.92,1201646.04,0.0,248230.16,40570.81,479743.5,889243.6,0.722527,782182.1
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Other motor insurance,14,2038,843101.69,67448.14,25293.05,935842.87,0.0,219199.15,64096.69,241726.38,699922.77,0.704688,594123.72
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Other motor insurance,15,2039,656608.25,52528.66,19698.25,728835.16,0.0,130524.35,42001.79,252206.01,429205.1,0.687289,451279.81
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Other motor insurance,16,2040,511367.02,40909.36,15341.01,567617.4,0.0,104400.16,10823.57,229743.4,344886.04,0.67032,342779.57
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Other motor insurance,17,2041,398253.04,31860.24,11947.59,442060.87,0.0,92164.37,26855.55,99689.07,297499.21,0.65377,260365.8
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Other motor insurance,18,2042,310159.78,24812.78,9304.79,344277.35,0.0,74783.96,9184.54,122401.1,220172.28,0.637628,197766.61
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Other motor insurance,19,2043,241552.68,19324.21,7246.58,268123.47,0.0,43878.88,12922.42,73088.62,201468.75,0.621885,150218.0
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Other motor insurance,20,2044,188121.41,15049.71,5643.64,208814.77,0.0,53052.01,9218.14,54520.59,134526.3,0.606531,114101.41
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,"Marine, aviation and transport insurance",1,2025,22374520.98,1789961.68,671235.63,24835718.28,3356178.15,5183777.75,1528151.06,6213161.76,15394091.47,0.97531,21822092.09
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,"Marine, aviation and transport insurance",2,2026,17425294.46,1394023.56,522758.83,19342076.85,2613794.17,3856610.97,420682.59,6540057.19,13132950.48,0.951229,16575452.82
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,"Marine, aviation and transport insurance",3,2027,13570832.97,1085666.64,407124.99,15063624.6,0.0,3046057.89,516054.3,5783459.62,9066636.3,0.927743,12590251.89
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,"Marine, aviation and transport insurance",4,2028,10568975.34,845518.03,317069.26,11731562.63,0.0,2964318.58,450262.79,4440617.13,8410286.35,0.904837,9563204.36
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,"Marine, aviation and transport insurance",5,2029,8231126.27,658490.1,246933.79,9136550.16,0.0,1363285.3,575291.34,3049996.17,5403408.3,0.882497,7263943.44
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,"Marine, aviation and transport insurance",6,2030,6410407.59,512832.61,192312.23,7115552.42,0.0,1090124.44,372686.25,2343966.34,5124032.93,0.860708,5517488.94
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,"Marine, aviation and transport insurance",7,2031,4992430.45,399394.44,149772.91,5541597.8,0.0,1288230.83,297405.06,1954834.7,3819294.87,0.839457,4190930.79
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,"Marine, aviation and transport insurance",8,2032,3888108.74,311048.7,116643.26,4315800.7,0.0,735314.1,290607.34,795326.28,2812317.05,0.818731,3183314.2
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,"Marine, aviation and transport insurance",9,2033,3028062.13,242244.97,90841.86,3361148.97,0.0,785269.0,138168.54,624412.46,2008199.24,0.798516,2417956.73
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,"Marine, aviation and transport insurance",10,2034,2358257.16,188660.57,70747.71,2617665.45,0.0,583186.63,183689.07,797010.52,1771880.21,0.778801,1836612.52
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,"Marine, aviation and transport insurance",11,2035,1836612.52,146929.0,55098.38,2038639.9,0.0,363187.89,65018.73,376957.82,1294060.61,0.759572,1395039.67
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,"Marine, aviation and transport insurance",12,2036,1430355.27,114428.42,42910.66,1587694.35,0.0,310911.41,45595.42,317305.72,1135052.09,0.740818,1059633.25
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,"Marine, aviation and transport insurance",13,2037,1113961.81,89116.94,33418.85,1236497.6,0.0,316580.19,84890.93,394899.11,735832.95,0.722527,804867.88
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,"Marine, aviation and transport insurance",14,2038,867554.33,69404.35,26026.63,962985.3,0.0,226543.94,23081.91,318771.58,699138.75,0.704688,611355.2
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,"Marine, aviation and transport insurance",15,2039,675651.99,54052.16,20269.56,749973.71,0.0,174912.59,52101.57,259812.9,532847.51,0.687289,464368.37
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,"Marine, aviation and transport insurance",16,2040,526198.3,42095.86,15785.95,584080.11,0.0,99589.07,39720.67,128858.58,437259.91,0.67032,352721.27
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,"Marine, aviation and transport insurance",17,2041,409803.65,32784.29,12294.11,454882.05,0.0,80690.08,11396.56,166655.16,266576.9,0.65377,267917.24
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,"Marine, aviation and transport insurance",18,2042,319155.4,25532.43,9574.66,354262.49,0.0,87708.13,11406.2,134421.97,251588.87,0.637628,203502.47
