reporting_period,LEI,Undertaking_Name,Reporting_Date,GL_Subclass,Accident_Year,Development_Year,Calendar_Year,Gross_Paid_Cumulative,Gross_Paid_Incremental,Gross_Case_Reserves,Gross_IBNR,Gross_Incurred,Gross_Ultimate,RI_Paid,RI_Outstanding,Net_Paid_Cumulative,Net_Incurred,Net_Ultimate,Large_Claims_Count,Large_Claims_Amount,Large_Claims_Threshold,Total_Claim_Count,Open_Claims,Closed_Claims
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2011,3,2014,22104697.47,3315704.62,10183786.82,10183786.82,35343620.33,42472271.1,7860256.38,6428931.41,15851290.74,26715904.17,27376306.65,5,15260859.97,1000000,1861,475,684
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2011,4,2015,26908778.29,4036316.74,7781746.41,7781746.41,37025048.62,42472271.1,5890398.0,3439779.2,16879723.08,26768368.53,26382332.44,19,15758535.71,1000000,747,172,367
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2011,5,2016,31388025.95,4708203.89,5542122.58,5542122.58,38592785.3,42472271.1,11951910.61,3605431.38,25019946.92,23394889.18,31464699.78,18,8831854.94,1000000,2283,495,574
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2011,6,2017,35068941.79,5260341.27,3701664.66,3701664.66,39881105.84,42472271.1,9720060.06,2385808.4,23212399.6,25197720.49,31629206.62,6,20020838.83,1000000,1400,439,686
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2011,7,2018,34502192.74,5175328.91,3985039.18,3985039.18,39682743.67,42472271.1,13253693.03,1817468.15,25777705.26,31424329.46,26735197.87,1,14038232.95,1000000,1405,460,1785
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2011,8,2019,36940138.96,5541020.84,2766066.07,2766066.07,40536024.85,42472271.1,10258112.21,1939720.14,27048965.59,32174958.68,27058909.81,14,15416511.1,1000000,1342,236,1211
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2011,9,2020,38796187.63,5819428.14,1838041.74,1838041.74,41185641.88,42472271.1,14888860.33,743024.13,30952920.67,28663018.26,30796980.56,5,13082129.15,1000000,869,64,628
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2011,10,2021,41671487.9,6250723.19,400391.6,400391.6,42191996.98,42472271.1,13018072.35,266310.21,30411057.68,28386624.86,26128864.7,6,18785989.56,1000000,207,400,1183
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2011,11,2022,39160802.29,5874120.34,1655734.4,1655734.4,41313257.02,42472271.1,14481118.23,1065394.23,26266747.53,29698011.25,30966470.78,20,17498789.0,1000000,2422,323,1035
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2011,12,2023,42835319.06,6425297.86,-181523.98,-181523.98,42599337.89,42472271.1,9935694.6,-141163.53,29220889.2,32890525.33,27356216.49,20,8864332.13,1000000,1051,128,196
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2011,13,2024,42050215.77,6307532.36,211027.67,211027.67,42324551.73,42472271.1,11140500.57,167510.55,26108587.52,25795145.56,25865764.46,12,11257789.73,1000000,425,362,2042
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2012,0,2012,5618339.12,842750.87,15713273.7,15713273.7,26045594.93,37044886.52,1691753.12,8485644.25,3470777.43,16844921.3,23591273.34,5,15695920.31,1000000,2157,443,2010
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2012,1,2013,11549030.4,1732354.56,12747928.06,12747928.06,28121336.88,37044886.52,4104557.77,10040474.88,8971836.42,19672589.13,25301183.47,12,17586339.55,1000000,853,446,1677
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2012,2,2014,16929779.52,2539466.93,10057553.5,10057553.5,30004599.07,37044886.52,4382776.81,6293872.26,13517241.91,23100361.16,24310926.94,16,17999603.87,1000000,2040,80,760
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2012,3,2015,21748037.2,3262205.58,7648424.66,7648424.66,31690989.26,37044886.52,5355092.97,5799317.4,16890407.43,19266559.57,27188643.94,7,10801704.12,1000000,1026,26,1763
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2012,4,2016,24667810.19,3700171.53,6188538.17,6188538.17,32712909.8,37044886.52,9440660.53,3710101.03,16845217.52,25656939.75,29444127.23,1,8100638.61,1000000,1205,496,1781
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2012,5,2017,28643664.62,4296549.69,4200610.95,4200610.95,34104458.86,37044886.52,6202891.75,2246967.64,21554782.26,25762760.47,27604529.83,8,7843652.61,1000000,2849,113,927
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2012,6,2018,28113075.33,4216961.3,4465905.59,4465905.59,33918752.6,37044886.52,10886600.06,1931881.79,17309478.66,26020065.13,26978055.32,3,11317094.91,1000000,825,484,1889
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2012,7,2019,30014491.21,4502173.68,3515197.65,3515197.65,34584248.16,37044886.52,11310483.3,2796041.3,18308669.93,24583267.84,24162924.24,20,16659680.04,1000000,2106,362,1420
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2012,8,2020,32259454.28,4838918.14,2392716.12,2392716.12,35369985.24,37044886.52,11062601.03,1473457.0,22849522.32,27291476.58,25712147.63,15,16806518.94,1000000,1110,228,1748
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2012,9,2021,33429652.91,5014447.94,1807616.81,1807616.81,35779554.76,37044886.52,7854517.2,1052378.15,23389763.9,24891000.42,28215833.59,2,13684517.5,1000000,2590,386,1648
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2012,10,2022,36520602.43,5478090.36,262142.05,262142.05,36861387.09,37044886.52,11059793.29,128419.73,22858214.68,28518643.87,22643114.9,11,8716027.72,1000000,1714,323,2432
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2012,11,2023,33042800.85,4956420.13,2001042.84,2001042.84,35644156.53,37044886.52,9408833.11,1226731.8,19957023.86,25062020.73,25144286.9,20,16006856.7,1000000,2296,278,247
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2012,12,2024,37399670.57,5609950.59,-177392.02,-177392.02,37169060.94,37044886.52,12603445.41,-104554.54,24056579.59,28598729.39,24758350.82,17,11368615.06,1000000,547,241,1961
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2013,0,2013,3530601.3,529590.2,9355667.21,9355667.21,15692968.67,22241935.72,1395009.25,7103312.62,2823234.54,12142933.06,16478416.36,2,6408920.8,1000000,1106,275,2293
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2013,1,2014,7095715.66,1064357.35,7573110.03,7573110.03,16940758.7,22241935.72,2663202.08,3758524.79,4951620.96,10401814.43,17585848.32,13,8270230.04,1000000,260,295,1676
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2013,2,2015,9651835.39,1447775.31,6295050.16,6295050.16,17835400.6,22241935.72,2494805.09,4987332.49,6979462.8,12201850.77,15568667.56,17,5105970.46,1000000,2683,35,867
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2013,3,2016,11505236.28,1725785.44,5368349.72,5368349.72,18484090.92,22241935.72,3664895.78,3246786.58,7729570.23,13183274.9,13668452.19,10,10747244.43,1000000,1900,213,1337
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2013,4,2017,14039727.34,2105959.1,4101104.19,4101104.19,19371162.79,22241935.72,3009496.4,1918503.55,8691921.95,12314653.06,15199044.81,10,9373091.31,1000000,1989,95,1820
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2013,5,2018,15719132.22,2357869.83,3261401.75,3261401.75,19958954.5,22241935.72,4514304.09,2516180.96,10361491.54,15147727.78,14047191.98,10,5638253.39,1000000,2611,480,313
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2013,6,2019,17684321.14,2652648.17,2278807.29,2278807.29,20646770.62,22241935.72,4364852.1,1734653.7,10790096.65,14854412.3,16033007.71,17,4888950.47,1000000,682,247,1940
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2013,7,2020,19521194.08,2928179.11,1360370.82,1360370.82,21289676.15,22241935.72,5734926.81,937607.49,14941229.08,14148690.21,15500342.21,3,6188334.49,1000000,2150,67,826
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2013,8,2021,18968113.56,2845217.03,1636911.08,1636911.08,21096097.97,22241935.72,3795879.0,1285716.07,13053584.39,12712803.02,13384923.69,19,6372442.93,1000000,2951,289,644
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2013,9,2022,19070128.32,2860519.25,1585903.7,1585903.7,21131803.13,22241935.72,5242434.03,674287.24,11591783.57,15508129.05,17379142.57,13,7180052.17,1000000,1793,175,1936
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2013,10,2023,21776706.7,3266506.0,232614.51,232614.51,22079105.56,22241935.72,4482802.41,165406.6,13339539.42,16949861.84,17270268.54,1,9692861.05,1000000,832,242,917
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2013,11,2024,22078671.47,3311800.72,81632.13,81632.13,22184793.23,22241935.72,6895100.95,41302.1,16087540.08,15261104.06,13368900.52,15,7630045.16,1000000,469,138,1417
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2014,0,2014,6982603.51,1047390.53,19301601.64,19301601.64,32074685.64,45585806.79,1415909.52,12517940.53,5100836.42,20259061.56,31281656.98,6,22305125.25,1000000,606,56,557
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2014,1,2015,14411312.23,2161696.83,15587247.28,15587247.28,34674733.69,45585806.79,4066357.6,8416155.03,9004420.42,21048874.64,30063500.21,15,21976233.85,1000000,2697,195,439
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2014,2,2016,21830707.7,3274606.15,11877549.55,11877549.55,37271522.11,45585806.79,7913715.98,6417795.46,13725517.95,26802201.09,33245774.54,17,14923519.97,1000000,2997,206,2185
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2014,3,2017,25744894.52,3861734.18,9920456.14,9920456.14,38641487.49,45585806.79,8993628.18,7075514.01,18033259.09,29302927.94,27583756.76,20,18422195.96,1000000,754,203,2344
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2014,4,2018,28534102.53,4280115.38,8525852.13,8525852.13,39617710.3,45585806.79,7250631.25,3721710.79,18218409.63,31630845.14,31138662.92,13,21805041.62,1000000,279,403,789
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2014,5,2019,31707131.87,4756069.78,6939337.46,6939337.46,40728270.57,45585806.79,7635450.5,4324077.03,21240813.99,29682072.91,31199350.81,11,20216355.82,1000000,2416,456,704
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2014,6,2020,36119212.72,5417881.91,4733297.04,4733297.04,42272498.86,45585806.79,11358402.92,2501212.75,26757408.87,30898949.54,30971006.55,6,12892105.19,1000000,692,101,300
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2014,7,2021,39366919.03,5905037.85,3109443.88,3109443.88,43409196.07,45585806.79,15299178.73,1408755.97,29911903.26,30759684.91,32143096.62,14,22268905.68,1000000,1361,168,1917
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2014,8,2022,41172736.0,6175910.4,2206535.4,2206535.4,44041232.01,45585806.79,15073485.45,1336699.06,26761070.94,32541980.64,35768236.87,10,20621607.14,1000000,2665,102,571
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2014,9,2023,40167898.67,6025184.8,2708954.06,2708954.06,43689538.95,45585806.79,10579333.74,1643664.03,28692759.85,27907253.23,29448543.69,5,19494739.31,1000000,930,11,1126
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2014,10,2024,43997075.32,6599561.3,794365.74,794365.74,45029750.77,45585806.79,16183961.75,614181.28,29110762.72,34759319.8,33423621.04,1,22215382.61,1000000,1978,264,2132
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2015,0,2015,6123880.3,918582.04,18023833.15,18023833.15,29554863.39,42171546.59,1555063.26,12287160.3,4811423.47,22606844.98,31435004.47,18,13334337.69,1000000,123,321,2111
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2015,1,2016,13037174.56,1955576.18,14567186.02,14567186.02,31974516.38,42171546.59,4696239.49,10216175.45,9587044.84,19486109.62,30867167.76,8,14485436.92,1000000,988,311,2038
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2015,2,2017,20203496.64,3030524.5,10984024.98,10984024.98,34482729.11,42171546.59,6494171.08,7065923.34,16138776.11,21335069.94,27633464.97,15,16734674.71,1000000,1779,236,415
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2015,3,2018,22594384.12,3389157.62,9788581.24,9788581.24,35319539.72,42171546.59,6083086.7,7410523.5,16174659.4,21918356.84,27924839.16,20,9396559.13,1000000,2558,13,1092
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2015,4,2019,27626910.12,4144036.52,7272318.24,7272318.24,37080923.83,42171546.59,6482755.0,5402212.95,19766026.62,22688895.03,27840606.37,18,16231883.11,1000000,1239,327,2373
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2015,5,2020,30076237.94,4511435.69,6047654.33,6047654.33,37938188.56,42171546.59,9102132.31,4618865.26,20151295.79,25311394.73,32217010.72,7,12467045.99,1000000,300,104,697
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2015,6,2021,31743844.54,4761576.68,5213851.02,5213851.02,38521850.87,42171546.59,7497546.61,4064301.67,24971566.99,24845146.09,29971333.96,2,10172216.89,1000000,2775,188,240
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2015,7,2022,36722419.27,5508362.89,2724563.66,2724563.66,40264352.03,42171546.59,8705459.28,1144088.34,28091892.84,26779018.33,26218239.47,5,18984415.11,1000000,232,351,2457
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2015,8,2023,38911463.61,5836719.54,1630041.49,1630041.49,41030517.55,42171546.59,13103501.14,1246165.88,27154178.78,25669155.4,25820342.55,20,12463054.39,1000000,1322,179,449
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2015,9,2024,36553613.87,5483042.08,2808966.36,2808966.36,40205270.14,42171546.59,11225683.83,1139877.45,25176398.79,25558170.91,28409014.55,2,16974478.6,1000000,546,223,820
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2016,0,2016,7885512.14,1182826.82,22902410.73,22902410.73,37658646.09,53690333.6,2115430.39,18237196.38,5864951.73,26465454.92,38435574.56,6,20727410.43,1000000,2852,155,2434
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2016,1,2017,15035020.45,2255253.07,19327656.57,19327656.57,40160974.0,53690333.6,3248360.04,12749986.16,10116971.62,24541921.73,35408917.25,18,12836554.81,1000000,826,243,2461
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2016,2,2018,25568827.95,3835324.19,14060752.82,14060752.82,43847806.62,53690333.6,6151478.48,6432463.69,18543377.32,30885622.65,38398601.28,12,17759927.17,1000000,246,57,1315
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2016,3,2019,29393956.3,4409093.45,12148188.65,12148188.65,45186601.55,53690333.6,10457179.52,5927937.94,19967486.78,35768135.73,34254279.3,11,15469907.42,1000000,1609,469,1642
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2016,4,2020,33391768.24,5008765.24,10149282.68,10149282.68,46585835.72,53690333.6,6815229.82,5155145.15,20345386.98,29392728.61,36108704.43,3,11071825.44,1000000,1850,441,2344
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2016,5,2021,40581954.68,6087293.2,6554189.46,6554189.46,49102400.98,53690333.6,14573702.4,3700269.39,32341106.84,36129486.88,40200333.91,3,13835468.89,1000000,1299,251,641
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2016,6,2022,44981386.4,6747207.96,4354473.6,4354473.6,50642202.08,53690333.6,17498176.72,2153391.99,33164454.97,37950669.15,35491127.09,4,18389084.26,1000000,2945,450,1214
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2016,7,2023,43065400.58,6459810.09,5312466.51,5312466.51,49971607.04,53690333.6,10103959.53,2255823.14,30663990.6,36232042.59,42051553.37,11,19471091.73,1000000,2258,221,2238
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2016,8,2024,46182931.13,6927439.67,3753701.24,3753701.24,51062742.73,53690333.6,9785918.77,2830220.24,32132772.61,38167582.25,32371505.84,7,18600569.2,1000000,2950,117,328
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2017,0,2017,4043664.35,606549.65,11794142.64,11794142.64,19376049.77,27631949.62,833262.77,8377015.35,2840999.03,12916773.26,21032326.39,4,9231199.82,1000000,2440,383,2256
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2017,1,2018,7713373.47,1157006.02,9959288.08,9959288.08,20660447.97,27631949.62,2999650.16,5002282.46,5909331.92,15769770.29,17476511.43,3,9455675.39,1000000,2081,380,1266
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2017,2,2019,11633949.81,1745092.47,7998999.9,7998999.9,22032649.69,27631949.62,3151757.24,5538439.84,7531980.75,13735717.55,19381732.25,14,9977784.14,1000000,2593,444,1386
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2017,3,2020,15571676.5,2335751.47,6030136.56,6030136.56,23410854.03,27631949.62,5478544.78,4090385.22,11975902.98,15090198.56,19727922.98,9,8511430.96,1000000,2252,304,1539
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2017,4,2021,19122752.2,2868412.83,4254598.71,4254598.71,24653730.52,27631949.62,5508421.69,3335118.55,14414981.71,18334801.2,19295742.52,5,9201810.6,1000000,2616,298,2123
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2017,5,2022,20246294.91,3036944.24,3692827.35,3692827.35,25046970.47,27631949.62,5238255.3,2813210.56,15364227.49,19042689.94,18972945.44,17,6115687.79,1000000,2688,264,2107
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2017,6,2023,22672143.42,3400821.51,2479903.1,2479903.1,25896017.45,27631949.62,6232180.38,1855394.37,17141675.05,16290294.49,19904485.52,6,11264556.02,1000000,2596,129,1279
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2017,7,2024,23711207.3,3556681.1,1960371.16,1960371.16,26259689.81,27631949.62,7179953.58,962826.94,15345451.6,19789344.98,16682456.81,7,11983231.01,1000000,106,70,188
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2018,0,2018,3767793.6,565169.04,10628471.0,10628471.0,17584805.89,25024735.59,1459057.46,8491389.66,2760650.74,12000776.08,17392621.2,15,6538078.24,1000000,2661,417,573
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2018,1,2019,7086200.36,1062930.05,8969267.61,8969267.61,18746248.26,25024735.59,2237486.75,6477587.48,4622706.22,12821132.11,17791454.19,7,11820917.98,1000000,2620,222,1785
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2018,2,2020,10691412.06,1603711.81,7166661.76,7166661.76,20008072.36,25024735.59,2644805.53,5499783.53,6499385.5,14630365.23,18215634.58,2,7882199.38,1000000,1467,189,2385
2025-11-30,549300ABCDEF123456G7,Lloyd's Syndicate 2987,2024-12-31,Public Liability,2018,3,2021,13702260.95,2055339.14,5661237.32,5661237.32,21061869.46,25024735.59,5083313.96,2638095.97,8855956.17,14795333.18,17065595.53,7,9317003.08,1000000,146,337,914
