reporting_period,Syndicate_Number,Year_of_Account,LOB_Code,Net_Written_Premium,Net_Earned_Premium,Net_Paid_Claims,Net_Case_Reserves,Net_IBNR,RI_Recoveries,Net_Ultimate_Loss_Ratio
2025-11-30,5000,2020,A1,24092053,20788589,6469465,1214864,2796350,5486182,0.5246
2025-11-30,5000,2020,A2,5349164,4613502,1491974,488393,417222,1318919,0.5169
2025-11-30,5000,2020,D1,3005742,2568757,1212252,281630,285511,541380,0.5497
2025-11-30,5000,2020,D2,12385513,11388604,4625163,1361343,1397771,2238451,0.6154
2025-11-30,5000,2020,E1,17082090,15651664,5047254,911312,1584685,3901767,0.6376
2025-11-30,5000,2021,A1,17442695,15876592,6209330,1397989,1726324,3372491,0.6915
2025-11-30,5000,2021,A2,7990192,6999947,3143247,469500,984951,1931317,0.61
2025-11-30,5000,2021,D1,31544309,27264515,11093409,3102697,3656905,6150130,0.688
2025-11-30,5000,2021,D2,15927007,14435669,6597500,1342809,1531059,3555468,0.6429
2025-11-30,5000,2021,E1,24230582,21646698,7747722,2375579,2267153,2876004,0.6985
2025-11-30,5000,2022,A1,10381312,9246407,3628042,587680,1875240,2249740,0.6368
2025-11-30,5000,2022,A2,12820015,11186444,3912548,1016798,2542775,2010112,0.6738
2025-11-30,5000,2022,D1,10046613,8663700,4010033,1105179,1490638,2220499,0.6565
2025-11-30,5000,2022,D2,9411618,8659117,4045883,770579,1307601,2206888,0.6058
2025-11-30,5000,2022,E1,14458665,13376973,4108686,1308781,1972082,3156501,0.5636
2025-11-30,5000,2023,A1,30021468,25901238,8094205,2347860,2645138,3571211,0.5954
2025-11-30,5000,2023,A2,28420882,24917638,12650788,2509457,3254134,6156793,0.6135
2025-11-30,5000,2023,D1,31067862,26976549,14861985,3185045,4192371,4392170,0.6414
2025-11-30,5000,2023,D2,31706828,29228834,13928213,1970566,4490135,3584182,0.6041
2025-11-30,5000,2023,E1,23512596,20721032,6520184,1202061,3436004,5683700,0.5813
2025-11-30,5000,2024,A1,14080554,12087571,4639872,1497898,2299366,1430643,0.6151
2025-11-30,5000,2024,A2,31453059,29667913,9811442,2593726,4862906,6338298,0.6354
2025-11-30,5000,2024,D1,38729386,34490344,15726380,4237934,6298248,8021785,0.6396
2025-11-30,5000,2024,D2,38857931,33978254,16963705,4421831,6773547,9016974,0.6499
2025-11-30,5000,2024,E1,38440957,32837633,14310784,2370947,7036311,8247759,0.6368
2025-11-30,5000,2025,A1,18104096,16052994,4745616,1116964,1250947,3156017,0.535
2025-11-30,5000,2025,A2,14440985,12438357,6009965,871159,1801142,3104264,0.5747
2025-11-30,5000,2025,D1,10909813,9800421,3223043,488385,1422185,1735131,0.558
2025-11-30,5000,2025,D2,23456110,22187450,9726970,2724152,4638998,5485776,0.6858
2025-11-30,5000,2025,E1,35767007,30423026,10759285,2009410,2548274,5452975,0.5115
2025-11-30,1910,2018,A1,15492832,13182639,5208681,897016,1935468,3637352,0.5804
2025-11-30,1910,2018,A2,30562889,27468128,7966119,2336213,2577331,4868785,0.5248
2025-11-30,1910,2018,D1,23084673,21681571,8079641,1414409,3942249,4580967,0.5729
2025-11-30,1910,2018,D2,32484729,28761127,10033652,2004760,4785063,4215533,0.5324
2025-11-30,1910,2018,E1,15721630,13573552,5046593,990562,1100613,3143236,0.557
2025-11-30,1910,2019,A1,35164941,33346662,11816546,3136562,5090311,7112477,0.6919
2025-11-30,1910,2019,A2,11551950,10702180,4663445,849670,1868178,2616048,0.565
2025-11-30,1910,2019,D1,29095181,27517287,10532022,1418109,2785948,2969085,0.5263
2025-11-30,1910,2019,D2,18871577,17606871,5576077,1345702,1169784,3246457,0.5104
2025-11-30,1910,2019,E1,21939689,20318126,6869733,1247966,2777942,3014952,0.5972
2025-11-30,1910,2020,A1,10718860,10176761,3780579,1168784,1123012,2207754,0.6728
2025-11-30,1910,2020,A2,9916567,8927224,3202095,1138068,1437482,1935432,0.6402
2025-11-30,1910,2020,D1,18393712,16372763,5130008,956459,1410502,1888099,0.5241
2025-11-30,1910,2020,D2,16397848,14021726,4861978,940164,1988298,2209022,0.5182
2025-11-30,1910,2020,E1,25560513,21883249,8647777,1273940,2091332,3950030,0.5852
2025-11-30,1910,2021,A1,26556856,23229198,12256661,1674664,2048596,5286530,0.6423
2025-11-30,1910,2021,A2,24584868,22057686,9634931,1201140,2043828,5955665,0.5424
2025-11-30,1910,2021,D1,27399524,23595178,10106165,2303275,4017767,3275509,0.5669
2025-11-30,1910,2021,D2,27197356,24100624,12053242,2342905,3294981,5372490,0.6483
2025-11-30,1910,2021,E1,17095096,14679954,5081917,1507523,2407828,1814744,0.6169
2025-11-30,1910,2022,A1,15779782,14116229,4075931,1480329,1966799,2291563,0.5386
2025-11-30,1910,2022,A2,34822923,30302904,16192024,2050792,3755131,6357772,0.6979
2025-11-30,1910,2022,D1,19946699,18469357,9522906,1840574,2469545,3089779,0.6783
2025-11-30,1910,2022,D2,10880522,9322114,4273064,1285057,1563866,1123753,0.6822
2025-11-30,1910,2022,E1,21397803,18464023,6342738,1868995,3597837,4366660,0.6393
2025-11-30,1910,2023,A1,29675359,26804178,10737342,1555347,3533702,5234488,0.599
2025-11-30,1910,2023,A2,29189026,25603137,8555692,1625725,2696078,5969396,0.5802
2025-11-30,1910,2023,D1,37413135,34449094,13435021,2440132,3530807,7716017,0.5911
2025-11-30,1910,2023,D2,10992893,9394100,3062378,492768,861311,2556291,0.5342
2025-11-30,1910,2023,E1,11923559,11077727,4246276,693046,1772005,2148497,0.5541
2025-11-30,1910,2024,A1,3093949,2825605,1445023,219103,565716,719646,0.6297
2025-11-30,1910,2024,A2,20719302,18457464,8457656,1501595,1739844,4607730,0.6444
